Jules Verne	JULES VERNE	0.3
	Emlékezetből összeszámlálták a Lincoln-szigeten eltelt napokat is, és attól fogva rendszeres naptárt vezettek.	-0.3
	Április 5-én, szerdán múlt tizenkét napja, hogy a hajótörötteket erre a partra vetette a vihar.	-0.3
	Április 6-án a mérnök és társai már kora hajnalban a tisztáson gyülekeztek, hogy megkezdjék a téglaégetést.	-0.3
	Persze, ezúttal nem kemencében, hanem szabad ég alatt kellett lefolynia ennek a műveletnek; pontosabban azt tervezték, hogy maga a téglarakás lesz a kemence, és ez a hatalmas téglaégető önmagát égeti ki.	-0.3
	A tűzifát, azaz a gondosan odakészített rőzsenyalábokat a földön máglyába rakták, azt pedig szikkadt téglákkal több soros, vastag kocka alakban körülfalazták; éppen csak néhány szellőzőnyílást hagytak a falán.	-0.3
	Egész napjuk ezzel a munkával telt el, úgyhogy csak este gyújthatták meg a rőzsekötegeket.	-0.3
	Ezen az éjszakán senki sem aludt közülük, valamennyien éberen őrködtek, hogy a tűz egyetlen pillanatra se lankadjon el.	-0.3
	A művelet negyvennyolc óra hosszat tartott, és teljes sikerrel végződött. ~~~ Akkor aztán arra kellett várniok, hogy a füstölgő halmaz kihűljön: eközben Nab és Pencroff vékony gallyakból valamilyen saroglyafélét fontak, és ezen - Cyrus Smith útmutatása alapján - több rakomány kalcium-karbonátot, vagyis mészkövet szállítottak a kemencéhez; ez az igen közönséges ásvány itt is tömegesen fordult elő a tótól északra elterülő vidéken.	-0.3
	Ezeket a köveket a telepesek erősen fölhevítették; a hő hatására a mészkő zsíros állagú mésszé alakult át: ezt az oltatlan meszet ezután vízzel keverték, és a fehér anyagból sistergő pezsgés közepette olyan tiszta oltott mész keletkezett, hogy krétából vagy márványból sem égetnek különbet.	-0.3
	Ha az ilyen oltott mészhez homokot kevernek - ami arra szolgál, hogy csökkentse a száradó, szilárduló pép zsugorodását -, akkor kitűnő habarcs válik belőle.	-0.3
	E különféle munkálatok eredményeképpen április 9-én már megfelelő mennyiségű oltott mész és néhány ezer tégla állott a mérnök rendelkezésére.	-0.3
	Most már egyetlen percet sem késlekedtek, hanem nyomban nekiláttak a kemence építésének, hogy legyen hol kiégetni a legszükségesebb konyhai edényeket.	-0.3
	Ezzel különösebb nehézségek nélkül sikerült öt nap alatt elkészülniök.	-0.3
	Az ötödik napon már be is fűthettek a kemencébe, mert a mérnök felszínen fekvő szénréteget fedezett föl a Vörös-patak torkolata táján: onnan hordtak kőszenet a téglaégetőbe, és a száz láb magas kéményen nemsokára fölbodorodtak az első füstgomolyok.	-0.3
	A tisztás fazekasműhellyé változott, és Pencroff máris úgy hitte, hogy a kemencéből majd egymás után kerülnek ki a modern ipar legválogatottabb remekei.	-0.3
	A telepesek azonban egyelőre csak egyetlen agyagfazekat gyúrtak: eléggé elnagyolt holmi lett, de főzésre fölöttébb alkalmas.	-0.3
	Az első edényeket magából az agyagos földből mintázták, Cyrus Smith mindössze némi meszet és kvarcot adagoltatott hozzá.	-0.3
	De így is igazi, tűzálló „pipaagyag” keletkezett, korsókat, kövön forrázott csészéket, tányérokat készítettek belőle, nagy, kétfülű fazekakat, csuprokat, köcsögöket, hasas víztárolókat és más hasonló cserép­edényeket.	-0.3
	Alakjuk bizony itt-ott csáléra, sutára sikeredett, mégis, amikor a magas hőfokú kemencéből kikerültek, a Kémény konyhája ugyanannyi hasznukat látta, mintha a legszebb kaolinból - a legtisztább, fehér színű agyagból, amelyet porcelánföldnek is neveznek - koron­golták volna őket.	-0.3
	Itt kell megemlítenünk, hogy Pencroff - akinek furdalta oldalát a kíváncsiság, vajon az ilyen módon tűzállóvá tett agyag méltó-e a pipaagyag elnevezésre - néhány pipafejet formált belőle magának; ezeket az eléggé otromba darabokat ő elragadóan kecsesnek találta, éppen csak a füstölnivaló hiányzott belőlük, sajna! ~~~ Bizony, mi tagadás, Pencroff keservesen nélkülözte a dohányzást. ~~~ - No de majd csak lesz dohány is, és minden egyéb, ami kell! ~~~ - hajtogatta rendíthetetlen bizakodásának szokott lelkesedésével. ~~~ A munka április 15-ig tartott; magától értetődik, hogy Cyrus Smith és társai alaposan kihasználták az időt. ~~~ Telepesekből gölöncsérekké váltak, és nem foglalkoztak egyébbel, mint a fazekasmesterséggel.	-0.3
	Ha Cyrus Smith egyszer azt kívánja tőlük, hogy képezzék át magukat kovácsokká, akkor majd kovácsok lesznek... Holnap azonban vasárnap lesz, mégpedig húsvét vasárnapja; elhatározták hát, hogy ezt a napot a pihenésnek szentelik.	-0.3
	Mint az amerikaiak általában, ők is vallásosak voltak, buzgón s lelkiismeretesen megtartották a Biblia parancsolatait, s az őket sújtó balsors csak még szilárdabbá erősítette hitüket a világmindenség Teremtője iránt.	-0.3
	Április 15-én este végleg visszatértek a Kéménybe.	-0.3
	Addigra már az utolsó agyagedényeket is a helyükre szállították, a kemence pedig, új rendeltetésére várva, kihűlt.	-0.3
	Hazatérésüket szerencsés mozzanat tette emlékezetessé: a mérnök kitűnő taplópótlót fedezett föl.	-0.3
	Tudva­levőleg a tűzfogó tapló, ez a bársonyos tapintású, szivacsos, húsos, növényi anyag, nem egyéb, mint likacsos gombaféleség.	-0.3
	Ez a taplógomba kellőképp kidolgozva rendkívül gyúlékonnyá válik, különösen ha telítik puskaporral, vagy hamuzsírból, sziksóból és salétromsavból kevert, úgynevezett abárló oldatban forralják.	-0.3
	Ám a telepesek mindeddig semmilyen taplógombát sem találtak, sőt még a pótlására alkalmas kucsmagombát sem.	-0.3
	Aznap azonban a mérnök bizonyos ürömféle növényre bukkant, abból a fajtából, amelyhez többek közt az abszint, a citromfű és a tárkony is tartozik; tépett belőle néhány maroknyit, és odanyújtotta a tengerésznek. ~~~ - Fogja, Pencroff - mondta -, ennek örülni fog.	-0.3
	Pencroff figyelmesen szemügyre vette a növényt, amelynek a szárát hosszú, selymes haj, leveleit pedig gyapotszerű pihe borította. ~~~ - Mi a csuda ez, Cyrus úr? ~~~ - kérdezte a tengerész.	-0.4
- Các bạn!	- Az ég szerelmére!	0.875
– ông nói với vẻ bình tĩnh và nghiêm nghị thường ngày của mình – Ý trời đã định và chúng ta bị quẳng lên mảnh đất nhỏ bé này.	Csak nem dohány? ~~~ - Nem - felelte Cyrus Smith -, csak üröm, kínai üröm; a tudósok artemisiának nevezik, mi azonban majd taplóként használjuk.	-0.0136364
	Valóban, ez az üröm, kellőképp kiszárítva, igen gyúlékony tűzfogó; különösen akkor lesz nagyon alkalmas erre a célra, ha majd a mérnök átitatja azzal a kalium-nitráttal vagy egysze­rűbben szólva kálisalétrommal, amely vastag rétegekben található a szigeten.	-0.3
Tôi và các bạn rõ ràng là phải ở lại chốn này, và có lẽ rất lâu đấy.	Aznap este a telepesek a középső szobában gyűltek össze, és pazarul megvacsoráztak.	0.292405
	Nab agutihúslevest főzött, utána pácolt vízidisznósonkát tálalt föl, aztán pedig a „Caladium macrorhizum” főtt gumója következett; ez a kontyvirágúak családjába tartozó növény a trópusi égöv alatt némelykor fa nagyságúra nő.	-0.3
	Gumóján kívül levele és gyümölcse is ehető, de csak főzve, mert nyersen maró, hólyaghúzó hatása van; a néger rabszolgákat valaha fenyítésképpen arra kényszerítették gazdáik, hogy a caladium nyers levét nyelvükre vegyék.	-0.3
	Ezek a rizomák - gyöktörzsek - kitűnő ízűek és igen táplálóak; némileg arra a lisztnemű anyagra emlékeztetnek, amely Angliában portlandi szágó néven ismeretes; bizonyos mértékig pótolja a kenyeret, ebben pedig a Lincoln-sziget lakói még mindig szükséget láttak.	-0.3
	Vacsora végeztével, mielőtt álomra hajtották volna fejüket, Cyrus Smith és társai kisétáltak a tengerpartra, friss levegőt szívni. ~~~ Este nyolc óra volt.	-0.3
	Az éjszaka nagyszerűnek ígérkezett. ~~~ Öt napja múlt holdtölte; a fogyó hold még nem kelt föl, de máris azokkal az enyhe és halványan derengő árnyalatokkal ezüstözte be a láthatárt, amelyeket szinte a fold hajnalhasadásának hívhatnánk.	-0.3
	A zeniten, a Déli-sark táján, ragyogtak a csillagok; valamennyi közt legfénye­sebben a Dél Keresztje tündökölt, amelyet a mérnök a minap a Franklin-hegy ormáról pillantott meg először.	-0.3
Tất nhiên có thế là bất thình lình chúng ta sẽ được cứu giúp, nếu như tình cờ có một con tàu đi qua đảo… Tình cảnh chúng ta như vậy đó, tôi không muốn giấu các bạn một điều gì hết…	Cyrus Smith hosszan elnézte a csúcsán és talapzatán egy-egy elsőrendű, bal oldali szélén egy másodrendű, jobb oldalán pedig egy harmadrendű csillaggal fénylő csillagképet. ~~~ Némi töprengés után megszólalt: ~~~ - Harbert - kérdezte a fiútól -, ugye ma április 15-e van?	-0.10199
	- Igen, Cyrus úr - felelte Harbert. ~~~ - Négy olyan napja van az évnek - mondta a mérnök -, amikor a valódi idő egybeesik az úgynevezett középidővel; nos, ha nem tévedek, holnap éppen ilyen nap következik, s ez azt jelenti, fiacskám, hogy a nap holnap néhány percnyi eltéréssel éppen abban az időpontban halad át a meridiánon, amikor a középidő szerint beállított órák delet mutatnak.	-0.3
	Ha felhőtlen lesz az ég, akkor, úgy vélem, néhány foknyi hibával, megközelítőleg megállapíthatom, hogy melyik hosszúsági körön fekszik a sziget. ~~~ - Műszerek, szextáns45 nélkül? ~~~ - csodálkozott Gedeon Spilett. ~~~ - Igen - felelte a mérnök.	-0.3
	- Sőt, mivel tiszta éjszakánk van, még ma este megkísérlem, hogy a Dél Keresztje, vagyis a déli pólus magasságából kiszámítsam a sziget fekvésének szélességi fokát.	-0.3
	Megérthetitek, barátaim, hogy mielőtt fáradságos munkát fordítanánk a berendez­kedésre, mindent tudnunk kell; mert nem elég megállapítanunk, hogy szigeten vagyunk, hanem azzal is tisztában kell lennünk, vajon milyen távolságra fekszik szigetünk az amerikai vagy ausztráliai szárazföldtől vagy akár a Csendes-óceán valamelyik nagyobb szigetcsoport­jától.	-0.3
	- Csakugyan - ismerte el az újságíró -, ház helyett inkább hajót kell építenünk, ha kiderül, hogy véletlenül nem is kerültünk néhány száz mérföldnél messzebb egyik-másik lakott földterülettől.	-0.6
- Và ngài làm như vậy là đúng, Cyrus Smith thân mến!	- Helyes! ~~~ - vágta rá Cyrus Smith.	0.396875
	- Éppen ezért próbálom ma este megállapítani a szelességi helyzetet, holnap délben pedig azt, hogy melyik hosszúsági fokon is fekszik a Lincoln-sziget.	-0.3
	Ha a mérnöknek lett volna szextánsa, vagyis olyan műszere, amellyel - tükrözés segítségével - pontosan lemérhető a szögtávolság, akkor semmiféle nehézséggel nem járt volna az egész művelet.	-0.3
	Este a sarkcsillag magasságát, másnap a nap delelésének időpontját kellett volna csak megállapítania, hogy megtudja, melyek a sziget koordinátái, vagyis a földrajzi fokhálózatnak azok a vonalai, amelyek a szigeten keresztezik egymást.	-0.3
	De mert nem volt ilyen műszere, valamivel pótolnia kellett.	-0.3
	Cyrus Smith visszatért hát a Kéménybe. ~~~ A tűzhely világosságánál két kis vonalzószerű falapot faragott, s végüket egybetűzve, olyan ügyes körzőféle eszközt barkácsolt, amelynek két szárát tetszés szerint nyithatta szét vagy csukhatta össze.	-0.3
	A vonalzókat a fáskamra tüzelőkészlete közt talált erős akáctüskével illesztette egybe.	-0.3
– nhà báo nhiệt tình đáp lại – Chúng tôi tin tưởng nơi ngài.	Amikor mindezzel elkészült, fogta a „műszert”, s újra kiment a partra.	0.295588
	Ahhoz azonban, hogy megállapíthassa a sarkcsillag magasságát, tisztán kellett látnia a horizontot, de mivel a Karom-fok dél felől elfödte az égaljat, a mérnöknek alkalmasabb megfigyelőhelyet kellett keresnie.	-0.3
	Legmegfelelőbb kétségkívül az egyenesen délnek néző tengerpart lett volna, oda azonban az út a Hála-folyón keresztül vezetett, márpedig ez az áradóban levő mély víz igen nehézzé tette volna az átkelést.	-0.3
	Cyrus Smith ezért elhatározta, hogy inkább fölkapaszkodik a Kilátó-fennsíkra, és ott végzi el a szükséges megfigyeléseket, utóbb majd leméri a fennsík tengerpart fölötti magasságát is - ezt a különbözetet másnap kívánta kiszámítani, mégpedig igen egyszerű, mindennapos mértani módszerrel.	-0.3
	A telepesek a Hála-folyó bal partján haladva fölmásztak a fennsíkra, és elhelyezkedtek a parttal párhuzamosan, északnyugati-délkeleti irányban húzódó, szeszélyes csipkézetű sziklagerinc peremén.	-0.3
	A fennsíknak ez a szakasza mintegy ötvenlábnyira emelkedett a jobb parti magaslatok fölé, amelyek egyik lejtője a Karom-fok csúcsáig, másik lankája pedig egészen a sziget déli partjáig ereszkedett alá.	-0.3
	Semmi sem korlátozta a szabad kilátást, a tekintet akadálytalanul siklott végig a félkörnyi láthatáron, a szirttől egészen a Csúszómászó-fokig.	-0.3
	Délen, ahol a hold első sugarai már megvilágították a mennybolt alját, a tenger élesen elkülönült az égtől, úgyhogy Cyrus Smith több-kevesebb pontossággal megcélozhatta az eszköz egyik szárával ezt a vonalat.	-0.3
	Abban a pillanatban a Dél Keresztje fordított helyzetben mutatkozott a megfigyelő előtt: a déli pólushoz legközelebb eső Alfa csillag most a csillagkép alsó részén tündökölt.	-0.3
	Ez a csillagcsoportozat valamivel távolabb esik a déli pólustól, mint az északi sarkcsillag az északitól.	-0.3
	Az Alfa körülbelül huszonhét foknyira tér el a Déli-sark irányától; Cyrus Smith azonban jól tudta ezt, és számot vetett ezzel a különbséggel.	-0.3
	Arra szintén gondolt, hogy a csillagot úgynevezett alsó delelési pontján se tévessze szem elől, azaz abban a pillanatban is rögzítse a magasságát, amikor a csillag a délkör legmélyebb pontjára ér: ettől a megfigyeléstől a további észleletek megkönnyítését remélte.	-0.3
	Cyrus Smith ekkor a körző egyik szárát a tenger horizontjára, másik szárát pedig az Alfa csillagra irányította, mint valami csillagászati mérőműszer egyik lencséjét: a két vonalzókar ezáltal ugyanolyan szöget zárt be, mint amilyen szögtávolságnyira az Alfa áll a láthatártól.	-0.3
	Végül, az így nyert szöget szilárdan rögzítendő, a mérnök néhány tövissel harmadik lécet erősített a szerkezet két falapocskájára, hogy a két szár el ne mozdulhasson.	-0.3
	Miután ezt elvégezte, nem maradt más teendője, mint hogy lemérje az így nyert szög­távol­ságot, majd a megfigyelést visszavonatkoztassa a tenger szintjére, más szóval: kiszámítsa, hogy a fennsíkról nézve mennyivel látszik mélyebbnek a láthatár, mint a tengerpartról; ehhez persze le kellett mérnie a fennsík tengerszint fölötti magasságát.	-0.3
	Az ekként helyesbített szög határozza majd meg az Alfa, vagyis a déli pólus láthatár fölötti magasságát, tehát azt a szélességi fokot, amelyen a sziget fekszik: egy földi pont földrajzi szélessége ugyanis mindig a déli vagy északi pólusnak a kérdéses pont láthatár fölötti magasságával egyenlő.	-0.3
	Ezeket a számításokat azonban másnapra hagyta a mérnök; és tíz órakor már valamennyien mély álomba merültek. ~~~ TIZENNEGYEDIK FEJEZET	-0.3
	A gránitfal megmérése - A hasonló háromszögek tantételének gyakorlati alkalmazása -	-0.3
	A sziget földrajzi szélessége - Kirándulás az északi partvidékre - Az osztrigatelep -	-0.3
	Tervezgetések - Mikor delel a nap?	-0.3
	- A Lincoln-sziget földrajzi helyzete ~~~ Másnap, április 16-án - húsvét vasárnapján - a telepesek már kora hajnalban elhagyták szállá­sukat, s azzal kezdték a napot, hogy fehérneműt mostak, és kitisztogatták ruhájukat.	-0.3
	A mérnök úgy tervezte, hogy mihelyt megszerzi a szappankészítéshez szükséges anyagokat - zsírt vagy olajat és hamulúgot vagy hamuzsírt -, azonnal nekifog a szappanfőzésnek.	-0.3
	Egyébként a telepesek ruhatára is fölfrissítésre szorult, ennek a fontos kérdésnek a megvitatását azonban hasonlóképpen más alkalomra kellett halasztaniok.	-0.3
	Valamennyiük öltözéke tartós szövetből készült, úgyhogy még a testi munkával járó erős igénybevétel sem igen nyűhette el hat hónapnál hamarabb.	-0.3
	Minden attól függött, milyen messzire fekszik a sziget a lakott földrészektől.	-0.3
Ngài có thể trông cậy vào chúng tôi.	Ezt pedig, ha az idő kedvez, még ma megtudhatják.	0.2625
	A napkorong már föl is bukkant a felhőtlen láthatáron, csodálatosan szép idő ígérkezett; ilyen gyönyörű, derűs őszi napokkal mond végbúcsút mindig a meleg évszak.	-0.3
	Az előző esti megfigyelések még kiegészítésre vártak; elsősorban a Kilátó-fennsík tengerszint fölötti magasságát kellett megmérni.	-0.3
	- Ahhoz is olyasféle szerkentyű kell, mint a tegnap esti?	-0.3
Có phải thế không, các bạn?	- kérdezte Harbert a mérnöktől.	0.3
	- Nem, gyermekem - felelte Cyrus Smith -, más módszerrel próbálkozunk, de ez sem pontat­lanabb, mint amaz.	-0.3
	Harbert mindig szívesen tanult újat, ezért követte a mérnököt, aki lement a part legszélére, hogy minél messzebb távolodjék a gránitfal tövétől.	-0.3
	Pencroff, Nab és az újságíró eközben különféle más munkákkal foglalatoskodott.	-0.3
	Cyrus Smith tizenkét láb hosszú, egyenes rúddal szerelte föl magát: a hosszát előzőleg a lehető legpontosabban megmérte: összehasonlításul saját termete szolgált, amelynek magas­ságát vonalnyi46 pontossággal ismerte.	-0.3
- Cháu sẽ nghe lời ngài trong hết thảy mọi việc, thưa ngài Cyrus Smith, – Harbert nói, cậu nắm chặt tay viên kỹ sư.	Harbert vékony, hajlékony növényi rost végére kötött kavicsot tartott a kezében; ezt a „mérőónt” Cyrus Smith bízta rá.	0.613289
	A part szélétől mintegy húszlábnyira, a gránitfaltól pedig vagy ötszáz lábnyira Cyrus Smith két láb mélyen a fövénybe szúrta a póznát, gondosan megigazgatta, és a „mérőón” segítsé­gével sikerült is a horizontra merőlegesen fölállítania.	-0.3
	Amikor ezzel elkészült, addig hátrált, amíg a homokra hasalva olyan pontot nem talált, ahon­nan a pózna végét és a gránitfal taréját egy vonalban látta.	-0.3
	Ezt a pontot földbe szúrt karóval gondosan megjelölte.	-0.3
- Con sẽ đi với ngài đến cùng trời cuối đất!	Aztán Harberthez fordult. ~~~ - Ismered-e a mértan alapelveit?	0.14
– Nab kêu lên.	- kérdezte tőle.	0.28125
- Còn tôi thì thế này nhé, - chàng thuỷ thủ nói – Pencroff không bao giờ trốn tránh công việc cả!	- Valamelyest, Cyrus úr - felelte szerényen Harbert, aki nem akarta elvetni a sulykot. ~~~ - Emlékszel-e a hasonló háromszögek törvényére? ~~~ - Hogyne - válaszolta Harbert.	0.0124774
	- Az egyik háromszög két oldala úgy aránylik egymáshoz, mint a másik háromszög megfelelő oldalai.	-0.3
Và nếu ngài muốn, thưa ngài Smith, thì chúng ta sẽ làm cho hòn đảo này thành một nước Mỹ nhỏ!	- Nos hát, fiam - mondta a mérnök -, én az imént két ilyen hasonló derékszögű háromszöget alkottam.	0.277895
	A kisebbik háromszög egyik befogója ez a függőlegesen álló rúd, másik befogója a rúd töve, valamint a part szélén letűzött karó közti távolság, átfogója pedig a szememtől a rúd csúcsáig vezető, képzelt vonal.	-0.3
	A nagyobbik háromszög egyik oldala az a meredek sziklafal, amelynek a magasságára éppen kíváncsiak vagyunk, másik oldala a rúd tövét és a sziklafal alapvonalát összekötő egyenes, átfogója pedig a part szélén letűzött karótól a függőlegesen álló rúd felső végén át a gránitfal felső pereméig húzódó képzeletbeli egyenes... ez az egyenes egyébként nem más, mint a kisebbik háromszög átfogójának meghosszabbítása.	-0.3
Tôi chỉ yêu cầu ông một điều thôi.	- Ó, értem már, Cyrus úr! ~~~ - kiáltott föl Harbert.	-0.0292683
- Điều gì?	- Értem már!	1.05
	A rúd és a karó távolsága úgy viszonylik a rúd és a sziklafal közti távolsághoz, mint a rúd magassága a gránitfal magásságához!	-0.3
– nhà báo hỏi.	- Úgy van, Harbert!	0.3
- Chúng ta hãy xem mình không phải như những người xấu số bị nạn, mà là những người đi khai khẩn, đến hòn đảo này với mục đích duy nhất là tạo dựng vùng di dân ở đây!	- felelte a mérnök. ~~~ - Ha tehát lemérjük ezt a távolságot, és ismerjük a rúd magasságát, akkor már csak egyszerű arányszámítást kell végeznünk, hogy megtudjuk, milyen magas a gránitfal; ezzel a módszerrel mindenféle fáradságos közvetlen méricskélést meg­takarít­hatunk.	-0.0050759
	A vízszintes távolságok megállapításához magát a rudat használták mérőeszközül, mert annak a homokból kiálló része pontosan tíz láb hosszúságú volt.	-0.3
	A rúd töve és a fövenybe szúrt karó közt Cyrus Smith tizenöt lábnyi távolságot mért le.	-0.3
	A második, nagyobb távolságot is lemérték; a rúd ötszáz lábnyira állt a gránitfal lábától.	-0.3
Cyrus Smith không thể nén nổi nụ cười.	Ezzel Cyrus Smith és a fiú befejezték munkájukat, és visszatértek a Kéménybe.	0.743411
	Otthon a mérnök sima, réteges palakövet húzott elő, amelyet kirándulásaik egyikén talált, s a táblaszerű felületre kemény kagylóhéj hegyével ezt az arányszámítást karcolta föl: ~~~ 15:500 = 10:x ~~~ 500×10 = 5000 ~~~ 5000 ~~~ ——— = 333,33 ~~~ 15	-0.3
	Ebből tehát kiderült, hogy a gránitfal magassága körülbelül háromszázharminchárom lábnyi.	-0.3
	Cyrus Smith ekkor ismét elővette az előző este összeeszkábált eszközt: a két rögzített körző­szár most is az Alfa csillag és a horizont szögtávolságát mutatta.	-0.3
	A mérnök nagy kört rajzolt, és annak a kerületét szemmérték szerint háromszázhatvan egyenlő részre osztotta.	-0.3
	Majd ezen az ábrán nagyon pontosan lemérte a körzőszárak által bezárt szöget, és megállapította, hogy a két léc szögtávolsága tíz fok.	-0.3
	A déli pólus és a horizont szögtávolságához most még hozzá kellett adnia azt a huszonhét fokot, amellyel az Alfa eltér a déli pólus irányától, az ered­ményből pedig le kellett vonnia a megfigyelés színhelyéül szolgáló fennsík és a tenger színe közti, fokokban kifejezett magasságkülönbséget; végeredményként kiderült, hogy a déli pólus és a láthatár szögtávolsága harminchét fok.	-0.3
	Cyrus Smith tehát megállapította, hogy a Lincoln-sziget a déli szélesség harminchetedik fokán fekszik, illetve - mivel a kezdetleges mérő­esz­közök könnyen okozhattak ötfoknyi hibát - valahol a harmincötödik és a negyvenedik délkör közt.	-0.3
	Már csak a hosszúsági fok hiányzott a sziget földrajzi adatai közül.	-0.3
	A mérnök azt remélte, hogy ennek meghatározására még aznap sor kerülhet, mégpedig a nap delelésének pillanatá­ban.	-0.3
	A telepesek elhatározták, hogy ezt a vasárnapot sétával töltik, jobban mondva: fölkutatják a tó északi partja és a Cápa-öböl közti részt, sőt ha az idő engedi, egészen a Déli-Állkapocs-fok felső hajlatáig folytatják a fölfedező utat.	-0.3
	Majd a fövényhalmok közt ebédelnek, és csak estefelé térnek haza.	-0.3
Lời đề nghị của chàng thuỷ thủ được chấp nhận.	Reggel fél kilenckor a kis csoport már a csatorna partján haladt.	0.294915
Sau đó, viên kỹ sư đã cảm ơn những người bạn của mình về sự tin cậy mà họ đặt nơi ông và nói thêm rằng ông hết sức trông mong vào nghị lực của họ cũng như sự phù hộ của thượng đế.	A túlsó parton, a Menedék-zátonyon rengeteg madár sétálgatott nagy komolyan. ~~~ Pingvinféle búvármadarak voltak, messziről fölismerték őket a pingvinek szamárordításhoz hasonló, fülsértő rikácsolásáról.	-0.000728155
	Pencroff, akit csupán az érdekelt, ehetők-e, roppant elégedetten vette tudomásul, hogy húsuk, bár némiképp szürke, mindazonáltal igen ízletes.	-0.3
	A fölfedezők behemót kétéltűeket is láttak mászkálni a zátony fövényén, kétségkívül fókákat: nyilvánvalóan ezt a szigetecskét választották pihenőhelyül.	-0.3
	Élelmezési szempontból ezek már nem jöttek számításba, mert a fókahús undorítóan olajos; Cyrus Smith mégis figyelmesen szemlélgette őket, majd minden külön magyarázat nélkül közölte társaival, hogy rövidesen látogatást tesznek a kis szigeten.	-0.3
	A parton, amerre a telepesek jártak, számtalan kagyló hevert, némelyikük óriási örömet okozott volna a kagylóritkaságok kedvelőinek.	-0.3
	Egyebek közt akadtak köztük fésűskagylók, gyöngykagylók, fúrókagylók és más hasonlók.	-0.3
	Közvetlenebb hasznot ígért azonban az a terje­delmes osztrigatelep, amelyet Nab fedezett föl az apály idején szárazra került sziklák közt, a Kéménytől körülbelül négymérföldnyire. ~~~ - No, Nab aztán nem vesztegeti az időt!	-0.3
	- kurjantott föl Pencroff, és érdeklődve nézegette a tengerben húzódó osztrigatelepet.	-0.3
	- Valóban szerencsés fölfedezés - jegyezte meg a hírlaptudósító -, mert ha igaz, hogy minden osztriga évente ötven- vagy hetvenezer petét rak, akkor igazán kimeríthetetlen raktárra tettünk szert.	-0.3
	- Csakhogy én azt hiszem, az osztriga nem valami tápláló eledel - szólt közbe Harbert.	-0.3
	- Nem bizony - felelte Cyrus Smith.	-0.3
	- Igen kevés benne a nitrogén, és aki pusztán ebből akar megélni, annak naponta legalább tizenöt-tizenhat tucatot kell bekebeleznie. ~~~ - Az se riaszt vissza minket!	-0.3
- Khoan đã, các bạn!	- szavalta Pencroff.	1.00263
	- Hiszen ha tucatjával nyeldessük is ezeket a her­kentyűket, akkor se fogy ki ez a telep.	-0.3
	Mi lenne, ha máris gyűjtenénk egy kis ebédre­valót...?	-0.3
	Választ se várt javaslatára - bizonyosra vette, hogy ajánlatát egyhangúlag elfogadják -, hanem Nabbel együtt nekiállt, és jókora mennyiségű puhányt szedtek össze.	-0.3
	Nab egy maga fonta mályvarost hálóba rakta a zsákmányt, a többi útravaló mellé; a telepesek pedig folytatták a parti sétát a fövényhalmok és a tenger szegélye közt.	-0.3
	Cyrus Smith hébe-korba órájára pillantott, hogy el ne mulassza a megfigyelés időpontját: a tervezett vizsgálatot ugyanis pontosan délben kellett elvégeznie.	-0.3
– kỹ sư ngăn mọi người lại – Tôi thiết nghĩ nên đặt tên cho hòn đảo của chúng ta, cho từng mũi biển, từng doi đất, lẫn những con suối mà chúng ta đã nhìn thấy ở đây.	A szigetnek ez a fertálya, egészen az Unió-öblöt lezáró Déli-Állkapocs-fokig, teljesen kopár volt. ~~~ A fölfedezők nem láttak mást, mint fövényt, kagylókat és lávatörmeléket.	-0.0112717
	Legföljebb néhány tengeri madár tévedt erre a kietlen partvidékre: egy-két apró halászka vagy nagy testű albatrosz; nagy ritkán vadkacsák húztak el fölöttük, és jócskán fölcsigázták Pencroff étvágyát.	-0.3
	A tengerész utánuk is eresztett néhány nyílvesszőt, de eredmény nélkül, azoknak ugyanis sehogy sem akaródzott veszteg maradni, márpedig röptükben nem találhatta el őket.	-0.3
	A balsikerű vadászat után Pencroff váltig hajtogatta:	-0.3
	- Lám, én megmondtam, Cyrus úr: amíg nincs puska, addig az étrendünk hiányos marad!	-0.3
	- Bizonyára, Pencroff - felelte az újságíró -, de hát ez pusztán magától függ.	-0.3
	Kerítsen valahonnan puskacsőnek való vasat, gyújtóserpenyőbe való acélt, lőporba szükséges ként, szenet és salétromot, durranó kéneső készítésére szolgáló higanyt, salétromsavat és borszeszt, végezetül golyóbisöntéshez ólmot, és biztosítom, Cyrus barátom tüstént elsőrangú karabélyt barkácsol.	-0.3
- “Hang ngụ cư” chẳng hạn.	- Hohó! ~~~ - felelte a mérnök.	0.273214
	- Nem is ez a bökkenő, hiszen nyersanyag alighanem akad majd a szigeten; hanem a puska kényes szerszám, rendkívül finom műszerek kellenek ám a gyártósához.	-0.3
– Harbert nhận xét.	No de majd meglátjuk!	0.27
	- Lám - kiáltott föl Pencroff -, miért is hajigáltuk ki minden fegyverünket a gondolából, meg minden holminkat, még a zsebkésünket is!...	-0.3
	- Ugyan, Pencroff, ha mindezt nem dobáljuk ki a léghajóból, akkor mi pottyanunk a tenger feneketlen fenekére! ~~~ - szólt rá Harbert.	-0.3
	- Sajnos, igazad van, fiacskám... - bólogatott a tengerész.	-0.3
	Aztán gyorsan másra terelte a szót: - Hej, mekkorát nézhettek Jonathan Forster meg a cimborái, amikor reggelre kelve hűlt helyét találták a léggömbnek!	-0.3
	- Kisebb gondom is nagyobb annál, hogy mit szóltak hozzá Forsterék!	-0.3
	- vont vállat az újságíró.	-0.3
