ĐỎ VÀ ĐEN (Tập 1)	Vörös és fekete	0.229412
Ông de Rênal nghe thấy tiếng nói chuyện, từ buồng giấy bước ra; cũng lấy dáng bệ vệ và nhân từ như khi ông làm phép cưới ở tòa thị chính, ông nói với Julien:	Beszédet hallva, de Rênal úr kijött az irodájából; ugyanazzal a méltóságos és atyai arczkifejezéssel, a melylyel a polgármesteri hivatalban az esketéseket szokta végezni, így szólt Julienhez:	0.499415
— Chủ yếu là tôi phải nói chuyện với ông trước khi bọn trẻ trông thấy ông.	- Beszélnem kell önnel, mielőtt a gyermekek meglátják.	0.113208
Ông đưa Julien vào một gian phòng và giữ vợ lại khi bà này muốn lánh đi để họ được một mình.	Bevezette Julient egy szobába és ott marasztotta feleségét is, a ki magukra akarta hagyni őket.	0.241379
Cửa đóng lại rồi, ông de Rênal trịnh trọng ngồi xuống.	Az ajtó bezárult és de Rênal úr nagy komolysággal leült.	0.801818
— Ông cha xứ có nói với tôi rằng ông là một người lương hảo, mọi người ở đây sẽ đối xử với ông một cách quý trọng, và nếu tôi được hài lòng, tôi sẽ giúp đỡ ông sau này gây dựng lấy một chức nghiệp cỏn con.	- A plébános úr úgy nyilatkozott, hogy ön jóravaló ember, itt mindenki tisztelettel fog önnel bánni és ha meg leszek elégedve, később majd abban is segítségére leszek, hogy valamihez kezdhessen.	0.207692
Tôi muốn rằng từ nay ông đừng gặp họ mạc bạn bè gì nữa, lời ăn tiếng nói của họ không thể thích hợp với các con tôi được.	Rokonaival és barátaival azonban nem szabad többé közlekednie; az a társaság nem illik gyermekeimhez.	0.159375
Đây là ba mươi sáu quan cho tháng đầu; nhưng tôi yêu cầu ông phải hứa là không được cho ông cụ nhà ông một xu nào về món tiền này.	Itt van az első hónapra harminczhat franc; de meg kell fogadnia, hogy ebből a pénzből egy garast sem ad az apjának.	0.185294
Ông de Rênal vẫn tức lão già, trong việc này, đã tinh ranh hơn ông.	De Rênal úr haragudott az öregre, a ki ebben az ügyletben ravaszabb volt, mint ő.	0.470109
— Bây giờ, thưa ông, vì theo lệnh của tôi tất cả mọi người ở đây sẽ gọi ông bằng ông, và ông sẽ thấy rằng vào một nhà tử tế có lợi như thế nào; bây giờ, thưa ông, không nên để cho lũ trẻ trông thấy ông mặc áo ngắn.	- Most pedig, uram, mert megparancsoltam, hogy itt mindenki urazza önt és ebből is fogja érezni, mily jó, ha előkelő házba jut az ember; most pedig, uram, nem való, hogy a gyermekek ingujjban lássák meg.	0.197238
Bọn người nhà chúng nó đã trông thấy ông ấy chưa?	A cselédek látták?	-0.255
Ông de Rênal nói với vợ.	- kérdé de Rênal úr nejétől.	1.12381
— Chưa, mình ạ, bà trả lời, vẻ trầm ngâm.	- Nem, barátom, - felelt de Rênal-né, gondolatokba mélyedt arczczal.	0.208163
— Thế thì tốt.	- Annál jobb.	0.161538
Ông hãy mặc cái này vào, ông nói với chàng thanh niên ngơ ngác, và đưa cho anh một cái áo redingote của ông.	Öltse magára addig ezt, - szólt a meglepett fiatal emberhez, a maga kabátjai közül nyújtva át neki egyet.	0.256701
Bây giờ ta đi đến ông Durand, nhà hàng len dạ.	- És most gyerünk Durand-hoz, a posztókereskedőhöz.	0.287755
Hơn một giờ sau, khi ông de Rênal trở về với chàng gia sư, quần áo đen tuyền, ông thấy vợ vẫn ngồi y nguyên chỗ cũ.	Mikor több mint egy óra múlva de Rênal úr a talpig feketébe öltözött új nevelővel visszatért, feleségét még ugyanazon a helyen találta ülve.	0.520968
Bà thấy sự có mặt của Julien làm cho bà yên tâm, vì khi ngắm nghía anh, bà quên nỗi sợ anh.	Julien jelenléte megnyugtatólag hatott reá; a míg vizsgálóan nézte, elfelejtette, hogy fél tőle.	0.511094
Julien thì không nghĩ đến bà, mặc dầu anh vẫn nghi ngờ số mệnh và người đời, tâm hồn anh lúc này chỉ là tâm hồn một đứa trẻ thơ, anh tưởng chừng như đã sống bao nhiêu tháng kể từ lúc, mới cách đây ba giờ, anh run sợ trong nhà thờ.	Julien nem törődött vele; a sors és az emberek iránt való minden gyanakodása ellenére, lelke e pillanatban tisztára egy gyermeké volt; úgy tetszett neki, mintha esztendőket élt volna át a pillanat óta, a mikor, három órával előbb, reszketve állt a templomban.	0.355179
Anh nhận thấy vẻ lạnh lùng của bà de Rênal, anh hiểu rằng bà ta tức giận về việc anh đã dám hôn tay bà.	Észrevette de Rênal-né jeges arczkifejezését, megértette, hogy haragszik, a miért meg merte csókolni a kezét.	0.470357
Nhưng cái tư tưởng kiêu hãnh do được mặc vào người những quần áo khác xa với những quần áo anh vẫn mặc quen xưa nay làm cho anh rất phớn phở, và anh rất muốn giấu nỗi vui mừng, cho nên mọi cử chỉ của anh đều có cái gì cộc lốc và điên dại.	A büszkeség érzése azonban, a mit a megszokottaktól oly különböző ruha viselése keltett benne, annyira elbódította és oly nagyon igyekezett leplezni örömét, hogy minden mozdúlatának valami vad és eszeveszett jellege volt.	0.227488
Bà de Rênal ngắm nhìn anh với con mắt ngạc nhiên.	De Rênal-né csodálkozó pillantással szemlélte.	0.281633
— Phải trang nghiêm vào ông ạ, ông de Rênal bảo anh, nếu ông muốn được các con tôi và bọn người nhà của tôi kính trọng.	- Komolyság, uram, - szólt hozzá de Rênal úr, - ha azt akarja, hogy gyermekeim és a háznép tiszteljék.	0.481915
— Thưa ông, Julien trả lời, tôi mặc những quần áo mới này hãy còn thấy ngượng nghịu; tôi là một anh nhà quê nghèo chỉ mặc toàn áo ngắn từ trước đến nay thôi; xin phép ông để tôi rút lui về buồng riêng.	- Uram - felelt Julien - feszélyezve érzem magamat ebben az új ruhában; szegény paraszt lévén, mindig mellényben jártam; ha megengedi, szobámba megyek.	0.249286
— Mình thấy cái của mới tậu này thế nào?	- Mit szólsz hozzá?	-0.157895
Ông de Rênal hỏi vợ.	- kérdé de Rênal úr a feleségétől.	1.13043
Hầu như có bản năng xui khiến, mà chắc chắn bà không nhận thức rõ, bà de Rênal che giấu sự thật với chồng.	De Rênal-né szinte ösztönszerűleg, a nélkül azonban, hogy erről számot adott volna magának, eltitkolta az igazat.	0.277982
— Tôi không được vui mừng bằng ông về cậu bé nhà quê đó, ông cứ ân cần vồn vã thế, rồi sẽ làm cho hắn trở thành láo xược, và không đầy một tháng, ông sẽ bắt buộc phải tống cổ hắn đi cho mà xem.	- Nem vagyok annyira elragadtatva ettől a kis paraszttól, mint te; udvariasságoddal szemtelenné fogod tenni és egy hónap múlva kénytelen léssz elbocsátani. ~~~ - Nos, el fogjuk bocsátani.	-0.0429825
— Thì ta sẽ tống cổ đi chứ sao, bất quá chỉ tốn kém vào đấy khoảng một trăm quan, nhưng thành phố Verrières sẽ được quen mắt thấy con cái ông de Rênal có một gia sư.	Száz francba fog kerülni és Verrières hozzá lesz szokva, hogy de Rênal úr gyermekeinek nevelőjük van.	0.566912
Mục tiêu đó sẽ không đạt được nếu tôi cứ để cho Julien mặc quần áo thợ thuyền.	Ezt a czélt nem érhettem volna el, ha Julient meghagyom paraszt-ruhájában.	0.191304
Khi đuổi hắn đi, cố nhiên tôi sẽ giữ lại bộ quần áo dài đen mà tôi vừa mới cắt ở cửa hàng len dạ.	Magától értetődik, hogy ha elbocsátom, az öltözet, a mit a posztósnál rendeltem neki, itt marad.	0.234783
Hắn sẽ chỉ còn bộ áo may sẵn tôi vừa mới mua ở hiệu thợ may, và vừa đắp vào người hắn thôi.	Csak azt viheti magával, a mit készen találtam a szabónál és a mibe belebújtattam.	0.187013
Một giờ đồng hồ Julien ở trong phòng riêng, bà de Rênal thấy chỉ là một khoảnh khắc.	Az az óra, a mit Julien a szobájában töltött, de Rênal-nénak mintha csak egy percz lett volna.	0.605426
Lũ trẻ, được báo tin có gia sư mới đến, xúm xít hỏi mẹ không ngớt lời.	A gyermekeik, a kiknek megmondták, hogy itt az új nevelő, kérdésekkel ostromolták anyjukat.	0.281481
Sau cùng, Julien hiện ra.	Végre megjelent Julien.	0.273913
Anh đã thành một người khác hẳn.	Ez egy más ember volt.	0.03
Bảo rằng anh có vẻ trang nghiêm thì không được đúng; anh là sự trang nghiêm hiện thân.	Azt mondani róla, hogy komoly volt, kevés lenne; a megtestesűlt komolyság volt.	0.217808
Anh được giới thiệu với bọn trẻ, và nói chuyện với chúng bằng một thái độ làm cho chính ông de Rênal cũng phải ngạc nhiên.	Bemutatták a gyermekeknek és ő oly hangon szólt hozzájuk, a mely még magát de Rênal urat is csodálkozásba ejtette.	0.515888
— Các cậu ạ, anh nói với chúng khi kết thúc lời diễn từ, tôi đến đây để dạy các cậu học tiếng La tinh.	- Azért vagyok itt, uraim, - fejezte be beszédét, - hogy önöket latinra tanítsam.	0.132
Các cậu biết thế nào là đọc thuộc lòng một bài học.	Tudják, hogy mi az: fölmondani a leczkét.	0.130769
Đây là quyển Thánh kinh, anh vừa nói vừa chỉ cho chúng một quyển sách nhỏ in - 32, đóng bìa màu đen.	Itt van a szent biblia, - mondá egy kis harminczkettedrétű, feketébe kötött könyvet mutatva nekik.	0.445109
Đặc biệt là chuyện Đức Chúa Jésus-Christ, đó là phần gọi là Tân Ước.	- Ez tulajdonképpen a mi urunk Jézus Krisztus története, a bibliának az a része, a mit új-szövetségnek neveznek.	0.211111
Tôi sẽ cho các cậu đọc thuộc lòng luôn, bây giờ các cậu hãy bắt tôi đọc bài của tôi đi nào.	Én gyakran fogom önökkel fölmondatni a leczkéjüket, mondassák föl most velem az enyémet.	0.240698
Adolphe, thằng lớn nhất, đã cầm lấy quyển sách.	- Adolf, a ki a legidősebb volt a gyermekek között, elvette a könyvet.	0.256364
— Cậu hãy mở bất cứ trang nào, Julien nói tiếp, và cho tôi biết tiếng đầu của một đoạn xuống dòng.	- Üsse föl bárhol, - folytatá Julien - és mondja meg a versszak első szavát.	0.3075
Tôi sẽ đọc thuộc lòng quyển thánh thư, phép tắc ăn ở của tất cả chúng ta, cho đến khi nào cậu bảo tôi dừng lại.	Kívülről fogom elmondani a szent könyvet, mindnyájunk cselekedeteinek vezérfonalát, a míg csak meg nem állít.	0.243396
Adolphe mở quyển sách, đọc một tiếng, và Julien đọc tất cả trang một cách dễ dàng như thể anh nói tiếng Pháp vậy.	Adolf kinyitotta a könyvet, elolvasott egy szót és Julien fölmondta az egész oldalt, oly könnyűséggel, mintha anyanyelvén beszélt volna.	0.442857
Ông de Rênal nhìn vợ có vẻ đắc thắng.	De Rênal úr diadalmas pillantást vetett nejére.	0.65407
Thấy bố mẹ ngạc nhiên, lũ trẻ cũng trố mắt ra.	A gyermekek, látva szülőik csodálkozását, tágra nyitották szemüket.	0.211111
Một tên người nhà đến cửa phòng khách, Julien vẫn tiếp tục nói tiếng La tinh.	Egy szolga a szalon ajtajához jött, Julien tovább beszélt latinul.	0.456598
Tên người nhà lúc đầu đứng lặng yên, rồi sau biến mất.	A szolga először mintegy megmerevedve állt, azután eltűnt.	0.257895
Chỉ chốc lát, chị hầu phòng của bà chủ và chị đầu bếp kéo đến gần cửa; lúc đó Adolphe đã mở quyển sách đến tám chỗ, và lần nào Julien cũng đọc thuộc lòng một cách dễ dàng như nhau.	Csakhamar megjelent az ajtónál de Rênal-né komornája és a szakácsnő; Adolf akkorra már nyolcz helyen ütötte föl a könyvet és Julien mindannyiszor egyenlő könnyűséggel mondta el a szöveget.	0.362012
— Ồ, lạy Chúa!	- Istenem, teremtőm!	0.284211
Ông thầy tu bé nhỏ xinh quá, chị đầu bếp, một cô gái xởi lởi và rất sùng đạo, nói to lên.	be helyes egy kis pap, - szólt hangosan a szakácsnő, a ki nagyon vallásos nő volt.	0.189041
Lòng tự ái của ông de Rênal đâm ra băn khoăn; không nghĩ gì đến chuyện thẩm sát chàng gia sư, ông còn mải tìm trong trí nhớ vài tiếng La tinh; sau cùng ông đọc được một câu thơ của Horace .	De Rênal úr hiúsága nyugtalankodni kezdett; távolról sem gondolt arra, hogy vizsgáztassa a nevelőt, hanem azzal volt elfoglalva, hogy emlékezetében néhány latin szó után kutasson; végre sikerült kihoznia Horatius egy verssorát.	0.369629
Về tiếng La tinh, Julien chỉ biết có quyển Kinh Thánh của anh thôi.	Julien nem tudott egyebet latinul, csak a bibliát.	0.466667
Anh cau mày trả lời:	Szemöldökét összevonva, így felelt:	0.0818182
— Thánh chức mà tôi chủ định theo đòi, đã cấm tôi đọc một nhà thơ phàm tục như vậy.	- A szent hivatás, melyre magamat szántam, tiltja, hogy egy ily világi költőt olvassak.	0.23625
Ông de Rênal liền đọc một số khá nhiều những câu thơ bảo là của Horace.	De Rênal úr most egy csomó állítólagos horatiusi verssort idézett.	0.503497
Ông cắt nghĩa cho các con ông nghe thơ Horace là thế nào; nhưng lũ trẻ, đương thán phục mê tơi, không để ý gì đến những điều ông nói.	Elmagyarázta gyermekeinek, hogy ki volt Horatius, de az ámúló gyermekek nem hallgattak reá.	0.0917647
Chúng nhìn Julien.	Julient nézték.	0.264706
Bọn người nhà vẫn đứng ở cửa, nên Julien thấy cần phải kéo dài cuộc thử thách: ~~~ — Cậu Stanislas-Xavier, anh nói với đứa trẻ bé nhất, cũng phải chỉ cho tôi một đoạn trong Kinh Thánh chứ.	A cselédek még mindig ott álltak az ajtónál, Julien úgy vélte, hogy folytatni kell a próbát: - Stanislas-Xavier úr is mutasson egy helyet a szent könyvből, - szólt a legfiatalabb gyermekhez.	-0.0293103
Cậu bé Stanislas, rất hãnh diện, đọc bập bẹ tiếng thứ nhất của một đoạn xuống dòng, và Julien liền đọc tất cả trang.	A kis Stanislas nagy büszkén valahogy elolvasta egy versszak első szavát és Julien elmondta az egész oldalt.	0.357576
Để cho sự đắc thắng của ông de Rênal được đầy đủ trọn vẹn, trong khi Julien đương đọc, thì ông Valenod, người chủ của những con ngựa normand đẹp, và ông Charcot de Maugiron, quận trưởng sở tại bước vào.	Hogy semmi hiánya se legyen de Rênal úr diadalának, a míg Julien kivülről mondta a latin szöveget, belépett Valenod úr, a szép parádéslovak tulajdonosa és Charcot de Maugiron úr, a kerület al-préfetje.	0.690716
Cảnh huống đó làm cho Julien tranh thủ được cái danh hiệu là ông; ngay cả đến bọn người nhà cũng không dám từ chối anh cái danh hiệu đó.	Ez a jelenet újabb megurazáshoz juttatta Julien-t; még a cselédek sem merték e czímzést megtagadni tőle.	0.143878
Tối hôm đó, tất cả Verrières đổ xô đến nhà ông de Rênal để xem của lạ.	Este egész Verrières odaözönlött de Rênal úrhoz, hogy lássák a csodát.	1.00352
Julien ứng đáp mọi người với một vẻ nghiêm trầm khiến người ta không dám lần khần.	Julien mindenkinek komor arczczal válaszolt, a mi nem engedte meg a közeledést.	0.430769
Thanh danh của anh lan đi rất nhanh chóng trong thành phố, đến nỗi ít ngày sau, ông de Rênal, sợ người ta cướp mất anh đi, đề nghị anh ký một bản hợp đồng hai năm.	Híre oly gyorsan terjedt a városban, hogy néhány nap múlva de Rênal úr, attól tartva, hogy elviszik tőle, két évre való szerződést ajánlott neki.	0.343913
— Không, thưa ông, Julien lạnh lùng trả lời, ví thử ông muốn đuổi tôi đi, tôi vẫn cứ bắt buộc phải đi.	- Nem, uram, - felelt hidegen Julien, - ha ön el akarna küldeni, nekem mennem kellene.	0.12973
Một bản hợp đồng ràng buộc tôi mà không bắt buộc gì ông hết, là không bình đẳng, tôi từ chối.	Az oly szerződés, mely engem leköt, de önt semmire sem kötelezi, nem igazságos, - nem fogadom el.	0.231818
Julien khéo xử sự đến nỗi, sau khi anh đến nhà này chưa đầy một tháng, chính ông de Rênal cũng phải kính nể anh.	Julien oly jól tudta intézni dolgait, hogy belépése óta egy hónap sem múlt még el és maga de Rênal úr is tisztelte.	0.651682
Vì ông cha xứ đã bất hòa với các ông de Rênal và Valenod, nên không ai có thể tiết lộ mối cuồng nhiệt cũ của Julien đối với Napoléon, hễ cứ nói đến Napoléon là anh tỏ ra vẻ kinh tởm.	Minthogy a plébános haragban volt de Rênal és Valenod urakkal, senki sem árulhatta el, hogy Julien egykor mily rajongással viseltetett Napoleon iránt; ő maga csak az irtózat kifejezésével beszélt róla.	0.572581
CHƯƠNG VII	VII.	-0.12
THANH KHÍ TƯƠNG ĐỒNG	LELKI ROKONSÁGOK.	0.2
Họ chỉ biết xúc động trái tim người bằng cách làm cho nó tê tái	Csak úgy tudnak a szívhez férkőzni, hogy sebet ütnek rajta.	0.219643
MỘT TÁC GIẢ HIỆN ĐẠI	Modern szerző.	0.06
Lũ trẻ yêu quý anh, nhưng anh không yêu chúng; tâm tư của anh còn ở những đâu đâu.	A gyermekek bálványozták, ő csöppet sem szerette őket; gondolatai másutt jártak.	0.26962
Những đứa trẻ có muốn làm gì, anh cũng không bao giờ nổi nóng.	Bármit műveltek is légyen ez apróságok, a legkevésbbé sem háborgatta türelmét.	0.256522
Lạnh lùng, công bằng, thản nhiên, nhưng tuy vậy được yêu mến, vì anh đến nhà này có thể nói là khiến cho sự buồn chán phải ra đi, anh là một gia sư tốt.	Hogy hideg, pártatlan, szenvtelen volt és e mellett mégis szerették, mert ottléte mintegy kiűzte az unalmat a házból, jó nevelő vált belőle.	0.225
Về phần anh, anh chỉ cảm thấy thù ghét và kinh tởm cái xã hội thượng lưu mà anh được dự vào, nói thật ra là ở cuối bàn, có lẽ vì thế mà anh thù ghét và kinh tởm.	A mi őt illeti, csak gyűlöletet és irtózatot érzett az úri társaság iránt, a melyben helyet kapott, igaz, hogy csak az asztal végén, a mi talán megmagyarázza a gyűlöletet és az irtózatot.	0.3
Có những bữa tiệc long trọng, trong đó anh khó lòng lắm mới nén được mối căm thù của anh đối với tất cả những cái chung quanh anh.	Volt néhány ünnepi ebéd, a mikor csak nagy erőfeszítéssel tudta visszafojtani gyűlöletét mindaz iránt, a mi körülvette.	0.233333
Chẳng hạn một ngày lễ Saint-Louis, ông Valenod cầm đầu cuộc đàm luận ở nhà ông de Rênal, Julien suýt nữa thì không nén được mình; anh bỏ chạy ra vườn, lấy cớ là đi thăm nom lũ trẻ.	Egy Szent Lajos-napon, a mikor Valenod úr ott koczkázott de Rênal úrral, Julien majd hogy el nem árulta magát; azzal az ürügygyel, hogy a gyermekekhez megy, kimenekült a kertbe.	0.528302
Họ ca tụng sự liêm khiết mới ghê chứ!	- Hogy’ dicsőítik a tisztességet! ~~~ - kiáltott föl.	-0.0272727
Anh kêu lên; tưởng chừng như đó là một cái đạo đức duy nhất! ~~~ Vậy mà họ trọng vọng biết bao một người rõ ràng đã làm giàu gấp đôi gấp ba lần, từ khi hắn quản lý tài sản của người nghèo!	- Azt mondaná az ember, hogy ez az egyetlen erény; és mégis mily tekintélyben, mily aljas tiszteletben részesül egy ember, a kiről mindenki tudja, hogy a mióta a szegény-alapot kezeli, megduplázta, vagy megháromszorozta a vagyonát.	-0.0014218
Ta có thể cuộc rằng hắn kiếm lợi cả về những món tiền dành cho những trẻ con vô thừa nhận, những đứa trẻ nghèo khổ mà nỗi khổ cực còn thiêng liêng hơn nỗi khổ cực của những người khác! ~~~ Chà!	Fogadni mernék, hogy még abból is zsebel, a mi a talált gyermekeket illeti, azokat a szerencsétleneket, a kiknek nyomora még szentebb, mint a többieké!	-0.0821168
những quân tàn ác!	Szörnyetegek!	0.18
Những quân tàn ác!	Szörnyetegek!	0.18
Chính ta đây nữa, ta cũng là một đứa trẻ vô thừa nhận, bị bỏ, các anh và cả nhà thù ghét.	És magam is, a ki apám, testvéreim, egész családom gyűlöletének vagyok a tárgya: én is mintegy a talált gyermekek közé tartozom.	0.230303
Mấy hôm trước ngày lễ Saint-Louis, Julien đương đi dạo chơi một mình và đọc kinh cầu nguyện, trong một khu rừng nhỏ, gọi là Vọng đài, cao chót vót bên trên con Đường Dạo Trung Thành, đã cố tìm cách lánh mặt hai thằng anh ruột, mà anh trông thấy từ xa đi tới theo một con đường mòn hẻo lánh, nhưng không lánh kịp.	Néhány nappal Szent Lajos-ünnepe előtt Julien, a mint egyedül és breviáriumát olvasgatva egy kis erdőben sétált, melyet Belvedère-nek neveznek és a mely a Hűség útja fölött terűl el, nem tudta kikerülni két fivérét, a kiket egy magányos ösvényen már messziről közeledni látott.	0.222472
Những tên thợ xẻ thô bỉ kia trông thấy bộ áo dài đen óng ả, cái vẻ cực kỳ sạch sẽ tinh tươm của thằng em, và vẻ khinh bỉ thật thà của anh đối với chúng, bèn nổi cơn ghen tức đến nỗi chúng đánh anh bất tỉnh nhân sự và máu me đầm đìa.	Testvérük szép fekete ruhája, kiválóan csinos megjelenése és a leplezetlen megvetés, a mit irántuk érzett, annyira fölingerelte e durva munkások irígységét, hogy megverték, úgy, hogy ájultan és vérezve maradt a földön.	0.232075
Bà de Rênal, đương dạo chơi với ông Valenod và ông quận trưởng, ngẫu nhiên đi tới khu rừng nhỏ; bà trông thấy Julien nằm sóng soài trên mặt đất, tưởng là anh đã chết.	De Rênal-né, a ki Valenod úrral és az alprefét-vel sétált, véletlenül a kis erdőbe tévedt; látta, hogy Julien a földön fekszik és azt hitte, meghalt.	0.441408
Bà xúc động đến nỗi làm cho ông Valenod phải ghen.	Megrendűlése oly nagy volt, hogy Valenod úrban féltékenységet keltett.	0.523636
Ông này lo sớm quá, Julien thấy bà de Rênal tuyệt đẹp, nhưng anh thù ghét bà vì sắc đẹp đó; đây là mối chướng ngại đầu tiên, suýt nữa thì chặn đứng bước đường sự nghiệp của anh.	E vészjelzés korai volt. ~~~ Julien nagyon szépnek találta de Rênal-nét, de gyűlölte szépsége miatt; ez volt az első zátony, a melyen szerencséje majdnem megfeneklett.	0.0615594
Anh nói chuyện với bà ít hết sức, để làm cho bà quên sự bồng bột hôm đầu đã xui anh hôn tay bà.	A lehető legritkábban beszélt vele, hogy elfeledtesse az önmegfeledkezést, a melylyel az első nap megcsókolta a kezét.	0.279808
Élisa, chị hầu phòng của bà de Rênal, đâm ra phải lòng chàng gia sư trẻ tuổi, chị luôn luôn nói chuyện đến anh với bà chủ.	Elisa, de Rênal-né komornája nem mulasztotta el, hogy beleszeressen a fiatal nevelőbe; gyakran beszélt róla úrnőjének.	0.423373
Tình yêu của chị Élisa làm cho Julien bị một tên đầy tớ trai căm thù.	Elisa kisasszony szerelme az egyik inas gyűlöletét eredményezte Julien iránt.	0.568673
Một hôm, anh nghe thấy tên đó nói với Élisa: Cô không muốn nói chuyện với tôi nữa, từ khi cái anh gia sư bẩn thỉu cáu ghét ấy vào nhà này.	Egyízben hallotta, a mint ez az ember így szólt Elisa-hoz: - A mióta ez a piszok nevelő itt van, alig szólsz hozzám.	0.171845
Julien bị nhiếc móc như thế quả là oan uổng; nhưng, vì bản năng của một kẻ đẹp trai, anh chăm sóc con người anh gấp bội.	- Julien nem érdemelte meg ezt a becsmérelést; de, a csinos fiú ösztönszerü hiúságának megfelelően, ettől fogva kétszeres gondot fordított külsejére.	0.402012
Ông ta rêu rao lên rằng chải chuốt diêm dúa đến thế, là không hợp với một anh thầy tu trẻ tuổi.	Valenod úr gyűlölete is megkétszereződött. ~~~ Nyíltan hangoztatta, hogy ennyi kaczérság nem illik egy fiatal abbéhoz.	-0.0114286
Y phục của Julien quả là y phục thầy tu, chỉ còn thiếu có bộ pháp y nữa thôi.	A reverenda hiján ugyanis ez volt Julien viselete.	0.38
Bà de Rênal nhận xét thấy anh hay nói chuyện với chị Élisa hơn lúc trước; bà được biết rằng nguyên nhân những cuộc chuyện trò đó là tình trạng thiếu thốn của tủ áo rất lèo tèo của Julien.	De Rênal-né észrevette, hogy Julien a rendesnél gyakrabban beszél Elisával; kitudta, hogy ez értekezleteket gyér ruhatárának a szűkössége okozza.	0.157447
Anh có rất ít quần áo lót mình, nên bắt buộc phải đưa đi giặt ngoài luôn luôn, và chính vì những việc giúp lặt vặt đó mà anh phải cầu đến chị Élisa.	Oly kevés fehérneműje volt, hogy gyakran a házon kívül kellett mosatnia és erre nézve volt Elisa a szolgálatjára.	0.137383
Sự nghèo nàn cực độ ấy, mà bà de Rênal không hề ngờ tới, làm cho bà động tâm; bà có ý muốn biếu anh một vài thứ, nhưng không dám; sự nén lòng đó là mối khổ tâm thứ nhất mà Julien gây cho bà.	Ez a nagy szegénység, a melyet nem is sejtett, meghatotta de Rênal-nét; szerette volna megajándékozni, de nem merte; ez a belső ellenkezés volt az első kínos érzés, a mit Julien okozott neki.	0.422859
Từ trước đến đó, tên tuổi của Julien và nỗi vui trong trẻo và hoàn toàn trí óc, là đồng nghĩa đối với bà.	Addig Julien neve egyértelmű volt számára valami tiszta és teljesen szellemi gyönyörrel.	0.410769
Băn khoăn vì nghĩ đến nỗi nghèo của Julien, bà de Rênal nói với chồng chuyện biếu anh một món quần áo lót mình:	Julien szegénységének tudatától izgatva, de Rênal-né szólt a férjének, hogy ajándékozza meg fehérneművel.	0.480952
— Bà lầm to rồi!	- Micsoda badarság!	0.284211
Ông trả lời.	- felelt de Rênal úr.	0.225
Thế nào!	- Mit?	0.05
Biếu xén một người mà chúng ta được hoàn toàn mãn ý, và giúp việc chúng ta tốt ư?	Ajándék egy olyan embernek, a kivel tökéletesen meg vagyunk elégedve és a ki jól szolgál bennünket?	0.286667
Chỉ khi nào hắn chểnh mảng thì ta mới phải khích lệ chứ.	Ennek akkor volna értelme, ha hanyag lenne és serkenteni kellene a buzgalmát.	0.271875
Cái cách nhìn đó lúc này làm cho bà de Rênal lấy làm xấu hổ; trước khi Julien đến nhà, có lẽ bà không để ý. Không bao giờ trông thấy y cực kỳ tinh tươm, tuy rất đơn giản, của anh thầy tu trẻ tuổi, mà bà không tự hỏi: Anh chàng tội nghiệp kia, chả biết làm thế nào mà tinh tươm được như thế kia nhỉ?	Ez a fölfogás megalázólag hatott de Rênal-néra; Julien belépése előtt semmi különöset sem talált volna benne. ~~~ Ettől fogva nem láthatta a fiatal abbé - egyébként igen egyszerű - öltözékének rendkivüli tisztaságát, a nélkül, hogy így ne szólt volna magában: - Szegény fiú! ~~~ Miként képes erre?	-0.121509
Dần dần, bà thương hại cả những thiếu thốn của Julien, chứ không lấy làm chướng.	Lassanként, a helyett, hogy megütközésre bírta volna, részvétet keltett benne mindez, a minek Julien hiányával volt.	0.245745
Bà de Rênal thuộc vào loại đàn bà tỉnh lẻ mà người ta rất có thể cho là ngu dại, trong mười lăm ngày đầu tiên được gặp.	De Rênal-né ama vidéki asszonyok közé tartozott, a kiket az ismeretség első két hetében igen könnyen ostobáknak tart az ember.	0.262185
Bà chả có một chút kinh nghiệm gì về đời sống, và chẳng buồn nói năng gì.	Mitsem tudott az életről és nem vágyott, hogy beszélhessen.	0.163158
Bẩm sinh có một tâm hồn u nhã và kiêu kỳ, cái bản năng hạnh phúc tự nhiên của tất cả muôn loài làm cho nhiều khi bà không để ý một tí gì đến mọi hành động của những con người thô bỉ mà sự tình cờ đã ném bà vào giữa đám họ.	Gyöngéd és tartózkodó lélek lakozván benne, a boldogságnak minden élő lénynyel közös ösztöne arra vitte, hogy általában ne törődjék vele, mit csinálnak azok a durva teremtések, a kik közé a véletlen vetette.	0.230198
Nếu bà được học hành đôi chút, thì chắc thế nào cái tính tình tự nhiên và trí thông minh linh lợi của bà cũng được nổi trội. ~~~ Nhưng vì là kẻ được thừa kế gia tài, bà đã được nuôi nấng ở bên cạnh các bà phước thờ kính say mê Hội Thánh tâm chúa Jésus , họ căm thù kịch liệt những người Pháp nào ghét dòng Jésuites .	Ha csak valamelyes nevelésben részesül is vala, kitűnt volna kedélyével és szellemének éberségével; de mint gazdag örökösnőt, apáczák nevelték, a kik szenvedélyes imádói voltak Jézus szent szívének és heves gyűlölettel viseltettek a francziák - a jezsuiták ez ellenségei - iránt.	-0.0424632
