JULES VERNE	JULES VERNE	2.3
- Tại sao anh không chờ tôi tại bờ sông?	- kérdezte Dragos, amikor úgy érezte, hogy kíváncsi fülek nem hallhatják.	0.377378
- Caclo Dragoso hỏi, khi ăn chắc không có kẻ định nghe trộm.	- Attól féltem, hogy ott elkerülöm - válaszolt a jövevény.	0.541148
- Tôi sợ không gặp được ông - người đó đáp - Tôi biết ông sẽ ra bưu điện...	- Azt meg tudtam, hogy el kell jönnie a postára...	0.286364
- Thôi được, anh đã có mặt ở đây, đó là điều chủ yếu - Caclo Dragoso đáp lời - Có tin gì mới không?	- No, fő hogy itt vagy - szakította félbe. ~~~ - Semmi újság?	0.147222
- Không có gì.	- Semmi.	1.0375
- Cả đến vụ cướp phá lễ tế ở các vùng ngoại ô?	- Még csak egy egyszerű betörés sem történt a vidéken?	0.550086
- Vâng, vùng ngoại ô cũng như ở các khu vực khác nằm bên bờ sông Danube.	- Nemcsak hogy ezen a vidéken nem, de végig a Duna mentében sehol sem.	0.42623
- Tin tức mới đây đã nhận được rồi chứ?	- Mikoriak az utolsó híreid?	0.555556
- cách đây không hơn hai giờ đồng hồ đã nhận được tin điện báo từ văn phòng trung ương Budapest.	- Nincs két órája, hogy táviratban kaptam a budapesti központtól.	0.363203
Hoàn toàn các tin lành.	Teljes nyugalom az egész vonalon.	0.2125
Caclo Dragoso hơi đăm chiêu.	Dragos egy pillanatig gondolkodott, majd így szólt:	0.103448
- Anh se thay mặt tôi ở phòng công tố.	- Elmégy az ügyészségre, és megmondod, hogy én küldtelek.	0.461538
Anh xưng tên mình là Pidorit Unman và yêu cầu họ hãy cho anh biết toàn bộ những sự kiện chi tiết đến những điều vụn vặn nhất.	Megmondod azt is, hogy Friedrich Uhlmann-nak hívnak, és megkéred őket, hogy mindenről tájékoztassanak, ha a legcsekélyebb is történnék.	0.283846
Sau đó anh đi Viên.	Azután Bécsbe utazol.	0.27
- Còn người của chúng tôi?	- És mi lesz az embereinkkel?	0.682418
- Tự anh lo liệu.	- Az az én dolgom.	0.7625
Tôi sẽ gặp họ trên đường đi.	Majd útközben beszélek velük.	0.251613
Khoảng tuần sau chúng ta sẽ gặp nhau ở Viên.	A jelszó: találkozás Bécsben, mához egy hétre.	0.293617
Đây là mệnh lệnh.		-0.3
- Nghĩa là ông sẽ lên đó mà không có sự kiểm sát?	- A Duna felső folyásának mentén nem hagy hát senkit?	0.548727
- Unman hỏi.	- kérdezte Uhlmann.	0.911538
- Ở đó khá đủ cảnh sát địa phương - Dragoso đáp - Chúng ta sẽ ít lo lắng.	- Itt megteszik a helyi rendőri szervek is, de ha bármi előadódnék, mi is itt termünk.	0.468778
Tuy nhiên, cho đến lúc này, phần trên Viên đã không có chuyện gì xảy ra đến nõi nằm trong quyền hành của chúng ta.	Annyi biztos, hogy eddig Bécs fölött semmi olyasmi nem történt, ami a hatáskörünkbe tartoznék.	0.197802
Bọn côn đồ ấy không ngu ngốc đến mức dám hành động xa căn cứ địa của chúng.	Nem estek a fejük lágyára ezek a fickók, hogy ily messze eltávolodjanak fő támaszpontjuktól.	0.296591
- Căn cứ địa?	- Fő támaszpontjuktól?	0.926471
- Unman hỏi lại - Ông đã nhận được tin tức gì mới à?	- csodálkozott Uhlmann. ~~~ - Talán közelebbi értesülései vannak?	0.239831
- Dẫu sao thì, đó là ý nghĩ của tôi.	- Mindenesetre kialakítottam magamnak egy véleményt.	0.636264
- Như thế nào?	- Éspedig?	1.16364
- Anh tò mò quá đấy!	- Nagyon kíváncsi vagy!...	0.845455
Mà dẫu có thế nào đi nữa, tôi cũng báo trước với anh rằng chúng ta sẽ phải ra mặt lần đầu giữa Viên và Budapest.	Annyit már elárulhatok, hogy Bécs és Budapest között kezdjük majd komolyabbra venni a dolgot.	0.177273
- tại sao phải ở đó!	- Miért épp ott?	0.75
Nơi nào khác không được sao?		-0.3
- Bởi lẽ nơi đó mới xảy ra những vụ cướp phá.	- Mert ezen a szakaszon történt az utolsó bűntény.	0.5625
Anh còn nhớ cái trang trại mà bọn chúng đã "nướng" và khi tìm thấy là một đống tro tàn?	Tudod, hogy egy gazdálkodónak "alágyújtottak", és egészen a térdéig összeégve találtunk rá.	0.293548
- Chúng sẽ hành động ở một vùng khác vào lần tấn công kế tiếp sau đó.	- Egy okkal több, hogy legközelebb máshol csapjanak le.	0.435294
- Tại sao thế?	- De miért?	0.913636
- Tư nó sẽ báo cho người ta bắt đầu bảo vệ hết sức chu đáo địa phận mà chúng đã gây ác.	- Mert nyilván úgy gondolják, hogy azon a vidéken, ahol ezt a bűncselekményt elkövették, most nagyobb lesz az ellenőrzés.	0.408
Chúng sẽ tìm vận may ở một địa điểm khác, xa hơn.	Másfelé próbálnak tehát szerencsét. ~~~ Eddig is ez volt a szokásuk.	-0.0210526
Chăng lý gì phải hành động hai lần ở cùng một chỗ ấy.	Soha kétszer egymás után nem garázdálkodnak ugyanazon a környéken.	0.280645
- Chúng sẽ phải phán đoán như con lừa và anh sẽ phải theo họ, Unman ạ - Caclo Dragoso bác lại - Tôi đang trông vào sự ngu ngốc của chúng.	- Most azonban melléfognak a tökfilkók, és velük együtt te is, Uhlmann.	0.199426
Tất cả các báo chí, như anh biết đấy, đang gán cho tôi cái dự định như thế này: họ hè nhau công bố răng tôi sẽ rời thượng nguồn Danube.		-0.3
Theo tôi, bọn chúng sẽ không dám mạo hiểm quay về đó.	Éppen arra számítok, hogy olyan tyúkeszűek.	0.197727
Tôi sẽ lên đường đi miền Nam Hungari.	Mint te is olvashattad, a lapok mind azt írták, hogy én is így okoskodom.	0.135714
Không phải là vô ích để nói với anh rằng trong toàn bộ chuyện này hoàn toàn không đúng sự thật, có thể tin được rằng những người hữu quan sẽ không tránh được những thông báo có dụng ý ấy.	Mind egyöntetűen arról számoltak be, hogy eltávozom a Duna felső folyásának vidékéről, mert szerintem a banditák itt aligha mernek megint felbukkanni, és hogy Dél-Magyarország felé veszem az utamat.	0.263298
	Ebből persze egy árva szó sem igaz, de légy nyugodt, ezeket a híreket, amelyeket én helyeztettem el a lapokban, ők is falni fogják.	-0.3
- Ông nghĩ như thế?	- És ebből mi következik?	0.742857
- Chúng ta sẽ không đi đến miền nam Hungari, để không phải lao vào hố sói.	- Az, hogy óvatosan elkerülik Dél-Magyarországot, nehogy befussanak az utcámba.	0.560885
- Danube vĩ đại - Unman nhận xét - Với Xecbi, Rumani, Thổ Nhĩ Kỳ...	- De a Duna hosszú - vetette ellen Uhlmann. ~~~ - Ott van még Szerbia, Románia meg Törökország...	0.174324
- Còn chiến tranh?	- És a háborúra nem gondolsz?	0.757895
Ở đó chúng chẳng có gì để làm.	Arrafelé ugyan nincs sok keresnivalójuk.	0.283784
Tuy nhiên, chúng ta sẽ xem.	No de majd meglátjuk.	0.195
Caclo Dragoso im lặng một đỗi.	Dragos egy pillanatra elhallgatott, majd így folytatta:	0.136364
- Các chỉ thị của tôi đang được thực hiện chính xác chứ hả?	- Mindenütt pontosan végrehajtották utasításaimat?	0.696154
- ông hỏi.	- Pontosan.	1.27273
- Chính xác.	- Továbbtart az ellenőrzés a Dunán?	0.542308
- Vẫn tiến hành kiểm sát con sông?\- cả ngày lẫn đêm.	- Igenis, éjjel-nappal.	0.580435
- Không gặp điều gì khả nghi à?	- És semmi gyanúsat nem észleltek?	0.71039
- Tuyệt đối không có gì.	- Semmit a világon.	0.733333
Những người trên các loại thuyền lớn nhỏ đều có giấy tờ hợp pháp.	Minden hajónak, minden uszálynak rendben találták a papírjait.	0.211475
Qua đó tôi thấy rằng những cuộc kiểm tra đang gây nhiều bất mãn.	De azt is jelentenem kell, hogy a sok ellenőrzés miatt nagy a berzenkedés.	0.272727
Người ta phản đối, nếu ông muốn biết ý kiến của tôi, thì quả là họ đúng.	A hajósoknak nincs ínyükre a dolog, és ha szabad mondanom, igazuk is van.	0.209091
Ông sẽ không tìm thấy trên các con thuyền cái mà ông đang tìm kiếm.	Mi közük a hajóknak ahhoz, ami után mi nyomozunk?	0.130435
Bọn tội phạm đâu có hoạt động trên măt nước?	Hisz a bűncselekményeket nem a Dunán követik el.	0.241304
Caclo Dragoso chau mày.	Dragos szigorúan összeráncolta a homlokát.	0.0136364
- Tôi rất chú ý đến những chiếc tàu, sà lan và cả những chiếc ghe - ông lặp lại bằng giọng khô khốc - Tôi xin nhắc lại lần cuối cùng cho mọi người rằng tôi không thích những sự phản đối.	- Nagy súlyt fektetek arra, hogy közegeink minden dereglyét, minden uszályt megállítsanak, még a legkisebb sajkákat is - mondotta ridegen.	0.400558
- Được thôi, thưa ông - Unman lặp lại một cách biết điều.	- S egyszer s mindenkorra megmondom, hogy nem szeretem, ha valaki okoskodik.	0.526154
Caclo Dragoso nói:	Uhlmann behúzta a nyakát és csak ennyit mondott:	-0.15
- Tôi vẫn chưa biết sắp tới phải làm gì... có thể là tôi sẽ lưu lại ở Viên, hay là sẽ đến Bengrat... Hiện giờ tôi chưa quyết định.		-0.3
Một điều hết sức quan trọng là đừng để mất liên lạc, tôi phải nắm được tình hình qua các thông tin từ những tiêu bản bắt buộc với tất cả những người của chúng ta rải rác trên đoạn sông giữa Ratixbon và Viên.		-0.3
- Nghe rõ, thưa ông!	- Ahogy parancsolja, uram.	0.84
- Unman đáp - Còn toi?...	Dragos így folytatta:	0.257143
Tôi sẽ gặp ông ở đâu nữa?	- Még nem tudom, mi lesz a következő lépésem.	0.196875
	Talán egy ideig Bécsben maradok, de lehet, hogy lemegyek egészen Belgrádig... Még nem döntöttem... De minthogy feltétlenül fenn kell tartanom a kapcsolatot, mindenről adj nekem hírt írásban, mégpedig annyi példányban, hogy Regensburg és Bécs között elhelyezett embereink is megkaphassák.	-0.3
- Tuần sau, ở Viên, như tôi đã bảo.	- Meglesz, uram!	0.57
Dragoso nghĩ nhanh.	És én hol találkozom önnel legközelebb?	-0.0315789
- Anh có thể đi được - ông nói thêm - Đừng quên ghé đến phòng công tố và hãy ngồi chuyến tàu đầu tiên.	- Bécsben, mához egy hétre, már mondtam - válaszolt Dragos, majd néhány pillanatnyi gondolkozás után hozzátette: - Most végeztem.	0.723451
Unman đã đi được một khoảng xa, lúc đó Dragoso gọi lại.	De ne felejts el elmenni az ügyészségre, azután pedig az első vonattal indulj.	0.257143
- Anh có nghe nói về người có tên là Ilya Bruso?	Uhlmann már indult is, de Dragos visszahívta.	0.257143
- Đây là người câu cá quyết định xuôi dòng Danube với cần câu trong tay à?	- Hallottál te valami Borus Demeterről?	0.379923
- Đúng anh ta đấy.	- Igen.	0.742857
Nếu anh có gặp tôi đi chung với anh ta thì anh hãy giả vờ không biết tôi nhé?	Ez az a horgász, aki elindult, hogy lehajózzék a Dunán, s közben horgászik? ~~~ - Úgy van.	-0.001875
Họ chia tay nhau, Fidorit Unman mất dạng ở mạn trên thành phố, còn Caclo Dragoso thì đi về phía khách sạn "Thánh giá váng" nơi ông đã đặt sẵn bữa trưa.		-0.3
Khoảng chục người đang ăn trưa và nói chuyện tào lao.	Nos, ha vele együtt látsz valahol, tégy úgy, mintha nem ismernél.	0.289831
Caclo Dragoso ngồi vào bàn.	A két férfi ekkor elvált.	0.264
	Friedrich Uhlmann a város felső része felé vette útját, Dragos pedig az Arany Kereszt fogadó felé indult, ahol vacsorázni akart.	-0.3
Ông ăn rất ngon miệng và không xen vào câu chuyện của họ.	Amikor letelepedett asztalához, az étteremben már több vendég ült, és javában folyt a beszélgetés.	0.135484
Ngược lại, ông đã lắng nghe như một người đã có thói quen không lơ là với những điều mà người ta bàn tán chung quanh mình.	Dragos jó étvággyal evett, társalgásba nem elegyedett senkivel, de ugyancsak figyelt, mert szerette hallani, hogy mit beszélnek körülötte.	0.29313
Như một người trong cuộc, ông hỏi người kia:	Hallotta is, amint az egyik vendég ezzel a kérdéssel fordult szomszédjához:	0.182353
- Có tin gì mới về bọn cướp nổi tiếng không?	- Mi van azzal a hírhedt bandával, elhallgatott róla a fáma?	0.526471
- Quanh đi quẩn lại chỉ nghe nói đến tay Bruso nổi tiếng - người nọ đáp - Thiên hạ đang ngóng anh ta ở Ritixbon, mà hình như anh ta chưa đến.	- Éppúgy, mint erről a híres-nevezetes Borusról - válaszolta a másik. ~~~ - Mára várták Regens­burgba, de még csak hír sem jött róla.	0.10119
- Điều này lạ đấy.	- Hát nem furcsa?	0.75
- Chỉ mong sao Bruso không phải là tên phỉ.	- Hacsak ez a Borus meg a bandavezér nem egy és ugyanaz a személy.	0.484091
- Ông nói đùa à?	- Ugyan, ne nevettesse ki magát!	0.616667
- Hừ... Ai biết được.	- Miért? ~~~ Ki tudja...?	0.216667
Caclo Dragoso tròn mắt.	Dragos meglepetten kapta fel a fejét.	0.175
Đây là lần thứ hai ông chú ý đến giả thuyết đang nằm chơi vơi giữa trời này.	Már másodszor hallja ugyanezt a feltevést, amely, úgy látszik, valahogy a levegőben van.	0.285542
Nhưng đáp lại, ông chỉ nhún vai một cách khó hiểu, rồi kết thúc bữa ăn mà không nói thêm lời nào.	De alig észrevehetően vont egyet a vállán, és szó nélkül befejezte vacsoráját.	0.188462
Tất cả những điều này chỉ là đùa cợt.	Az egész nem más, mint tréfa.	0.0964286
Chắc hắn ta thông thạo lắm, người ba hoa mà thậm chí không biết là Ilya Bruso đã đến Ratixbon này.	Meg aztán ugyancsak jól értesült lehet ez a fecsegő vendég, ha még arról sem tud, hogy Borus Demeter megérkezett Regensburgba!	0.265714
Ăn xong, Caclo Dragoso đi ra bờ sông.	A vacsora végeztével Dragos Károly visszaballagott a rakpartra.	0.1
Ra đến nơi, thay vì đi thẳng lên sà lan ngay, ông lại dừng chân trên cây cầu đá cổ nối giữa Ratixbon và vùng ngoại ô Statam-Hop, và ông đăm chiêu nhìn ra con sông nơi mà tàu bè đang lợi dụng ánh sáng đang tắt của một ngày để lướt đi.	De nem ment mindjárt a ladikhoz, hanem néhány percre megállt még a régi kőhídon, amely Regensburgot túlparti külvárosával, Stadt am Hoffal köti össze. ~~~ Tekintete végigsiklott a folyón, nézte a vízen sebesen úszó pár hajót, amelyek még világossal révbe akartak érni.	-0.00362903
Ông đã hoàn toàn đắm mình trong suy tưởng, thì một bàn tay của ai đó đặt lên vai ông và ôn nghe ra một giọng nói quen thuộc.	Amikor így önfeledten nézelődött, egy kéz nehezedett vállára, s ismerős hang szólította meg:	0.172826
- Thưa ngài Yêge, có thể suy được rằng đây là toàn bộ sự quan tâm của ông.	- Talán csak nem érdekli ez, Jäger úr?	0.25
Caclo Dragoso quay lại và trông thấy gương mặt vui tươi của Ilya Bruso đang ở trước mặt mình.	Dragos hátrafordult, és szemben találta magát Borus Demeterrel, aki mosolyogva nézett a szemébe.	0.273626
- Vâng - ông đáp - đây là sự chuyển động trên sông rất đáng để tâm.	- De bizony érdekes ez a forgalom a folyón.	0.3
Tôi quan sát nó luôn.	Napestig elnézném.	0.27
- Ngài Yêge này, nó càng làm cho ngài quan tâm hơn khi chúng ta cùng xuôi đến phần hạ lưu con sông nơi đó tàu bè nhiều hơn nữa cơ.	- Figyeljen rám, Jäger úr! ~~~ Még érdekesebbnek fogja találni az Al-Dunán, ahol sokkal több hajó jár.	-0.0578125
Ông thấy đấy, khi chúng ta sẽ ở bên Cổng sắt... Ông biết chúng không?	Majd meglátja, amikor a Vaskapuhoz érkezünk. ~~~ Járt már ott?	-0.0491379
- không - Dragoso đáp.	- Még nem - felelte Dragos.	1.27273
- Nên nhìn thấy thứ ấy - Iilya Bruso tuyên bố - Nếu trên thế giới không có con sông nào tuyệt vời hơn sông danube, thì trên toàn bộ đường sông Danube đáy là điểm đẹp nhất - những Cổng sắt!...	- Azt pedig látnia kell, mert ha a Dunánál nincs szebb folyó a világon, a legszebb pontja az egész folyónak éppen a Vaskapu!	0.168243
Giữa lúc ấy màn đêm đã quánh lại.	Közben egészen beesteledett.	0.186207
Chiếc đồng hồ tay to lớn của Ilya Bruso đã chỉ hơn 9 giờ.	Borus Demeter órája több mint kilenc órát mutatott.	0.222
- Tôi đã ở trên sà lan khi nhận ra ngài trên cầu, thưa ngài Yêge - anh nói - Tôi đến đây để nhắc ngài rằng sáng mai chúng ta sẽ lên đường sớm lắm, chúng ta sẽ thấy khỏe người nếu chúng ta đi ngủ sớm.	- Lenn voltam a csónakban, Jäger úr, amikor megpillantottam önt itt a hídon. ~~~ Csak azért jöttem fel, hogy figyelmeztessem, holnap nagyon korán indulunk, és bizony jó volna minél korábban nyugovóra térni.	-0.0206349
- Tôi đồng ý với anh, Bruso ạ - Caclo Dragoso đáp.	- Máris megyek, Borus úr - helyeselt Jäger.	0.884167
Cả hai đi xuống phía sông. ~~~ Khi bỏ xa cây cầu, người hành khách hỏi.	Amikor a rakpart felé tartva lekanyarodtak a hídról, Jäger megszólalt:	-0.0179104
- Số cá của chúng ta bán được bao nhiêu hả anh Bruso?	- No, és hogy kelnek el a halaink, Borus úr, meg van elégedve a mai bevétellel?	0.444643
Khá chứ hả?	- El vagyok ragadtatva tőle.	0.08
- Tôi không ngờ nổi ngài Yêge ạ. Tôi sẽ giao cho ngài không dưới 41 phloring.	Kerek negyvenegy forintot adok át önnek.	-0.0315789
- Vậy là với 27 phloring bán được lần trước cộng thêm số này nữa - tất cà là 68 phloring.	- Ez tehát az előzőleg kapott huszonhét forinttal együtt kitesz hatvannyolc forintot.	0.467019
Chúng ta chỉ vừa mới đến Ratixbon!...	Pedig még csak Regensburgban vagyunk.	0.24
Ô hô, anh Bruso, tôi cảm thấy chuyến làm ăn không đến nỗi tồi.	Látja, látja, Borus uram, talán nem is kötöttem olyan rossz üzletet!	0.281538
- Tôi cũng bắt đầu suy nghĩ như thế - ngưới đánh cá tán đồng.	- Magam is úgy vélem már - hagyta rá a horgász.	0.618605
	Negyedóra múlva mindketten ott aludtak a csónakban, egymás mellett, s mire a nap felkelt, a ladik már öt kilométerrel maga mögött hagyta Regensburgot.	-0.3
Mười lăm phút sau, họ đã nằm ngủ bên nhau.	Itt lejjebb igen változatos a Duna partvidéke.	0.265116
Rồi vầng dương bắt đầu ló rạng cách Ratixbon 5km.	Jobb kéz felől, amerre csak a szem ellát, gazdag, termékeny síkság terül el, s a lapály egyhangúságát itt is, ott is tanyák, falvak szakítják meg.	-0.133929
Phần dưới thấp của thành phố ven sông Danube này hoàn toàn khác biệt.	A bal parton sűrű erdőségek zöldellnek, s dombok emelkednek, amelyek távolabb egybeolvadnak a Böhmer Wald hegyvonulatával.	0.142105
Những bình nguyên màu mỡ giăng dài đến tận chân trời bên bờ phải, một vùng đất giàu có của nông thôn, nơi có nhiều trang trại sung túc và làng mạc không thiếu thốn thứ gì, ở bờ trái là một dải những cánh rừng rậm rạp, những ngọn đồi hòa lẫn với rừng cây Bohem nhô cao.	Útközben Jäger és Borus megpillantotta a Thurn-Taxis hercegek nyári palotáját Donaustauf városka felett, s a regensburgi püspökök ősi kastélyát, majd pedig a Salvator Berg tetején a Walhallát, "a kiválasztottak örök pihenőhelyét". ~~~ Ezt az attikai égbolttól bizony nagyon elütő bajor ég alá tévedt Parthenont Lajos bajor király építtette ide.	-0.0140468
Trên sà lan, ngài Yêge và Ilya Bruso có thể thấy được cung điện mùa hè của công tước Tuốc và Tắcxie nổi cao hơn thị trấn Donostop và cung điện cổ của giáo chủ ở Ratixbon.	Az épületben múzeum van, ahol Germánia hőseinek mellszobrai sorakoznak, de a belső termek építészeti elrendezése nem olyan szépséges, mint az épület külső képe.	0.244231
Xa hơn nữa, trên núi Xavanto thấy nổi rõ khu đền thần Vahon, hay là "Nơi của những người được tuyển", được xây dựng bởi hoàng đế Luvit., dưới vòm trời Bavaria và nó không giống chút nào vòm trời Hy lạp.	A Walhalla nem vetekszik ugyan az athéni Parthenonnal, de szépség dolgában felülmúlja azt a hasonló épületet, amellyel a skótok ékesítették fővárosuknak, az "öreg, kormos" Edinburghnak egyik dombját.	0.249738
Viện bảo tàng là nơi đặt những bức tượng bán thân của các anh hùng Đức, song niềm thán phục của viện bảo tàng không phải ở chỗ đó, mà là hình thể tuyệt đẹp bên ngoài tòa nhà.	Hosszú az út Regensburg és Bécs között a kanyargó Dunán. ~~~ De a csaknem négyszázhetvenöt kilométeres vízi út mentén alig van említésre méltó város.	-0.0534247
Nếu như Vanhon không thể sánh ngang với Parthenon của Aten thì nó vẫn hay hơn tòa nhà do người Xcotlen xây dựng trên một trong những ngọn đồi ở Edinbuoc.	Csak Straubingot, Bajorország gabonaraktárát említhetjük meg, ahol a bárka augusztus 18-án este kötött ki, meg Passaut, ahová 20-án érkezett, s végül Linz városát, amely mellett augusztus 21-én haladt el.	0.23625
Khoảng đường từ Ratixbon đến thành Viên còn rất xa xôi, đặc biệt phải lượn khúc theo sông Danube.	E két utóbbi városnak van némi hadászati jelentősége, de egyiknek sincs 20000 léleknél több lakosa.	0.259375
Không có nhiều thành phố quan trọng trên khoảng đường sông nước dài khoảng 474km này.	A Dunának ezen a szakaszán nincs is több említésre méltó város.	0.140323
Chỉ có thể lưu ý đến Staubing, một địa điểm làm kho bãi các sản phẩm nông nghiệp của Bavaria, nơi mà chiếc sà lan của Ilya Bruso thả neo vào chiều ngày 18 tháng 8, đến ở Patxo ngày 20, và qua khỏi Lenx vào ngày 21.	Emberi alkotások híján a hajósember a nagy folyó változatos partvidékében gyönyörködhetik, ha nem akarja elunni magát.	0.0232759
Đây là thành phố không có số dân đến 10 ngàn người, nhỏ hơn những khu dân cư quan trọng, song ở hai thành phố sau lại có ý nghĩa chiến lược.	Straubingnál a Duna már négyszáz méter szélesre terebélyesedik, de lejjebb megint összeszűkül, és jobb partját a Räti-Alpok nyúlványai magasítják.	0.287671
Trong sự thiếu vắng sáng tạo của bàn tay con người, khách du lịch chỉ có thể chống chọi lại cơn buồn chán bằng cách thưởng ngoạn quang cảnh muôn màu muôn vẻ của hai bên bờ sông Danube vĩ đại.	Passaunál, amely a Duna, az Inn és az Ilz összefolyásánál épült - az első kettő Európa legfontosabb folyói közé tartozik -, elhagyjuk Németországot, és a jobb parton közvetlenül a város alatt, a bal parton pedig néhány kilométerrel lejjebb kezdődik a Habsburg-birodalom.	0.235714
Phía dưới Straubing, nơi dòng Danube đạt đến bề rộng khoảng 400m, nó lại bắt đầu co hẹp, trong khi những nhánh núi đầu tiên của dãy Anpo dần dần nâng cao bờ phải của nó lên.	Ezen a ponton a folyómeder alig kétszáz méteres völgykatlanná szűkül, és ebben a völgyben folyik tovább a Duna egész Bécsig.	0.121008
Đến Patxo, là nơi hợp lưu của ba con sông - Danube, Inno và Inx mà trong số đó có hai con sông đầu được xếp vào số những con sông quan trọng bậc nhất châu u. Nước Đức đang lùi lại phía sau, và bờ phải trở thành đất của nước Áo, một nơi hơi thấp hơn thành phố, còn bờ trái bắt đầu nằm vào đế quốc Cgapxbuoc ở đây, lòng sâu được xem như là cái lũng sâu, rộng chỉ khoảng 200m, còn trên đường đến thành Viên, lúc thì nó được mở rộng ra làm thành cái hồ nước thật sự với những cù lao lớn nhỏ nằm tản mạn, lúc thì nó co hẹp lại và nước réo ầm ầm giữa các bụi cây ven hai bờ.		-0.3
Hình như Ilya Bruso hoàn toàn không chú ý đến những sự đổi thay sắc màu phức tạp luôn làm nên những bức tranh tuyệt đẹp này, mà anh chỉ cố hết sức gồng những bắp thịt của mình để chèo con thuyền đi nhanh hơn.	De medre helyenként valóságos tóvá szélesedik, amelyben kisebb-nagyobb szigetek is vannak, máshol pedig a völgykatlan falai még jobban össze­szűkülnek a nagy robajjal zuhogó folyó két oldalán.	0.228649
Tuy nhiên, thái độ lãnh đạm ấy hoàn toàn có thể lý giải bằng sự chú ý theo dõi những chuyển động của con thuyền.	Borus Demeter szemlátomást ügyet sem vetett az örökké változó, de mindig fenségesen szép part menti tájra, s egyetlen gondja az volt, hogy minden erejével minél gyorsabban előrelendítse ladikját.	0.159524
Phải vật lộn hết sức mình không kể hết những khó khăn với những dải cát ngầm.	A csónak irányítása valóban annyira lekötötte figyelmét, hogy nem törődhetett mással.	0.286207
Trước khi đến Patxo khoảng vài km, Ilya Bruso phải vượt qua những dòng chảy xiết ở Vinxhophen.	Vigyáznia kellett, hogy kikerülje a homokzátonyokat, amelyek oly sok gondot okoznak a dunai hajósoknak, és még komolyabb nehézségekkel is meg kell küzdenie.	0.169307
Còn 110km đoạn dưới đó, cạnh Grein là một trong những thị trấn tiêu điều nhất của nước Áo sẽ gặp phải những ghềnh thác kinh khủng của Struden và Virben.	Néhány kilométerrel Passau előtt át kell jutnia a vilshofeni zuhatagon, százötven kilométerrel lejjebb pedig, valamivel Grein, Felső-Ausztria egyik legnyomorúságosabb kis városa alatt, a Strudel és a Wirbel még félelmetesebben örvénylő vizein.	0.192982
Đến đoạn này cái lũng sâu hóa thành một đường hành lang hẹp, bị bịt chặt bởi những dốc đứng.	Itt a völgy már folyosóvá szűkül, és a meredek sziklafalak között tajtékozva zúdul lefelé a Duna.	0.252632
Ngày trước đoạn sông này rất nguy hiểm bởi những phiến đá ngầm và những con tàu vẫn thường bị thiệt hại trầm trọng.	Hajdan a sok kőszirt miatt rendkívül veszélyes volt a hajózás ebben a völgyszűkületben, és a hajók sokszor súlyosan megrongálódtak.	0.283594
Bây giờ, sự nguy hiểm đã bớt đi nhiều lắm.	Mióta azonban a két part között sorakozó szirtek közül a legálnokabbakat aknákkal felrobbantották, a hajózás már korántsem olyan veszélyes.	-0.222
Những ghềnh thác đã mất đi sự cuồng nộ, những vực xoáy đã thôi cuốn trôi tàu bè và tai nạn đã ít xảy ra hơn.	A víz nem rohan már olyan vad morajlással, az örvények nem kapják el a hajókat olyan erővel, és nem fordulnak elő oly gyakran szerencsétlenségek.	0.268033
Tuy thế những chiếc sà lan lớn và những con thuyền nhỏ cũng nên dè dặt.	De az uszályoknak és a kis csónakoknak még mindig nagyon óvatosan kell itt áthaladniok.	0.288462
Tất cả những thứ ấy không thể gây trở ngại cho Ilya Bruso.	Borus Demeternek mindez nem okozott nagyobb nehézséget.	0.225
Anh tránh né những dải cát ngầm, đi qua những lũng hẹp, khuất phục những xoáy nước và ghềnh thác hết sức khéo léo.	Meglepő ügyességgel számította ki, hogy hol kell hajóznia, mesterien kerülte ki a homokzátonyokat, és vált úrrá az örvények és zuhatagok fölött.	0.264567
Caclo Dragoso rất khâm phục đồng thời ông lại cũng hết sức kinh ngạc khi thấy người câu cá chơn chất này lại quá thông thạo con sông Danube với những cái bất ngờ tráo trở của nó.	Dragos bámulta Borus Demeter ügyességét, de nem értette, hogyan lehet­séges, hogy egy egyszerű horgász ilyen alaposan ismerje a Dunát és a dunai hajózás minden alattomos veszélyét.	0.257895
Không chỉ Ilya Bruso đã làm cho Calo Dragoso ngạc nhiên mà ngược lại, người câu cá lấy làm thán phục về sự giao thiệp rộng của người hành khách trên sà lan mình.	A kis csónak két utasa között különben kölcsönös volt a bámulat. ~~~ Borus Demeter főként azt csodálta, hogy útitársának milyen széles körben vannak kapcsolatai, és nem is értette, hogyan lehetséges ez.	-0.017341
Bất kể nơi nào dù là nhỏ bé bình thường được chọn làm nơi nghỉ qua đêm, ngài Yêge không tìm được ngưới quen ở đó.	Akármilyen csepp kis helyen kötöttek is ki este, alig volt rá példa, hogy Jägernek ne akadtak volna ismerősei.	0.210891
Sà lan vừa cập bến thì ông ta đã nhảy phốc lên bờ và hầu như ngay lúc nào cũng đã có một hay hai người bước đến gần ông ta.	Alighogy a ladik partot ért, Jäger kiugrott belőle, és rendszerint máris egy vagy több ember szólította meg. ~~~ Hosszabb beszélgetésbe azonban senkivel sem elegyedett.	-0.0209559
Sau khi trao đổi vài lời, những người ấy đi mất, còn ngài Yêge thì quay trở lại sà lan.	Néhány szó után Jäger visszaugrott a ladikba, az ismeretlenek pedig eltávoztak.	0.228947
