Ivan S.Turgenev.	﻿Turgenyev	0.230769
"Vì con mèo con -- xin đưa bàn tay nhỏ nhắn," viên kỵ binh nói, mĩm cười ngờ nghệch và nhún vai, thân mình vạm vở bó sát trong bộ đồng phục mới.	- Vidd ki. ~~~ - A cicáért... a kacsóját - szólalt meg a huszár széles mosollyal, kihúzva új mundérba szorított, hatalmas testét.	-0.04125
"Cả hai tay," Zinaida trả lời, và đưa tay ra.	- Mind a kettőt - felelte Zinaida, s feléje nyújtotta a két kezét.	0.208696
Trong khi chàng hôn tay, nàng nhìn tôi qua bờ vai chàng.	Míg a huszár megcsókolta, a lány a vállán keresztül átnézett reám.	0.227778
Tôi đứng như trời trồng, không biết nên cười, nói hay im lặng.	Mozdulatlanul álltam egy helyben, s nem tudtam, nevessek, mondjak valamit vagy hallgassak.	0.252857
Thình lình tôi thấy qua khung cửa mở, trên lối đi, người quản gia nhà tôi, Fyodor.	Egyszerre az előszoba nyitott ajtaján keresztül, szemembe tűnt Fjodor inasunk alakja.	0.27375
Ông ra hiệu cho tôi.	Jeleket adott nekem.	0.268421
Một cách máy móc, tôi bước ra.	Gépiesen odamentem hozzá.	0.207692
"Ông muốn gì?"	- Mit akarsz?	0.175
tôi hỏi.	- kérdeztem.	0.245455
"Thân mẫu cậu bảo tôi đi tìm cậu," ông ấy thì thào.	- Édesanyja elküldött az úrfiért - mondta suttogva.	0.252
"Bà đang giận vì cậu chưa đem lời phúc đáp về."	- Haragszik, hogy nem jön vissza a válasszal.	0.204878
"Sao vậy, bộ tôi đã ở đây lâu lắm sao?"	- Hát régóta itt vagyok?	0.0375
"Hơn một tiếng đồng hồ."	- Több mint egy órája.	0.177273
"Hơn một tiếng đồng hồ!"	- Több mint egy órája!	0.177273
tôi lập lại một cách vô ý thức, và trở lại phòng khách, tôi bắt đầu cúi chào, và kéo gót giày chào.	- ismételtem önkéntelenül, visszatértem a fogadószobába, s bokámat összeütve, búcsúzni kezdtem.	0.263265
"Cậu đi đâu thế?"	- Hova készül?	0.16
cô công chúa hỏi, liếc tôi từ đàng sau người kỵ binh.	- kérdezte a hercegné, a huszár mögül kitekintve.	0.225
"Tôi phải về.	- Haza kell mennem, kérem.	0.176471
Vậy tôi sẽ nói," tôi nói thêm, với bà chủ nhà, "rằng công nương sẽ đến nhà chúng tôi lúc hai giờ chiều."	Megmondom tehát - tettem hozzá az öregasszony felé fordulva -, hogy egy órakor tetszik eljönni hozzánk.	0.2375
"Vâng, xin cậu bẩm lại như thế."	- Ezt mondja, öcsém.	0.045
Bà công chúa hối hả lôi ra hộp thuốc lá và hít thật mạnh khiến tôi thiếu điều nhảy nhổm.	A hercegné gyorsan elővette burnótos szelencéjét, s akkorát tüsszentett, hogy beleremegtem.	0.259551
"Xin cậu vui lòng bẩm lại như thế," bà lập lại, nước mắt ràn rụa, chớp mắt và nhảy mủi.	- Ezt mondja - ismételte, pislogott megkönnyesedett szemével, és nyögött egyet.	0.201316
Tôi cúi chào một lần nữa, quay đi, và ra khỏi phòng với cảm giác ngượng nghịu trên lưng khi một thanh niên biết người khác đang quan sát mình từ đàng sau.	Még egyszer meghajoltam, megfordultam és kimentem a szobából, hátamban bizsergető érzéssel; az a fiatalember érez ilyet, aki tudja, hogy utána néznek.	0.251408
"Nhớ ghé thăm chúng tôi nhé, Cậu Voldemar,." ~~~ Zinaida nói, và nàng lại phá lên cười.	- Mszjő Voldemar, jöjjön el máskor is hozzánk - kiáltotta Zinaida, és újra nevetni kezdett.	-0.00697674
"Tại sao nàng luôn luôn cười?" ~~~ tôi nghĩ thầm, khi tôi về nhà, hộ tống bởi Fyodor, ông ấy không nói gì, nhưng đi sau lưng tôi có vẻ bất bình.	"Miért nevet mindig?" - gondoltam, mikor Fjodor kíséretében, aki egy szót sem szólt, csak rosszalló képpel ballagott utánam, hazaérkeztem.	-0.0193966
Mẹ tôi rầy và hỏi tôi đã làm gì ở nhà công chúa quá lâu.	Anyám megszidott, s nagyon csodálkozott: mit csinálhattam a hercegnénél olyan sokáig.	0.209524
Tôi không trả lời bà và đi về phòng mình.	Nem feleltem a kérdésére, s bementem a szobámba.	0.3
Tôi bổng cảm thấy rất buồn...Tôi cố nén lòng để không òa khóc...Tôi.ghen với chàng kỵ binh.	Egyszerre nagyon elfogott a szomorúság... Erővel tartottam vissza a sírást. ~~~ Féltékeny voltam a huszárra.	-0.00294118
Chương 5	5	15.6
Công chúa Zasyekin đến thăm mẹ tôi như đã hứa, và gây nên một ấn tượng xấu.	A hercegné, ígérete szerint, meglátogatta anyámat; nem tetszett neki.	0.214925
Lúc đó tôi đi vắng, nhưng ở bàn ăn mẹ tôi kể lại với cha rằng công nương là một người femme très vulgaire, làm mẹ phát ngấy vì nài nỉ mẹ kêu gọi sự chú ý của Hoàng tử Sergei, công nương dường như dính líu tới nhiều vụ thưa gời và làm ăn mờ ám - de vilaines affaires d'argent - , công nương hẳn phải là một người hay tạo ra phiền phức và thích kiện tụng.	Én nem voltam ott, amikor találkoztak, de az ebédkor anyám azt mondta apámnak, hogy az a Zaszekina hercegné "une femme tres vulgaire",1 nagyon terhére volt azzal a kérésével, hogy járjon közbe Szergej hercegnél az érdekében, mindenféle ügyei és perei vannak, "de vilaines affaires d’argent"2 - s hogy bizonyosan nagyon intrikus személy.	0.517358
Mẹ tôi nói thêm, tuy nhiên mẹ đã mời hai mẹ con công chúa đến ăn tối vào ngày mai (tôi cúi gầm mặt trên dĩa thức ăn khi nghe đến "cô con gái"), vì nói cho cùng công nương là hàng xóm và là dân quý tộc.	Anyuska azonban hozzátette, hogy lányával együtt meghívta holnapra ebédre (mikor a "lányával" szót meghallottam, lehajoltam a tányér fölé) - mert hát mégis szomszéd, és jó neve van.	0.237931
Đến đây, cha tôi bảo rằng ông đã nhớ ra; hồi còn trẻ cha tôi có quen biết với hoàng thân quá cố Zasyekin, ngài thuộc giòng dõi nề nếp, nhưng tính tình nông nổi và kỳ quặc; có biệt hiệu là "le Parisien" vì đã sống rất lâu ở Paris; rất giàu nhưng đã tiêu tan tài sản vì cờ bạc; và vì một lý do nào đó không rõ, có lẽ là tiền bạc, mặc dù có thể lựa chọn khéo hơn nều quả thật vậy, cha tôi nói với một nụ cười vô cảm, kết hôn với con gái của một tay môi giới, và sau đám cưới đã tham gia đầu cơ tích trữ rồi khánh tận.	De apám azt mondta anyámnak, hogy most már tudja, ki ez az asszony: fiatal korában ismerte a néhai Zaszekin herceget, kitűnő nevelésben részesült, de üres lelkű, hebehurgya ember volt; a társaságban "le Parisien"-nek hívták, mert sokáig élt Párizsban; nagyon gazdag volt, de szerencsejátékokon elvesztette egész vagyonát, s nem lehet tudni, miért, alighanem a pénzért - ami ezt illeti, jobban is választhatott volna - tette hozzá apám hideg mosollyal -, feleségül vette valami hivatalnoknak a leányát, spekulálni kezdett, s végleg tönkrement.	0.299837
Mẹ tôi nói: "Chỉ mong sao bà ấy đừng vay tiền mình,"	- Csak ne kérjen pénzt kölcsön - jegyezte meg anyám.	0.25102
"Dám lắm đấy," cha tôi trả lời bình thản.	- Az is lehet, hogy kér - mondta csendesen apám.	0.257143
"Bà ấy biết nói tiếng Pháp chứ?"	- Beszél franciául?	0.03
"Dở tệ,"	- Nagyon gyengén.	0.175
"Hừm.	- Hm.	0.12
Dù sao cũng không thành vấn đề.	No de ez mindegy.	-0.1
Em nói em có mời cô con gái phải không; có người bảo rằng cô ấy rất duyên dáng và tao nhã."	Úgy tetszik, azt mondtad, hogy a leányát is meghívtad; valaki azt állította nekem, hogy nagyon kedves, művelt leány.	0.265979
"Ah, vậy cô ấy không giống mẹ chút nào."	- Á! ~~~ Tehát nem ütött az anyjára.	-0.0485294
"Cũng không giống cha," cha tôi phụ họa. "	- Az apjára sem - tette hozzá apám.	0.1875
Thực tình ngài là người có học, nhưng lại ngông cuồng."	- Az is művelt volt, de buta.	-0.156
Mẹ tôi thở dài, chìm đắm vào nỗi suy tư.	Anyám sóhajtott és elgondolkozott.	0.205714
Cha tôi không nói gì thêm.	Apám többet nem szólt.	0.247826
Tôi cảm thấy bất an suốt buổi trò chuyện ấy.	Én egész beszélgetésük alatt nagyon kellemetlenül éreztem magam.	0.225
Sau bửa cơm tối, tôi đi dạo trong vườn, nhưng không mang theo súng.	Ebéd után lementem a kertbe, de puska nélkül.	0.111628
Tôi thề với lòng là sẽ không bén mãng tới phía vườn nhà Zasyekin, nhưng có một sức mạnh không cưỡng lại, đã lôi cuốn tôi về hướng đó vá chẳng bỏ công, chưa đi tới hàng rào tôi đã nhìn thấy Zinaida.	Megfogadtam volt, hogy nem megyek közel "Zaszekinék kertjé"-hez, de ellenállhatatlan erő vont oda - és nemhiába. ~~~ Alig értem a kerítés közelébe, megpillantottam Zinaidát.	-0.052454
Lần này chỉ có một mình nàng.	Most egyedül volt.	0.0333333
Tay cầm một quyển sách, nàng chậm rãi bước trên lối đi.	Kis könyvet tartott a kezében, s lassan haladt az úton.	0.222
Nàng không để ý đến tôi.	Nem vett észre.	0
Tôi gần như để cho nàng vượt qua; nhưng thình lình tôi đổi ý và ho lên.	Már-már elszalasztottam volna; de hirtelen észbe kaptam, s köhécselni kezdtem.	0.292
Nàng xoay mình, nhưng không ngừng bước, tay vén giải ruy-băng rộng màu xanh của cái nón rơm tròn, nhìn tôi, chậm chậm mĩm cười, và một lần nữa cúi xuống những trang sách.	Visszafordult, de nem állt meg, félresimította kerek szalmakalapjának széles kék szalagját, rám nézett, csendesen mosolygott, s megint a könyvébe mélyedt.	0.229054
Tôi dở nón ra, và sau một thoáng do dự, bước đi, lòng nặng chĩu. "	Levettem a sapkámat, egy darabig egy helyben topogtam, aztán nehéz szívvel továbbmentem.	0.244286
Que suis - je pour elle?" ~~~ tôi suy nghĩ bằng tiếng Pháp (chỉ có trời mới biết vì sao).	- Que suis-je pour elle?3 - gondoltam (isten tudja, miért) franciául.	0.35
Tiếng chân quen thuộc vang lên sau lưng; tôi nhìn quanh, cha tôi tiến gần, bước chân ông nhanh nhẹn, nhẹ nhàng.	Ismerős lépéseket hallottam magam mögött: hátranéztem - apám jött felém gyors és könnyű járásával.	0.261765
"Có phải cô ấy là cô công chúa?"	- Az ott a hercegkisasszony?	0.168
cha tôi hỏi.	- kérdezte.	0.25
"Dạ phải."	- Az.	-0.24
"Ủa, con quen với cô ấy à?"	- Talán ismered?	0.0375
"Con gặp cô ấy sáng này bên nhà họ."	- Ma reggel láttam, mikor a hercegnénél voltam.	0.27
Cha tôi ngừng chân, quay gót thật gọn, đi ngược lại.	Apám megállt, aztán hirtelen sarkon fordult és visszament.	0.289286
Khi bước song song với Zinaida, cha cúi chào nàng.	Mikor Zinaidával egy vonalba érkezett, udvariasan köszönt neki.	0.234
Nàng, cũng thế, chào lại cha, một vẽ sửng sốt nào đó lộ ra trẻn mặt, nàng đánh rơi quyển sách.	A lány is köszönt, nem minden csodálkozás nélkül az arcán, s leeresztette a könyvet.	0.207407
Tôi thấy được ngay cách nàng nhìn cha tôi.	Láttam, hogy a szemével követte apámat.	0.246154
Tuy lúc nào cha tôi cũng ăn mặc chỉnh tề đến mức hoàn hảo, giản dị và có một phong thái riêng, chưa bao giờ tôi thấy dáng dấp của ông lại phong nhã đến thế, chưa bao giờ cái nón xám của ông lại ngự một thích hợp đến thế trên những lọn tóc dợn cong, đã có phần hơi thưa hơn trước kia.	Apám mindig válasz­tékosan, egyénien, de egyszerűen öltözködött, de sohasem láttam csinosabb alakúnak, soha szebben nem állt a szürke kalapja alig ritkuló fürtjein.	0.016875
Tôi bước về hướng Zinaida, nhưng nàng không đưa mắt nhìn tôi lấy một lần; nàng nhặt quyển sách và bước đi.	Mentem volna Zinaida felé, de rám sem nézett, ismét szeme elé emelte a könyvet, és eltávozott.	0.1875
Chương 6	6	15.6
Tôi trải qua suốt buổi tối và ngày hôm sau trong chán chường, buồn bả.	Az egész estét s a következő reggelt szomorú zsibbadtságban töltöttem.	0.27
Tôi nhớ tôi cố học bài và mở quyển Keidanov ra, nhưng những dòng chữ in đậm và các trang giấy của quyển giáo khoa nổi tiếng này bay lượn trước mắt tôi mà không mang lại một ý nghĩa nào.	Emlékszem, meg­pró­báltam dolgozni, s elővettem Kajdanovot, de hiába vibráltak előttem a híres tudós könyvének terjedelmes sorai és oldalai.	0.163043
Tôi đọc hàng chục lần câu "Julius Caesar nổi bật nhờ lòng can trường trong chiến đấu."	Tízszer is elolvastam egymás után ezeket a szavakat: "Julius Caesar katonai vitézségével" - semmit sem értettem belőle, s félredobtam a könyvet.	0.511458
Tôi chẳng hiểu gì hết và dẹp quyển sách sang một bên.	Ebéd előtt megint megkentem a hajam, s megint felvettem a kabátomat és nyakkendőmet.	0.21
Trước giờ ăn tối, tôi lại bôi sáp lên mái tóc và một lần nữa, mặc chiếc áo đuôi tôm và thắt cà vạt.		-0.3
"Mặc áo đó làm chi thế con?"	- Ezt miért teszed?	0.0833333
mẹ tôi hỏi.	- kérdezte anyám.	0.24
"Con chưa phải là sinh viên, và có trời mới biết con sẽ thi đậu hay không.	- Nem vagy még egyetemi hallgató, s isten tudja, sikerül-e a vizsgád.	0.228571
Và cái áo lớn của con vừa mới may!	Aztán nem is olyan régen csináltattuk neked ezt a zekét.	0.189474
Con không thể hủy của như thế!"	Nem dobhatod el.	-0.12
"Hôm nay có khách mà mẹ," tôi khẻ nói gần như tuyệt vọng.	- Vendégek jönnek - suttogtam majdnem kétségbeesve.	0.222
"Bậy bạ, khách khứa gì họ!"	- Csacsi beszéd! ~~~ Micsoda vendégek azok!	-0.0272727
Tôi phải vâng lời mẹ.	Meg kellett adnom magam.	0.245455
Tôi thay cái áo đuôi tôm bằng cái áo lớn, nhưng tôi vẫn để nguyên chiếc cá vạt.	Újra felvettem a kabát helyett a zekét, de a nyakkendőt nem vettem le.	0.180952
Bà công chúa và con gái đến sớm nửa tiếng; công nương vẫn mặc chiếc áo xanh lục mà tôi đã thấy, nhưng có thêm một chiếc khăn quàng màu vàng, và một cái nón kiểu xưa, trang trí bằng những sợi ruy-băng đỏ rực như lửa.	A hercegné félórával ebéd előtt megérkezett leányával; az öregasszony a zöld ruha fölé, melyet már ismertem, sárga sálat vett fel, s egy régimódi, tűzpiros szalaggal díszített főkötőt tett a fejére.	0.235385
Công nương bắt đầu nói ngay tới những khó khăn về tài chánh, than thở về sự nghèo túng của mình, và ám chỉ đến những sự giúp đỡ, nhưng công nương cũng tỏ ra thỏai mái như đang ở nhà riêng; công nương sì sụp hít thuốc lá, ngọ ngoạy, cục cựa trên ghế như thường lệ.	Rögtön váltóiról kezdett beszélni, sóhajtott, szegénységét panaszolta, "kunyerált", de egyáltalában nem affektált: olyan zajosan tubákolt, s úgy forgolódott és fészkelődött a széken, mint otthon.	0.146154
Có vẽ chưa bao giờ công nương ý thức được mình là một vì công chúa.	Mintha nem is jutott volna eszébe, hogy hercegné.	0.0933333
Trái lại, Zinaida rất nghiêm trang, gần như kiêu kỳ, nàng đúng là một công chúa chính hiệu.	Viszont Zinaida magatartása szigorú, szinte dölyfös volt, mint egy igazi hercegkisasszonyé.	0.512069
Nét mặt nàng lạnh lùng bất động và uy nghi.		-0.3
Tôi không nhận ra dấu vết những nụ cười, những liếc mắt của nàng mà tôi đã biết, mặc dù tôi nghĩ rằng nàng vẫn đẹp tuyệt trần trong phong thái mới.	Hideg mozdulatlanság és komolyság volt az arcán - rá sem ismertem: nem ismertem rá a nézésére, a mosolyára, bár ezt az új arcát is gyönyörűnek találtam.	0.254483
Nàng mặc một chiếc áo lua barége thưa, mỏng có những đóa hoa màu lam; mái tóc nàng thả dài từng lọn nhỏ kiểu Anh hai bên má; kiểu tóc này rất phù hợp với vẽ mặt lãnh đạm của nàng.	Halványkék mintájú, könnyű barezs­ruha volt rajta, haja angolosan hosszú fürtökben omlott alá a két orcája mellett; ez a hajviselet jól illett hideg arckifejezéséhez.	0.234783
Cha tôi ngồi bên cạnh nàng trong bửa ăn tối, và tiếp đải nàng theo cách thức lịch sự, hòa nhả đặc biệt của ông.	- Apám mellette ült az ebéd alatt, s az egyéniségéhez tartozó elegáns és nyugodt udvariassággal szórakoztatta szomszédnőjét.	0.295122
Thỉnh thoảng cha tôi liếc nhìn nàng, và nàng cũng liếc nhìn cha tôi, nhưng rất lạ kỳ, gần như là thù nghịch.	Csak ritkán nézett rá - s a lány is csak ritkán nézett apámra, de akkor nagyon különösen, szinte ellenségesen.	0.2625
Họ nói chuyện với nhau bằng tiếng Pháp; tôi nhớ là, tôi đã bất ngờ vì sự trong sáng của giọng nói nàng.	Franciául folyt a társalgásuk; engem, emlékszem, meglepett Zinaida tiszta kiejtése.	0.16875
Công nương, trong khi chúng tôi ở bàn ăn, vẫn như trước, không câu nệ khách khứa; ăn rất nhiều và khen ngợi các món ngon.	A hercegné az ebéd ideje alatt sem feszélyezte magát, akárcsak azelőtt; sokat evett, s dicsérte főztünket.	0.216832
Rõ ràng mẹ tôi rất chán nản, trò chuyện với công nương thờ ơ qua quít; cha tôi thình thoảng lại hơi cau mày.	Anyám szemmel láthatóan unta, s rosszkedvű lenézéssel felelgetett neki; apám néha összevonta kissé a szemöldökét.	0.292035
Mẹ tôi cũng không thích Zinaida.	Zinaida sem tetszett anyámnak.	0.248276
"Thật là tự cao tự đại," hôm sau mẹ tôi nói.	- Gőgös teremtés - mondta róla másnap.	0.205263
"và thử nghĩ xem, có cái gì để tự cao tự đại cơ chứ - 'avec sa mine de grisette!"	- Az embernek eszébe jut, mire lehet büszke, avec sa mine de grisette.4	1.05553
"Tôi chắc rằng em chưa từng gặp một cô grisette* nào" cha tôi nói với mẹ.	- Látszik, hogy nem láttál grizetteket - jegyezte meg apám.	0.169091
"Nhờ ơn trời, em chưa gặp ai. "	- Hála istennek!	-0.01875
"Nhờ ơn trời, chắc chắn vậy... thế thì làm sao em biết họ ra sao mà nói?"	- Hát persze hogy hála istennek... de akkor hogy mondhatsz róluk véleményt?	0.261429
Zinaida hoàn toàn không ngó ngàng đến tôi.	Zinaida egész idő alatt rám se hederített.	0.645732
Vừa xong bửa ăn, công nương đứng dậy ra về.	Az ebéd után a hercegné csakhamar búcsúzni kezdett.	0.3
"Ta sẽ trông cậy vào lòng tốt của quý vị, bà Maria Nikolaevna, ông Piotr Vassilitch," công nương áo nảo nói với cha mẹ tôi.	- Számítok pártfogásukra, Marja Nyikolajevna és Pjotr Vasziljics - mondta éneklő hangon anyámnak és apámnak.	0.234286
"Ta không thể làm khác hơn!	- Mit lehet tenni!	0.05625
Thời của ta đã qua.	Voltak más idők is, de elmúltak.	0.177273
Ta là một quý tộc, thế mà lại nghèo túng đến độ không đủ miếng ăn!"	Itt vagyok, kegyelmes asszony - tette hozzá kellemetlen nevetéssel -, de mit ér a rang, ha nincs mit enni?	0.250633
Cha tôi kính cẩn cúi chào và đưa công nương ra tận cửa đại sảnh.	- Apám tisztelettel meghajolt előtte, s kikísérte az előszoba ajtajáig.	0.286957
Tôi đứng đó, cái áo lớn ngắn củn cởn, nhìn chăm chăm xuống sàn nhà, giống như một phạm nhân chịu án tử hình.	Én ott álltam rövid zekémben, s a padlót néztem, mint egy halálraítélt.	0.0728571
Cách thức Zinaida đối xử với tôi khiến lòng tôi tan nát.	Az, ahogy Zinaida velem viselkedett, véglegesen lesújtott.	0.636818
Nhưng tôi sửng sốt biết bao, khi, bước ngang qua tôi, nàng thì thào thật nhanh bên tai tôi với ánh mắt thường lệ: "Tám giờ tối ghé qua nhà chị nhé, nghe không, nhớ nhé..." Tôi chỉ biết đưa hai tay lên cao, nhưng nàng đã đi, chiếc khăn quàng trắng phấp phới trên đầu. ~~~ * grisette: thiếu nữ giai cấp thợ thuyền (Pháp)	Mekkora volt a csodálkozásom, mikor mellettem elhaladva, gyors szóval s már ismert kedves pillantásával ezt súgta nekem: ~~~ - Jöjjön el hozzánk nyolc órakor, de feltétlenül... - Én csak széttártam a két kezem, de ő, fehér sálját a fejére téve, már kiment az ajtón.	-0.171255
Chương 7	7	15.6
Chính xác lúc 8 giờ tối, trong chiếc áo đuôi tôm và tóc chải gọn ghẻ thành túm, tôi bước vào hành lang nhà nàng.	Pontosan nyolc órakor, kabátban s felfésült hajjal, beléptem a hercegasszonyék szárny­épületének előszobájába.	0.284211
Người nô bộc già ngồi trên băng ghế lé mắt nhìn tôi và đứng dậy một cách miễn cưởng.	Az öreg inas mogorván nézett rám, s nem szívesen kelt fel a padról.	0.120968
Tiếng nói cười vui vẻ vọng ra từ phòng khách.	A fogadószobából vidám hangok csendültek felém.	0.287755
Tôi mở cửa, bật ngửa vì kinh ngạc.	Kinyitottam az ajtót, s visszahőköltem az álmélkodástól.	0.165
Ngay chính giửa phòng, công chúa đứng trên một cái ghế, cầm một cái mũ đàn ông; chung quanh ghế chen chúc cở nửa tá người.	A szoba közepén széken ült a hercegkisasszony, s egy férfikalapot tartott maga előtt; a szék körül öt férfi nyüzsgött. ~~~ Igyekeztek kezüket a kalapba dugni.	-0.0169173
	Zinaida azonban felkapta magasra, és erősen megrázta.	-0.3
Họ tranh nhau với tay vào chiếc nón nàng đang giơ cao và lắc mạnh.	Mihelyt megpillantott, ezt kiáltotta: ~~~ - Álljanak meg, álljanak meg!	-0.00923077
Nhìn thấy tôi, nàng kêu lên, " Khoan, khoan, có khách, người ta cũng phải có một vé chứ," và nhẹ nhàng nhảy xuống ghế, nàng kéo cổ tay áo sơ mi của tôi "Nào đến đây, " nàng nói, "sao cậu đứng ỳ ra thế?	Új vendég, jegyet kell neki adni - könnyedén leugrott a székről, s megfogta kabátujjam hajtókáját. ~~~ - Gyerünk már - mondta -, miért áll ott?	-0.0913534
Messieurs, cho phép tôi được giới thiệu: đây là M'sieu Voldemar, con trai ngài làng giềng.	Messieurs, enged­jék meg, hogy bemutassam mszjő Voldemart, szomszédunk fiát.	0.522973
Và đây," nàng tiếp tục nói với tôi và chỉ từng người khách, "Bá tước Malesky, Bác sĩ Lushin, thi sĩ Meidanov, đại úy hồi hưu Nirmatsky, và kỵ binh Byelovzorov cậu đã gặp.	Ezek pedig - tette hozzá felém fordulva és egymás után rámutatva a vendégekre - Malevszkij gróf, doktor Lusin, Majdanov költő, Nyirmackij szolgálaton kívüli kapitány és Belovzorov huszár, akivel már találkozott.	0.268681
Tôi hy vọng tất cả sẽ là bạn tốt với nhau."	Kérem, kedveljék meg egymást.	0.1
Tôi bối rối đến nỗi không cúi chào một ai; tôi nhận ra Bác sĩ Lushin là người đàn ông da sậm đã không một chút thương xót làm tôi xấu hổ trong vườn hôm trước; những người còn lại tôi không biết.	Annyira zavarba jöttem, hogy nem is köszöntem senkinek; doktor Lusinban ráismertem arra a barna arcú férfira, aki olyan kíméletlenül megszégyenített a kertben; a többieket nem ismertem.	0.225434
"Bá tước!"	- Gróf!	0.075
Zinaida tiếp tục, "viết cho M'sieu Voldemar một vé."	- folytatta Zinaida. ~~~ - Írjon mszjő Voldemarnak jegyet.	-0.00576923
"Như vậy là không công bằng," bá tước phản đối, lơ lớ giọng Ba Lan.	- Ez nem igazság - felelte enyhe lengyeles akcentussal a gróf.	0.185455
Đó là một người tóc nâu, rất đẹp trai và ăn mặc hợp thời, có đôi mắt nâu diễn cảm, mũi nhỏ trắng và hàng ria mép mỏng trên cái miệng nhỏ.	Elegánsan öltözött, szép barna férfi volt, sötét szeme kifejező, fehér orra keskeny, vékony bajuszkát viselt kicsi szája felett.	0.2256
"Ông đây chưa bao giờ chơi trò Nộp Phạt với chúng ta."	- Ő nem játszott velünk zálogosdit.	0.0942857
"Không công bằng," Byelovzorov phụ họa với người đàn ông được giới thiệu là đại úy hồi hưu; ông ta trạc bốn mươi tuổi, mặt rỗ chằng chịt, tóc quăn tít như người da đen, vai u vạm vỡ, chân vòng kiếng, áo khoác quân đội không có cầu vai, không cái nút.	- Nem igazság - ismételte Belovzorov, s a szolgálaton kívüli kapitánynak mondott úr, egy negyvenéves, a rútságig himlőhelyes, arabosan göndör, hajlott hátú, görbe lábú, vállrojt nélküli, kigombolt katonazubbonyba öltözött férfi.	0.230667
"Tôi bảo ông viết một vé cho cậu ấy," công chúa lập lại.	- Írjon jegyet, ha mondom - ismételte a hercegkisasszony.	0.230769
"Sao lại nổi loạn thế?	- Miféle zendülés ez!	0.231818
M'sieu Voldemar đến với chúng ta lần đầu tiên, và không cần áp dụng luật lệ nào với cậu ấy.	Mszjő Voldemar most először van velünk, s a mai napon a törvény rá nem vonatkozik.	0.380921
Cằn nhằn cũng vô ích thôi --- tôi muốn ông viết một vé cho cậu ấy."	Morgás nincs, írja: akarom!	-0.222222
Bá tước nhún vai nhưng rồi ngoan ngoãn cúi đầu, những ngón tay đeo đấy nhẫn cầm lấy cây bút, xé một miếng giấy nhỏ và viết lên đó.	A gróf vállat vont, majd fejét alázatosan meghajtva, tollat fogott gyűrűkkel ékesített fehér kezébe, letépett egy darab papírt, s írni kezdett reá.	0.289362
"Ít nhất chúng ta cũng nên giải thích cho Mr. Voldemar biết," Lushin bắt đầu với giọng châm chọc, "nếu không, cậu ấy sẽ không hiểu gì Cậu có thấy là chúng tôi đang chơi trò Nộp Phạt?	- De legalább tessék megengedni, hogy Voldemar úrnak megmagyarázzam, miről van szó - kezd­te csúfondáros hangon Lusin -, mert különben egészen elveszti a fejét.	0.328609
công nương phải trả phạt, và người nào may mắn trúng số sẽ được vinh dự hôn tay nàng.	Nézze, fiatal­ember, mi itt zálogosdit játszunk, a hercegkisasszony vállalta a büntetést, s az, aki a szerencsés jegyet kihúzza, jogot szerez arra, hogy megcsókolja a kezét.	0.102062
Cậu hiểu tôi nói gì không ?"	Megértette, mit mondtam?	0.2125
Tôi chỉ biết chòng chọc nhìn ông ta, và vẫn đứng im trong mê hoảng khi công chúa lại nhảy lên trên ghế, và lại vẫy vẫy cái nón.	Én csak néztem rá, s még mindig úgy álltam ott, mintha elkábultam volna, a hercegkisasszony pedig megint felugrott a székre, s elkezdte rázni a kalapot.	0.3
Tất cả bọn họ đều với tay lên cố chụp bắt, và tôi cũng làm theo họ.	Valamennyien odatódultak - én is velük.	-0.0157895
"Meidanov," công chúa nói với chàng thanh niên cao có gương mặt mỏng, đôi mắt nhỏ âm u, mái tóc đen dài thượt, "là một thi sĩ, lẽ ra ông phải hào hiệp tặng vé của ông cho M'sieu Voldemar để cậu ấy có gấp đôi cơ may."	- Majdanov - mondta a hercegkisasszony a magas, sovány arcú, apró és vaksi szemű fiatal­embernek, akinek feltűnően hosszú fekete haja volt -, magának, mint költőnek, nagylelkűnek kell lennie: engedje át a jegyét mszjő Voldemarnak, hogy egy helyett két chance-a legyen.	0.276419
Nhưng Meidanov lắc đầu từ chối, hất mái tóc.	De Majdanov tagadóan rázta a fejét, s meglengette a haját.	0.282353
Tôi là người sau cùng thò tay vào nón, và mở tấm vé của tôi... Trời đất ơi! ~~~ tôi không hiểu tôi trông ra sao khi tôi đọc trên tấm giấy chữ Hôn!	Én a többiek után nyúltam be a kalapba, kivettem és kibontottam egy jegyet... Úristen, hogy éreztem magam, amikor meg­pillantottam rajta a szót: csók!	-0.0172662
"Hôn!"	- Csók!	0.3
tôi không thể không kêu to.	- kiáltottam fel önkéntelenül.	0.268966
"Hoan hô!	- Bravó!	0.266667
cậu đã trúng thưởng," công chúa nói nhanh.	nyert - csendült a hercegkisasszony hangja.	0.2475
"Tôi thích lắm!"	- Hogy örülök!	0.24375
Nàng bước xuống ghế và cho tôi một cái nhìn ngọt ngào làm tim tôi đập mạnh.	- Leszállt a székről, s olyan derűsen és édesen nézett a szemembe, hogy a szívem beleremegett.	0.285714
"Cậu có thích không?"	- És maga örül?	0.15
nàng hỏi tôi.	- kérdezte tőlem.	0.2625
"Em hả?	- Én?...	0.3
".....tôi lạc giọng.	- dadogtam.	-0.0545455
