Homer	HOMÉROSZ	0.1
Rút cuộc họ chấp nhận cách cuối cùng.	mit nekem adtál, míg engeszteltél szavaiddal."	0.293182
Nào ngờ định mệnh run rủi họ sẽ tiêu vong khi thành Troa đón nhận ngựa gỗ khổng lồ chứa trong bụng nhóm quân Argive tinh nhuệ đem chết chóc, chém giết cho người Troian.	Így szólt, és vállára kötötte ezüstszögü kardját. ~~~ És hogy a nap lebukott, ott volt a sok ékes ajándék,	-0.113592
Thi sĩ tiếp tục ca hát kể chuyện chiến binh Achaian rời nơi mai phục sâu hoắm nhảy ra khỏi ngựa gỗ làm cỏ thành Troa, phân tán khắp phố phường cướp phá; Odysseus như thần linh chiến tranh Ares cùng Menelaos hung hăng kéo tới nhà Deiphobos; đến nơi Odysseus lâm trận, giao chiến ác liệt, rùng rợn, cuối cùng cũng chiến thắng nhờ Athena bất khuất trợ giúp.		-0.3
Nhưng trong khi thi sĩ lừng danh ca hát đề cao chiến công, Odysseus xúc động khôn xiết, lòng buồn da diết, lệ tuôn dồn dập.	és a vitéz hiradók a király házába bevitték: ~~~ átvették fiusarjai Alkinoosznak az ékes	-0.0776471
Odysseus khóc như thiếu phụ nức nở quỳ gối, vung tay ôm xác chồng yêu quý vừa gục trước chiến lũy và nhân dân, chiến đấu cứu nguy thành phố cùng con cái thoát khỏi ngày tàn khốc, bi thương.	holmikat és tisztelt anyjuk mellé odatették. ~~~ S Alkinoosz bevezette a népet szent erejével,	-0.207558
Nàng thấy chồng thở hổn hển, giãy giụa chết dần; nàng ôm chặt vừa rên la vừa than vãn ai oán.	jöttek hát, s odabenn a magas székekre leültek. ~~~ Végre is Árétéhoz eként szólt Alkinoosz hős:	-0.0179348
Nhưng kẻ thù tiến tới cầm thương phang mạnh trên vai, trên lưng, lôi đi bắt làm nô lệ, bắt lao động nhọc nhằn, cặp má tàn phai vì đau khổ đáng thương.	"Jöjj ide, asszony, hozz szép ládát, legkitünőbbet: ~~~ s rakd bele abba a tiszta mosott köpenyeggel az inget.	-0.0975
Đáng thương chẳng kém lúc này là lệ cũng ứa đầy tròng mắt, ướt đẫm làn mi.	És ti vizet melegítsetek, üstöt téve a tűzre, ~~~ hogy fürdőt vegyen és megnézze az ittheverő sok	-0.00862069
Odysseus tìm đủ cách che giấu không để ai nhìn.	szép holmit, phaiák nemesek neki szánt adományát,	0.287755
Chỉ có Alkinoos nghi ngờ, nom thấy; ngồi bên cạnh quân vương nghe tiếng thở dài não nuột.	s étkeket élvezzen, hallgassa a dalt meg a lantot. ~~~ Én magam, íme, adok gyönyörűszép kelyhet aranyból	-0.0015625
Ông lập tức nói với người quý chèo yêu biển: "Thủ lĩnh và hoàng thân người Phaiakian, lắng nghe!	néki, hogy emlékezzék mindig rám, mikor otthon ~~~ bort loccsant Zeusznak meg a többi nagy égilakónak."	-0.0173684
Thôi đủ rồi, Demodokos ngừng biểu diễn cây đàn muôn điệu; chủ đề ca khúc nhiều người không ưa.	Így szólt; Árété meg a szolgálókra parancsolt, ~~~ hogy nagy háromlábas edényt tegyenek föl a tűzre:	-0.0185567
Quả nhân thấy từ lúc ngô bối vào tiệc, thi sĩ ca công thiên phú trổi nhạc, khách lạ ngồi đây bật khóc nức nở, thổn thức khôn ngừng, rên rỉ thảm thiết.	ők fürdőöntő nagy edényt tettek föl a lángra ~~~ és vizet öntöttek bele, fát gyujtottak alatta.	-0.125543
Chắc hẳn nỗi buồn cay đắng tràn ngập cõi lòng.	Lángok közt melegült az edény hasa, benne a víz is;	0.2625
Vậy, thi sĩ ca công dừng tay, mọi người mới có thể vui vầy, chủ cũng như khách.	közben a vendégnek ládát hozatott a királynő, ~~~ hálójából, szépet, a szép holmit beletette:	-0.0104651
Nếu thế thú vị biết bao!	mind a ruhát, aranyat, phaiák vezetők adományát;	0.103448
Vì khách lạ khả ái, ngô bối hiện diện ở đây tổ chức họp mặt chia tay, tặng phẩm quý báu trao tặng theo tình thân hữu.	s ő maga rakta be még ama szép köpenyeggel az inget, ~~~ és megszólította a hőst, szárnyas szavakat szólt:	-0.0489796
Với người có chút nhận thức thông thường, biết phân biệt phải trái, sinh ra mang nặng tấm lòng, chủ và khách gần gũi như anh em."	"Nézz a födélre magad, s rá gyorsan kösd a csomódat, ~~~ hogy még ez vagy amaz ki ne fosszon, míg te az édes	-0.0710526
"Và bây giờ đến lượt khách lạ, đừng vì lý do khôn khéo mà giữ lời không đáp câu quả nhân ướm hỏi.	álom ölében fekve suhansz tova barna hajónkon." ~~~ Meghallgatta a szót a sokattűrt isteni férfi,	-0.0383333
Thành thật, thẳng thắn vẫn hơn.	és elzárta fedéllel a ládát, rá bonyolultan	0.243243
Xin cho biết quý danh ở nhà thân mẫu, thân phụ, bằng hữu trong thành phố, ngoài làng quê thường gọi.	kötve csomót, ahogyan Kirké tanitotta, az úrnő. ~~~ S még ott helyben a jó gazdasszony fürdeni hívta	-0.0241935
Xét cho cùng không ai, dù quý phái hay bình dân, ra đời không có tên; ai chào đời bố mẹ cũng đặt tên để gọi.	őt, hogy lépjen a kádba: örömmel látta a forró ~~~ fürdőt, mert sok része a gondosságban azóta,	-0.0412088
Cũng mong khách lạ cho hay từ đâu tới, dân nào, thành phố nào để thuyền quả nhân, do lý trí lèo lái, sử dụng khôn ngoan, dự tính hải trình chính xác đưa khách lạ trở về.	hogy szépfürtü Kalüpszótól tovament, nemigen volt, ~~~ míg ott istenként szakadatlan kényelem óvta.	-0.13299
Vì thuyền Phaiakian không có hoa tiêu hoặc bánh lái như thuyền nơi khác.	Szolgálók fürdették most, s kenték meg olajjal, ~~~ adtak rá gyönyörű inget meg drága palástot.	-0.034
Thuyền ngô bối do thiên tính biết tay chèo nghĩ gì, muốn gì.	És hogy a kádból szállt ki, a bent borozó mulatókhoz ~~~ ment.	-0.0184211
Thuyền ngô bối biết mọi thành phố, mọi miền đất trù phú khắp địa cầu.	És Nauszikaá, ki az égtől kapta a báját, ~~~ mesteri mívü tető pillére tövében amott állt,	-0.00714286
Lẩn trong mây mờ hay sương mù thuyền ngô bối lướt vun vút trên mặt biển bao la, không sợ vỡ, không sợ chìm."	s elbámulva csodálta Odüsszeuszt, látva szemével, ~~~ és őt megszólítva, ilyen szárnyas szavakat szólt:	-0.0237624
"Tiện đây quả nhân nói khách lạ hay đe dọa quả nhân biết do thân phụ Nausithoos thường kể: Poseidon căm giận vì ngô bối chuyên chở mọi người đến nơi an toàn, không gây tai nạn cho ai.	"Üdvözlégy, idegen, hogy majdan az otthoni földön ~~~ emlékezz énrám - akinek hálád legelőbb jár."	-0.157813
Hải thần nói thế nào cũng có ngày khi thuyền bền chắc của người Phaiakian quay về sau chuyến vượt biển mù sương, hải thần sẽ đánh tan, rồi chất núi bịt lối vào thành phố.	Válaszul erre eképen szólt leleményes Odüsszeusz: ~~~ "Nauszikaá, lánysarja a hősszivü Alkinoosznak,	-0.142347
Lão vương nói thế.	bár így adná Zeusz, Héré dörgőszavu férje,	-0.0136364
Rất có thể hải thần sẽ ra tay hoặc để đó chưa đụng tới.	otthonomat s hazatértem napját látnom, elérnem.	0.17234
Khi nào muốn là hải thần quyết định.	Hozzád ott is akár istenhez, aként könyörögnék	0.265116
Nhưng thôi bây giờ hãy nói và kể cho ngô bối hay hết sự thật.	mindenkor, te leány: hisz az éltem vissza te adtad."	0.17234
Trong khi lênh đênh trôi dạt vào đâu?	Szólt és Alkinoosz mellé ült ekkor, a trónra;	0.27
Tới vùng đất nào có người ở?	s már azok étkeket osztottak, meg a bort vegyitették.	0.191667
Đến thành phố nào, dân trong đó ra sao?	Ekkor a kedves dalnokot is bevezette a hírnök,	0.3
Gặp dân dã man, bộ lạc thù nghịch không biết phải trái hay rơi vào chỗ người hiền lành, tử tế, hiếu khách, tôn kính thần linh không?	Démodokoszt, kit a nép tisztelt: ültette közébük ~~~ épp a középre; nagy oszlophoz támasztva a hátát.	-0.0719388
Đồng thời giải thích cho ngô bối biết buồn nào khiến khách lạ ứa lệ khi nghe kể chuyện đau thương về hàng quân Argive, Danaan và thành Troa sụp đổ.	Így szólt ekkor a hírnökhöz leleményes Odüsszeusz, ~~~ háthúsból kanyarítva - maradt még több a gerincen -	-0.084466
Chuyện đó thần linh chịu trách nhiệm: lấy đời con người dệt thảm họa thành thi ca để thế hệ mai sau ca hát, ngâm vịnh.	hófogu disznó húsából, mit a zsír beborított: ~~~ "Hírnök, vedd csak e húst és vidd oda Démodokosznak,	-0.0505102
Biết đâu dưới chân tường thành Troa, do liên hệ hôn phối, khách lạ chẳng có thân nhân can trường gục chết, con rể hoặc bố vợ?	hadd egye meg: s őt üdvözlöm most, bárha busongok: ~~~ mert hisz az énekeseknek a tisztelet és a csodálat	-0.0726316
Thân hữu quý mến sau người cùng máu mủ, cùng gia đình?	jár valamennyi halandótól: minden dalos embert	0.2
Hay đồng đội gan dạ hào hiệp, tận tình với khách lạ?	múzsa tanított dalra, hisz annyira kedveli törzsük."	0.241176
Bởi người bạn tâm đầu ý hợp cũng quý mến, thân thương chẳng kém người anh em ruột thịt!"	Így szólt; s vitte a hírnök a húst, odaadta a bajnok ~~~ Démodokosznak: az át is vette, örülve szivében.	-0.009375
Khúc 9 ~~~ Odysseus trăm khéo ngàn khôn hắng giọng đáp lời: "Bẩm quân vương Alkinoos quyền uy, vinh quang chói lọi toàn dân tự hào, nghe thi sĩ như thi sĩ hiện diện ở đây ca hát quả thật thú vị, giọng như giọng oanh vàng thỏ thẻ, réo rắt, dìu dặt tuyệt vời.	S ők kirakott kész étkek után kezüket kivetették. ~~~ Majd miután elverték végül az éhet, a szomjat,	-0.413684
Trong thâm tâm tiện nhân cảm thấy chẳng gì thích thú cho bằng thấy mọi người vui vẻ, tươi cười, thực khách an tọa thoải mái theo hàng trong đại sảnh để tai lắng nghe thi sĩ phô diễn, bàn trước mặt đầy thịt, đầy bánh mì, bồi tửu chạy quanh mang rượu lấy từ bình rót đầy từng cúp.	Démodokoszhoz eképen szólt leleményes Odüsszeusz: ~~~ "Démodokosz, mindenki fölött dícsérlek erősen.	-0.310396
Theo chỗ tiện nhân nhận xét như vậy là tuyệt hảo, cuộc đời tươi đẹp, sung sướng vô cùng!...	Tán Zeusz lánya, a Múzsa tanított így, vagy Apollón: ~~~ oly szép rendben mondod a dalt az akháj seregeknek	-0.0123711
Nhưng lòng riêng xúc động Hoàng thượng muốn biết vì sao tiện nhân buồn đến thở dài, nhỏ lệ, rên rỉ khôn nguôi.	sorsáról: mit tettek, tűrtek, hogy hadakoztak, ~~~ mint aki köztük volt, vagy mástól tudja a hírét.	-0.0516129
Ôi chao! ~~~ Nếu kể chuyện đời mình, tiện nhân bắt đầu, kết thúc chỗ nào bây giờ?	Rajta, a szót másról kezdd most: zengj dalt a falóról, ~~~ melyet Epeiosz készített s vele Pallasz Athéné,	-0.179268
Vì buồn rầu, đau khổ thần linh trên trời dành cho nhiều vô kể.	s melyet a felső várba cselével a fényes Odüsszeusz	0.177551
Tuy nhiên, bắt đầu xin kể tên mình, hy vọng Hoàng thượng nhớ để sau này, nếu thoát khỏi ngày thảm thương, tiện nhân vẫn là thân hữu, mặc dù nhà ở cách đây khá xa!"	vitt, tele harcossal, s feldúlták isteni Tróját. ~~~ Hogyha te ezt nekem elsorolod most mind, ahogy illik,	-0.137234
"Thưa, tiện nhân tên là Odysseus, con ông Laertes, đâu đâu cũng biết mưu lược tiện nhân thực hiện, nhờ thế tên tuổi vang dội trời cao.	én valamennyi halandónak hirdetni fogom, hogy ~~~ isteni dalt míly nagy készséggel adott neked isten."	-0.083871
Nhà tiện nhân ở dưới bầu trời Ithaka, chan hòa ánh nắng, nhìn thấy từ xa.	Szólt; s az, az istennel megtelve, a dalt bemutatta: ~~~ onnan fogva, miként vágtak sok jópadu gályán	-0.0185185
Trên có ngọn núi đỉnh nhô cao, Neritos hiện hình lồ lộ, lá cây rung rinh theo gió.	útnak az argosziak, tüzet is hogy dobtak a tábor ~~~ sátraira, s mások már ültek a híres Odüsszeusz	-0.0105882
Xung quanh là đảo quây quần gần nhau, Doulichion, Samos, Zakynthos cây cối um tùm.	mellett rejtőzködve a lóban, a trójai téren: ~~~ mert hisz a trójaiak vonszolták azt fel a várba.	-0.0128049
Nhưng Ithaka thấp và xa hơn cả, mãi tít ngoài khơi nằm chếch hướng tây, nơi âm u mặt trời chìm lặn, đảo khác cách xa quay về hướng đông, chỗ bình minh và vầng dương xuất hiện.	Ott állt hát a faló, körülötte zavart fecsegéssel ~~~ ültek a trószok: a szándékuk háromfele oszlott: ~~~ vagy hegyes érccel a ló üregét átütni azonnal,	-0.194898
Đất khô cằn, sỏi đá, song nuôi sống bầy con gan dạ.	vagy fölvonni a csúcsra, lelökni a sziklatetőről,	0.244898
Đất đó dẫu vậy tiện nhân thấy không nơi nào thi vị, ngoạn mục cho bằng!"	vagy bűvös bálványként adni az égilakóknak; ~~~ végül is ennek kellett mennie teljesedésbe:	-0.0108434
	végzete volt ugyanis, hogy vesszen Trója, ha egyszer	-0.3
"Yêu mị Calypso giữ ghịt trong động vòm cung vì muốn lấy làm chồng.	ezt a lovat befogadta, amelyben a legderekabbak ~~~ ültek, csúnya halált s vészt víve a trójaiakra.	-0.0324324
	Zengte, hogyan dúlták fel a várat a harcos akhájok,	-0.3
Yêu phụ Circe phù thủy đảo Aiaia giam lỏng trong cung điện do cũng muốn lấy làm phu quân!	leshelyük öblét elhagyták, kizudultak a lóból. ~~~ És elzengte, ki hol rombolta a vár meredélyét,	0
Nhưng cả hai không toại nguyện, lòng riêng tiện nhân không muốn dù chỉ một lúc ngắn ngủi.	s Déiphobosz házához mint tört bajnok Odüsszeusz, ~~~ mint maga Árész, s véle az isteni hős Meneláosz.	-0.0046875
Bởi thực tình mà nói không gì thú vị bằng quê hương, bằng cha mẹ, bằng thân nhân; sống tha hương trên xứ lạ quê người trong nhà giàu có thử hỏi để làm gì?	Legszörnyebb harcot mondotta hogy ott indított, ~~~ s győzött, mert nagylelkü Athéné megsegitette.	-0.125806
Nhưng thôi, vì Hoàng thượng muốn biết, tiện nhân xin kể hải trình thê thảm, hãi hùng Chúa tể bắt gánh chịu khi rời đất Troad trở về."	Hát ezt zengte a nagyhirü dalnok; s közben Odüsszeusz ~~~ olvadozott, s szemehéja alól könny mosta az arcát.	-0.0742424
"Vẫn gió đó, ngọn gió đưa tiện nhân từ thành Troa tới thành Ismaros thuộc dân Kikon.	Mint ahogy asszony sír szeretett férjére borulva, ~~~ mert elesett ez a város népe előtt viadalban,	-0.00166667
Tiện nhân cướp thành phố, giết dân trong đó.	szörnyűségek napja elől védvén az övéit;	0.252273
Chiếm của cải, bắt phụ nữ nhiều vô kể ngô bối chia đều để không người nào thiếu phần thua thiệt, ra đi cằn nhằn, trách móc.	látja a nő, hogy haldoklik vonagolva a porban; ~~~ ráomol éles nagy zokogással, s közben a síró ~~~ hátát és vállát gerelyekkel ütik s viszik is már	-0.152688
Sau đó tiện nhân nói với đồng đội phải mau mau rút lui, càng sớm càng tốt.	rút rabságba, ahol robot és siralom csak a része	0.353333
Nhưng xuẩn động quá đồng đội không nghe.	és orcája a legnyomorultabb kínban enyészik:	0.272727
Thay vì thế rượu vang thừa, gia súc lắm họ uống tì tì, hạ cừu, giết bò sừng cong, bước đi ì ạch ngay trên bãi biển.	így ejtett a szemöldje alól bús könnyet Odüsszeusz. ~~~ Senkise látta ugyan közülük, hogy csordul a könnye, ~~~ észre csak Alkinoosz maga vette, amint odanézett	-0.12451
Trong khi đó người Kikon đi tìm láng giềng ở sâu trong đảo kể lể nông nỗi khốn đốn, kêu gọi trợ giúp, vừa đông vừa giỏi, huấn luyện thuần thục giao chiến trên xe, tác chiến trên bộ khi tình thế đòi hỏi.	és a nehéz sóhajt hallotta az oldala mellett. ~~~ Hát evezőt-szerető phaiák főbbekhez ekép szólt: ~~~ "Phaiák főnökök és vezetők, hallgassatok énrám, ~~~ Démodokosz tegye már le az éleshangzatu lantot:	-0.241176
Sáng sớm tinh mơ kéo tới đông như lá, nhiều như hoa mùa xuân họ tấn công ngô bối.	mert lám nem mindenki örül, hogy ilyen dala hangzik. ~~~ Mert amióta eszünk s ezt zengi az isteni dalnok,	-0.00681818
Tai họa định mệnh khủng khiếp đẩy đưa, than ôi, Chúa tể bắt gánh chịu như sóng triều dồn đổ lên đầu lên cổ đồng đội cùng tiện nhân.	vendégünk nem hagy föl a fájdalmas zokogással: ~~~ mert az erős bánat bizonyára körülveszi lelkét.	-0.0947368
Tâp trung thành hàng, đội hình san sát, họ khai chiến gần thuyền lướt sóng; thương mũi đồng lao vun vút.	Hát hallgasson a lant, inkább mindnyájan örüljünk, ~~~ háziak és vendég: sokkal szebb, hogyha ez így van;	-0.019697
Suốt buổi sáng tới lúc ánh nắng ban ngày dần dần trở nên gay gắt, ngô bối gan dạ cầm cự, phòng tuyến nguyên vẹn, mặc dù họ đông đảo gấp bội; nhưng lúc mặt trời bắt đầu xế bóng, lúc nông phu tháo ách cho bò, quân Kikon thắng thế bẻ gãy đội hình, đẩy lui, áp đảo quân Achaian.	mert hisz a tisztelt vendégért rendeztük, övé mind ~~~ búcsukiséret, ajándék, mit szeretettel adunk most.	-0.306
Trên mỗi thuyền sáu đồng đội xà-cạp gọn gàng tử trận; số còn lại lẩn tránh tử thần và định mệnh tìm đường tẩu thoát."	Mert mint testvérét, úgy tartja az oltalomesdőt ~~~ és idegent mindenki, kinek csak csöpp esze is van.	-0.0815217
"Rời nơi đó ngô bối ra khơi, buồn rười rượi, buồn vì mất đồng đội thân thương, song vui do bản thân thoát chết.	Éppenezért te se rejtsd fortélyos gondolatokkal ~~~ azt, amiről kérdezlek: sokkal szebb, ha kimondod.	-0.0532258
Dẫu thế tiện nhân không để thuyền mũi cong lên đường chừng nào chưa có người cất tiếng gọi ba lần từng đồng đội bất hạnh gục chết trên cánh đồng dưới tay quân Kikon.	Áruld el nevedet, min apád meg anyád szava hívott ~~~ és kik a városodat lakják s körülötte lakoznak.	-0.156383
Đúng lúc đó Chúa tể thu thập mây trời xua gió từ hướng bắc ào ào đổ tới; màn tối từ trên trời buông thấp bao chùm mặt đất và biển cả.	Mert olyan ember nincs, akinek neve semmi ne volna, ~~~ sem hitvány, se nemes, miután már megszületett, mert	-0.0915789
Vì gió thuyền chòng chành, hết ngoi lên lại ngụp xuống, gió thổi mạnh xé cánh buồm tả tơi.	néki, ha megszülték, a szülők nevet adnak azonnal. ~~~ Mondd meg a városod is, hol van, hol a földed, a néped,	-0.00306122
Vì sợ chết ngô bối hạ buồm xuống boong, cố hết sức khua chèo đưa thuyền trơ trụi vào bờ.	hadd tudják az eszes bárkák, hova hordjanak innen: ~~~ tudd meg: a phaiák bárkáknak kormányosa nincsen,	-0.00947368
Ngô bối dừng lại đất liền hai ngày, hai đêm, thân thể rã rời, lòng dạ lo lắng khôn xiết.	kormányrúdjuk sincs, amilyen van a többi hajókon, ~~~ mert maguk is tudják, hova vágyik jutni az ember,	-0.00967742
Sáng ngày thứ ba Rạng Đông mái tóc diễm lệ vừa xuất hiện, ngô bối dựng cột buồm, căng buồm trắng, ngồi vào chỗ trên boong.	és minden nép városait, gazdag legelőit ~~~ ismerik, és sebesen vágtatnak a sós vizek árján ~~~ át, felhőbe, ködökbe takartan: bennük ugyan nincs	-0.14375
Gió và đà thủ giữ thuyền chạy thẳng.	félelem attól, hogy végük lesz, vészbe kerülnek.	0.265909
Tiện nhân có thể trở về xứ sở bình yên vô sự nếu lúc bọc mũi Maleia, mặt biển, sóng biển, gió bắc không hùa nhau đẩy mạnh, dồn thổi lạc hướng đưa qua Kythera."	Csakhogy apámtól, Nauszithoosztól egykoron én úgy ~~~ hallottam, hogy már haragos népünkre Poszeidón,	-0.12398
"Chín ngày ròng rã luồng gió ác hại xua đuổi tiện nhân lao vun vút trên biển đầy cá.	mert mindenkit olyan biztonságban hazahordunk. ~~~ Mondta, hogy egykor a phaiákok szépmívü hajóját,	-0.00494505
Ngày thứ mười ngô bối tới đất người sống bằng hoa, gọi là dân ăn hạt sen. Ngô bối lên bờ kiếm nước.	míg a kiséretről hazatart az a ködszinü áron, ~~~ széttöri, és elzárja hatalmas heggyel a várost.	-0.0387097
Tay chèo vội vàng dùng bữa ngay bên thuyền.	Így jósolt az öreg: s ezt vagy véghezviszi isten,	0.3
Ăn uống xong tiện nhân chỉ định mấy đồng đội vào sâu bên trong xem dân sở tại thế nào, hai người thực hiên nhiệm vụ với người thứ ba làm lệnh sứ.	vagy végzetlen hagyja, ahogy kívánja a lelke. ~~~ Most pedig áruld el nekem azt és szólj egyenes szót: ~~~ merre bolyongtál már, míly népek földjeit érted	-0.171134
Mới lên đường chẳng bao lâu họ gặp người ăn hạt sen. Lúc chạm mặt không tỏ ý định thủ tiêu đồng đội tiện nhân, thay vì thế họ cho mỗi người chút hạt sen nếm thử.	útadon el, míly népes városokat lakozókat; ~~~ mind vadak és durvák, törvénnyel mitse törődők	-0.154891
Ăn hạt bùi bùi, ngọt ngọt người đi sẽ không muốn trở về kể tin tức.	voltak, vagy vendégszeretők és istenimádók? ~~~ S áruld el, mért sírsz a szivedben erős zokogással,	-0.0303797
Họ chỉ muốn ở lại với thổ dân, ngắt hái hoa sen, quên hẳn đường về.	argosziaknak meg Trójának hallva a sorsát. ~~~ Ezt biz az istenek intézték így, szőve a vészt a	-0.013125
Tiện nhân phải dùng vũ lực ép quay về thuyền rỗng không, suốt đường họ khóc rưng rức, lên boong tiện nhân trói chặt bỏ nằm dưới ghế.	földilakóknak, hogy legyen ének a messze jövőben. ~~~ Tán szeretett rokonod pusztult el Trója tövében, ~~~ vőd vagy apósod?	-0.15567
Sau đó tiện nhân ra lệnh số còn lại mau mau lên thuyền sửa soạn ra đi, vì sợ có đứa lại ăn hạt sen không nghĩ tới trở về.	Mert ezeket tartjuk szeretetben ~~~ kishíján úgy, mint fajtánkbeli vérrokonunkat. ~~~ Vagy tán egy szeretett társad, ki a szívedet érti;	-0.14
Họ lên boong tức thì, ngồi vào chỗ cầm chèo, cùng lúc khua mái chém sóng bạc đầu."	mert számunkra az édes testvérnél se silányabb, ~~~ az, ki derék társunk, s okosan tud bánni mivélünk."	-0.0116667
"Ngô bối rời đất đó, dong buồm ra đi, lòng buồn hiu hắt.	KILENCEDIK ÉNEK – ~~~ ODÜSSZEUSZ ELBESZÉLI KALANDJAIT ALKINOOSZNAK	-0.00238095
Ngô bối tới đất người Cyclop to lớn, hung dữ, bất trị, không bao giờ khua tay trồng trọt, cày cấy mà cứ để mọi việc thần linh bất tử lo toan.	KÜKLÓPEIA ~~~ Válaszul erre eképen szólt leleményes Odüsszeusz: ~~~ "Alkinoosz, nagyuram, népednek legjelesebbje, ~~~ lám, igazán szép is hallgatni az íly dalos embert,	-0.198158
Không gieo, không trồng họ nghiễm nhiên thụ hưởng mùa màng; lúa mì, lúa mạch, giàn nho trái trổ xum xuê phát triển cùng nước mưa từ trên trời đổ xuống để sản xuất rượu vang.	mint ez, hangjával ki hasonlatos isteneinkhez. ~~~ Mert bizony azt mondom, hogy nincs is kellemesebb, mint ~~~ hogyha egész népet tölt el széltében a jókedv,	-0.203158
Dân Cyclop không có hội đồng làm luật, và cũng không san định luật pháp.	s végig a házban a vendégek dalnokra figyelnek, ~~~ míg ülnek sorban, mellettük dúsan az asztal	-0.0151899
Thay vì thế họ sống trong động sâu hoắm trên núi cao, trong đó mỗi người là một luật gia đặt luật lệ cho vợ con noi theo, không ai màng tới hàng xóm láng giềng."	rakva kenyérrel meg hússal, s meregetve a színbort, ~~~ körben hordja a töltögető, s poharukba betölti:	-0.11875
"Không xa và cũng không gần bến đậu đất này có hòn đảo màu mỡ.	elmémben bizony én ezt látom a leggyönyörűbbnek. ~~~ Lelked azonban az én keserű bajaimra figyelt föl,	-0.05
Bên trong đầy bụi rậm, cây cối trổ mọc um tùm, cơ man nào là dê, toàn dê rừng, sinh sôi nảy nở không ngừng.	s kérdesz, hogy csak mégjobban nyöszörögve zokogjak. ~~~ Mit mondjak legelőször néked, mit legutolszor,	-0.027551
Vì con người chưa đặt chân đến, thợ săn cũng chưa bước tới băng rừng, leo núi xua đuổi chúng.	mert hisz olyan sok kínt-bajt mértek az égilakók rám. ~~~ Hát legelőbb nevemet mondom meg, hogy ti is aztán	-0.0123711
Không quen với gia súc, cày bừa, hòn đảo nằm im triền miên.	tudjátok, s hogy majd, ha halálom napja le nem sujt, ~~~ fűzzön is egybe barátság, bármíly messze a házam.	-0.042
Không gieo hạt, không trồng cây, bởi thế quanh năm đất này chỉ có dê be be, không có dấu vết, bóng dáng con người.	Én Odüszeusz, Láertész sarja vagyok, ki ezernyi ~~~ cselről elhírhedtem, a hírem fölhat az égig. ~~~ Messzirelátszó szép Ithakát lakom: ott van a lombos	-0.129787
Dân Cyclop không có thuyền mũi đỏ; họ cũng không có thợ đóng thuyền cân bằng làm phương tiện đi xa, hết bến này đến cảng nọ, như thương nhân vượt biển trao đổi hàng hóa, buôn bán với nhau.	Néríton kimagasló orma; körötte igen sok ~~~ más népes sziget, egymásnak szorosan közelében: ~~~ Dúlikhion, Számé, meg az erdőshátu Zakünthosz. ~~~ Míg Ithaké laposan, legföntebb fekszik a vízben, ~~~ néz a homályba, azok meg a napba s a hajnali tájba; ~~~ sziklás, mégis erős fiakat nevel: én sose tudnék	-0.257732
Nếu có người như vậy đảo sẽ trù phú vô cùng.	mást, ami inkább édes a szívnek, látni hazámnál.	0.27551
	Mert hisz tartott vissza Kalüpszó, isteni asszony,	-0.3
	barlang öblös ölén, mivel áhított az urául;	-0.3
Đất này không nghèo, trái lại có thể trồng trọt, cày cấy theo mùa.	és ugyanúgy Kirké is vissza a termei mélyén, ~~~ Aiaié cseles asszonya, áhítván az urául;	-0.0222973
Dọc bờ biển nước xám xanh nhan nhản đồng cỏ xanh rì, nho trổ tràn trề, cày cuốc dễ dàng, họ có thể gặt lúa mỗi vụ, vì đất cái vô cùng phì nhiêu.	csakhogy az én szivemet kebelemben meg nem igézték. ~~~ Ennyire nincs, ami inkább édes, mint a hazája	-0.117033
Hòn đảo còn có bến đậu an toàn, thuyền vào không cần cột dây, thả neo hoặc kéo cáp; tay chèo chỉ việc đưa thuyền lên bãi cát chờ lúc thuận tiện và gió thổi đúng hướng.	és a szülői az embernek, még hogyha akármíly ~~~ dús házat lakik is, más földön, messze azoktól.	-0.154891
Sau hết đầu bến đậu lại có suối nước mát rượi từ hang đá đổ ra chảy vào rừng bạch dương lá rung rinh.	Rajta, viszontagságos utam hadd mondom el immár, ~~~ mit Zeusz mért rám, hogy Trójából útnakeredtem. ~~~ Ílion aljáról a kikón nép Iszmaroszához ~~~ vitt el a szél.	-0.169149
Ngô bối đổ bộ ở đó.	Azt földúltam, leölettem a népét;	0.211111
Chắc hẳn có thần linh đưa lối dẫn đường ngô bối di chuyển dưới màn đêm âm u vì chẳng nhìn thấy gì trước mặt.	onnan az asszonyokat, sok kincset kézrekerítve ~~~ osztoztunk, hogy senki jogán csúf csorba ne essék.	-0.0554348
Thuyền chìm trong sương mù dày đặc, trên cao vì mây che mặt trăng lơ lửng lờ mờ không tỏa sáng.	Majd az enyéimet intettem, hogy fürge inakkal ~~~ fussunk, csakhogy a balgatagok nem ügyeltek a szóra.	-0.0197802
Không người nào nhìn thấy đảo, và cũng không nom thấy đợt sóng cao ngất đổ vào bờ đá trước khi thuyền lao lên bãi cát.	Sok bor folyt le a torkukon és sok-sok juhot öltek, ~~~ sok csámpás lábú s járású ökröt, a parton.	-0.0675824
Thuyền lên hẳn hoi ngô bối mới hạ buồm.	S átkiabáltak a megmenekült kikonok kikonoknak	0.293333
Sau đó ngô bối nhảy lên bờ nằm ngủ chờ ánh sáng ban mai."	közben, akik szomszédosak és többek s derekabbak:	0.20625
