Quo Vadis	QUO VADIS?	0.266667
Ngày mai, chiều tối, ta sẽ phái người tới đón em, hiểu chưa!… Hoàng thượng đã hứa sẽ ban em cho ta, ngay từ trước khi bắt em về kia… Em phải là của ta!	Még csak kevés ideig tartott és aztán a császár is teljesen berugott és mindnyájan lerésze­gedtek.	0.0821053
Chìa môi ra nào! ~~~ Ta không muốn chờ đến mai nữa!	Vinicius nem kevésbbé volt ittas, mint a többiek.	-0.0228261
Chìa môi ra, mau! ~~~ Và chàng ôm ghì lấy nàng, song Akte bắt đầu chống cự để bảo vệ nàng, cả nàng nữa, còn chút hơi sức nào cũng đem ra tự vệ, vì nàng cảm thấy rằng mình chết đến nơi rồi.	Mély sáppadtság borítá megbarnult arcát, mikor bizonytalan vonásait a legnagyobb erőlködéssel igyekezvén rendbe szedni, hangos, parancsoló hangon mondá Ligiának:	-0.0275316
Song hai cánh tay nàng bất lực không sao bứt nổi cánh tay nhẵn thín của chàng ra khỏi người mình, giọng nàng run rẩy nỗi sợ hãi và niềm oán hận vô vọng van xin chàng đừng làm thế, hãy thương lấy nàng.	- Mostantól fogva enyém vagy! ~~~ A császár azért követelt ki Aulustól, hogy nekem ajándé­kozzon, értesz-e engem?	-0.147222
Hơi thở sặc sụa mùi rượu phả lên người nàng mỗi lúc một gần, mặt chàng đã kề sát mặt nàng.	Meg akarta Ligiát fogni, de Acte védte őt s a leány maga is erejének utolsó maradványával védekezett.	0.262105
Đó không còn là chàng Venexius trước đây, tốt bụng và gần như thân thiết với tâm hồn nàng, mà là một đương thần Xatyr hung dữ đang say, khiến nàng hãi hùng và kinh tởm.	De hasztalan igyekezett őt mindkét kezével távol tartani magától, hasztalanul esedezett neki szívfájdalomtól és félelemtől reszkető hangon, hogy ne bántsa őt, legyen irgal­mas iránta.	0.293258
Song sức nàng mỗi lúc một cạn.	Mit használt Ligiának, hogy ellent mondott és elfordult, hogy kezéből kiszabaduljon?	-0.0857143
Vô vọng, nàng ngả người ra, quay mặt đi tránh những cái hôn của chàng.	Fölemelkedett és mindkét karjával átölelte őt.	0.128571
Chàng nhỏm cả người lên, ôm ghì nàng bằng cả hai tay, kéo đầu nàng vào ngực và bắt đầu vừa hổn hển thở vừa dùng đôi môi tái nhợt giày xéo đôi môi nàng.	De ugyanabban a pillanatban karjait oly könnyűséggel lefejté valaki a leány nyakáról, mintha egy gyermek karjai volnának, őt pedig úgy félre tolta, amint egy kis száraz gallyat, vagy hervadt levélkét félre tesznek.	0.250877
Chính vào giây phút ấy, bỗng một sức mạnh kinh hoàng đột ngột tháo tung vòng tay chàng ra khỏi cổ nàng dễ dàng như đó chỉ là vòng tay một đứa trẻ con, và đẩy bật chàng ra một bên như một chiếc cành khô hay lá mục vậy.		-0.3
Chuyện gì thế?	Mi történt?	0.184615
Venexius vuốt đôi mắt bàng hoàng và chợt trông thấy trước mặt mình thân hình khổng lồ của người đàn ông Ligi tên là Urxux mà chàng đã quen mặt hồi còn ở nhà ông bà Aulux.	Vinicius megdörzsölte álmélkodó szemét, fölnézett és a ligiai Ursusnak óriás alakját látta állani maga előtt, aki Aulus házából ismerős volt előtte.	0.227517
Người đàn ông Ligi đứng bình thản, chỉ chằm chằm nhìn Venexius bằng cặp mắt xanh biếc với một vẻ lạ lùng đến nỗi máu dường như dừng lại trong huyết quản chàng, rồi bế nàng công chúa của mình lên, bác ta bước đi khoan thai và khẽ khàng ra khỏi phòng tiệc.	A ligiai ugyan nyugodtan állt ott, de kék szemével olyan különösen nézett Viniciusra, hogy a vér elhült a fiatal rómainak ereiben, aztán karjára vette a királyi gyermeket és egyenletes, nyugodt léptekkel elhagyá a trikliniumot. ~~~ Acte haladéktalanul követte őt.	-0.0233607
Trong một thoáng, Venexius ngồi sững như hoá đá, rồi chàng bật dậy lao về phía lối ra:	Vinicius egy másodpercig mintegy megkövülve ült ott, aztán fölugrott, a kijárat felé szaladt és szakadatlanul kiáltozta:	0.225806
- Ligia! ~~~ Ligia!…	- Ligia, Ligia!	0.8875
Song dục vọng, nỗi kinh hoàng, sự cuồng nộ cùng rượu nho đã dần ngáng chân chàng.	De a csalódás, a megdöbbenés, a düh és a bor végre érvényesíté hatását.	0.230137
Chàng ngã lăn xuống, một lần, hai lần, rồi túm lấy cánh tay trần của một cô đồng tế rượu, chàng vừa chớp chớp mắt vừa hỏi:	Ide s tova tántorogva, megbotolva, megkapta egy rabszolga karját és pislogó szemmel kérdé:	0.0988235
- Có chuyện gì thế?	- Mi történt?	0.878571
Ả ta cầm một cốc rượu nho đưa cho chàng với nụ cười trong đôi mắt mơ màng:	Az pedig merev, kifejezéstelen mosolylyal egy teli serleget nyujtott neki.	0.219403
- Uống đi, - ả nói.	- Igyál! ~~~ - mondá.	0.484211
Venexius uống cạn và đổ gục xuống chân.	Vinicius ivott és a földre rogyott.	0.181818
Phần lớn khách khứa đã nằm lăn dưới gầm bàn, những người khác lảo đảo đi lại xiêu vẹo trong phòng tiệc, bọn khác nữa lại ngủ trên các ghế dài đặt dọc bàn ăn, ngáy rền hoặc ựa ra phần rượu nho quá chén trong giấc mơ, còn những đoá hoa hồng vẫn rơi và rơi đều từ cái lưới căng trên trần nhà xuống những vị chấp chính quan và nguyên lão say mèm, xuống các vị hiệp sĩ, thi sĩ, triết gia say mèm, xuống các vũ nữ và quý tộc say mèm, xuống cả cái thế giới này, tuy hãy còn toàn quyền ngự trị nhưng đã quá vô lương, quá mãn nguyện, quá phân rã và đang lụi tàn đi.	A vendégek legnagyobb része már az asztalok alatt hevert; néhányan tántorgó léptekkel átmentek a trikliniumon, mások vánkosokon az asztaloknál fekve aludtak és hortyogtak. ~~~ És mindezekre a részeg konzulokra és senátorokra, ittas lovagokra, költőkre és bölcselőkre, az ittas táncosnőkre és patricius nőkre, e koszorúkkal ékesített, tobzódó és mégis már elerőtlene­dett tömegre, erre az egész hatalmas és mégis már a pusztulásnak szánt világra a mennyezet arany hálójából rózsa hullott le rózsára.	-0.040625
Ngoài sân, trời bắt đầu rạng sáng.	Künn pedig már derengeni kezdett a nap.	0.258333
T1 - Chương 8	NYOLCADIK FEJEZET.	0.184615
Không có ai giữ Urxux lại, thậm chí cũng chẳng ai hỏi xem bác làm gi.	Ursust senki se tartóztatta föl, egy ember se kérdezte, mit csinál.	0.256452
Trong đám thực khách, kẻ nào còn chưa nằm lăn lóc dưới gầm bàn cũng không còn ở nguyên chỗ của mình nữa, nên lũ gia nhân khi trông thấy một người khổng lồ bế trên tay một nàng thực khách thì cho rằng chắc đó là một gã nô lệ mang cô chủ đang say mèm trên người của mình đi mà thôi.	A vendégek, akik még nem hevertek az asztal alatt, már jó régen elhagyták helyöket s így, mikor a cselédség az óriást karján az ünnepségen résztvevő egyik nővel megpillantotta, rabszolgának tartotta őt, aki eszmélettel többé nem biró úrnőjét elvitte.	0.221577
Thêm nữa, Akte đi ngay sau khi họ và sự có mặt của nàng xua tan mọi nỗi nghi ngờ.	Hogy Acte követte őket, teljesen kizárt minden gyanakvást.	0.15
Nhờ thế, họ đi được từ phòng tiệc lớn đến căn phòng kế bên, rồi từ đó qua dẫy hành lang dẫn về nơi ở của Akte.	Igy akadálytalanul kijutottak a trikliniumból a mellette levő helyiségekbe s innét az oszlopos folyosóra, mely Acte lakásához vezetett.	0.295276
Ligia kiệt sức đến nỗi nàng nặng trĩu như một người đã chết trên đôi tay bác Urxux.	Ligiát oly bágyadtság fogta el, hogy holtként feküdt Ursus karjaiban.	0.172727
Song khi được làn không không khí ban mai trong lành và lạnh giá dội vào người, nàng liền mở mắt ra.	Csak mikor a friss, tiszta reggeli levegő körüllengte őt, nyitá ki szemét.	0.145714
Trời mỗi lúc một sáng.	Lassankint világosabb és világosabb lett.	0.144444
Lát sau, theo đường hàng cột họ quanh vào một hàng hiên nhánh không thông với sân trong mà thông với khu vườn của hoàng cung, nơi những ngọn thông và trắc bá đang rực hồng trong ánh bình mình.	Miután az oszlopos folyosón áthaladtak, egy oldalvást eső portikusba fordultak, mely nem az udvarba, hanem a palota kertjeire nyílt, melyekben a piniák és cipruszok csúcsai már a regghajnal első sugaraiban fürödtek.	0.29397
Phần này của tòa nhà vắng ngắt, hồi âm của tiếng nhạc cùng tiếng ồn ào huyên náo của đám thực khách vọng tới đây mỗi lúc một mơ hồ hơn.	A császári palotának ebben a részében egy lélek se volt, a zene hangjai, az ünnepi tivornya lármája csak kivehetetlenül hallatszottak idáig és Ligia olyasmit érezett, mintha a pokolból Isten szép világába vitték volna.	0.205769
Ligia cảm thấy như được giải thoát ra khỏi địa ngục và được mang lên thế giới sáng sủa của các vị thần linh.	Tehát mégis volt más valami, mint az a borzasztó triklinium, volt menny, hajnalpír, volt fény és béke.	0.205263
Bởi ít ra cũng còn có một cái gì khác ngoài cái phòng tiệc kinh tởm đó.	A fiatal leány hirtelen sirva fakadt és a ligiainak karjaiba simulva, zokogva kiáltá:	0.292105
Có bầu trời, có bình minh, ánh sáng và sự tĩnh mịch.	- Vigy haza, Ursus, haza Aulushoz és Pomponiához.	0.22
Cô gái bỗng òa lên khóc và dụi đầu vào vai bác khổng lồ nàng nức nở lặp đi lặp lại:		-0.3
Về nhà đi bác Urxux, về nhà đi, về với ông bà Aulux đi!		-0.3
Ta sẽ về, thưa cô!	- Akkor hát menjünk!	0.285
- Bác Urxux đáp.	- felelé Ursus.	1.01
Lúc đó họ đang ở trong gian chính sảnh của thông thiên nhỏ bé thuộc khu phòng ở của Akte.		-0.3
Bác Urxux đặt Ligia lên một chiếc ghế dài bằng cẩm thạch cách không xa đài phun nước.	Eközben az Acte lakásához tartozó kis atriumba értek.	0.0576923
Còn Akte an ủi nàng, khuyên nàng đi nghỉ và cam đoan rằng tạm thời chưa có gì đe dọa nàng cả, bởi vì đám thực khách say sưa say bữa tiệc còn phải ngủ đến tận chiều.	Itt Ursus az izgatott leányt a szökőkút közelében egy márványpadra ereszté, és Acte azon igyekezett, hogy megnyugtassa és meg­győzze őt, hogy itt semmi veszély se fenyegeti, mivel az ittas vendégek bizonyosan estig alszanak.	0.249721
Song suốt một hồi lâu, Ligia không sao tự trấn tĩnh nổi và hai tay ôm chặt thái dương, nàng nhắc đi nhắc lại như một đứa trẻ:	De Ligia nem akart semmit se hallani. ~~~ Mindkét kezét halántékához szorította és mint egy gyermek, újfent azt ismételte mindig:	-0.0226891
Về nhà đi, về với ông bà Aulux đi!...	- Vigy haza, Ursus; vigy haza.	0.126923
Bác Urxux đã sẵn sàng.	Ursus erre ismét késznek nyilatkozott.	0.156
Ở cổng có bọn lính cấm vệ canh gác, nhưng bác vẫn qua được như thường.	Majd csak kijut vele mondá, habár a kapuknál praetoriánusok állanak.	0.226154
Bọn lính không giữ người đi ra.	Az őrség nem tartóztatja föl a távozókat.	0.25
Trước vòm cổng có vô số kiệu đang chen chúc nhau.	A kapuk előtt számtalan gyaloghintó van, mert a vendégek csapatostól indultak haza felé.	0.138889
Người ta đã bắt đầu đi ra cùng với đám đông và đi thẳng về nhà.	Azért senki se fog velök törődni.	-0.0727273
Mà nói cho cùng bác có chấp gì cơ chứ?	Ha az emberek közé elegyedtek, egyenest haza térhetnek.	0.219512
Nếu công chúa đã ra lệnh thì nhất định phải thực hiện rồi.	És azonkívül mit kell neki valakit kérdezni?	0.118605
Bác ở đây chính là để thực hiện mọi mệnh lệnh của nàng mà.	Amit neki királyi gyermeke parancsol, azt kell tennie. ~~~ Hiszen azért van itt.	0
Còn Ligia cứ lặp đi lặp lại:	És Ligia ismétlé:	0.828947
Phải, bác Urxux, ta đi ra đi!	- Igen, Ursus, vigy haza; menjünk.	0.27931
Song Akte phải tỉnh táo thay cho cả hai người. ~~~ Họ sẽ ra thoát.	Acte kifejté minden ékesszólását, hogy kettőjüket szándékukról lebeszélje.	-0.0268657
Đúng! ~~~ Sẽ không kẻ nào giữ họ lại.	Arról meg van győződve, jegyzé meg, hogy a palotából akadálytalanul kijutnának, mert senki se tartja vissza őket.	-0.223256
Song không một ai được phép trốn khỏi cung Hoàng đế, kẻ nào làm điều đó là mắc trọng tội phạm thượng.	De nincs megengedve, hogy valaki a Császár palotájából kiszökjék és aki ezt teszi, a fölséget sérti meg.	0.246
Họ sẽ ra thoát nhưng đến chiều, một viên xenturion dẫn đầu một toán lính sẽ mang bản án tử hình tới cho ông Aulux và bà Pomponia Grexyna, còn Ligia thì sẽ lại bắt mang về hoàng cung, và khi ấy sẽ không còn cách nào cứu được nàng nữa cả.	Hiszen elmehetnek, de már este egy centurio fog megjelenni egy zsoldos csapat élén Aulus házában, hogy neki és feleségének megvigye a halálos itéletet. ~~~ Magát Ligiát okvetetlenül visszahurcolják a császári palotába és akkor menthetetlenül veszve van.	-0.0101266
Nếu như ông bà Aulux cưu mang họ trong nhà mình thì chắc chắn cái chết đang chờ họ đó.	Aulus és Pomponia halála meg van pecsételve, ha födelük alatt oltalmat nyujtanak neki.	0.25125
Tay Ligia chợt buông xuôi.	Ligia csüggedten ereszté le kezét.	0.722222
Không còn cách nào cả.	Ah, hiszen nem volt menekvés!	0.276
Nàng phải lựa chọn giữa cái chết của ông bà Aulux và cái chết của mình.	Csak Aulus és Pomponia pusztulása és a saját romlása közt választhatott.	0.257143
Khi đến dự tiệc nàng còn hy vọng là Vinixius cùng ông Petronius sẽ cầu xin Hoàng đế giải thoát cho nàng, trả nàng về với bà Pomponia, nhưng giờ đây nàng đã biết được rằng chính họ đã xui khiến Hoàng đế cướp nàng từ tay ông bà Aulux. ~~~ Không còn cách nào hết!		-0.3
Hoạ chăng chỉ là có phép thần mới có thể lôi nàng thoát khỏi cái vực thẳm này.	Csak csoda mentheti meg őt a fenyegető veszélytől.	0.05
Phép thần và uy quyền của Thượng đế.	Csoda és Isten hatalma.	0
- Chị Akte, - nàng thốt lên tuyệt vọng, - chị có nghe Vinixius nói Hoàng đế đã ban cho y, rằng chiều nay y sẽ phái nô lệ đến bắt em mang về nhà y chứ?	- Acte - kérdé kétségbeesve - nem hallottad-e, amint Vinicius azt mondá, hogy a császár neki ajándékozott engem és még este előtt elküldi rabszolgáit és házába vitet?	0.615622
- Chị có nghe! ~~~ - Akte đáp. ~~~ Và buông xuôi hai tay, nàng nín lặng.	- Hallottam szavait - viszonzá Acte, mire kezével csillapító mozdulatot téve, hallgatásba merült.	-0.132143
Sự tuyệt vọng của Ligia không hề gây nên một tiếng vang đồng vọng nào trong lòng nàng.	Ligia kétségbeesését ő nem értette meg, hiszen ő maga is Nero kedvese volt.	0.412877
Chính nàng cũng đã từng là tình nhân cũa Nerô kia mà.	Azért egyéb nemes gerjedelmei dacára nem volt képes ily viszony gyalázatát érezni.	0.176786
Trái tim nàng, dẫu tốt lành, vẫn không cảm thấy được sự kinh tởm của một mối quan hệ như thế.	Mint korábbi női rabszolga, hozzá volt szokva a rabsághoz és azonkívül szerette Nerót.	0.213253
Trước kia, vốn là nô tỳ nên nàng quá gắn bó với luật lệ của kiếp đời nô lệ, thêm vào đó, cho tới nay, nàng vẫn còn yêu Nerô.	Ha ő most ismét vissza­térne hozzá, feléje nyujtaná kezét, mint a boldogság felé.	0.07875
Giá như Hoàng đế muốn quay trở lại với nàng, nàng sẵn sàng vươn tay ra đón.	Világos volt előtte, hogy Ligiának a fiatal és szép Vinicius kedvesévé kell lennie, ha az előtte oly drágákat, ha magát nem akarja romlásba dönteni.	0.0975904
Người như đón chào niềm hạnh phúc.	Mit használ tehát minden vonakodás?	0.248571
Giờ đây, nàng hiểu rất rõ hoặc rằng Ligia phải chịu trở thành người tình của chàng Vinixius trẻ trung và xinh đẹp, hoặc sẽ mang lại cái chết cho bản thân lẫn gia đình Aulux, nên nàng không hiểu nổi vì sao cô gái còn có thể do dự.		-0.3
Ở hoàng cung - nàng nói sau giây lâu - em sẽ không được an toàn như ở nhà Vinixius đâu.	- A császár palotájában - folytatá újfent rövid szünet mulva - épp úgy veszélyeztetve volnál, mint Viniciusnál.	0.565918
Nàng không hề nghĩ rằng, mặc dù nàng nói ra một sự thật song lời của nàng lại có nghĩa là: "Hãy phục tùng số mệnh và chịu làm tỳ thiếp của Vinixius đi thôi!".	De Ligia kezébe rejté arcát, melyet sötét szégyenpír borított és hevesen kiáltá: ~~~ - Nem maradok sem itt, se Vinicius házába nem megyek.	-0.0511628
Còn Ligia, hãy còn cảm thấy trên môi mình những chiếc hôn đầy dục vọng, thú vật và cháy bỏng như than hồng của chàng, thì chỉ nguyên việc nhớ lại những chuyện đó thôi cũng đã khiến cho máu nàng dồn lên mặt vì xấu hổ.		-0.3
Không đời nào!	Nem! ~~~ Soha!	-0.075
- Nàng bật kêu lên - Em sẽ không ở lại đây, cũng sẽ không về nhà Vinixius, không đời nào!	- Hát Viniciust annyira gyűlölöd?	0.252941
Sự bùng nổ ấy khiến Akte ngạc nhiên.		-0.3
Vậy ra - nàng hỏi - em thù ghét Vinixius đến thế kia ư?	- kérdé Acte, e szenvedélyes kitörésen elbámulva.	0.639
Song Ligia không thể trả lời vì nàng lại khóc òa lên.	De mikor Ligia minden válasz helyett ismét sirásra fakadt, Acte keblére vonta és vigasztalni igyekezett őt.	0.309717
Akte kéo nàng vào ngực mình và bắt đầu an ủi.	Ursus pedig nehezen lélegzett és ökölbe szorítá hatalmas kezét, mert ő, aki egy kutya hűségével szerette királyi gyermekét, alig birta elviselni annak könnyeit.	-0.318
Bác Urxux thở nặng nhọc xiết chặt hai nắm đấm, bác kính yêu công chúa của bác với lòng trung thành của một con chó nên bác không sao chịu đựng nổi những giọt lệ của nàng.	Ha ez a még félvad ligiai szive első gerjedelmére hallgatott volna, visszarohan az ünnepi terembe, hogy Viniciust, sőt szükség esetén magát a császárt is megfojtsa.	0.233333
Trong trái tim Ligia nữa hoang dã của bác chợt trào lên ý muốn quay trở lại phòng tiệc bóp chết ngay Vinixius và nếu cần cả Hoàng đế nữa, song bác sợ nói ra điều đó với cô chủ của mình, trong khi bác không biết chắc liệu cái hành động mà bác cho là vô cùng đơn giản ấy có xứng đáng với một tín đồ của Con Chiên Bị Đóng Đinh Câu Rút hay chăng.	De attól tartott, hogy ez által csak veszélyeztetné úrnőjét és nem is tudta igazán, vajjon az ilyen, bár reá nézve oly nagyon egyszerű tettet, a keresztre feszített Bárányka követőjének szabad-e magára vállalnia.	0.0561576
Còn Akte vẫn ôm ấp Ligia và lại hỏi:	Azonban Acte, ki még mindig Ligia megnyugtatásán fáradozott, ismét kérdé:	0.36
- Em thù ghét chàng lắm sao?	- Hát annyira gyűlölöd őt?	0.8
- Không - Ligia đáp - em không được phép căm thù chàng bởi vì em là một tín đồ Thiên chúa giáo.	- Nem - viszonzá Ligia - nem szabad őt gyűlölnöm, mert keresztény vagyok.	1.02038
- Chị biết chứ, Ligia.	- Azt tudom, Ligia.	1.35882
Và đọc thư của Đức Paven xứ Tarxu chị còn biết rằng các tín đồ Thiên chúa giáo không được phép tự làm nhục, không được sợ chết hơn sợ tội ác, nhưng thế thì em hãy nói cho chị biết giáo thuyết của các em có cho phép mang lại cái chết cho người khác hay không?	Tarsosi Pál leveleiből azt is tudom, hogy a halált többre kell becsülni a bűnnél. ~~~ De mondd meg, vajjon tanításod megengedi-e, hogy másokat megölj?	-0.157609
- Không ạ.	- Nem!	1
- Vậy tại sao em có thể cam tâm kéo sự trả thù của Hoàng đế đến với gia đình ông bà Aulux?	- Akkor mint szabad a császár bosszúját Aulus házára fölidézned?	0.413352
Một giây im lặng.	Mély csönd következett.	0.225
Một cái vực thẳm không đáy lại mở ngoác ra trước Ligia.		-0.3
Song người nô tỳ được giải phóng nói tiếp:	Feneketlen mélység látszott megnyílni Ligia előtt.	0.3
- Chị hỏi thế bởi chị tiếc cho em, cho bà Pomponia tốt bụng, cho ông Aulux và thằng bé con họ.	- Kérdelek - ragadá meg a szót aztán újra a fiatal szabados - mivel sajnállak, mivel részvéttel viseltetem a jó Pomponia, Aulus és az ő fiuk iránt.	0.320231
Chị đã từng sống lâu trong nhà này rồi, chị biết cơn giận của Hoàng thượng sẽ đeo dọa điều gì?	Már rég idő óta élek itt a palotában és nagyon jól tudom, mit jelent a császár haragja.	0.197561
Không! ~~~ Các người không thể trốn khỏi nơi đây.	Nem, neked nem áll szabadságodban, hogy innét menekülj.	-0.00566038
Em chỉ cần có duy nhất một con đường: Hãy cầu xin Vinixius để chàng đưa em về với bà Pomponia.	Csak egy út marad nyitva számodra: esedezzél Viniciusnak, hogy vigyen vissza Pomponiához.	0.231325
Song Ligia đã quỳ sụp xuống để cầu xin một người nào khác.	De Ligia térdre hullott, hogy más valakihez esedezzék.	0.539216
Một giây sau, bác Urxux cũng quỳ xuống và trong cung điện của Hoàng đế trong ánh bình minh, cả hai người cùng cầu nguyện.	Ursus azonnal mellé térdelt és így imádkoztak együtt Nero palotájában, a kelő nap első sugaránál.	0.196875
Lần đầu tiên Akte được nhìn thấy cảnh cầu nguyện như thế, nàng không sao rời mắt nổi khỏi Ligia đang quay nghiêng mặt lại với nàng, đầu ngẩng lên, hai tay vươn cao, mắt ngước lên trời, dường như chờ đợi sự cứu rỗi từ nơi ấy đến.	Előbb még soha se hallott Acte ilyen imádságot és nem tudta szemét levenni Ligiáról, aki, arcéllel felé fordulva, fölemelt kézzel, ég felé irányzott tekintettel térden állt és onnan látszott várni menekülést.	0.210448
Bình minh rọi ánh sáng lên mái tóc đen cùng chiếc áo peplum trắng tinh của nàng, lóng lánh trong con người nàng và ngập trong ánh sáng, chính nàng cũng hệt như ánh sáng.	A reggeli fény hajára, fehér peplosára esett, visszatükröződött szeme bogará­ban és így, fénytől körülözönölve, maga is fényalaknak látszott.	0.244521
Trên khuôn mặt nhợt nhạt của nàng, trong dáng môi hé mở, trong đôi cánh tay vươn cao và trong mắt nàng có thể thấy một sự đắm say thiên giới.	E halvány arcból, e nyitott ajkakból, e fölemelt kezekből, ebből az égre irányzott pillantásból földöntúli lelkesedés szólt.	0.232258
Giờ đây Akte đã hiểu được vì sao Ligia không thể trở thành tỳ thiếp của bất kỳ kẻ nào.	A legnagyobb bámulattal tölté el őt ez az imádság itt, a gonosztett és gyalázat házában.	0.247059
Trước mắt người tình xưa của Nerô dường như vừa hé mở một góc màn phủ che một phần thế giới khác hẳn với cái thế giới mà nàng hằng quen thuộc.	Még egy pillanattal ezelőtt erősen meg volt róla győződve, hogy nem lehet menekvés és most az a hit támadt benne, hogy valami rendkívüli fog történni, a leány oly hatalmas segítségre talál majd, hogy az ellen maga a császár se bír küzdeni.	0.195732
Cuộc cầu nguyện tại chính ngôi nhà đầy tội ác và kinh tởm này khiến nàng kinh ngạc.	Az égből bizonynyal angyalsereg száll le Ligia védelmére, vagy a nap kilöveli sugarait és magához fölhúzza őt.	0.258065
Chỉ vừa nãy thôi nàng còn cho rằng không có cách gì cứu nổi Ligia, giờ đây nàng bắt đầu tin rằng có thể sẽ xảy ra một chuyện gì đó phi thường, rằng sẽ có một sự ứng cứu hùng mạnh đến nỗi chính Hoàng đế cũng không thể cưỡng lại nổi, rằng từ trên cao sẽ có những vị thần có cánh bay xuống cứu giúp cô gái, hay mặt trời sẽ trải một thảm ánh sáng xuống dưới chân cô gái và kéo cô lên với mình.		-0.3
Akte đã từng nghe nhiều chuyện kỳ diệu trong các tín đồ Thiên chúa giáo và giờ đây nàng nghĩ rằng hẳn là tất cả những điều đó có thật, bởi Ligia đang cầu nguyện thành tâm thế kia mà.	Acte már annyi csodáról hallott, mely állítólag a keresztények közt történt és most, miután jelen volt Ligia imádságán, nem kételkedett többé e csodák igazságában.	0.345926
Mãi sau, Ligia đứng dậy với nét mặt rạng rỡ niềm hy vọng, bác Urxux cũng nhổm lên rồi quỳ xuống cạnh chiếc ghế dài, nhìn cô chủ chờ đợi nàng sai bảo.	Jó idő mulva Ligia reménytől sugárzó arccal emelkedett föl, Ursus szintén fölállt és a padra támaszkodva, úrnője szavaira várakozott.	0.367557
Mắt cô gái chợt nhòa đi, lát sau, hai giọt lệ lớn từ từ lăn trên gò má nàng.	De annak a szeme könnybe lábadt és nagy csepp gördült le arcán.	0.177966
- Cầu chúa ban phúc lành cho bà Pomponia và ông Aulux - nàng nói - Ta không có quyền đưa cái chết đến cho họ, vì vậy sẽ không bao giờ ta còn được gặp lại họ nữa!	- Isten áldja meg Aulust és Pomponiát - mondá - nem szabad őket szerencsétlenségbe döntenem és így nem szabad őket többé viszontlátnom.	0.598281
Rồi quay sang bác Urxux, nàng nói với bác rằng giờ đây bác là người duy nhất còn lại bên nàng trên đời, rằng bác sẽ phải vừa là cha, vừa là người đỡ đầu của nàng.	Aztán Ursushoz fordult és azt mondá neki, hogy most már senkije sincs a világon, csak ő, tehát neki kell mostantól fogva atyjának és oltalmazójának lennie.	0.220833
Cả hai không thể tìm nơi ẩn náu trong nhà ông bà Aulux, vì điều đó có thể kéo cơn giận dữ của Hoàng đế xuống đầu ông bà. ~~~ Song nàng cũng không thể nào ở lại cung Hoàng đế hay về nhà Vinixius.	Mivel sem Aulus házában nem kereshet menedéket, mivel különben a császár bosszúját idézi föl e házra, sem a császári palotában vagy Vinicius házában nem maradhat, vigye őt ki Ursus a palotából, a városból és keressen számára valahol rejtekhelyet, ahol se Vinicius, sem az ő szolgái nem találhatnak reá.	-0.0555288
Vậy bác Urxux hãy mang nàng ra khỏi thành phố, giấu nàng vào một nơi nào đó, sao cho cả Vinixius lẫn tôi tớ của chàng đều không thể tìm ra.	Ő kész mindenhová követni őt; ha kell, átmegy vele a tengeren, hegyeken, a barbárokhoz, oda, ahol nem hallani többé római szót és ahová többé nem ér Nero hatalma.	0.289796
Nàng sẽ theo bác đi đến bất cứ chốn nào, vượt biển, băng núi, đến với những tộc người man rợ, nơi không còn phải nghe thấy một cái tên của người La Mã nào nữa cả, nơi quyền lực của Hoàng đế không với tới.		-0.3
Bác hãy cưu mang và cứu lấy nàng, vì nàng chỉ còn mỗi mình bác nữa mà thôi.	Reá, Ursusra bízza megmentését, mert hiszen most ő egyedüli menedéke.	0.242647
Bác Ligi sẵn sàng làm việc đó và để bày tỏ sự vâng lời của mình, bác cúi xuống ôm lấy chân nàng.	A ligiai tüstént késznek mutatkozott és az engedelmesség jeléül átölelte úrnőjének lábait.	0.251613
Trên mặt Akte, người đang chờ đợi một điều kỳ diệu, hiện lên vẻ thất vọng.	De Acte arcán, ki csodát remélt, észrevehető csalódás látszott.	0.178125
Sự cầu nguyện kia chỉ mang đến có thế thôi ư?	Hol maradt amaz imádság hatása?	0.0967742
Trốn khỏi cung Hoàng đế là mắc vào trọng tội phạm thượng, tội ấy sẽ bị trừng phạt và cho dù Ligia có ẩn kín được chăng nữa, thì Hoàng thượng cũng sẽ trả thù ông bà Aulux.	A császár palotájából való távozást a felség elleni bűnténynek tekintették, melyet mindig megtoroltak és ha sikerülne is Ligiának elrejtőzni, a császár bosszúja mégis utolérné övéit.	0.283607
Nên quả nàng muốn trốn thì nên trốn đi từ nhà chàng Vinixius. ~~~ Khi ấy, vốn không thích bận tâm đến chuyện của người khác, rất có thể Hoàng đế sẽ không muốn giúp Vinixius trong việc săn đuổi và ít nhất họ cũng không mắc vào tội phạm thượng.	Ha már minden áron meg akar szökni, vélekedék Acte, akkor távozzék Vinicius házából és a császár, aki soha se szeret mások ügyeibe avatkozni, bizonynyal bajosan támogatja Viniciust az üldözésben és szökése semmi esetre se lesz bűntény, mely a fölség ellen van intézve.	-0.00764706
Song chính Ligia cũng nghĩ như thế.	De Ligia más tervet eszelt ki.	0.628571
Thậm chí gia đình họ Aulux kể cả bà Pomponia cũng sẽ không biết nàng trốn tránh ở đâu.	Sem Aulus, se Pomponia ne tudják meg, hol van, mondá.	0.266344
Song nàng sẽ không trốn đi từ nhà Vinixius mà sẽ trốn dọc đường.	Azonban nem Vinicius házából, nem, az oda való menetel alkalmával fogja a menekülést meg­valósítani.	0.19726
