Alexandre Dumas	﻿ALEXANDRE DUMAS	0.24
- A, a?	- Ej, hogy az ördög!...	0.25
Thế này là thế nào?	Hát ez meg micsoda?	0.216667
- Chính ông đây là người tôi đấu đấy - Athos vừa nói vừa giơ tay chỉ D artagnan, và cũng giơ tay chào Porthos.	- Az úrral párbajozom - mutatott Athos D’Artagnanra, és egyben üdvözölte.	0.875
Porthos nói:	- Én is - mondta Porthos.	0.0923077
- Tôi cũng đấu với ông ta. ~~~ D artagnan đáp:	- De csak egy órakor - szólalt meg D’Artagnan.	0.115086
- Và cả tôi nữa, tôi cũng đấu với chính ông đây - Aramis nói, khi vừa đến nơi.	- Én szintén az úrral párbajozom - szólt Aramis, aki ugyancsak a küzdőtérre ért.	0.668831
- Nhưng chỉ đến hai giờ chiều - D artagnan vẫn bình tĩnh nói.	- De csak két órakor - mondta D’Artagnan éppoly nyugodtan.	0.796364
- Nhưng anh đấu vì chuyện gì, hở Athos?	- Te, Athos, miért párbajozol?	0.665517
- Aramis hỏi.	- kérdezte Aramis.	0.964286
- Thật lòng tôi cũng không hiểu lắm, ông ta làm đau ở vai tôi, thế còn cậu, Porthos?	- Bizisten, nem is tudom; az úr a vállamba öklelt. ~~~ Hát te, Porthos?	0.0734604
- Thú thật, tôi đấu bởi vì tôi đấu - Porthos đỏ mặt trả lời.	- Én csak úgy - felelte Porthos és elpirult.	0.975
Athos, không bỏ qua điều gì, thấy thoáng một nụ cười trên môi chàng Gátxcông.	Athos figyelmét semmi sem kerülte el: úgy látta, halvány mosoly fut át a gascogne-i fiú vonásain.	0.282558
Chàng nói: ~~~ - Chúng tôi cãi nhau về chuyện ăn mặc.	- Összekülönböztünk az úri divaton - mondta a fiatalember.	0.0914634
- Còn cậu, Aramis?	- Hát te, Aramis?	1.44375
- Athos hỏi.	- kérdezte Athos.	0.957692
- Tôi à, tôi đấu vì lý do thần học - Aramis vừa trả lời vừa ra hiệu cho D artagnan, yêu cầu giữ kín nguyên nhân cuộc đấu.	- Nekünk teológiai vitánk volt - válaszolt Aramis, és odaintett D’Artagnannak, hogy ne szellőztesse, miért párbajoznak.	0.616419
Athos lại nhìn thấy một nụ cười nữa trên môi D artagnan, ông nói:	Athos ismét észrevette a mosolygást D’Artagnan szája szögletében.	0.615423
- Đúng vậy chứ?	- No persze - mondta.	0.883333
- Vâng - chàng Gátxcông nói - về một điểm của thánh Augustin, chúng tôi bất đồng với nhau.	- Persze hát! ~~~ Az úr rosszul értelmezi Szent Ágostont - tette hozzá a gascogne-i.	0.081
- Hẳn vậy rồi, đó là một người thông tuệ - Athos lẩm bẩm.	- Igazán talpraesett fickó - dörmögte Athos.	0.889535
- Và giờ đây, thưa các vị, các vị đã tập hợp cả ở đây, cho phép tôi được xin lỗi các vị - D artagnan nói.	- Nos, uraim, ha már ilyen szépen együtt vagyunk - szólt D’Artagnan -, engedjék meg, hogy bocsánatot kérjek az uraktól.	0.572201
Nghe những tiếng xin lỗi, một đám mây lướt qua vầng trán của Athos, một nụ cười cao ngạo lướt trên môi của Porthos và một dấu hiệu không tán thành là câu trả lời của Aramis.	A bocsánat szóra komorság felhőzte be Athos homlokát, gőgös mosoly játszadozott Porthos vonásain; Aramis pedig elutasító mozdulatot tett.	0.323804
- Thưa các vị, các vị không hiểu rồi - D artagnan vừa nói vừa ngẩng mặt lên, để một tia nắng mặt trời nhuộm vàng chói những nét thanh tú và rắn rỏi trên đó - Tôi xin lỗi các vị trong trường hợp tôi không thể trả món nợ của tôi cho cả ba, bởi ông Athos là người đầu tiên có quyền giết ông, điều này tước mất nhiều giá trị món nợ của ông, ông Porthos, và cũng làm món nợ của ông gần như mất sạch, ông Aramis ạ. Và bây giờ các vị, tôi xin nhắc lại với các vị, thứ lỗi cho tôi, nhưng chỉ có thế thôi và hãy thử thế!	- Félreértenek, uraim - folytatta D’Artagnan, és felemelte a fejét; e pillanatban aranyos fényt hintett finom, merész vonásaira a nap -, bocsánatot kérek arra az esetre, ha nem tudnám mindhármójuknak visszafizetni tartozásomat; mert életemmel jog szerint Athos úrnak tartozom először, ami Porthos úrnál ugyancsak aláássa hitelemet, Aramis úrnál pedig kishíján a semmivel egyenlővé teszi.	0.356643
Nói dứt lời, bằng một động tác rõ ràng là hiệp sĩ nhất chàng rút gươm ra.	Most pedig, urak, ismétlem: bocsássanak meg, de csupán ezért. ~~~ Elő a karddal!	-0.0205479
Máu đã dồn lên đầu D artagnan, và lúc này chàng như đã rút gươm chống lại toàn bộ ngự lâm quân của vương quốc, khi chàng vừa làm để chống lại Athos, Porthos và Aramis.		-0.3
Đã mười hai giờ mười lăm.	E szókra D’Artagnan hetykén kardot rántott.	0.1875
Mặt trời đã ở đỉnh đầu, và địa điểm chọn để thành sàn đấu phơi ra dưới nắng gắt.	Fejébe szállt a vér, és e pillanatban nemcsak Athost, Porthost és Aramist tudta volna kardhegyre kapni, hanem az egész királyi testőrcsapatot.	0.214706
- Trời nóng quá!	Negyed egy volt.	0.24
- Athos vừa nói vừa rút gươm - và trong khi ấy tôi lại không thể cởi bỏ áo chẽn, bởi, mới đây thôi, tôi còn cảm thấy vết thương của mình chảy máu, và tôi sợ làm phiền ông đây khi để ông thấy máu không phải do chính ông đâm tôi.	Delelőn állt a nap, a párbaj színtere valósággal izzott lángoló sugaraitól. ~~~ - Pokoli hőség van - szólalt meg Athos, szintén kivonva kardját -, de, sajnos, nem tehetem le ujjasomat, mert az imént éreztem, hogy vérzik a sebem, és attól tartok, zavarná az urat, ha vérem látná, és tudná, hogy nem ön döfött meg.	0.0434641
- Đúng vậy thưa ông - D artagnan nói - và do tôi hay do người khác đâm, tôi cũng cam đoan với ông rằng, tôi cũng sẽ luôn nhìn với vô cùng tiếc nuối dòng máu của một nhà quý tộc dũng cảm đến thế.	- Helyesen mondja, uram - szólt D’Artagnan -, és mindig sajnálom, ha ilyen derék nemesúr vérét kell látnom, akár én döftem meg, akár nem.	0.363256
Vậy tôi cũng mặc áo chẽn mà đấu như ông.	Akkor hát én is ujjasban verekszem.	0.172727
- Thôi nào, thôi nào - Porthos nói - xin đủ những lời khách sáo ấy đi, và hãy nghĩ chúng tôi đang đợi đến lượt mình đây.	- Most már legyen elég az udvariaskodásból - vágott közbe Porthos -, ne feledjék, hogy mi is hátra vagyunk még.	0.64916
- Hãy nói cho riêng phần cậu thôi, Porthos - Aramis ngắt lời khi cậu phải nói ra những điều khiếm nhã như vậy.	- Beszélj a magad nevében, Porthos, ha ilyen sületlen a mondanivalód - vágott szavába Aramis.	0.570349
Về phần tôi, tôi lại thấy những điều mà các vị ấy nói với nhau lại rất chững chạc và hoàn toàn xứng đáng với hai nhà quý tộc.	- Nekem igen tetszik, ahogy az urak forgatják a szót; aki igazi nemes, így beszél.	0.0123288
- Khi nào ông muốn, thưa ông - Athos vừa nói vừa thủ thế.	- Parancsoljon, uram - szólt Athos, és állásba helyezkedett.	0.884211
- Tôi xin đợi hầu ông - D artagnan vừa nói vừa vung gươm.	- Parancsoljon velem - válaszolt D’Artagnan, és vasát Athoséhoz érintette.	0.774268
Nhưng khi hai thanh gươm vừa vang lên khi chạm nhau, một toán cận vệ của Đức ông do ông De Jussac chỉ huy hiện ra ở góc tu viện.	De alig koccant össze a két penge, a bíboros egyik testőrszakasza bukkant fel a kolostor sarkánál: Jussac úr vezette őket.	0.534821
- Bọn cận vệ của Giáo chủ!	- A bíboros gárdistái!	0.782609
- cả Porthos lẫn Aramis đều cùng la lên - tra gươm vào vỏ, các vị!	- kiáltott fel egy lélegzettel Porthos és Aramis.	0.816667
Tra ngay vào vỏ!	- Urak, hüvelybe a kardot!	0.176471
Nhưng quá muộn rồi.	hüvelybe! ~~~ De már késő volt.	-0.0416667
Hai đấu thủ đã bị nhìn thấy trong một tư thế không cho phép hoài nghi về ý đồ của họ.	A két viaskodó helyzetét és szándékait nem lehetett félreérteni.	0.156923
- Ê này?	- Hohó!	1.2625
- Jussac la lên, vừa lao về phía bọn họ vừa ra hiệu cho người của mình lao theo - Ê này!	- kiáltott Jussac, mind közelebb lépve, és intett embereinek, hogy kövessék - hohó!	0.686799
Bọn ngự lâm quân, đánh nhau ở đây ư?	párbajozunk, testőr urak?	0.115385
Còn các lệnh cấm, chúng ta tính sao đây?	És a rendelet, arra fütyülünk?	0.183871
- Thưa các vị cận vệ, các vị rất đại lượng - Athos nói, lòng đầy hận thù, bởi Jussac là một trong những kẻ gây chiến ngày hôm kia - Nếu chúng tôi thấy các ông đánh nhau.	- Igen kegyesek a gárdista urak - szólalt meg Athos epésen, mert két nappal azelőtt Jussac is támadói között volt.	0.648571
Tôi xin hứa với ông, tôi sẽ không ngăn cản đâu.	- Ha mi kapnánk párbajozáson a gárdistákat, eszünkbe sem jutna, hogy közbelépjünk, afelől kezeskedem.	0.0396226
Vậy hãy mặc chúng tôi làm gì thì làm, và các ông sẽ được mua vui mà chẳng nhọc nhằn gì.	Hagyjanak hát békén; csak javukra válhat, és a fejük se fog fájni.	0.142857
- Thưa các vị - Jussac nói - Rất tiếc phải tuyên bố với các vị là việc ấy không thể được.	- A legnagyobb sajnálattal kell bejelentenem, uraim - mondta Jussac -, hogy ez lehetetlen.	0.820253
Nhiệm vụ của chúng tôi trên hết.		-0.3
Vậy hãy tra gươm vào, và xin vui lòng đi theo chúng tôi.		-0.3
Aramis nói, nhại giọng Jussac:	Nekünk első a kötelesség.	0.244444
- Thưa ông, nếu điều đó phụ thuộc vào chúng tôi.	Tehát le a kardot, kérem, és kövessenek.	0.176923
Nhưng khốn nỗi điều đó lại không thể: ông De Treville đã cấm chúng tôi đi theo các ông. ~~~ Vậy ông hãy đi theo đường ông, đấy chính là điều tốt nhất ông nên làm.	- Kész örömmel teljesítenénk becses felszólítását uram - utánozta Jussacot gúnyosan Aramis -, ha rajtunk állana; azonban, sajnos, lehetetlen: szigorúan megtiltotta Tréville úr.	-0.00617647
Sự cợt nhạo đó làm Jussac nổi tam bành.	Menjenek hát a dolgukra, az lesz a legjobb.	0.252632
Hắn nói: ~~~ - Vậy chúng ta sẽ cưỡng chế các người nếu các người không tuân theo.	A gúnyolódás kihozta sodrából Jussacot.	-0.131707
- Bọn chúng năm - Athos nói nhỏ - và chúng ta chỉ có ba, chúng ta sẽ lại thua.	- Ha nem engedelmeskednek, támadunk - felelte.	0.8
Ta nên chết ở đây thôi, bởi tôi xin thề sẽ không gặp lại đại úy nếu thua trận.	- Öten vannak - mondta Athos halkan -, mi meg csak hárman; megint alul maradunk, s ezúttal itt hagyjuk a fogunkat, mert én újabb vereség után nem kerülök a kapitány szeme elé, annyi szent.	0.0370787
Athos, Porthos và Aramis ngay lúc đó đứng sát vào nhau, trong khi Jussac dàn quân của mình.	Athos, Porthos és Aramis azonnal egy csoportba tömörült; Jussac ezalatt felállította katonáit.	1.21634
Chỉ trong khoảnh khắc đó, đủ để D artagnan quyết định mình phải làm gì.		-0.3
Đây là một trong những biến cố quyết định cuộc sống của con người, đây là một sự lựa chọn phải làm giữa nhà Vua và Giáo chủ. ~~~ Khi đã lựa chọn rồi, phải kiên trì với nó.	Egy pillanat műve volt az egész, és D’Artagnan máris tudta, mit tegyen; egész életében döntő fontosságú lesz ez a pillanat: választania kell a király és a bíboros között; és ha választott, aszerint kell cselekednie.	-0.00773196
Đánh nhau nghĩa là bất tuân luật pháp, là liều đời, là đùng một cái trở thành kẻ thù của một vị Thủ tướng quyền lực lớn hơn cả chính nhà Vua. ~~~ Đó là điều chàng trai hé nhìn thấy, ta nói ra điều đó là để ca ngợi chàng. ~~~ Chàng không do dự một giây.	Párbajozik, vagyis megszegi a törvényt, vagyis kockára teszi a fejét, vagyis egy csapásra ellenséget szerez magának a miniszter-bíborosban, aki a királynál is hatalmasabb: ez futott át egyetlen szempillantás alatt a fiatalember agyán, és, mondjuk meg dicséretére, mégsem habozott.	-0.107377
Quay lại phía Athos và các bạn ông, chàng nói:	E szókkal fordult Athos és barátai felé.	0.605769
- Thưa các vị, xin vui lòng cho tôi sửa lại một điều trong câu nói của các vị.	- Uraim, ha megengedik, helyesbítenem kell szavaikat.	0.466837
Các vị nói có ba, nhưng với tôi, tôi cho hình như chúng ta có bốn.	Azt mondták, hogy csak hárman vannak; szerintem négyen vagyunk.	0.254237
- Nhưng ông không phải là người của chúng tôi - Porthos nói.	- De az úr nem a mi emberünk - szólt Porthos.	0.615385
- Đúng vậy - D artagnan đáp - tôi không có trang phục, nhưng tôi có tấm lòng, tôi là ngự lâm quân, tôi cảm thấy hoàn toàn như vậy, ông ạ, và điều đó làm tôi mê say.	- Ruha szerint nem, az igaz, de szívben annál inkább - válaszolt D’Artagnan. ~~~ - A szívem azt mondja, hogy testőr vagyok, és engem ez kötelez.	0.0653846
- Tránh ra, gã thiếu niên - Jussac hét lên, chắc hẳn qua cử chỉ và nét mặt đã đoán ra ý định của D artagnan.	- Félre, fiatalember! ~~~ - kiáltotta Jussac, mert D’Artagnan mozdulatából és arcvonásaiból kitalálta szándékait.	0.135024
Chúng ta bằng lòng để cậu có thể rút lui.	- Még visszaléphet, megengedjük.	0.181818
Hãy giữ lấy mạng mình, nào nhanh lên?	Mentse az irháját, de gyorsan.	0.175862
D artagnan không hề nhúc nhích.	D’Artagnan meg se moccant.	0.230769
- Ông quả là một chàng trai tuyệt vời - Athos vừa nói vừa siết chặt tay chàng trai trẻ.	- Igazán kedves fiú - mondta Athos, és megszorította a fiatalember kezét.	0.655656
- Nào, nào?	- Rajta!	1.15
- Jussac nhắc lại - quyết định đi.	Rajta, urak: mi lesz? ~~~ - sürgette őket Jussac.	0.202174
- Sao, - Porthos và Aramis nói - Ta phải làm cái gì chứ.	- Csakugyan - mondta Porthos és Aramis -, mire várunk?	1.35966
- Ông đây quả đầy lòng độ lượng - Athos nói.	- Igazán nagylelkű az úr - szólt Athos.	0.853153
Nhưng cả ba đều nghĩ đến sự non nớt của D artagnan và sợ cho sự thiếu kinh nghiệm của chàng.	De magukban mind a hárman D’Artagnan fiatalságát latolgatták, és attól féltek, hogy túl tapasztalatlan.	0.3
- Chúng ta sẽ chỉ có ba, mà một bị thương, cộng thêm một đứa trẻ - Athos nhắc lại - và người ta vẫn sẽ nói rằng chúng ta có bốn người.	- Összesen hárman leszünk, egy azok közül is sebesült, s itt van még a nyakunkon ez a gyerek - folytatta Athos -, mégis mindenki azt mondja majd, hogy négyen voltunk.	0.588282
- Phải, nhưng rút lui!	- Meg csak nem hátrálhatunk!	0.747826
- Porthos nói.	- ellenkezett Porthos.	0.9
- Sẽ khó khăn - Athos nói tiếp.	- Nehéz dió - szólt Athos.	1.07314
D artagnan hiểu sự phân vân của họ, chàng nói:	D’Artagnan megértette, hogy haboznak.	0.205263
- Các vị hãy thử tôi xem nào, và tôi xin thề danh dự là không muốn đi khỏi đây nếu chúng ta thua.	- Uraim - szólalt meg -, tegyenek próbát velem; esküszöm a becsületemre, ha legyőznek, én is itt maradok.	0.445524
- Anh tên là gì, con người dũng cảm của tôi?	- Mi a neve, derék fiam?	0.357143
Athos hỏi.		-0.3
- Thưa ông, D artagnan.	- kérdezte Athos.	0.961765
- Nào!	- D’Artagnan, uram.	0.742857
Athos, Porthos, Aramis và D artagnan?	- Hát akkor: Athos, Porthos, Aramis és D’Artagnan előre!	1.40924
- Athos hét - Tiến lên.	- kiáltott Athos.	0.944118
- Thế nào các vị quyết định xong rồi chứ?	- Nos, urak, eldöntötték már, mit döntenek?	0.640116
- Lần thứ ba Jussac hét lên.	- kiáltott oda Jussac harmadszor is.	1.11576
- Xong rồi, các ông ạ!	- El, urak - felelte Athos.	0.715528
- Athos nói.	- Mégpedig?	1.3
Aramis một tay ngả mũ, một tay tuốt gươm trả lời:	- kérdezte Jussac. ~~~ - Bátorkodunk megkezdeni a harcot - felelte Aramis, miközben egyik kezével kalapot emelt, másikkal meg kivonta kardját.	-0.147273
- Chúng tôi sắp hân hạnh tấn công các ông.	- Micsoda?	0.22
A, kháng cự phỏng?	ellenszegülnek!	0.229412
- Jussac la lên.	- kiáltott Jussac.	0.99
- Mẹ kiếp, ông ngạc nhiên ư?	- Ej, a teremburáját! ~~~ talán csodálkozik?	0.221429
Rồi chín chiến binh chồm vào nhau cuồng nộ không trừ một thế gươm nào.	Azzal a kilenc fegyveres ádázul, de mégis bizonyos rendben, egymásra rontott.	0.270833
Athos chọn một tên Cahuxắc nào đó, một sủng tướng của Giáo chủ.	Athos ellenfele a bíboros egyik kegyence lett: név szerint Cahusac; Porthosra Bicarat jutott.	0.473745
Porthos với Bieara, và Aramis thấy mình đối mặt hai địch thủ.	Aramis egyszerre két támadóval nézett farkasszemet.	0.634454
Còn D artagnan lao vào chống lại chính Jussac.	Úgy fordult a sor, hogy D’Artagnan éppen Jussackal szemközt találta magát.	0.130435
Trái tim chàng trai trẻ đập đến vỡ lồng ngực không phải vì sợ, ơn Chúa, một thoáng cũng không, mà chỉ là đua tranh. ~~~ Chàng đánh như một con hổ đang cuồng nộ, xoay người lần quanh địch thủ, đổi hai mươi lần miếng giữ và thế trận.	A fiatal gascogne-i szíve majd kiugrott a helyéből, úgy kalapált; de istennek hála, nem a félelem táncoltatta, hisz azt hírből sem ismerte, hanem a becsvágy; úgy harcolt, akár a dühödt oroszlán, tízszer is megkerülte ellenfelét, hússzor váltott fogást és küzdőteret.	-0.00118577
Jussac như thiên hạ đồn thủa đó, một tay gươm sắc sảo và vô cùng lão luyện.	Jussac, ahogy akkoriban mondták, a penge ínyence volt, és óriási gyakorlat állt a háta mögött, mégis ugyancsak meggyűlt a baja ellenfelével.	0.130588
Tuy nhiên hắn lại muôn vàn vất vả để chống lại một địch thủ khéo léo, nhảy nhót, bất cứ lúc nào cũng bỏ qua những đường gươm sách vở, cùng một lúc tấn công từ mọi phía, vừa tránh đỡ như một người quyết không để bị xước da của mình.	A fiatalember fürgén szökdécselt, pillanatonként fittyet hányt a műszabályoknak, egyszerre támadott mindenfelől, de egyben úgy védekezett, mint akinek mód felett drága a bőre.	0.122485
Rốt cuộc cuộc chiến đấu ấy khiến Jussac mất kiên nhẫn.	Jussac végül is megunta ezt a harcot: kifogyott a béketűrésből.	0.553055
Giận dữ vì không làm gì nổi một kẻ mà hắn coi như một đứa trẻ con, hắn sôi lên và bắt đầu mắc lỗi.	Őrjöngött dühében, hogy tejfelesszájúnak nézte ellenfelét, és az így sarokba szorítja; elvesztette a fejét, és hibát hibára ejtett.	0.255263
D artagnan mắc nhược điểm ít thực hành, nhưng lại có được lý thuyết sâu sắc, tăng gấp đôi sự linh hoạt của mình.	D’Artagnan mélyen átgondolt elmélettel pótolta a gyakorlat hiányát és szinte szárnyakat kapott.	0.195789
Jussac muốn dứt điểm, nhoài hẳn người ra, đâm một nhát chí tử về phía địch thủ, nhưng chàng đã tránh trước, và trong khi Jussac thu người lại đứng lên, chàng trườn như con rắn dưới lưỡi gươm của hắn, xỉa một nhát xuyên qua người hắn.	Jussac végezni akart vele, és szörnyű döfést irányzott feléje; de az prímmel védett, és miközben Jussac felegyenesedett, kígyósimasággal siklott el kardja alatt, és kardjával keresztüldöfte.	0.404963
Jussac đổ xuống như một khối thịt.	Jussac elterült, mint a zsák.	0.660714
Sau đó D artagnan đưa mắt lo lắng nhìn nhanh chiến trường.	Ekkor D’Artagnan nyugtalan, gyors pillantást vetett a harcmezőre.	0.295161
Aramis đã giết một trong hai địch thủ của mình, nhưng tên kia áp đảo chàng rất ghê.	Aramis megölte egyik ellenfelét, de a másik annál kutyábbul szorongatta.	0.477075
Tuy nhiên, Aramis vẫn trong tình thế tốt và còn có thể kháng cự.	Mégis Aramis kezében volt a kezdeményezés, és még jól tartotta magát.	0.55
Bicara và Porthos vửa trả miếng nhau, Porthos bị một nhát gươm đâm xuyên qua cánh tay và Bicara bị một nhát xuyên qua đùi.	Bicarat és Porthos megsebezték egymást.	0.130769
Nhưng vì không vết thương nào nặng, họ chỉ càng đâm chém ác liệt hơn.	Porthosnak a karját járta át a, penge, Bicarat-nak a combját.	0.189474
Athos lại bị thương nữa bởi Cahuyxắc, trông tái nhợt, nhưng chàng không lùi một gót giầy.	De egyik sem volt súlyos sérülés, s a két ellenfél csak annál dühösebben vagdal­kozott.	0.250588
Chàng chỉ đổi tay cầm gươm và đánh bằng tay trái. ~~~ D artagnan theo luật quyết đấu thời đó, có thể đến cứu giúp ai đó.	Cahusac újabb sebet ejtett Athoson, aki szemlátomást mind sápadtabb lett, de tapodtat sem hátrált; csupán kezet cserélt, és most bal kézzel vívott.	-0.00681818
Trong khi đưa mắt tìm đồng đội cần giúp sức chàng bất chợt gặp cái nhìn của Athos.	A kor párbajszabályai szerint D’Artagnan bárkinek segíthetett.	0.157143
Cái nhìn ấy nói lên hùng hồn sự can trường.	Miközben azt fürkészte, melyik cimborája áll legrosszabbul, Athos rápillantott; észre kellett vennie.	0
Athos thà chết còn hơn là cầu cứu.	Isteni, ékesszóló pillantás!	0.232258
Nhưng chàng có thể nhìn, và từ cái nhìn toát ra sự yêu cầu giúp đỡ.	Athos akkor sem kért volna segítséget, ha belehal, de nézni még tudott, és szemével kért támogatást.	0.210811
D artagnan đoán ra nhảy phọt tới cạnh sườn Cahuxắc và hét lên:	D’Artagnan megértette, hatalmasat ugrott, és oldalba kapta Cahusacot:	0.291045
- Với tôi nào ông cận vệ, tôi giết ông!	- Ide, gárdista úr; most megölöm!	0.628571
Cahuxắc quay lại. ~~~ Thật đúng lúc.	Cahusac feléje fordult; éppen ideje volt.	0
Athos trụ được chỉ vì lòng dũng cảm tột độ, lúc này khụy một gối xuống.	Athost már csupán hallatlan bátorsága tartotta talpon; térdre roskadt.	0.225
- Chó chết! ~~~ - Athos hét lên với D artagnan - Đừng giết hắn, tôi xin anh đấy, anh bạn trẻ, tôi có việc cũ phải giải quyết xong với hắn, khi tôi khỏi và khỏe mạnh rồi.	- Az áldóját, fiatalember - kiáltott oda D’Artagnannak -, nagyon kérem, ne ölje meg!	0.0425
Tước vũ khí của hắn thôi.	Régen tartozom neki; ha meggyógyultam, leszámolok vele.	0.0870968
Khóa gươm hắn lại.	Fegyverezze le, üsse ki kezéből a kardját.	0.0652174
Như thế.	Ez az!	0.05
Tốt!	Nagyon jó!	0.128571
Tốt lắm!	Remek!	0.0857143
Mấy tiếng "tốt lắm" Athos kêu lên đúng lúc gươm của Cahuxắc bị văng đi đến hai mươi bước.	Athos kiáltása Cahusac kardjának szólt; a kard húsz lépésnyire tőle hullott a földre.	0.441997
D artagnan và Cahuxắc cùng lao theo, kẻ để nhặt lại gươm, người muốn đoạt ấy, nhưng D artagnan lanh lợi hơn đến trước và giẫm châm lên.	D’Artagnan és Cahusac egyszerre ugrott utána; az egyik hogy elkapja, a másik hogy vissza­szerezze; D’Artagnan azonban fürgébb volt, előbb érkezett és rátette a talpát.	0.277852
Cahuxắc chạy đến chỗ tên cận vệ bị Aramis giết, chiếm lấy gươm của tên này và muốn trở lại với D artagnan.	Cahusac odafutott a halott gárdistához, akit Aramis ölt meg; megragadta a kardját és D’Artagnan felé indult, de Athos feltartóztatta.	0.442623
Nhưng trên đường đi, hắn gặp Athos được nghỉ ngơi chốc lát, đã lấy lại sức, sợ D artagnan giết mất kẻ thù của mình, chàng muốn lại chiến đấu tiếp D artagnan hiểu sẽ là không tuân chiều Athos nếu không để ông làm việc đó.	A sebesült testőr kihasználta, hogy D’Artag­nan pillanatnyi pihenőt biztosított neki, kifújta magát, és nehogy D’Artagnan megölje az ő ellenfelét, folytatni készült a harcot. ~~~ D’Artagnan látta, hogy megsértené Athost, ha közbelépne.	-0.0123913
Quả nhiên, vài giây sau, Cahuxắc ngã xuống, họng bị gươm đâm xuyên qua.	Csakugyan, Cahusac néhány másodperc múlva a földön hevert: a nyakát kard döfte át.	0.292308
Cùng lúc đó Aramis tỳ lưỡi gươm lên ngực tên địch thủ đã bị đánh ngã, và bắt hắn phải xin tha.	Aramis ugyanebben a pillanatban szegezte kardja hegyét leterített ellenfele szívének, és rákényszerítette, hogy kegyelmet kérjen.	0.440278
Còn lại Porthos và Bicara.	Porthos és Bicarat még harcolt.	0.766667
Porthos vừa đánh vừa huênh hoang hàng đống chuyện, hỏi Bicara bây giờ là vào khoảng mấy giờ. ~~~ Chúc mừng hắn vì anh hắn vừa được phong chỉ huy một đại đội trong binh đoàn Nava. ~~~ Nhưng cợt nhạo như thế cũng chẳng được lợi lộc gì. ~~~ Bicara là một con người sắt, chỉ có chết mà thôi.	Porthos kifogyhatatlan volt a hencegésben: az időt kérdezte Bicarat-tól, gratulált neki, hogy a bátyja századparancsnok lett a navarrai ezredben - de hiába nyelvelt, nem győzött, Bicarat csupa-acél ember volt; csak akkor esik el, ha meghal.	-0.159278
Song lại cần phải kết thúc.	Pedig már jó lett volna befejezni.	0.3
Đội tuần tra có thể tới và bắt giữ tất cả các chiến binh dù bị thương hay không, thuộc phái Nhà Vua hay phái Giáo chủ.	Bármikor megérkezhet az őrség, és elviheti a verekedőket, akár sebesültek, akár nem; akár a király, akár az érsek emberei.	0.272034
Athos, Aramis và D artagnan quây quanh Bicara thúc hắn đầu hàng.	Athos, Aramis és D’Artagnan körülfogta Bicarat-t, adja meg magát.	0.895238
Dù chỉ một mình chống lại tất cả và với một vết thương đâm qua đùi, Bicara vẫn muốn chiến đấu Nhưng Jussac đã chống tay lên được, kêu hắn đầu hàng.	Bicarat egymaga maradt szemben összes ellenfelével, combját kard járta át, mégis kitartott; Jussac azonban felkönyökölt; és odakiáltott neki, hagyja abba.	0.395918
Bicara cũng là dân Gátxcông như D artagnan. ~~~ Hắn làm như điếc và cười trừ, và giữa hai miếng đỡ, có một thời gian dùng đầu mũi gươm vạch một chỗ trên đất và nhại lại một câu trong Kinh thánh:	Akárcsak D’Artagnan, Bicarat is gascogne-i volt; süketnek tette magát, nem is válaszolt, csak nevetett, és két védőfogás között arra használta az időt, hogy kardja hegyével kört rajzolt a földre:	-0.0170659
- Nơi đây Bicara sẽ chết, một mình thôi trong những người cùng với hắn.	- Itt hal meg Bicarat, egymaga mind közül, kik véle voltanak - forgatta ki a biblia egyik idézetét.	0.453323
- Nhưng họ bốn người chống lại anh, thôi đi thôi, ta ra lệnh cho anh đấy.	- De négyen vannak ellened; hagyd abba, ez a parancs. ~~~ - Az más!	0.0774351
- À, nếu anh ra lệnh, lại là chuyện khác - Bicara nói - vì anh là đội trưởng của tôi, tôi phải tuân lệnh.	a parancs parancs - szólt Bicarat -, te vagy a brigadérosom, te parancsolsz, én engedelmeskedem.	0.400291
Và nhảy lùi một bước về phía sau, hắn tỳ gối bẻ gẫy gươm ném mảnh gãy qua tường tu viện để không giao nộp rồi khoanh hai tay, huýt một điệu sáo của phái theo Giáo chủ.	Azzal hátraugrott, térdén szétpattintotta kardját, hogy el ne vegyék; a törött pengét a kerítésen át bedobta a kolostor kertjébe, majd a bíboros gárdistáinak egy nótáját fütyörészve összefonta mellén a karját.	0.265946
Lòng dũng cảm luôn đáng trân trọng, ngay cả trong kẻ thù.	A bátorság mindig tiszteletet kelt; az ellenség bátorsága is.	0.284746
Những người lính ngự lâm vung gươm chào Bicara rồi lại tra vào vỏ D artagnan cũng làm như vậy.	A testőrök üdvözlésre emelték kardjukat Bicarat felé, majd hüvelybe dugták a pengét. ~~~ Ugyanígy D’Artagnan is.	-0.015
Rồi chàng nhờ Bicara, đối thủ duy nhất còn đứng vững, khênh Jussac, Cahuxắc và tên địch thủ của Aramis mới bị thương, vào cổng mái che của tu viện.	Azután Bicarat segítségével - egyedül ő állott talpon - a kolostor kapuboltja alá vitte Jussacot, Cahusacot és Aramis ellenfélét, aki megsérült, de életben maradt.	0.404516
Người thứ tư thì đã chết.	A negyedik, mint emlí­tettük, meghalt.	0.24375
