Miếng Da Lừa	A SZAMÁRBŐR	0.253846
Anh ngạt thở dưới đống di vật của hàng năm mươi thế kỷ đã tàn, anh phát ốm vì tất cả những tư tưởng loài người, bị giết chết vì xa hoa và nghệ thuật, bị đè nén dưới những hình thù hồi sinh đó, giống như những quái vật do một ác thần tinh quái nào đó tạo nên, chúng giao tranh với anh trong một cuộc chiến đấu khôn cùng.	Ötven eltünt század romja sulyosodott a lelkére; beteggé tette ez a sok emberi gondolat; elbénitotta e roppant fényüzés, meg ez a töméntelen remekmű, s elszoritotta a szivét, hogy egyre megujhodva, egymásból születve, minden lépte nyomán ugy meggyötrik, mintha valami gonosz szellem szülöttei lennének.	0.224735
Giống như khoa hóa học hiện đại trong những biến hóa vô thường thâu tóm sự sáng tạo trong một thể khí, linh hồn phải chăng tạo nên những chất độc kinh khủng bằng sự tập trung mau lẹ những lạc thú, những lực lượng hay những tư duy của nó?	A modern kémiához szeszélyeiben olyannyira hasonlatos emberi lélek nem kever-e vajjon önmagának rettentő mérgeket gyönyöreinek, erőinek és gondolatainak hirtelen összeelegyitéséből?	0.159218
Vô số người phải chăng đã chết vì sự tác động đột ngột của một thứ axit tinh thần nào đó bất thình lình lan ra trong tâm thần của họ?	Nem vész-e el sok ember, mintha villám sujtotta volna, valami erkölcsi marósav erejétől, mely belső világán hirtelen elömlik?	0.219328
- Cái hòm kia đựng gì?	– Mi van abban a szekrényben?	0.25
- anh vừa hỏi vừa trỏ một chiếc hòm vuông lớn bằng gỗ đào hoa tâm treo vào một chiếc đinh bằng một sợi dây chuyền bạc, khi anh bước tới một phòng lớn, nơi cuối cùng chất đống những vinh quang, cố gắng của con người, những phẩm vật tân kỳ, những của cải.	– kérdezte, ujjával egy hatalmas, acajoufából faragott, ezüstláncon függő faliszekrényre mutatva, mikor más terembe, a dicsőség, emberi erőfeszités, eredetiség és gazdagság egy uj tárházába léptek.	0.16599
- À! ~~~ Ông tôi giữ chìa khóa, - chú bé má phính trả lời ra vẻ bí mật.	– Kulcsa az urnál van, – mondta titokzatos ábrázattal a tömzsi legényke.	-0.00422535
- Nếu ông muốn xem bức chân dung ấy, tôi sẵn sàng đánh liều hỏi ông tôi.	– Ha óhajtja megtekinteni a képet, készséggel elébe járulok az urnak.	0.251471
- Liều ư!	– Elébe járul!	0.136364
- Chàng trai nói.	Tán bizony fejedelem a maga ura?	0.0882353
- Ông chủ của chú có phải là một ông hoàng.	– Azt már magam sem tudom, – válaszolt a suhanc.	0.286957
- Nào tôi biết đâu, - chú bé đáp.	Egymásra tekintettek. ~~~ Mindkettő meglepetten.	-0.0416667
Hai người nhìn nhau một lúc, cả hai người cùng ngỡ ngàng.	A legényke a hallgatást óhajnak magyarázván, kisietett a teremből.	0.290476
Chú bé làm công thấy khách lạ im lặng thì tưởng là bằng lòng, liền bỏ anh đứng lại một mình trong gian buồng.	V. ~~~ Belévetették-e már magukat valaha a tér és idő végtelenségébe, Cuvier geológiai müveit olvasván?	-0.0282178
Có bao giờ anh lao mình vào khoảng mênh mông của không gian và thời gian khi đọc những tác phẩm về địa chất học của Cuvier?	Lángeszének nyomán lebegtek-e már a mult feneketlen örvénye fölött, mint valami varázsló vasmarkában?	0.207921
Được thiên tài của ông lôi cuốn, anh có thấy mình liệng bay trên vực thẳm không bờ của quá khứ, như được bàn tay của một pháp sư dìu đỡ?	Mélyebbről-mélyebbre, rétegről-rétegre haladva, a Montmartre kőbányái alatt, vagy az Ural palái közt, az antidiluviális állatok megkövült maradványainak szemlélésekor elrémül a lélek, mert esztendők milliárdjai nyilnak meg előtte.	0.153896
Khi khám phá ra từ khoảnh này đến khoảnh khác, lớp này đến lớp khác, dưới những mỏ đá ở Montmartre hay trong những phiến nham thạch núi Uran, những cơn vật mà xương cất thạch hóa thuộc về những nền văn minh thái cổ, tâm hồn đâm kinh hãi né trông thấy hàng tỉ năm, hàng triệu dân tộc mà trí nhớ yếu ớt của con người, mà truyền thống thần thánh bất diệt đã quên lãng, và đám tro tàn ấy bị đẩy lên trên mặt đất chúng ta, cấu tạo thành lớp đất sáu tấc rồi nảy sinh ra cho ta bánh và hoa.	És elébe tárulnak a letünt népek és fajok milliói, melyeket a fogyatékos emberi emlékezet rég kivetett magából, de amelyeknek hamvaiból tellett ki az a glóbust boritó kétlábnyi föld, mely kenyeret és virágot terem nekünk.	-0.157143
Phải chăng Cuvier là nhà thơ lỗi lạc nhất của thời đại chúng ta?	Nem Cuvier-e a század legnagyobb poétája?	0.06
Huân tước Byron đã từng tái hiện bằng từ ngữ một số xúc động tinh thần; nhưng nhà tự nhiên học bất tử của chúng ta đã tái tạo những thế giới bằng mớ xương trắng, đã như Cadmus tái lập những đô thành bằng những chiếc răng, đã làm sống lại mọi bí mật động vật học của hàng nghìn khu rừng bằng mảnh vải than đá, đã tìm ra những cư dân khổng lồ trong bàn chân của một con voi ma mút.	Lord Byron is jól végezte a maga dolgát; de a mi halhatatlan természetkutatónk porló csontokból világokat rekonstruált, Cadmusként fogakból városokat épitett meg ujra, néhány kőszéntörmelékből erdőket népesitett be a zoológia csodáival, s egy mammuth lábszárcsontjában megtalálta az ősvilág óriásait.	0.242797
Những hình tượng đó dựng lên, to lớn dần và trần thiết những khu vực ăn nhịp với tầm vóc đồ sộ của chúng.	Költő még a számjaival is, és fölséges tud lenni még akkor is, mikor csak egy zérust illeszt a hetes mellé.	0.227273
Ông là nhà thơ bằng những con số, ông tác tuyệt ở chỗ đặt một con số không bên cạnh con số bảy, ông làm thức dậy cõi hư vô mà không phải niệm những lời thần chú huyền diệu; ông mân mê một mảnh thạch cao, nhận thấy ở đó một vết tích, và kêu lên: "Này xem".	Bübájos igék mormolása nélkül kelti életre az enyészetet; föltur egy kőzetet, s lenyomatot véve észre rajta, csak annyit mond: "Nézzétek!"	-0.0335821
Bỗng chốc những đá hoa hóa thành động vật, cái chết được hồi sinh, thế giới được trải ra.	A márvány életre kél, a halál megelevenedik, a világ szemünk elé tárul!	0.145714
Sau vô số những thế hệ động vật khổng lồ, sau những chủng loại cá và những họ hàng trai sò, cuối cùng tới loài người, sản phẩm biến tính của một giống vật kỳ vĩ mà có lẽ Đấng Tạo hóa đã phế bỏ.	Számtalan gigászi szörnydinasztia után megjelenik végezetül az ember, degenerált származéka egy roppant arányu tipusnak, melyet talán maga a Teremtő sujtott le.	0.158824
Được con mắt hồi tưởng hun nóng, những con người yếu ớt, mới sinh bữa qua, có thể vượt qua đời hỗn mang, cất tiếng hát bài tụng ca bất tuyệt và hình dung quá khứ của vũ trụ trong một thứ Mặc thị lục ngược dòng.	E retrospektiv szemlélődésben föllelkesülve, e vézna emberfajta, e tegnapi sarj, áthatolhat a káoszon, s megpillanthatja a világegyetem multját egész forrongó mivoltában, mint valami retrográd Apokalypsist.	0.239086
Đứng trước cuộc phục sinh phi thường nhờ tiếng nói của độc một con người đó, chúng ta đâm thương cái khoảnh khắc đời sống, nó là mảnh vụn mà quyền hưởng dụng trao lại cho chúng ta, trong cả cái vô tận không tên tuổi, chung cho hết thảy mọi lĩnh vực, mà chúng ta gọi tên là thời gian.	Mikor ez ember szavára fölmerül előttünk e megdöbbentő föltámadás, mily nyomorult semmiségnek tünik föl előttünk az arasznyi lét, ez a kenyérmorzsa, melyet koncul vetettek nekünk a minden szférákkal közös, névvel nem nevezhető végtelen valamiből, amit mi, emberi nyelven, Időnek mondunk!	0.259783
Chúng ta tự hỏi, khi chúng ta bị đè bẹp dưới bao nhiêu thế giới lụi tàn, thì có sá gì những vinh quang, những căm thù, những tình yêu của chúng ta; và nếu đời sống trở thành một điểm mơ hồ không nhận thấy trong tương lai, thì nỗi đau khổ của loài người có đáng chấp nhận hay không?	Ennyi világ romjainak szemléletétől lesujtva, eszünkbe ötlik, mire is való hát a dicsőség, a gyülölet, a szeretet, s érdemes-e az élet kinját magunkra vennünk egy felfoghatatlan, soha meg nem érthető jövendőért?	0.138916
Bị bật rễ khỏi hiện tại, chúng ta nằm chết cho tới khi gã hầu buồng bước vào bảo chúng ta: Bà bá tước đã trả lời rằng bà đang chờ ông.	Holtak közt járva, holttá leszünk mi is, s csak akkor ocsudunk föl a jelenre, mikor benyit az inasunk és jelenti: "A grófné azt üzeni, hogy szivesen látja a nagyságos urat".	0.294118
Những kỳ vật mà quang cảnh vừa bày ra cho chàng trai tất cả sự sáng tạo được hiểu biết, gây cho anh lòng chán nản thường xảy ra ở bậc triết gia khi con mắt khoa học nhìn thấu những sáng tạo xa lạ: anh càng hăng hái mong ước chết đi hơn bao giờ hết, và ngồi phịch xuống một chiếc ghế ngà, đưa mắt ngơ ngác nhìn qua những ảo ảnh của toàn bộ dĩ vãng đó.	A nagyszerüségeknek e szemlélete, mely lelki szeme elé varázsolta az egész mindenséget, nagyon leverte a fiatal embert; inkább kivánta a halált, mint valaha. ~~~ Leroskadt egy curulisi székre s tétován jártatta tekintetét a multak panorámájának e fantazmagóriáin.	-0.0819838
Những bức họa rực sáng lên, những đầu Thánh mẫu đồng trinh mỉm cười với anh, và những pho tượng khởi sắc do một cuộc sống giả tạo.	A képek kibontakoztak előtte, a Madonnák rámosolyogtak, s a szobrok az élet szineit öltötték magukra. ~~~ Agya lázas volt már s a homály csalóka árnyaiban táncra kerekedett előtte minden.	-0.0217105
Nhờ bóng tối, và do cơn bão tố dấy lên trong đầu óc rã rời của anh, những tác phẩm kia, như chuyển động, nhộn lên và quay cuồng trước mắt anh: các ông phỗng cau có nhìn anh, những nhân vật hình dung trên các bức họa đưa mắt long lanh; những hình thù đó run rẩy, nhảy nhót, rời chỗ nghiêm trang, nhẹ nhàng, duyên dáng hay sỗ sàng, tùy theo phong thái, tính cách và thể chất của chúng.	A kis porcellán torzfigurák nyelvüket öltögették rá, s a festett alakok sürün pislogattak felé. ~~~ Valahány csak volt abban a teremben, az mind lábrakelt, sétára indult, ficánkolt, bokázott, kecsesen bókolt vagy nagyképüsködött, ahogy éppen uri magához illett.	-0.0949597
Thật là một cuộc hội ma bí mật tương xứng với những cảnh quái dị mà tiến sĩ Faust thoáng nhìn thấy trên núi Brocken.	Valóságos blocksbergi éjszaka volt, méltó ama szellemi gyülekezethez, melyet hajdanán Faust látogatott meg, a doktor.	0.444643
Nhưng những hiện tượng quang học sinh ra bởi sự mệt mỏi, bởi nhãn lực bị căng không thể làm cho chàng lạ mặt sợ hãi.	Hanem azért ezek a jelenségek, kétségtelenül a kimerültség, a szemidegek tulfeszitésének szülöttei, nem borzasztották meg az ismeretlent.	0.290769
Những nỗi khủng khiếp của cuộc sống bất lực đối với một tâm hồn quen với những nỗi khủng khiếp của cái chết.	Az élet borzalmai tehetetlenek az olyan lélekkel szemben, mely már a halál borzalmaival enyeleg.	0.156818
Hơn thế, đồng lõa một cách ngạo nghễ, anh lại còn trợ lực cho những cảnh dị thường của sự kích động tinh thần kia mà những điều kỳ diệu hỗn hợp với những tư tưởng cuối cùng còn đem lại cho anh ý thức về sự tồn tại.	Inkább még részesévé szegődött e lelkiállapot felidézőinek s mosolyogva nógatta őket mennél bizarrabb kavarodásra. ~~~ Összekuszálódtak előtte, de ébren tartották benne az élet tudatát.	-0.0513587
Im lặng tràn ngập xung quanh anh đến mức chẳng bao lâu anh phiêu diêu vào một cuộc mơ màng êm dịu với những cảm giác u ám dần dần, từng biến sắc và như ảo thuật, theo ánh ngày cứ mờ dần.	Oly mélységes csend volt körülötte, hogy ábrándozásba merült, mely fokozatosan az egyre növekvő homálylyal, mind sötétebbé, komorabbá lett.	0.164029
Khi một tia sáng sắp từ giã bầu trời lóe lên một ánh đỏ cuối cùng trong cuộc vật lộn với bóng đêm, anh ngẩng đầu, nhìn thấy một bộ xương sáng lờ mờ chỉ ngón tay vào anh, và lắc lư cái sọ ra vẻ nghi hoặc như muốn bảo anh: Những kẻ đã chết chưa muốn tiếp nhận anh!	Egy bucsuzó alkonyi sugár vörösen derengve küzdött még a leszálló éjszakával. ~~~ Hirtelen fölkapta a fejét és sejtelmesen, alig-alig megvilágitott csontvázat pillantott meg, mely mintha jobbra-balra ingatta volna koponyáját: ~~~ "Nem kellesz te még a halottaknak!"	-0.135814
Khi đưa tay lên trán để xua đuổi cơn mê, chàng trai cảm thấy rõ rệt một làn gió mát do một con vật gì lông lá lướt chạm vào má anh, anh rùng mình.	Végigsimitotta a homlokát, hogy elüzze magától az álmot, s hirtelen valami hüs szellő csapta meg. ~~~ Olyasvalamit érzett, mintha valami bozontos test suhant volna el arca mellett.	-0.00876623
Nghe có tiếng đập vào cửa kính âm thầm vang lên, anh chắc rằng một con dơi đã gây nên cái mơn trớn lạnh lùng tương xứng với những ánh mơ hồ của chiều tà khiến anh lờ mờ nhìn thấy những bóng ma vây quanh anh; thế rồi cả cái thế giới tĩnh vật đó nhòa đi trong cùng một màu đen.	Megborzongott. ~~~ A tüstént rákövetkező tompa koppanás az ablaktáblán meggyőzte róla, hogy ez a fagyos simogatás, ez a sirra emlékeztető hüvösség valami szálló denevértől származhatott. ~~~ Az alkony utolsó derengésében még egy pillanatra meglátta a körülötte nyüzsgő fantomok bizonytalan körvonalait, azután elmerült minden a fekete éjszakába.	-0.106689
Đêm rồi, cái giờ chết xộc tới.	Az éjszaka, a halál órája elérkezett.	0.3
Liền đó, qua chừng một lúc, anh chẳng còn cảm giác rõ ràng nào về những vật trần gian, hoặc là vì anh chìm sâu vào một giấc mơ màng, hoặc vì anh chập chờn nửa tỉnh nửa mê do mệt mỏi và do bao nhiêu tâm tư xâu xé lòng anh.	Jó darab idő telt el ezután, mely alatt nem volt egyetlen világos fogalma sem a földi dolgokról, már akár azért, mert mély álmodozásba merült, akár azért, mert urrá lett fölötte az álom, s elnyomta annyi fáradalom és annyi szivethasogató gondolat után.	0.298723
Đột nhiên anh tưởng như có một tiếng khủng khiếp gọi anh, và anh giật nảy mình như khi đang giữa cơn mê sảng hầm hập mà bị lăn ùm xuống vực sâu.	Egyszerre mintha valami rettentő hang szólitotta volna néven. ~~~ Ugy fölriadt, mint ahogy lidércnyomásos álmunkból riadunk föl, mikor hanyatt-homlok zuhanunk a feneketlen mélységbe.	-0.0103125
Anh nhắm mắt lại; những tia sáng rực rỡ lóa mắt anh; anh nhìn thấy giữa bóng đêm lấp lánh một quả cầu đo đỏ mà ở trung tâm là một lão già bé choắt đứng rọi ánh sáng một ngọn đèn vào anh.	Lehunyta szemét: elkápráztatta a hirtelen rátüző élénk világosság. ~~~ Vöröses fénykör sugárzott rá a homályból, s a fénykör középpontjában egy összetöpörödött öreg embert látott állani, aki egyenesen felé irányozta a lámpavilágot.	-0.0210145
Anh đã không nghe thấy tiếng lão đến, lão nói, lão cử động.	Nem hallotta belépni, meg se szólalt, meg se rezzent.	0.18125
Sự xuất hiện đó có vẻ gì ma thuật.	Volt valami boszorkányos ebben a jelenségben.	0.285366
Dù người bạo dạn đến đâu mà bị bất chợt giữa cơn mê như vậy cũng chẳng khỏi run lên trước nhân vật kỳ dị đó dường như từ một chiếc quan tài gần đâu đây chui ra.	Még a legrettenthetetlenebb férfi is megremegett volna, hogyha álmából fölriadva hirtelen maga előtt pillantja meg. ~~~ Mintha valamelyik idevetett szarkofágból kelt volna ki.	-0.0222222
Vẻ trai trẻ lạ lùng làm ánh lên cặp mắt bất động của thứ yêu ma đó khiến cho chàng lạ mặt không tin ở những tác động siêu nhiên; mặc dầu vậy, trong khoảnh khắc giữa cuộc sống mộng du và cuộc sống thật của anh, anh ở trong trạng thái hoài nghi triết học mà Descartes giới thiệu, và bấy giờ, không cưỡng lại được, anh bị khống chế bởi những ảo giác khó hiểu mà những bí ẩn không được lòng kiêu hãnh của chúng ta chấp nhận hoặc khoa học bất lực của chúng ta không phân tích nổi.	Hanem a szeme, a mozdulatlan jelenség szeme oly csodálatosan fiatalos lobogással tekintett rá, hogy nem látott benne többé természetfölötti rendkivüliséget. ~~~ Abban az elsuhanó, rövidke időközben azonban, mely teljes felocsudásáig tartott, mégis csak élt benne a Descartes ajánlotta bölcs kételkedés, s legjobb szándéka mellett sem tudott fölibe kerekedni ama megfejthetetlen érzéki csalódások egyikének, melyeknek titkait nagybüszkén még csak fürkészni is átalljuk, vagy tehetetlen tudásunkkal egyenesen képtelenek vagyunk elemezni.	-0.00590551
Ta hãy hình dung một lão già bé choắt, khô đét và gầy còm, mình bận một chiếc áo dài nhung đen quanh sườn thắt bằng một chiếc dây lụa to.	VI. ~~~ Képzeljenek el egy szikár, ösztövér aggastyánt, fekete bársonyköntösben, derekán vastag selyemzsinórral övezetten.	-0.0334711
Trên đầu lão, một chiếc mũ chỏm cũng bằng nhung đen để thò ra hai bên mặt những chùm tóc bạc dài, chiếc mũ căng sát vào đỉnh đầu để bó chặt lấy trán.	A feje bubján ugyanolyan fekete bársonyból való kis sapkát viselt, mely mögül hosszu fehér hajfürtök kandikáltak elő, homloka körül szabályos keretet képezvén.	0.276923
Chiếc áo dài trùm kín mình như một tấm vải liệm rộng, và không để lộ ra hình thù một con người ngoài khuôn mặt choắt và tái nhợt.	Köntöse ugy elburkolta testét, mint valami hatalmas szemfedő. ~~~ Emberi formáiból nem is tünt ki alóla egyéb, mint keskeny, halovány arca.	-0.0174419
Không có cánh tay trơ xương, giống như chiếc gậy trùm mảnh vải, mà lão già giơ lên để rọi hết ánh đèn vào chàng trai, thì bộ mặt kia tưởng như treo lơ lửng trong không.	Ha nem látszott volna a fiatal ember arcába világitó lámpát tartó csontig aszott karja, mely inkább valami szövettel lebontott karónak tetszett, olyan lett volna ez a halovány arc, mintha csak ugy testetlenül függene a levegőben.	0.251934
Một chòm râu màu tro và xén nhọn che lấp cằm của nhân vật lạ lùng đó, đầu lão trông giống những đầu người Do Thái mà các nghệ sĩ thường dùng làm mẫu để thể hiện Moïse.	Hosszu, hegyben végződő szürke szakáll boritotta e bizarr jelenség állát, hasonlatossá téve ezáltal ahhoz a tipushoz, melyet müvészeink Mózes ábrázolásában annyira szeretnek követni.	0.281667
Cặp môi lão ta nhợt nhạt quá đến mức phải đặc biệt chú ý mới mô phỏng được đường nét của cái miệng trên bộ mặt trắng bệch.	Ajka oly szinefakult, annyira keskeny volt, hogy vonalát csak a legtüzetesebb vizsgálódás után lehetett fakó ábrázatában észrevenni.	0.255469
Vầng trán rộng nhăn nheo của lão, đôi má tái xanh và lõm sâu, đôi mắt xanh lục ti hí vẻ khắc nghiệt tàn nhẫn, trụi cả lông mi lẫn lông mày, có thể làm cho chàng lạ mặt tưởng như Người cân vàng của Gérard Dow đang bước ra ngoài khung tranh.	Széles, fölbarázdolt homloka, sápadt, beesett arca, apró, szigoru tekintetü zöld szeme, a pillák és szemöldök teljes hijával, olyanféle benyomást tett az ismeretlenre, mintha Gérard Dow Aranyfontoló-ja lépett volna ki a keretéből.	0.439773
Cái sắc sảo pháp quan, lộ ra ở những đường nhăn khúc khuỷu và ở những nếp vòng tròn trên thái dương lão, chứng tỏ lão rất mực lõi đời.	Arcának egész redőzete, s a halántékáig futó barázdák szinte képére irták, hogy e furfangos inkvizitor előtt nincsen az életnek titka.	0.246923
Không có thể đánh lừa nổi con người đó hình như có tài chộp được những tư tưởng thầm kín nhất trong đáy lòng người.	Ezt az embert nem lehetett rászedni; megvolt az a nagy adománya, hogy belelásson még a legrejtettebb vesékbe is.	0.20198
Phong tục của hết thảy các dân tộc trên trái đất và những triết lý của họ thâu tóm trên bộ mặt lạnh lùng của lão, cũng như những sản vật của toàn cầu được chứa chất trong những kho hàng bụi bặm của lão; dường như anh nhận ra ở đó cái bình thản minh mẫn của một Thượng đế nhìn thấu khắp cả, hay cái năng lực kiêu hãnh của một con người đã lịch lãm sự đời.	A föld minden nemzetének tudása, bölcsessége éppen ugy oda volt irva a hideg homlokára, mint ahogy porlepett raktáraiban föl volt halmozva a világ mindennemü alkotása. ~~~ Le lehetett róla olvasni egy Isten fölséges nyugalmát, aki mindent lát, vagy gőggé kövült erejét egy embernek, aki már mindent látott.	-0.0628521
Một họa sĩ có thể, bằng hai cách biểu hiện khác nhau và bằng hai nét bút dựa vào bộ mặt đó mà vẽ nên một bức tranh đẹp của đấng cha Bất diệt hay một mặt nhạo cười của Méphistophélès là vì có cả một sức mạnh cao cả trong vầng trán lẫn vẻ nhạo báng nham hiểm trên miệng.	Valami festő, két merőben ellentétes kifejezés hatása alatt, két ecsetvonással tetszése szerint alakithatta volna át képét az Örökkévaló képmásává, vagy Mefisztófelesz vigyorgó ábrázatává, mert egyaránt föllelhette volna homloka körül a mindenhatóságot, a maró gunyt pedig a szája szögletében.	0.291809
Kẻ đó, nếu đã nhờ một quyền lực vô hạn mà khắc phục mọi đau khổ của con người, thì hẳn là đã thủ tiêu mọi lạc thú trần gian.	Szédületes hatalmával megőrölve minden emberi szenvedést, mintha kiölte volna a föld minden örömét is a szivéből.	0.208929
Chàng sắp chết rợn mình mường tượng thấy lão thần kia sống đâu ở một khu vực xa lạ với trần thế, trơ trọi một mình không lạc thú vì lão không còn ảo tưởng; không đau khổ, vì hẳn không còn biết mừng vui.	A halálraszánt megremegett arra a gondolatra, hogy e vénség magasabb szférát lakott e világban, s egyedül lakta; örömök nélkül, mert nem voltak többé illuziói és fájdalom nélkül, mert nem ismerte többé az élveket.	0.264878
Lão già đứng đó bất động không rung chuyển như một ngôi sao giữa một làn ánh sáng; đôi mắt xanh lục đầy một cái gì như vẻ tinh ma bình thản, dường như soi sáng thế giới tinh thần cũng như ngọn đèn của lão đang soi sáng gian buồng huyền bí này.	Az agg mozdulatlanul, szilárdan állott, mint valami csillag a sugárzó ködgomoly közepén. ~~~ Valami kifejezhetetlen szelid csufondárossággal ragyogó zöld szeme mintha a szellemi világot járta volna be sugaraival, mint ahogy lámpájának sugarai e rejtelmes kincsesházat járták be.	-0.00172414
Đó là cái cảnh tượng kỳ lạ, nó làm chàng trai sửng sốt lúc anh mở mắt ra sau khi mê man vì những tư tưởng muốn chết và những hình ảnh quái dị.	Ilyen volt az a rendkivüli jelenség, mely a fiatal embert a halál sötét gondolataiból, s fantasztikus rémlátásaiból rezzentette föl.	0.228571
Nếu anh ta ở vào tình trạng như ngây dại, nếu anh trong chốc lát để mình bị chế ngự bởi một niềm tin như lũ trẻ nghe vú em kể chuyện, thì phải quy sự lầm lạc đó vào tấm màn mà những trầm tưởng của anh đã phủ lên cuộc sống và trí tuệ anh, vào sự kích động thần kinh anh, vào tấn kịch tàn bạo mà những cảnh diễn ra vừa gây cho anh những khoái cảm khốc hại chứa đựng trong một viên thuốc phiện.	Ha megdöbbent, s egy pillanatra holmi dajkamesék villantak át az agyán, csupán a rásulyosodó komor gondolatoknak, fölzaklatott idegeinek tulajdonitható; bódult volt és mámoros, és olyanféle kinos gyönyörüség fogta el, mintha ópiumtól részegült volna meg.	0.070082
Cuộc ảo thị đó xảy ra ở Paris, trên đường bờ sông Voltaire, ở thế kỷ mười chín, thời gian và địa điểm ấy không thể có ảo thuật được.	Ez a vizió Párisban, a Quai Voltaire-en, a XIX. ~~~ században lepte meg, olyan helyen és időben, hogy boszorkányságról szó sem lehetett.	-0.0399194
Đứng bên cạnh ngôi nhà là nơi mà ông thánh hoài nghi Pháp đã tạ thế, là đồ đệ của Gay Lussac và Arago, là kẻ phỉ báng những trò quỷ thuật của bọn cầm quyền, chàng lạ mặt hẳn chỉ tuân theo những cám dỗ của văn thơ mà anh đã thừa nhận uy thế và chúng ta thường ưa thích như để trốn tránh những sự thật nản lòng, như để thách thức quyền lực của Thượng đế.	Szomszédjában annak a háznak, melyben a francia hitetlenség atyauristene halt meg, ő, Gay-Lussac és Arago tanitványa, ki fitymálva nézte a szemfényvesztők hókuszpókuszait, bizonyára csupán csak valami poétikus önámitásba merült, ami olyannyira kedves nekünk, mikor a kétségbeejtő valóság elől akarunk menekülni.	0.205316
Vì vậy anh run lên trước ánh sáng và lão già đó, lòng anh bối rối vì cái linh cảm khó hiểu về một quyền lực kỳ lạ nào đấy; nhưng mối xúc động đó giống như cái mà tất cả chúng ta đều cảm thấy khi đứng trước mặt Napoléon, hay trước một vị nhân tài năng lỗi lạc, rực rỡ vinh quang nào.	Megremegett e világosság és ez aggastyán láttára, csodálatosan nagy hatalomnak a sejtelme kapta meg a lelkét; hanem azért ez az érzés a maga valóságában mégsem volt egyéb, mint ami Napoleonnal szemtől-szemben mindannyiunkat elfogott, s valamely dicsőséggel övezett ragyogó lángelme jelenlétében bármikor elfog.	0.279661
- Ông muốn xem chân dung Đức Chúa Jésus do Raphaël họa chăng?	VII. ~~~ – Rafael Krisztus-képét óhajtja látni, uram?	-0.0317308
- Lão già nói với chàng trai một cách nhã nhặn, giọng sang sảng và gọn gàng như tiếng kim loại gì đó.	– kérdezte udvariasan az aggastyán. ~~~ Mintha érc csendült volna meg, olyan átható, olyan tiszta volt a hangja.	-0.00728155
Và lão đặt cái đèn lên trên thân một chiếc cột gãy, khiến cho bao nhiêu ánh sáng rọi vào chiếc hòm nâu.	Lámpáját egy csonka oszlop tönkjére helyezte, ugy hogy egész világossága a faliszekrényre essék.	0.246316
Nghe đến những tên đầy tín ngưỡng của Jésus và Raphaël, chàng trai phác ra một cử chỉ tò mò, mà chắc chắn lão già chờ đợi khi lão làm bật một chiếc lò xo.	Krisztus és Rafael, e szent nevek hallatára a fiatal ember arcán hirtelen őszinte érdeklődés mutatkozott, amit kétségkivül el is várt tőle a kalmár, ki tüstént megnyomott egy rugót.	0.298235
Bỗng tấm biển bằng gỗ đào hoa tâm trượt theo một đường rãnh, êm lặng ngả xuống và bày ra một bức tranh cho chàng lạ mặt ngưỡng mộ.	Az acajou fedőlap zajtalanul eresztékébe siklott és rejtett vászna az ismeretlen elébe tárult.	0.103333
Nhìn thấy tác phẩm bất hủ đó, anh quên hết những cái kỳ quặc của gian hàng, những biến ảo của cơn mê trở lại thành con người, nhận ra ở lão già một nhân vật bằng xương bằng thịt, sống hẳn hoi, chẳng có gì là ảo tưởng, vì anh trở lại với thế giới thực tại.	E halhatatlan alkotás megpillantásakor elfeledte rémlátásait, káprázatait, egészen fölocsudott emberi mivoltára, eszébe sem jutott többé természetfölötti lényt látni az öreg emberben, visszavetődött a valóságos világba.	0.204545
Vẻ ân cần đằm thắm, cái bình tĩnh dịu dàng của khuôn mặt thần thánh phút chốc tác động tới anh.	Az isteni arcról sugárzó gyöngéd szeretet és végtelen szelidség csodálatosan hatott rá.	0.224138
Một hương thơm nào tự thinh không tỏa xuống làm tiêu tan những giày vò tàn khốc thiêu đốt đến xương tủy anh.	Valami mennyből áradó illatos balzsam elüzte pokoli gyötrelmeit, melyek a csontja velejéig hasogatták.	0.232653
Đầu Chúa Cứu thế dường như nhô ra ngoài bóng tối hình dung bằng một nền đen; một vòng hào quang rực sáng chung quanh mớ tóc mà ánh sáng tưởng như từ đó phát ra; dưới trán, dưới da thịt, cả một niềm tin mãnh liệt toát ra từ mỗi nét, qua những làn cảm khí thấm thía: từ cặp môi đỏ thắm vừa vang lên tiếng nói của sự sống, và khách xem tìm trong không cái âm hưởng linh thiêng, anh hỏi ở sự yên lặng những ngụ ý tuyệt diệu, anh lắng nghe tiếng đó trong tương lai, anh tìm nó trong những bài học của quá khứ.	Mintha a fekete háttérből, a Sötétségből, kilebbent volna a Megváltó feje; haja körül fénykoszoru sugárzott, egyenesen onnan ragyogva ki; homloka mögül, arcából, arcának minden redőjéből a meggyőződés rendithetetlensége áradt. ~~~ Tekintetét a szóra nyiló ajkakra függesztve, a szemlélő szorongva leste, miféle magasztos szózat csendül fel rajta, s áhitattal várt valami gyönyörü parabolára.	-0.0641732
