Alexandre Dumas	﻿ALEXANDRE DUMAS	0.24
- Tôi là một trong những người cuối cùng ra về, ông thấy đấy.	- Amint látja, az utolsók között.	0.401299
- Nếu ông có những tin tức về ông de Voiture, nhất là những tin tốt lành, xin ông làm ơn gửi cho tôi vào ngày mai.	Ha hall valamit Voiture-ről, kiváltképp ha valami jót, kegyeskedjék holnap megüzenni nekem.	0.2
- Ồ, ông ta có thể chết bây giờ, - Scarron đáp.	- Ó, most már nyugodtan meghalhat!	0.559821
- Thế là thế nào?	- mondta Scarron.	0.975
- Cô thiếu nữ mở mắt hỏi.	- Hogyhogy?	0.754545
- Bài tán dương ông ta đã làm xong rồi.	- kérdezte a bársonyos szemű leány.	0.677143
Và họ vui cười chia tay nhau; cô thiếu nữ ngoái đầu lại để nhìn người bại liệt đáng thương với vẻ thích thú, còn người bại liệt dõi theo cô bằng con mắt tình tứ.	- Úgy bizony! ~~~ Már elmondták a búcsúztatóját. ~~~ És nevetve váltak el, s a leány visszafordult, hogy lássa még egy pillanatra a szegény bénát, s a szegény béna szerelmes tekintettel nézett a leány után.	-0.102825
Các nhóm khách thưa thởt dần.	A csoportok lassanként meggyérültek.	0.263636
Scarron không làm ra bộ nhìn thấy một số tân khách đã chuyện trò bí mật với nhau, thư từ đã đến với nhiều người, và buổi tối hội họp dường như có một mục đích bí mật nó đi trệch khỏi chuyện văn chương mà họ đã bàn cãi om sòm.	Scarron úgy tett, mintha nem vette volna észre, hogy egy-két vendége titokzatosan össze-összedugta a fejét, hogy többnek is levelet hoztak, s hogy az egész estélyének mintha olyan rejtélyes célja lett volna, aminek vajmi kevés köze van az irodalomhoz, bármily hűhóval irodalmárkodtak is.	0.356826
Những điều đó có can hệ gì đến Scarron?	De bánta is ezt Scarron?	0.472727
Bây giờ người ta cứ việc hoạt động thoải mái cho phong trào La Fronda ở ngay nhà ông; vì từ sáng hôm nay như ông đã nói, ông không còn là bệnh nhân của hoàng hậu nữa rồi.	Most már frondőrködhettek nála kedvükre: reggel óta, ahogyan mondotta, már nem volt a királyné betege.	0.0428571
Còn về Raoul, quả nhiên anh đã đưa bà công tước ra tận xe của bà, bà ngồi và đưa bàn tay cho anh hôn; rồi do một trong những cơn ngẫu hứng cuồng điên đã khiến bà thật đáng yêu quý và nhất là thật nguy hiểm, bà đột nhiên ôm lấy đầu anh và hôn lên trán mà nói:	Raoul pedig csakugyan elkísérte a hintájáig a hercegnét, aki úgy ült be, hogy közben csókra nyújtá a kezét; majd azzal a szeszéllyel, mely oly imádnivalóvá s kivált veszedelmessé tette, hirtelen megfogta a fiú fejét, homlokon csókolta, s így szólt:	0.24359
- Tử tước ơi mong rằng những điều chúc mừng của tôi và cái hôn này sẽ mang lại hạnh phúc cho anh.	- Vicomte, imádságom és csókom hozzon magának szerencsét!	0.375439
Rồi bà đẩy anh ra xa và bảo người xà ích đánh xe đến dinh Luynes.	Aztán eltaszította, s kocsisának felszólt, hogy hajtson a Luynes-palotába.	0.291429
Cỗ xe đã lăn bánh, bà de Chevreuse còn giơ tay ra hiệu với anh một lần cuối qua cửa xe, Raoul quay trở vào cứ ngẩn người ra.	A hintó elindult; a hercegné még egyszer intett az ifjúnak az ablakból, s az szédelegve baktatott vissza a lépcsőn.	0.237736
Arthos hiểu rõ những gì đã diễn ra và mỉm cười.	Athos megérezte, mi történt, s mosolygott.	0.204878
- Tử tước, lại đây, - anh nói, - đã đến lúc anh rút lui rồi đấy; ngày mai anh đi đến quân đội của Ngài hoàng thân, chúc anh ngủ ngon đêm cuối cùng của người thành thị.	- Jöjjön, vicomte - mondta -, itt az ideje, hogy nyugovóra térjen; holnap indul a Hercegúr táborába!	0.339855
- Tôi sẽ là người lính ư?	Töltse jól utolsó civil éjszakáját!	0.206897
- Chàng thanh niên hỏi.	- Tehát katona leszek?	0.857143
- Ôi!	- kérdezte az ifjú.	0.65
Thưa ông xin hết lòng cảm ơn ông!	- Ó, uram, szívből köszönöm!	0.251613
- Xin từ biệt bá tước, tôi trở về tu viện của tôi, - tu viện trưởng De Herblay nói.	- Isten vele, gróf - mondta D’Herblay abbé -, visszamegyek kolostoromba.	0.701493
- Xin từ biệt tu viện trưởng, - Ông chủ giáo nói - ngày mai tôi giảng kinh và tối nay có đến vài chục bài phải tham khảo.	- Isten vele, abbé - mondta a koadjutor -, holnap szentbeszédet mondok, s még húsz textust kell átnéznem ma éjjel.	0.515811
- Xin từ biệt quý vị, - bá tước nói, - còn tôi, tôi sẽ ngủ hai mươi bốn giờ liền, vì mệt mỏi lắm.	- Isten vele, uram - mondta Athos -, megyek, s huszonnégy órát alszom egyhuzamban, rogyok össze a fáradtságtól.	0.598142
Ba người chào nhau sau khi trao đổi với nhau một cái nhìn cuối cùng.	S a három férfi, még egy utolsó pillantást vetve, elbúcsúzott egymástól.	0.295775
Scarron liếc mắt theo dõi họ qua các ô cửa phòng khách.	Scarron, szalonja üvegajtaján át, figyelte őket a szeme sarkából.	0.268966
Chẳng có ai trong bọn họ sẽ làm như họ nói đâu. ~~~ Scarron lẩm bẩm với nụ cười ranh ma của mình.	- Egyik sem azt teszi, amit mond - dörmögte kismajom-mosolyával -, de csak menjenek a derék nemesurak!	-0.0230769
Nhưng họ cứ việc làm, những con người quý tộc trung hậu!	Ki tudja, vajon nem a nyugdíjam visszaszerzésén munkálkodnak-e!...	0.3
Biết đâu họ chẳng làm thế nào để trả lại trợ cấp cho ta?…, Họ thì họ có thể vung cánh tay lên, thế là quá nhiều; còn ta, than ôi!		-0.3
Ta chỉ có cái lưỡi, nhưng ta sẽ cố gắng chứng minh rằng đó là một cái gì đáng kể. ~~~ - Ơ này?		-0.3
Champenois, mười một giờ điểm rồi đấy.	Ők tudják mozgatni kezük-lábuk, s jaj, az nagy dolog!	0.2875
Đến đẩy ta về giường nào.		-0.3
Quả tình cái cô tiểu thư d Aubigné ấy thật là kiều diễm	Nekem csak a nyelvem ép, de meg­próbálom bizonyítani, hogy az is valami!	0.275806
Nói rồi, kẻ bại liệt tội nghiệp ấy biến vào trong buồng ngủ, cánh cửa khép lại sau lưng ông ta, và những ngọn đèn sáng lần lượt tắt dần trong căn phòng khách ở phố Tournelles. ~~~ Chú thích:		-0.3
chỉ một người đàn bà phong lưu đài các.	Hé, Champenois, az óra elütötte a tizenegyet!	0.286364
Nếu thằng bé không dành cho Viếcgin một nơi ở tử tế, thì mọi người sẽ rơi từ cái bờm của con giao ong (tiếng La-tinh)		-0.3
Một học giả Pháp (thế kỷ XVII), soạn những sách về ngôn ngữ và làm thơ.	Jöjjön, gurítson az ágyamhoz... Valóban, milyen csinos ez a D’Aubigné kisasszony!	0.29625
Thày tu giúp việc trợ giáo.		-0.3
Từ giã thế gian.		-0.3
(Tiếng la-tinh).		-0.3
cha Vincent là linh mục nghe xưng tội của hoàng hậu		-0.3
Hồi thế kỷ XVI, Christope Colone khám phá ra châu Mỹ tưởng là đã đi tới Ấn Độ, nên người ta quen gọi dân bản xứ là người Ấn Độ.	Erre a szegény béna eltűnt a hálószobájában, az ajtó becsukódott mögötte; és a gyertyák egymás után kialudtak a Tournelles utcai szalonban.	0.28
Martinique là một hòn đào ở Trung Mỹ.		-0.3
Alexandre Dumas		-0.3
Hai mươi năm sau		-0.3
Dịch giả: Anh Vũ		-0.3
Chương 24	24	16
Saint-Denis	Saint-Denis	1.8
Arthos trở dậy vào lúc trời vừa rạng sáng và mặc quần áo. ~~~ Qua nước da xanh tái nhiều hơn thường ngày và những dấu vết mất ngủ còn đọng lại trên gương mặt anh, rất dễ thấy rõ là hầu như suốt đêm anh không chợp mắt.	Pitymallott, mikor Athos már felkelt s felöltözködött; szokásosnál erősebb sápadtságáról s a virrasztás hagyta vonásokról az arcán látható volt, hogy az éjszakát jóformán álmatlanul töltötte.	-0.0154286
Trái với thói quen của một người vững vàng và dứt khoát ấy, sáng nay ở toàn bộ con người anh có một cái gì đó chậm chạp và lưỡng lự.	Ebben az általában határozott és elszánt emberben volt ma reggel valami lassúság és tétovaság.	0.11413
Anh đang sửa soạn cho sự ra đi của Raoul và tìm cách tranh thủ thời gian.	Igen, mert Raoul utazásának előkészületei foglalkoztatták, s ki akarta használni az időt.	0.482769
Trước tiên, anh tự mình trau chuốt thanh kiếm rút ra từ chiếc bao da ướp hương, xem xét chuôi kiếm có ngay ngắn không và lưỡi kiếm có gắn chặt vào chuôi không.	Először is illatos bőrtokból egy kardot vett elő, ő maga fente ki, megvizsgálta, elég biztonságos-e a markolata, s a penge elég szilárdan áll-e a markolatban.	0.253061
Rồi anh bỏ vào đáy chiếc va-li dành cho chàng trẻ tuổi một túi nhỏ đựng đầy tiền louis. ~~~ Anh gọi Olivain, một thằng hầu theo anh đi từ Blois, sai hắn xếp rương quần áo trước mặt mình, chăm lo chu đáo mọi thứ cần thiết cho một chàng thanh niên sắp ra trận.	Aztán a fiúnak előkészített útitáska mélyére egy kis erszény aranyat dobott, behívta Olivaint, az inast, akit Blois-ból hozott magával, az útipoggyászt a szeme előtt készíttette elő, ügyelve, hogy minden holmi belekerüljön, amire csak szüksége lehet egy táborba készülő ifjúnak.	-0.00333333
Cuối cùng, sau gần một tiếng đồng hồ giải quyết những việc tỉ mỉ ấy, anh mở cửa dẫn đến phòng tử tước và nhẹ nhàng bước vào.	Végül, legalább egy óra tevés-vevés, gondoskodás után, halkan benyitott a vicomte szobájába.	0.11413
Mặt trời đã rực rỡ rọi vào căn phòng qua những ô cửa sổ rộng rãi mà đêm qua Raoul về muộn đã quên không buông rèm.	A nap már sugarasan tűzött a szobába a széles szárnyú ablakon át, melynek függönyét a későn hazatért Raoul elmulasztotta összezárni.	0.435771
Cậu vẫn còn ngủ, đầu gối một cách duyên dáng lên cánh tay.	Még aludt, fejét kecsesen a karjára hajtva.	0.117073
Mớ tóc dài đen lánh phủ nửa vầng trán thanh tú và lấm tấm hơi nước ẩm ướt đang lăn thành giọt long lanh trên gò má của đứa trẻ mệt.	Hosszú fekete haja félig eltakarta bájos homlokát, melyen verejték gyöngyözött, és arcán is végigpergett, mint általában a fáradt gyermekekén.	0.285
Arthos đến gần, mình cúi xuống trong tư thế đầy về âu sầu trìu mến, anh ngắm hồi lâu cậu thiếu niên miệng đang mủm mỉm, mí mắt he hé, mà những giấc mơ hẳn là êm đềm và giấc ngủ nhẹ nhàng; vị thần hộ mệnh cậu đã đặt biết bao âu yếm và mến thương vào trong sự canh gác thầm lặng của mình.	Athos odament, gyöngéd-szomorkás testtartással föléje hajolt, sokáig elnézte a mosolygós ajkú, félig hunyt pillájú fiút, kinek álma bizonnyal édes, alvása könnyű volt: annyi gondos­kodást, szeretetet sugárzott rá néma őrködésében védangyala.	0.199587
Dần dà Arthos bị cuốn vào cơn mộng mê say trước cái thời thanh xuân đến là phong phú và trong sáng này.	És Athos szemtől szembe e gazdag és tiszta ifjúsággal, mindjobban átengedte magát ábrándozása varázsának.	0.288571
Tuổi thanh xuân của chính anh cũng lại hiện ra, mang theo tất cả những kỷ niệm ngọt ngào như hương thơm hơn là những tư tưởng.	Megjelent a saját ifjúsága, amaz édes emlékek, melyek inkább illatok, mint gondolatok.	0.0987805
Từ cái quá khứ ấy đến hiện tại là một vực thẳm.	E múlt s a jelen között szakadék tátongott.	0.178571
Nhưng trí tưởng tượng có cánh bay của thiên thần và tia chớp: nó vượt qua biển cả mà ta suýt bị chìm đắm, qua những bóng đêm mà áo giác của ta cũng tan biến, qua hang sâu mà hạnh phúc của ta bị nuốt chửng.	De a képzeletnek angyal- és villámröpte van: átszel tengereket, melyeken majdnem hajótörést szenvedtünk, sötét mélységeket, ábrándjaink elnyelőit, s örvényeket, melyekbe boldogságunk fulladt bele.	0.259794
Anh nghĩ đến cả chặng đầu của cuộc đời anh đã bị tan nát bởi một người đàn bà; và anh kinh hoàng nghĩ đến ái tình nó sẽ tác động đến thế nào đối với một tư chất vừa thanh tú vừa cường tráng như vậy.	Eszébe jutott, hogy élete egész első felét egy asszony zúzta össze; s borzalommal gondolt rá, micsoda hatással lehet a szerelem egy rendkívül finom és erőteljes szervezetre.	0.175926
Nhớ lại tất cả những gì mà mình đã phải chịu đựng, anh nhìn trước tất cả nhưng gì mà Raoul có thể sẽ phải chịu đựng và một niềm thương cảm trìu mến, sâu xa trào lên trong tim anh và toả ra cả cái nhìn ướt lệ của anh trùm lên cậu thiếu niên.	Elmúlt szenvedéseire emlékezve elképzelte, mennyi szenvedés várhat Raoulra is, s a szívét elfogó gyöngéd és mélységes szánalom megnyilvánult könnyes tekintetében is, ahogy most a fiú fölé hajolt.	0.180628
Vừa lúc ấy Raoul bừng tỉnh giữa cái cơn thức giấc trong trẻo không một gợn mây, không bóng tối và không mỏi mệt nó đặc trưng cho một số tư chắt tinh tế như loài chim.	Ebben a pillanatban Raoul felébredt abból a felhőtlen, szorongás és fáradtság nélkül való álomból, mely jellemző bizonyos, madárszerűen finom alkatokra.	0.376414
Đôi mắt Raoul dừng lại ở đôi mắt Arthos và chắc hẳn cậu hiểu rõ những gì đã diễn ra trong trái tim con người ấy đang chờ đợi sự tỉnh giấc của cậu như một tình lang chờ đợi phút tỉnh giấc của tình nương, vì rằng cái nhìn của cậu đến lượt mình chan chứa một niềm yêu thương vô bờ bến.	Szeme találkozott Athosé­val, s minden bizonnyal felfogta, mi minden zajlott e férfiú szívében, ki úgy várta ébredését, mint szerelmes a kedveséét, mert most már az ő tekintete is végtelen szeretetet sugárzott vissza.	0.12878
- Ông đứng đấy ư, thưa ông?	- Itt volt, uram?	0.56
- Cậu kính cẩn nói.	- kérdezte megilletődve.	1.00909
- Sao ông không đánh thức tôi?	- Itt voltam, Raoul - felelte a gróf.	0.675
- Phải, Raoul, tôi đứng đây, - bá tước đáp.	- És fel sem ébresztett?	0.46087
- Thấy anh ngủ ngon, tôi muốn để anh ngủ thêm chút nữa, anh bạn ạ; ngày hôm qua thức khuya quá, hẳn là anh rất mệt.	- Hagyni akartam, hadd élvezze még a jótékony álmot néhány pillanatig, barátom; fáradt lehet a tegnapi naptól, hisz késő éjszakába nyúlt.	0.409314
- Ôi thưa ông, ông tốt quá!	- Ó, milyen jó hozzám, uram!	0.706349
- Raoul nói.	- mondta Raoul.	1
Arthos mỉm cười và hỏi:	Athos elmosolyodott.	0.18
- Anh thấy trong người thế nào?	- Hogy érzi magát? ~~~ - kérdezte.	0.285484
- Thưa ông tuyệt diệu ạ, hoàn toàn lại sức và dễ chịu.	- Igazán kitűnően, uram, pihenten és jókedvűen.	0.5875
- Thế là anh còn lớn nữa đấy, - Arthos tiếp tục nói với vẻ quan tâm cha con và vẻ nhã nhặn của một người đứng tuổi đối với cậu thiếu niên - và ở tuổi anh sự mệt mỏi cũng gấp đôi.	- Ugyanis még fejlődésben van - folytatta Athos a felnőtt férfi atyai és kedves érdeklődésével ‑, s a fáradalmak kétszeresek a maga korában.	0.4
Thẹn thùng vì bao sự ân cần ấy, Raoul nói: ~~~ - Ôi! ~~~ Thưa ông, xin ông thứ lỗi cho; một lát nữa tôi sẽ ăn mặc xong ngay mà.	- Jaj, bocsásson meg, uram - mondta Raoul, ennyi gondoskodástól megszégyenülten -, de egy pillanat alatt felöltözködöm.	-0.139506
Arthos gọi Olivain và quả nhiên chỉ mười phút sau, với tính đúng giờ giấc mà Arthos từng trải trong quân ngũ đã truyền lại cho cậu con nuôi, chàng trai trẻ đã sẵn sàng.	Athos behívta Olivaint, s az ifjú tíz perc alatt, azzal a pontossággal, melyet Athos, a katonaságtól magával hozva, nevelt fiába ültetett, csakugyan el is készült.	0.242384
Cậu bảo tên hầu: ~~~ - Bây giờ anh sửa soạn hành trang cho tôi đi.	- Most pedig - mondta az ifjú az inasnak - fogjunk hozzá a csomagoláshoz!	0.0663043
- Hành trang của anh đang đợi anh, Raoul ạ, - Arthos nói.	- Poggyászai készen várják, Raoul - mondta Athos.	1.24255
- Tôi trực tiếp đôn đốc việc soạn va-li, và chẳng còn thiếu gì nữa.	- Szemem előtt folyt a csomagolás, semmije sem fog hiányozni.	0.460227
Cả va-li anh với rương hòm của thằng hầu chắc hẳn đã xếp lên ngựa rồi, nếu như người ta làm theo lệnh tôi.	Már ott lehetnek, inasa holmijával egyetemben, a lovakon, ha végrehajtották utasításomat.	0.181395
- Thưa bá tước, - Olivain nói, - mọi thứ đều đã làm theo ý ngài, và ngựa cũng đang đợi.	- Minden a gróf úr parancsa szerint történt - mondta Olivain -, s a lovak már várnak. ~~~ - És én aludtam!	0.248387
- Thưa ông, - Raoul kêu lên, - thế mà tôi thì ngủ trong khi ông hết lòng trông nom đến tất cả những việc nhỏ nhặt ấy!	- kiáltott fel Raoul. ~~~ - Míg a gróf úr szíves volt bajlódni helyettem!	0.0181818
Ôi, thưa ông, thật tình là ông ban cho tôi nhiều ân huệ quá.	Valósággal elhalmoz a jóságával, uram!	0.1275
- Như vậy là anh cũng yêu mến tôi một chút đấy chứ?	- Tehát szeret egy kicsit, legalábbis remélhetem?!	0.61875
Tôi hy vọng ít ra là như thế, - Arthos nói với giọng trìu mến.	- válaszolta Athos, majdnem elérzékenyült hangon.	0.630612
Raoul tự kiềm chế gần như đến ngạt thở để khỏi bộc lộ nỗi xúc động của mình bằng một cử chỉ bồng bột thân thương và kêu lên. ~~~ - Ôi thưa ông! ~~~ Ôi!	- Jaj, uram - sóhajtott Raoul, s nehogy meghatottságát valami érzelmi kitörésben nyilvánítsa, majdnem a bénaságig fékezte magát -, Isten a tanúm, mennyire szeretem és tisztelem!	-0.101212
Xin Chúa chứng giám tôi hết lòng yêu quý ông và tôn kính ông.		-0.3
- Này, anh xem có quên cái gì không. ~~~ - Arthos vừa nói vừa giả bộ tìm kiếm xung quanh để che giấu nỗi xúc động của mình.	- Nézzen szét, nem felejt-e itt valamit - s úgy tett, mintha maga körül tekingetne, hogy leplezze meghatottságát.	0.0575188
- Thưa không ạ, - Raoul nói.	- Nem, semmit sem, uram - mondta Raoul.	0.996429
Tên hầu đi tới gần Arthos với vẻ ngập ngừng và nói nhỏ:	Az inas ekkor, némi habozással, odament Athoshoz, s halkan mondta:	0.28
- Cậu tử tước không có kiếm, vì tối hôm qua ngài bá tước đã bảo tôi lấy đi thanh kiếm mà cậu đã bỏ ra.	- A vicomte úrnak nincsen kardja, mert a gróf úr tegnap este elvétette azt, melyet letett.	0.345221
- Được, - Arthos nói, - điều ấy tôi lo.	- Rendben van - mondta Athos -, ez az én dolgom.	0.830455
Raoul không tỏ ra nhận thấy cuộc đối thoại ấy.	Raoul mintha e beszélgetésről nem vett volna tudomást.	0.621795
Cậu đi xuống, chốc chốc lại nhìn bá tước để xem phút chia tay đã tới chưa, nhưng Arthos vẫn tỏ vẻ điềm nhiên.	Úgy indult lefelé, hogy minden pillanatban a grófra nézett, hadd lássa, eljött-e a búcsúpillanat; de Athosnak szempillája se rezzent.	0.295122
Đến bậc tam cấp. ~~~ Raoul trông thấy ba con ngựa.	A feljáró előtt Raoul három lovat talált.	0.159286
- Ô thưa ông, ông tiễn tôi ư?	- Jaj, uram - ujjongott fel -, velünk jön hát?	0.536559
- Cậu nói, mặt mày rạng rỡ hẳn lên.	- Elkísérem egy darabig - mondta Athos.	0.633333
Niềm vui mừng ánh lên trong mắt Raoul và cậu nhẹ nhàng nhảy lên mình ngựa.	Öröm csillámlott Raoul szemében, és könnyeden nyeregbe szökkent.	0.564103
Arthos cũng thong thả lên ngựa sau khi đã nói khẽ một lời với tên hầu, nên đáng lẽ đi theo sau ngay thì hắn trở lên nhà.	Athos lassan ült fel a lovára, miután az inasnak halkan mondott valamit, aki is, ahelyett hogy rögtön követte volna, visszament a lakásba.	0.2952
Raoul mừng rỡ được bá tước đi cùng, nên không nhận thấy hoặc làm ra bộ không nhận thấy gì hết.	Raoul boldogan, hogy a gróf társaságában lehet, mit sem vett, vagy úgy tett, mintha mit sem vett volna észre.	0.419388
Hai người quý tộc ra Pont Neuf, đi dọc các kè hay đúng hơn như hồi ấy người ta gọi là mảng Pépin, và đi men theo các bức tường của toà Biệt trang lớn Grand Chatelêt .	Átmentek az Új Hídon, végigmentek a rakparton, vagy inkább ott, amit akkor Pépin itatójának neveztek, s elhaladtak a Nagy Châtelet fala alatt.	0.201527
Họ vào phố Saint-Denis thì tên hầu đuổi kịp.	Befordultak a Saint-Denis utcába, mikor az inas utolérte őket.	0.558824
Họ đi đường rất im lặng.	Csendben folytatták útjukat.	0.27931
Raoul cảm thấy rõ ràng phút chia tay đang đến; cả ngày hôm qua bá tước bảo ban làm mọi thứ liên quan đến cậu.	Raoul érezten-érezte, hogy a búcsú pillanata közeleg; a gróf előző este, a rá vonatkozó dolgokban, megszokott modorában különféle utasításokat adott.	0.369128
Hơn nữa, những cái nhìn của ông tăng bội phần trìu mến, và vài lời ông bật ra chan chứa yêu thương.	Egyébként tekintete kétszeres gyöngédséget sugárzott, s el-elejtett szavaiban is kétszeresre nőtt az érzelmesség.	0.288991
Chốc chốc một suy nghĩ hoặc một điều khuyên nhủ thốt ra thì lời lẽ đầy vẻ ân cần lo lắng.	Időnként egy észrevétel vagy jó tanács szaladt ki a száján, s ezek is a féltő gondoskodás jegyében.	0.275
Sau khi qua cửa ô Saint-Denis, và tới ngang tầm toà Récollets, Arthos liếc nhìn con ngựa của từ tước và nói:	Miután átmentek a Saint-Denis kapun, s már a Récollets-zárda táján jártak, Athos egy pillantást vetett a Raoul lovára.	0.3
- Raoul, tôi vẫn thường bảo anh phải đề phòng điều này và chớ có quên, vì đó là một khuyết điểm lớn của một người cưỡi ngựa. ~~~ Nhìn xem!	- Vigyázzon, Raoul - mondta -, ezt már többször mondtam, és nem szabad elfelednie, mert lovasnál ez nagy hiba.	0.00378788
Con ngựa của anh đã mệt rồi, sùi cả bọt mép ra, trong khi con ngựa của tôi vẫn như mới ở chuồng ra.	Látja, lova már fáradt; izzad, pedig az enyém olyan, mintha most hozták volna ki az istállóból.	0.239326
Anh ghì hàm thiếc mạnh quá làm cho nó cứng cả mõm; và hãy chú ý, anh sẽ không thể làm nó vận động với sự lanh lẹn cần thiết.	Eldurvítja a száját, ha így feszíti a zablát; de figyelmeztetem, nem tudja majd a kellő könnyedséggel irányítani!	0.225688
Sự an toàn của người kỵ sĩ đôi khi nằm trong sự tuân theo lẹ làng của con ngựa.	Márpedig a lovas boldogulása sokszor lova gyors engedelmességében rejlik.	0.227143
Tám ngày nữa, anh hãy nhớ tới điều đó, vì anh sẽ không phải vận động trong một trường đua ngựa mà là trên một bãi chiến trường.	Jusson eszébe, hogy egy hét múlva már nem a lovardában, hanem a csatatéren lovagol!	0.0350649
Rồi để điều nhận xét ấy khỏi mang một vẻ quan trọng nặng nề đột nhiên Arthos nói tiếp:	Aztán, hogy ne adjon túl szomorú jelentőséget e megjegyzésnek, hirtelen így szólt:	0.22125
- Raoul xem kìa, cánh đồng đẹp thế kia; săn bắn chim đa đa thì tuyệt.	- Oda nézzen, Raoul, micsoda szép fogolymadár-reptető mező!	0.555747
Raoul được một bài học tốt và tỏ ra rất khâm phục, vì nó được đưa ra một cách tế nhị dịu dàng biết chừng nào.	A fiú megjegyezte a leckét, de főként azt csodálta, milyen gyöngéd tapintatossággal adták.	0.167045
- Hôm nọ tôi còn chú ý một điều nữa, - Arthos nói, - đó là khi dùng súng ngắn, tay anh duỗi thẳng quá, nên bắn mất chính xác.	- Azt is megfigyeltem a minap - folytatta Athos -, hogy célzás közben túlságos merev karral tartotta a pisztolyt.	0.510891
Vì anh bắn mười hai phát thì trượt ba.	Ez a merevség veszélyezteti a lövés biztosságát.	0.25
- Còn ông thì cả mười hai phát đều trúng đích, - Raoul cười đáp.	Tizenkét lövésből három el is tévesztette a célpontot!	0.212727
- Bởi vì tôi gập cánh tay và tì lên khuỷu tay.	- Bezzeg a gróf úr mind a tizenkétszer beletalált!	0.593617
- Raoul, anh có hiểu rõ điều tôi muốn nói không?	- felelte mosolyogva Raoul.	0.588
- Dạ, có ạ. Theo lời khuyên, tôi đã tập một mình và đã thành công mỹ mãn.	- Mert én behajlítottam a karomat, s így a kezemet úgyszólván a könyökömön nyugtattam.	0.488889
	Ugye érti, mit akarok mondani, Raoul?	-0.3
- Này, - Arthos nói tiếp, - cũng như khi tập đấu kiếm, anh công kích đối phương dữ quả.	- Értem, uram; azóta egyedül is lövögettem célba, tanácsai szerint, s tökéletes eredményt értem el. ~~~ - S még valamit - folytatta Athos -: vívás közben túl hevesen támad.	0.142857
Ở tuổi anh thường mắc khuyết điểm ấy, tôi biết lắm; những cử động của thân mình khi công kích thường làm trệch đường mũi kiếm; và nếu anh phải đương đầu với một địch thủ bình tĩnh, hắn sẽ chặn đứng anh từ nước kiếm đầu tiên anh chơi như vậy, bằng một miếng gỡ đơn giản hoặc bằng ngay một nhát đâm thẳng.	Ez életkora hibája, jól tudom; de a túl heves indulatok támadásban mindig kibillentik a kardot a vonalból; s ha hidegvérű emberrel kerülne szembe, már az első ilyen kitöréskor figyelmeztetné magát; egyetlen könnyű védéssel vagy éppenséggel egy egyenes vágással!	0.171084
- Vâng, như ông vẫn thường làm như vậy, nhưng chẳng ai có được lòng quả cảm và sự lanh lẹn khéo léo như ông.	- Igen, ahogy a gróf úr is gyakran elbánt velem, csakhogy nem mindenki rendelkezik ilyen ügyességgel és bátorsággal.	0.427339
Chà, một cơn gió mát!	- Micsoda hűvös szél kerekedett!	0.2
- Arthos nói, - đó là một kỷ niệm của mùa đông.	- folytatta Athos.	0.432353
Nhân tiện, dặn anh thêm; nếu anh đi ra tuyến lửa, mà anh sẽ ra thôi, vì anh đã được tiến cử với một vị trưởng rất mê thuốc súng, thì hãy nhớ rằng trong một cuộc chiến dấu đặc biệt, như thường hay xảy ra đối với những người kỵ binh chúng ta, hãy nhớ kỹ là đừng bao giờ bắn trước cả.	- Még a tél emléke ez... Aztán, mondja csak, ha majd tűzvonalba kerül, márpedig kerül, mert olyan ifjú hadvezérhez kapott ajánlást, ki él-hal a puskaporszagért, jól jegyezze meg, hogy párviadalban, amibe gyakran keveredünk, kivált mi, lovasok, jól jegyezze meg, hogy sohase lőjön elsőnek: aki elsőnek lő, ritkán találja el ellenfelét, mert eleve azzal a félelemmel lő, hogy utána fegyvertelen marad fegyveres ellenfele előtt.	0.227358
Kẻ nào bắn trước ít khi trúng địch thủ, bởi vì hắn nổ súng chẳng qua vì sợ mình sẽ bị mất súng trước một kẻ thù có súng; khi nào hắn bắn, anh hãy cho ngựa của mình chồm lên; cái động tác ấy đã hai ba lần cứu tôi thoát chết rồi đấy.	És amikor ellenfele lő, ágaskodtassa fel a lovát; ez az eljárás kétszer vagy háromszor is megmentette életemet.	-0.142857
- Tôi sẽ ứng dụng, dù chỉ là để tạ ơn.	- Alkalmazni fogom, már csak hálából is.	0.621154
- Ơ này!	- Nini!	1.21429
- Arthos kêu, - phải chăng kia là những kẻ săn bắn trộm bị người ta bắt giữ?	Tán nem vadorzókat fognak el ottan?	-0.154545
Ờ, đứng rồi.	- kérdezte Athos.	0.282353
Raoul, lại còn một điểm quan trọng nữa: nếu anh bị thương trong một cuộc công kích, nếu anh ngã ngựa và còn chút sức lực, thì rời ngay khỏi con đường mà trung đoàn anh đi, nếu không nó có thể trở lại và anh sẽ bị giày xéo dưới vó ngựa.	- De bizony, azokat... És még valami fontos dolog, Raoul: ha támadás közben megsebesül, lováról lezuhan, de marad némi ereje, húzódjék félre az ezred követte vonalból, mert visszafordulhatnak, s a lovak patái összetiporják.	0.232857
Bất cứ trường hợp nào, nếu bị thương, anh viết thư ngay cho tôi, hoặc nhờ người viết; chúng tôi rất thông thạo về những vết thương, - Arthos vừa nói thêm vừa mỉm cười. ~~~ - Xin cảm ơn ông.	Akárhogy is, ha megsebesül, írjon vagy írasson nekem, mihelyt lehet; a sebekhez értünk mi magunkfajták - toldta meg mondanivalóját mosolyogva.	0.00827068
