Bà Bô vary	Bovaryné	0.27
-Không, - nàng đáp.	– Nem ujítom meg. ~~~ – Miért?	-0.025
-Sao vậy?	– Mert…	0.3
-Bởi vì... Rồi, mím môi lại, nàng chậm chạp xỏ vào kim một sợi chỉ xám dài.	És, ajkát biggyesztve, lassan húzta ki munkájából tűjét és az ebbe bele fűzött hosszú, szürke czérnaszálat.	0.218824
Công việc ấy làm Lêông khó chịu.	Ez a munka amúgy is bosszantotta Léont.	0.283333
Đầu ngón tay ~~~ Emma dường như bị xướt da; một câu tình tứ thoáng qua đầu anh ta nhưng anh ta chẳng dám nói ra.	Ugy vette észre, hogy a tű kikezdte Emma ujjainak a hegyét; az a gondolat villant meg a fejében, hogy erre vonatkozólag valami bók-félét kellene mondania, de nem merte megkoczkáztatni a kedveskedő frázist.	-0.0666008
-Thế bà bỏ à?	– Hát egészen letesz róla?	0.105882
- Anh ta hỏi tiếp.	– folytatta a kérdezősködést.	0.0789474
-Gì cơ?	– Miről?	0.233333
-Nàng nói nhanh: - nhạc ấy à?	– szólt élénken Emma – A zenéről?	0.241935
Trời ơi, vâng!	Istenem, igen!	0.235714
Tôi chẳng còn có việc cửa nhà, việc chăm sóc chồng tôi, nghĩa là trăm công nghìn việc, vô vàn bổn phận phải làm trước hết ư!	A háztartás annyi dolgot ad!… gondját kell viselnem a férjemnek… végre ezer dolog van, számtalan kötelesség, a mi mind előbbrevaló!	0.274016
Nàng nhìn chiếc đồng hồ treo trên tường.	Ránézett a fali órára.	0.0125
Muộn rồi mà Sáclơ chưa về.	Károlynak már otthon kellett volna lennie.	0.225
Nàng liền làm ra vẻ lo lắng.	Emma egyszerre átváltozott aggódó feleséggé.	0.145161
Hai ba lần nàng nhắc đi nhắc lại:	Kétszer vagy háromszor is elmondta:	0.273529
-Nhà tôi hiền quá!	– Ő oly jó!	0.115385
Viên luật sư tập sự mến ông Bôvary. ~~~ Nhưng lời âu yếm của nàng đối với chồng nàng làm cho anh ta ngạc nhiên một cách khó chịu; song anh ta cứ tiếp tục khen ~~~ ngợi ông chồng mà theo lời anh ta, anh ta thấy ai cũng khen, nhất là tay dược sĩ. ~~~ -À!	A közjegyző segéde szerette Bovaryt, de ez a rossz helyütt alkalmazott gyöngédség kellemetlenül hatott rá; mindamellett ő is dicsérte Bovary urat, a kit különben, mint mondta, mindenki magasztal, különösen a gyógyszerész.	-0.150359
Đó là một con người trung hậu, - Emma đáp.	– Ó, a gyógyszerész nagyon derék ember!	0.255
-Hẳn thế rồi, - viên luật sư tập sự nói.	– szólt Emma. ~~~ – Bizonyára – felelte Léon.	-0.00326087
Và anh ta chuyển sang chuyện bà Hôme ăn mặc quá cẩu thả thường làm cho họ tức cười.	És Homaisnéról kezdett beszélni, a ki meglehetősen elhanyagolta a külsejét, s a kinek az öltözködésén máskor sokat mulattak.	0.205435
-Thế thì cái đó đã làm sao nào?	– Mit tesz az?	-0.15
- Emma ngắt lời.	– vágott közbe Emma.	0.233333
- Một bà mẹ hiền trong gia đình chẳng băn khoăn gì về cách ăn mặc của mình.	– A jó családanya nem törődik a toalettjével.	0.0652174
Rồi nàng lại nín lặng.	Azután megint szótalan maradt.	0.266667
Những ngày sau cũng thế; lời lẽ, cử chỉ của nàng, tất cả đều đổi khác, người ta thấy nàng toàn tâm toàn ý chăm lo việc nhà, lui tới nhà thờ đều đặn và sai bảo người hầu gái một cách nghiêm khắc hơn.	Igy volt a következő napokon is; viselete, szavai, modora, minden megváltozott. ~~~ Buzgón kezdett foglalkozni a háztartásával, eljárt a templomba és utána nézett, hogy mit csinál a cselédje.	-0.0398305
Nàng đem Béctơ về nhà nuôi.	Bertát visszavette a dajkától.	0.3
Fêlixitê mang đứa bé tới mỗi khi có khách đến chơi và Bà Bôvary cởi quần áo con ra để phô cho khách thấy tay chân con.	Ha látogatók jöttek, Félicité a kis lányt behozta a szobába, s Bovaryné levetkőztette gyermekét, hogy kövér lábacskáit és egész kis testét megmutogathassa a vendégeknek.	0.204
Nàng tuyên bố rất quý trẻ con; đó là niềm an ủi, niềm vui sướng, niềm say mê của nàng, nàng đã minh họa thêm điều đó bằng những cái vuốt ve êm dịu và những lời nói ngọt ngào bộc lộ tâm tình làm cho người không phải dân địa phương Yôngvin nhớ đến nàng Xasét trong tác phẩm Nhà thờ Đức Bà ở Pari.	Kijelentette, hogy imádja a gyerekeket; ez az ő vigasztalása, öröme, bolondsága, s beczéző szavait költői áradozásokkal kisérte, a melyek, Yonville lakosait kivéve, mindenkinek eszébe juttatták volna a Notre Dame de Paris Sachette-jét.	0.159459
Sáclơ, khi trở về, đã thấy gần đống tro đôi giày vải của mình được hơ ấm.	Károly most már, a mikor haza érkezett, megmelegített papucsot talált a tűzhely mellett.	0.281928
Áo gilê của hắn không còn thiếu lót, sơmi của hắn chẳng còn mất khuy, và thậm chí hắn còn thích thú thấy trong tủ áo tất cả các mũ trùm bằng vải bông được xếp thành từng chồng đều đặn.	Mellényének a bélése nem volt rongyos, ingeiről nem hiányzott a gomb. ~~~ Öröm volt látni, hogy pamut hálósipkái milyen szép két sorban voltak egymásra rakva a szekrényben.	-0.0435185
Nàng không cau có như trước kia lúc đi dạo cùng chồng quanh vườn; hắn đề nghị điều gì cũng được nàng ưng thuận mặc dù nàng chẳng đoán trước được những ý muốn mà nàng phục tùng không một lời kêu ca - và khi Lêông thấy hắn ngồi trước lò sưởi sau bữa ăn tối, hai bàn tay đặt lên bụng, hai chân gác lên giá sắt để củi, má đỏ lên do tiêu hóa, mắt ướt vì sung sướng, bên đứa con đang bò lê trên thảm và người phụ nữ thân hình mảnh dẻ ấy đến hôn vào trán hắn qua phía trên lưng ghế, thì Lêông tự nhủ:	Emma nem fintorgatta az orrát, mint azelőtt, ha arról volt szó, hogy talán lemehetnének a kertbe, egy kicsit sétálni; mindenbe beleegyezett, a mit Károly ajánlott, még akkor is, ha nem találta ki, hogy mi a czélja férjének: Károly szava parancs volt, melynek meghódolt egy szónyi ellenvetés nélkül. ~~~ És Léon gyakran láthatta ezt a családi képet: Károly, ebéd után, a kandallónál ül, két kezét a hasán, két lábát a tűzfogón pihentetve; arcza vörös az emésztéstől; szeme ragyog a boldogságtól; a gyermek a szőnyegen mászkál, s a karcsu asszony a karosszék mögül oda hajol férje homlokához és megcsókolja.	-0.00408348
-Mình thật là điên!	Gyakran látta ezt a családi képet és így szólt magában:	-0.104348
Thế kia thì làm sao mà đụng tới nàng được?	– Őrültség!… Hogy is képzelhettem!… Soha, soha se lehet az enyém!…	0.171429
Vậy là anh ta tưởng nàng quá đoan chính và quá vững vàng đến nỗi mọi hy vọng, cả thứ hy vọng mơ hồ nhất cũng rời bỏ anh ta.	Emma olyan erényesnek és hozzáférhetetlennek tünt fel előtte, hogy minden reményt elveszített, még a halavány reményt is.	0.253846
Nhưng do sự thoái lui ấy, anh ta đặt nàng vào những điều kiện dị thường.	De a mióta lemondott róla, egészen másforma lényt látott benne, mint a többi emberben.	0.3
Đối với anh ta, nàng vượt khỏi những cái đẹp về thể xác mà anh ta chẳng được hưởng gì; và trong lòng anh ta, nàng vươn lên cao mãi và thoát ly chúng một cách rực rỡ như một vị thần linh bay đi.	Emmának, az ő szemében, nem volt testisége; hiszen ettől a testiségtől ő semmit se várhatott. ~~~ És a szép asszony képe mind magasabbra emelkedett a szivében, oly nagyszerűséggel, a minővel a megdicsőülés látomásai szállhattak fel a magasba, mielőtt végképpen elrepültek.	-0.0346154
Đó là một trong những tình cảm thanh khiết không ngăn cản cái sinh hoạt bình thường người ta nuôi dưỡng vì chúng hiếm có và, mất chúng, còn đau khổ hơn là hân hoan khi có chúng.	Tiszta érzéssel volt iránta, olyan tiszta érzéssel, a mely nem igen zavarja, s nem igen változtatja meg az ember életét, – a melyet az ember szivesen ápol magában, mint valami ritka növényt, – azzal a tiszta érzéssel, mely, a míg meg van, nem sok boldogságot ad, s melynek az elvesztése mégis fájna és nagyon szomorúvá tenné az embert.	0.114286
Emma gầy đi, đôi má xanh xao, bộ mặt dài ra.	Emma lesoványodott, arcza megnyult és halovány lett.	0.648913
Với mái tóc đen, cặp mắt to, cái mũi dọc dừa, dáng đi như chim, và bây giờ luôn luôn thầm lặng, nàng há chẳng như đi qua cuộc sống mà không dính dáng mấy đến cuộc sống và nàng như mang trên trán cái dấu vết mơ hồ của một định mệnh cao siêu nào? ~~~ Nàng vừa quá buồn rầu, vừa quá bình tĩnh, vừa quá dịu dàng và vừa quá dè dặt, đến nỗi ở gần nàng người ta cảm thấy bị cám dỗ bởi một vẻ đẹp lạnh lùng, như người ta rùng mình trong nhà thờ bởi hương hoa lẫn hơi lạnh của cẩm thạch.	Simára fésült és kétfelé választott hajával, nagy szemével, egyenes orrocskájával és most már mindig csöndes járásával, mely a madarak járására emlékeztetett, úgy tünt fel, mintha a nélkül élné végig az életet, hogy érintkezésbe jutna a külső világgal, mintha alig lépne rá a földre; és homlokán mintha valamely magasztos végzetnek, talán a másvilági szebb jövőnek titokzatos, nem könnyen fölismerhető jelét lehetett volna észrevenni… Oly szomorú és oly nyugodt volt, annyira szelid és tartózkodó egyaránt, hogy az ő közelében valami kellemes hűvösséget érzett az ember, hasonlót ahhoz a jóleső hűvösséghez, mely a virágillattal teli templomok hideg márványoszlopai között borzongat meg bennünket.	-0.0423295
Cả những người khác cũng không thoát khỏi được sức quyến rũ đó.	Ez a sajátságos varázs nem csak Léonra, a többiekre is megtette a hatását.	0.274286
Tay dược sĩ nói:	A gyógyszerész kijelentette:	0.142105
- Đây là một phụ nữ có nhiều tài năng, một phụ nữ xứng đáng có địa vị trong một huyện lỵ.	– Olyan kiváló és nagy tehetségü asszony az, hogy ha egy járásfőnöknek volna a felesége, akkor is megállaná a helyét!	0.274286
Các bà ở thị trấn hâm mộ đức tính cần kiệm của nàng, bệnh nhân khâm phục cái lễ độ của nàng, người nghèo khổ ca ngợi lòng nhân đức của nàng.	A yonvillei asszonyok csodálták a gazdálkodni tudását, Károly betegei az udvariasságát, a szegények a könyörületességét.	0.195868
Nhưng lòng nàng đầy ham muốn, đầy phẫn nộ, đầy căm hờn.	Pedig tele volt mindenféle kivánsággal, dühös vágygyal és gyűlölséggel.	0.263636
Cái áo dài thẳng nếp kia che giấu một trái tim hỗn loạn, và cặp môi rất mực trinh bạch kia chẳng để lộ ra cơn dông tố của nó.	Az az egyszerűen ránczolt ruha kétségbeesett szivet takart, melynek viharait a szemérmes ajkak nem beszélték el.	0.208571
Nàng phải lòng Lêông rồi nàng tìm cảnh cô đơn để có thể vui thú với hình ảnh của anh ta một cách thoải mái hơn.	Szerelmes volt Léonba és a magánosságot kereste, hogy kedvére gyönyörködhessék szerelmesének a képében.	0.245192
Nếu nàng nhìn thấy con người anh ta, cái khoái lạc của sự trầm tư mặc tưởng đó sẽ bị quấy rối.	Léonnak a látása megzavarta ennek az álmodozásnak a gyönyörűségét.	0.126087
Emma hồi hộp khi nghe tiếng chân anh ta đi; rồi trước mặt anh ta, niềm xúc động của nàng tiêu tan, và sau đó, ở nàng, chỉ còn lại một nỗi ngỡ ngàng mênh mông kết thúc bằng một nỗi u buồn.	Ideges remegés fogta el, mikor hallotta, hogy Léon jön; de ha Léon ott volt mellette, izgatottsága elmult és ennek a helyén nem maradt egyéb, csak roppant csodálkozás, mely aztán szomoruságra vált.	0.265193
Leông không biết, khi anh ta ở nhà nàng bước ra thất vọng, nàng đứng dậy ở phía sau anh ta để được thấy anh ta ngoài phố.	Léon nem sejtette, hogy valahányszor elment tőle, elcsüggedve, leverten: Emma fölkelt és utána nézett, a meddig az utczán láthatta.	0.283065
Nàng băn khoăn về dáng đi đứng của anh ta; nàng dò xét vẻ mặt của anh ta; nàng bịa ra cả một chuyện để lấy cớ vào thăm buồng anh ta.	Nyugtalankodva érdeklődött az iránt, hogy Léon merre jár és mit csinál; kémlelte az arczát; egész mesét eszelt ki, hogy ürügyet találjon megnézni a szobáját.	0.279021
Vợ tay dược sĩ, theo nàng, thực là may mắn được ngủ dưới một mái nhà với anh ta, và mọi ý nghĩ của nàng không ngớt dồn dập vào căn nhà ấy, như những con chim bồ câu của quán Sư Tử Vàng đến đó nhúng những cặp chân hồng và đôi cánh trắng vào các máng nước.	Irigyelte a gyógyszerész feleségét, a ki ugyanazon tető alatt aludhatik, a mely alatt ő alszik; gondolatai folyton e körül a ház körül kalandoztak és le-leszállottak rá, mint az Arany oroszlán galambjai, a melyek ide jártak, hogy az eresz-csatornában megfüröszszék rózsaszínü lábaikat és fehér szárnyaikat.	0.290426
Nhưng Emma càng nhận ra mối tình của mình, nàng càng dồn nén nó xuống để nó khỏi lộ ra và để giảm bớt nó đi.	De minél tisztábban látta, hogy szereti Léont, annál inkább rajta volt, hogy féken tartsa, elrejtse és legyőzze szerelmét.	0.289655
Nàng những muốn Lêông nhận ra được mối tình đó; và nàng tưởng tượng đến những chuyện tình cờ, những biến cố có thể đem đến cho Lêông nhiều điều thuận tiện.	Szerette volna, ha Léon kitalálja titkát, és elképzelte, hogy minő véletlenek, micsoda katasztrófák idézhetnék elő, hogy a titkok zára felpattanjon.	0.211888
Cái gì ngăn giữ nàng lại, hẳn là thói lười biếng hay nỗi hoảng sợ và cả tính e thẹn nữa.	Attól azonban, hogy ehhez ő tegye meg az első lépést, visszatartotta a restség, a félelem és a szemérem is.	0.29697
Nàng nghĩ rằng nàng đã đẩy anh ta đi quá xa, bây giờ đã muộn rồi, mọi sự thế là hết.	Ugy képzelte, hogy minden reménytől megfosztotta Léont, hogy nagyon is messzire ment a visszautasitásban, hogy már késő, hogy mindennek vége.	0.183158
Rồi lòng tự trọng, niềm vui sướng được tự nhủ là "mình có đức hạnh", và được tự ngắm mình trong gương với những vẻ chịu đựng an ủi nàng đôi chút về sự hy sinh mà nàng tưởng nàng đã làm.	S a büszkeség, a magával való megelégedés, melylyel elmondhatta: "Erényes vagyok", az az öröm, hogy elnézhette magát a tükörben, melyben egy nagyon szenvedő és mindenről lemondó asszony alakját látta, megvigasztalta egy kissé, s valamivel könnyebbé tette a képzelt áldozatot.	0.234419
Thế là những thèm muốn về xác thịt, những khát vọng về tiền tài và những sầu muộn vì yêu đương, tất cả hỗn hợp lại trong cùng một nỗi khổ đau - và đáng lẽ không nghĩ gì đến nó nữa, nàng lại cứ bám lấy nó hơn nữa, cứ thúc đẩy mình lao vào buồn thảm, và cứ tìm kiếm mọi cơ hội để mà xót thương.	Ettől fogva a testi vágyak, a gazdagság után való sóvárgás és a szerelmével járó szomorúságok ugyanegy szenvedéssé folytak össze nála; – és a helyett, hogy másra igyekezett volna gondolni, egyre jobban ragaszkodott a boldogtalanságához: szinte édelgett a fájdalomban és kereste az alkalmat, hogy a szenvedéseivel izgathassa magát.	0.280892
Nàng bực dọc vì một món ăn nấu kém hay vì một cánh cửa hé mở, nàng rên rỉ vì chẳng có áo nhung, vì thiếu hạnh phúc, vì những mơ ước quá cao, vì nhà cửa quá chật hẹp.	Ha a cselédje egy tál ételt hanyagul szolgált fel, vagy ha egy ajtót véletlenül nyitva hagytak: ez már kihozta a sodrából; el tudott keseredni rajta, ha eszébe jutott, hogy selyemben-bársonyban nincs olyan bő része, mint sok más asszonynak, – s hogy a boldogság nem adatott meg neki; folyton siratta, hogy álmai nagyon magasra vinnék, s hogy háza nagyon szűk.	0.0629834
Điều làm cho nàng tức bực là Sáclơ chẳng tỏ ra hiểu biết tí gì về nỗi đau khổ của nàng.	De semmi se lázította fel annyira, mint az, hogy Károlyon egy cseppet se látszott meg, mintha csak sejtené is az ő szenvedéseit.	0.255
Cái điều hắn vững tin rằng hắn đã đem lại cho nàng hạnh phúc, đối với nàng dường như là một điều lăng nhục ngu xuẩn, và sự yên trí của hắn về mặt đó dường như là một sự bội bạc.	Károlynak az a meggyőződése, hogy boldoggá teszi a feleségét, olyan ostobaságnak tünt fel előtte, a mely őt sérti és megalázza; s a biztonságban, melyben férje ringatózott, mindezeken kivül még hálátlanságot is talált.	0.294203
	Mert kiért történik, hogy ő oly kifogástalanul viseli magát?	-0.3
Vậy thì vì ai mà nàng phải giữ tiết trinh.	Nem Károly-e a fő-akadálya minden boldogságnak?	0.293478
Phải chăng chính hắn là trở ngại của mọi hạnh phúc, nguyên nhân của mọi tai họa, và phải chăng hắn giống như miếng sắt nhọn của chiếc đai phức tạp ấy siết chặt nàng từ mọi phía?	Nem ő-e az oka minden nyomoruságnak? ~~~ Annak a sok szíjjból álló köteléknek, a mely a szegény asszonyt minden oldalról nyomorgatja, a csattján hegyes peczek van, mely a köteléket összeszorítja… a férj nem erre emlékeztet e?	-0.0044335
Do đó, nàng trút cả lên mình hắn bao nhiêu là căm hờn do từ những nỗi ưu phiền của nàng mà ra, và mỗi cố gắng để làm giảm nó lại chỉ làm nó tăng lên là vì cái công sức vô ích đó liên kết với những nguyên nhân thất vọng khác và góp phần hơn nữa vào sự xa rời nhau.	A sok gyűlölség tehát, mely elégedetlenségéből, boszúságaiból, gyötrődéséből fakadt, mind férje ellen fordult; és erőfeszítése, hogy békülékenyebb legyen Károlylyal szemben, csak növelte gyűlölségét, mert hiábavaló erőködése is szaporította a kétségbeesését előidéző okokat, és még inkább eltávolította férjétől.	0.257143
Ngay tính điềm đạm của riêng nàng cũng làm nàng giở bướng.	De a szelidebb pillanatai is, – az, hogy néha nyájasságot erőtetett magára, csak arra szolgáltak, hogy azután még jobban felháborodjék a tulajdon lanyhaságán.	-0.0761194
Cảnh tầm thường trong nhà xô đẩy nàng đến chỗ xa hoa quá trớn, những cái vỗ về âu yếm của người chồng dẫn nàng đến những ý muốn ngoại tình.	A szegényes életmód, melybe bele kellett törődnie, megkivántatta vele a fényűzés örömeit, s a házasélet kötelességei fölébresztették benne a házasságtörés vágyát.	0.290741
Nàng những muốn Sáclơ đánh đập nàng để nàng có thể ghét anh, trả thù anh một cách chính đáng hơn.	Szerette volna, ha Károly rosszúl bánik vele, ha veri, hogy még inkább megutálhassa, hogy alapos oka legyen a boszuállásra.	0.286239
Cũng có những lúc nàng ngạc nhiên về những trường hợp ghê gớm mà nàng giả định trong đầu óc; vậy mà nàng vẫn phải tiếp tục mỉm cười, nghe người ta nói đi nói lại với nàng là nàng sung sướng, làm ra vẻ như thế, làm cho người ta tin là thế!	Néha magát is meglepte, hogy milyen iszonyú sejtelmek járnak a fejében; és tovább is mosolyognia kellett, folyton azt hallania, hogy mindenki boldognak tartja, úgy tennie, mintha csakugyan az volna, elhitetnie az emberekkel, hogy nem tévednek, ő boldog!	0.252632
Tuy nhiên, nàng cũng không ưa sự giả dối ấy.	Néha azonban bele csömörlött ebbe a képmutatásba.	0.293878
Nàng đôi lúc mưu toan trốn đi với Lêông ở một nơi nào đó, thật xa, để thử một cuộc sống mới, nhưng lập tức, trong tâm hồn nàng, mở ra một vực thẳm mơ hồ, tối mò.	Elfogta a kisértés, hogy hátha elmenekülne Léonnal, valahová nagyon messzire, a hol új életet lehetne kezdeni? ~~~ !… De a hogy erre gondolt, mindig úgy rémlett neki, mintha egy nagyon sötét s bizonytalan mélységű szakadék tátongana előtte.	-0.0336066
-Vả lại, anh ta có yêu ta nữa đâu, - nàng nghĩ thế -thế thì sẽ ra sao?	– Különben is már nem szeret! ~~~ – gondolta.	-0.0988636
Đợi ai cứu vớt mình, an ủi mình, giải khuây mình?	De hát mittevő legyen? ~~~ Micsoda segítséget várjon?	-0.0117647
	Minő vigaszt vagy enyhülést reméljen?	-0.3
Nàng xúc động, nghẹn thở, ngây dại, nức nở khóc thầm và nước mắt ròng ròng chảy.	Megtörten, lihegve sóhajtozott, majd kimerülten roskadt össze; csöndesen zokogott és szeméből csurgott a könny.	0.255319
-Sao bà chẳng nói cho ông biết?	– Miért nem mondja el az urnak, hogy baja van?	0.227273
-Con bé đầy tớ hỏi nàng khi nó bước vào buồng giữa lúc nàng đang ở trong tình trạng ấy.	– kérdezte a cseléd, a ki éppen akkor lépett be a szobába, mikor Emmát ismét elfogta egy ilyen roham.	0.287097
-Bệnh thần kinh đấy, - Emma lập tức đáp -mày đừng nói với ông mà làm khổ ông.	– Csak ideges vagyok – felelt Emma. ~~~ – Ne szólj neki erről; elszomorítanád. ~~~ – Igen, igen – folytatta Félicité.	-0.112987
- À, vâng ạ, - Fêlixitê thưa lại, - bà đúng như chị Ghêrin, con gái lão Ghêranh, dân chài ở Pôlê mà con biết hồi con ở Điép, trước khi đến với bà.	– A nagysága éppen úgy van, mint a Guérin-lány, Guérin apónak, a pollet-i halásznak a lánya, a kit Dieppeben sokszor láttam, azelőtt, hogy a nagyságához jöttem.	0.290132
Chị ta buồn ơi là buồn, buồn đến nỗi thấy chị ta đứng ở ngưỡng cửa nhà cứ như thấy màn đám ma căng trước cửa.	A Guérin-lány olyan szomorú, de olyan szomorú volt, hogy, ha néha kiállott a ház elé, a küszöbre, az ember azt gondolta volna, hogy talán egy halottnak a szemfödelét akasztották ki az ajtóba.	0.190698
Bệnh của chị ta, qua triệu chứng bên ngoài, là một thứ sương mù mà chị ta mang trong đầu nên các thầy thuốc chẳng làm gì được cả, và ông linh mục cũng vậy.	A baja, úgy látszik, az volt, hogy valami homály volt a fejében, és a doktorok nem tudtak tenni erről, de a plébános se.	0.120561
Khi cơn đau mạnh quá, chị ta đi một mình ra bãi biển, thành ra ông quan hai thương chính, khi đi tuần qua, thường thấy chị ta nằm sấp thẳng cẳng trên đám sỏi mà khóc.	Mikor ez nagyon elfogta, kiment a tengerpartra egyesegyedül, úgy, hogy a vámtiszt, a ki őrjáratra indult, akárhányszor ott találta a part kavicsán, a mint a hasán feküdt és sirt.	0.277914
Rồi, sau lấy chồng, thế là khỏi, người ta bảo thế.	Hanem aztán, mikor férjhez ment, elmult a baja, azt mondják.	0.278182
-Nhưng, tao thì lấy chồng rồi, tao mới bị thế này, ~~~ -Emma đáp.	– Csakhogy én – felelt Emma – akkor kaptam meg ezt a bajt, mikor már férjnél voltam.	-0.0217391
VI	VI.	0.2
Một buổi chiều, ngồi bên thành cửa sổ mở, vào lúc vừa nhìn Lêtibuđoa, người bõ nhà thờ, đang chặt cành cây hoàng dương, nàng bỗng nghe thấy Tiếng chuông báo giờ đọc kinh.	Egy este, a mikor Emma a nyitott ablak párkányán üldögélve, elnézte, mi történik kívül – egy perczczel előbb még látta Lestiboudois-t, az egyházfit, a mint ez a puszpáng bokrokat nyírta – egyszerre csak hallja, hogy megcsendül az Angelus.	0.246316
Bây giờ đang đầu tháng tư, cây ngọc trâm đang nở hoa; một làn gió ấm thổi cuồn cuộn trên những luống đất đã cày, và các vườn tược cũng như các cô gái dường như đang điểm trang để đón các cuộc vui hè.	Április elején voltak, a mikor a kankalin már kinyilt; a mikor a megmunkált földeken langyos szellő játszadozik; a mikor a kertek, a nyár ünnepeire készülődve, mintha öltözködnének és cziczomáznák magukat, mint az asszonyok.	0.281604
Qua những gióng vòm cây và ngoài đó, khắp xung quanh, người ta trông thấy trong cánh đồng cỏ con sông vẽ trên nền cỏ những đường uốn khúc đây đó.	A kerti sátor keresztrudjai között és túl a sátoron, erre is, arra is, látni lehetett a folyót, mely hol jobbra, hol balra kalandozó, össze-vissza kanyarulataival kigyózó görbevonalat rajzolt a rét fűvére.	0.24
Sương chiều lan tràn qua các cây bạch dương trụi lá, xóa mờ hình dáng chúng bằng một màu tím, nhạt và trong hơn một thứ vải mỏng tinh vướng trên cành.	Az esti pára, mely a nyárfák között gomolygott, a még levéltelen fák körvonalait kissé elhomályosította violás színével; ez a violás színü pára halványabb és átlátszóbb volt, mintha egy nagy, s igen finom fátyol akadt volna fel a gallyakon.	0.178528
Đằng xa, đàn gia súc đang đi; người ta chẳng nghe thấy tiếng chúng bước lẫn tiếng chúng kêu; và trong không trung, tiếp tục vang lên, vang mãi tiếng chuông thánh thót êm đềm.	A messzeségben szarvasmarhák bandukoltak; nem lehetett hallani se a lépéseiket, se a bőgésüket; és a harang egyre szólt, tele zúgva a levegőt szelid panaszával.	0.23
Tiếng chuông rền làm cho tư tưởng người thiếu phụ lạc vào những ký ức xa xưa lúc còn thanh xuân và lúc lưu trú trong nhà tu.	A folytonos harangkongás felizgatta a fiatal asszony gondolkozását; ezek a bánatos hangok eszébe juttatták a régmultat, azt az időt, mikor a kolostorban élt.	0.270455
Nàng nhớ lại trên bàn thờ những cây đèn nến to, cao vượt những lọ đầy hoa và chiếc khám thờ có cột nhỏ.	Emlékei fölébredtek s szinte látta a roppant gyertyatartókat, melyek az oltáron magasabbra nyultak, mint a virággal teli nagy vázák és az oszlopocskákkal diszített szentségtartó.	0.167797
Nàng những muốn còn được hòa mình, như thuở ấy, trong cái hàng dài những khăn trùm đầu trắng, lác đác điểm đen bởi những chiếc mũ hình nón cứng nhắc của các bà phước cúi mình trên chiếc ghế đọc kinh; ngày chủ nhật ở cuộc lễ mixa, khi nàng ngẩng đầu lên, nàng bắt gặp nét mặt hiền hậu của Đức Bà đồng trinh, giữa những vòng khói hương màu lam nhạt bay lên.	Arra gondolt, milyen jó volna, ha most is, mint egykor, ott volna a fehér fátyolos alakok hosszú sorában, melyet csak itt-ott szakított meg egy kis feketeség: az imazsámolyaikra hajló kedves testvérek keményre vasalt kámzsája. ~~~ Eszébe jutott, hogy vasárnaponkint, a mise alatt, ha fölemelte a fejét, a tömjén kékesen kavargó füstoszlopának közepett ott látta a Szűz édes arczát.	-0.0196023
Thế là lòng nàng bỗng xúc động; nàng cảm thấy mình mềm yếu và bơ vơ như chiếc lông chim quay cuồng trong bão táp; rồi tự mình chẳng biết mình làm gì, nàng bước đến nhà thờ, sẵn sàng chịu bất kỳ sự thụ lễ nào, miễn là nàng uốn được cả tâm hồn vào đó và toàn bộ cuộc sống được tiêu tan trong đó.	És elérzékenyedett. ~~~ Annyira elhagyatottnak, oly puhának érezte magát, mint a milyen egy madárnak a pelyhe, mely ide-oda kering, forog a viharban; és a nélkül, hogy tudta volna, mit akar, megindult a templom felé, készen bármily ájtatosságra, csak legyen, a minek odaadhassa egész lelkét, úgy, hogy megfelejtkezhessék minden nyomorúságáról, arról is, hogy él.	-0.00181269
Trên quảng trường, nàng gặp Lêtibuđoa từ nhà thờ trở về; vì để khỏi hao ngày công, y thích bỏ dở việc làm, để rồi lại tiếp tục, thành ra y kéo chuông cầu kinh tùy theo sự tiện lợi riêng của y. Vả chăng, chuông kéo sớm báo trước cho các con trẻ giờ giảng đạo đã điểm.	A téren Lestiboudois-val találkozott, a ki már visszatérőben volt; mert, hogy jól használja fel a napját, előbb abbahagyta a másik foglalkozását, s azután megint hozzálátott, – úgy rendezvén el a dolgát, hogy az Angelus-t akkor harangozta el, a mikor egyéb munkája éppen engedte, s a mikor a megkezdett dolog félbeszakítása a legkevésbbé volt terhére.	0.268687
	Különben, ha korábban harangozott, mint kellett volna, ennek megvolt legalább az a haszna, hogy a fiúkat idejekorán figyelmeztette a hittan-órára.	-0.3
Đã có vài đứa đến trước rồi đang đánh bi trên đá lát nghĩa địa.	Ezek közül néhányan már meg is érkeztek s az óra kezdetét várva játszani kezdtek a temetőben.	0.244737
Mấy đứa khác, cưỡi lên tường, vừa tung chân, vừa lấy giày guốc hủy hoại những cây gai to mọc giữa khoảng đất nhỏ được rào kín và những ngôi mộ cuối cùng.	A legtöbben a sírok kőlapjain golyóztak; mások a temető falán lovagolva a lábukat lógázták s faczipőikkel szorgalmasan kaszálták a csalánt, mely a kőkerítés és a legutóljára ásott sírok között már jó magasra nőtt.	0.246067
Chỉ duy có chỗ này là xanh, còn toàn là đá, và thường xuyên phủ đầy một làn bụi mịn, mặc dầu người giữ kho đồ thánh của nhà thờ vẫn quét.	A temetőnek csak ezen az egy helyén zöldelt valami kevés növényzet; egyebütt nem lehetett mást látni, csak követ, melyet – noha a plébánia a seprésről való gondoskodást nem hanyagolta el – állandóan finom por borított.	0.202548
