TRỌNG ĐỨC	﻿HÖLGYEK ÖRÖME	0.192857
Gần đây kiếm được bao nhiêu lại đổ vào đấy cả, ông chỉ phải mỗi một cái tật là lòng chân thành tẩn mẩn, cố chấp theo thói cũ.	Utolsó nyereségei erre mentek rá; szőrszálhasogató becsületességében, a régi szokásokhoz való csökönyös ragaszkodásában ez volt egyetlen szenvedélye.	0.287671
— Kìa, – đột nhiên ông tuyên bố, – phải nhường bàn cho người khác… Thật là những lời vô bổ.	- No - jelentette ki hirtelen -, adjuk át az asztalt a többieknek... Kár a szót szaporítani!	0.20122
Mọi người thức tỉnh.	Mintha csak fölocsúdtak volna.	0.266667
Ngọn đèn hơi rít lên, trong không khí ngưng đọng, nóng bức của gian buồng nhỏ.	A gáz sziszegett a kis szoba nehéz, fülledt levegőjében.	0.122222
Mọi người đứng dậy, làm tan cái im lặng buồn nản.	Mind hirtelen felugrottak, megtörve a szomorú csendet.	0.258824
Nhưng Pépé ngủ say đến mức người ta đặt nó nằm dài trên những tấm molleton.	De Pépé olyan jól aludt, hogy a flanell­végekre fektették.	0.447368
Jean ngáp dài đã quay ra chỗ cửa ra phố.	Jean ásítozva állt ki újra az utcai ajtóba.	0.633333
— Và, để kết thúc, cháu làm gì tùy ý, – Baudu nhắc lại với cháu gái.	- Egy szó, mint száz, azt teszed, amit akarsz - ismételte Baudu unokahúgához fordulva.	0.492208
– Chứ thím nói cho cháu biết mọi sự thế thôi… Còn công việc của cháu là công việc của cháu.	- Mi csak elmondjuk neked, hogy áll a dolog, ez az egész... De ami a te dolgod, az a te dolgod.	0.2
Ông nhìn cô như thúc ép, ông đợi cô giả nhời dứt khoát.	Sürgette a tekintetével, várta a határozott választ.	0.242308
Denise càng mê hiệu Hạnh phúc các bà vì những chuyện đó, không đánh lảng mà vẫn giữ vẻ bình tĩnh dịu dàng, kỳ thực là ý chí bướng bỉnh của người xứ Normandie.	Denise, akiben ezek a történetek még erő­sebb szenvedélyt ébresztettek a "Hölgyek Öröme" iránt, ahelyett, hogy eltérítették volna tőle, megőrizte nyugodt, szelíd arckifejezését, amely mögött a normandiai lányok önfejű akarata rejtőzött.	0.205618
Cô chỉ đáp:	Mindössze ennyit válaszolt:	0.04
— Để xem đã, thưa chú.	- Majd elválik, bácsikám.	0.288462
Và cô nói phải lên ngủ sớm với lũ trẻ, vì cả ba đều mệt lắm rồi.	És arról beszélt, hogy fölmegy és korán lefekszik a gyermekekkel, mert igen fáradtak mind a hárman.	0.232895
Nhưng sáu giờ mới vừa điểm, cô những muốn ở lại một lúc trong cửa hàng.	De alig múlt hat óra, és szívesen maradt még egy darabig a boltban.	0.191803
Trời tối, cô lại thấy đường phố tối om, ướt át vì một cơn mưa nhỏ mà mau từ lúc mặt trời lặn.	Beesteledett, az utcára sötétség borult, áztatta a sűrűn szitáló eső, mely már napnyugta óta hullott.	0.27
Đó là điều làm cô ngạc nhiên: không mấy chốc mà mặt đường đã loang lổ những vũng nước, những rãnh cuốn đi nước bẩn, một lớp bùn dày bị chân dẫm nhớp nháp trên các bờ hè; và, dưới cơn mưa rào tầm tã chỉ thấy diễu qua lộn xộn những chiếc ô, xô nhau, căng phồng y như những chiếc cánh lớn đen sẫm trong bóng tối.	Ez meglepte Denise-t: néhány pillanat alatt az egész kocsiút csupa pocsolya volt, a folyókákban hömpöly­gött a piszkos víz, vastag, összetaposott sár maszatolta be a járdát, s a csapkodó záporban csak az esernyők zavaros felvonulása látszott, amint felfúvódva, fenyegető, nagy szárnyakhoz hasonlóan össze-összeverődtek a sötétben.	0.271698
Thoạt tiên, cô lùi lại, vì bị lạnh, lòng càng thắt lại vì cửa hàng vào giờ này sáng lờ mờ, thê thảm.	Denise először hátrahúzódott, borzongott, szíve még jobban elszorult a rosszul világított boltban, mely most végtelenül gyászosnak látszott.	0.233628
Một làn hơi ẩm, hơi thở của khu phố cũ, từ ngoài đường thổi vào; dường như ô trôi thành suối tới những quầy hàng, nền đường với bùn và những vũng nước đột nhập, làm mốc cả tầng nhà đất cổ, trắng xóa diêm tiêu, cả một quang cảnh Paris cũ ướt sũng nước khiến cô lạnh run, ngỡ ngàng đến não ruột thấy cái thành phố lớn giá lạnh và xấu xí đến thế.	Nedves szellő, a régi városrész lehelete áradt be az utcáról, úgy tetszett, mintha az esernyőkről lecsurgó víz a pultokig áradna, mintha bejönne az utca kövezete, sarastul, pocsolyástul, és végképpen megpenészesítené ezt a salétromtól fehér, ócska földszinti odút. ~~~ Megjelent előtte az átázott vén Párizs látomása; vacogott a foga, fájdalmas csodálkozással döbbent rá, hogy milyen dermesztő, milyen csúf ez a nagyváros.	-0.00378788
Nhưng, bên kia đường, hiệu Hạnh phúc các bà đã thắp những dãy đèn hơi chạy dài.	De a kocsiút túlsó oldalán, a "Hölgyek Örömé"-ben most gyújtották meg a gázlámpák mélyre nyúló sorát.	0.253333
Và Denise bước lại gần, cô bị thu hút và dường như được sưởi ấm bởi cái trung tâm ánh sáng rực rỡ kia.	És Denise nézte, újra magához vonzotta, szinte melegítette ez a lángoló, fényes tűzhely.	0.409635
Cỗ máy vẫn nổ ầm, vẫn hoạt động, xả hơi trong gầm rú cuối cùng, trong khi những nhân viên bán hàng gấp vải và những thủ quỹ đếm tiền thu nhập.	A gép még egyre zakatolt, folyvást működött, utolsót szusszantva engedte ki gőzét, míg az elárusítók a szöveteket hajtogatták, és a pénztárosok a bevételt számolták.	0.29441
Qua những tấm kính mờ đi vì hơi nước, nhan nhản đốm sáng chập chờn, cả một cảnh tượng hỗn độn bên trong nhà máy.	A bepárá­sodott ablaküvegeken keresztül a fények zűrzavaros nyüzsgése látszott, egy üzem kusza belseje.	0.224272
Đằng sau màn mưa đang rơi, cái hiệu bị đẩy lùi, rồi nhòa đó mang vẻ một buồng đốt than khổng lồ, ở đó những bóng đen của thợ đốt lò qua lại trên ánh lửa đỏ của nồi súp-de.	A hulló eső függönye mögött távolabb tolódott és megzilálódott a jelenés, óriási kazánháznak látszott, ahol a fűtők fekete árnyai mozognak a vörösen lobogó kazánok előtt.	0.256395
Những tủ kính chìm biến đi, trước mặt chỉ thấy những đăng-ten như tuyết được những bóng mờ của một dây đèn hơi làm cho màu trắng sáng rực lên; và, trên cái phòng miếu thờ ấy, những hàng may sẵn linh hoạt hẳn lên, chiếc măng-tô nhung lớn viền lông cáo trắng mang đường nét của một người đàn bà không đầu, chạy dưới mưa rào tới cuộc hội hè nào đó, trong bóng đêm xa lạ của Paris.	A kirakatok belevesztek a homályba, csak a csipkék havas fehérsége látszott odaát, amit még elevenebbé tett egy sor gázlámpa homályos üvegje; s e templomi háttérből élénken emel­kedtek ki a készáruk, az ezüstrókaprémes bő bársonyköpeny kidüllesztett mellű, fejetlen nőnek látszott, aki a záporesőben valami mulatságra siet Párizs sötétjének leple alatt.	0.229155
Denise bị cám dỗ, bước sang tận cửa, không ngại nước mưa bắn tung tóe ướt cả.	Denise engedett a kísértésnek, előbbre ment az ajtóig, nem törődve a fölfreccsenő víz­csöppekkel, melyek egészen átáztatták.	0.351751
Vào giờ khuya này, với ánh rực rỡ như lò lửa của nó, hiệu Hạnh phúc các bà trọn vẹn mê hoặc cô gái.	Ezen az esti órán, kohófényével, végképpen meg­babonázta a "Hölgyek Öröme".	0.178481
Trong cái thành phố lớn, tối đen và câm lặng dưới mưa, trong cái thành phố Paris xa lạ với cô, ngôi hàng sáng rực như một ngọn đèn pha, dường như chỉ duy nhất nó là ánh sáng và cuộc sống của đô thành.	A nagyvárosban, mely fekete és néma volt az eső hullása közben, ebben az ismeretlen Párizsban világítótorony módjára lángolt ez az áruház, s úgy látszott, mintha egymaga volna a város fénye és élete.	0.257368
Ở đó cô mơ ước đến tương lai, có nhiều việc làm để nuôi dạy hai đứa trẻ, với bao nhiêu điều khác nữa, cô không biết nó là cái gì, những điều xa xôi mà ước vọng và sợ hãi làm cô rùng mình.	Denise a jövőjéről álmodott: sok munka, hogy fölnevelhesse a gyermekeket, és még sok egyéb, nem tudta, mi, távoli dolgok, vá­gyott rájuk, félt tőlük, s vágyában és félelmében reszketett.	0.248619
Cô nhớ lại cái chuyện người phụ nữ chết ở nền nhà nơi đó; cô đâm sợ, cô tưởng như trông thấy những đốm sáng nhuốm máu; rồi màu trắng của đăng-ten làm cô nguôi đi, một niềm hy vọng trào lên, cả mối hân hoan tin chắc; trong khi đó mưa bay làm lạnh hai bàn tay và làm dịu nỗi bực dọc của chuyến đi.	Ismét eszébe jutott az az asszony, aki meghalt ennek az épületnek az alapkövei között; félelem fogta el, azt hitte, vérezni látja a fényt; aztán megnyugtatta a csipkék fehérsége, reménység szállt a szívébe, a boldogságnak egész bizonyossága; a szétporló eső eközben lehűtötte a kezét, és lecsön­desítette benne az utazás lázát.	0.290536
— Bourras đấy, – một tiếng nói phía sau lưng cô.	- Ez Bourras - mondta egy hang a háta mögött.	0.467727
Cô nghiêng đầu nhận ra Bourras, cô nhận ra Bourras, lặng đứng ở đầu phố, trước chiếc tủ kính mà sáng nay cô đã thấy trong đó những ô và can xếp thành cả một công trình khéo léo.	Előrehajolt és meglátta Bourras-t, aki mozdulatlanul állt az utca végén, az előtt a kirakat előtt, ahol Denise reggel azt a leleményes építményt látta esernyőkből és botokból.	0.253571
Ông già cao lớn lẩn vào bóng tối, đắm đuối nhìn cái cửa hàng đắc thắng kia; vẻ mặt đau đớn, lão cũng chẳng cảm thấy mưa xối trên đầu trần, ướt đẫm làn tóc bạc.	A magas öreg­ember odasurrant a sötétben, hogy legeltesse a szemét ezen a diadalmas kirakaton; fájdalmas arccal állt ott, nem is érezve az esőt, mely csupasz fejét csapkodta, és lecsurgott fehér haján.	0.298378
— Lão ấy thật ngu xuẩn, – tiếng nói kia nhận xét, – lại đến ốm cho mà xem.	- Bolond - jegyezte meg a hang -, belébetegszik.	0
Bấy giờ, quay lại, Denise lại thấy gia đình Baudu đứng phía sau.	Denise ekkor megfordult, és látta, hogy ismét Bauduék állnak a háta mögött.	0.513378
Cũng như Bourras mà họ cho là ngu xuẩn, dù không muốn, họ vẫn trở lại chỗ đó, trước cái cảnh tượng xé ruột họ.	Akaratuk ellené­re, éppen úgy, mint Bourras, akit ostobának találtak, mindegyre visszatértek ide, e látványhoz, mely összetörte a szívüket.	0.2736
Cả mối điên cuồng chuốc lấy đau đớn.	Vadul vágyódtak a szenvedésre.	0.154839
Geneviève, mặt tái nhợt, đã nhận thấy Colomban nhìn phía tầng gác trên, bóng những cô bán hàng diễu trên những tấm kính; và trong khi ông Baudu nghẹn ngào vì mối hiềm thù thâm căn, mắt bà Baudu nhòa lệ, lặng lẽ.	Geneviève halottsápadt volt, észrevette, hogy Colomban az elárusító kisasszonyok árnyékait nézegeti, amint a félemelet ablakai előtt elsuhannak; Baudut fojtogatta az ismét feltámadó bosszúvágy, Bauduné pedig halkan sírdogált.	0.398924
— Ngày mai cháu sang đó phải không?	- Ugye, jelentkezel ott holnap?	0.192857
– Rốt cuộc lão buôn dạ, băn khoăn ngờ vực, lên tiếng hỏi, vả chăng ông cảm thấy rõ cháu gái cũng bị chinh phục như mọi người.	- kérdezte végül a posztókereskedő, akit gyötört a bizony­talan­ság, ámbár jól tudta, hogy unokahúga is behódolt, mint mindenki más.	0.274809
Cô ngập ngừng, rồi dịu dàng nói:	A leány habozott, aztán szelíden felelte:	0.284211
— Vâng, thưa chú, trừ phi điều đó không làm chú quá buồn phiền.	- Igen, bácsikám, ha nem okozok vele túlságosan nagy fájdalmat magának.	0.286765
CHƯƠNG 2	2	15.6
* ~~~ Hôm sau lúc bảy giờ rưỡi sáng, Denise đã đứng trước hiệu Hạnh phúc các bà.	Másnap Denise már fél nyolckor a "Hölgyek Öröme" előtt volt.	0.0702619
Cô muốn tới đây trước khi dẫn Jean tới nhà ông chủ mới của hắn, ông này ở xa, ngược lên tận đầu khu ngoại ô Temple.	Jelentkezni akart ott, mielőtt a gazdájához kísérné Jeant; a mester messze lakott, a Temple külváros felső részében.	0.251786
Nhưng vì quen dậy sớm, cô xuống sớm quá: những viên thư ký mới đến lác đác; và, sợ người ta cười, đâm ra nhút nhát, cô quanh quẩn một lúc ở quảng trường Gaillon.	De mivel megszokta a koránkelést, túlságosan hamar ment le az utcára: a segédek csak most szállingóztak. ~~~ Nem akart nevetségessé válni, elbátortalanodva topogott egy darabig a Gaillon téren.	0
Gió lạnh thổi làm khô đường phố.	Hideg szél fújt, és felszárította a kövezetet.	0.2475
Từ các ngả trong ánh ban mai mờ nhạt dưới nền trời màu tro, những viên thư ký hăm hở đi tới, cổ áo bành-tô kéo lên, tay đút túi, bị bất chợt vì cái rợn đầu tiên của mùa đông.	Az utcákból, melyeket a hamuszín égből szivárgó, sápadt napfény világított meg, mindenfelől siető segédek bukkantak ki, feltűrt kabátgallérral, zsebre dugott kézzel, meglepve a tél első borzongásától.	0.290674
Phần lớn đi một mình và biến mất hút vào trong cùng cửa hàng, không nói một câu nào và cũng không nhìn các bạn đồng nghiệp đi bước dài quanh họ; những người khác đi hai ba người một, nói nhanh, dăng hàng ngang bờ hè; và tất cả, cùng một cử chỉ, trước khi vào, ném thuốc lá hay xì gà xuống rãnh.	A legtöbb egyedül jött, és eltűnt az áruházban, szóra vagy tekintetre sem méltatva mellette siető kollégáit; mások kettesével vagy hármasával érkeztek, gyorsan beszéltek, elfoglalták az egész gyalogjárót, és belépés előtt valamennyien ugyanazzal a mozdulattal vetették a folyókába cigarettájukat vagy szivarjukat.	0.287213
Denise nhận thấy nhiều người trong các ông ấy đi qua nhìn cô chòng chọc.	Denise észrevette, hogy a férfiak közül többen is megnézték, miközben elhaladtak mellette.	0.492308
Thế là cô càng nhát, cô không còn cảm thấy đủ mạnh bạo đi theo họ, cô quyết định chỉ khi nào họ vào hết mình mới vào, mặt đỏ lên khi nghĩ rằng vào cửa cô sẽ bị xô đẩy giữa những người đàn ông đó.	Félénksége nőttön-nőtt, úgy érezte, nem mer utánuk menni, elhatározta, hogy csak akkor megy be, ha már véget ért a bevonulás; elpirult arra a gondolatra, hogy a kapuban lökdösődjék a sok férfi között.	0.248168
Nhưng người ta vẫn tiếp tục vào, để tránh cho họ khỏi nhìn, cô thong thả đi vòng quanh quảng trường.	De a felvonulás tovább tartott, és hogy meneküljön a pillantások elől, lassan megkerülte a teret.	0.238043
Khi cô trở lại, cô thấy đứng sừng sững trước cửa hiệu Hạnh phúc các bà một gã con trai lớn, xanh xao và ưỡn ẹo, từ mười lăm phút nay dường như cũng chờ như cô.	Visszaérve, a "Hölgyek Öröme" előtt egy elhanyagolt külsejű, magas, sá­padt fiatalembert látott, aki, úgy látszik, szintén egy negyedórája várakozott ottan, akárcsak ő.	0.278313
— Thưa cô, – cuối cùng hắn ấp úng hỏi cô, – cô hình như bán hàng ở cửa hiệu này?	- Kisasszony - kérdezte végre remegő hangon a fiatalember -, maga talán elárusító a cégnél?	0.282759
Cô gái xúc động vì gã con trai lạ mặt hỏi cô nên thoạt tiên không trả lời.	Denise-t nagyon felizgatta, hogy az ismeretlen fiatalember megszólítja, s először nem is felelt.	0.27439
— Là vì, cô biết cho, – hắn càng lúng túng nói tiếp, – chả là tôi định vào xem họ có lấy tôi vào làm không, và cô có thể mách tôi.	- Mert tetszik tudni - folytatta még jobban megzavarodva a fiatalember -, szeretném meg­próbálni, hátha fölvennének, s maga talán adhatna valami útbaigazítást.	0.280986
Hắn ta cũng nhút nhát như cô, và vì hắn cảm thấy cô cũng run rẩy như hắn nên đánh liều đến gần cô.	A fiatalember éppen olyan félénk volt, mint ő, és csak azért merte megszólítani, mert érezte, hogy ő is fél.	0.279412
— Tôi sẽ vui lòng, thưa ông, – cuối cùng cô đáp.	- Szívesen megtenném - felelte végre Denise -, de én is épp azért jöttem, hogy jelentkezzem.	0.127778
– Nhưng tôi cũng chẳng hơn gì ông, tôi cũng đến xin việc.	- Ó, nagyon helyes - mondta a fiatalember teljesen megzavarodva.	0.268421
— À ra thế, – hắn hoàn toàn bối rối nói.	Erősen elpirultak.	-0.142105
Và cả hai đều đỏ nhừ mặt, hai con người cùng nhút nhát đối diện một lúc, ái ngại vì cùng chung một hoàn cảnh, nhưng không dám nói ra lời chúc nhau may mắn.	A két félénk teremtés egy pillanatra szemben állott egymással, meghatotta őket helyzetük rokonsága, de mégse mertek hangosan jó szerencsét kívánni egymásnak.	0.270588
Rồi, vì họ không nói gì thêm và càng làm phiền nhau hơn, họ chia tay một cách vụng về, mỗi bên ra một chỗ cách nhau vài bước, lại đứng chờ.	Aztán, hogy nem szóltak semmit és egyre nagyobb zavarba jöttek, ügyetlenül elváltak, és várni kezdtek újra, ki-ki magában, néhány lépésnyire egymástól.	0.29396
Những viên thư ký vẫn tiếp tục vào.	A segédek még egyre özönlöttek.	0.227273
Bây giờ Denise nghe tiếng họ nói bỡn khi họ qua gần và đưa mắt liếc nhìn cô.	Denise most már hallotta tréfálkozásukat, amint elhaladtak mellette, egy-egy oldalpillantást vetve rá.	0.476552
Cô càng thêm bối rối vì trở thành vật cho người ta ngắm, cô đang định đi dạo trong khu phố độ nửa giờ thì trông thấy một chàng trẻ tuổi đi hấp tấp từ phố Port-Mahon tới, khiến cô nán lại một phút nữa.	Zavara nőttön-nőtt, hogy így az emberek szeme előtt áll; elhatározta, hogy sétál még egy fél órát a környéken, és ekkor megpillantott egy fiatalembert, aki sietve jött a Port-Mahon utca felől, s Denise megállt egy pillanatra.	0.363428
Chắc đây phải là gian hàng trưởng, vì hết thảy mọi thư ký đều chào anh ta.	Nyilván valamelyik osztály vezetője lehetett, mert minden segéd köszönt neki.	0.268
Anh ta người cao lớn, nước da trắng, râu chải chuốt, và mắt anh màu vàng già, dịu như nhung, ngắm nhìn cô một lúc khi anh qua quảng trường.	Magas termetű volt, bőre fehér, szakálla ápolt; a szeme óarany színű, tekintete bársonyos; rápillantott a leányra, amint átment a téren.	0.263359
Anh ta đã vào cửa hàng, vô tình, cô vẫn đứng im, lòng xao xuyến vì cái nhìn đó, đầy một niềm xúc động lạ lùng, trong đó khó chịu nhiều hơn là thoải mái.	Azzal már be is lépett az áruházba, közömbösen; Denise még mindig mozdulatlanul állt, lelkét felzaklatta ez a tekintet, különös izgatottság fogta el, melyben több volt a szorongás, mint a gyönyörűség.	0.25509
Quả thật, sợ hãi xâm chiếm cô, cô liền thủng thẳng xuôi theo phố Gaillon, rồi phố Saint-Roch, để chờ bạo dạn trở lại.	Határozottan félelmet érzett, lassan végigsétált a Gaillon utcán, aztán a Szent Rókus úton, addig is, míg visszanyeri a bátorságát.	0.288281
Người ấy, cao hơn cả gian hàng trưởng, là đích thân Octave Mouret.	Az a fiatalember több volt, mint osztályfőnök, Octave Mouret volt, tulajdon személyében.	0.47584
Đêm qua anh không ngủ, vì ra khỏi buổi dạ hội của một viên trọng mãi, anh ta đã đi ăn tối cùng một người bạn và hai cô gái lượm được trong hậu trường một nhà hát nhỏ.	Nem aludt ezen az éjszakán, mert egy tőzsdeügynök estélyéről jövet vacsorázni ment egy barátjával és két nővel, kiket egy kis színház kulisszái mögött szedtek föl.	0.253416
Chiếc áo bành-tô cài khuy anh mặc che giấu lễ phục và cà-vạt trắng.	Begombolt felöltője eltakarta frakkját és fehér nyakkendőjét.	0.242857
Hăm hở, anh lên buồng riêng, rửa mặt và thay quần áo; và, khi anh tới ngồi vào bàn giấy trong phòng làm việc của anh ở tầng trên, thì anh đã khỏe khoắn, con mắt tinh nhanh, da dẻ tươi mát, lao vào công việc tưởng như anh vừa ngủ dậy sau mười giờ liền.	Gyorsan fölment a lakására, megmosakodott, átöltözött; s mikor a félemeleten levő dolgozószobájában leült az íróasztalához, már teljesen éber volt, szeme eleven, bőre friss, s olyan hévvel feküdt neki a munkának, mintha tíz órát töltött volna az ágyban.	0.27439
Phòng làm việc, rộng rãi, bày đồ gỗ sồi lót vải len xanh lá cây, chỉ có đồ trang trí duy nhất là một bức chân dung, chân dung cái bà Hédouin mà khu phố còn nói đến.	A régi tölgyfa bútorral berendezett és zöld ripsztapétás hatalmas dolgozószobának egyetlen ékessége egy arckép volt, annak a bizonyos Hédouinnénak az arcképe, akiről még egyre beszéltek a környéken.	0.269143
Từ khi bà không còn nữa, Octave vẫn giữ về bà một kỷ niệm xúc động, tỏ ra biết ơn, nhớ bà vì cái tài sản mà bà đã đem đến cho khi lấy anh.	Halála óta Octave kegyelettel őrizte az emlékét, hálásnak mutatkozott azért a vagyonért, melyhez az asszony juttatta, mikor feleségül ment hozzá.	0.4148
Vì vậy trước khi đi vào việc ký những hối phiếu đặt trên giấy thẩm, anh hướng về phía bức chân dung nở một nụ cười của con người hạnh phúc.	Mielőtt nekiült volna, hogy aláírja az írómappájára tett utalványokat, a boldog ember mosolyával pillantott az arcképre.	0.187179
Phải chăng bao giờ anh cũng trở lại làm việc trước bà, sau những chuyện đi lẻn của trai góa, ra khỏi những buồng the là nơi anh lạc tới vì nhu cầu hoan lạc?	Vagy nem őhozzá jön-e vissza mindig dolgozni, ifjú özvegyi kiruccanásai után, a hálószobákból jövet, ahová a gyönyörűség vágya viszi?	0.226119
Có người gõ cửa, và, không đợi, một người đàn ông trẻ, bước vào, anh ta người cao và gầy, cặp môi mỏng, cái mũi nhọn, nhưng rất đứng đắn với làn tóc chải mượt đã loáng thoáng vài đám hoa râm.	Kopogtak, és nyomban belépett egy fiatalember: magas, sovány, keskeny ajkú, hegyes orrú, egyébként igen korrekt megjelenésű férfi volt, simára fésült hajában már őszülő fürtök mutatkoztak.	0.246486
Mouret đã ngẩng mặt lên, rồi tiếp tục ký:	Mouret fölpillantott, aztán folytatva az aláírást, így szólt:	0.545833
— Bourdoncle, ngủ ngon chứ?	- Jól aludt, Bourdoncle?	0.208696
— Cảm ơn, rất tốt, – người trẻ tuổi đáp, anh ta qua lại từng bước ngắn như ở nhà mình.	- Köszönöm, igen jól - felelte a fiatalember, otthonosan járkálva a szobában.	0.190541
Bourdoncle là con một tá điền nghèo vùng Limoges, trước đây đã bước đầu đi làm ở hiệu Hạnh phúc các bà, đồng thời với Mouret, khi cửa hiệu này chiếm góc quảng trường Gaillon.	Bourdoncle, egy Limoges vidéki szegény gazdaember fia, ugyanakkor kezdte pályafutását a "Hölgyek Örömé"-ben, amikor Mouret; akkoriban az áruház a Gaillon tér sarkán volt.	0.240741
Rất thông minh, rất hoạt động, lúc đó dường như anh ta sẽ dễ dàng chiếm chỗ bạn, anh này kém phần đứng đắn, có đủ mọi chuyện đi lẻn, vẻ ngoài dại dột, những chuyện trai gái đáng lo ngại; nhưng anh ta không đem lại cái quyết đoán của tài năng có ở chàng trai đầy nhiệt tình xứ Provence, cũng như tính táo bạo, cái duyên đắc thắng của anh này.	Igen értelmes és mozgékony ember lévén, akkor még úgy látszott, hogy könnyen fölébe kerekedik társának, aki kevésbé volt komoly, sok hibája mellett hebehurgyának látszott, és nyugtalanító asszonyhistóriákat rebesgettek róla; csakhogy belőle hiányzott ennek a szenvedélyes provence-inak lángoló értelme, merészsége, lefegyverző kedvessége.	0.261261
Vả lại, do một bản năng của người khôn ngoan, anh ta nghiêng mình trước bạn, phục tùng mà không đấu tranh, ngay từ buổi đầu.	Egyébiránt Bourdoncle az okos ember ösztönével meghajolt előtte, engedelmeskedett neki, méghozzá minden küzde­lem nélkül, kezdettől fogva.	0.3
Khi Mouret khuyên bọn thư ký góp vốn vào cửa hàng, Bourdoncle là một trong những người thi hành đầu tiên, thậm chí trao cho bạn cả món gia tài bất ngờ được hưởng của một bà cô; và, dần dà, sau khi trải qua mọi cấp bậc, nhân viên bán hàng, quầy hàng phó, rồi quầy hàng trưởng quầy tơ lụa, anh ta trở thành một trong những tay phò tá của ông chủ, thân cận nhất và được nghe nhất, một trong sáu tay hữu quan giúp ông cai quản hiệu Hạnh phúc các bà, cái gì như một hội đồng thượng thư dưới một ông vua chuyên chế.	Mikor Mouret azt tanácsolta a segédeknek, hogy fektessék pénzüket a cég üzleteibe, Bourdoncle az elsők között adta át a pénzét, rábízva még egy nagynénjétől váratlanul rászakadt örökségét is; és fokról fokra végigment a létrán: előbb el­áru­sító volt, aztán helyettes vezető, majd a selyemosztály főnöke, végül a főnök legkedvesebb helytartójává lett, kinek a szavára Mouret legjobban hallgatott; egyike annak a hat érdek­társnak, akik úgy segítették a "Hölgyek Öröme" kormányzásában, mint egy abszolút uralko­dót a minisztertanácsa.	0.366882
Mỗi người trong bọn họ trông nom một tỉnh.	Mindegyikük más-más üzletágra ügyelt föl.	0.273333
Bourdoncle phụ trách tổng giám sát.	Bourdoncle az általános felügyelettel volt megbízva.	0.618045
— Thế còn anh, – anh ta thân mật lại, nói, – anh có ngủ được không?	- Hát maga - folytatta bizalmasan a beszélgetést - jól aludt?	0.198214
Khi Mouret trả lời rằng mình đã không ngủ thì anh ta lắc đầu lẩm bẩm:	Mikor Mouret azt felelte, hogy le sem feküdt, megrázta a fejét, és azt mormogta:	0.479167
— Ốm người.	- Egészségtelen dolog.	0.194118
— Tại sao vậy?	- Ugyan miért?	0.214286
– Anh chàng kia vui vẻ nói.	- kérdezte a másik vidáman.	0.288889
	- Én nem vagyok olyan fáradt, mint maga, barátocskám.	-0.3
– Tôi ít mệt mỏi hơn anh, anh bạn ạ. Mắt anh húp lên vì ngủ, anh nặng cân lên vì ngoan ngoãn quá… Hãy vui nhộn đi.	A szeme duzzadt az alvástól, egyre nehézkesebb lesz attól a nagy józanságtól... Ugyan mulasson egy kicsit, az majd felkorbácsolja az eszét!	0.280165
Cái đó kích thích đầu óc anh.	Baráti vitáik örök tárgya volt ez.	0.281818
Đó là chuyện tranh cãi thân mật thường xuyên giữa họ, Bourdoncle lúc đầu hành hạ tình nhân của anh ta, vì, anh nói, họ làm cho anh không ngủ được.	Bourdoncle eleinte verte a szeretőit, mert, amint mondta, nem hagyták aludni.	0.177143
Bây giờ thì anh ta tự phụ và căm thù phụ nữ, chắc hẳn vì những cuộc đụng độ ở bên ngoài mà anh ta không nói ra, chẳng là họ chiếm ít chỗ trong cuộc sống của anh, và anh đành lòng bóc lột các bà khách hàng ở cửa hiệu, vì anh rất ghét cái tính họ phù phiếm, phá tán tiền của, vì những xống áo vớ vẩn.	Most elvből gyűlölte a nőket; házon kívül kétségtelenül voltak talál­kozásai; de ezekről nem is beszélt, oly kevés helyet foglaltak el az életében; az áruházban pedig beérte azzal, hogy kiszipolyozza a vásárló asszonyokat, mélységesen megvetve léha­ságukat, hogy tönkreteszik magukat holmi ostoba rongyokért.	0.274
Mouret trái lại, làm bộ ngây ngất, mừng rỡ và vồn vã trước phụ nữ, luôn luôn bị lôi cuốn vào những chuyện yêu đương mới, và những đòn lòng của anh được xem như một sự quảng cáo cho việc mua bán của anh, dường như anh bao trùm cả lên giới phụ nữ cùng một cái vuốt ve, để dễ bề làm họ mê tơi và giữ họ trong vòng quyền hành của anh.	Mouret, éppen ellenkezően, úgy tett, mintha el volna ragadtatva tőlük; olvadozott, kedveskedett, egyre újabb szerelmekbe sodródott: szívügyei is az üzletét reklámozták; úgy tetszett, mintha az egész női nemet egyetlen öleléssel a karjába zárná, hogy annál jobban elszédítse, és kényre-kegyre hatalmában tartsa.	0.231544
— Tôi đã gặp bà Desforges tối qua.	- Találkoztam ma éjjel Desforges-néval - folytatta.	0.213158
Bà ta thật tuyệt trong cuộc khiêu vũ.	- Gyönyörű volt azon a bálon.	0.186207
— Thế không phải là sau đó anh đã ăn tối với bà ta à?	- Nem vele vacsorázott azután?	-0.0103448
– Người bạn cộng sự hỏi.	- kérdezte az üzlettársa.	0.219231
Mouret la lên:	Mouret tiltakozott.	1.19286
— Ôi! ~~~ Thế nữa!	- Ó, hová gondol?	-0.0352941
