Alain Fournier	﻿ALAIN-FOURNIER	0.214286
... của bao đau khổ, của bao tốt đẹp.	ma már elmondhatom különös kalandját.	0.276923
Tôi có thể kể ra cuộc phiêu lưu kỳ lạ của anh.	Délután félkettő volt, meglehetősen hideg idő.	0.275
Vào lúc một rưỡi chiều, trên đường về Viecdông, giữa đất trời gía lạnh, Môn cho ngựa phi vun vút, vì biết mình không đến nơi trước giờ.	Meaulnes a vierzoni országúton vágtára fogta lovát, mert tisztában volt vele, hogy egy percet sem fecsérelhet el, ha idejében akar odaérni.	0.24186
Thoạt đầu, anh chỉ thích thú nghĩ đến sự kinh ngạc của tất cả chúng tôi, khi anh chở trên chiếc xe có mui về, lúc bốn giờ, có ông và cụ bà Sacpăngchiê.	Először csak azt képzelte el, milyen jót is mulat rajta, hogy mindannyiunknak leesik majd az álla a meglepetéstől, amikor négy órakor befordul az udvarra Charpentier nagyapóval és nagy­anyóval a kocsijában.	0.250909
Lúc bấy giờ, nhất định anh không có ý đồ nào khác.	Mert hiszen, ezekben a percekben, természetesen csakis erre gondolt, ez volt a feltett szándéka.	0.15
Dần dần thấm lạnh, anh phủ lên đôi chân cái chăn mà lúc nãy anh đã từ chối, nhưng gia nhân ở trại Ngôi Sao Đẹp đã cố nhét bằng được lên xe.	Pár perc múlva, minthogy már csontig fagyasztotta a hideg, deréktól lefelé belecsavarta magát egy pokrócba. ~~~ A pokrócot tulajdonképpen nem is akarta magával hozni, de szerencsére a Belle-Étoile tanyán erőnek-erejével rárakták a kocsira.	-0.0405738
Hai giờ chiều, anh đi qua làng La Mót.	Két órakor érkezett La Motte-ba, s vidáman hajtott végig a kis falucskán.	0.355263
Chưa bao giờ anh đi thế này trong một làng vào giờ lên lớp cả và cảm thấy thú vị khi được nhìn thấy làng này cũng vắng vẻ, cũng lặng lẽ như những nơi khác.	Ilyen időben még soha nem járt ilyen istenhátamögötti helyen - hiszen ezeket az órákat az iskolában töltöttük - s örömmel látta, hogy ez is éppolyan kihalt, éppolyan álomba-süppedt, mint a mi falunk.	0.270175
Có gì sống động thì chỉ là xa xa trước mặt anh, thỉnh thoảng ột màn cửa vén lên, để lộ vẻ mặt hiếu kỳ đôn hậu của phụ nữ.	Hébe-hóba ha egy-egy függöny meg­lebbent, s mögüle kikukkantott egy-egy kíváncsi öregasszony.	0.143617
Ở cuối làng La mót, ngay sau ngôi trường, đường xẻ làm đôi, Môn đâm phân vân, rồi tin là mình nhớ đúng rằng phải rẽ trái mới đến được Viecdông.	Ahogy kiért a faluból, közvetlenül az iskolaépület után kettévált az út.	-0.069863
Chẳng có ai để hõi.	Nem tudta eldönteni, melyiken menjen.	0.143478
Anh cho ngựa đi nước kiệu trên con đường từ đây trở đi hẹp hơn và lát đá rất tồi.	Úgy emlékezett, hogy Vierzon felé balra kell tartania.	0.0470588
Trong một lúc, anh đi dọc một rừng thông, cuối cùng gặp một người đánh xe chở hàng, anh bắc loa miệng hỏi ông là xem đây có đúng đường đến Viecdông?	Egy teremtett lélek nem járt arra, akitől megkérdezhette volna. ~~~ A balra térő útra terelte hát a kancát.	-0.1
Kéo căng dây cương, con ngựa cái tiếp túc nước kiệu.	Nem volt valami jó az út s egyre nehezebb szakaszok következtek.	0.294828
Ông kia hẳn không hiểu người ta hỏi gì.	Egészen elkeskenyedett s egyre hiányosabb volt a kövezet.	0.231818
Ông vừa la lên gì đó vừa phác một cử chỉ mập mờ.	Egy kis fenyőerdő mellett kocogott jó darabig a kocsija, s aztán egyszerre csak szembetalálta magát egy fuvarossal.	0.0421053
Hoàn toàn không chủ định, Môn để ngựa lao theo con đường đang đi.	Átkiáltott neki, szája elé tölcsért formálva kezével, hogy jó irányba megy-e Vierzon felé.	0.230137
Lại đồng đất mênh mông và băng giá, chẳng có gì vui mắt cũng chẳng có gì khác thường.	A kanca, rángatván a gyeplőt, nem lassított le egy pillanatra sem; s így a férfi sem értette pontosan, mit kérdeznek tőle.	0.25
Chỉ thỉnh thoảng một con chim khách thấy chiếc xe thì hốt hoảng cất bay lên xa hơn, rồi đậu xuống một cây du không ngọn.	Valamit Meaulnes után kiáltott, bizonytalan vonalat írva a levegőbe kezével s Meaulnes gondolván, lesz, ami lesz, tovább kocogott találomra az úton.	0.283969
	Aztán megint kiért a szántóföldek közé, miket, amerre csak a szem ellátott, zuzmara borított; olykor-olykor fölrebbent előtte egy-egy szarka, a kocsi verte fel, csörgött egy darabig a levegőben, hogy végül kikössön valamelyik távolabbi szilfa csupasz ágán.	-0.3
Người du lịch trẻ tuổi đã quấn tấm chăn rộng quanh vai như một áo choàng.	A kocsi utasa most már a vállait is bebugyolálta a hatalmas pokrócba, a nyaka köré kerítve, mint valami köpenyt.	0.223171
Duỗi thẳng chân tay, tì tay lê một thành xe, anh ngủ gà ngủ gật một thôi dài...	Lábait kinyújtva, rákönyökölt a kocsi oldalára. ~~~ S aztán hirtelen elnyomhatta az álom... nem is tudta, meddig mehetett így...	-0.0326087
Đến lúc, nhờ cái lạnh thấm qua chăn, Môn Sếu tỉnh ra và nhận thấy phong cảnh đã thay đổi.	Mert amikor a hideg már a takarón át is a csontjáig hatolt, Meaulnes váratlanul fölocsúdott. ~~~ Megdöbbenve látta, hogy valami egészen más vidéken jár.	-0.0244186
Không còn là những chân trời xa lắc, bầu trời cao thẫm nhìn hút mắt, mà là những bãi cỏ non xanh với những bờ rào cao.	Nyoma sem volt már a messzi láthatárnak, a hószínű végtelen égnek, melyet nem tud átfogni a szem; apró rétek mellett kocogott, melyeknek még látszottak zöld foltjai, s melyeket sövények kerítettek körbe magasan.	0.129921
Bên phải cũng như bên trái, nước đang chảy dưới băng.	Kétoldalt árkok kísérték az utat, a víz hallhatóan csörgedezett a vékony jégpáncél alatt.	0.157377
Có vẻ ắp đến một dòng sông nhỏ.	Mindebből arra következtetett, hogy egy folyó lehet itt valahol a közelben.	0.0615385
Giữa hai hàng rào cao chất ngất, con đường chỉ còn là một lối đi lún sâu.	S a magas sövények között ez már tulajdonképpen nem is út volt, hanem csak egy keskeny szekércsapás.	0.251852
Con ngựa đã ngừng phi một lát.	S a kanca sem ügetett már, lassan poroszkált csak egy idő óta.	0.0970588
	Meaulnes rásuhintott az ostor­ral, hogy élénkebb tempóra noszogassa, de nem tudta kihozni a sodrából, éktelen lassúsággal cammogott továbbra is az úton.	-0.3
Môn quất cho nó một roi, nhưng nó vẫn dằn điệu bước một.	Meaulnes fölállt s a kocsi elejébe kapaszkodva kihajolt, hogy megnézze, mi történt.	0.235385
CHống tay đằng trước xe, và nhìn sang bên, cậu học sinh cao ngật ngưỡng nhận thấy con vật -tập tễnh một chân sau.	Ekkor vette észre, hogy a kanca az egyik hátsó lábát sántítva húzza.	0.0363636
Anh liền nhảy xuống, lo vô cùng.	Tüstént leugrott a kocsiról, elveszítve nyugalmát.	0.162857
- Chưa bao giờ chúng mình ra Viecdông đi tàu - anh sẽ sẽ nói.	- Így aztán ítéletnapig sem érünk oda Vierzonba, az állomásra!	0.567809
Anh không dám tự thú nỗi lo lớn nhất, đó là có lẽ anh đã nhầm đường, và đường này không phải là đường đi Viecdông.	- mondta halkan. ~~~ Még magának sem merte bevallani - pedig egy pillanatra sem hagyta nyugodni ez a gondolat -, hogy hátha mégiscsak eltévesztette az utat, hátha már régen másfelé hajt, nem is Vierzon felé.	-0.0423664
Anh xem xét rất lâu chân con vật và không thấy chỗ nào bị thương.	Gondosan megvizsgálta a ló lábát, de sérülésnek nyomára sem bukkant.	0.291176
Hết sức sợ hãi, con ngựa nâng ngay chân đó lên khi Môn muốn chạm vào, rồi nó cào cào trên đất bằng cái móng guốc nặng nề và vụng dại.	Amikor Meaulnes meg akarta nézni a patáját, a kanca félősen-ijedten fölkapta a lábát és ügyetlen, tömpe patájával kaparászni kezdett a földön.	0.280576
Anh hiểu rằng chỉ đơn thuần là một hòn sỏi găm vào móng nó.	Most már tudta, hogy nincs komolyabb baja, csak egy kavics szorulhatott be a patája közé.	0.241791
Ra vẻ một cậu bé cai quản gia súc lão luyện, anh ngồi xổm xuống, cố nắm lấy móng phải của con vật bằng tay trái và đặt vào giữa hai đầu gối, nhưng cái xe lám vướng anh.	Meaulnes, falusi fiú lévén, értett az állatokhoz. ~~~ Azonnal leguggolt s azon volt, hogy balkezével elkapja a ló jobb hátsó lábát és beszorítsa a térdei közé, de a kocsitól nem fért kellően hozzá.	-0.000815217
Hai lần, con ngựa thoát ra và tiến lên mấy bước.	A kanca két ízben is kirántotta lábát Meaulnes kezéből és mindannyiszor néhány métert meg is ugrott.	0.0509434
Cái bậc xe đập vào đầu anh, bánh xe làm xoạc đầu gối.	A kocsi hágcsója alaposan fejbekólintotta Meaulnes-t s a kerék kegyetlenül fölhorzsolta térdét.	0.142623
Anh vẫn nhất quyết và kìm được con vật sợ sệt. ~~~ Nhưng viên sỏi lận sâu quá, Môn phải dùng con dao nhà quê của mình mới kều ra được.	De most már aztán azért sem engedett s végül is sikerült magához édesgetnie a félénk állatot; a kavics azonban oly mélyen beszorult patája közé, hogy Meaulnes-nak elő kellett halásznia bicskáját, ebben volt minden reménysége.	-0.0683673
Xong việc, ngẩng lên, đầu như mụ đi, mắt hoa lên, anh kinh hãi nhận thấy rằng đêm đang xuống.	Amikor is végre kipiszkálta a beszorult kövecskét, megrázta kóválygó fejét, égő szemeit megdörzsölve.	0.297059
Còn khác sao được, Môn tức khắc lộn về.	Elhűlve állapította meg, hogy közben egészen bealkonyult.	0.23617
Đấy là cách duy nhất để không lạc thêm.	Ha másvalakiről lett volna szó, biztosan haladéktalanul visszafordul.	0.163043
Nhưng anh nghĩ rằng hẳn bây giờ anh xa La Mót lăm rồi.	De hát ő Meaulnes volt.	-0.163636
Mới lại, có thê con ngựa đã đi đường tắt trong khi anh đang ngủ.	Ha nem akar még jobban eltévedni, feltétlenül meg kellett volna tennie.	0.277273
Suy cho cùng, con đường ấy làm sao chẳng dẫn đến một làng nào đó...	Volt egy olyan érzése is, hogy igen-igen messze járhat La Motte-tól, s különben is, még az is előfordulhat, hogy a kanca azalatt, amíg aludt, rátért valami keresztútra.	-0.02
Chúng ta hãy bổ sung vào tất cả những lý do đó rằng, trong khi leo lên bậc xe và con ngựa háu đi chưa chi đã kéo dây cương, chàng trai cao ngộc cảm thấy trỗi dậy mỗi lúc một dào dạt niềm khao khát điên cuồng phải hoàn thành một việc gì đó, đi đến một nơi nào đó, bất chấp mọi trở ngại.	Mindent egybevetve, akárhogy is van, csak elviszi ez az út valamilyen faluba... És azt se hagyjuk mindezek mellett figyelmen kívül, hogy a hórihorgas kamaszt, amikor ismét fent ült a kocsin s amikor a kanca türelmetlenül megrántotta a gyeplőt, hirtelen kínzó vágy kerítette hatalmába, mely pillanatról pillanatra égőbben lobogott a szívében.	0.294175
	Szerette volna, ha fittyet hányva minden akadálynak, valami nagyszerű dolgot mégis véghezvihetne, szerette volna, ha megérkezhetne valahová, mindegy, hogy hová!	-0.3
Anh quât con ngựa một roi, nó né đi và bắt đầu phi nước đại.	Rácsapott a kancára. ~~~ Az állat dühösen rúgott egyet és szaporázni kezdte a lépést.	-0.0175
Trời tối hơn .	Nőttön-nőtt a sötétség.	0.105882
Trên con đường bắt đầu bị nước xói mòn, bây giờ chỉ còn đủ lối đi cho một chiếc xe.	A vízmosásos kis dűlőúton most már csak éppen annyi hely volt, hogy a kocsi valahogy eldöcögött rajta.	0.296907
Thỉnh thoảng, một cành khô bên hàng rào vướng vào bánh xe và gẫy ròn đánh cắc... Khi trời tối hẳn, Môn bỗng chạnh lòng nghĩ tới phòng ăn ở Xanhtơ-Agat, trong đó, hẳn giờ này tất cả chúng tôi đã quây quần bên nhau. ~~~ Rồi anh tức giận.	Olykor-olykor egy kis száraz ágacska beleakadt a sövényből a kerékbe s recsegve-ropogva zúzódott szét az úton... S amikor már koromsötét volt körötte az éjszaka, Meaulnes-nak hirtelen elszorult a szíve s világosan látta maga előtt ebédlőnket, ahol ebben az órában mindannyiunknak ott kellett volna ülnünk az asztal körül.	-0.0288235
	Különféle érzések hullámzottak a szívében: düh, harag, gőg és büszkeség s valami határtalan örömet is érzett, hogy így történt minden.	-0.3
Rồi ngạo mạn và vui thấm thía vì trốn đi như thế này, dù chẳng muốn...	Hogy nem is volt szándékában s mégis megszökött hazulról.	0.184211
Chương 9	Kilencedik fejezet	0.06
TRẠM NGHỈ	PIHENŐ	0.1125
Đột nhiên, con ngựa chạy chậm lại, cứ như vì đường tối mà nó vấp chân. ~~~ Môn thấy nó vươn cổ xuống và ngẩng lên hai lần.	A kanca megint lassúbb iramra váltott; olyan volt a járása, mintha meg-megbotlana a sötétben; Meaulnes kétszer is észrevette, hogy a ló hol lebóklászik a földre, hol megint fölkapja a fejét a magasba, aztán hirtelen megtorpan, a földre sunyítva.	-0.0956522
Rồi nó dừng hẳn, mõm cúi thấp, như hít hít gì đó.	Orrcimpái tágulni kezdtek, mintha valami után szimatolt volna.	0.283929
Xung quanh chân ngựa, nghe như có tiếng róc rách.	Vízcsobogás hallatszott; a kanca bokáig vízben állt.	0.288
Một dòng suối cắt ngang đường.	A kocsiúton egy patak iramlott sebesen keresztül.	0.227027
Nếu là mùa hè, thì lội qua được.	Nyáron valószínűleg könnyűszerrel át lehetett gázolni rajta.	0.102632
Còn dịp này, dòng nước chảy xiết đến nỗi băng không hình thành được, do vậy sẽ rất nguy hiểm nếu cứ đi dần lên.	Most azonban, ebben az időben, olyan erős volt a víz sodrása, hogy még csak be sem tudott fagyni a patak, s minden bizonnyal veszélyes lett volna tovább merészkedni befelé a vízben.	0.223256
Môn nhẹ nhàng thu cương, để lùi xe một đoạn, rồi hết sức bối rối, anh đứng lên trong xe.	Meaulnes gyöngéden hátrahúzta a gyeplőt, hogy néhány lépéssel visszakoztassa a lovat s teljesen tanácstalanul fölállt a kocsiban.	0.218182
Chính lúc ấy, anh nhìn thấy ánh đèn qua lá cây.	A fák ágai közt gyönge, pislákoló fény csillant a szemébe.	0.252
Đèn chỉ cách đường hai hoặc ba bãi cỏ thôi.	Néhány száz lépésnyiről jöhetett, a réteken túlról.	0.264
Chàng học sinh xuống xe, vừa dắt con ngựa cái về phía sau, vừa nói để trấn tĩnh cho nó khỏi lắc đầu kinh sợ.	Meaulnes leugrott a kocsiról és zablájánál fogva pár lépéssel még hátrább szorította a kancát a pataktól, finoman veregetve szügyét, hogy lecsillapítsa szegény megriadt állatot, mert feje horkanva hőkölt ide-oda a levegőben.	0.0529412
- nào, ngựa cưng, ta không tiến lên đâu!	- Ne félj, no! ~~~ nyugodj már meg, öreg paci!	-0.01125
	Itt kikötünk, nem botorkálunk tovább a sötétben.	-0.3
Chúng ta sẽ biết ngay đây là chỗ nào.	S mindjárt azt is megtudjuk, hogy hol vagyunk.	0.3
Rồi đẩy hàng rào chắn đã mở cửa một bãi cỏ hướng ra đường, anh đưa xe ngựa vào đấy.	Az út mellett kicsiny kerítéssel körülvett rétecske húzódott s a kapuja nem volt egészen betéve.	0.277419
	Meaulnes kilökte sarkáig az ajtót s a kancát vezetve, a fogat begördült a kapun.	-0.3
Hai bàn chân anh bước ngập trong cỏ mềm.	Bokáig süppedt a selymes, lágy fűben.	0.243243
Chiếc xe lắc lư nhưng không thành tiếng.	A kocsi alig hallhatóan döcögött a gyepen.	0.278049
	Feje közvetlenül a kanca feje mellett volt; így olykor végigcsiklandozta nyakát a ló forró lehellete, mely úgy zihált, nehézkesen, mint valami fújtató... Végigvezette a réten a lovat, egészen a hátsó sövényig, itt megállította s a pokrócot rádobta a ló hátára.	-0.3
Đầu anh chạm vào đầu ngựa, anh cảm thấy nó thở hổn hển và truyền sức ấm sang người anh... Anh dắt nó đến cuối bãi, và khoác tấm chăn lên lưng nó.	Amikor széthúzta a sövény össze­kapaszkodó sűrű vesszeit, ismét felcsillant előtte az imbolygó fény. ~~~ Egy magányosan álló házból szűrődött ki a sötétbe.	-0.00573248
Rồi rẽ cành cây ở hàng rào cuối bãi, anh lại nhìn thấy ánh đèn, đó là đèn trong một ngôi nhà biệt lập.	Három kis réten kellett keresztülcsörtetnie s még egy kis alattomosan sziszegő patak is útját állta.	0.24375
Mặc dù vậy, anh vẫn phải vượt qua ba đồng cỏ nhỏ, nhảy qua một con suối hiểm độc mà suýt nữa anh sa cả hai chân xuống... Cuối cùng, sau khi nhảy từ đỉnh một bờ dốc thoai thoải xuống đất, anh thấy mình đang trong sân một ngôi nhà nông thôn.	Ahogy át akart ugrani rajta, megcsúszott s majdnem belepottyant. ~~~ Mikor az utolsó sövényen is átveszkelődött, egy tanya udvarán találta magát.	-0.137868
Một con lợn ủn ỉn trong chuồng.	A disznóól felől röfögés hallatszott.	0.266667
Nghe tiếng chân người trên đất giá băng, một con chó cất tiếng sủa dữ dội.	S amint léptei megcsikordultak a dermedt talajon, egy kutya veszett ugatásba kezdett. ~~~ Az ajtó nem volt bezsaluzva.	-0.0155844
Cánh cửa bản ở lói ra vào mở sẵn.	Meaulnes bekukkantott az üvegen.	0.222581
Ánh lửa mà Môn nhận thấy là do một bó củi đốt trong lò sưởi.	A tűzhelyen rőzseláng lobogott; ennek a fényét látta az imént.	0.260656
Chỉ có lửa lò thôi, không thấy đèn đóm gì nữa.	Lámpa nem égett benn, csak a tűz fénye világított a konyhában.	0.266667
Một phụ nữ phúc hậu, ở trong nhà, đứng lên và lại gần cửa, không biểu lộ cái gì khác ngoài sợ hãi.	Egy parasztasszony fölkelt az asztal mellől s odajött az ajtóhoz. ~~~ Nem látszott rajta, hogy különösebben meg volna rémülve.	-0.00803571
Đúng lúc ấy, đồng hồ quả lắc điểm 7g30.	A régimódi súlyzós ingaóra pontosan akkor ütötte el a félnyolcat, amikor belépett.	0.104082
- Xin lỗi bà, bà già đáng thương - chàng trai cao ngồng nói - chắc cháu đã giẫm phải hoa cúc ngoài vườn của bà.	- Bocsánatát kell kérnem, asszonyom - mentegetődzött a hórihorgas kamasz -, azt hiszem, összetapostam a krizantémjait.	0.639548
Đang cầm một cái bát trên tay, bà sững lại đăm đăm nhìn anh	Az asszony ott állt a konyha közepén, kezében egy gömbölyű tállal s nézte a fiút.	0.24
- Hẳn thế - bà nói - ngoài sân tối quá, biết đâu mà né.	- Szent igaz - bólintott -, nehéz eligazodni, olyan sötét van kint az udvaron.	0.644068
	Egy pillanatig egyikük sem törte meg a csendet.	-0.3
Một lát im lặng.	Meaulnes körülnézett a helyiségben.	0.0157895
Môn vẫn đứng, kịp nhìn mấy bức tường nhà dán kín giấy báo có minh họa như trong một quán trọ, rồi cái bàn trên có đặt một chiếc mũ đàn ông.	A falakat képeslapokból kitépett oldalak borították, mintha csak egy kocsmába nyitott volna. ~~~ Az asztalon egy férfikalap ötlött a szemébe.	-0.0284091
- ông chủ có nhà không ạ?	- Nincs itthon a gazda?	0.68
- anh ngồi xuống.	- érdeklődött az asztal mellé telepedve.	0.568421
- Ông ấy sắp vào - người đàn bà đáp, tỏ vẻ đã tin - ông ấy đi kiếm củi.	- Mindjárt jön - válaszolt az asszony s hangjából biztonság érzése csengett -, csak kiugrott egy nyaláb rőzséért.	0.512086
- Không phải cháu muốn hỏi ông ấy - chàng trai vừa nói tiếp vừa dịch ghế lại gần lò sưởi - Cánh thợ săn chúng cháu có nhiều người, đang phải rình chờ mồi.	- Tulajdonképpen nem is fontos, hogy vele beszéljek - folytatta Meaulnes, székével közelebb lovagolva a tűzhelyhez. ~~~ - Többedmagammal itt vagyunk a közelben, vadászaton.	0.163179
Cháu đến xin bà nhường cho chút bánh.	Azért jöttem, mert elfogyott a kenyerünk.	0.2925
Anh, vâng, chàng Môn Sếu ấy mà, biết rằng ở nông thôn, nhất là trong một ngôi nhà trơ trọi giữa đồng giữa bãi, phải nói năng hết sức thận trọng, khôn khéo nữa kia, và nhất là chớ có hớ hênh rằng mình không phải là người cùng xứ.	Meaulnes ismerte a dörgést. ~~~ Tudta, hogyan kell beszélni a falusiakkal, különösen egy magányos tanyán; tartózkodónak kell lenni és fifikusnak, s azt meg különösen nem szabad elárulnia, hogy nem odavalósi, valahová a környékre.	-0.0256944
- Bánh ấy à?	- Kenyérért jött?	0.942857
- bà hỏi - Có lẽ chẳng còn để cho các anh đâu.	- csóválta meg fejét az asszony. ~~~ - Egy falatot nem talál az egész házban.	0.12235
Bác hàng bánh vẫn đến vào thứ ba hàng tuần, hôm nay không đến.	A pék minden kedden ki szokott jönni ide, de nem tudom, mi történhetett vele, mert ma a színét sem láttuk.	0.186957
Trong một lúc, tưởng mình đã ở gần một làng, giờ nghe thế, Môn đâm hoảng.	Augustin, aki egy pillanatra már-már azt remélte, hogy valamilyen falu közelébe keveredett, elhűlve nézett rá.	0.225
- Bác bán bánh quê đâu cơ ạ?	- Honnan jár ide a pék?	0.585714
- anh hỏi.	- kérdezte.	1.27273
- Viơ Năngxay!	- Honnan?	1.1
- bà ta ngạc nhiên.	Hát Vieux-Nançay-ból!	0.24
- Viơ Năngxay, nói thật đúng, xa đây bao nhiêu ạ?	- felelte csodálkozva az asszony.	0.596774
- Môn lo lắng hỏi nữa.	- Mennyire is van pontosan ide Vieux-Nançay?	0.548571
- Cứ theo con đuồng đất mà đi, tôi không biết bao nhiêu.	- folytatta tovább a kérdezősködést Meaulnes.	0.637267
	- Hogy az országúton mennyi, azt nem tudnám megmondani pontosan, de így a kertek alatt átvágva, vagy három és fél mérföld lehet.	-0.3
Còn theo đường chim bay thì ba dặm rưỡi.	S máris nekilódult a nyelve.	0.111111
Bà bắt đầu kể lể rằng con gái bà đang làm thuê ở đó, rằng cứ chủ nhật đầu tháng, nó lại về thăm bà, rằng ông bà chủ nó...	Körülményesen elmesélte, hogy Vieux-Nançay-ban cselédeskedik a lánya s hogy minden hó első vasárnapján meg szokta látogatni, csak úgy, az apostolok lován, meg hogy a gazdája...	0.24
Nhưng hoảng hốt quá, Môn cắt ngang:	Meaulnes azonban, aki végképp nem tudta, hol lehet, idegesen szakította félbe.	0.0384615
- Viơ Năngxay có phải là làng gần đây nhất không ạ?	- Vieux-Nançay a legközelebbi falu ide?	0.566409
- Không.	- Szó sincs róla.	1.03333
	Landes csak öt kilométernyire van ide.	-0.3
Làng Lê Lăngđơ cơ, cách 5km.	De ott nincs se fűszeres, se pék.	0.29
Nhưng ở đó chẳng có người bán bánh, cũng chẳng có người bán hàng.	Éppen csak egy kis vásár van, évente egyszer Szent Márton napján, a búcsúkor.	0.295946
Mỗi năm chỉ có một phiên chợ ở Xanh-Mactanh thôi.	Meaulnes soha, még csak a hírét se hallotta Landes-nak.	0.276471
Chưa bao giờ Môn nghe nói đến tên Lê Lăngđơ.	Annyira eltévedt, hogy ezen szinte már mosolyognia kellett.	0.263265
Anh hiểu mình lạc quá xa rồ, nghĩ đâm buồn cười.	Az asszony eddig a mosogatódézsa fölött foglalatoskodott a tállal s most kíváncsian fordult meg.	0.103636
Đang lúi húi rửa bát ở bồn rửa, người đàn bà quay lại, sửng sốt không kém, rồi nhìn thẳng vào mặt anh, nói từng tiếng một.	Fürkészve figyelte Meaulnes arcát, ahogy lassan ejtve a szavakat, megkérdezte:	0.0405405
- Anh không phải người ở vùng này?	- Szóval maga nem ösmerős ezen a vidéken?	0.625439
Lúc ấy, một người đàn ông có tuổi hiện ta trên ngưỡng cửa với một bó củi mà ông ném xuống nền lát gạch vuông.	Idősebb parasztember lépett be az ajtón, egy nyaláb fával a karján. ~~~ A tűzhely elé dobta le, a kőpadlóra.	-0.039
Người đàn bà nói rất to lên, như thể ông điếc, điều mà chàng thanh niên yêu cầu.	Az asszony elmagyarázta neki, hogy mijáratban van a fiatalember, hangosan, szinte kiabálva, mintha süket volna az öreg. ~~~ - No jó.	-0.0316667
- Được thôi, có gì đâu - ông nói giản dị - Nhưng anh dịch vào gần nữa.	Majd meglássuk - bólintott egyszerűen. ~~~ - De üljön csak közelebb a tűzhöz, ifiúr.	0.160823
Sưởi cho ấm đi.	Ott sose melegszik föl.	0.252632
Một lát sau, hai người ra gần giá gác củi.	Egy perc múlva mindketten ott ültek a tűzhely ajtaja előtt.	0.241304
Ông già bẻ củi để cho vào lò đốt.	Az öreg a térdén roppantgatta össze a rőzséket, hogy dobhasson a tűzre.	0.09
Môn ăn bánh mỳ với sữa mà ông bà vừa cho.	Meaulnes meg egy csésze tejbe aprított kenyeret kanalazott, amit az asszony nyomott a kezébe.	0.0521739
Nhà du lịch của chúng ta, sung sướng được ngủ trong ngôi nhà bình thường sau biết bao khắc khoải, và tưởng rằng cuộc phiêu lưu lạ lùng của mình đã kết thúc, chưa chi đã dự định sẽ rủ bạn về thăm những người dân nhân hậu này.	Utasunk szinte földöntúli örömet érzett, hogy annyi zűrzavar, annyi szorongás után itt ülhet ebben a kedves, egyszerű hajlékban. ~~~ Azt hitte, végére ért különös, furcsa bolyongásának és evés közben már affajta terveket kovácsolt, hogy egyszer még eljön ide látogatóba barátaival, ezekhez a derék egyszerű emberekhez.	-0.0321429
Anh không biết rằng đây chỉ là lúc anh tạm nghỉ chân, rằng lát nữa đây thôi, anh lại tiếp tục phiêu bạt.	Még csak nem is sejtette, hogy itt csak éppen megpihent s hogy nemsokára tovább folytatódnak kalandjai.	0.229787
Anh vội nhờ ông già chỉ đường cho về La Mót.	Kis idő múlva megkérte, hogy kalauzolják el őt a La Motte-i országútra.	0.442
Nhưng dần dần hiểu ra sự thực, anh kể rằng cùng với xe của mình, anh rời khỏi các bạn săn và bây giờ hoàn toàn bị lạc.	S lassanként már-már nem is kanyarodva el túlságosan az igazságtól, elmesélte, hogy a kocsijával valahogy lemaradt vadásztársaitól s most bizony egyáltalán nem ismeri már ki magát.	0.206107
Hai ông bà già nài mãi Môn mới chịu ngủ lại để mai sáng mới đi được.	Erre az öregember és a felesége addig kardoskodtak, hogy ott kell maradnia éjszakára s csak akkor szabad elindulnia, ha fölkelt a nap, hogy Meaulnes végül is ráállt, azzal, hogy beköti a lovát az istállóba.	-0.123077
Trước khi ngủ, anh ra ngoài tìm ngựa đưa vào chuồng.	- Aztán vigyázzon, mert hepe-hupás az ösvény, nehogy belelépjen egy gödörbe!	0.205263
- Anh cẩn thận nhớ.	- szólt utána a férfi.	0.8
Lối đi nhiều vũng lắm đấy - ông già dặn.	Meaulnes nem merte bevallani, hogy ő bizony nem ismeri az "ösvényt", mert nem azon keresztül jutott be ide.	-0.00638298
Môn không dám thú nhận rằng anh đã không theo lối ấy để vào đây.	Már-már szólni akart a derék öregnek, hogy legjobb lenne, ha elkísérné.	0.291429
Anh toan nhờ ông lão đi cùng.	Egy pillanatig még ott állt a küszöbön, tétovázva.	0.09
Anh dùng dằng giây lát trên ngưỡng cửa, vì người suýt lảo đảo vì căng thẳng, nửa muốn nửa không.	Nem tudta eldönteni, merjen-e szólni, vagy ne merjen, szinte hintaként lengett a kérdések között.	0.241304
Rồi anh bước ra khoảng sân tối mịt.	Aztán mégiscsak kilépett az udvarra, a sötét éjszakába.	0.190244
Chương 10	Tizedik fejezet	0.190909
CHUỒNG CỪU	A KARÁM	0.075
Để nhận phương hướng, anh leo lên dốc ta-luy mà anh vừa nhảy qua lúc nãy.	Meaulnes, hogy valahogy tájékozódni tudjon, fölkapaszkodott a sövény tetejére, ahonnan az imént az udvarra ugrott.	0.186076
Chậm chạp và khó khăn, như lúc đến, anh loay hoay trong cỏ trong cỏ trong nước, qua các hàng cây liễu, cố tìm cho ra chiếc xe mà anh đã để lại ở cối bãi cỏ.	Akárcsak idefelé jövet, most is csak lassan és csak üggyel-bajjal igazodott el a fűszőnyegek és víztócsák között, a fűzfák sorfalán keresztül.	0.246429
