James Joyce	﻿JAMES JOYCE	0.218182
Đến tận đây được!	Hova el nem jönnek!	0.166667
Trong khi cô hồi tưởng, hình ảnh tội nghiệp của cuộc đời mẹ cô phủ màu đen tối như muốn trùm lên chính cuộc đời cô - một cuộc đời chỉ toàn những hy sinh vụn vặt để rồi kết cục là những cơn điên loạn.	Elmerengett anyja életének szánalmas képein, és rátelepedett a végső tébolyban záruló elnyűtt önfeláldozások bűvölete.	0.0414634
Cô rùng mình khi lại nghe thấy bên tai giọng mẹ lặp đi lặp lại trong man dại:	Megremegett, és újra hallotta halott anyja hangját, amint tébolyult kitartással mondogatja szüntelen:	0.245122
- Derevaun Seraun!	- Derevaun Szeraun!	1.78235
Drevaun Seraun!	Derevaun Szeraun!	0.26
Cô đứng bật dậy kinh hoàng.	Hirtelen rátört a rémület.	0.257143
Chạy trốn!	Talpra ugrott.	0.3
Cô phải chạy trốn!	Menekülni! ~~~ Menekülni kell!	-0.0391304
Frank sẽ cứu cô.	Frank talán megmentheti.	0.971053
Anh sẽ mang lại cho cô cuộc sống và có thể cả tình yêu nữa.	Életet kap tőle, szerelmet is talán.	0.0428571
Nhưng cô muốn được sống.	Élni akar.	-0.245455
Tại sao cô phải chịu bất hạnh?	Miért legyen boldogtalan?	0.168
Cô có quyền được hưởng hạnh phúc.	Joga van a boldogsághoz.	0.0521739
Frank sẽ ôm cô, che chở cho cô.	Frank a karjaiba fogja majd, szorosan a karjaiba.	0.530208
Anh sẽ cứu cô.	Meg fogja menteni.	0.3
Cô đứng giữa đám đông đang chen lấn xô đẩy trên bến North Wall.	A North Wall-i hajóállomáson ácsorogtak a hullámzó tömegben.	0.584153
Anh nắm tay cô và cô hiểu rằng anh đang nói với cô, nhắc đi nhắc lại điều gì đó về chuyến đi.	Frank fogta a karját, és ő tudta, hogy hozzá beszél, újra meg újra mond valamit az átkelésről.	0.249438
Bến tàu đầy nghẹt lỉnh kỉnh hành lý màu nâu.	Az állomás tele volt barna poggyászos katonákkal.	0.275
Qua những cánh cửa mở rộng của toà nhà cô tháng thấy khối đen vĩ đại của con tàu, nằm cạnh tường ke, những cửa sổ tròn sáng đèn rực rỡ.	A váróterem tárt ajtaján át szemébe villant a hajó fekete tömege, amint kivilágított ablakaival a rakpart mellett tornyosult.	0.211765
Cô không trả lời anh.	Nem válaszolt.	0.12
Cô cảm thấy má mình nhợt nhạt lạnh ngắt và, bỗng nhiên rơi vào một cơn tuyệt vọng, cô cầu xin Chúa soi đường cho cô, dẫn dắt cho cô thấy bổn phận của mình.	Érezte, hogy arca sápadt, hideg, és Istenhez imádkozott: vezesse ki nyomorúsága útvesztőiből, mutassa meg neki, mi a kötelessége.	0.181452
Con tàu thả một hồi còi dài ảm đạm vào làn sương khói.	A hajó hosszú, bánatos füttyöt fújt a ködbe.	0.186667
Nếu cô r a đi, ngày mai cô sẽ đang ở trên biển cùng với Frank, thẳng tiến về Buenos Ayres.	Ha elmegy, holnap már a tengeren lesz Frankkal, Buenos Aires felé hajózik.	0.640643
Chuyến đi cô họ đã được đặt vé.	Jegyük már megvan.	-0.0473684
Có thể nào cô rút lại lời sau tất cả những điều anh đã làm vì cô?	Visszaléphet azok után, amit a férfi érte tett?	0.106667
Cơn tuyệt vọng làm dấy lên trong cô cảm giác say sóng và cô cố gắng tiếp tục mấp máy môi thầm thì lời cầu nguyện thành kính.	Nyomorúságában egész teste émelygett, ajka néma, forró imában remegett.	0.0291667
Một hồi chuông làm nhói tim cô.	A csengő hangja szívébe jajdult.	0.28125
Cô cảm thấy tay anh kéo chặt tay cô:	Érezte, hogy Frank megragadja a kezét.	0.283333
- Đi thôi!	- Gyere!	1.1875
Tất cả đại dương trên thế giới quay cuồng trong cô.	A világ minden tengere ostromolta azt a talpalatnyi helyet, ahol állt.	0.279661
Anh đang lôi tuột cô vào chúng, anh sẽ dìm chết cô.	Frank egyenest nekiviszi a mélynek. ~~~ Belefojtja.	-0.026087
Cô túm chặt lấy hàng rào chắn bằng sắt.	Mindkét kezével megragadta a vaskorlátot.	0.263415
- Đi thôi!	- Gyere!	1.1875
Không!	Nem!	0.12
Không!	Nem!	0.12
Không!	Nem!	0.12
Không thể được!	Lehetetlen.	0.075
Hai tay cô nắm chặt hàng rào sắt trong cơn mê loạn.	Keze őrülten szorította a korlátot.	0.15
Giữa đại dương cô hét lên đau đớn.	A tengerek közt vergődő sikolya szállt.	0.276923
- Eveline!	- Eveline!	2.3
Evvy!	Evvy!	1.8
Anh chạy phía trước hàng rào và kêu to bảo cô chạy theo.	Frank a korlát mögé sodródott és szólongatta.	0.208696
Người ta hét gọi anh đi tiếp, nhưng anh vẫn đang gọi cô.	Rákiáltottak, hogy menjen tovább, de ő csak hívta, egyre hívta.	0.3
Cô quay khuôn mặt trắng bợt của mình về phía anh,bị động, như một con thú tuyệt vọng.	Eveline feléje fordította fehér arcát, megadón, mint egy tehetetlen állat.	0.2
ánh mắt cô nhìn anh không có chút biểu hiện nào, không tình yêu hay lời vĩnh biệt hay nhận ra anh.	Szemében jele se villant szerelemnek, búcsúnak, felismerésnek.	0.103279
Sau Cuộc Đua	VERSENY UTÁN	0.276923
Những chiếc xe lao nhanh về phía Dublin, lướt đi đều đặn như những viên đạn trên lòng đường Naas.	Az autók viharosan közeledtek Dublin felé, nyílegyenesen gördülve, mint apró golyóbisok a Naas út vájatában.	0.291509
Trên đỉnh đồi đoạn Inchicore những người hiếu kỳ đã tụ tập thành nhóm chờ đoàn đua đi qua, và qua con kênh nghèo đói và tù đọng này châu u lục địa tung ra sự giàu có và nền công nghiệp của nó.	Inchicore-nál, a dombtaréjon a nézők csoportokba verődve figyelték a hazafelé száguldó autókat. ~~~ A szegénységnek és tétlenségnek ezen a csatornáján át robog a kontinens ipara és gazdagsága.	-0.0217742
Chốc chốc đám người lại hò reo, tiếng hò reo của những con người bị kìm kẹp nhưng đầy lòng biết ơn vì bị kìm kẹp.	A tömeg újra meg újra meglobogtatta a hálás elnyomottak éljenét.	-0.0190476
Tình cảm của họ, tuy nhiên, là dành cho đội xe màu xanh - xe của những người bạn họ, người Pháp.	Rokonszenvük azonban a kék autók mellett tüntetett - barátaik, a franciák autói mellett.	0.439286
Người Pháp, hơn nữa lại gần như là những người chiến thắng.	Igen, a franciák győzteseknek születtek.	0.0675
Đội đua của họ khá vững, họ giành được ngôi vị thứ hai và thứ ba còn tay đua lái chiếc xe Đức về đích đầu tiên nghe đâu lại là một người Bỉ.	Fölényes biztonsággal futottak be a második és harmadik helyre, s a győztes német kocsi sofőrjéről is mindenki tudta, hogy belga.	0.198347
Mỗi chiếc xe màu xanh vì vậy được reo hò nhiều gấp đôi mỗi khi lên đến đỉnh đồi, và mỗi làn sóng hò reo vang lên lại được đón nhận bằng những nụ cười và cái gật đầu của những người trong xe.	Ezért a kék autókra kétszeres erővel zuhogott az éljen, amint a dombtaréjon áthaladtak, s a lelkes ünneplésnek minden egyes kitörését mosolyokkal és fejbiccentésekkel nyugtázták a kocsikban ülők.	0.252381
Trong một trong chiếc xe bóng mượt đó là một nhóm bốn chàng trai trẻ với tinh thần hiện giờ hình như còn lên cao hơn cả tinh thần chiến thắng Gaulois, nếu không nói bốn chàng đang vui phát cuồng.	Az egyik karcsú testű autóban négy tagú társaság ült, csupa fiatalember. ~~~ Jelenlegi hangulatuk jóval túlhaladta a franciás diadalmámort: a négy fiatalembert majdhogynem szétvetette az öröm.	-0.0196721
Họ là Charles Ségouin, chủ chiếc xe, André Riviere, một thợ điện trẻ sinh tại Canada, một người Hungary cao lớn tên Villona và một người đàn ông trẻ trông chải chuốt chỉnh tề tên Doyle.	Az egyik Charles Ségouin, a kocsi tulajdonosa, mellette André Rivičre, a kanadai születésű fiatal villanyszerelő; mögöttük egy Villona nevű szálas magyar s egy jól öltözött fiatalember, akit Doyle-nak hívtak.	0.69697
Ségouin đang thấy rất vui vẻ vì anh ta vừa bất ngờ nhận được mấy lời đặt hàng trước (anh ta đang chuẩn bị mở một hãng buôn xe ở Paris) và Riviere đang thấy rất vui vẻ bởi anh ta chuẩn bị được mời làm quản lý công ty đó, hai người đàn ông trẻ này (là anh em họ với nhau) thấy rất vui vẻ còn bởi sự thành công của đội đua Pháp.	Ségouin nagyon jó hangulatban volt, mivel váratlanul kapott néhány előzetes megrendelést (most készült autógyárat alapítani Párizsban), és Rivičre is nagyon jó hangulatban volt, mint a vállalat leendő ügyvezetője; és ez a két fiatalember (két unokatestvér) azért is nagyon jó hangulatban volt, mert szépen szerepeltek a francia kocsik.	0.324645
Villona thấy rất vui vẻ bởi anh ta vừa được ăn một bữa trưa cực kỳ ngon lành, và ngoài ra, anh ta vốn là người lạc quan.	Villona pedig azért volt nagyon jó hangulatban, mert alaposan beebédelt, s emellett természettől fogva is derűs színben látta a világot.	0.438133
Thành viên thứ tư của nhóm, tuy nhiên, lại đang quá phấn khởi đến mức không thể cảm thấy vui sướng một cách thực sự.	A társaság negyedik tagjának örömét azonban elnyomta az izgalom.	-0.0285714
Anh ta khoảng hai mươi sáu tuổi, có hàngria mềm mại màu nâu nhạt và đôi mắt xám trông khá thơ ngây.	Huszonhatodik évében járt, puha, világosbarna bajusza és ártatlan tekintetű szürke szeme volt.	0.254348
Cha anh ta, từng là một nhà Dân Tộc chủ nghĩa kỳ cựu ngay từ hồi trẻ, đã sớm thay đổi nhãn quan của anh ta.	Apja annak idején haladó nacionalistaként kezdte, de aztán hamarosan megváltoztatta nézeteit.	0.216667
Ông kiếm nhiều tiền từ cửa hàng thịt của mình ở Kingstown, và bằng cách mở thêm cửa hiệu ở Dublin và vùng lân cận ông càng làm cho tiền của mình sinh sôi nảy nở.	Kingstowni mészárszékéből egy kis pénzt szedett össze, s mikor üzletei Dublinban és a peremvárosokban megnyíltak, ez a kis pénz tetemes vagyonná növekedett.	0.246
Ông cũng có cơ may kiếm được mấy hợp đồng cung cấp thực phẩm cho giới cảnh sát và cuối cùng đã trở nên giàu có đủ để được nhắc đến trên báo chí Dublin như một đại gia.	Vevőkörébe a rendőrséget is sikerrel beszervezte, s végtére olyan gazdag lett, hogy a dublini lapok reklámjai csak mint "a kolbászkirály"-t emlegették.	0.195105
Ông đã gửi con trai mình sang Anh theo học một trường trung học Công giáo lớn và sau đó gửi anh ta đến Đại học Tổng hợp Dublin để học luật.	Fiát Angliába küldte tanulni, egy híres katolikus kollégiumba, ezután pedig Dublinba, hogy az egyetemen jogot hallgasson.	0.19646
Jimmy không chí thú với việc học hành cho lắm và có thời gian còn giao du với những thành phần bất hảo.	Jimmy a tanulást nem­igen vette szívére, és egy darabig csakugyan eljárt az egyetem mellé.	0.411765
Anh ta có tiền và anh ta nổi tiếng, và anh ta phân chia thời gian một cách khó hiểu giữa hội chơi nhạc và hội đua xe.	Pénzes volt és népszerű; idejét sajátos módon a zene- és autókedvelők között osztotta meg.	0.2
Rồi họ mời anh ta theo học một kỳ ở Cambridge để được nếm trải cuộc đời tí chút.	Aztán Cambridge-be küldték egy szemeszterre, hogy egy kis életet lásson.	0.186957
Cha anh ta, nổi giận, nhưng lại ngấm ngầm hãnh diện về những trò ngông cuồng này của con trai, đã trả mọi hoá đơn cho anh ta và lôi cổ anh ta về nhà.	Apja méltatlankodva, de titokban büszkén a kicsapongásokra, fizette számláit, majd hazavitte a fiút.	0.109375
Chính tại Cambridge anh ta đã gặp Ségouin.	Cambridge-ben ismerkedett meg Ségouinnel.	0.27
Hồi đó họ chưa thực sự thân nhau, nhưng Jimmy thấy thật vinh dự được quen biết một người đã từng được khám phá thế giới nhiều như thế và nghe đồn còn là chủ của mấy khách sạn lớn nhất nước Pháp.	Nem volt ez több közömbös ismeretségnél, de Jimmy nagy gyönyörűségét lelte benne, hiszen Ségouin annyi mindent látott a világból, s az hírlett róla, hogy övé az egyik legnagyobb franciaországi szálloda.	0.35062
Một người như vậy (cha anh ta cũng đồng ý) thật đáng để quen, ngay cả nếu anh ta thực ra không phải là người đồng hành duyên dáng lắm.	Ilyen embert pedig (e tekintetben egyetértettek apjával) érdemes ismerni, még akkor is, ha történetesen nem lenne az az angyali jópajtás, aki valójában.	0.289437
Villona cũng rất thú vị - một nghệ sĩ piano tài năng - nhưng, thật đáng tiếc, lại rất nghèo.	Villona is szórakoztató gyerek volt - ragyogó zongorista -, de sajnos nagyon szegény.	0.647802
Chiếc xe vui vẻ lao đi, bên trên là những người chủ đang sướng điên.	A kocsi jókedvűen robogott vidám ifjú terhével.	0.114894
Hai anh em họ ngồi băng ghế trước, Jimmy và người bạn Hungary của anh ta ngồi phía sau.	Az unokatestvérek elől, Jimmy magyar barátjával a hátsó ülésen.	0.473438
Rõ ràng Villona đang ở trong một tâm trạng tuyệt hảo, anh ta nhẩm hát một giai điệu bè rất trầm suốt đường đi.	Villona magas kedvében volt; mérföldeken át zümmögött egy dallamot mély basszus hangján.	0.41008
Hai người Pháp ném qua vai những tràng cười và lời bông đùa của họ về phía sau, và Jimmy cứ phải rướn về phía trước để bắt những âm thanh chớp nhoáng.	A franciák válluk fölött dobták hátra a nevetést a könnyű szókkal, és Jimmynek sokszor kellett erőlködve előrebuknia, hogy a gyors kis mondatokat fülöncsípje.	0.272727
Tất cả những thứ này chẳng thích thú lắm đối với anh ta, bởi gần như lần nào anh ta cũng phải đoán đại ý nghĩa của chúng rồi hét một câu phù hợp trong tiếng gió táp vào răng.	Ez nem volt valami kellemes, mivel majdnem mindig hallatlan fürgeséggel kellett lecsapnia a szavak jelentésére, s a megfelelő választ visszaordítani, szemben az erős széllel.	0.242236
Thêm nữa, khúc nhạc của Villona làm mọi người không nghe rõ, cả tiếng xe chạy nữa.	Emellett Villona zümmögése zavarta és a kocsizaj is.	0.387333
Được lao đi như tên bắn làm người ta phấn chấn, được có tiếng cũng thế, được sở hữu tiền bạccũng vậy.	A sebes mozgás fellelkesít, a hírhedtség ugyancsak, pénz birtoklása nem kevésbé.	0.132911
Đó là ba lý do cho cơn hứng khởi của Jimmy.		-0.3
Hôm nay rất nhiều bạn bè đã nhìn thấy anh ta đi cùng với những người châu u lục địa này.	Igen, ma sok barátja láthatta őt ezeknek a kontinenslakóknak a társaságában.	0.202703
Tại trạm nghỉ Ségouin đã giới thiệu anh ta với một trong những tay đua người Pháp và để đáp lại lời lúng búng khen ngợi đầy bối rối của anh ta, gương mặt ngăm đen của tay đua loé ra một hàng răng trắng bóng.	Az ellenőrzésnél Ségouin bemutat­ta az egyik francia versenyzőnek, és válaszképpen zavart-udvarias mormogására, az autós feléje villantotta barna arcából fehér fogsorát.	0.3375
Được hưởng vinh dự đó rồi phải quay lại thế giới ngoại đạo làm khán giả với những cú huých và cái nhìn ngưỡng mộ thì cũng đáng.	Kellemes dolog volt ekkora megtisz­teltetés után visszatérni a nézősereg profán világába, az avatatlanok közé, akik egymást könyékkel döfködve, jelentőségteljes pillantásokkal böktek őfeléjük.	0.207383
Còn về tiền bạc - thật sự anh ta đang có trong tay một khoản kha khá.	Aztán ami a pénzt illeti - szép kis összeg lapult a zsebében.	0.445055
Ségouin có lẽ sẽ không cho đấy là một khoản khá, nhưng Jimmy, mặc dù đôi lúc phạm phải sai lầm, đã thực sự thừa kế được những bản năng quan trọng, anh ta hiểu rõ để có được khoản đó phải khó khăn thế nào.	Ségouin talán nem tartaná olyan nagy összegnek, de Jimmy, aki - időnkénti tévelygései ellenére - szívében szolid ösztönöket hordott örökségül, nagyon is tudta, milyen nehézségek árán jött össze ez a pénz.	0.4395
Khả năng này trước đây từng giúp giữ những hoá đơn của anh ta nằm yên trong giới hạn xả láng nhưng hợp lý nếu anh ta đã từng nhận thức vô cùng rõ ràng về giá trị đồng tiền ngay cả khi vấn đề chỉ là có nên đáp lại những phút bốc đồng hay không, thì giờ đây anh ta càng nhận thức rõ hơn khi sắp sửa kiếm được một khoản lớn trong vụ này!	Ezek az ösztönök tartották már előzőleg is a számláit a még megengedhető vakmerőség határán belül. ~~~ Jól ismerte a pénzében fekvő munka nagyságát, mikor a magasabb intelligencia néhány szeszélyéről volt szó csupán, de mennyivel inkább érezte ezt most, mikor vagyonának nagyobb részét akarta kockára tenni!	-0.0377517
Đối với anh ta đây thực sự là chuyện nghiêm túc.	Mert ez nagyon komoly dolog.	-0.06
Dĩ nhiên, vụ đầu tư này là đáng gía, và Ségouin đã xoay sở để tạo được ấn tượng rằng nhờ vào tình bằng hữu mà món tiền Ireland nhỏ nhoi đó sẽ được góp chung vào số vốn của anh ta.	Természetesen a befektetés jó, Ségouin pedig úgy állította be a dolgot, hogy csak a barátság kedvéért engedik Írország filléreit a vállalkozás tőkéjéhez járulni.	0.3425
Jimmy khâm phục sự khôn ngoan của cha mình trong chuyện buôn bán, và trong trường hợp này chính cha anh ta đã đề nghị vụ đầu tư, tiền thu được từ chuyện buôn xe ấy à, có mà hàng núi.	Jimmy mélységesen tisztelte apja agyafúrt üzleti észjárását, és ebben az esetben éppen apja javasolta először a befektetést: autóvállalatba fektetett pénz aranyat fiadzik.	0.380135
Thêm nữa, Ségouin luôn toát ra cái vẻ giàu có không bao giờ thất bại.	Ezenfelül Ségouinből a vagyon félreismer­hetetlen levegője áradt.	0.268657
Jimmy bắt đầu nhẩm tính phải làm bao nhiêu ngày thì mới mua được cái xe tráng lệ mình đang ngồi.	Jimmy megpróbálta a napi munka nyelvére fordítani ezt az isteni kocsit.	0.372727
Nó chạy mới êm chứ!	Hogy suhant!	0
Loại xe này trông thật sành điệu, lướt đi trên những con đường chốn đồng quê!	Micsoda stílussal szelték az országutakat!	-0.0428571
Chuyến đi đặt một ngón tay diệu kỳ của nó lên nhịp đập của cuộc sống thật sự và một cách trang nhã bộ máy thần kinh của con người đã cố sức thoả mãn giới hạn của con vật màu xanh nhanh như gió này.	Ez az utazás az élet lüktető pulzusán tartotta varázsujját, s az emberi idegrendszer gépezete nemesen állta a szárnyrakelt kék állat szédületes iramát.	0.14589
Họ lái vào phố Dame.	Behajtottak a Dame utcába.	0.273913
Phố lúc này đang đông đúc một cách bất thường, ầm ĩ còi xe và chuông xe điện đầy nóng ruột.	Az utcán szokatlan forgalom volt; motorosok tülköltek, villamos­vezetők türelmetlenül csilingeltek.	0.281633
Gần đến Ngân hàng, Ségouin dừng xe và Jimmy cùng bạn anh ta bước xuống.	A Bank mellett Ségouin megállította a kocsit, és a fiúk kiszálltak.	0.489062
Một nhóm nhỏ đang tụ tập trên vỉa hè cháo đón chiếc xe rền máy.	A gyalogjárón kis embercsoport verődött össze, hogy alázattal adózzék a prüsszögő motornak.	0.216667
Tối hôm đó cả bọn sẽ cùng nhau ăn tối tại khách sạn của Ségouin và, lúc này, Jimmy cùng các bạn anh ta, đang ở cùng anh ta, về nhà để thay đồ.	Úgy volt, hogy a társaság együtt költi el az estebédet Ségouin szállodájában, s előtte Jimmy és barátja, aki nála lakott, hazamennek átöltözni.	0.533012
Chiếc xe hướng chầm chậm về phía phố Grafton trong lúc hai người đàn ông trẻ tuổi chen qua đám người hiếu kỳ.	Az autó lassan a Grafton utca felé gördült, a két fiatalember pedig keresztültört a bámészkodók csoportján.	0.424548
Họ bước đi với cảm giác vỡ mộng lạ lùng về tất cả những chuyện này, trong khi thành phố treo lơ lửng khối ánh sáng màu nhạt phía bên trên trong ánh chiều tà một ngày mùa hạ.	Észak felé mentek, szájukban a kiábrándultságnak valami furcsa kis íze, míg a város sápadt fénygömbjeit lóbálta fölöttük a nyáresti homályban.	0.199301
Tại nhà Jimmy, bữa tối này đã được thông báo như một sự kiện trọng đại.	Jimmyék nagy alkalomnak tartották ezt a vacsorát.	0.0574468
Một chút tự hào trộn lẫn lo lắng của cha mẹ anh ta, cả một chút hồi hộp nhất định nữa, trước sự mạo hiểm, bởi ít nhất những cái tên thành phố ngoại quốc kia cũng thể hiện phẩm chất này.	A szülői reszketés büszkeséggel párosult, bizonyosfajta kíváncsisággal, milyen is az a világfias élet, amely a nagy metropoliszoknak már csak a nevéből is sugárzik.	0.197468
Jimmy trông cũng rất chải chuốt trong bộ dạ phục, và khi anh ta đứng trong sảnh, chỉnh lại lần cuối nút thắt cà vạt, cha anh ta chắc hẳn phải cảm thấy thoả mãn, về mặt thương mại mà nói, vi đã bảo trợ cho con trai mình có được những phẩm chất khó có thể mua được.	Jimmy maga is remekül festett új ünneplő ruhájában, és amint a hallban, a tükör előtt állva az utolsó ráncokat is elegyengette nyakkendőjén, apja joggal érezhette megtérülni a befektetést, hogy fiát ennyi, gyakran megfizethetetlen értékű holmival látta el.	0.32507
Cha anh ta, do đó, đã tỏ ra thân thiện một cách lạ thường với Villona, và phong thái của ông thể hiện một sự kính trọng thật sự đối với những tài năng ngoại quốc, nhưng sự khéo léo hiếu khách của ông có lẽ đã biến mất đối với người Hungagry khi anh này bắt đầu thể hiện nhu cầu bức thiết phải được ăn tối.	Az apa azért szokatlanul barátságos volt Villonához, modora határozott elismerést fejezett ki a külföldi gazdasági eredmények iránt; a házigazda elmés megjegyzései azonban valószínűleg célt tévesztettek a magyarnál, akiben mind erőteljesebb hangon kezdte jogait követelni az étvágy.	0.220588
Bữa tối thật tuyệt hảo và cầu kỳ.	A vacsora kitűnő volt, választékos.	0.25
Ségouin, Jimmy kết luận, có một giới thiệu cực kỳ tinh tế.	Jimmy megállapította, hogy Ségouin ízlése kifinomult.	0.661905
Nhóm bọn họ giờ đây có thêm một người Anh trẻ tên là Routh mà Jimmy từng thấy đi với Ségouin hồi ở Cambridge.	A társaság egy Routh nevű fiatal angollal egészült ki, akit Jimmy még Cambridge-ben látott Ségouinnel.	0.603866
Những người đàn ông trẻ ăn trong một căn phòng ấm cúng thắp nến điện.	A fiatalemberek kényelmes szobában vacsoráztak, villamos gyertyák fényénél.	0.280263
Họ trò chuyện liến thoắng không hề giữ kẽ.	A társalgás kedélyesen és gáttalanul folyt.	0.252273
Jimmy, trí tưởng tượng bắt đầu nóng lên, quan sát sức thanh xuân sôi nổi của những người Pháp thanh lịch sóng với phong cách vững vàng bình thản của chàng người Anh.	Jimmy felgyúlt fantáziájában az angol fiú modorának izmos vázát szellemes könnyedséggel fonta át a franciák parázsló ifjúsága.	0.172441
Anh ta đã chọn được cho mình một hình ảnh thật phong nhã, Jimmy nghĩ, và cũng là một hình ảnh chân thực.	Micsoda bájos kép, gondolta, és milyen igaz!	-0.2
Anh ta ngưỡng mộ cách chủ nhà khéo léo dẫn dắt câu chuyện.	Csodálta a házigazda ügyességét, ahogyan a beszélgetést irányította.	0.272308
Năm chàng thanh niên có những gu khác nhau và họ đã bắt đầu nói thả phanh.	Az öt fiatalembernek eltérő ízlése volt, és nyelvüket ugyancsak szabadjára engedték.	0.281013
Villona, với một sự khâm phục lớn lao, bắt đầu thể hiện cho chàng người Anh, đang lấy làm ấn tượng về vẻ đẹp của những khúc madrigan Anh, lấy làm tiếc trước sự mất đi cô những nhạc cụ truyền thống, Riviere, không thực sự nhiệt tình lắm, đảm nhận việc giải thích cho Jimmy những thành tựu của thợ cơ khí Pháp.	Villona óriási elismeréssel kezdte felfedni az enyhén ámuldozó angolnak az angol madrigál szépsé­geit, régi hangszerek kihalását panaszolva. ~~~ Rivičre nem egészen őszinte magyarázatba fogott, hogy Jimmy megérthesse a francia gépészet diadalát.	-0.0705508
Giọng nói sang sảng của người Hungary chuẩn bị át đi tất cả một cách lố bịch về chuyện bọn hoạ sĩ lãng mạn vẽ sai đàn luýt thì Ségouin lái cả bọn sang chủ đề chính trị.	A magyar fiú zengő hangja épp fortissimóba csapott, hogy nevetségessé tegye a romantikus festők hamis mázolmányait, amikor Ségouin a politika felé terelte a társalgást.	0.359623
Đây là lĩnh vực ăn ý của tất cả.	Itt aztán mindnyájuknak megfelelő terepre bukkantak.	0.207692
Jimmy, dưới ảnh hưởng của các tác động hào phóng từ bữa tối, cảm thấy lòng yêu nước của cha mình sống lại trong anh ta, và rất cuộc anh ta đã làm Routh vốn lãnh đạm trở nên giận điên lên.	Jimmy a sokfelől záporozó új benyomások hatására úgy érezte, apja eltemetett buzgósága támad fel benne: felrázta a zsibbadt elméjű Routh-ot is végül. ~~~ Szinte forrt a szoba.	-0.0379518
Căn phòng bắt đầu nóng gấp đôi và nhiệm vụ của Ségouin trở nên mỗi lúc một khó khăn hơn, thậm chí còn có nguy cơ thù oán cá nhân.	Ségouin feladata percenként nehezebbé vált. ~~~ Már-már a személyeskedés veszélye fenyegetett.	-0.0790323
Chủ nhà vội tìm cơ hội để nâng ly của mình lên vì Nhân loại, và khi cả bọn đã uống cạn chầu rượu anh ta vội mở toang cửa sổ.	Az éber házigazda egy alkalmas pillanat­ban poharát az Emberiségre emelte, s mikor a gégék megpihentek, jelentőségteljesen kitárt egy ablakot.	0.288889
Đêm đó thành phố khoác lên mình vẻ ngoài của một thủ đô lớn.	Ezen az éjszakán fővárosi jelmezt öltött a város.	0.174
Năm người đàn ông trẻ thả bộ dọc vườn Stephen's Green trong một làn thuốc thơm.	Öt fiatalember illatos, könnyű füstfelhőbe burkoltan ballagott át a Stephen’s Greenen.	0.285882
Họ nói chuyện ầm ĩ vui vẻ và áo khoác của họ vung vẩy chực tuột khỏi vai.	Hangosan beszéltek és vidáman, köpenyüket átvetették vállukon.	0.221538
Ai cũng tránh đường cho họ.	Az emberek utat nyitottak.	0.2125
Tại góc phố Grafton một người đàn ông béo lùn đang giúp hai phụ nữ xinh đẹp lên xe, dưới sự quan sát của một người đàn ông khác không kém phần béo tốt.	A Grafton utca sarkán egy alacsony, köpcös ember két csinos hölgyet segített be a kocsiba, egy másik köpcös ember mellé.	0.292857
Chiếc xe chuyển bánh và người đàn ông béo lùn thấy bọn họ.	A kocsi elhajtott, és az alacsony, köpcös ember megpillantotta a társaságot.	0.277612
- André!	- André!	2.3
- A Farley!	- Nézd csak, Farley!	1.53
Rồi tiếp theo là một tràng nổ như bắp rang.	Beszélgetés-zuhatag következett.	0.188571
Farley là người Mỹ.	Farley amerikai volt.	1.005
Không ai hiểu rõ lắm câu chuyện là về cái gì.	Senki sem tudta pontosan, miről is folyik a társalgás.	0.3
Villona và Riviere là hai người ầm ĩ nhất, nhưng tất cả bọn họ đều thấy tưng bừng.	Villona és Rivičre voltak a legnagyobb zajjal, de mindenki kézzel-lábbal beszélt.	0.487662
Họ trèo hết lên một chiếc xe, ngồi xếp lại với nhau cười nói ầm ĩ. Họ đi giữa đám đông, giờ đã trộn lẫn thành những sắc màu nhạt và đang chuyển động tới nơi phát ra tiếng nhạc chuông vui vẻ.	Kocsit hívtak, és nagy nevetések közt préselődtek össze benne. ~~~ Tömeg mellett hajtottak el, amely most puha színekké, derűs harangszóvá lényegült.	-0.0760417
Họ lên tàu ở bến Westland Row và chỉ mấy tích tắc sau, Jimmy thấy như vậy, họ đang bước ra khỏi ga Kingstown.	Westland Row-nál vonatra ültek, és néhány másodperc múlva, legalábbis Jimmynek úgy tűnt, már le is szálltak a kingstowni állomáson.	0.418966
Người soát vé chào Jimmy, đó là một ông lão.	Az öreg kalauz üdvözölte Jimmyt:	0.154545
- Chúc ngài một buổi tối vui vẻ!	- Szép jó estét, uram!	0.609091
Đó là một đêm mùa hè trời quang tạnh, cảng nằm im như một tấm gương tối thẫm dưới chân.	Tiszta nyári éjszaka volt; a kikötő mint sötét tükör hevert a lábuk előtt.	0.184932
Họ tiến đến gần nó tay khoác tay, miệng hát điệp khúc bài Cadet Roussel, cùng giậm chân mỗi khi đến đoạn ~~~ - Ho!	Kart karba öltve sétáltak feléje, és kórusban énekelték a Cadet Rousselt, lábukkal mindig dobbantva, mikor az jött, hogy "Ho!	0.071087
Ho!	Ho!	1.8
Hohé, vraiment!	Hohé, vraiment!"	1.28125
Họ lên một chiếc thuyền chỗ bến tàu và chèo đến chiếc du thuyền của người Mỹ.	A mólónál csónakba ültek. ~~~ Siklottak az amerikai jachtja felé.	-0.0725806
