Émile Zola	ÉMILE ZOLA	0.3
Không khí dầy đặc của phòng ăn làm nàng ngạt thở, sự yên lặng rợn người, những lằn sáng vàng vọt ngấm vào nàng một nỗi khiếp sợ mơ hồ, một nỗi bàng hoàng không tài nào diễn tả.	Az ebédlő sűrű légköre fojtogatta; a fagyos csönd, a lámpa sárgás világa valami határozatlan borzalmat, valami kifejezhetetlen aggodalmat keltett benne.	0.184932
Họ đã đặt ở dưới, nơi cánh cửa một chuông báo có tiếng kêu nhọn sắc cho biết có khách hàng bước vào.	Lenn, az üzlet ajtaja fölé egy csengőt akasztottak, amelynek éles csengetése jelezte, ha vevő lépett a boltba.	0.262136
Thérèse căng tai nghe ngóng, khi chuông vang lên, nàng nhanh chân bước xuống, sung sướng vì đã thoát khỏi phòng ăn.	Therese oda figyelt; amint hallotta a csengetést, gyorsan lement, megkönnyebbülve és boldogan, hogy kimehet az ebédlőből.	0.286842
Nàng nhẩn nha bán hàng.	Lehetőleg lassan végezte a dolgát.	0.192
Khi được một mình, nàng đến ngồi phía sau quầy hàng, ở lại đó thật lâu trong khả năng có thể, rất sợ phải trở lên, để nhấm nhá niềm vui đích thực khi không còn Grivet và Olivier trước mặt mình.	Amint egyedül volt, leült hátul az irodában, s lehetőleg sokáig maradt ott; nem akart visszamenni, s élvezte azt az igazi örömet, hogy Grivet és Olivier nincs többé a szemei előtt.	0.402639
Không khí ẩm ướt của cửa tiệm làm dịu đi cơn sốt nóng bỏng đôi bàn tay.	A bolt nyirkos levegője lecsillapította lázát, mely égette a kezeit.	0.221538
Và nàng chìm vào cơn mộng mị nặng nề thường hay xảy đến.	S aztán visszaesett abba a komoly ábrándozásba, amely szokása volt.	0.290625
Nhưng nàng không thể ở đó lâu như vậy.	De nem maradhatott így sokáig.	0.144828
Camille bực mình vì sự vắng mặt của nàng, và không hiểu tại sao có người lại có thể thích thú cửa tiệm hơn phòng ăn, vào buổi tối thứ năm.	Camille bosszankodott a távolléte miatt; nem értette, hogy csütörtökön este valaki szívesebben időzik a boltban, mint az ebédlőben.	0.391228
Thế là gã nghiêng mình trên lan can, đưa mắt tìm vợ.	Lehajolt a lépcső korlátja fölé és a felesége után nézett:	0.283929
- Này!	- No mit csinálsz ott lenn?	0.571429
- gã la lên - Em ở đó làm gì thế?	- kiáltotta.	0.815385
Sao không lên?...	- Miért nem jössz fel?...	0.2
Grivet gặp vận may quái quỷ, ông ta lại thắng thêm ván nữa.	Grivetnek pokoli szerencséje van. ~~~ Már megint nyer.	-0.0459184
Thiếu phụ nặng nề đứng lên và trở về lại chỗ cũ đối diện với ông già Michaud, lúc đó đôi môi đang trề ra với nụ cười phát tởm.	A fiatal asszony keservesen fölkelt és ismét elfoglalta helyét az öreg Michaud-val szemben, akinek lecsüngő ajkai utálatosan mosolyogtak.	0.255814
Và đến mười một giờ, nàng ngồi rũ rượi trên ghế dựa, nhìn con Francois đang ôm trong tay để khỏi trông thấy những con búp bê giấy bồi đang nhăn nhở xung quanh mình.	És tizenegy óráig a karosszékébe merült, Françoist nézegetve, melyet a karján tartott, - mert nem akarta látni azokat az élettelen bábokat, melyek körülötte vigyorogtak.	0.27037
Chương 5	V.	-0.4
Một ngày thứ năm, khi từ sở làm trở về, Camille dẫn theo một anh chàng cao lớn, vai ngang mà gã đẩy vào cửa tiệm với một điệu bộ thân mật.	Egy csütörtöki napon a hivatalból hazajövet, Camille egy nagy, szélesvállú fickót hozott magával, akit egészen bizalmas mozdulattal tessékelt be a boltba.	0.42616
- Mẹ - gã hỏi bà Raquin trong khi chỉ vào anh ta - mẹ biết người này chứ?	- Anyám, - kérdezte Raquinnét, a fiatal emberre mutatva, - megismered-e ezt az urat?	0.9
Bà hàng xén già nhìn gã to cao, lục tìm trong ký ức và không nghĩ ra gì hết.	Az öregasszony végigmérte a fickót, kutatott az emlékei között, de nem talált rá.	0.292208
Thérèse theo dõi cảnh đó với vẻ thản nhiên.	Therese csöndesen nézte ezt a jelenetet.	0.205263
- Thế nào! ~~~ - Camille tiếp tục - Mẹ không nhận ra Laurent, thằng nhỏ Laurent, con trai của cha Laurent, người có những cánh đồng lúa mì tuyệt đẹp ở canh Jeufosse sao?...	- Hogyan - szólt ismét Camille, - te nem ismered meg Laurentet, a kis Laurentet, annak a Laurent bácsinak a fiát, akinek olyan szép szántóföldjei vannak a jeufossei dülőben?...	0.0971698
Mẹ không nhớ ra sao?...	Nem emlékszel rá?...	0.242857
Con đã đi học cùng hắn, hắn đến tìm con buổi sáng khi ra khỏi nhà chú hắn, là hàng xóm của mình đó, và mẹ đã cho hắn những lát bánh mì phết mứt ấy.	Együtt jártam vele iskolába; egyszer reggel, mikor a szomszédságunkban lakó nagybátyjától jött, bejött hozzánk és te lekváros-kenyeret adtál neki.	0.2625
Bà Raquin bỗng nhiên nhớ lại thằng bé Laurent mà bà thấy nó to lớn đáng ngạc nhiên.	Raquinnénak egyszerre eszébe jutott a kis Laurent, s azt mondta, hogy azóta roppantul megnőtt.	0.286047
Có đến hai mươi năm trời bà đã không gặp hắn.	Már jó húsz esztendeje, hogy nem látta.	0.181579
Bà muốn làm quên đi sự đón tiếp ngỡ ngàng của mình bằng một tràng những kỷ niệm, bằng những lời vuốt ve hệt như tình mẫu tử.	Azt, hogy oly csodálkozva fogadta, azzal akarta elfelejtetni, hogy egyszerre megindította visszaemlékezéseinek egész áradatát s anyáskodóan hízelgett neki.	0.287413
Laurent đã ngồi xuống, hắn mỉm cười bình thản, trả lời bằng một giọng rõ ràng, đảo mắt nhìn quanh một cách bình tĩnh và thoải mái.	Laurent leült, csendesen mosolygott, tiszta hangon felelgetett, s nyugodt, könnyű pillantásokkal tekintett körül a boltban.	0.404741
- Hãy tưởng tượng xem, - Camille nói - gã bợm này đã là nhân viên của ga đường sắt Orléans mười tám tháng nay. ~~~ Thế mà chúng tôi chỉ mới gặp nhau và nhận ra nhau buổi chiều này.	- Képzeljétek csak - mondotta Camille - ez a fickó már tizennyolc hónap óta az orléansi vasútnál van alkalmazva és nem találkoztunk és nem ismertünk egymásra, csak ma este.	0.178651
Quả là cơ quan này thênh thang, tầm cỡ biết chừng nào!	Olyan nagy, olyan óriási a mi hivatalunknak a személyzete!	0.272222
Gã trai trẻ nhấn mạnh lời nhận xét bằng cách tròn xoe cặp mắt, mím chặt hai môi, trong khi kiêu hãnh rằng mình là bánh xe xoàng xĩnh của một cỗ máy khổng lồ.	Mikor a fiatal ember előadta ezt az észrevételét, szemeit tágra nyitotta s az ajkait összeszorította, - egész büszke volt rá, hogy ő egy ilyen nagy gépezetnek egyik szerény kereke.	0.296386
Gã tiếp tục, trong khi vẫn lắc lư cái đầu.	Aztán a fejét lehajtva, így folytatta:	0.210811
- Chậc! ~~~ Vậy mà anh ta, sức khoẻ tốt, có học vấn, đã kiếm được đồng lương một ngàn năm trăm francs… Anh ta đã được cha cho vào trường trung học, theo ngành luật và học hội hoạ.	- Ó, de neki jól megy a dolga, már ezerötszáz frank a fizetése... Az atyja kollégiumba járatta, jogot is végzett és festeni tanult.	-0.085
Phải vậy không, Laurent?	Ugy-e, Laurent?...	0.15
Cậu sẽ dùng bữa tối với chúng tôi chứ?	Ma velünk ebédelsz.	-0.09
- Tôi thích lắm - Laurent trả lời dứt khoát.	- Nagyon szivesen, válaszolt Laurent egész nyiltan.	1.04362
Hắn cởi mũ và bước vào trong tiệm.	Letette a kalapját és leült a boltban.	0.266667
Bà Raquin lăng xăng thu dọn, còn Thérèse, vẫn chưa thốt lời nào, đưa mắt nhìn người mới đến.	Raquinné felszaladt a lakásba a lábasai közé.	-0.0933333
Nàng chưa bao giờ chú ý đến một người đàn ông.	Therese, aki eddig még nem szólt egy szót sem, megnézte a jövevényt.	0.244444
Laurent to lớn, mạnh mẽ, khuôn mặt tươi tỉnh khiến nàng ngạc nhiên.	Még sohasem nézett meg egy férfit.	-0.0818182
Nàng ngắm nghía với vẻ gì đó ngưỡng mộ vầng trán thấp, mái tóc đen bờm xờm dựng lên, hai gò má đầy đặn, cặp môi đỏ, gương mặt cân đối, một cái đẹp sung mãn.	Bizonyos csodálattal nézte alacsony homlokát, melyet mintha beültettek volna durva fekete hajjal, s telt arcát, piros ajkait, szabályos ábrázatát, - a vértől szinte kicsattanó szépség volt.	0.294972
Nàng dừng lại một chút trên cái cổ của hắn, nó rộng và ngắn, đầy đặn và mạnh mẽ.	Tekintete egy pillanatra megakadt a nyakán; ez a nyak széles volt és rövid, kövér és erős.	0.257143
Rồi nàng lặng người nhìn kỹ hai bàn tay to tướng hắn duỗi ra trên đầu gối, những ngón tay vuông vắn, nắm lại hẳn là một quả đấm khổng lồ có thể đập chết một con bò.	Aztán hosszasan nézegette kövér kezeit, melyeket a térdeire szinte kiteregetett: az ujjai vastagok voltak; összeszorított öklének óriásinak kellett lennie és le birt volna vele ütni egy ökröt.	0.29011
Laurent đích thực là con trai của một nông dân, dáng đi hơi nặng nề, lưng khum, cử động chậm và chính xác, vẻ điềm tĩnh và bướng bỉnh.	Laurent igazi parasztfiú volt; a tartása kissé nehézkes, a háta kissé hajlott, mozdulatai lassúak és szabatosak, a tekintete nyugodt és dacos.	0.4
Người ta cảm thấy bên trong lớp y phục những bắp thịt tròn và nở nang, cả một thể xác đậm đặc và rắn chắc.	A ruhája alatt szinte érezni lehetett kerek és fejlett izmait, - vastag és erős húsból volt az egész teste.	0.223469
Và Thérèse tò mò xem xét hắn, từ nắm tay đến gương mặt, cảm thấy thoáng run lên khi bắt gặp chiếc cổ bò mộng của hắn.	Therese kiváncsian nézegette, tekintete ökleitől az arcáig futott, s egy kissé megborzadt, mikor a szemét a hatalmas bikanyakra vetette.	0.285714
Camille bày ra những tuyển tập Buffon của gã và những ấn phẩm mười xu cốt chứng tỏ cho bạn biết tự mình cũng trau giồi kiến thức.	Camille mutogatta Buffon köteteit s a tiz centime-os füzeteket; a barátjának ezzel akarta mutatni, hogy ő is dolgozik.	0.514855
rồi như trả lời câu hỏi mà gã đưa ra lúc này.	S aztán, mintha egy oly kérdésre felelne, melyet maga tett fel magának már néhány perccel előbb, - így szólt Laurenthoz:	-0.0588235
- Mà này - gã nói với Laurent - chắc cậu biết vợ tôi chứ?	- Te, mondd csak, neked ismerned kell a feleségemet?	0.502174
Cậu không nhớ cô em họ nhỏ xíu chơi đùa với chúng ta ở Vernon sao?	Nem emlékezel arra a kis unokatestvéremre, aki velünk szokott játszani Vernonban?	0.278873
- Tôi hoàn toàn nhận ra bà - Laurent trả lời trong khi nhìn thẳng vào Thérèse.	- Teljesen felismertem, asszonyom, - felelt Laurent, Therese arcába tekintve.	0.806883
Dưới cái nhìn thẳng thừng tưởng như xuyên thấu người nàng, thiếu phụ cảm thấy cái gì đó khó chịu.	Egyenes tekintete szinte átfúrta Thereset, a fiatal asszony ettől egy kissé furcsán érezte magát.	0.228261
Nàng nở một nụ cười gượng gạo và trao đổi vài câu với Laurent và người chồng, đoạn nàng vội vã trở vào với người cô.	Mosolyt erőltetett az ajkára, néhány szót váltott Laurenttel és a férjével, s aztán ő is a nagynénje után sietett.	0.226364
Nàng thấy đau đớn.	Nem jól érezte magát.	0.286364
Mọi người vào bàn ăn. ~~~ Vào đầu bữa ăn, Camille thấy cần phải quan tâm tới bạn mình.	Asztalhoz ültek, Camille már a levesnél úgy gondolta, hogy állandóan foglalkoznia kell a barátjával.	0.0453782
- Cha cậu khoẻ không?	- Hogy van az apád?	0.694118
- gã hỏi.	- kérdezte tőle.	0.886364
- Tôi cũng chẳng biết - Laurent trả lời - Chúng tôi không hợp nhau, đã năm năm nay chúng tôi không trao đổi thư từ nữa.	- Bizony én nem tudom - válaszolt Laurent. ~~~ Haragban vagyunk; már öt esztendeje, - hogy nem írunk egymásnak.	0.0984848
- Ô hay!	- Ugyan!	1.3
- gã nhân viên kêu lên, ngạc nhiên vì có chuyện quái lạ như vậy.	- kiáltott fel Camille, aki csodálta, hogy ilyen szörnyű dolog is lehetséges.	0.517726
- Đúng đấy, ông thân tôi có những suy nghĩ về phần ông ấy.		-0.3
Và… ông liên tục theo đuổi chuyện kiện cáo với những người láng giềng, ông đã gởi tôi vào trường, mơ rằng sau này sẽ tìm ở tôi một thầy cãi giúp ông thắng mọi vụ kiện… Ôi!	- Igen, a kedves embernek bogarai vannak... Mivel folytonosan pörlekedik a szomszédaival, engem kollégiumba járatott; arról ábrándozott, hogy majd ügyvéd lesz belőlem és megnyerem az összes pöreit!...	0.284043
Ông già Laurent chỉ có những tham vọng tự tư tự lợi, ông muốn được lợi cả trong những chuyện điên rồ của ông ấy.	Ó, Laurent apónak csak hasznos ambiciói vannak; még a bolondságaiból is hasznot akar szerezni.	0.360227
- Còn cậu thì không muốn làm luật sư!	- És te nem akartál ügyvéd lenni?	0.590625
- Camille nói, càng lúc càng ngạc nhiên hơn.	- kérdezte Camille, egyre jobban csodálkozva.	0.714618
- Quả là không - bạn gã vừa cười vừa tiếp lời - Trong hai năm tôi làm như theo đuổi chuyện học hành, cốt để nhận được một ngàn hai trăm francs ông già tôi chu cấp.	- Szavamra, nem - válaszolt a barátja nevetve. ~~~ - Két évig úgy tettem, mintha járnék az egyetemre, hogy megkapjam azt az ezerkétszáz frankot, amit az apám rendelkezésemre bocsátott.	0.0633929
tôi sống với một trong những gã bạn cùng trường, là hoạ sĩ, và tôi cũng bắt đầu theo học hội hoạ.	Egy kollégiumi iskolatársammal laktam együtt, aki festő és én is festészettel kezdtem foglalkozni.	0.245745
Cái đó làm tôi thích. ~~~ Cái nghề nghĩ cũng kỳ cục, không mệt xác.	Ez mulattatott; nagyon mulatságos mesterség az, nem fárasztó.	-0.0330508
Chúng tôi hút xách, chơi đùa suốt ngày…	Pipázgattunk és fecsegtünk egész nap...	0.2625
Cả gia đình Raquin tròn xoe mắt.	A Raquin-család tágra nyitotta a szemeit.	0.255882
- Thật khốn khổ - Laurent tiếp tục - chuyện đó không kéo dài được lâu.	- Szerencsétlenségemre - folytatta Laurent - ez a dolog nem tarthatott sokáig.	1.1935
Ông già biết ra là tôi toàn nói dối, ông cắt sạch tiền trợ cấp hàng tháng của tôi, và mời tôi trở về cuốc đất với ông ấy.	Az apám megtudta, hogy hazugságokat mesélek neki, megvonta tőlem a havi száz frankot és hazahívott, hogy vele együtt túrjam a földet.	0.266129
Thế là tôi thử vẽ những bức tranh thánh, chuyện làm ăn tồi tệ… Vì thấy rõ là mình sắp sửa chết đói đến nơi, tôi tống cổ nghệ thuật đi rồi tìm kiếm một việc làm… Cha tôi ngày một ngày hai rồi cũng sẽ chết, tôi chờ đến lúc đó để sống mà không phải làm gì ráo.	Megpróbáltam azután, hogy szent képeket fessek; rossz üzlet volt... Mivel tisztán láttam, hogy így éhen halok, az ördögökre bíztam a festészetet és valami foglalkozást kerestem... Az apám bizonyosan meghal egy szép napon, - ezt megvárom és azután úgy élek, hogy nem dolgozom semmit.	0.264773
Laurent nói với giọng bình thản.	Laurent nyugodt hangon beszélt.	0.84
Qua vài lời lẽ, hắn vừa kể một câu chuyện đặc trưng khắc hoạ toàn bộ con người hắn.	Néhány szóval egy oly jellemző dolgot beszélt el, amely egyéniségét egészen lefestette.	0.25814
Thực sự, đó là một gã lười nhác, có những ham muốn nhục thể, những dục vọng rất thẳng thừng được hưởng thụ dễ dàng và lâu dài.	Alapjában véve lusta ember volt; vérmes étvágya volt, könnyű és tartós élvezetekre vágyott.	0.105495
Cái cơ thể to lớn lực lưỡng đó chỉ muốn không làm gì cả, muốn nằm ườn ra trong sự nhàn hạ và thoả mãn mãi mãi.	Ez a nagy, hatalmas test semmi mást nem kívánt, mint hogy semmit se tegyen, csak dőzsöljön a semmittevésben és hogy minden órában ki legyen elégítve.	0.2688
Hắn muốn được ăn ngon, ngủ tốt, thoả mãn hậu hĩ những đam mê, không phải di chuyển, không phải nhọc công nào đó để đuổi theo vận rủi.	Jól akart enni, jól akart aludni, bőségesen ki akarta elégíteni szenvedélyeit anélkül, hogy a helyéből kimozdulna, anélkül, hogy az a veszély érhetné, hogy valami fáradságot el kell szenvednie.	0.237255
Nghề làm luật sư làm hắn ngán ngại, và hắn rùng mình với ý nghĩ phải cuốc đất.	Az ügyvédi foglalkozástól megijedt s attól a gondolattól is visszarettent, hogy szántson-vessen.	0.29
hắn lao vào nghệ thuật với hy vọng tìm được ở đó một nghề chây lười, cây cọ đối với hắn có vẻ là một dụng cụ nhẹ nhàng khi thao tác, rồi hắn tin là thành công dễ dàng.	A művészetre vetette magát, remélve, hogy ez a rest embereknek való mesterség; úgy látta, hogy az ecset könnyen kezelhető szerszám, s azt hitte, hogy könnyen sikert arat.	0.235032
Hắn mơ tưởng một cuộc sống khoái lạc rẻ tiền, một cuộc sống tươi đẹp đầy ắp đàn bà, được nghỉ ngơi trên những chiếc đi văng, được ăn uống và chè chén.	Arról ábrándozott, hogy az élete tele lesz olcsó élvezetekkel, szép élete tele lesz nőkkel, nyugodni fog a dívánon s ehetik-ihatik, amennyi jól esik.	0.212143
Giấc mơ kéo dài chừng nào mà ông già Laurent còn gửi những đồng bạc cho hắn.	Ez az ábránd addig tartott, míg Laurent apó küldte neki a pénzt.	0.410769
Nhưng đến khi gã trai trẻ đến tuổi ba mươi, đã thấy ló dạng mùi khốn khổ, hắn bắt đầu phản tỉnh. ~~~ Hắn cảm thấy hèn nhát trước những thiếu thốn, không thể chấp nhận một ngày không có miếng ăn vì sự vinh quang cao cả hơn của nghệ thuật.	De mikor ez a fiatal ember, aki már harminc éves volt, azt látta, hogy a nyomor jelentkezik a szemhatáron, elkezdett gondolkozni; gyávának érezte magát a nélkülözésekkel szemben; a legnagyobb művészi dicsőségért sem vállalt volna el egy olyan napot, amelyen éheznie kell.	-0.00956175
và như hắn đã nói, hắn tống khứ nghệ thuật vào cái ngày hắn nhận ra rất nó không bao giờ thoả mãn được những dục vọng vô bờ bến của hắn.	Amint mondotta, az ördögökre bízta a művészetet azon a napon, amikor rájött, hogy nem elégítheti ki vele nagy étvágyát.	0.187826
Những phác hoạ đầu tiên còn dưới mức tầm thường, con mắt nông dân của hắn nhìn thiên nhiên vụng về và bôi bác. ~~~ Những bức tranh của hắn nhoè nhoẹt, mất cân đối, nhăn nhúm, thách thức mọi sự phê phán.	Első kisérletei a középszerűn alul maradtak; paraszt szeme kancsalul és rútnak nézte a természetet; képei piszkosak, rosszul megszerkesztettek és arcfintorítók voltak, s egyáltalán nem birták el a kritikát.	-0.0220812
Vả chăng, hắn không tỏ ra quá kiêu hãnh như một nghệ sĩ, không quá đỗi tuyệt vọng khi phải quăng cọ đi.	Különben mint művész nem volt nagyon hiú s nem igen esett kétségbe, mikor sutba kellett dobnia az ecsetet.	0.247423
hắn chỉ thực sự hối tiếc xưởng vẽ của người bạn đồng nghiệp, cái xưởng mênh mông ở đó hắn mê mẩn đắm mình trong bốn năm năm.		-0.3
Hắn còn tiếc những người đàn bà đến làm mẫu mà thói bốc đồng của họ tuỳ thuộc vào túi tiền của hắn.	Nem is sajnált egyebet, mint iskolatársának műtermét, azt a tágas műtermet, amelyben oly kéjesen hevert négy vagy öt esztendeig.	0.2975
Cái thế giới hưởng thụ thú tính đó để lại trong hắn những nhu cầu thể xác nhức nhối.	Sajnálta még a nőket is, akik oda jártak modellt állni s akiknek szeszélyeit elbirta az erszénye.	0.27
Dù sao hắn cũng cảm thấy dễ chịu trong cái nghề làm viên chức của mình.	A durva élvezeteknek ez a világa forró vágyakat hagyott meg benne.	0.211475
Hắn sống thuần theo bản năng thú vật, hắn yêu cái công việc đều đặn này, nó không làm hắn mệt nhọc mà còn ru ngủ đầu óc hắn.	Különben nagyon könnyen beleszokott a hivatalnok-életbe; nagyon beletörődött ebbe az állati életbe, szerette ezt a mindennapi munkát, amely nem fárasztotta ki s amely mellett szunyókálhatott az elméje.	0.198592
Chỉ hai chuyện khiến hắn bực bội: thiếu thốn đàn bà và thức ăn ở hàng quán mười tám xu không làm nguôi ngoai sự phàm ăn của dạ dày hắn.	Csak két dolog izgatta: nagyon érezte a nők hiányát, s a tizennyolc souért kapható vendéglői ebédek nem csöndesítették le gyomrának falánk étvágyát.	0.289726
Camille lắng nghe hắn nói, nhìn hắn với vẻ ngạc nhiên ngờ nghệch.	Camille buta csodálkozással hallgatta és nézte.	0.562614
Gã con trai yếu đuối với cơ thể mềm nhão và bạc nhược này không bao giờ có được mối xúc động của dục vọng, ngây thơ mơ tưởng đến cái xưởng vẽ mà bạn gã vừa đề cập.	Ez a beteges fiú, akinek elpusztult és elgyengült testét soha nem háborgatta semmi vágy, gyerekesen ábrándozott arról a műterem-életről, melyről a barátja beszélt.	0.23121
Gã nghĩ đến những người đàn bà phô bày làn da trần trụi.	Azokra a nőkre gondolt, akik meztelen bőrüket is megmutatják.	0.263793
Gã hỏi Laurent.	Meg is kérdezte Laurentet:	0.158824
- Thế thì - gã nói với hắn - đã có những phụ nữ cởi áo trước mặt cậu như vậy sao?	- Mondd csak, valóban voltak olyan nők is, akik levetették előtted az ingüket?	0.430952
- Đúng thế - Laurent đáp trong khi mỉm cười và nhìn Thérèse.	- Hogyne - válaszolt Laurent mosolyogva, s Theresere nézett, aki nagyon elsápadt.	0.945433
Lúc đó mặt nàng đã trở nên rất nhợt nhạt.		-0.3
- Cái đó chắc phải gây cho cậu một ấn tượng đặc biệt - Camille tiếp lời với một nụ cười trẻ con - Tôi thì thấy ngượng… Lần đầu tiên, chắc cậu phải ngây ra…	- Ez nagyon furcsa dolog lehetett nektek - mondotta Camille gyerekesen nevetve... Én nagy zavarban lettem volna... És a legelső ilyen alkalommal, azt hiszem, te is nagyon ostobán nézhettél rájuk.	0.576529
Camille xoè ra một bàn tay to tướng nhìn chăm chú vào lòng bàn tay.	Laurent kiterítette egyik tenyerét, amelyen figyelmesen nézegette a hüvelykujját.	0.246269
Những ngón tay hắn hơi run lên, má hắn ửng đỏ. ~~~ - Lần đầu tiên ư?	Az ujjain egy kis remegés látszott s vörös fény áradt szét az arcán.	-0.0207692
- hắn tiếp tục như đang nói với chính mình - Tôi nghĩ là mình thấy chuyện đó tự nhiên… Thú vị lắm, cái nghệ thuật quỷ quái đó, chỉ có điều nó không mang lại một xu… Tôi đã có một cô nàng tóc hung làm mẫu đáng ngưỡng mộ, da thịt rắn chắc, bóng láng, một bộ ngực tuyệt đẹp, hông nở…	- A legelső alkalommal - mondotta, mintha önmagának beszélne - azt hiszem, mindent egészen természetesnek tartottam... Nagyon mulatságos ez a fene művészet, de nem jövedelmez egy sout sem. ~~~ Egy orosz nő volt a modellem, aki imádásraméltó volt: kemény, fényes hús, pompás mell és olyan széles csípők...	-0.0197509
Laurent ngẩng đầu lên nhìn Thérèse trước mặt hắn đang câm nín, bất động.	Laurent felemelte a fejét s látta, hogy Therese előtte áll némán, mozdulatlanul.	0.49919
Thiếu phụ nhìn hắn chòng chọc, nẩy lửa.	A fiatal nő lángoló határozottsággal nézett rá.	0.287234
Đôi mắt nàng một màu đen sẫm giống như hai lỗ sâu không đáy, và qua đôi môi hé mở, thoáng thấy những ánh hồng trong miệng.	Fénytelen fekete szemei olyanok voltak, mint a feneketlen lyukak és félig nyitott ajkain át látni lehetett a szájának rózsás fényét.	0.2784
Nàng như bị đè bẹp, người thu lại. ~~~ Nàng lắng nghe.	Olyan volt, mintha letiporták s elgázolták volna; folyton hallgatott.	-0.0152542
Tia mắt của Laurent lướt từ Thérèse sang Camille.	Laurent előbb Theresere, azután Camillera tekintett.	0.710571
Tay cựu hoạ sĩ nén một nụ cười.	A félbemaradt festő elfojtotta mosolygását.	0.252632
Hắn kết thúc câu nói của mình bằng một cử chỉ, một cử chỉ phóng đãng và khoái trá mà thiếu phụ đưa mắt theo dõi.	Egy széles, kéjes mozdulattal, melyet a nő jól megfigyelt, befejezte a mondatát.	0.088
Mọi người dùng tráng miệng và bà Raquin vừa trở xuống bán hàng.	A deszertnél tartottak és Raquinné lement, hogy kiszolgáljon egy vevőt.	0.286765
Khi khăn bàn được dẹp đi, Laurent sau vài phút tư lự, đột nhiên nói với Camille.	Mikor az abroszt levették az asztalról, Laurent gondolkodott néhány percig s aztán hirtelen így szólt Camillehoz:	0.406703
- Này - hắn bảo - tôi phải vẽ cho cậu một bức chân dung.	- Tudod mit, téged le kell festenem.	0.4125
Ý tưởng đó khiến cho mẹ con bà Raquin mê mẩn. ~~~ Thérèse vẫn im lặng.	Ettől az ötlettől Raquinné és fia egészen el volt ragadtatva, Therese most is hallgatott.	-0.016
- Đang là mùa hè - Laurent tiếp - và vì chúng ta rời sở làm vào lúc bốn giờ, tôi có thể đến đây rồi cậu làm mẫu trong vòng hai tiếng, trong buổi chiều tối.	- Nyár van - folytatta Laurent - és miután a hivatalból négy órakor jövünk ki, ide jöhetek és két óráig ülhetsz nekem minden este.	0.674262
Công việc sẽ mất tám ngày.	Nyolc nap alatt készen leszünk.	0.29
- Cứ thế - Camille trả lời, mặt đỏ lên vì vui sướng - cậu sẽ dùng bữa tối với chúng tôi… Tôi sẽ làm tóc và mặc chiếc áo đuôi tôm màu đen.	- Jó lesz - válaszolt Camille örömében egészen kipirulva; velünk ebédelsz... Megfésültetem magam és felveszem a fekete kabátomat.	0.704084
Đồng hồ điểm tám giờ.	Nyolcat ütött az óra.	0.204545
Grivet và Michaud tiến vào.	Grivet és Michaud megjött.	1.47692
Olivier và Suzanne xuất hiện phía sau họ.	Olivier és Susanne is nemsokára követte őket.	0.668023
Camille giới thiệu bạn mình cho cả nhóm. ~~~ Grivet mím môi.	Camille bemutatta barátját a társaságnak, Grivet félrehúzta a száját.	0.144536
Lão ghét Laurent vì theo lão, lương của hắn tăng quá nhanh.	Utálta Laurentot, akinek a fizetését szerinte túlságosan gyorsan emelték.	0.245902
Vả lại, thu nhận một người khách mới là cả một vấn đề: đám tân khách của bà Raquin không thể tiếp nhận một kẻ xa lạ mà không ít nhiều lạnh nhạt.	Különben nagy dolog volt egy uj jövevénynek a társaságba való bevezetése. ~~~ Raquinék vendégei csak bizonyos hidegséggel fogadhattak egy ismeretlen embert.	-0.0193878
Laurent xử sự như một đứa trẻ ngoan.	Laurent úgy viselkedett, mint ahogy jó fiúhoz illik.	0.583333
Hắn hiểu tình thế, hắn muốn được ưa thích, được chấp nhận ngay tức thì.	Megértette a helyzetet, tetszeni akart s egy csapásra el akarta fogadtatni magát.	0.251351
Hắn kể những câu chuyện, làm vui nhộn buổi tối bằng tiếng cười ầm ĩ, và chiếm được tình bạn của chính lão Grivet.	Történeteket mesélt el, felvidította az egész estét nagy kacagásával és még Grivet barátságát is megszerezte.	0.23945
Buổi tối đó Thérèse không tìm cách bước xuống cửa tiệm.	Therese ezen az estén nem igyekezett lemenni a boltba.	0.1875
Nàng ngồi lì ở ghế dựa cho đến mười một giờ, chơi cờ và chuyện trò trong khi tránh bắt gặp tai mắt của Laurent mà kỳ thực gã này cũng chẳng dòm dõi gì đến nàng.	Egész tizenegy óráig a székén maradt, játszott és beszélgetett s igyekezett elkerülni Laurent tekintetét, aki különben sem foglalkozott vele.	0.357353
Khí chất hăng máu của gã thanh niên này, giọng nói ấm, những tiếng cười vang to, cái mùi hăng hăng và mạnh mẽ toát ra từ con người này đã làm xao xuyến thiếu phụ và ném nàng vào một nỗi lo sợ bồn chồn.	Ennek a fickónak a vérmes természete, telt hangja, kövér nevetése s az az erős és hatalmas illat, amely kiáradt egész személyiségéből, megzavarta a fiatal asszonyt és bizonyos ideges aggodalmat ébresztett fel benne.	0.274627
Chương 6	VI.	-0.15
Kể từ hôm đó, tối nào Laurent cũng ghé đến gia đình Raquin.	Ettől a naptól kezdve Laurent csaknem minden este Raquinéknál volt.	0.563203
