JULES VERNE	JULES VERNE
Sajnos, nem számítottam az ön érthetetlen ellenszegülésére, és visszautasítottam az önnek címzett ajánlólevelet, melyet át akart nekem adni.	Tôi tiếc một điềulà tôi đã từ chối nhận lá thư giới thiệu mà ông ta đã trao cho tôi nhờ chuyển lại anh đây.
Borus Demeter megkönnyebbülten lélegzett fel.	Ilya Bruso thở ra một hơi dài nhẹ tênh.
- kiáltotta.	- thế còn nói gì!
- Elfogadja tehát?	- Thế nhé, anh sẽ nhận lời?
- El.	- Tôi sẽ nhận.
- Itt az ezer forint.	- Có cần giấy biên nhận hay không?
- Akar nyugtát róla?	- Ilya Bruso hỏi.
- kérdezte Borus Demeter.	- Nếu điều đó không làm phiền anh.
- Jäger, Bécs, Leipziger Strasse 45 - válaszolta két szippantás között.	- Yêge, Viên, Laixigecstrat, số 43 - ông ta đáp lời trong lúc ngưng giữa hai hơi thuốc.
SERGE LADKO	XÉCGY LÁTCÔ
Földünk különböző vidékei közül, amelyeket a történelmi idők kezdete óta különösen sújtott a háborúk ostora - bár e tekintetben egyetlen terület sem dicsekedhet különösebb kivéte­lezettséggel - Dél- és Délkelet-Európa az első helyen említendő.	Trong số những nước khác nhau của quả địa cầu mà ngay từ đầu giai đoạn lịch sử đặc biệt bị lâm vào những cơn thử lửa của chiến tranh - giá như chỉ có một nước nào đó đã có thể huênh hoang một điều rằng nó đã hưởng lợi được qua chiến tranh đó chỉ là món lợi nhỏ nhặt!
E területek földrajzi helyzetük miatt küzdőtérré váltak - éppúgy, mint Ázsiának a Fekete-tenger és az Indus folyó között elterülő része -, ahol végzetszerűen összecsapnak az ősi kontinens egymással versengő népei.	- Thì cần phải xếp hàng đầu tiên miền Nam và Đông-Nam châu u. Bởi lẽ vị trí địa lý của những nước này, cùng với một bộ phận châu Á, đã bị nằm giữa biển Đen và Ấn hà, là một vũ đài àm nơi đây các chủng tộc cư trú trên lục địa cố ganh đua nhau và đụng nhau theo một cách hết sức nguy hại.
Föníciaiak és görögök, rómaiak, perzsák és hunok, gótok, szlávok, magyarok és törökök és még annyi más nép küzdött egymással e szerencsétlen területekért vagy azok egyes részeiért.	Người Phiniki, người Grec, người La Mã, người Ba Tư, người Gunu, người Got, người Xlavo, người Madia, người Thổ, và nhiều giống người khác nhau đã gây hấn nhau để tranh quyền cai quản những đất nước đen đủi ấy.
Nem is szólva azokról a hajdan még barbár hordákról, amelyek csak átvonultak ezen a területen, hogy Közép- és Nyugat-Európában telepedjenek le, ahol azután lassú történelmi folyamat során kialakították a ma ismert nemzeteket.	Các bộ lạc đã đi qua vùng đất ấy để rồi sau đó họ đến sinh cơ lập nghiệp tại miền Trung u hay Tây u, nơi àm sự phát triển hết sức chậm chạp, họ đã sản sinh ra những dân tộc hiện đại.
A törökök, akik 1356-ban törtek be Európába, 1453-ban pedig elfoglalták Konstantinápolyt, szembetalálták magukat azokkal a korábbi hódítókkal, akik őelőttük törtek be Közép-Ázsiából erre a területre.	Nếu căn cứ theo vô số những lời sấm truyền của các nhà thông thái, tươn glai sẽ cười vào mặt họ không hơn gì cái quá khứ đầy bi kịch của họ.
A törökök tehát még a Kárpátokon innen, a Duna vonalán megtorpantak, sőt hódításaiknak ezt a szélső határát sem voltak képesek megtartani, és amit ma8 keleti kérdésnek neveznek, nem más, mint évszázadok óta tartó visszavonulásuk története.	Bị giữ lại ở bên này của dãy Kacpat và dòng sông Danube, người Thổ Nhĩ Kỳ thậm chí đã tỏ ra không có khả năng để đứng vững tại các đường biên giới ấy, và cái gọi là "Vấn đề phương độn" là lịch sử các cuộc triệt thoái hàng thế kỷ của họ.
Az ilyenfajta uralom, amit a vallás­különbség is súlyosbított, természetszerűleg maga után vonta a legyőzöttek örökös lázongását.	Vì tôn giáo khác biệt nhau, phương pháp cai trị như thế chỉ có dẫn đến hậu quả là những cuộc nổi dậy liên tục của những người bị áp bức.
A történelem lapjai valóban telis-tele vannak a lázadásokkal, amelyek évszázadokon át tartó küzdelmek után 1875-ben Görögország, Montenegró, Románia és Szerbia többé-kevésbé teljes függetlenségéhez vezettek.	Thật thế, lịch sử gồm toàn những cuộc nổi dậy mà au những cuộc đấu tranh dai dẳng hàng thế kỷ đến năm 1875 các dân tộc Hy lạp, Checnogoria, Rumani và Xecbi đã thiết lập được nền độc lập tương đối.
Ennek az uralomnak elviselése 1875 első hónapjaiban még az eddiginél is nehezebbé és gyötrelmesebbé vált.	Đây là quyền bá chủ vào những tháng đầu tiên của năm 1875 vô cùng nặng nề hơn bao giờ hết.
A török császári palotában ekkor a muzulmán reakció kerekedett felül, és ennek eredményeként az Ozmán Birodalomban élő keresztényekre súlyos adókat vetettek ki, s ezerféle módon irtották, gyötörték, zaklatták őket.	Dưới ảnh hưởng của những thế lực phản động Hồi giáo mà lúc đó đã thắng lợi sưới triều đại Xuntan, đối với người Thiên Chúa giáo thì đế chế Ottoman là những gánh nặng thuế má, họ bị tàn sát, bị lao khổ dưới ngàn điều tủi nhục đắng cay.
Nyár elején Hercegovinában ismét lázadás ütötte fel a fejét.	Ngay từ đầu mùa hè, những người Hecxegovina đã đứng lên.
A vidéken hazafiakból összeverődött fegyveres csoportok tűntek fel és élükön vitéz vezéreik­kel, Peko Pavloviccsal és Lubibraticcsal vereséget vereség után mértek az ellenük kivezényelt reguláris csapatokra.	Các đội quân yêu nước đã bước vào cuộc đấu tranh và dưới sự lãnh đạo của những nhà chỉ huy gan dạ như Peke Paplovic và Lyubibractich, họ đã trả lời bằng những cú đánh liên tiếp tung ra chống lại những đội quân chủ lực của kẻ thù.
A lázadás tüze hamarosan átterjedt Montenegróra, Boszniára és Szerbiára.	Đám cháy đã nhanh chóng lan rộng, hấp dẫn dân tộc Checnogoria, Boxnia, Xecbi.
A lázadás, mint mindig, úgy most is földalatti összeesküvésekkel és nagy titokban megtartott összejövetelekkel kezdődött, melyeken részt vett a hazáját lángolóan szerető ifjúság színe-java.	Vẫn như lẽ thường, bắt đầu là những âm mưu bí mật, những hiệp hội bí mật mà nơi đây tụ tập những thanh niên có bầu nhiệt huyết của đất nước.
Ruszcsukban,9 e fontos Duna-parti bolgár városban, amely majdnem pontosan Gyurgyevo román várossal10 szemközt fekszik, a vezéri szerep Serge Ladko révkalauznak jutott, és azt mindenki rendjén levőnek találta.	Người hoa tiêu Xecgay Latco đã chiếm uy tín lớn nhất tại Ruauko, một trung tâm quan trọng của Bungari, nằm bên bờ sông Danube, đối diện thành phố Guocdevo của Rumani.
Nála méltóbbra aligha eshetett volna a választás.	Những kẻ mưu loạn không thể tìm ai hơn thế nữa.
Mi több, megvoltak benne mindazok az erkölcsi tulajdonságok is, melyekre egy vezérnek szüksége van: határozott­ság a döntések meghozatalában, megfontoltság azok végrehajtásában és szenvedélyes haza­szeretet.	Nhưng, điều quan trọng hơn nữa, anh ta có phẩm chất đạo đức bắt buộc đối với những lãnh tụ: cương quyết trong mọi quyết định, khôn ngoan trong nhiệm vụ, yêu nồng nàn đất nước của mình.
Serge Ladkót becsületes és egyenes embernek ismerték, és már jóval a törökellenes zavargások előtt nagyon népszerű volt Ruszcsukban.	Có thể nói rằng, những người bạn này là tất cả cư dân thành phố, giá như không có sự tồn tại của Ivan Xtrig.
Se szeri, se száma nem volt híveinek, akiket nem is ismert mind személyesen.	Hắn ta, Ivan Xtriga, là người gốc gác ở Bungari cung như Xecgay Latco.
Iván Striga is e vidék szülötte, de Serge Ladkónak éppen az ellentéte volt.	Song giữa hai con người này không có điểm nào giống nhau.
Ladkóhoz hasonlóan Striga is magas, széles vállú, erőteljes, szőke hajú, szőke szakállú férfi volt.	Cũng như Latco, Striga cao lớn, vai rộng, có sức mạnh thể xác, tóa vàng và để râu.
De a hasonlóság nem terjedt túl ezeken az általánosságokon.	Nhưng những nét chung này chỉ đưa đến sự tương đồng mà thôi.
Míg Ladko élete nyitott könyv volt, senki sem tudta volna megmondani, hogy Striga milyen úton-módon jutott a tékozlóan költött, töméntelen aranyhoz.	Trong lúc Latco sống một cách cởi mở chân thành thì không ai có thể nói được rằng Striga đang kiếm được bao nhiêu vàng - một vấn đề mà hắn không hề tiếc sức.
Ezeket a mendemondákat mindenesetre csak bizalmasan suttogták az emberek, senki sem mert volna nyíltan rosszat mondani erről az emberről, akinek könyörtelenségétől, erőszakosságától mindenki rettegett.	Nhưng người ta chỉ nói kín cho nhau nghe về nhữn giả thuyết ấy, không một ai dám cả gan to giọng chống lại những con người mà sự độc ác lẫn vô liêm sỉ của hắn đã làm cho mọi người phải khiếp vía.
Az ésszerű az lett volna, ha ez a későbbiekben is így marad.	Phán đoán theo lô-gích thì chỉ có thể.
Natsa Gregorovics, akit az egész város szépségéről ismert, akkoriban húszesztendős volt.	Natcha Gregorovivh nổi tiếng khắp thành phố vì vẻ đẹp của mình, đã tròn hai mươi tuổi.
Előbb anyjával, majd egyedül, Ladko szomszédságában lakott, és a révkalauzt kora gyermek­sége óta ismerte.	Lúc đầu ở với mẹ, sau đó một thân một bóng, cô gái đã sống gần với Latco, người àm đã biết cô từ thưở nhỏ.
A Gregorovics házban már régóta nagy szükség lett volna egy férfiemberre.	Trong suốt thời gian dài không có bàn tay người đàn ông chăm lo trong nhà trong cửa.
A szlávoknál a legegyszerűbb parasztnők is csipkével meg hímzéssel díszítik szerény öltözéküket, és özvegy Gregorovicsnénak, aki jól értett a hímzéshez és a csipkeveréshez, ilyen módon sikerült a maga és leánya megélhetését biztosítania.	là người có kinh nghiệm trong nghệ thuật thêu ren và thêu mẫu hình, mà ở người đàn bà nông thôn nghèo nàn nhất sẵn sàng trang sức quần áo giản dị, bà đã có thể đàm bảo cho sự sống của mình.
A zavaros időket azonban leginkább az egyszerű emberek sínylik meg, és a szegény csipke­készítő asszony bizony sokszor szorult helyzetbe került volna a Bulgáriában állandósult anarchia miatt, ha Ladko tapintatosan nem segíti.	Đối với những người nghèo khổ giai đoạn u ám nhất là giai đoạn của những cuộc dấy loạn, và đã bao phen người đàn bà thêu đan này đã phải gánh chịu khổ đau bởi những cảnh hỗn loạn thường xuyên ở Bungari, nếu như Laco không bí mật đến giúp đỡ cho bà.
Lassanként igen bensőséges barátság alakult ki a fiatal révkalauz és a két egyedülálló nő között, és a legényember szabad idejét gyakran töltötte a békés, vendégszerető házban.	Dần dần một tình bạn vô bờ bến đã nảy nở giữa con người trẻ tuổi với hai người đàn bà đã dành nơi trú ẩn cho chàng trai dưới mái nhà ấm cúng của mình trong khoảng thời gian nhàn rỗi của anh ta.
Ladko esténként gyakorta kopogtatott be Gregorovi­csékhoz, és ilyenkor hosszan elbeszélgettek a csendesen zümmögő szamovár körül.	Anh thường đến gõ cửa nhà họ vào giấc tối, và họ cùng ngồi bên nhau suốt nhiều giờ bên ấm samova sủi tăm.
Máskor Ladko sétálni vagy dunai halászatra hívta meg Gregorovicsnét és leányát, hogy így viszonozza a szíves vendéglátást.	Để đáp lại thịnh tình của hai người đàn bà, anh đã mời họ đi hóng mát hoặc là đi câu ngoài sông Danube.
Amikor Gregorovicsné erejét a szüntelen munka felőrölte, s az asszony megtért férje mellé a temetőbe, Natsa továbbra is számíthatott Ladko pártfogására.	Đến khi bà Gregorevich qua đời vì quá lao lực trong cộng việc, latco vẫn tiếp tục là người che chở cho cô gái côi cút.
A révkalauz most még nagyobb odaadással vigyázott az árván maradt leányra, úgy, hogy Natsa egy pillanatig sem maradt védelem és támasz nélkül, miután szerencsétlen édesanyja, akinek kétszeresen is köszönhette életét, meghalt.	Sự che chở này càng lúc càng chặt chẽ hơn, và nhờ Latco mà không khi nào cô gái nhỏ thấy đau đớn trước cảnh phân ly với người mẹ đã hết đời lao khổ cho cuộc sống của con mình.
Így történt, hogy amint teltek-múltak a napok, szinte észrevétlenül szerelem ébredt a fiatalok szívében.	Ngày tháng cứ trôi đi theo nhịp thở, tình yêu đã lẻn vào con tim của chàng trai và cô gái nhỏ tuổi.
Olyan ember volt, aki megszokta, hogy minden vágya, minden szeszélye azonnal teljesül, így hát felkereste a leányt, és azonmód megkérte a kezét.	Một kẻ đã quen mọi người phải nghiêng mình trước thói ngông của mình, hắn đã tìm đến cô gái nhỏ và ngỏ lời cầu hôn, bất chấp mọi thể thức.
Most azonban - életében első ízben - leküzdhetetlen ellenállásba ütközött.	Lần đầu trong đời, hắn đụng phải một kẻ địch bất phân thắng bại.
Natsa nem törődött azzal, hogy ez a félelmetes ember gyűlölni fogja, és kijelentette, hogy soha, semmi körülmények között nem hajlandó hozzámenni.	Natcha mạo hiểm chuốc lấy sự căm thù của con người đáng sợ như thế, nàng tuyên bố rằng không có gì ép buộc nàng phải quyết định làm vợ một người như hắn.
Striga hasztalan próbálkozott másodszor is.	Xtriga thật uổng công tái diễn mãi những thử thách.
Nem is hallgatta végig a leányt, hanem rettentő dühvel kitört a másik férfi ellen, aki szemet mert vetni Natsára.	Không muốn nghe gì, Latco đã có những bộc lộ gay gắt khác thường và anh đã chủi rủa con người đã cả gan dòm ngó đến Natcha.
S egy óra múlva Serge és Natsa örömtől csillogó szemmel, repeső szívvel már mint jegyesek csókolták meg egymást - életükben először.	Một giờ sau đó, Latco và Natcha đã trao nhau những nụ hôn của vị hôn phu và vị hôn thê một cách tươi vui.
Eszeveszetten rohant Natsa házához, és szájából csak úgy dűlt a szitok és a fenyegetőzés.	Hắn đã táo bạo xuất hiện tại nhà của họ Gregorevich với những lời dọa dẫm cùng những lời xúc phạm.
- Hát legyőzték volna?	Đã bị đánh bại!...
Képtelen volt beletörődni a megaláztatásba, és bosszút forralt.	Hắn không thể chịu nổi sự nhục này và hắn đã quyết định báo thù.
Egyik este néhány hasonszőrű kalandorral együtt megvárta tehát Ladkót, amint felfelé jött a Duna-parton.	Hắn với vài kẻ mạo hiểm cuàng một giuộc chờ đợi Latco về đêm, khi anh từ bờ sông đi lên.
Itt már nem közönséges verekedésről volt szó, mert a támadók gyilkos szándékkal, késsel támadtak a révkalauzra.	Lần này không phải là vụ đấm đá thông thường, mà là hành động giết người có tính toán.
Ladkónál evező volt, és az úgy járt a kezében, mintha buzogány lett volna.	Trận tấn công mới này đã không được thành công to lớn hơn lần trước .
1875 elején Ladko féleségül vette Natsa Gregorovicsot, és a révkalauz kényel­mes háza a boldog szerelem fészke lett.	Một năm trôi qua sau lễ cưới của Xecgay Latco và Natcha, vào đầu năm 1876, có những sự kiện bùng nổ ở Bungari.
A mézeshetekből hónapok lettek, s Ladko és Natsa szerelme egy év múlva is teljes frissességében élt, amikor 1876 elején Bulgáriában megmozdult a föld.	Mặc dù tình yêu sâu đậm mà Xecgay Latco đã trao cho người vợ, nàng vẫn không ép buộc anh phải quên đi bổn phận trước tổ quốc.
Habozás nélkül beállt tehát azok közé, akik rögtön összefogtak, és azon tanakod­tak, hogy mi módon változtathatnának hazájuk szomorú sorsán.	Không hề do dự, anh đã sát nhập với những người đi tìm phương cách nhằm chấm dứt điều bất hạnh của tổ quốc mình.
Mindenekelőtt fegyvert kellett szerezni.	Trước hết cần phải có vũ khí.
Ezek között volt Serge Ladko is.	Trong số họ có Xecgay Latco.
Nagy szívfájdalommal, de a kötelesség hívó szavának engedelmeskedve indult útnak.	Lúc đó trong tâm trí của anh chợt hiện ra hình thù của Xtriga và nỗi lo sợ của anh càng mạnh hơn.
Ladko nyugtalansága annál is nagyobb volt, mert eszébe jutott Striga.	Nhưng Xacgay Latco đã không xem trọng nỗi lo sợ chính đáng này.
Ez a haramia nem használja-e majd ki győztes vetélytársának távollétét, hogy lesújtson legdrágább kincsére?	Tuy nhiên, chừng như Ivan Xtriga đã rời bỏ đất nước cách đây vài tháng và đã không có dấu hiệu nào cho biết hắn sẽ quay về.
Széltében-hosszában azt beszélték, hogy Striga most északabbra vonult, és ott garázdálkodik, de ezek csak egymásnak ellentmondó, kósza hírek voltak.	Dư luận xã hội buộc hắn ta đủ thứ tội lỗi trên đời, song lại không một ai biết đích xác về một tội.
A közhiedelem válogatás nélkül minden gaztettet Striga rovására írt, de pontosat senki sem tudott.	Dẫu sao sự ra đi của Xtriga cũng là một sự thật đáng tin, lại là điều rất hệ trọng đối với Latco.
Annyi azonban bizonyosnak látszott, hogy Striga eltávozott, és Ladkónak ez volt a fontos.	Trong thời gian anh vắng mặt, đã không có gì đe dọa đến sự an toàn của Natcha.
A jövő igazolta a bátor hazafit, mert távollétében Natsa biztonságát semmi nem fenyegette.	Ít lâu sau chuyến quay về của anh lại có sự bắt buột anh phải lên đường tiếp.
De alighogy hazaérkezett, már megint indulnia is kellett, és ezúttal hosszabb utazásra.	Lần thám hiểm thứ hai này hứa hẹn sẽ lâu dài hơn lần đầu.
Az eddig alkalmazott módszerekkel ugyanis nem sikerült elegendő mennyiségű fegyvert szerezniök.	trước đo chỉ tìm được một số lượng, vũ khí ít ỏi cho nghĩa quân.
Az Oroszországból küldött fegyverszállítmányokat szárazföldi úton továbbították Magyarorszá­gon és Románián, vagyis olyan területeken át, ahol akkoriban még nagyon kevés vasútvonal volt.	Hàng vận chuyển từ nga đến phải được tải theo đường trên bộ qua Hungari và Rumani, tức là đi qua những nước hoàn toàn đầy đủ những con đường sắt vào độ ấy.
A bolgár hazafiak úgy gondolták tehát, hogy könnyebben célt érhetnek, ha egyikük fel­megy Budapestre, s ide irányíttatja a vasúton jövő fegyverszállítmányokat, majd a fegyvereket uszályokra rakatja, hogy a Dunán gyorsan rendeltetési helyükre jussanak.	Những người bungari yêu nước hy vọng sẽ đạt được kết quả mong muốn một cách dễ dàng hơn, nếu như một người trong số họ sẽ phải đi Budapest - gom góp những lô vũ khí theo đường sắt, rồi chất chúng lên sà lan sẽ mau chóng xuôi dòng theo sông Danube.
Egy honfitársa átevezett vele a Dunán, azzal, hogy a csónakot visszahozza majd a bolgár partra, Ladko pedig Románián át továbbindul, hogy a lehető leggyorsabban eljusson Magyarország fővárosába.	Trong nhóm chỉ toàn người bungari, họ cần đi thuyền sang bờ của Bungai, anh băng qua sông để đến được thủ đô của Hungari bằng con đường nhanh nhất, qua Rumani.
Átkelés közben azonban olyasvalami történt, ami nem kevés töprengést okozott az összeesküvők küldöttjének.	Lúc ấy đã có một sự cố xảy ra buộc sứ giả của những người yêu nước phải nghĩ ngợi thật lung.
Ladko és honfitársa nem egészen ötvenméternyire voltak a parttól, amikor puskalövés dördült.	Khi phát súng vang lên, anh đã phát hiện người bạn của anh cách bờ không xa hơn 50 mét.
De ezt csak cselből tette, hogy újabb támadás ne érje.	Tiếng súng vang lên, anh đã ngã té xuống đáy thuyền.
Amikor Ladko megérkezett rendeltetési helyére, serényen hozzálátott a feladat végrehajtá­sához.	Sau khi cặp bờ vào nơi quy định, Latco xông vào hoàn thành nhiệm vụ được giao.
Érintkezésbe lépett a cári kormány megbízottaival, kik közül egyesek az orosz határon voltak, mások pedig titokban Budapesten és Bécsben tartózkodtak.	Anh giao dịch với những sứ giả của Nga hoàng, một số còn ở biên giới Nga, còn số khác đã mang ẩn danh len lỏi đến budapest hay là Viên.
Közben gyakran kapott híreket Natsától, az általa megadott álnévre címzett és az éjszaka leple alatt Romániába átcsempészett levelekben.	Anh thường xuyên nhận được thư từ của Natcha, ghi bằng tên giả của anh và được chuyển qua lãnh thổ Rumani dưới màn đêm bao phủ.
Eleinte jó, de azután egyre nyugtalanítóbb hírek érkeztek.	Tin tức lúc đầu rất tốt lành, đến cuối đã trở nên đán glo ngại.
Nem mintha Natsa leveleiben említés történt volna Strigáról.	Thật tình thì natcha không nói đến tên của Xtriga.
Ellenkezőleg, úgy látszott, hogy felesége nem is hallott arról, hogy a bandita visszaérkezett volna Bulgáriába, úgyannyira, hogy Ladko aggodalma kezdett elcsitulni.	Hình như chính nàng cũng không biết là tên thổ phỉ ấy đã trở về Bungari, và Latco bắt đầu nghi ngờ những lập luận về những lo sợ của mình.
Az azonban bizonyossá vált, hogy Ladkót a török hatóságoknál feljelentették, mert otthonában a rendőrség házkutatást tartott, bár eredménytelenül.	Nhưng chẳng bao lâu sau mới vỡ lẽ rằng Xtriga đã tố giác anh với chính quyền bọn Thổ, bởi vì cảnh sát đã xộc đến nhà ở của anh và lục lọi, song không có kết quả gì.
Most már nem volt szabad visszasietnie Bulgáriába, mert a hazatérés felért volna az öngyilkossággal.	Thành thử anh không nên quay về Bungari bội, vì như thế chẳng khác nào tự sát.
Minthogy pedig a letartóztatás a törököknél egyet jelentett a kivégzéssel, Ladkónak nem volt tanácsos mutatkoznia mindaddig, amíg nyíltan ki nem robban a felkelés, különben a legsúlyosabb bajoknak teszi ki magát és feleségét, akinek eddig még semmi bántódása nem esett.	Bị bọn Thổ bắt giam có nghĩa là sẽ bị tử hình, và Latco không được quay trở về tổ quốc cho đến khi cuộc nổi dậy đã lan rộng và khi đó sẽ không có nguy hiểm nào đến với anh và người vợ mà hiện thời chúng chưa quấy nhiễu.
De akármint is vélekedett erről, most már sietnie kellett haza, országa, népe megsegítésére.	Mặc dù phán xét như thế, anh cũng cần phải nhanh chóng giúp đỡ đất nước mình.
A vonat egészen Zomborig vitte, az utolsó Duna-parti magyar városig, ahová még elért a vasútvonal.	Chuyến tàu đưa anh đến Xombo, thành phố hungari sau cùng nằm trên tuyến đường sắt, gần sông Danube nhất.
Zomborban olyan hírek, vártak rá, amelyek utazásának megszakítására kényszerítették.	Những tin tức mà anh đã nhận được ở Xombo đã buộc anh ngừng ngay hành trình.
A bolgár forradalmat csírájában elfojtották.	Cuộc cách mạng Bungari đã bị dẫm chết từ phôi thai.
A törökök most jelentős csapatösszevonásokat hajtottak végre abban a nagy háromszögben, amelynek csúcspontjait Ruszcsuk, Vidin és Szofija alkotják, és az elnyomók vasökle még súlyosabban nehezedett a szerencsétlen vidékekre.	Bọn Thổ đã tập trung một lực lượng quân đội rất lớn trong vùng tam giác rộng mà các đỉnh của nó là Ruanko, Vidin và Xophin, và bàn tay sắt của chúng đã đè nặng lên đất nước Bungari bất hạnh.
Ladkónak vissza kellett hát fordulnia, hogy abban a kis városkában várja be a kedvezőbb fejleményeket, ahol ideérkezte óta lakott.	Latco phải quay trở lại và phải chờ ngày tốt hơn ở một thị trấn mà anh đang cư trú.
Házát állandóan szemmel tartották, úgyhogy Natsa lényegében fogolynak érezte magát; őreá még jobban leselkedtek, mint azelőtt, s így közös érdekük volt, hogy tartózkodjék minden meggondolatlan lépéstől.	Bọn chúng đã tăng cường theo dõi nhà anh hơn, và Natcha đã là một tù binh thật sự; bọn chúng càng rình mò anh ráo riết hơn trước, vì lợi ích chung anh đành phải cố gắng tự kiềm chế những hành động xốc nổi.
Ladko lélekölő tétlenségre volt tehát kárhoztatva, annál is inkább, mert a felkelés bukása és a Duna partjain történő török csapatösszevonások kezdete óta a fegyverszállítások is szüneteltek.	Latco bị khổ sở vì mất kiên nhẫn trong cảnh ăn không ngồi rồi của mình; không thể chuyển được vũ khí sau lần thất bại của cuộc nổi dậy và hơn nữa quân Thổ tập trung rất đông trên bờ sông.
Július elsején Szerbia hivatalosan hadat üzent a szultánnak, és azóta a Duna menti területeken állandóan folyt a csapatok felvonulása, ami a legszörnyűbb túlkapásokkal járt együtt.	Ngày mồng một tháng bảy, Xecbi đã chính thức tuyên chiến với Xutan; và kể từ lúc ấy trên khu vực sông Danube đầy dẫy quân lính àm những cuộc diễu binh của chúng kéo theo những trò bạo lực ghê hồn.
Amikor Natsa már egy hónapja nem adott hírt magáról, Ladko nem bírta tovább, hanem elhatározta, hogy minden veszéllyel dacolva hazatér Bulgáriába, és megtudja, mi történt.	Anh đã không thể nào chịu đựng nữa sau một tháng ngồi im như thế, và anh quyết định phó mặc mọi hiểm nguy, phải xâm nhập vào Bungari để nắm được nguyên nhân đích thực của vấn đề.
Azután majd a körülményektől függően eldönti, hogy mitévő legyen.	Nên hành động khôn ngoan và xem xét kỹ tình hình.
A legrosszabb esetben is - vagyis ha sürgősen ismét át kell szöknie a határon - legalább szívéhez ölelheti szeretett feleségét.	Trong trường hợp xấu nhất, nếu phải nhanh chóng vượt qua biên giới thì ít ra anh cũng sẽ có được niềm vui ôm ấp vợ mình.
Serge Ladko napokon át kereste ennek a nehéz problémának a megoldását.	Xecgay Latco đã bỏ ra vài ngày để tìm cách giải bài toán hóc búa.
Végre úgy érezte, megtalálta azt, és anélkül, hogy bárkinek is szólt volna, haladéktalanul hozzálátott terve végrehajtásához.	Cuối cùng anh cảm thấy như đã tìm ra lời giải và không tin vào ai, anh nhanh chóng bắt tay vào hoàn thành kế hoạch mà anh đã nghĩ ra.
Ennek csak a jövő a megmondhatója.	Dẫu sao cũng nên thử vận may.
Ám mindenesetre vállalnia kellett a kockázatot, így történt, hogy 1876. július 28-ának reggelén a szomszédok, akik közül senki sem ismerte a révkalauz igazi nevét, kívülről elreteszelve találták a házat, amely hónapokon át Serge Ladko magányos szállása volt.	Thế là vào sáng ngày 28 tháng bảy năm 1876, những láng giên của người hoa tiêu - trong số họ không ai biết tên thật của anh - đã trông thấy cửa nhà mà anh đã sống đơn dộc suốt mấy tháng sau này đã bị đóng kín mít.
DRAGOS KÁROLY	CACLO DRAGOSO
Jäger tehát zsebre vágta a kapott nyugtát, és azonnal berendezkedett a ladikon.	Sau khi bỏ tờ biên nhận vào túi áo, ngài Yêge bắt đầu duỗi người thoải mái.
Miután megkérdezte, hogy melyik lesz az ő fekhelye, táskájával együtt eltűnt a kis fülkében.	Đến lúc được xếp chỗ trên đi-văng, ông ta vội biến vào khoang tàu và mang theo cái vali.
Szabályszerű horgászöltözékében - durva ujjas, nehéz csizma és vidrabőr sapka volt rajta - szakasztott hasonmása volt Borus Demeternek.	Ông ta ăn bận như là người đánh cá thực thụ - áo ngoài thô sơ, đôi ủng cao, mũ lông chồn - đúng là một bản sao của Ilya Bruso.
Jäger kissé meglepődött, amikor a fülkéből kilépve látta, hogy útitársa közben elhagyta a bárkát.	Ngài Yêge thóang ngạc nhiên khi thấy chủ nhân đã rời sà lan trong thời gian ngắn ngủi ông ta vắng mặt.
De nem szegte meg vállalt kötelezettségét, nem kérdezett semmit, amikor Borus Demeter fél óra múlva ismét megjelent.	Giữ đúng lời cam kết, ông ta đã không hỏi han câu nào cho đến khi nửa giờ sau chủ nhân quay lại.
Most, hogy a vállalkozásban Jäger is érdekelve volt, többé nem engedhették meg maguknak, hogy olyan kihalt rakpartokon kössenek ki, mint ahogyan Ulmban történt.	Bây giờ, khi mà quyền lợi của ngài Yêge đã chen vào cuộc chơi, thì thật tình không nên xem thường những cuộc họp mặt của công chúng, như đã xảy ra ở Unmo.
Borus Demeter még azt is sajnálkozással közölte útitársával, hogy Neustadt előtt sehol sem köthet ki, még Neuburgban és Ingolstadtban sem, pedig mindkettő elég jelentős város.	Ilya Bruso thậm chí đã bày tỏ sự tiếc rẻ ở điều là anh không thể dừng lại ở các thành phố nằm trên đường đến Nestat, mà chính Nrbuoc và Ingonslat là những trạm khá quan trọng.
Jäger szemlátomást el volt ragadtatva a számára hasznos hírveréstől és szemmel láthatóan nem bosszankodott amiatt, hogy Neuburgban és Ingolstadtban nem állhatnak meg.	Ngài Yêge đã rất khoái cảm trước sự chăm lo đến quyền lợi của ông ta và ông ta không thấy phiền lòng khi dừng lại được ở Netbuoc và Ingonstat.
Ellenkezőleg, helyeselte Borus Demeter elhatározását, s ismét hangoztatta, hogy - megállapodásuknak megfelelően - semmi módon nem kívánja csökkenteni cselekvési szabadságát.	Ngược lại, ông ta đã tán đồng chủ nhân của mình và lại còn nói ra miệng rằng mình thật sự không muốn đóng khung tự do của anh ta, một điều mà hai bên đã thỏa thuận.
A két utas ezután a csónak egyik padkáján, egymással szemben letelepedett, és elköltötte vacsoráját.	Hai người bạn đồn ghành ngồi đâu mặt nhau trên một băng ghế và cùng ăn bữa tối.
