QUO VADIS?	Quo Vadis
Még nagyobb csönd lett, ha ugyan lehetett, mint előbb s azt lehetett volna gondolni, hogy mindenkinek hallhatni meggyorsult szive dobogását.	Trong chàng chợt lớn dậy một nỗi âu lo, nó chuyển ngay thành một cơn giận dữ đối với những người Thiên chúa giáo nói chung và chống lại cụ già nói riêng.
Mily súlyosan, mily súlyosan nehezedett rájuk ez a gondolat.	Chính con người này đã được nhìn thấy!
Azonban - a nap még alig jött föl - hirtelen, lélekszakadva, fölbomlott hajjal magdalai Mária rohant hozzánk és kiáltá: "Elvitték az Urat!" Mi pedig, János és én, fölugrottunk és vele a sírhoz siettük, János, mint ifjabb, előbb érte el azt, de mikor a sírt üresen találta, nem mert bemenni.	Ngày thứ ba vừa rạng, ánh bình minh vừa nhuộm trắng những bức tường thành, cả hai đang ngồi yên như thế cạnh tường, không còn biết làm gì và không còn chút hy vọng, lúc thì giấc ngủ khiến họ chợp mắt (vì ngay cả đêm trước khi xảy ra tai họa họ cũng đã không ngủ), lúc họ lại choàng tỉnh và thương thân trách phận như cũ.
A sírban rendbe szedve látta ugyan a gyolcsot, de a testet nem találta.	Nghe thấy thế, họ bèn choàng dậy và chạy ngay ra chỗ đó.
Ekkor nagy félelem szállt meg bennün­ket, mert azt gondoltuk, hogy Krisztust a papok vitték el és mi ketten, János és én, még nagyobb szomorúsággal tértünk haza.	Nhưng thánh Jan, người trẻ hơn, chạy đến trước, trông thấy cái huyệt trống rỗng và không dám bước xuống.
Mindnyájan elvesztették életkedvöket, mert az a remény, hogy a Mester meg­váltja Izraelt, megcsalta őket és nem fogták föl, miért hagyta el az Atya a Fiút.	Họ rất hoảng sợ vì nghĩ rằng các thấy cả đã cướp Chúa đi rồi, cả hai quay trở về nhà trong nỗi dày vò càng lớn lao hơn.
Csaknem kopasz fejét mellére csüggeszté, a szavak csak fáradsággal hangzottak ajkairól.	Mái đầu già nua rụng hết tóc run lên và giọng nói nghẹn lại trong lồng ngực.
- Ez az ember igazat beszél és könnyeket hullat miatta - gondolá Vinicius, míg az egész hall­gatóság a legnagyobb izgalomba jött.	Vinixius tự nhủ: "Con người này nói sự thật và khóc than cho sự thật" - và một nỗi thương tiếc cũng làm nghẹn lời những người có trái tim chất phác đang lắng nghe.
Csak lassanként csillapodtak le ismét, mert az az óhaj, hogy még többet halljanak, diadalt aratott az izgalom fölött.	Cụ già nhắm mắt lại, dường như muốn được nhìn rõ hơn trong tâm khảm những chuyện đã xa rồi và nói tiếp:
Az öreg ember pedig behunyta szemét, mintha a multat lelki szeme előtt el akarná vonultatni és tovább beszélt:	"Trong khi chúng tôi đang than khóc như thế thì Maria xứ Magđali lại chạy vào và kêu lên rằng vừa được trông thấy Chúa.
- Mikor a tanítványok ily módon jajveszékeltek, magdalai Mária ismét berohant és kiáltá, hogy látta az Urat.	Vì ánh sáng quá chói lòa nên chị ấy không thể nhận ra Người và cho rằng đấy là người làm vườn, song Chúa đã gọi: "Maria!".
Ekkor ő azt mondá: "Mária".	và sụp xuống chân Người.
Ő pedig lábaihoz rogyott ezzel a kiáltással: "Rabbuni".	Người bảo chị hãy tới chỗ học trò rồi biến mất.
És miután megparancsolta neki, hogy a tanítványokhoz menjen, eltűnt.	Chúng tôi bèn chạy tới huyệt một lần nữa và thấy huyệt trống không.
Mikor pedig a tanítványok másodszor oda siettek, a sírt ismét üresen találták.	Rồi họ bắt đầu chống giữ bên cửa ra vào đã đóng kín, vì sợ bọn Do Thái.
És a nyolcadik napon Didymus Tamás sebeibe tette újjait és kezét oldalába, aztán lábához borult és kiáltá: "Én Uram és én Istenem!" Ő pedig mondá: "Mivel láttál, hiszel.	"Tám ngày sau, Tomas Đyđymux đặt mấy ngón tay vào những vết thương và chạm vào sườn Người rồi quỳ xuống chân Chúa mà kêu lên: "Chủ tôi và Chúa tôi".
És mi hallottuk e szavakat és szemünk reája nézett, mivel közöttünk volt.	Phước phận thay những ai không nhìn thấy mà vẫn hằng tin".
Az aggastyán minden mozdulatában, könnyeiben, egész megjelenésében, elbeszélésének legkisebb részletében is volt valami, ami minden vádaskodást lehetetlenné tett.	Chàng không thể tin vào những chuyện mà cụ già vừa kể, song chàng lại cảm thấy rằng phải là một kẻ mù và cưỡng chống lại chính óc của mình mới có thể cho rằng con người vừa mới nói.
Vinicius néha azt hitte, álmodik.	"Tôi đã nhìn thấy" kia là nói dối.
És elbeszélt nekik mindent a mennybemenetelig.	Chốc chốc, Vinixius cứ ngỡ mình đang nằm mơ.
Néha szünetet tartott, mert nagyon részletesen beszélt.	Ông cụ tiếp tục kể cho mọi người nghe cho tới lúc Lên trời.
Néha valóságos elragadtatás vett erőt hallgatóin.	Một sự đắm say tràn ngập lòng những người đang nghe cụ nói.
Úgy tetszett nekik, mintha őket egy emberfölötti erő elragadta és Galileába vitte volna, a tanítványokkal jártak a ligetekben és a víz partján, a temetkezőhely a Tiberiás tengernek tetszett nekik, melynek partján a reggeli párázat­ban állt Krisztus, mint akkor, midőn János őt a csónakból megpillantva kiáltá: "Az Úr az!" és Péter átúszott a vizen, hogy a kedves lábakat hamarább átölelhesse.	Họ cảm thấy như có một sức mạnh siêu nhiên nào đó mang họ về tới xứ Galilea, rằng họ cùng với các học trò của Chúa đi trong những khu rừng cây nọ, đến bên bờ nước, rằng cái nghĩa địa này biến thành hồ Tyberiad, còn trên bờ hồ, trong làn sương mù ban mai.
Az összes jelenlevők arcán a legnagyobb lelkesedés, önfeledség, boldogság és határtalan odaadás tükröződött, igen, néhánynak közülök a hosszú elbeszélés közben nyilván látomásai voltak.	Đấng Crixtux đang đứng đó, hệt như Người đứng trước khi thánh Jan từ trên thuyền nhìn lên mà thốt ra: "Chúa kìa!" - Còn sứ đồ Piotr lao xuống bơi để có thể được sụp xuống đôi chân thương quý nhanh hơn.
Chilon ebben a pillanatban megrántotta a fiatal patricius köpönyegét és odasúgta neki:	Chính vào lúc ấy lão Khilon chợt kéo góc áo choàng của Vinixius và thì thào:
- Uram, ott látom az öregtől nem messze Urbánt és mellette egy leány áll.	- Thưa ngài, ở kia cánh ông cụ không xa, tôi nhìn thấy tên Urxux, cạnh hắn là một thiếu nữ nào đấy.
Vinicius mintha álomból riadt volna föl, a görögtől megjelölt irányba nézett és megpillantá Ligiát.	Vinixius như chợt tỉnh giấc mơ và quay về phía lão Hi Lạp chỉ, chàng nhìn thấy Ligia.
HUSZONEGYEDIK FEJEZET	Henryk Sienkiewicz
Mily kéjt szerzett neki látása; úgy érezte magát, mint az eltikkadó, akinek egy ital vizet nyujtanak.	Chàng cảm thấy khoan khoái hưởng thụ khoái cảm ấy như uống dòng nước mát lành sau một cơn khát dài ngày.
Az óriási Ursus mellett Ligia kisebbnek tűnt föl neki, mint egyébkor, sőt csaknem gyermeknek s azt is észre­vette, hogy véznább lett.	Đứng bên bác người Ligi lực lưỡng, trông nàng nhỏ bé hơn trước kia, gần như là một đứa trẻ và chàng cũng nhận thấy nàng có gầy đi.
Áttetsző arcszínével olyan hatást tett reá, mint egy gyönge virág, mint egy teljesen átszellemült lény.	Làn da nàng gần như trong suốt, nàng gây cho chàng ấn tượng về một đóa hoa, một linh hồn.
Annyira elmerült Ligia nézésében, annyira megfeledkezett mindenről maga körül, hogy Chilon megrántá köpönyegét attól való félelmében, hogy a fiatal katona veszélyt hozhat reájuk magaviseletével.	Nhưng điều đó chỉ càng khiến cho chàng thêm khát kháo chiếm được cái sinh linh này, cái sinh linh khác hẳn những người phụ nữ mà chàng từng gặp hoặc từng sở hữu ở Phương Đông và ở Roma.
Viniciusnak úgy tetszett, mintha ez az éjszaka soha véget nem érne.	Trong lúc đó, những người Thiên chúa giáo bắt đầu cầu nguyện và hát.
Türel­met­lenül várt arra, hogy a fiatal leányt követhesse.	Vinixius cảm giác như cái đêm hôm nay kéo dài chẳng bao giờ chấm dứt.
Végre, végre az elsők hazafelé indultak, de Chilon odasúgta Viniciusnak:	Mãi sau, người ta mới bắt đầu dần dần rời khỏi nghĩa địa.
- Uram, menjünk a kapu elé.	Khi ấy lão Khilon thì thầm:
Mikor az emberek ledobták a csuklyákat, hogy az apostol szavait jobban meg­érthessék, Vinicius és kisérői nem követték ezt a példát.	Khi Sứ Đồ đang nói, mọi người đều bỏ mũ che đầu ra để được nghe rõ hơn, còn bọn họ không làm theo.
Azonkívül Ursus óriási termetének mindenki előtt azonnal föl kellett tünnie.	Đứng cạnh cổng ra vào họ có thể quan sát được từng người đi ra.
- Bizonynyal a legjobb, ha követjük őket - ragadta meg Chilon újra a szót.	Không khó khăn gì cũng có thể nhận ra bác Urxux dựa theo tầm vóc và dáng người.
- Mihelyt aztán tudjuk, melyik házban laknak, parancsot adsz rabszolgáidnak, ó uram, hogy azt a házat holnap vagy azonnal körülfogják és elrablod a leányt.	- Chúng ta sẽ theo hút bọn họ - lão Khilon nói - xem xem họ đi vào ngôi nhà nào, ngày mai, mà đúng hơn là hôm nay, ngài sẽ dùng bọn nô lệ vây chặt tất cả các cửa ra vào ngôi nhà ấy và sẽ bắt nàng đi, thưa ngài.
- Nem!	- Không!
- kiáltá Vinicius.	- Vinixius đáp.
- Hát mit szándékozol tenni, ó uram?	- Thế ngài muốn làm thế nào, thưa ngài?
- Várom parancsaidat - viszonzá a lanista - és rabszolgád legyek, ha ennek a bivalynak, aki a leányt őrzi, el nem töröm a hátgerincét.	- Chính thế, - viên lanixta đáp - Tôi sẽ tự nộp mình làm nô lệ cho ngài nếu như tôi không bẻ gẫy xương sống con trâu mộng đang canh giữ nàng kia.
És akkor mit csinálnának?	Khi ấy họ sẽ làm gì nào?
Csak a legnagyobb óvatossággal szabad eljárniok és egyáltalán helytelen magukat halálos veszélynek, a vállalkozást pedig valószinű meghiúsulásnak kitenni.	Tại sao không hành động một cách chắc chắn, tại sao lại dấn thân vào chuyện nguy hiểm và làm cho bao công sức có thể phải đổ xuống sông biển?
- Parancsold meg, uram, ennek a vén bakkecskének, hogy hallgasson - kezdé - vagy engedd meg, hogy megéreztessem vele öklömet.	- Thưa ngài, xin hãy ra lệnh cho lão khọm già kia câm mõm lại - y nói - hoặc xin hãy cho tôi hạ nắm đấm xuống đầu lão cho rồi.
Nem mintha azt szándékoznám, hogy a leányt mindjárt itt, a sokaság közepett raboljam el, mert köveket dobhatnának lábaim elé, de ha akarod, házában elfogom őt és odaviszem arra a helyre, amelyet kijelölsz.	Tôi không dám bảo rằng bắt ngay cô ta lúc này giữa chốn đông người, vì bọn chúng có thể ném đá vào chúng ta, nhưng đến khi cô ấy về tới nhà rồi, tôi sẽ bắt ngay và mang đến bất cứ nơi nào ngài muốn.
- Herkulesre, úgy legyen!	- Thề có Herkulex, sẽ xảy ra đúng như thế!
- Ah, ennek a ligiainak óriási ereje van - nyögé Chilon.	- Nhưng tôi thấy thằng cha người Ligi khỏe kinh lắm - Lão Khilon rên lên.
- Senki se parancsolja neked, hogy megfogd a kezét, - vágott közbe Croton.	- Thì có ai khiến ngươi phải giữ tay hắn lại đâu cơ chứ?
Egy lámpát vivő fiú mutatta nekik az útat.	Cùng đi với họ có mấy người nữa.
Ezt a kis csoportot mintegy kétszáz főből álló csapat követte és Vinicius, Chilon meg Croton ezekhez csatla­koztak.	Theo sau tốp người này là một đám đông chừng hai trăm người, Vinixius, Kroton và lão Khilon nhập vào đám người ấy.
- Látod, uram - jegyzé meg Chilon halkan - leányod hatalmas oltalom alatt áll.	- Đấy thưa ông chủ - lão Khilon nói - cô thiếu nữ của ngài đang được đặt dưới một sự che chở rất to lớn.
Időnkint tehát újfent eszébe jutott Viniciusnak, minő válaszfal áll közte és Ligia közt ama csodálatos tanítás folytán, melyet a fiatal leány követett.	Tuy nhiên, con đường về khá xa, nên nhiều khi chàng cũng suy nghĩ về những vực thẳm mà cái học thuyết kỳ lạ kia, cái học thuyết mà nàng thuận theo đã đào sâu giữa chàng và Ligia.
Úgy tetszett, mintha hirtelen látóvá lett volna.	Chàng khá sáng suốt về phương diện đó.
Nem, gondolá magában, eddig nem ismerte Ligiát.	Té ra cho tới nay chàng chưa hiểu gì về Ligia.
Eddigelé olyan lánynak tűnt föl előtte, aki szépségre valamennyit fölülmulta, aki szenvedélyes természetét lángra gyújtotta és most tudta, hogy a szent tanítás, melyen csüggött, egész lényét megnemesíté, úgy, hogy semmi más nőhöz nem volt hasonlítható és az a reménye, hogy izzó szerelmével, a gazdagsággal és pompával befolyást gyakorolhat reá, mindinkább eltűnt.	Chàng chỉ thấy nàng là một thiếu nữ tuyệt đẹp, hơn hẳn các thiếu nữ khác trên đời, nàng hấp dẫn các giác quan của chàng, giờ đây chàng mới hiểu ra rằng cái học thuyết kia đã biến nàng thành một sinh linh khác hẳn những người phụ nữ khác và rằng cái hy vọng lôi kéo nàng chỉ bằng các giác quan, bằng dục vọng, tài sản, lạc thú sẽ chỉ là ảo vọng.
Mert a görög áradozó szavakkal kezdett panaszkodni saját sorsáról.	Cứ nghĩ về chuyện đó, đầu óc chàng lại trở nên hỗn độn.
Talán arra kötelezte magát, hogy a leányt elrabolja?	Nào lão có nhận việc cướp nàng đi đâu?
Ugyan ki kivánhat tőle ilyesmit, tőle, egy nyomo­réktól, egy öreg embertől, aki az erényt mindennél többre becsüli, aki bölcs elmélkedéseknek, a tudománynak szentelte magát?	Mà ai có thể yêu cầu điều đó ở một con người tàn tật mất những hai ngón tay, một con người già nua tuổi tác đã dâng hiến đời mình cho tư duy, cho khoa học và cho đức hạnh?
Nem terhelné-e őt felelősség, ha a leány elrablásánál valami baj érne olyan előkelő urat, mint Vinicius?	Chuyện gì sẽ xảy ra, nếu như một đức ông cao sang như Vinixius gặp phải chuyện chẳng lành khi bắt cóc thiếu nữ?
Fortuna köztudomás szerint köteléket hord a szemén; hogyan lehetne tehát éjjel reá számítani, ha még nappal se lát valamit?	Thần tài Fortuna, như ai nấy đều biết, có đôi mắt bị bịt kín, nên ban ngày nữ thần còn chẳng trông thấy gì huống hồ ban đêm.
- Nesze, itt van, de most hallgass!	- Của ngươi đấy và câm đi!
De mikor a görög érezte, mily nagyon nehéz volt az erszény, ismét új életkedvre látszott kapni.	Lão Hi Lạp cảm thấy cái túi nặng khác thường và có thêm can đảm.
- Minden reménységem azon nyugszik, - kezdé ismét, - hogy Herkules és Theseus még nagyobbszerűbb dolgokat vittek véghez.	- Toàn bộ hy vọng của tôi đặt vào chỗ - lão nói - là chàng Herkulex và Tezeus còn hoàn thành được những kỳ công khó khăn hơn nhiều, mà người bạn thân thiết nhất của tôi, chàng Kroton đây, là ai?
- Inkább vinnék a karomon egy birkát, mely egy hónappal ezelőtt himlőben hullt el - mondá a lanista - de ha nekem adod az erszényt, melyet a nemes tribún neked hajított, elviszlek a város kapujáig.	- Ta thà vác thịt thối của một con cừu chết vì bệnh ung rạ một tháng còn hơn - viên lanixta đáp lại, song nếu ngươi đưa cho ta cái túi tiền mà ngài hộ dân quan tôn quý vừa quẳng cho ngươi thì ta sẽ bế ngươi tới tận cổng thành.
- Hulljon le a lábod nagy újja - viszonzá a görög.	- Cầu cho anh bị dập ngón chân cái đi!
- Így követed amaz érdemes öreg embernek tanítását, aki a szegénységet és irgalmasságot mint legkiválóbb erényeket magasztalta?	- Lão Hi Lạp kêu lên - Anh lại lợi dụng khoa học của một ông lão khả kính, người xem sự nghèo khó và tình thương như hai thứ đạo đức đáng quý nhất như thế đấy phải không?
Még rossz keresztényt se tudok belőled faragni, és könnyebben áthat a nap a mamertini börtön falain, mint az igazság a te vizilófejeden.	Còn Kroton, kẻ mang sức mạnh của dã thú, không hề có một thứ tình cảm, nhân tính nào, liền đáp lại:
- Ne fáradj, - jegyzé meg Croton, akinek ugyan vadállati ereje volt, de nem birt emberi érzéssel, - belőlem soha se faragsz keresztényt.	- Đừng lo, ta sẽ không trở thành tín đồ Thiên chúa đâu.
- De ha a bölcseletről csak sejtelmed volna, tudnád, hogy minden pénz hiábavaló.	- Phải rồi, nhưng giá như ngươi có được vài khái niệm nhập môn về triết học thì hẳn ngươi sẽ biết: Và chỉ là thứ vứt đi.
- Csak ne hagyj békén a bölcselkedéseddel, olyant lökök a fejemmel a gyomrodra, mely elválasztja, hogy ki a győztes.	- Hãy mang theo cả cái triết học ấy đến đây ta chỉ cần tặng cho lão một cái húc đầu vào bụng, rồi xem xem ai sẽ thắng.
- Ugyanazt mondta egy ökör is Aristotelesnek, - veté közbe Chilon.	Con bò cũng có thể nói với ngài Arixtotelex hệt ngươi!
Már pitymallani kezdett.	- Khilon quật lại.
Zöldségkereskedők, kik árúkkal megrakott szamarakat és öszvére­ket vezettek, a nyitott kapukat siettek elérni.	Ánh lê minh quét một màu nhợt nhạt lên các đỉnh mấp mô của những bức tường thành.
E ködben kisértetekhez hasonlítottak a tovamenők.	Đường không còn hoàn toàn vắng vẻ nữa.
Ha az isteni Ligia menedékhelyét kikutattad, küldd el rabszolgáidat és egy gyaloghintót, vétesd körül a házat és raboltasd el a leányt.	Vinixius nhìn mãi vào hình dáng mảnh khảnh của Ligia, hình dáng mỗi lúc thêm lấp lánh bạc trong ánh ngày đang rạng dần.
- És te egy hordó kephaloniai bort kapsz tőlem, és az annyit tesz, hogy nem lesz semmi bajom, - veté közbe a görög.	- Còn ngươi có ở chỗ ta một vại rượu nho Xefalon, nghĩa là, ta sẽ mạnh khỏe - lão Hi Lạp đáp lại.
Mikor az apostol a két zsoldos mellett elhaladt, letérdeltek, ő pedig ércsisakjukra tette kezét és aztán mind a kettő fölé keresztet vetett.	Hai người lính đang quỳ xuống khi Đức Sứ đồ đi ngang qua, còn ông để tay một lúc trên những chiếc mũ trụ bằng sắt của họ rồi làm dấu thánh giá trên đó.
Az út a falakon kívül egész darabon teljesen beépítetlen volt, de miután ezt is elhagyták, a keresztények csapata mindenféle irányban szétoszlott.	Sau khi đi qua những phần đất hoang nằm bên trong tường thành, đám tín đồ Thiên chúa bắt đầu tản dần.
Még jó ideig tartott, mielőtt a Tiberhez értek, és a nap már fenn volt az égen, mikor a keresztények utolsó csapatja is eloszlott.	Họ phải đi khá lâu, đến tận khu Zatybrye, mặt trời cũng gần mọc, thì đám người trong đó có Ligia mới phân tán ra.
Chilon, ki majdnem mindig ötven lépésnyire tartózkodott Vinicius és Croton mögött, hirtelen, mintha a lába a földbe gyökeret vert volna, megállt, és egy falhoz lapulva, jelt adott nekik, hogy térjenek vissza hozzá.	Đang tấp tểnh chừng năm mươi bước chân phía sau Vinixius và Kroton, lão Khilon chợt đứng sững như trời trồng và nép người vào tường, lão suỵt suỵt gọi họ quay trở lại.
Habár Chilon panaszkodott fájó lába száraira, mégis oly gyorsan elvágtatott, mintha Merkur szárnyaival birna, és már egy pillanat mulva ismét visszatért.	Mặc dù vừa ca thán về những vết thương ở chân, lão Khilon nhảy vọt đi nhanh nhẹn như ở mắt cả của lão có đôi cánh nhỏ của thần Mecurơ vậy, lát sau lão quay trở lại ngay.
- Nem - mondá - a háznak csak egy bejárata van.	- Không có - lão bảo - chỉ có một lối vào thôi.
- Utánnam jösz!	- Tôi vào đầu tiên - y nói.
- viszonzá ez, parancsoló hangon.	- Ngươi đi sau ta - Vinixius nói giọng ra lệnh.
Aztán a sötét folyosóban mindjárt mind a ketten eltüntek.	Rồi lát sau cả hai biến mất vào trong cái hiên mờ tối.
Chilon pedig a legközelebbi utcácska sarkáig szaladt, elrejtőzött egy falkiugrás mögött, és ott várta meg a további eseményeket.	Lão Khilon nhảy ngay tới góc phố gần nhất và nghé từ sau góc tường lão chờ đợi xem điều gì sẽ xảy ra.
Vinicius csak akkor ismerte föl tulajdonképpen merényletének egész fontosságát, mikor ebben a folyosóban volt.	Mãi tới lúc vào đến hiên, Vinixius mới hiểu hết toàn bộ khó khăn trong hành động của chàng.
A nagy, többemeletes épület ama sok ezer ház közé tartozott Rómában, melyeket a haszonbér miatt emeltek és gyakran oly gyorsan és rosszul építettek, hogy csaknem alig mult el év anélkül, hogy közülök több is össze ne omlott volna a lakosok feje fölött.	Đó là một ngôi nhà khá lớn, nhiều tầng, một trong hàng nghìn ngôi nhà được người ta xây dựng ở Roma để kiếm lợi bằng cách cho thuê buồng, song thông thường được xây vội vã và tạm bợ đến nỗi không năm nào không có vài ngôi nhà như thế đổ sụp xuống đầu những người ở trọ.
Csak méhkaptárakhoz lehetett őket hasonlítani rendkívüli magasságuk és keskenységük miatt, számtalan szobácskáik és kamrácskáikkal, melyekben a nyomorúságos bérlők zsúfolva laktak.	Đó quả thực là một cái tổ ong, quá cao và quá hẹp, đầy các phòng và những phòng xép trong đó sống chen chúc đám dân vừa nghèo khổ vừa quá đông đúc.
A kora reggeli órában egyetlen emberi lény se mutatkozott az udvarban.	Hãy còn sớm quá nên trên sân không một bóng người.
Az egész házban az Ostrianumból hazatérteken kívül még minden aludni látszott.	Hẳn là trong nhà mọi người hãy đang ngủ, trừ những người mới từ Oxtrianum quay về.
- Mit szándékozol most tenni, uram?	- Ta làm gì đây, thưa ngài?
- kérdé Croton, megállva.	- Kroton hỏi và dừng lại.
A fiatal katona az első pillantásra fölismerte őt.	Thoạt nhìn, chàng trai đã nhận ra ngay bác Urxux.
- Az a ligiai! - súgá oda Crotonnak.	- Chính tên Ligi đấy!, - Vinixius thì thầm
- Azonnal összetörjem a csontját?	- Tôi có cần phải bẻ gãy xương nó ngay lập tức không?
- Várj!	- Khoan đã!
Ursus nem vette észre a kettőt, akik a sötét folyosóba visszahúzódtak, és nyugodtan mosta a főzeléket szitájában.	Bác Urxux không nhìn thấy họ vì họ đang đứng trong bóng tối của hàng hiên, bác bình thản rửa rau đựng đầy trong cái rổ.
Az Ostrianumban töltött éj után most nyilván eledelt akart készíteni.	Chắc là sau cả đêm thức tại nghĩa địa, bác muốn sửa soạn bữa tối cho cả bọn.
A bevégzett munka után fogta a vizes szitát, és azzal ismét eltünt a függöny mögött.	Sau khi xong việc, bác cầm cái rổ ướt nước và biến mất sau tấm rèm che.
Croton és Vinicius abban a föltevésben, hogy mindjárt Ligia lakásába jutnak, utánna mentek.	Kroton và Vinixius bám theo bác vì nghĩ rằng sẽ vào đúng ngay phòng của Ligia.
Mily nagy volt tehát csodálkozásuk, mikor látták, hogy ez a függöny az udvartól nem lakást, hanem egy második, sötét folyosót zárt el, amelynek végén egy kis kert lőn látható néhány cipruszszal, és néhány mirtusz-bokorral és egy házikóval, mely egy másik kőépület falához volt építve.	Vì vậy họ vô cùng ngạc nhiên khi thấy rằng đằng sau tấm rèm che ngăn cách với sân trong kia không phải một căn phòng mà là một hành lang mờ tối thứ hai nữa, cuối hành lang trông rõ một mảnh vườn nhỏ có vài cây trắc bá, vài bụi sim thơm và một gian nhà nhỏ dựa vào tường sau kín bưng của một ngôi nhà bằng đá khác.
- Kit kerestek itt?	- Các ông tìm gì ở đây?
- Téged!	- Bác hỏi
- viszonzá Vinicius.	- Tìm mày đấy - Vinixius đáp
Aztán gyorsan Crotonhoz fordult és halkan és sürgetőleg mondá: - Öld meg őt!"	Rồi quay lại phía Kroton, chàng gọi bằng một giọng gấp gáp nhưng nén lại:
A tűzhelynél egy öreg ember ült, nyilván az az aggastyán, aki Ligiával és Ursusszal az Ostrianumból visszajött.	Còn người thứ hai ngồi bên đống lửa chính là ông cụ già đi cùng với cô gái và bác Urxux trên đường từ Oxtrianum quay về.
Mint a villám, úgy rohant most Vinicius Ligiának, körülkapta derekát, és őt magasra emelve, az ajtó felé sietett vele.	Vinixius lao vào bất thần đến nỗi trước khi Ligia kịp nhận ra chàng thì chàng đã ôm ngang lưng nàng, nhấc bổng lên và lại lao ra phía cửa.
A gyors mozdulat folytán a csuklya leesett Vinicius fejéről és mikor Ligia az előtte oly jól ismert s e pillanatban ismét rettentően izgatott vonásokat megpillantotta, ijedtében elhült benne a vér s a szó torkán akadt.	Cái mũ choàng tụt ra khỏi đầu chàng, trông thấy bộ mặt quen thuộc đối với nàng, bộ mặt kinh hoàng đối với nàng vào giây phút này, vì quá hoảng hốt máu như dừng lại trong người Ligia, tiếng nàng tắc nghẹn trong cổ họng.
Segítségért akart kiáltani, de nem tudott.	Nàng muốn kêu cứu song không kêu nổi.
Ott állt Ursus és egy férfit tartott karján, akinek hátgerince el volt törve, akinek feje élettelenül lelóggott, akinek szájából vér folyt.	Bác Urxux đang ghì trong hai tay một người nào đó, y hoàn toàn gập người ra phía sau lưng, đầu ngửa ra, mồm đầy máu.
De alig pillantotta meg Viniciust Ligiával, még egyszer a halottnak vérrel borított homlokára ütött, hogy aztán őrjöngő vad állatként a fiatal rómaira rohanjon.	Nhìn thấy họ, bác giáng một quả đấm nữa vào đầu y, rồi trong nháy mắt, như một con thú dữ sổng chuồng, bác nhảy vọt tới bên Vinixius.
***	….
Kiváncsiság és félelem harcolt benne és egyúttal azt fontolgatta, micsoda haszna lesz abból, ha Vinicius vállalkozását siker koronázza.	Lão nghĩ rằng, nếu như họ bắt cóc được Ligia thì việc có mặt bên Vinixius là điều tốt.
Urbántól nem tartott többé, mert ő is erősen meg volt győződve, hogy Croton ártalmatlanná tette őt.	Lão không còn sợ Urxux nữa vì tin chắc rằng Kroton sẽ giết chết bác ta.
De az idő utoljára mégis hosszúnak tetszett a görögnek és a csend, mely az általa őrzött ház bejáratánál uralkodott, némileg nyugtalanította őt.	Song với lão, thời gian dường như cứ kéo dài mãi ra, sự im lặng của cái hàng hiên mà lão trông thấy từ xa khiến lão lo lắng.
- Ha a kettőnek támadása meghiúsul - gondolá magában - ha nem sikerül a leányt rejtekhelyén megtámadni, akkor a keresztények tüstént más rejtekhelyre viszik őt.	"Nếu họ không tìm được đúng nơi cô ả trốn mà lại gây ồn ào thì thể nào cũng đánh động tới cô nàng"
De ez a gondolat semmiképp se nyugtalanítá Chilont, sőt ellenkezőleg: képzeletében további nagyszámú sestertiust látott maga előtt, melyet Vinicius most ismét teljesítendő szolgálataiért fizet neki.	Và ý nghĩ ấy cũng không khiến lão phiền lòng, lão hiểu rằng khi ấy lão lại trở nên cần thiết cho Vinixius và lão lại có thể biết cách bóp nặn của chàng một số lớn những đồng xextecxi.
- Ez Vinicius vagy Croton - gondolá a görög - de ha a leányt kézre kerítették, miért nem kiabál és egyikök miért néz körül előbb az utcán?	"Đó hẳn là Vinixius hoặc Kroton - lão Khilon nghĩ thầm, - nhưng nếu đã bắt cóc được cô gái thì tại sao cô ả không kêu toáng lên, tại sao bọn họ lại phải dòm chừng ra phố?
Chilon oly szorosan lapult a falhoz, hogy többé alig volt látható.	Bỗng những sợi tóc còn sót lại trên đầu lão dựng cả lên.
- Mihelyt megpillant, agyon­üt.	"Mình sẽ chết mất nếu hắn trông thấy mình" - lão nghĩ thầm.
Ments meg, ó Zeus, ments meg, Apolló, ments meg, Hermes, ments meg, te keresztények Istene!	Nhưng bác Urxux chạy nhanh vượt qua góc phố và khuất ngay sau ngôi nhà tiếp đó.
Ez a ligiai, aki Crotont megölte, ebben a pillanatban emberfölötti lénynek tünt föl előtte!	Tôi sẽ rời bỏ Roma, quay trở về Mezembria, nhưng xin hãy cứu tôi thoát khỏi tay con quỷ này".
Míg tovább és tovább rohant, az jutott eszébe, vajjon nem isten-e, aki egy barbár alakját ölté magára.	Đối với lão, vào giây phút này, người đàn ông Ligi đã giết Kroton quả là một sinh linh siêu phàm.
Most hitt a világ valamennyi istenében és minden mithoszban, amelyek fölött közön­séges időkben gúnyolódni szokott.	Vừa chạy trốn, lão vừa nghĩ rằng đó rất có thể là một vị thần linh đội lốt một kẻ dã man.
Csak akkor nyugodott meg kissé, miután egy jó darab útat a leggyorsabb futással megtett és észrevette, hogy néhány munkás jő vele szemközt.	Mãi tới khi vượt qua mấy phố hẻm và trông thấy những người thợ nào đó từ xa đang đi ngược đến, lão mới bình tĩnh lại đôi chút.
