STEFAN ZWEIG	KỲ THỦ
Hanyag mozdulattal beleült a karosszékbe, és egyik képesújságot lapozgatta.	Tôi thấy chẳng cần thiết phải nói chi tiết về ván cờ này.
Semmi meglepő nem volt abban, hogy a világbajnok fél kézzel végzett egy fél tucat közepes vagy közepesnél gyengébb játékossal; minket csak az bosszantott, hogy Czentovic prepotens modorában nagyon is éreztette, hogy fél kézzel vert meg bennünket.	Anh ta chỉ lơ đễnh đảo mắt nhìn qua loa bàn cờ, khi đi ngang qua, đã hờ hững coi chúng tôi như chính bản thân chúng tôi là những quân cờ bằng gỗ vô tri vô giác, là một lũ chó ghẻ anh ta ném cho một mẩu xương lúc quay đi chỗ khác.
Ha valamivel több tapintat és jó érzés lett volna benne, véleményem szerint figyelmeztethetett volna hibáinkra, s talán néhány barátságos szóval bátoríthatott, biztathatott volna.	Nhưng không, ván cờ kết thúc, cái máy đánh cờ này thốt lên mỗi câu : "Chiếu hết !", rồi đứng ngây người im lặng chờ xem chúng tôi có muốn đánh nữa hay không.
De még a játszma végeztével sem szólalt meg ez az embertelen sakk­automata.	Trước một đối thủ cỡ như Xzentôvic thì đành phải chịu thua thôi.
A hajatövéig nekivörösödött, orrlyukait kitágította a nagy belső feszültség, lassan elöntötte a veríték, és összeszorított ajka s harciasan előreugró álla közé éles ráncot vetett a visszafojtott indulat.	Trong ánh mắt ông, tôi lo ngại bắt gặp cái ánh đam mê điên cuồng thường chỉ thấy ở những người chơi trò cò quay sau khi đã đặt cuộc gấp đôi đến lần thứ sáu hoặc thứ bảy vào cùng một ô nhưng chẳng thấy hòn bi đổ vào.
Most már tudtam, hogy fanatikus becsvágyában akár egész vagyonát is feláldozza, ha kell, s addig kér újabb és újabb revanche-ot, szimpla vagy kettőzött téttel, míg végül is sikerül partit nyernie.	Tôi dự đoán là MacCônno sẽ phải trả giá bằng cả gia tài của mình cho cái tính tự ái điên cuồng này, ông ta sẽ đánh hoài cho kỳ tới khi được một ván mới chịu thôi.
Ha Czentovic kitart, szinte kiapadhatatlan aranybányára akad McConnor személyében, és könnyedén beseperhet egy-kétezer dollárt Buenos Airesig.	Nếu nhà vô địch kiên trì thì MacCônno sẽ là một mỏ vàng mà anh ta sẽ đãi được hàng ngàn đô la trước khi chúng tôi cặp bến ở Buênôx Airex.
Czentovic mozdulatlanul ült a helyén.	Xzentôvic mặt lạnh như tiền.
- Kérem - felelte udvariasan.	- Tùy các ông, - anh ta lễ độ đáp.
- Most az uraké a fekete szín.	– Các ông sẽ đi quân đen.
McConnor meredten tekintett a sakktáblára, mintha akaratával delejezné a figurákat.	MacCônno nhìn chăm chăm bàn cờ như muốn thôi miên các quân cờ để bắt chúng phải đánh thắng.
Éreztem, hogy szíves-örömest adna ezer dollárt, ha diadalittasan kiálthatná hűvös ellenfele arcába, hogy: "Matt!" Különös módon akaratlanul ránk is átterjedt némiképp becsvágyának láza.	Tôi cảm thấy ông ta sẵn lòng bỏ ra cả ngàn đô la để được cái thú thốt kêu lên : "Chiếu hết" với đối thủ chẳng thanh cao mấy.
Mégsem mertünk tiszta szívből örülni a túlságosan könnyen kínálkozó lehetőségnek.	Thật ra, chúng tôi chưa thật an tâm về vận may hiển nhiên như vậy.
Gyanítottuk, hogy Czentovic, aki sokkalta jobban átlátja a helyzetet, ezzel a csalétkül odadobott látszólagos előnnyel lépre akar bennünket csalni.	Chúng tôi nhất trí cho rằng do nhìn xa trông rộng hơn chúng tôi, Xzentôvic định nhử chúng tôi để nhằm một mưu đồ gì đây.
De bármennyit törtük a fejünket, bármennyit is tanakodtunk, nem találtuk meg a dolog nyitját.	Nhưng bàn đi tính lại mãi chúng tôi vẫn không tài nào đoán được nước bẫy.
S mikor már majdnem túlléptük a kitűzött gondolkodási időt, elhatároztuk, hogy megkockáztatjuk ezt a lépést.	Cuối cùng, thời hạn quy định sắp kết thúc, chúng tôi quyết định liều đi một bước nữa.
Egy, mintegy negyvenöt éves úr, kinek keskeny, éles metszésű, sajátosan sápadt arca már előzőleg feltűnt nekem a fedélközön, a jelek szerint az utóbbi percekben, mialatt teljes figyelmünket a problémának szenteltük, hozzánk csatlakozott.	Chúng tôi thấy một người đàn ông khoảng bốn mươi nhăm tuổi, mặt hẹp và xương xương mà tôi đã từng gặp trên cầu tàu và tôi rất ngạc nhiên trước nước da tái nhợt của ông.
Csaknem ugyanaz a helyzet állott elő, mikor 1922-ben Aljechin Bogoljubov ellen játszott a pöstyéni bajnokságon.	Đấy đại khái là những nước cờ của Alêcxin và Bôgôngiubôp đã đánh trong trận đấu ở Pixchian vào năm 1922".
Az, aki kilenc lépéssel előre kiszámítja a mattot, csak elsőrangú szakember lehet, sőt talán éppen egy konkurrens bajnokjelölt, aki szintén turnéra utazik.	Dự kiến trước chín nước để chiếu hết thì hẳn phải là một nhà chuyên nghiệp nổi tiếng có lẽ đáng mặt là đối thủ của Xzentôvic trong một trận đấu.
- suttogta izgatottan.	- Ông khuyên tôi nên thế nào ?
Mindenekelőtt lépjenek királlyal a veszélyeztetett g8-ról a h7-re.	- Lúc này đừng tiến vội, nên tránh đối phương!
Erre ő valószínűleg a másik szárnyra veti át a támadást.	Trước hết, kéo Vua ra khỏi đường G8-H7 nguy hiểm đã.
Többet ebből már nem lehet kihozni.	Không thể hơn được đâu.
Varázserővel hatott ugyanakkor a váratlan, új lehetőség, hogy segítségével remis-t érhetünk el egy világbajnokkal szemben.	Nhờ ông, niềm hy vọng quá bất ngờ mà lúc này chúng tôi ôm ấp là đánh hòa với nhà vô địch thế giới đúng là một điều thần diệu.
Mindnyájan ösztönösen félrehúzódtunk, hogy szabad pillantást vethessen a sakktáblára.	Chúng tôi chẳng ai bảo ai đều đứng né sang một bên để ông nhìn thấy rõ bàn cờ.
- Szóval a királyt g8-ról a h7-re?	- Đánh quân Vua từ g8 sang h7 ?
- Úgy van!	- Tất nhiên!
Egyelőre ki kell térni!	Phải tránh đối phương.
Czentovic szokott egykedvűséggel lépett asztalunkhoz.	MacCônno nghe theo và chúng tôi gõ vào cốc thủy tinh.
- Akkor először a parasztot kell fedeznie.	Có bảo vệ vậy cũng bằng thừa !
McConnor habozás nélkül úgy tett, amint az idegen mondta.	Chiếc cốc thủy tinh lại cất tiếng kêu lanh canh.
Czentovic felpillantott a sakktábláról, és szeme végigmustrált bennünket.	Từ lúc đó chúng tôi bị kích thích không bút nào tả xiết.
Most azonban vérünket perzselte a gondolat, hogy megtörhetjük Czentovic hideg gőgjét.	Tay tôi run run khi cầm chiếc thìa gõ vào cốc thủy tinh báo cho Xzentôvic đến.
Újdonsült barátunk már bemondta a következő lépést, s visszahívhattuk Czentovicot.	Thế là chúng tôi liền được thấy thắng lợi đầu tiên của chúng tôi.
Néhány perc után lépett egyet és felemelkedett.	Mấy phút sau anh ta mới đánh rồi đứng lên.
Lecserélést kell kikényszerítenünk.	Quả là không thẹn với thanh danh.
Mindenáron!	Nhưng không sao !
McConnor engedelmeskedett.	MacCônno răm rắp phục tùng.
Egy percig halotti csend uralkodott.	Một giây lát im lặng như tờ.
Szinte megrémített bennünket, amit senki sem álmodhatott, hogy ez az idegen rákényszeríti akaratát egy már félig vesztett játszmában a világbajnokra.	Làm sao một người chưa ai biết tới này lại có khả năng đánh cho nhà vô địch thế giới thua nửa ván cờ được ?
Már az utolsó lépéseknél, úgy vettem észre, kissé elsápadt.	Tôi có cảm giác anh ta hơi tái mặt khi đánh mấy nước cuối.
Látszólag egykedvűen nézett maga elé, s miközben nyugodt mozdulattal leseperte a bábokat a tábláról, hanyagul odavetette:	Vẫn với vẻ cứng nhắc và lãnh đạm, anh vừa hỏi, giọng lừng chừng, vừa lấy tay gạt mấy quân cờ trên bàn cờ :
- Óhajtanak az urak egy harmadik partit játszani?	- Các ông đây có muốn chơi ván thứ ba không ?
Csak az tűnhetett fel némiképpen, hogy eközben nem McConnorra tekintett, hanem egyenesen, élesen az idegen szemébe nézett.	Anh ta nói những lời ấy không phải với MacCônno, vì anh đưa cặp mắt sắc và thẳng thắn nhìn về phía vị cứu tinh của chúng tôi.
Önkéntelenül követtük pillantását, és mi is feszülten néztük az idegent.	Vô tình, chúng tôi dõi theo cặp mắt anh và hướng nhìn về phía người khách lạ.
De most ön játszik egyedül Czentovic ellen!	Một mình ông đánh với Xzentôvic!".
A jelenet azonban nem úgy folytatódott, mint ahogy vártuk.	Một sự việc thật đáng sửng sốt liền xảy ra.
S mielőtt még magunkhoz térhettünk volna csodálkozásunkból, már el is hagyta a termet.	– Và trước khi chúng tôi hết ngạc nhiên, bình tĩnh lại, ông ta đã rời khỏi phòng.
- Lehetetlen, hogy ez az ember huszonöt éve nem sakkozott!	- Người này đã hai mươi nhăm năm không đánh cờ !
Ezt az utóbbi kérdést önkéntelenül Czentovichoz intézte McConnor.	– MacCônno vô tình quay về phía Xzentôvic khi nói mấy lời cuối này.
De semmi sem törhette meg a világbajnok hűvös modorát.	Nhưng nhà vô địch cứ thản nhiên như không.
- Nem tudok erről a dologról véleményt mondani.	- Tôi không biết trả lời ông thế nào.
- Ha az úr vagy az urak holnap újból játszani óhajtanak, három órától rendelkezésükre állok.	– Xzentôvic nói lúc đứng lên, đoạn nói tiếp : - Nếu ngày mai một trong hai ông muốn đánh một ván, tôi xin hầu các ông vào ba giờ chiều.
Nem bírtunk elfojtani egy halvány mosolyt.	Không kìm được, chúng tôi mỉm cười.
Mindannyian tisztában voltunk vele, hogy Czentovic nem nagylelkűségből adott "egy kis előnyt" ismeretlen segítőtársunknak, s hogy ezzel a gyermeteg kifogással akarta leplezni balsikerét.	Tất cả chúng tôi đều biết rõ Xzentôvic không có ý tỏ ra hào hiệp với vị cứu tinh không quen biết của chúng tôi, nhận xét của anh ta chỉ là một mẹo ngây thơ nhằm che giấu rủi ro của mình.
Ellenállhatatlanul vonzott a szédítő lehetőség, hogy éppen a mi hajónkon, az óceán kellős közepén ragadják el a sakkbajnoktól a pálmát, s a csodálatos eseményt szétkürtölnék a világ minden tája felé a sajtóirodák.	Lúc trước, vốn là những hành khách hiền lành và lờ đờ, chúng tôi bỗng hung hăng và hiếu chiến khi nghĩ rằng trên con tàu này, ở giữa đại dương, có thể Xzentôvic sẽ bị tước mất vòng quanh vinh của mình.
Ki volt ez az idegen?	Người lạ này là ai ?
Lázasan mérlegeltük ezeket a lehetőségeket, de a legmerészebb hipotézisek sem magyarázták meg kellőképpen az idegen különös félszegségét, s még kevésbé hozhatták összhangba vallomását művészi játékával.	Chúng tôi đã tranh luận rất sôi nổi những câu hỏi này và những giả thuyết táo bạo nhất cũng không thể dung hòa nổi tính rụt rè và lời thú nhận kỳ cục của người lạ mặt với kiến thức hiển nhiên của ông về cờ quốc tế.
Jól megfigyelhettem néhány lépésnyi távolságból.	Tôi đứng quan sát ông một hồi lâu trước khi bắt chuyện.
Nem tudom miért, de úgy éreztem, hogy ez az ember hirtelen öregedett meg.	Ông nhã nhặn ngồi dậy khi tôi tiến lại gần và tự giới thiệu.
Emlékeztem, hogy a név egyik viselője Schubert legszűkebb baráti köréhez tartozott, és hogy az öreg császár egyik háziorvosa is ebből a családból származott.	Tôi nhận thấy ông không hề có ý định đánh cờ với một nhà vô địch và nhất là với nhà vô địch nổi tiếng nhất của thời đại.
Amikor a társaság nevében megkértem dr. B.-t, hogy játsszék egy partit Czentovic ellen, szemmelláthatóan megdöbbent, kiderült, hogy sejtelme sem volt, hogy a sakkbajnokkal, és méghozzá napjaink legnevesebb sakkbajnokával szemben küzdött ilyen sikerrel.	Sự kiện này hình như đã gây rất nhiều ấn tượng đối với ông vì ông nhiều lần hỏi xem việc tôi đề xuất có chắc chắn không và đối thủ của ông có đúng là một bậc thầy nổi tiếng như vậy không.
Észrevettem csakhamar, hogy ez a körülmény igen megkönnyíti megbízatásomat.	Điều này tạo điều kiện thuận lợi cho nhiệm vụ của tôi.
Csak érzékenységére vigyáztam, és elhallgattam ezért, hogy egy esetleges vereség anyagi kockázatát McConnor viseli.	Tuy nhiên, tôi nhận thấy ông rất tế nhị nên đã chẳng hề hé răng nói lời nào là MacCônno đảm nhiệm những phí tổn về vật chất.
Hosszas habozás után dr. B. végül is beleegyezett a mérkőzésbe, de nyomatékosan megkért rá, hogy jó előre figyelmez­tessem az urakat, hogy semmi esetre se tápláljanak túlságosan vérmes reményeket.	Sau hồi lâu do dự, ông B. tuyên bố sẵn sàng chấp nhận lời thách thức, "nhưng", ông nói thêm và cười vẻ trầm ngâm, "mong ông nói lại với các ông ấy đừng quá đặt nhiều hy vọng vào tôi.
- Mert igazán nem tudom - tette hozzá finom mosollyal -, hogy képes vagyok-e annak rendje és módja szerint lejátszani egy partit.	Thật ra, tôi không rõ bản thân tôi có thể đánh một ván cờ theo đúng luật không ?
S akkor sem voltam különösebben tehetséges játékos.	Hơn nữa, dạo đó tôi chỉ là một người đánh cờ xoàng".
S mindezt olyan természetesen beszélte el, hogy egy percig sem kételkedtem őszinteségében.	Ông B. nói những lời ấy với giọng chất phác nên tôi tin rằng ông thành thực.
Ez arra mutat, hogy legalábbis elméletileg sokat foglal­kozott sakkal.	Nghe thấy vậy, ông B. lại trầm ngâm cười, vẻ kỳ lạ.
Ekkor dr. B. ajkán újból megjelent a sajátos, álomszerű mosoly.	Chỉ Chúa mới biết rõ điều ông vừa nói đúng tới mức nào.
- Hogy sokat foglalkoztam, hát igen, ezt bátran mondhatjuk, hogy sokat foglalkoztam sakkal.	Nhưng sự việc diễn ra trong những hoàn cảnh hết sức đặc biệt, có thể nói là có một không hai.
De mindez egészen különleges, mondhatnám soha többé vissza nem térő körülmények között történt.	Đây là một câu chuyện khá phức tạp và có thể dùng làm minh họa cho thời đại thú vị chúng ta đang sống.
Elég bonyolult história ez, s azt hiszem, csinos kis adalék nagy idők történetéhez.	Nếu ông có đủ kiên nhẫn để nghe tôi kể lại độ nửa tiếng…
Örömmel fogadtam el a meghívást.	Chỉ có mỗi hai chúng tôi.
- Volt olyan szíves megjegyezni, hogy mint bécsi, már hallotta családunk nevét.	- Ông đã có nhã ý cho tôi biết ông là người Viên và đã biết rõ tên họ tôi.
Kizárólag nagy kolostorok jogi tanácsadói és főképpen vagyonkezelői voltunk.	Thật ra, chúng tôi đã không hoàn toàn làm đúng chức năng văn phòng của chúng tôi.
Apámat, ki régebben a klerikális párt képviselője volt, bizonyos kapcsolat fűzte az egyházhoz, s ezenfelül - ma már nyugodtan beszélhetek erről, hiszen a monarchia a történelemé - a császári család néhány tagja ránk bízta vagyonát.	Chúng tôi chỉ hạn chế trong việc làm cố vấn về mặt tư pháp và quản lý tài sản của những tu viện lớn mà thân phụ tôi - trước đây là phái viên của phái tăng lữ - đã có những quan hệ mật thiết.
Ezek az ügyek a mi kezünkön mentek keresztül, így a kúria és a császári ház között folyó, titkos politikai tárgyalásokról többet tudtunk, mint ami valaha is köztudomásra juthat.	"Khi Hítle lên nắm quyền ở Đức và bắt đầu vơ vét Giáo hội và các nhà tu, để tránh, ít ra những động sản của khách hàng chúng tôi không bị động đến, chúng tôi đã tìm cách chuyển chúng ra nước ngoài.
De irodánk szürke volt, szinte észrevehetetlen; még csak névtáblát sem tettünk az ajtóra, s tüntetően kerültük a monarchista köröket.	Dạo đó, thân phụ tôi và tôi biết rõ những hoạt động chính trị bí mật của Rôm và hoàng tộc mà công chúng sẽ không bao giờ hay biết cả.
A nemzetiszocialisták viszont, mielőtt még felfegyverezték volna a világ ellen hatalmas hadseregüket, egy másik, éppen olyan veszélyes és éppen olyan jól kiképzett hadsereget szerveztek a szomszédos államokban.	Không một nhà chức trách nào ở Áo đặt vấn đề nghi là gần như toàn bộ thư từ bí mật của hoàng tộc đều do một văn phòng chẳng ai thèm để mắt nằm ở tầng năm một căn nhà, đã chuyển đi.
Még a mi szürke kis irodánkban is volt egy emberük, amint ezt, sajnos, később megtudtam.	Tôi phát hiện quá muộn, người của chúng cũng đã lọt được vào văn phòng nhỏ bé của chúng tôi.
Valójában csak ártatlan üzeneteket bíztunk rá, telefonhoz ültettük, az aktákat rendezte, természetesen csupán a közömbös, érdektelen aktákat.	Chúng tôi chỉ giao cho hắn chạy những việc vô hại, trả lời điện thoại và sắp xếp những giấy tờ vô nghĩa.
De valamilyen szerencsétlen véletlen folytán a becsvágyó és hiú legényke észrevette, hogy bizalmatlanok vagyunk vele szemben, s hogy a háta mögött sok érdekes dolog történik.	Chắc do một rủi ro bất ngờ nào đấy, cái tên đầy tham vọng này đã phát hiện bị nghi ngờ và mọi chuyện đã diễn ra sau lưng hắn.
Akármint történt, tény, hogy megbízást kért Münchenből vagy Berlinből arra, hogy figyelhessen bennünket.	Chắc Munic hay Berlin đã trao cho hắn nhiệm vụ theo dõi chúng tôi, trước khi tôi nảy ra ý nghi ngờ hắn.
Csak jóval később, letartóz­tatásom után jutott eszembe, hogy az utóbbi hónapokban hirtelen elszállt szokott lustasága, s buzgalmában több ízben felajánlotta, hogy leveleimet postára adja.	Chỉ mãi sau này và khi bị bắt tôi mới nhớ lại thái độ đột nhiên sốt sắng của hắn vào thời gian cuối lúc còn đang làm việc ở chỗ chúng tôi và những lời năn nỉ của hắn muốn giúp tôi đi bỏ thư ở bưu điện.
Hála Istennek, sikerült még előzőleg a fontosabb papírokat elégetnem, közvetlenül a beszéd elhangzása után, s a többi dokumentumot, a kolostorok és két főherceg külföldön deponált értékeinek nélkülözhetetlen igazolásaival együtt, valóban az utolsó pillanatban, mielőtt az SS-legények betörték az ajtómat, egy szennyeskosárba rejtve vitettem át nagybátyámhoz, megbízható, öreg házvezetőnőnkkel.	May mà ngay sau khi nghe bài diễn văn từ biệt của Susnic tôi đã vội đốt mọi giấy tờ quan trọng nhất và một phút trước khi bọn cảnh sát gõ cửa, tôi đã giấu vào làn quần áo gửi cho bác tôi, qua bà quản gia già trung thành của tôi, toàn bộ giấy tờ cần thiết công nhận quyền của Susnic được sở hữu tu viện của mình và quyền của hai quận công Đônphux và Susnic có những sở hữu khác ở nước ngoài".
Ekkor dr. B. szünetet tartott és szivarra gyújtott.	Ông B. ngừng kể để châm một điếu xì gà.
A felvillanó lángnál láttam, hogy - amint ezt már régebben észrevettem - jobb szája-szeglete idegesen meg-megrándul, s ez percenként megismétlődik.	Ánh lửa rọi sáng miệng ông ; cơ mép ông giật mạnh, trước đây tôi ngạc nhiên nhận thấy hiện tượng này đã làm miệng ông bị méo về bên phải.
Alig észrevehető arcmozdulat volt csak, gyönge, mint a sóhaj, s mégis különös nyugtalanságot kölcsönzött arcának.	Đây chỉ là một động tác thoáng qua, khó nhận thấy, nhưng nó tạo cho khuôn mặt ông có dáng vẻ lo lắng kỳ lạ.
De más történt, másik kategóriába kerültem.	Tôi bị xếp vào một loại đặc biệt.
Nem vittek azok közé a szerencsétlenek közé, akiknek testén-lelkén tombolták ki rég visszafojtott dühüket, hanem abba a másik kategóriába, abba a kis csoportba, amelyből a nemzetiszocialisták pénzt vagy fontos információt akartak kipréselni.	Bọn chúng không nhốt tôi cùng với những người khốn khổ mà chúng đã dùng nhục hình và đày đọa về tinh thần để trả mối hận thù có từ lâu, bọn Quốc xã liệt tôi vào nhóm người không đông lắm mà chúng hy vọng moi được tiền của và tài liệu quan trọng.
Szerény személyem önmagában természetesen teljesen érdektelen lett volna a Gestapo számára.	Về bản thân tôi, bọn Gextapô chẳng quan tâm đến thân phận nhỏ nhoi này đâu.
Feltételezték, és nem alaptalanul, hogy valahol, rablódühüktől védett helyen megmaradt még vagyonuk jelentékeny része, mely annak idején a mi kezünkön ment át.	Những tài liệu dùng làm chứng cớ không chối cãi được chống lại các tu viện nhằm cướp đoạt tài sản của tu viện và còn dùng để chống hoàng tộc.
Ezért nem vitték koncentrációs táborokba az én kategóriámba tartozó embereket, akikből pénzt vagy fontos titkokat akartak kicsikarni.	Do đó, bọn chúng đã bắt giữ tôi ngay hôm đầu để dùng những biện pháp mà chúng cho rằng sẽ có hiệu quả tuyệt vời buộc tôi phải phun ra.
Ez minden bizonnyal igen humánusan hangzik, de higgye meg, nem humanitásból, hanem ravaszul kieszelt terv alapján történt, hogy minket, prominens foglyokat, nem raktak húszasával valamilyen jéghideg barakkba, hanem többé-kevésbé jól fűtött, külön hotelszobát utaltak ki számunkra.	Ấy là, mong ông tin rằng đấy chỉ là để áp dụng một biện pháp tinh tế hơn với chúng tôi, chẳng phải vì nhân đạo mà chúng tôi được ở trong các phòng khách sạn sưởi ấm đàng hoàng chứ không phải trong những lán lạnh buốt và chật cứng.
Miután mindegyikünket egy ilyen légüres térbe zártak, olyan szobába, mely a külvilágtól hermetikusan el volt különítve, arra számítottak, hogy verés vagy fagy helyett ez a lelki nyomás pattantja majd fel ajkainkat.	Tạo ra ở quanh mỗi chúng tôi một khoảng trống hoàn toàn, giam mỗi chúng tôi trong một căn buồng bịt kín, cách ly hoàn toàn với thế giới bên ngoài, là chúng sử dụng một sức ép buộc chúng tôi phải khai, đảm bảo hơn roi vọt và cái lạnh.
Első pillantásra egyáltalán nem látszott barátságtalannak a szobám.	"Thoạt nhìn, căn phòng tôi được phân xem ra cũng khá đầy đủ tiện nghi.
De az ajtó éjjel-nappal zárva, az asztalon nem maradhatott sem könyv, sem újság, sem üres papír, sem ceruza.	Nhưng cửa ra vào ngày đêm bị khóa chặt, tôi không được cung cấp sách, báo, giấy và bút chì.
Elszedték az órámat, hogy ne tudjam, mennyi az idő.	Tôi chẳng bao giờ nghe thấy tiếng người.
Mint a búvár, aki sejti, hogy elszakadt a zsinór, mely összeköti a külvilággal, sejti, hogy soha többé nem szabadul a hangtalan mélységből.	Tôi đi đi lại lại trong phòng mình, còn những suy nghĩ của tôi cũng không ngừng đi đi lại lại trong đầu tôi, theo cùng một nhịp hoạt động.
De bármilyen anyagtalan a gondolat, szüksége van valamilyen támpontra, különben csak önmaga körül kering.	Từ sáng tới tối, người ta chờ đợi một chuyện gì đó, nhưng đã chẳng có chuyện gì xảy ra.
A gondolatok sem viselik el az űrt.	Người ta chờ và lại bắt đầu chờ.
Egyedül.	Trơ trọi.
Egyedül.	Cô đơn.
Ha háború tört volna ki, nem tudtam volna meg.	Chiến tranh đã nổ ra mà tôi không hay biết gì.
S akkor végül elkezdődtek a kihallgatások.	"Cuối cùng tôi bị lôi ra hỏi cung.
Olyan hirtelen hívtak, szinte nem is tudtam, nappal van-e vagy éjjel.	Tôi bị gọi đi bất thình lình không kể ngày đêm.
Hívtak, végigvezettek néhány folyosón, és nem tudtam, hová.	Tôi bị điều qua các phòng giam, chẳng rõ mình đang ở đâu.
De számomra az volt a legborzalmasabb ezekben a kihallgatásokban, hogy sohasem tudtam kiszámítani, mit tudnak a Gestapo-emberek mindarról, ami az irodámban történt, s mit akartak csupán kicsalni belőlem.	Khi tôi trả lời, những bàn tay lạ và thù địch lật giở đống giấy ở trên bàn, ngòi bút của một kẻ ác ý ghi dựng lên một biên bản không biết đã thêm bớt ra sao.
Milyen részvényeket vásároltam ennek meg ennek a kolostornak, milyen bankokkal leveleztem, ismerem-e X. Y. urat, kaptam-e Svájcból és Steenockerzeelből levelet?	Điều tệ hại nhất là phải quay về chốn hư vô, quay trở về căn phòng đó, đứng trước vẫn cái bàn, vẫn chiếc giường, vẫn chiếc chậu, bức tường ấy.
De a legkomiszabb nem maga a kihallgatás volt, hanem az, amikor kihallgatás után visszatértem az űrbe, ugyanabba a szobába, ahol ugyanaz az asztal, ugyanaz az ágy, ugyanaz a mosdó állott, ugyanaz a tapéta függött a falon.	Tôi suy ngẫm, đào sâu, rà soát lại từng lời khai nhân chứng của tôi, tôi cố nhớ lại từng câu hỏi, từng câu trả lời, cố nghĩ xem biên bản ghi những gì, trong khi đó biết chắc rằng mình chẳng thể đoán nổi nội dung biên bản.
Alig hagytak magamra, megpróbáltam rekonstruálni, mi az, amit felelni kellett volna, mi az, amit következő alkalommal mondanom kell, hogy újból elhárítsam a gyanút, melyet talán meggondolatlan feleletemmel keltettem.	"Nhưng một khi đã bật nghĩ, những suy nghĩ đó cứ lẩn quẩn, quẩn quanh trong đầu tôi và suy nghĩ này làm nảy sinh suy nghĩ khác và theo đuổi tôi mãi vào giấc ngủ.
Megkíséreltem kiszámítani, mi az, amiről jegyzőkönyvet vehettek; és jól tudtam, hogy sohasem számíthatom ki, sohasem ismerhetem meg.	Tại căn phòng đó, những suy nghĩ, những tưởng tượng điên rồ, những thâu tóm trì trệ của tôi chẳng tìm được cách giãn căng.
Minden egyes Gestapo-kihallgatás után saját gondolataim ugyanolyan kérlelhetetlenül folytatták a kínzó kérdéseket, s talán ez a kihallgatás még iszonyúbb volt, mert a Gestapo-kihallgatás egy óra után véget ért.	Tôi cảm thấy thần kinh tôi bắt đầu dần dần bị chùng giãn trước sức ép ghê gớm ấy, và tôi bị căng thẳng tột độ phải tìm kiếm một sự khuây khỏa.
Mit kell a következő alkalommal mondanom?	Lần sau phải nói những gì ?
Nyugodtan, megfontoltan válaszoltam, kitűnően működött még a kettős gondolkodás; mit mondjak, mit ne mondjak.	"Qua những dấu hiệu nhỏ đáng lo ngại, tôi nhận thấy đầu óc bị rối loạn.
Az őr ebben a szörnyű fojtogató percben hozta be éppen az ételt.	"Và một buổi tối, tôi đã lâm vào đúng tâm trạng đó.
Kétségbeesetten utánakiáltottam: - Vezessenek elő, hallgassanak ki, mindent elmondok, mindent bevallok, megmondom, hol van a papír, megmondom, hol van a pénz.	Tên giám ngục mang đồ ăn đến cho tôi, lúc gã chuẩn bị bước ra ngoài, tôi đã quẫn uất và gào lên : "Dẫn tôi đến gặp các viên thẩm phán !
Ebben a szörnyű végszükségben valami váratlan esemény jött közbe, s megmenekültem, legalábbis egy időre.	Đúng lúc tôi có hành động cực đoan ấy thì xảy ra một sự kiện bất ngờ đã cứu nguy cho tôi, ít ra cũng trong một thời gian.
Július vége felé jártunk, borús, komor, esős nap volt.	Chuyện xảy ra vào một ngày buồn tẻ và âm u hồi cuối tháng bảy.
Azért emlékszem olyan pontosan minden részletre, mert az esőcseppek nekiverődtek az ablaküvegnek a folyosón, mikor kihallgatásra mentem.	Tôi nhớ rất rõ chi tiết này vì mưa quất mạnh trên các lớp kính dọc theo hành lang dài tôi bị dẫn đi hỏi cung.
Az előszobában kellett várnom.	Tôi phải ngồi chờ ở phòng ngoài.
Először hirtelen fel­rán­gatták az embert éjjel a cellájából, s mikor izgalma elcsitult, s lassanként felkészült a kihallga­tásra, agya és akarata ellenállásra feszült, akkor váratták, állatták céltalanul, értelmetlenül egy álló óráig vagy akár órákon át, míg el nem fáradt a test, s fel nem őrlődött a lélek.	Bọn chúng làm thần kinh của người bị buộc tội lung lay bằng cách thình lình đang giữa nửa đêm đến lôi đi, sau đó khi tù nhân trấn tĩnh lại, cố tập trung toàn bộ nghị lực để đương đầu với cuộc hỏi cung sắp tới thì bắt người đó đợi, đợi một cách vô lý trong một, hai, ba giờ trước khi hỏi cung, nhằm làm xẹp cả tinh thần lẫn thể xác.
