ALEXANDRE DUMAS	Alexandre Dumas
A három tulajdonságból legalább kettővel rendelkezem: tessék, parancsoljon velem.	Tôi có ít nhất hai trong số ba phẩm chất bà cần và tôi đây.
- És mi a biztosíték, hogy nem csalódom, ha magára bízom ezt a feladatot?	- Và ông lấy gì đảm bảo với tôi, nếu tôi bằng lòng ủy thác cho ông nhiệm vụ đó?
- kérdezte. - A szerelmem.	- Tình yêu của tôi đối với bà.
Kérem, szóljon, parancsoljon: mit tegyek?	Thế nào, bà nói đi, ra lệnh đi: phải làm gì?
- Istenem, istenem!	- Lạy Chúa! Lạy Chúa!
- rebegte a fiatalasszony - rábízhatok-e ilyen titkot magára, uram?	- Thiếu phụ thầm thì - Tôi có nên thổ lộ với ông một bí mật như thế không?
Hiszen még szinte gyerek!	Ông hãy còn như một đứa trẻ.
- Hát jó, látom, olyan embert keres, aki jótáll értem.	- Rõ rồi, tôi thấy bà cần có một ai đó bảo đảm cho tôi với bà.
- Ez nagyon megnyugtatna, nem is tagadom.	- Tôi xin thú thực là việc đó sẽ làm tôi yên tâm lắm.
- Ismeri Athost?	- Bà có biết ông Athos không?
- Nem.	- Không.
- Porthost?	- Porthos?
- Nem.	- Không.
- Aramist?	- Aramis vậy?
- A király testőrei.	- Những ngự lâm quân của nhà Vua.
Ismeri Tréville urat, kapitányukat?	Bà biết ông De Treville, đại úy của họ chứ?
- Ó igen, őt már ismerem, ha nem is személyesen; a királyné nem egy ízben emlegette, milyen bátor és hűséges nemesúr.	- Ồ, vâng, ông ấy, tôi biết chứ, không phải quen riêng đâu, mà vì nhiều lần đã được nghe nói về ông ấy với Hoàng hậu như một nhà quý tộc chính trực và trung thực.
- Attól remélem nem fél, hogy Tréville úr kiszolgáltatja kegyedet a bíborosnak?	- Bà không sợ ông ấy phản bội bà vì Giáo chủ, phải không nào?
- Hát akkor mondja el neki a titkát, és bármily fontos, értékes, rettenetes, kérdezze meg tőle, rám bízhatja-e?	- Vậy thì bà hãy thổ lộ bí mật của bà với ông ấy, và hãy hỏi ông ấy xem liệu có thể ký thác nó cho tôi được không, dù việc đó có quan trọng, có quý giá, có ghê gớm đến đâu.
- De a titok nem az én titkom; nem adhatom ki.	- Nhưng bí mật đó không thuộc về tôi, tôi không thể tiết lộ như thế.
- De Bonacieux úrnak, ugye, az imént majdnem kiadta?	- Bà chẳng vừa thổ lộ với ông Bonacieux đấy sao!
- kérdezte bosszúsan D’Artagnan.	- D Artagnan giận dỗi nói.
- Odvas fára, postagalambra, kutyára is rábízzuk olykor leveleinket.	- Với ông ta, chẳng qua như ký thác vào một hốc cây, một cánh chim câu, một vòng cổ chó ấy mà.
- Pedig láthatja, hogy szeretem.	- Trong khi ấy, bà thấy rõ là tôi yêu bà.
- Mondani ezt mondja.	- Là ông nói thôi.
- Talpig lovag vagyok!	- Tôi là một người hào hoa.
- El is hiszem.	- Tôi tin vậy.
- Bátor vagyok!	- Tôi can trường.
- Ebben nem kételkedem.	- Ồ, điều đó, tôi tin chắc.
- Tegyen hát próbára.	- Vậy thì đem tôi ra thử thách đi.
Bonacieux-né a fiatalemberre pillantott; még nem küzdötte le teljes habozását.	Bà Bonacieux nhìn chàng trai trẻ, vẫn còn chút do dự cuối cùng.
De a férfi szeme úgy lángolt, hangja oly meggyőzően csengett, hogy kezdett ébredezni benne a bizalom.	Nhưng mắt chàng ánh lên nhiệt tình, giọng chàng đầy sức thuyết phục khiến nàng cảm thấy mình bị lôi cuốn tới chỗ tin cậy chàng.
Különben is olyan volt a helyzet, hogy mindent kockára kellett tennie, ha el akarta érni célját.	Vả lại, nàng đang trong một những tình thế phải liều để được ăn cả ngã về không.
A túlságos titkolódzás, a túlságos bizalom egyaránt vesztébe sodorhatja a királynét.	Hoàng hậu cũng đã từng bị mất mát nhiều, bởi quá giữ gìn cũng như quá tin tưởng.
- Rendben van - szólt a férfihoz -, meghallgatom fogadkozását, meghajlok biztosítékai előtt.	Tôi xin đầu hàng trước những cam kết của ông, và xin thua những đảm bảo của ông.
De Istenre esküszöm, aki mindent hall, hogy ha elárul, megölöm magam, még ha ellenségeim meg is kegyelmeznének - és halálom a maga lelkén szárad.	Nhưng tôi thề với ông trước Thượng đế đang nghe chúng ta, nếu ông phản bội tôi và cho dù kẻ thù có tha thứ cho tôi, tôi sẽ tự sát để lấy cái chết buộc tội ông.
- Én pedig, asszonyom, esküszöm az Isten színe előtt - szólt D’Artagnan -, hogy ha paran­csának teljesítése közben elfognak, inkább meghalok, de semmit nem teszek és nem szólok, ami bárkinek árthat.	- Và tôi, tôi thề với bà trước Thượng đế - D Artagnan nói - nếu như tôi bị bắt khi đang hoàn thành những mệnh lệnh của bà, tôi sẽ chết trước khi làm hoặc nói điều gì phương hại đến bất kỳ ai.
És a fiatalasszony elárulta a szörnyű titkot, melynek egy részét a véletlen folytán a múltkor a Szivattyúháznál már megismerte a fiatalember.	Lúc đó người đàn bà trẻ mới thổ lộ với chàng điều bí mật ghê gớm mà do tình cờ đã để lộ một phần với chàng ở trước mặt nhà thờ Samaritain.
Ez volt kettőjük szerelmi vallomása.	Đó là sự tỏ tình giữa họ với nhau.
D’Artagnan sugárzott a büszkeségtől és az örömtől.	D Artagnan rạng rỡ niềm vui và kiêu hãnh.
Titka van, szeret egy asszonyt, az is szereti őt, és bízik benne: óriásnak érezte magát.	Điều bí mật chàng đang nắm, người đàn bà chàng đang yêu, sự tin tưởng và tình yêu, biến chàng thành một người khổng lồ.
- Indulok - szólt -, máris indulok.	- Tôi đi đây - Chàng nói - Tôi đi ngay lập tức.
- Indul!	- Sao!
- kiáltott fel Bonacieux-né - hát a csapata, hát a kapitánya?	Ông đi ngay ư? - Bà Bonacieux kêu lên - Thế còn binh đoàn của ông, đại úy của ông?
- Istenemre, drága Constance, mióta együtt vagyunk, eszembe sem jutottak!	- Thề trên linh hồn tôi, bà đã làm tôi quên tất những cái đó, Constance yêu quý ạ!
Igen, igaza van, szabadságot kell kérnem.	Đúng, bà nói đúng, tôi phải xin nghỉ phép.
- Újabb akadály - suttogta Bonacieux-né szomorúan. - Sebaj!	- Còn một trở ngại nữa - Bà Bonacieux đau đớn nói.
- kiáltott fel D’Artagnan némi töprengés után - ezzel megbirkózom, nyugodt lehet.	- Ô, cái việc đó - Sau một lúc suy nghĩ, D Artagnan nói - Tôi sẽ vượt qua. Bà cứ yên tâm.
- De hogyan?	- Vượt qua như thế nào?
- Még ma este felkeresem Tréville urat; megkérem, eszközölje ki számomra sógoránál, Des Essarts úrnál az engedélyt.	- Ngay tối nay, tôi sẽ đến nhà ông Treville, tôi sẽ nhờ ông xin hộ tôi sự chiếu cố ấy với em rể ông là ông des Essarts.
- De még van valami...	- Bây giờ còn chuyện khác nữa.
- Mi?	- Chuyện gì?
- kérdezte D’Artagnan, látva, hogy Bonacieux-né habozik.	- D Artagnan hỏi vì thấy bà Bonacieux ngập ngừng không nói tiếp.
- Attól tartok, hogy nincs pénze.	- Có lẽ ông không có tiền?
- "Attól tart?" Ez túl szép kifejezés - szólt D’Artagnan elmosolyodva.	- Nói có lẽ là thừa - D Artagnan vừa nói vừa mỉm cười.
- Tessék - folytatta Bonacieux-né, azzal kinyitott egy szekrényt, egyik fiókjából elővette a zacskót, melyet alig félórája oly szerelmesen becézgetett a férje -, tessék, itt ez a pénz.	- Bà Bonacieux mở tủ lôi ra cái túi mà nửa giờ trước đấy chồng bà âu yếm vuốt ve nó, bảo chàng:
- A bíboros pénze!	- Vậy thì, ông hãy cầm lấy cái túi này.
- kacagott fel D’Artagnan.	- Túi tiền của Giáo chủ!
Emlékszünk még, hogy hála a kiemelt padlónak, elejétől végig hallotta, miről társalog a rőfös és felesége.	- D Artagnan phá lên cười và reo lên, vì chàng đã không bỏ sót một vần trong câu chuyện giữa ông hàng xén và vợ mình, nhờ bóc đi mấy viên gạch lát.
- A bíborosé -, válaszolt Bonacieux-né -, amint látja, egészen mutatós.	- Đúng, túi tiền của Giáo chủ - bà Bonacieux trả lời - Ông thấy nó có vẻ bề thế đấy chứ.
- Istenemre!	- Mẹ kiếp!
- kiáltott fel D’Artagnan - külön öröm, hogy Őeminenciája pénzén mentjük meg a királynét!	- D Artagnan kêu lên - Sẽ khoái trá gấp đôi đem tiền của Giáo chủ đi cứu Hoàng hậu đấy?
- Aranyos, kedves fiatalember - mondta Bonacieux-né.	- Ông là một chàng trai trẻ đáng yêu và duyên dáng - Bà Bonacieux nói - Ông hãy tin là Hoàng hậu sẽ không vô ơn đâu.
- Biztosra veheti, hogy őfelsége hálája nem marad el. - Ó!	- Ồ, tôi đã được thưởng lớn rồi!
- Pszt!	- Im nào!
- szólt Bonacieux-né és összerezzent.	- Bà Bonacieux giật mình nói.
- Mi az?	- Cái gì?
- Valaki beszél az utcán.	- Người ta nói ở ngoài phố.
- Talán a...	- Chính là giọng…
- A férjem.	- … của chồng tôi.
Ő az, megismerem!	Đúng, tôi đã nhận ra.
- Addig ide be nem teszi a lábát, míg én itt vagyok - mondta -, akkor nyisson ajtót, ha már elmentem.	- Hắn sẽ không vào được khi tôi chưa đi, khi tôi đi rồi, bà hãy mở.
- De hiszen én sem maradhatok itt.	- Nhưng tôi, tôi cũng phải đi thôi.
- Igaz, ki kell jutnunk a házból.	- Bà nói đúng. Phải ra thôi.
- De hogyan?	- Ra ư?
Ha kimozdulunk, észrevesz.	Ông ta sẽ trông thấy chúng ta nếu chúng ta đi ra.
- Akkor mást nem tehetünk; menjünk fel a szobámba.	- Vậy, phải lên nhà tôi thôi.
- Istenem!	- Ôi!
- kiáltott fel Bonacieux-né - hogy mondja ezt? Megijeszt a hangja.	- Bà Bonacieux kêu lên - Ông nói với tôi chuyện đó bằng cái giọng khiến tôi phát sợ.
E szavak közben egy könnycsepp csillant meg Bonacieux-né szemében.	- Bà Bonacieux rớm nước mắt khi thốt ra những lời ấy.
D’Artagnan látta, hogy könnyezik, és megrendülve, elérzékenyülten vetette magát a lába elé.	D Artagnan nhìn thấy nước mắt, cảm thấy mủi lòng, bối rối, chàng liền quỳ xuống dưới chân nàng và nói:
- Olyan biztonságban lesz nálam - szólalt meg -, mint az Isten házában; nemesi szavamra fogadom.	- Ở nhà tôi, bà sẽ được an toàn như trong một ngôi đền, tôi xin thề với lời thề của một nhà quý tộc.
- Menjünk, barátom - felelt az asszony -, megbízom magában.	- Ta đi thôi - Nàng nói - tôi tin ở ông, bạn tôi ạ.
D’Artagnan óvatosan elhúzta a reteszt, aztán mint az árnyék, nesztelenül kiosontak a belső ajtón a kapualjba, felsurrantak a lépcsőn, és eltűntek D’Artagnan szobájában.	D Artagnan thận trọng mở chốt cửa, và cả hai nhẹ nhàng như hai cái bóng luồn qua cửa trong ra lối đi, rón rén lên cầu thang vào phòng của D Artagnan.
Alig kerültek belül a küszöbön, a fiatalember biztonság okáért eltorlaszolta az ajtót; aztán mindketten az ablakhoz léptek, és a zsalu hasadékán át megpillantották Bonacieux urat: egy köpönyeges férfival beszélgetett.	Một khi đã ở đó rồi, để an toàn hơn, chàng trai trẻ chèn cửa lại rồi hai người đến gần cửa sổ, qua khe cánh cửa, họ nhìn thấy Bonacieux đang nói chuyện với một người mặc áo choàng.
A meung-i férfi állt az utcán.	Đó chính là người ở Măng.
- Mit csinál?	- Ông định làm gì vậy?
- kiáltott fel Bonacieux-né - mindkettőnket tönkretesz.	- Bà Bonacieux kêu lên - Ông làm hại chúng ta mất.
- felelte D’Artagnan.	- Nhưng tôi đã thề phải giết con người đó?
- De életét már elajándékozta valakinek, nem rendelkezik vele szabadon.	- Lúc này sinh mạng ông đã được dâng hiến rồi, nó không còn là của ông nữa.
A királyné nevében megtiltom, hogy bármi más kockázatot vállaljon, mint az utazás.	Nhân danh Hoàng hậu, tôi cấm ông không được lao vào bất cứ mối hiểm nguy nào ngoài hiểm nguy trong chuyến đi.
- A saját nevében semmit nem parancsol?	- Còn nhân danh mình bà không ra lệnh gì ư?
- A saját nevemben - szólt Bonacieux-né, s hangján érzett, hogy nem ura érzelmeinek -, saját nevemben én csak kérem erre.	- Nhân danh tôi, tôi xin ông thế đấy. - Bà Bonacieux hết sức xúc động nói.
De hallgassunk, mintha rólam beszélnének.	Nhưng nghe đã, hình như họ đang nói về tôi.
D’Artagnan az ablakhoz lépett és figyelt.	D Artagnan lại gần cửa sổ, áp tai vào.
- Nincs itt - mondta neki -, biztosan visszatért a Louvre-ba.	- Ông có chắc vợ ông không nghi ngờ ông bỏ đi với ý đồ nào không?
- Bizonyos benne - kérdezte az idegen -, hogy felesége nem sejtette meg, miért távozott?	- Người lạ mặt hỏi. - Chắc chứ!
- Bizonyos - hetvenkedett Bonacieux -, rövideszű asszony az.	- Bonacieux đáp với vẻ tự mãn - đó là một người đàn bà quá ư nông nổi.
- Vajon a fiatal gárdista itthon van-e?	- Tên cận vệ tập sự có ở nhà không?
- Nem hiszem; amint látja, ablakán zárva a zsalu, a réseken semmi fény nem szűrődik elő.	- Chắc là không, ông thấy đấy, cửa sổ đóng và không có chút ánh sáng nào lọt qua khe cửa.
- Mégsem ártana utánanézni.	- Mặc kệ, cứ phải chắc chắn.
- De hogyan?	- Nhưng làm thế nào?
- Kopogtasson az ajtaján.	- Đến gõ cửa phòng nó.
- Megkérdezzem az inasát?	- Để tôi hỏi tên hầu xem.
- Kérdezze.	- Đi đi!
Bonacieux újra belépett a, házba, kinyitotta ugyanazt a kaput, amelyiken az imént surrant át a két menekülő, felkapaszkodott egészen D’Artagnan szobájáig, és kopogtatott. Semmi válasz.	Bonacieux trở vào nhà, đi qua cái cửa mà hai kẻ chạy trốn đã đi qua, trèo lên tận thềm nghỉ cầu thang phòng D Artagnan, chàng đã cẩn thận không để lộ ra dấu hiệu nào đang có mặt ở nhà.
Amint Bonacieux ujja megkoppant az ajtón, a fiatal pár szíve nagyot dobbant.	- Đúng lúc ngón tay Bonacieux gõ ầm lên cánh cửa, đôi bạn trẻ cảm thấy thót tim.
- Senki sincs itthon - szólt Bonacieux.	- Chẳng có ai ở nhà - Bonacieux nói.
- Nem baj, mi azért csak menjünk be magához; biztonságosabb, mintha a küszöbön ácsorgunk.	- Thôi, không cần, ta xuống dưới nhà ông đi, sẽ chắc hơn là cứ đứng ở ngưỡng cửa.
- Jaj istenem! - suttogta Bonacieux-né - semmit sem fogunk hallani.	- Ôi, lạy Chúa - Bà Bonacieux thầm thì - Chúng ta không nghe thấy gì nữa rồi.
- Sőt ellenkezőleg - szólt D’Artagnan -, most hallunk majd csak igazán.	- Trái lại - D Artagnan nói - Chúng ta chỉ càng nghe rõ hơn thôi.
Felemelt három-négy kőlapot, és ettől menten valóságos Dionizosz füle lett a szobája; szőnyeget terített a földre, letérdelt, és intett Bonacieux-nénak, hogy kövesse, hajoljon ő is a nyílás fölé.	D Artagnan lật ba bốn viên gạch lát tạo thành ở phòng chàng một cái tai khác của Denis, trải một tấm thảm lên nền nhà, quỳ xuống và ra hiệu cho bà Bonacieux cúi xuống như mình, về phía lỗ nghe.
- Biztos, hogy nincs otthon senki?	- Ông tin chắc không có ai chứ?
- szólt az idegen.	- Người lạ mặt nói.
- Tűzbe teszem a kezem - felelte Bonacieux.	- Tôi đảm bảo vậy - Bonacieux trả lời.
- Tehát azt hiszi, hogy a felesége...	- Và ông nghĩ vợ ông đã?…
- Visszatért a Louvre-ba.	- Đã quay lại Louvre.
- Csak magával beszélt, senki mással?	- Không nói gì với người nào ngoài ông?
- Csak velem.	- Tôi chắc chắn thế.
- Ez mindennél fontosabb, tudja-e?	- Một điểm quan trọng đấy, ông có hiểu không?
- Szóval, amit jelentettem, az igen...	- Như thế tức là cái tin tôi mang đến cho ông có một giá trị…
- Igen jelentős dolog, kedves Bonacieux barátom, percig sem titkolom.	- Rất lớn, ông Bonacieux thân mến của tôi ạ, tôi không giấu ông điều đó.
- Tehát a bíboros úr elégedett lesz?	- Vậy Giáo chủ sẽ bằng lòng về tôi?
- Kétségkívül.	- Tôi không nghi ngờ gì điều đó.
- A nagy ember!	- Giáo chủ vĩ đại!
- Egészen bizonyos, hogy beszélgetése közben felesége nem említette senkinek a nevét?	- Ông có chắc trong khi nói chuyện với ông, vợ ông không buột miệng nói ra những cái tên riêng nào chứ?
- Nem, nem hiszem.	- Hình như thế.
- Nem ejtette ki Chevreuse asszony, Buckingham úr vagy Vernet asszony nevét?	- Bà ấy không nhắc đến bà De Chevreuse, ông De Buckingham và cả bà De Vécne nữa chứ?
- Nem, csupán annyit mondott, hogy egy magas személy érdekében kíván Londonba küldeni.	- Không, cô ta chỉ nói với tôi cô ta muốn phái tôi đi London để phục vụ lợi ích của một nhân vật danh tiếng.
- Hitvány besúgók!	- Quân phản phúc!
- suttogta Bonacieux-né.	- Bà Bonacieux thầm thì.
- Csend!	- Im nào!
- szólt D’Artagnan, és megfogta az asszony kezét; az pedig észre sem vette, nem tiltakozott.	- D Artagnan vừa nói vừa nằm lấy tay nàng còn nàng lơ đãng cứ để mặc.
- Mindegy - folytatta a köpönyeges -, mégis nagy szamár maga; színleg el kellett volna fogadnia a megbízást, akkor most kezében volna a levél; az állam nagy veszélytől menekült volna meg, maga pedig...	- Không sao - người mặc áo choàng tiếp tục - Ông thật ngớ ngẩn, không biết giả vờ chấp nhận nhiệm vụ đó, và bây giờ ông đã có bức thư, quốc gia mà họ đe dọa được cứu thoát và ông…
- Én pedig?	- Và tôi?
- Ki mondta?	- Và ông ấy à!
- Igen, tudomásom van róla, hogy régen tartogatja magának ezt a meglepetést.	- Phải, tôi biết ngài muốn làm ông bị bất ngờ.
- Legyen nyugodt - folytatta Bonacieux -, a feleségem imád, még van idő.	- Ông yên tâm - Bonacieux nói tiếp - vợ tôi tôn thờ tôi, vẫn còn kịp mà.
- Hülye!	- Tên đần độn!
- suttogta Bonacieux-né.	- Bà Bonacieux lẩm bẩm.
- Csend!	- Có im không!
- szólt D’Artagnan, és még jobban megszorította a kezét.	- D Artagnan vừa nói vừa siết chặt tay nàng hơn nữa.
- Mi az, hogy még van idő?	- Còn kịp là thế nào?
- kérdezte a köpönyeges.	- Người mặc áo choàng hỏi lại.
- Elmegyek a Louvre-ba, kihívatom a feleségemet, azt mondom neki, hogy meggondoltam a dolgot, megszerzem a levelet, és rohanok a bíboroshoz.	- Tôi cũng quay lại Louvre, tôi yêu cầu gặp bà Bonacieux, tôi nói tôi đã nghĩ lại rồi, tôi lại nhận việc đó, và tôi sẽ lấy được bức thư rồi chạy ngay đến chỗ Giáo chủ.
- Hát csak siessen!	- Thế thì đi mau lên!
Nemsokára visszajövök, hogy megtudjam, mi az eredmény.	Tôi sẽ quay lại ngay để biết kết quả tiến hành thế nào.
Az idegen eltávozott.	Người lạ đi ra.
- Gyalázatos!	- Đồ đê mạt?
- mondta Bonacieux-né; a díszes jelző most is férjének szólt.	- Bà Bonacieux nói.
- Csend!	- Im nào!
- ismételte D’Artagnan, és még erősebben szorította a kezét.	- D Artagnan nhắc lại và siết mạnh tay nàng hơn trước nữa.
E pillanatban szörnyű üvöltés riasztotta fel tűnődéséből D’Artagnant és a fiatalasszonyt.	Một tiếng hét lên khủng khiếp làm gián đoạn những suy nghĩ của D Artagnan và bà Bonacieux.
A férj üvöltött: most vette észre a zacskó eltűnését, és jajveszékelt, hogy meglopták.	Chính là chồng nàng thấy túi tiền biến mất và đang hô hoán kêu bắt kẻ cắp.
- Ó, Istenem!	- Ôi, lạy Chúa!
- tört ki Bonacieux-né - fellármázza a szomszédokat.	- Bà Bonacieux khẽ kêu lên. - Lão ta khuấy đảo cả khu phố lên mất.
Bonacieux sokáig óbégatott, ám oly gyakori volt az effajta jajveszékelés, hogy a Sírásók utcájában senki nem dugta ki rá az orrát; a rőfös háza egy ideje amúgy sem örvendezett túlságosan jó hírnek.	Bonacieux kêu gào mãi, nhưng vì những tiếng kêu như thế xảy ra luôn, nên chẳng thu hút được ai trong phố Phu đào huyệt, hơn nữa ngôi nhà ông hàng xén lâu nay lại khá tai tiếng.
Amikor Bonacieux látta, hogy senki sem jelentkezik, folyvást kiáltozva eltávozott; hangja mind messzebbről és messzebbről hallatszott, a Komp utca felől.	Thấy chẳng ai đến, lão vừa đi ra vừa tiếp tục kêu gào, và người ta nghe thấy tiếng kêu cứ xa dần, theo hướng phố Bến phà.
- kiáltott fel D’Artagnan.	- Với Hoàng hậu và với bà!
- Ne féljen, szépséges Constance, visszatérek, és méltó leszek a hálára; de vajon a szerelmére is méltó leszek-e?	- D Artagnan nói - cứ yên tâm nàng Constance kiều diễm ạ, tôi sẽ trở về xứng đáng với sự biết ơn của Hoàng hậu, nhưng chẳng lẽ tôi lại không trở về xứng đáng với tình yêu của nàng sao.
A fiatalasszony nem szólt, de piruló arca megadta a választ.	Người đàn bà trẻ chỉ trả lời bằng đôi má đỏ hồng lên.
Néhány pillanat múlva D’Artagnan is eltávozott, szintén állig beburkolózva nagy köpenyébe, melynek szélét kackiásan emelte magasba hosszú kardja.	Mấy phút sau, D Artagnan đến lượt mình cũng ra đi, mình trùm một chiếc áo choàng lớn, bao gươm dài bên trong đội lên một cách ngang tàng.
Bonacieux-né követte a tekintetével; akkor pillantanak oly hosszan férfi után az asszonyok, ha szerelmesek.	Bà Bonacieux nhìn theo không dứt với con mắt thấm đượm tình yêu mà người đàn bà đưa tiễn người đàn ông mình cảm thấy yêu thương.
Amikor azonban a fiatalember eltűnt az utcasarkon, az asszony térdére hullott, és összekulcsolta kezét:	Nhưng khi chàng đã khi khuất khỏi góc phố, nàng liền quỳ xuống, chắp hai tay lại và kêu lên:
- Ó Istenem!	- Ôi lạy Chúa?
- kiáltott fel - vigyázz a királynéra, vigyázz rám!	Xin người che chở cho Hoàng hậu, che chở cho con!
A HADITERV	Chương 19
Azt latolgatta, hogy a gaz idegen néhány perc múlva valószínűleg értesíti a bíborost, hiszen nyilván az ügynöke; s nagyon jól látta, hogy egyetlen pillanatot sem veszíthet.	Chàng nghĩ rằng chỉ ít phút nữa, Giáo chủ sẽ được tên lạ mặt khốn kiếp kia, hính như là mật vụ của ông ta thông báo, vì vậy chàng nghĩ không thể để chậm trễ một giây phút nào.
A fiatalember szíve csordultig volt örömmel.	Lòng chàng tràn ngập niềm vui.
Itt az alkalom; egy csapásra dicsőséget és pénzt szerezhet; máris bizalmas közelségbe került imádottjához, biztató kezdet kétségtelenül.	Một cơ hội vừa giành được vinh quang, vừa kiếm được tiền đang hiện ra trước mắt chàng, và còn là sự cổ vũ ban đầu đưa chàng gần lại người phụ nữ chàng ngưỡng mộ.
A véletlen kegye tehát már a kezdet kezdetén többet adott neki, mint amennyit kérni merészelt volna a gondviseléstől.	Sự run rủi hầu như ngay từ lần đầu tiên vậy là đã đem lại cho chàng hơn cả chàng dám cầu xin ở Chúa cứu thế.
Tréville úr a szalonjában tartózkodott, körülötte egész udvara: a megszokott nemesi társaság.	Ông De Treville đang trong phòng khách với cuộc hội kiến thường lệ của các nhà quý tộc.
Mindenki ismerte D’Artagnant, a ház barátját; a fiatalember tüstént be is lépett a kapitány dolgozószobájába, és tudatta vele, hogy fontos ügyben várja.	D Artagnan đã như người thân trong nhà, đi thẳng đến phòng làm việc của ông và nhờ báo cho ông chàng đang chờ vì một việc quan trọng.
- Hivatott, fiatal barátom?	- Anh bạn trẻ, anh yêu cầu gặp tôi?
- kérdezte Tréville úr.	- Ông hỏi.
- Igen, uram - szólt D’Artagnan -, remélem megbocsátja, hogy zavarom; nyomban elmondom, mily fontos ügyben járok.	- Vâng, thưa ông và hy vọng xin ông thứ lỗi vì đã quấy rầy ông, khi\ông biết rõ vấn đề là chuyện quan trọng gì.
- Beszéljen, hallgatom.	- Anh nói đi, ta nghe đây.
- Mit beszél?	- Anh nói gì vậy?
- kérdezte Tréville úr, és körülnézett, valóban egyedül vannak-e; aztán ismét kérdően pillantott D’Artagnanra.	- Ông De Treville vừa hỏi vừa nhìn xung quanh xem có ai không và đưa mắt nhìn D Artagnan như muốn hỏi rõ chàng.
- Azt, hogy véletlenül egy titokról értesültem...	- Thưa ông, tôi nói, tình cờ khiến tôi đang làm chủ một bí mật…
- Remélem, megtartja, fiatalember, ha kedves az élete.	- Anh phải giữ kín, ta hy vọng thế, anh bạn trẻ ạ, bằng tính mạng của anh đấy.
- De kapitány uramnak el kell mondanom; csak nagyságodtól remélhetek segítséget megbíza­tásomban, mely őfelségétől származik.	- Nhưng tôi lại phải thổ lộ với ông, thưa ông, với chính ông, bởi chỉ có ông mới có thể giúp tôi trong nhiệm vụ mà tôi vừa mới nhận được của Hoàng hậu.
- A maga titkáról van szó?	- Cái bí mật ấy là của anh ư?
- Nem, uram, a királyné titkáról.	- Không, thưa ông, của Hoàng hậu.
- Felhatalmazta Őfelsége, hogy megossza velem?	- Anh được phép của Hoàng hậu?
- Nem, uram, sőt ellenkezőleg: teljes titoktartásra szólítottak fel.	- Không, thưa ông, trái lại, bởi vì sự tuyệt mật đã được tôi đảm bảo.
- Akkor miért akarja elárulni nekem?	- Vậy tại sao anh lại đi phản bội lại ngay trước mặt tôi?
- Mert, amint említettem, nagyságod nélkül tehetetlen vagyok, s attól tartok, ha nem mondom el, mi késztet rá, nagyságod megtagadja tőlem a kegyet, melyet kérni szeretnék.	- Bởi vì, tôi đã nói với ông rồi đó, không có ông, tôi chẳng thể làm gì, và tôi sợ rằng ông sẽ từ chối cái ân huệ mà tôi yêu cầu ông, nếu ông không biết rõ tôi yêu cầu ông điều đó với mục đích gì.
- Őrizze meg a titkát, fiatalember, és mondja, mit óhajt.	- Anh cứ giữ lấy cái bí mật ấy của anh, chàng trai trẻ ạ, và nói cho ta hay anh muốn gì ở ta.
- Azt óhajtanám, eszközöljön ki részemre Des Essarts úrtól két hét szabadságot.	- Tôi muốn ông dành cho tôi một kỳ nghỉ phép mười lăm ngày ở ông des Essarts.
- Mikor?	- Khi nào?
- Még ma éjjel.	- Ngay đêm nay.
- Távozik Párizsból?	- Anh rời Paris?
- Kiküldetésre megyek.	- Tôi đi làm nhiệm vụ.
- Tudhatom, hová?	- Có thể nói cho tôi ở đâu được không?
- Londonba.	- Ở London.
- Érdeke-e valakinek, hogy ne érjen célba?	- Liệu có kẻ nào quan tâm đến việc anh không đạt được mục đích không?
- Azt hiszem, a bíboros minden árat megadna érte, ha utazásom kudarcot vallana.	- Giáo chủ, tôi tin như vậy, sẽ cho hết mọi thứ trên đời để ngăn tôi thành công.
- Egyedül vág neki?	- Và anh đi một mình?
- Egyedül.	- Tôi đi một mình.
- Miért?	- Sao lại thế được?
- Elteszik láb alól.	- Người ta sẽ cho ám sát anh.
- Kötelességemet teljesítve halok meg.	- Tôi sẽ chết khi làm nghĩa vụ của mình.
- És nem teljesíti küldetését.	- Nhưng sứ mạng của anh không được làm tròn.
- Ez igaz - mondta D’Artagnan.	- Đúng vậy - D Artagnan nói.
- Higgyen nekem - folytatta Tréville -, efféle ügyekre legalább négy ember kell: akkor az egyik célba ér.	- Tin tôi đi - Ông Treville tiếp tục - trong những cuộc phiêu lưu mạo hiểm này, phải có bốn để đến được một.
- Nagyságod ismeri Athost, Porthost és Aramist; hadd kérdezzem meg, segíthetnek-e nekem.	- Không thổ lộ với họ cái bí mật mà chính tôi cũng không muốn biết chứ?
- Mit szólnak majd, ha nem árulja el nekik a titkot, melyről én önként lemondtam?	- Chúng tôi đã thề với nhau, một lần cho mọi lần, nhắm mắt tin nhau, hết lòng vì nhau trước mọi thử thách.
- Egyszer s mindenkorra vak bizalmat és feltétlen hűséget esküdtünk egymásnak; meg aztán nagyságod megmondhatja nekik, hogy teljesen megbízik bennem: ők nem fognak bennem kételkedni.	Vả lại, ông có thể nói với họ rằng ông hoàn toàn tin tưởng ở tôi, và họ sẽ không kém tin tôi hơn ông đâu.
