Jules Verne - André Laurie	Jules Verne & André Laurie
Nem győzték eléggé ölelni, csókolni, bámulni, beczézni a rég nem látott fiút.	Mọi người ôm hôn Êrik, trìu mến, vồ vập, khen chú nom khỏe mạnh.
Hát csakugyan ez?	- chú hỏi lại.
Ó milyen boldog vagyok!...	- Tất nhiên là nhớ chứ.
Érezték úgy-e a hiányomat, mert én nagyon éreztem a maguk hiányát?	Không có ngày nào mà bố mẹ không nhắc đến con.
- Hát lehet-e tőlem ilyet kérdezni is, édes apám!	- Con hy vọng bố mẹ không phải nghi ngờ về điều ấy!
- felelé Erik, a ki szerette volna kebelére ölelni az egész világot.	- Êrik trả lời và lần lượt ôm hôn tất cả mọi gười - Bố mẹ luôn luôn ở bên con.
Bizonyára már otthon... Aztán siettem a meteorologiai intézetbe, tudakozódtam, hogy Svédországnak melyik részén dühöngött a vihar!	Và con đã hiểu rõ rằng ở chỗ bố những trận bão từ Mỹ tràn đến và ập vào vùng rừng núi của ta còn dữ dội hơn ở Xtôckhôm nhiều.
Hányszor szerettem volna, hogy ott legyek apámnak a halászbárkájában, segítsek neki a háló kiveté­sében... Mikor az ég kiderült, néha úgy éreztem, hogy a nagy város kalitka nékem, melyből szeretnék kirepülni... Nem adtam volna a világ minden kincseért, ha csak egy óráig ott lehettem volna a tengeren, s hajamat lengette volna az üde tengeri szellő fuvallata!	Còn khi bão đã tan, thời tiết bắt đầu tốt trở lại thì con cảm thấy con bị giam hãm trong thành phố lớn ấy, giữa các tòa nhà cao của nó, và chỉ muốn trả lại mọi thứ trên đời để được dù chỉ là một giờ thôi vùng vẫy giữa biển khơi và cảm thấy mình được tự do và hạnh phúc như trước đây...
Ottó erős legény lett, nem tizenhat, hanem húsz évest mutatott.	Vanđa trong thời gian qua cũng đã lớn lên trông thấy và đẹp ra.
Kedves vonásai megfinomultak, gyönyörű szőke haja dús fürtökben omlott vállára, mintha ezüst felhő lett volna, mely körül­fogja arczát.	Mái tóc màu tro hiền dịu trùm lên đầu cô bé như một làn sương bạc, hai bím tóc dày kết đôi buông trĩu phía sau lưng.
- Vanda is egészen nagy leány lett - jegyzé meg az anya büszkén.	- Vanđa đã trở thành cô gái lớn thật sự rồi.
- Hátha még azt is tudnád, Erik, hogy ez a leány milyen okos, hogy tanul, mióta te elmentél.	- bà mẹ tự hào nói - Êrik này, giá mà con biết rằng Vanđa ở nhà ngoan như thế nào!
Malárius mester azt mondta, hogy csak Vanda tudja őt kárpótolni miattad.	Ngài Maljarius bảo rằng sau con thì nó là người an ủi duy nhất của ngài ấy đấy.
- A kedves, jó mester, alig várom, hogy megölelhessem őt!	- Thưa thầy Maljarius quý mến, con sẽ hạnh phúc biết bao nếu con được ôm thầy!
- Az ám - folytatá a dicséretet Kata asszony - orgonálni is tanult, énekelni is igen szépen tud.	- Bà Katrina nói thêm - và ngài Maljarius khẳng định rằng nó có giọng tốt nhất trong dàn đồng ca đấy.
- Ej, ej!...	- Êrik nói đùa.
Ő maga pedig mesélt a maga életéből, a doktorról, Greta asszonyról és Kajsáról.	- Suýt nữa thì con quên mất, con có mang theo thư gửi cho bố đây, bố ạ.
- No lám, szinte megfeledkeztem róla, a doktor úr levelet küldött édes apámnak.	- Êrik sực nhớ và rút ở túi áo trong ra một cái phong bì.
Itt van... Nem tudom, mit ir benne; a doktor úr csak azt kötötte a szivemre, hogy ügyeljek reá, mert rólam van benne szó.	Con không biết nội dung thư, nhưng bác sĩ có nói trước là thư liên quan đến con và bảo con phải giữ gìn lá thư cẩn thận.
- Nos, édes apám, nem bontja fel?	- Chẳng lẽ bố không đọc thư cho mẹ và chúng con nghe với sao?
- kérdé Erik.	Êrik hỏi.
- Nem - felelé a halász.	- Không - người đánh cá trả lời ngắn gọn.
- De hiszen rólam van benne szó!	- Nhưng, thư có liên quan đến con kia mà!
- sürgeté a fiú.	- Anh chàng nài nỉ.
- Az ám, csakhogy a levél nekem van czimezve... Majd elolvasom később...	- Thư đề gửi cho bố đấy chứ, - bác Hecsêbom đáp và chăm chú nhìn chiếc phong bì - Bố sẽ đọc khi nào thấy cần thiết.
Kata asszony Vanda helyett leszedte az asztalt; most az egyszer hadd pihenjen a leány, örvendjen Eriknek...	Chúng kể hết những gì chúng muốn biết về nhau và nhắc đi nhắc lại nhiều chuyện đã được kể rồi...
Hersebom gazda, mint rendesen, pipára gyujtott és csöndesen pöfékelt... Majd elővette a doktor levelét, s végig betűzte.	Trong khi đó bà Katrina thu dọn bàn, cứ một mực để cho Vanđa hôm nay trở thành "tiểu thư thật sự", khỏi phải lo việc nội trợ.
Minthogy egyébként is kevés beszédű vala, épenséggel nem tünt fel senkinek az apa hallgatagsága.	Bác Hecsêbom chưa bao giờ tỏ ra là người hay nói nhiều, vì vậy sự im lặng của bác chẳng làm cho ai ngạc nhiên cả.
Kata asszony is elvégezvén a dolgát, a gazda mellé ült, kérdezte, hogy mit irt a doktor úr, de a gazdából nem csalhatott ki egy árva szót sem.	Bà Katrina sau khi lo xong những công việc bận rộn cũng đã ngồi xuống bên bếp lò, định gợi chồng chuyện trò nhưng không thành công.
Igy aztán Kata asszony is elkomolyodott, csaknem szomorú lett.	Thấy những cố gắng của mình uổng công vô ích, bà xìu mặt xuống.
Kata asszony szorongó szívvel kérdezte a gazdától:	- Thế nào, ông bác sĩ đã làm sáng tỏ điều gì chưa?
- A doktor úr megtudott valamit?	- bà lo lắng hỏi.
Hersebom elővette a zsebéből a levelet, szépen kiteregette, s hangosan kezdé olvasni... egyik-másik czifra szónál természetesen megakadt... csak úgy sillabizálta...	Thay vào câu trả lời, bác Hecsêbom lại rút lá thư trong phong bì ra và bắt đầu đọc to lên, thỉnh thoảng lại ngắc ngứ ở những chữ mà bác chưa biết.
A szülők, kik benne fiokat vesztették el, méltán sirathatják nagy veszte­ségöket.	Những người cha mẹ bị mất một đứa con trai như thế này hẳn là phải khóc than cho cháu nhiều lắm.
Hogy kik voltak ezek a szülők, aligha nyomukra jöhetünk.	Nhưng, bây giờ khó mà cho rằng bố mẹ cháu còn sống.
Megállapodásunk szerint megtettem minden lépést arra nézve, hogy Erik szülőit feltaláljam, húsz angol és irlandi újságban tettem közzé, megbiztam a puhatolózással egy ügynök­séget, de mind ez ideig hasztalan volt minden fáradozásom.	Tôi đã trao đổi thư từ với nhiều nhân vật ở Anh, đã ủy thác cho các hãng đặc biệt đảm nhận việc tìm kiếm, đăng tin trên ít nhất trên hai chục tờ báo Anh, Scôtlen và Ailen, nhưng vẫn chưa đem lại được điều gì sáng tỏ về cái lai lịch huyền bí ấy.
A Cynthia név az angol tengerészetben nagyon általános, tizenhét angol hajónak ez a neve most is, a mint engem értesítettek.	Hơn thế nữa, những tin tức không nhiều lắm mà tôi đã khai thác được lại càng làm cho nó huyền bí hơn.
Arról természetesen nem tudtam meg semmit, hogy ez az irlandi család él-e még, s ha él, hol tartózkodik jelenleg.	Một số tàu đăng ký ở các cảng Anh, những tàu khác đăng ký ở cảng Scôtlen hoặc Ailen.
A másik sajátságos körülmény az, hogy Cynthia nevű hajó szerencsétlenségéről, legalább abban az időtájban, mikor Eriket ön a tengerből kifogta - nem tudnak semmit a tengerészeti tudósítások.	Do vậy mà những giả thiết của tôi về dân tộc của cháu trong chừng mực nào đó đã được khẳng định như trước rằng Êrik xuất thân từ một gia đình Ailen.
Ezekből azt kell következtetnünk, hogy Erik nem hajótörésnek az áldozata... két­ségkívül szándékosan bizták a tenger habjaira... És e miatt lehetett minden fára­dozásom sikertelen.	Đúng là trong thế kỷ này đã có hai tàu "Cintia" bị đắm: một cái đắm ở Ấn Độ Dương, ba mươi hai năm trước đây, còn cái kia thì đắm ở gần Portxmut, mười tám năm về trước.
Alig hiszem, hogy valaha kiderüljön ez a titok, s hogy megtaláljuk a fiúnak a szüleit.	Từ đó đi đến kết luận rằng cháu bé không phải là nạn nhân của vụ đắm tàu.
Igy hát nincs egyéb tenni valónk, mint tudatni a fiúval a dolgot.	Nghĩa là có ai đó đã bỏ cháu xuống biển!
Ebben állapodtunk volt meg ezelőtt két évvel.	Tôi muốn tự bác sẽ nói hết với Êrik.
Remélem, emlékezik még erre a megállapodásra.	Hai năm trước đây cháu chưa được như thế.
Mond­jon el neki mindent őszintén, s aztán bizza reá a választást.	Thế nên tôi lại nhắc lại những đề nghị của tôi.
Kata asszony könyezve hallgatta végig, s aztán szívszorongva kérdezé a gazdától, hogy mit szándékozik tenni.	Nghe bác Hecsêbom đọc xong, bà Katrina không cầm được nước mắt, đã hỏi chồng xem bây giờ quyết định thế nào.
- A dolog nagyon egyszerű: beszélek a fiúval.	- Thế nào thì đã rõ ràng rồi, nói hết cho thằng bé biết - bác trả lời.
Erre aztán mind a ketten újra elhallgattak.	- Người và nói qua nước mắt.
Csattogott az arczuk a pirosság­tól, ragyogott a szemük az örömtől... A tűz köré telepedtek, s vidáman mesélték el, hogy merre jártak, s hogy fogadták őket...	Đúng lúc nửa đêm, ba đứa trẻ đi chơi trở về, người nóng ran vì phải rảo bước ngoài trời giá lạnh, đứa nào đứa nấy mắt sáng lên vì sung sướng.
HATODIK FEJEZET.	CHƯƠNG SÁU:
Erik dönt a sorsa felett.	QUYẾT ĐỊNH CỦA ÊRIK
- Erik, a doktor úr levelében csakugyan rólad van szó.	- Êrik ạ, bức thư của bác sĩ Svariênkrôna quả thật có liên quan đến con.
A doktor úr szeretné, ha tovább tanulnál, de ezt tőled teszi függővé.	Tất nhiên, con có thể yên tâm rằng cả nhà điều mong muốn cái điều sau ấy.
Ekkor Kata asszony zokogni kezdett, nem tudta tovább tartóztatni könyjeit.	Còn Êrik thì sau khi cầm lá thư của bác sĩ đã đọc một mạch từ đầu đến cuối.
Megfogta Eriknek a kezét és szivére szorította...	- Êrik, con đã và vẫn sẽ là con trai của bố mẹ!
Hersebom gazdának nagyon reszketett a hangja, a mint folytatá:	- bà kêu lên, vô cùng xúc động trước sự im lặng kéo dài của chú bé.
- Meg kell neked vallanunk, Erik, hogy te nekünk csak fogadott fiunk vagy... A tengerből fogtalak ki, fiam,... akkor te nem lehettél több nyolcz-kilencz hónaposnál... Isten látja lelkemet, mi neked ezt sohasem akartuk megmondani, úgy szerettünk mindig, mintha édes gyermekünk lettél volna... De hát Schwaryencrona doktor kivánja... Tudd meg tehát, hogy mit irt rólad a levélben!	Chú ngẩng đầu lên, và đôi mắt chú đã bắt gặp những nét mặt thủy chung, hiền hậu, ánh mắt đầy tình mẫu tử của người phụ nữ yêu dấu, đôi mắt chân thật của bác Hecsêbom, nụ cười còn thân thiết hơn lúc bình thường của Ôttô, khuôn mặt bé nhỏ nghiêm trang và đượm buồn của Vanđa.
Eriknek az arcza halott-halvány lőn... Ottó és Vanda csodálkozva, megütődve kiáltottak fel.	Và cũng chính lúc ấy, trái tim đau đớn của Êrik tràn ngập sự trìu mến vô cùng, không giấu nổi xúc động.
Kata asszony szerető szavaira eszmélt fel.	Êrik say đắm nhìn những đồ vật ấy.
- Erik, te mindig a mi gyermekünk maradsz!	Nhưng bây giờ mẹ ở đâu?
A fiú sorra nézte ezeket a derék, jó lelkű embereket: az anyát, a ki gyöngéd szeretettel gondját viselte, Hersebom gazdának egyszerű, becsületes arczát, Ottót, a ki igen meg volt hatva és a komoly, szomorú arczú Vandát... Kiolvasta az arczukból, hogy tele vannak kinzó aggodalom­mal... Mint egy csodás álom, úgy vonult el lelki szemei előtt az ő története... Látta a tenger hullámain ringó bölcsőt, benne a kis csecsemőt... Az öreg halász kihúzza, haza viszi, a csecsemőt áldó szeretettel gondozzák, fölnevelik, saját nevüket adják az apátlan-anyátlan gyermeknek, nem szólanak egy szót sem arról, hogy nem édes gyermekük... és most, mikor tudtára adják, halálos rettegéssel várják, hogy ő mit mond rá, mintha az halálos itéletök volna...	Chú hình dung một cách rõ ràng tất cả những gì mà người cha đã kể cho chú nghe: Chiếc nôi nhỏ đung đưa trên mặt sóng và được người dũng cảm vớt lên... Ông đã mang những gì vớt được về nhà, và những người nghèo giản dị này đã không do dự nhận một đứa trẻ xa lạ vào gia đình, nuôi nấng chăm sóc chú như đứa con ruột, suốt mười bốn năm trời không nói với chú một lời, còn bây giờ chờ đợi quyết định của chú với một nỗi lo âu dường như sự sống còn của họ tùy thuộc vào điều quyết định ấy vậy.
És megfogamzott lelkében a szent, a nagy elhatározás, hogy közöttük marad, megosztja sorsukat, s legalább némi részben vissza fizeti nekik jóságukat és szeretetüket.	Chú muốn báo đền ơn nghĩa đối với những con người tốt bụng này, đáp lại họ cũng bằng những sự gắn bó hết mình như thế, thậm chí hy sinh cả tương lai của bản thân.
- Anyám!	- Mẹ!
- Áldassék Isten szent neve!	- May mắn thay!
- fohászkodék fel Kata asszony és boldogságtól sugárzó arczcal ölelte szivére Eriket.	- Bà Katrina sung sướng nói và hôn Êrik.
- Tudtam én, hogy a fiú jobban szereti a tengert, mint a könyveket - veté oda Hersebom gazda.	Chúng ta không nói về chuyện ấy nữa mà nghĩ xem ăn mừng lễ Nôen như thế nào cho vui hơn.
Mert neki fogalma sem volt arról, hogy minő nagy áldozatot hozott Erik.	Cha mẹ sống hạnh phúc ở đây và không tìm kiếm một số phận khác.
- Most pedig, hogy rendben van a dolog, ne is beszéljünk többet róla!...	Tổ quốc của chú là đâu và cha mẹ của chú là ai?
Örvendjünk a karácsonynak.	Họ còn sống không?
A család apraja-nagyja ölelte, csókolta egymást és fogadkozának, hogy míg a világon élnek, sohasem válnak el egymástól.	Chú có anh chị em ở cái nơi xa xôi nào đó không, những người mà sẽ chẳng bao giờ chú được biết ấy?
Mikor Erik egyedül volt, fájdalmasan sóhajtott fel... Érezte, hogy a lépés, melyet tett, nagyon nehéz volt...	Trong suốt hai năm chưa có lời nào được nói về cả hai bên trong ván cuộc này.
Gondol-e reá valaki, reá, az elveszett csecsemőre?	"Cintia" chắc chắn là một chiếc tàu Anh.
Stockholmban, a Schwaryencrona doktor házában is megünnepelték rendkívüli módon a karácsonyt.	Trong các bản thống kê của hãng Lôiđa có ít nhất mười bảy chiếc tàu Anh mang tên như vậy.
Emlékezünk, hogy annak a bizonyos fogadásnak is most volt a határideje a doktor és Bredejord között, melynél az érdemes Hochstedt tanár szerepelt tanuként.	Về những đặc điểm dân tộc của chú bé thì tôi có thể khẳng định lần nữa rằng dáng dấp người Kelt của nó là cái chắc.
Két év óta sem a doktor, sem az ügyvéd nem beszéltek erről a tárgyról.	Việc cháu là người Ailen thì bây giờ tôi lại càng tin chắc hơn trước.
Legfeljebb az ügyvéd czélozgatott hébe-korba a doktor pompás Plinius példányára, mely méltán büszkesége a könyves polcznak és sajna, mégis csak elkerül ma-holnap onnan, s békességben megfér majd valahol másutt a - Quintilianus mellett...	Dĩ nhiên là tôi chưa trình bày được với các ngài về gia đình của cháu, vì gia đình ấy hoặc là bị tử nạn hoặc là vì lý do nào đấy mà đến nay vẫn chưa có tin tức.
Mihelyt a három jó barát egyedül maradott az ebédlőben, a doktor egészen őszintén bevallotta, hogy fáradozásának, puhatolózásának éppen­séggel nem volt semmi eredménye.	Bây giờ tự ngài hãy phán xử để cho cuốn Kvintilian của ông bạn Brêđêzhor của chúng ta phải chuyển sang thư viện của tôi một cách hợp pháp!
- Mindazonáltal - folytatá Schwaryencrona - igazságtalan volnék magam iránt, ha éppen oly őszintén ki nem jelenteném azt, hogy fogadásomat éppen nem vesztettem el.	Khi nghe những lời ấy ông trạng sư cảm thấy buồn cười: ông ta ngả người trên chiếc ghế bành và chỉ biết vung tay ra hiệu phản đối.
Be­bizonyítani egyelőre nem tudom, de a faji jelleg ezer apró vonása a napnál fényesebben tanuskodik arról, hogy ebben a tekintetben sem tévedek.	Mặt khác, một khi ngài bác sĩ đã đưa ra một kết luận không thể bác bỏ thì cũng nhất thiết phải chấp nhận mặt này hay mặt khác.
Nos, érdemes barátom, Hochstedt, ezek után szeretnők hallani a te itéletedet.	Do tính dè dặt và thận trọng của mình, ông thích những kết luận chưa khẳng định hơn.
Az érdemes tanár ugyancsak nagy zavarban volt, elvégre akár az egyik, akár a másik javára dönti el a fogadást, a rövidebbet ő húzza, no meg a lelkiismerete se lehet egészen nyugodt.	Trong những trường hợp như vậy giáo sư đã biết xem xét vấn đề một cách tài tình, lần lượt theo các quan điểm khác nhau và đắm mình trong những giả thuyết mơ hồ như cá bơi trong nước.
Vagyis végső eredményében a fogadás eredménye meddő.	Mọi kết luận đều cho rằng cháu gốc người Ailen!
Ezzel az itélettel sem a doktor, sem az ügyvéd nem volt megelégedve.	Nhưng giả thiết là một chuyện, còn bằng chứng lại là chuyện khác.
- Hochstedt barátom, ne hamarkodjuk el a következtetések levonását... Bizony ne!	Bác sĩ giả bộ nhăn nhó, làm như cái nhăn ấy còn hùng biện hơn bất kỳ câu trả lời nào.
Mit szólana ön ahhoz, ha én most nyomban bebizonyítanám, hogy a Cynthia nem angol hajó?	- Tuyệt lắm, ngài Hosteđt thân mến, có điều là chớ vội vã với điều kết luận ấy!
- Hogy mit mondanék?	- Tôi sẽ nói sao ư?
- kérdé a professzor kissé meghőkölve e váratlan támadástól.	- Ngài cứ việc xem xét, bao lâu cũng được!
- Valóban, nem tudnék semmit mondani...	- Trạng sư ngắt lời ông ta, tay trái rút từ túi áo trong ra một cái ví.
- - kabátja belső zsebéből kihúzott egy iratot.	- Đây là một chứng từ mà ngài không thể bác bỏ được - ông ta nói thêm và nâng phong thư để sát vào mắt bác sĩ.
A doktor fenhangon olvasá:	New York, 27 tháng mười hai.
Bredejord ügyvéd úrnak Stockholm.	Thưa ngài Brêđêzhor rất kính mến!
1.	1.
Egy Cynthia nevű hajó, melynek kapitánya Borton volt, s a "Kanadai Általános Szállító-Társaság" tulajdonát képezte, mintegy tizennégy évvel ezelőtt tünt el nyomtalanul a Feroë szigetek tájékán.	Tàu mang tên "Cintia" (thuyền trưởng Barton) thuộc "Công ty liên hiệp các chủ tàu Canađa", đã bị đắm cùng tất cả người và hàng mười bốn năm trước đây cách các hòn đảo Farer không xa lắm.
2.	2.
Ez a hajó a new-yorki "General Steam navigation insurance Company"-nál három millió hétszázezer dollárra volt biztosítva.	Chiếc tàu đã được bảo hiểm bởi "General Steam Navigation Insurance Compan" (Tổng Công Ty Bảo Hiểm Tàu Thủy - tiếng Anh) với tổng số tiền ba triệu tám trăm ngàn đôla.
3.	3.
A Cynthia eltünését kinyomozni nem lehetett, s e miatt fent nevezett biztosító társaság és az eltünt hajó tulajdonosa között perre került a dolog: a per az előbbi javára dült el.	Vì "Cintia" bị mất tích và hoàn cảnh đắm tàu đến nay Công ty hảo hiểm vẫn chưa biết rõ, nên vụ kiện của những người sở hữu chiếc tàu nói trên bi thua cuộc.
4.	4.
Smith Jeromos, Walker és Társa	Đgiêrêmi Xmit, Uorker và Ko
tengerészeti ügynökök."	Đại lý hàng hải"
- Nos, mit szólasz ehhez, doktor?	- Ngài nói sao đây về chứng từ này?
- kérdé Bredejord diadalmasan.	- Tôi thực lòng thừa nhận như vậy.
- Van... van...!	- Bằng cách thông thường nhất.
A harmadik levelemre jött ez a válasz... Beláthatod, hogy a Pliniusodtól el kell búcsúznod, a fogadást én nyertem meg.	- bác sĩ cãi lại rồi im lặng lật qua lật lại lá thư, như muốn tìm trong đó những bằng chứng mới xác nhận sự đúng đắn của mình.
- Hohó!...	- Thấy chưa xác đáng là làm sao!
- Hát nem világos ez a dolog?	- Không thể nào sai được!
Figyelj csak ide: a hajó kanadai volt, vagyis más szóval angol, a minthogy Kanadában túl­nyomó az irlandi elem, a fiú mégis csak irlandi származású!...	- Brêđêzhor kêu lên, càng tức giận hơn - Và, nghĩa là ngài vẫn khăng khăng không chịu mất cuốn Plini của ngài.
Hiszen elvégre azt is kiolvasod, hogy a Pliniusodat nem vesztetted el!	- Có nhẽ ngài còn định sở hữu luôn cả cuốn Kvintitian của tôi nữa chắc?
- Természetesen...!	- Tất nhiên!
- Esetleg azt is, hogy a Quintilianusomat megnyerted?	- Được lắm, mà tôi cũng muốn vậy.
- Itt a kezem reá.	- Rồi.
HETEDIK FEJEZET.	CHƯƠNG BẢY:
Vanda véleménye.	Ý KIẾN CỦA VANĐA
Mindennap ő kelt fel a leghamarabb, a halász-bárkát előkészítette, mire Hersebom gazda kijött a házból, már mindent készen talált.	Hôm nào không có gió thì Êrik cầm mái chèo nặng và bơi thật mạnh, dường như chú cố ý tìm công việc nặng nhọc nhất.
- Hogy is tudtál te a városban élni!	- Ở thành phố thì buồn nhớ đến tiều tụy đi!
A fiú keservesen szenvedett, mióta a tanulást abba kellett hagynia és csupán keze munkáját láthatta.	Nói cho ngay, chú buồn dữ lắm khi phải từ bỏ những buổi học để chỉ làm mỗi một việc lao động chân tay.
Eriket és Ottót megbizta azzal, hogy a készletben levő halat tonnákba rakják.	Bác Hecsêbom, sau khi giao cho Êrik và Ôttô việc ấy đã tự mình đi đánh cá.
A mint szorgosan foglalatoskodtak, egyszer csak megszólalt Erik:	Đó là một ngày u ám và oi bức khác thường đối với mùa xuân ở Na Uy.
- Sajátságos hangokat hallok,... úgy dübörög valami, mintha egy léghajóban volnék ötezer méter magasságban.	- Lạ nhỉ - Êrik nói - Em thấy ù tai, cứ như là bay trên khinh khí cầu cao bốn hay năm kilômet ấy.
- Ha ráérnék, el­szaladnék Malárius mesterhez, hogy megnézzem.	- Có lẽ phong vũ biểu bây giờ tụt mạnh lắm - Êrik nói tiếp - Giá có thì giờ em chạy đến thầy Maljarius kiểm tra xem sao.
- Hogy ne érnél reá, eredj csak - biztatá Ottó, - lásd, mindjárt készen vagyunk a munkánkkal.	- Em có đủ thời gian đấy - Ôttô đáp - Em đi xem thử coi, vì anh em mình gần như xong việc rồi.
Különben is elvégezném én, ha később találnál haza jönni.	Nếu em có bị chậm thì một mình anh làm hết cũng được.
Útközben találkozott Maláriussal.	Sao em cứ muốn bây giờ bố ở nhà thì hay quá!
- Áh, te vagy Erik!	- Con đấy à, Êrik!
- szólítá meg a mester.	- Thầy giáo nói - Gặp con và thấy con không đi biển thầy mừng.
- Örvendek, hogy itt látlak, s hogy nem vagy most a tengeren.	Nói thật, thầy đi chỉ cốt biết xem con ở đâu thôi.
Éppen hozzátok siettem, hogy tudakozódjam utánad.	Trong nửa giờ qua phong vũ biểu hạ rất nhanh.
Fél óra óta szörnyen alászállott a barométer.	Trong đời chưa có lần nào thầy thấy như vậy cả.
Alig hogy Malárius szavait befejezte, távolról mennydörgés hallatszott, mintha gyászos nyöszörgés lett volna.	Thầy giáo Maljarius chưa kịp nói hết câu đã nghe tiếng ào ào từ xa vọng lại kèm theo tiếng rú báo hiệu điềm chẳng lành.
A cyclon körülbelül egy óráig dühöngött.	Cơn bão đã hoành hành suốt cả giờ.
Hersebomék, valamint a többi noroëi halászcsaládok minden gondolata azoknál időzik, a kiket a tengeren talált az irtózatos vihar.	Sau đó, bị các sườn núi Na Uy cản lại, nó chuyển sang hướng Nam, về phía lục địa châu u, quét đi tất cả mọi thứ trên đường.
Hersebom gazda leggyakrabban egy nagyobbacska sziget nyugati partjánál szokott halászni.	Nhờ vậy, những thiệt hại về người do bão gây ra có phần nào bớt đi.
Azt hitték ugyan, hogy a vihar kitörése előtt menedéket keresett a szigeten; de azért Eriknek és Ottónak nem volt nyugta.	Tổng cục hàng hải Pháp Veritas và Tổng cục hàng hải Anh Lôiđa đã ghi lại được ít nhất bảy trăm ba mươi vụ đắm tàu do bão gây nên.
A szomszédtól egy halászbárkát kértek kölcsön, s a hozzájuk csatlakozó Maláriussal elmentek, hogy Hersebom gazdát felkeressék.	Bác Hecsêbom thường hay đi về bờ biển phía Tây của một hòn đảo khá lớn cách cửa vịnh hai hải lý.
Kata asszony és Vanda aggódó szivvel néztek utánok.	Đúng nơi ấy trước đây bác đã tìm thấy Êrik.
A fjordon már elült az orkán, mint egy órai kerülőt kellett tenniök, hogy a halászbárkát a tengerre bocsáthassák.	Những, Êrik và Ôttô lo cho bác quá, đến mức không thể đợi đến chiều mới khẳng định điều phỏng đoán của mình.
A viharkorbácsolta tenger úgy örvényzett a parton, hogy még gőzhajó sem szállhatott volna vizre, nem hogy egy törékeny halászbárka.	Ngay khi mặt biển trong vịnh vừa lặng sóng, Êrik và Ôttô liền hỏi mượn người hàng xóm một chiếc thuyền và quyết đinh đi tìm bố.
Vissza kellett menniök Noroëba.	Cuối cùng, họ đã rời bến.
Hersebom gazdát hiába várták haza a szokott időben.	Bà Katrina và Vanđa ra biển, lo lắng nhìn theo.
Az éjszaka hosszú óráit kinos várakozásban virrasztották át, a tűz körül ültek némán.	Sóng đập vào hỏn đảo nhỏ án ngữ lối vào vịnh tạo thành hai luồng nước.
Másnap a noroëi halászok, kik tegnap otthon maradtak volt, közös erővel felkészülődtek, hogy társaikat felkeressék.	Sau khi vòng qua chướng ngại họ cho thuyền theo dòng nước lao vút vào lối ra khơi như lao vào một cái phễu khổng lồ.
Bizonyára vége van szegénynek, mert azok is, a kik megmenekültek, szörnyű dolgokat meséltek a cyclon dühöngéséről.	Im lặng và đau buồn, mọi người ngồi gục đầu bên bếp lò cho qua những giờ phút chờ đợi khắc khoải.
Elhatározták, hogy Hersebomot felkeresik.	Về tháng ba, trên các vĩ độ ấy trời sáng muộn.
A mint a bárkákat a tengerre bocsátották, különféle irányban elszéledtek azok, egyik jobbra, másik balra, hogy a noroëi fjord körül elszórt számtalan szigetet kikutassák.	Khi cả một đoàn thuyền được tập trung từ khắp vùng Nôrôê đã sẵn sàng đi tìm kiếm thì ở vịnh thấy xuất hiện những chiếc thuyền chài và chẳng bao lâu chúng đã vào đến bờ.
Mikor déltájban az öböl déli részén újra találkoztak, Hersebomról nem tudtak semmit, egészen nyoma veszett szegénynek.	Tất cả những ngư dân đi biển trước khi có trận gió xoáy đều đã trở về, chỉ trừ có một mình bác Hecsêbom.
Azt mondta, hogy a délre eső szigeteket már átkutat­ta, most az éjszakiakat veszi sorra.	Mọi người quyết định cả đoàn thuyền đi tìm bác Hecsêbom ngay.
A halászok szerencsét kivántak nekik és haza mentek.	Tính ngoan cường của Êrik thật đáng khen.
Két óra tájban, a mint egy szigetecskéhez közeledtek, a kutya dühösen elkezdett ugatni, kiugrott a bárkából s a szirtes sziget felé uszott.	Khoảng hai giờ chiều, khi chiếc thuyền thoi đi qua một hòn đảo nhỏ cách bờ không xa lắm, con Klaas bỗng sủa ầm ĩ lên.
Erik leborult hozzá, s szíve fölé tette a fülét.	Hai chú bé nhanh chóng cho thuyền cập bờ.
- Él!...	- Bố còn sống!
- kiáltá.	- chú bé kêu lên.
A szíve csakugyan dobogott, melle emelkedett, s ajkai közül gyönge sóhaj lebbent el.	Cuối cùng, bác Hecsêbom đã tỉnh lại và rên một cách tội nghiệp.
- Vizet!	- Nước!
- rebegé alig hallhatóan.	- bác thều thào.
Szerencsésen haza értek Noroëba.	Bác Hecsêbom bắt đầu ngủ ngon giấc.
Nem sérült meg halálosan, csak az alsó karja ficzamodott ki, s egész teste érzékeny zúzódást szenvedett.	Chiếc thuyền là tài sản duy nhất của gia đình thì đã bị gió cuốn mất tiêu rồi còn đâu?
Malárius megtiltotta a sok beszé­det, hadd pihenjen.	Đi làm thuê cho ai ở cái tuổi của bác cũng không phải dễ gì.
Csakhamar csendes álomba merült.	Ừ, mà tìm việc ở đâu kia chứ?
Szegény öregnek keserves gondolatai támadtak, a mint az ágyban feküdt, később is, mikor már felkelhetett, de nyomorék karját felkötve kellett hordania.	Họ đã ăn đến chỗ cá tuyết muối còn lại được một ít trong kho, nhưng tương lai thì u ám, không biết rồi đây mọi chuyện sẽ ra sao.
Erik is látta, hogy minő komor jövő vár arra a családra, melynek ő olyan sokat köszönhet.	Trong hai ba ngày đầu, tình cảm tràn ngập lòng chú mạnh mẽ hơn cả niềm vui.
