Léon Werth-nek	Tặng Léon Werth
Hát akkor miért ne volna komoly dolog, ha meg akarjuk érteni, mi végre a sok fáradozás, amivel olyan tüskéket csinálnak maguknak, amelyek soha semmire sem jók?	Vậy mà tìm hiểu xem vì sao hoa lại cứ phải gian khổ biết bao sản xuất những cái gai vô tích sự ấy, tìm hiểu điều ấy, lại là chuyện không đứng đắn hay sao?
És ha én tudok egy virágot, egy egyetlen virágot az egész világon, olyat, amilyen sehol másutt nem létezik, egyedül csak az én bolygómon, aztán egy bárányka egy csapásra megsemmisítheti, csak úgy, anélkül, hogy akár csak sejtené is, hogy mit művel: ez talán nem fontos?	Và tôi biết một cái hoa duy nhất trên đời không đâu có nó, ngoài cái hành tinh của tôi, thế mà một con cừu nhỏ có thể táp một cái như thế, và hủy nó, một sáng nào đó, rồi không mảy may chú ý là mình vừa làm cái gì, chuyện đó không quan trọng hay sao?
Elpirult, folytatta:	Em đỏ mặt nói tiếp:
- Ha valaki szeret egy virágot, amely csak egyetlen példányban létezik a csillagmilliókon: ez épp elég neki, hogy boldog legyen, ha a csillagokra pillant.	- Khi một người yêu một đóa hoa, hoa ấy chỉ có một đóa thôi, trong hàng triệu hàng triệu ngôi sao, chừng ấy đủ làm cho anh sung sướng khi nhìn những ngôi sao.
Váratlanul kitört belőle a zokogás.	Thốt nhiên em bật lên nức nở.
Közben már leszállt az éjszaka.	Đêm đã buông xuống.
Letettem a szerszámaimat.	Tôi đã bỏ các đồ nghề ra.
Egy csillagon, egy bolygón, az enyémen, a Földön volt egy kis herceg, akit meg kellett vigasztalni!	Trên một ngôi sao, một hành tinh, hành tinh của tôi, Trái Đất, có một hành tinh bé nhỏ cần được an ủi!
A karomba vettem, ringatni kezdtem.	Tôi ôm em trong vòng tay tôi.
Nagyon ügyetlennek éreztem magam.	Tôi cảm thấy tôi rất vụng về.
Nem tudtam, hogyan férkőzzem hozzá, hogyan találjak közösséget vele... Olyan titokzatos világ a könnyek országa.	Tôi không biết làm sao đạt được đến em, đi đâu thì gặp lại em... Thật huyền bí làm sao, xứ sở của nước mắt.
Rövidesen jobban is megismerhettem ezt a virágot.	Tôi tìm biết rất nhanh và rõ hơn về đóa hoa này.
De ez egy szép napon egyszerre csak kicsírázott, magva a jó ég tudja, honnét került oda, és a kis herceg aprólékos gonddal figyelte a zsenge hajtást, amelyik semmilyen más hajtáshoz sem hasonlított.	Nhưng cái hoa ấy, một ngày kia, đã nảy mầm từ một cái hạt, không biết từ đâu mang tới, và cậu hoàng tử đã chăm sóc rất sít sao cái nhánh con không giống với các nhánh con nào khác.
Ki tudja, nem holmi majom­kenyérfa-féleség-e?	Nó có thể là một loại bao-bá mới.
A vesszőcske növekedése azonban abbamaradt, és a kis növény hozzákezdett a virágkészítéshez.	Nhưng cái cây nhỏ liền thôi không lớn lên nữa, và bắt đầu sửa soạn để ra hoa.
A kis herceg szemmel kísérte, hogyan jelenik meg rajta egy óriási bimbó, és sejtette, hogy csodálatos tünemény fog kibontakozni belőle; a virág azonban végevárhatatlanul, egyre csak szépítgette magát odabent a zöld szobájában.	Cậu hoàng tử, chứng kiến sự xuất hiện một cái nụ, cảm thấy rõ ràng từ cái nụ này sẽ lộ ra một điều kì diệu, nhưng đóa hoa vẫn cứ điểm trang hoài, nấp kín trong căn buồng xanh của nó.
Nagy gonddal válogatta meg a színeit.	Hoa chọn lựa kĩ màu sắc của mình.
Lassan öltözködött, egyenként igazította magára a szirmait.	Hoa chậm rãi mặc áo mặc quần, gấp xếp thẳng thớm từng cánh một.
Nyilván nem akart olyan gyűrötten napvilágra lépni, mint a pipacsok.	Hoa không muốn đi ra ngoài mà nhàu nát như các chị mồng gà.
Nem akart megmutatkozni, csak szépsége teljes sugárzásában.	Hoa chỉ muốn ra đời trong hoàn cảnh rỡ ràng hương sắc.
Úgy bizony!	Ôi chao!
Nagyon kacér virág volt!	Hoa thật là điệu!
Így aztán hosszú napokon át tartott a titokzatos öltözködése.	Cuộc trang điểm huyền bí của nó kéo dài rất nhiều ngày, rất nhiều ngày.
Aztán egy hajnalban, éppen napkeltekor, végre megjelent.	Và rồi tới một sớm mai, đúng giờ mặt trời mọc, nó hiện ra.
Ásított egyet, és azt mondta, ő, aki olyan aggályos pontossággal dolgozott:	Và cô ả, vốn đã chăm chút tỉa tót đến như thế, bây giờ vừa ngáp vừa nói:
A kis herceg nem bírta magába fojtani a csodálkozását:	Thế là cậu hoàng tử không nén nổi khâm phục:
- Milyen szép vagy!	- Cô em đẹp thế!
- Ugye? - felelte kedvesen a virág.	- Thật ư anh - hoa trả lời dịu dàng.
- És épp egyszerre születtem a nappal...	- Em sinh cùng lúc với mặt trời, anh biết không...
A kis herceg ebből könnyen kitalálta, hogy a virág nem valami szerény; viszont olyan meg­ható volt!	Cậu hoàng tử đoán biết cô ả không lấy gì làm khiêm tốn lắm nhưng cô thật dễ làm cho người ta xúc động!
A kis herceg pedig, mélységes zavarban, sietve kerített egy öntözőkannát, és kiszolgálta a virágot.	Thế là cậu hoàng tử, xấu hổ quá, đi lấy một chiếc ô-doa nước lã và dọn lên cho bông hoa.
Egy napon például, mikor a négy töviséről beszélt, azt mondta a kis hercegnek:	Chẳng hạn một hôm, cô đã nói với cậu hoàng tử về bốn cái gai của mình:
- Most aztán jöhetnek a tigrisek a karmaikkal!	- Chúng có thể tới đây, lũ hổ ấy, móng vuốt dễ sợ...
- Az én bolygómon nincsenek tigrisek - jegyezte meg erre a kis herceg.	- Trên hành tinh của anh không có hổ - cậu hoàng tử nhận xét.
- A tigrisek különben sem esznek füvet.	- Vả lại, hổ không ăn cỏ mà.
- Én nem vagyok fű - felelte szelíden a virág.	- Em có phải là cỏ đâu - bông hoa đáp lại dịu dàng.
- Bocsáss meg...	- Xin lỗi cô...
Nincs véletlenül valamilyen szélfogód?	Anh có một tấm chắn gió nào không anh?
"Irtózni a huzattól - gondolta a kis herceg - elég kockázatos kilátás egy növénynek.	"Khiếp các luồng gió... đối với một cái cây nhỏ thế là không hay - cậu hoàng tử nhận xét.
- Esténként tégy majd bura alá.	- Chiều tối, anh hãy đặt em trong bầu kính nhé.
Rosszul vagy berendezkedve.	Thiếu tiện nghi quá.
Ahonnét én jöttem...	Ở chỗ của em ấy ư...
Hiszen mag formájában jött: más világokról nem tudhatott semmit.	Cô ta chẳng thể hiểu được điều gì về các thế giới khác.
- A szélfogó?	- Cái chắn gió, anh có không?...
- Épp azért indultam, de elkezdtél beszélni hozzám...	- Anh đã định đi lấy thì em bắt đầu nói!
Erre a virág még jobban köhécselt, hadd furdalja csak a lelkiismeret a kis herceget.	Tuy vậy cô ả vẫn ho nữa để buộc cậu phải biết lỗi.
Annak pedig, hiába volt tele jóakaró szeretettel, előbb-utóbb mégiscsak megrendült a bizalma a virágban.	Cậu hoàng tử, như vậy đấy, đã ngờ ngay về cô ả mặc dù rất quý cô, cậu vẫn đối xử với cô rất tốt.
Minden lényegtelen megjegyzést a szívére vett, és kezdte nagyon-nagyon boldogtalannak érezni magát.	Cậu đã suy nghĩ nghiêm trang về những lời tưởng không quan trọng gì của cô, và khổ lắm.
Az enyém egész bolygómat elárasztotta az illatával, mégse tudtam örülni neki.	Cái hoa của tôi làm thơm ngát hành tinh của tôi, nhưng tôi lại không vui vì thế.
Annyira bosszantott az a tigriskarom-história, holott inkább meg kellett volna hatódnom rajta...	Câu chuyện móng vuốt ấy đáng lẽ làm cho tôi mềm lòng thì tôi lại bực..."
- Bizony, nagyon értelmetlen voltam én akkor!	- Ngày ấy, tôi chẳng biết cách tìm hiểu gì cả.
Beburkolt az illatával, elborított a ragyogásával.	Cô tỏa thơm tôi, làm cho tôi sáng rực lên.
Sosem lett volna szabad meg­szöknöm!	Đáng lẽ tôi không nên bao giờ bỏ đi cả!
Szegényes kis csalafintaságai mögött meg kellett volna éreznem gyöngéd szeretetét.	Đáng lẽ tôi phải đoán được tình cảm chân thật của cô đằng sau mọi mánh khóe vặt vãnh ấy.
De én még sokkal fiatalabb voltam, semhogy szeretni tudtam volna!	Lúc bấy giờ tôi còn trẻ quá nên chẳng biết quý người.
9.	IX
Szökéséhez, azt hiszem, a vadmadarak húzását használta föl.	Buổi sáng hôm ra đi, em đã dọn dẹp hành tinh thật ngăn nắp.
Indulása reggelén szépen rendbe tette a bolygóját.	Em nạo vét kĩ càng các quả núi lửa đang hoạt động của em.
Gondosan kipucolta a működő vulkánjait.	Em có hai quả núi lửa đang hoạt động.
De mert úgy gondolta: "Sosem lehet tudni!", kipucolta ezt a kialudt vulkánt is.	nên em cũng nạo vét cả quả núi lửa đã tắt nữa.
A vulkánok, ha jól kipucolják őket, szabályosan, enyhe lánggal égnek, kitörések nélkül.	Được nạo vét kĩ, các quả núi lửa sẽ cháy nhỏ thôi, liu riu thôi, không gây nên động đất đâu.
A kis herceg némi kis szomorúsággal kigyomlálta az utolsó majomkenyérfa-hajtásokat is.	Cậu hoàng tử cũng bứt những búp măng vừa nhú của các cây bao-bá, lòng hơi man mác.
Szentül hitte, hogy soha nem fog visszatérni többé.	Em đã ngỡ rồi đây không bao giờ về nữa.
S amikor utoljára öntözte meg a virágot, és be akarta borítani a burájával, egyszeriben sírhatnékja támadt.	Đến khi em tưới đóa hoa lần sau chót, sắp sửa cất kĩ nó trong bầu kính, em bắt gặp em muốn khóc.
- Isten veled - mondta a virágnak.	- Từ biệt, - em nói với hoa.
A virág azonban nem felelt.	Nhưng cô ả không đáp.
- Isten veled - ismételte.	- Từ biệt, - em lặp lại.
- Ostoba voltam - mondta végül a kis hercegnek.	- Em đã dại lắm, - sau cùng cô nói.
- Kérlek, ne haragudjál rám.	- Anh tha lỗi cho em.
Próbálj meg boldog lenni.	Chúc anh hạnh phúc.
A kis herceget meglepte, hogy nem kap semmiféle szemrehányást.	Cậu hoàng tử ngạc nhiên vì không thấy cô trách móc.
Tanácstalanul állt, kezében a burával.	Em đứng sững, tay cầm nguyên cái bầu kính.
Sehogy sem értette a virágnak ezt a kedves szelídségét.	Thái độ dịu dàng bình thản ấy của cô, em không hiểu được.
- Hát igen, szeretlek - mondta a virág.	- Có chứ, em có yêu anh chứ, - hoa nói với cậu hoàng tử.
- Te persze még csak nem is sejtetted, de ebben én vagyok a hibás.	Thế mà anh chẳng biết gì cả, ấy là lỗi tại em.
Próbálj meg boldog lenni... Hagyd békén azt a burát.	Thôi, anh hãy để yên cái bầu kính đó.
- De a szél...	- Thế gió nó...
- De az állatok...	- Còn bọn thú nữa...
- Két-három hernyót el kell tűrnöm, ha meg akarom ismerni a pillangókat.	- Em muốn biết bươm bướm là thế nào, em phải chịu đựng vài ba con sâu.
Meg aztán ki más látogatna meg?	Nếu không, rồi ai sẽ viếng thăm em?
Nekem is vannak karmaim.	Em có móng vuốt của em.
- Ne ácsorogj itt ilyen ügyefogyottan - tette hozzá.	- Anh chớ có chần chừ thế, khó chịu lắm.
- Idegesítő... Elhatároztad, hogy elmégy.	Anh đã quyết đi thì hãy đi đi.
- Hohó!	- Ôi!
Itt egy alattvaló!	Đây, một thần dân!
- kiáltott föl, amikor megpillantotta a kis herceget.	- Ông vua kêu lên thế khi nhác thấy cậu hoàng tử.
A kis herceg körülnézett, hová ülhetne le, de a bolygót mindenestül beborította a pompás hermelin palást.	Cậu hoàng tử đưa mắt tìm chỗ ngồi, nhưng cái áo choàng lông thú tuyệt đẹp choán hết chỗ của hành tinh.
Állva maradt hát, és mert fáradt volt, ásított egyet.	Thế nên em phải đứng, và nhọc quá, em ngáp một cái.
- Az etikett megtiltja, hogy a király jelenlétében ásítsanak - mondta az uralkodó.	- Đứng trước một bậc đế vương mà ngáp là không đúng lễ - vua phán.
- Megtiltom.	- Ta cấm ngươi ngáp.
- Nem bírom megállni ásítás nélkül - felelte a kis herceg zavartan.	- Chỉ là vì tôi không giữ được ạ, - cậu hoàng tử rất ngượng đáp lại.
- Nagy utat tettem meg, és nem aludtam...	- Tôi từ xa đến đây, chưa được ngủ...
- Akkor megparancsolom, hogy ásíts - mondta a király.	- Thế thì, - vua lại phán - ta ra lệnh cho ngươi ngáp.
- Hosszú esztendők óta senkit sem láttam ásítani.	Bao nhiêu năm nay, ta chưa được thấy ai ngáp.
Az ilyesmi ritka szórakozás nekem.	Ngáp đối với ta là trò hiếm đấy.
Tessék, ásíts még egyet!	Ngươi ngáp nữa đi.
Parancsolom.	Đó là lệnh ta.
- Csakhogy ettől lámpalázas lettem.	- Tôi mất tự nhiên rồi... không ngáp được nữa... - Cậu hoàng tử nói, mặt đỏ bừng.
Nem megy... - felelte a kis herceg, és elpirult.	- Lại thế!
- Hm... hm... - tűnődött a király.	- Vua đáp.
- Hát akkor... megparancsolom, hogy hol ásíts, hol meg...	- Thế thì... ta ra lệnh cho ngươi vừa ngáp vừa...
Dünnyögött valamit, szemlátomást feszengve.	Nhà vua nói hơi lắp và có vẻ phật ý.
Mert a király föltétlenül ragaszkodott hozzá, hogy tiszteljék a királyi tekintélyét.	Vì vua chú trọng nhất vào điều uy quyền của mình phải được tuân theo.
De mivel ugyanakkor jóságos is volt, értelmes parancsokat osztogatott.	Nhưng, vì ông ta nhát lắm, nên ông ta cũng ra những cái lệnh hợp tình hợp lí thôi.
Én lennék a hibás miatta."	Ấy là lỗi của ta".
- Leülhetek?	- Tôi ngồi được không ạ?
- kérdezte a kis herceg félénken.	- Cậu hoàng tử rụt rè hỏi.
- Parancsolom, hogy ülj le - felelte a király, és méltóságteljesen odébb húzta egy kicsit a hermelin palástja szegélyét.	- Ta lệnh cho ngươi ngồi - vua đáp lại, vừa kéo lại về phía chân mình một vạt áo lông thú.
Vajon min uralkodik akkor a király?	Thế thì ông vua trị vì cái gì?
- Fölség - mondta -, engedelmet kérek, de kérdeznék fölségedtől valamit...	- Thưa bệ hạ, - cậu nói - cúi xin bệ hạ tha tội cho tôi được hỏi...
- Parancsolom, hogy kérdezz tőlem valamit - mondta sietve a király.	- Ta lệnh cho ngươi hỏi - vua vội vàng nói.
- Fölséged... min uralkodik?	- Tâu bệ hạ, bệ hạ trị vì cái gì ?
- Mindenen?	- Muôn vật.
- Ezen mind?	- Tất cả muôn vật này?
- kérdezte a kis herceg.	- Cậu hoàng tử nói.
- Ezen mind - felelte a király.	- Tất cả muôn vật này... - Vua trả lời.
- És a csillagok engedelmeskednek fölségednek?	- Các ngôi sao, chúng nó tuân lệnh bệ hạ không ạ?
- Természetesen - mondta a király.	- Hẳn chứ - vua trả lời em.
- Azon nyomban.	- Chúng tuân ngay lập tức.
Semmi fegyelmezetlenséget nem tűrök.	Trẫm không dung tha sự bất tuân.
Ha neki ilyen hatalma lenne, napjában nem negy­vennégy naplementét láthatna, hanem hetvenkettőt, sőt százat vagy akár kétszázat is, és még csak odébb se kellene húznia a székét!	Nếu bản thân em mà có quyền lực ấy, em mặc sức chứng kiến, không phải bốn mươi bốn, mà bảy mươi hai, dễ đến một trăm, hai trăm cảnh mặt trời lặn trong một ngày, mà chẳng phải dịch ghế bao giờ hết.
S mivel egy kicsit szomorú volt, mert eszébe jutott az elhagyott bolygócskája, olyannyira nekibátorodott, hogy egy kegyet merészelt kérni a királytól:	Rồi em cảm thấy hơi buồn vì chợt nghĩ đến cái hành tinh nhỏ giờ vắng vẻ của mình, em đánh bạo xin nhà vua ân huệ:
- jelentette ki a kis herceg nagy határozottsággal.	- Muôn tâu, ở bệ hạ - cậu hoàng tử nói cả quyết.
- Látod.	- Đúng.
A tekintély legelső alapja az értelem - mondta a király.	- Uy quyền trước hết dựa trên lẽ phải.
- Ha népednek azt parancsolod, vesse magát a tengerbe: föllázad, forradalmat csinál.	Nếu nhà ngươi ra lệnh cho thần dân của mình nhảy xuống bể, cách mạng tất sẽ nổ ra.
Azért van jogom engedelmességet követelni, mert ésszerűek a parancsaim.	Ta có quyển buộc tuân lệnh ta vì mọi lệnh ta đều hợp lẽ.
- Akkor mi lesz a naplementémmel?	- Thế nhưng cảnh mặt trời lặn mà tôi xin bệ hạ ban cho ạ?
- firtatta a kis herceg, mert ha már föltett egy kérdést, többé nem tágított tőle.	- cậu hoàng tử vốn đã đặt ra câu hỏi gì thì không bao giờ quên, hỏi lại.
- Meg fogod kapni a naplementédet.	- Cảnh mặt trời lặn nhà ngươi xin, nhà ngươi sẽ có.
Követelem.	Ta muốn thế.
- És az mikor lesz?	- cậu hoàng tử hỏi.
- tudakolta a kis herceg.	- Để xem... để xem!
- Hm... hm... - felelte a király, és böngészni kezdett egy testes naptárban.	- nhà vua nói, thoạt tiên tra một cuốn lịch to tướng, để xem, để xem...!
- Hm... hm... mikor lesz... mikor lesz... ma este, hét óra negyven perc körül.	Vào lúc... vào lúc... chiểu nay, bảy giờ bốn mươi phút!
A kis herceg ásított.	Cậu hoàng tử ngáp.
Ráadásul egy kicsit unatkozott is már.	Và em cũng đã bắt đầu thấy chán:
- Nincs itt semmi dolgom többet - mondta a királynak.	- Tâu bệ hạ, tôi chẳng có việc gì ở đây nữa, xin bệ hạ cho tôi lại ra đi.
- Megyek tovább. - Ne menj!	- cậu nói với nhà vua.
- mondta a király, hiszen olyan büszke volt rá, hogy végre akadt egy alattvalója.	- Ngươi chớ đi - nhà vua vừa mới kiêu hãnh xiết bao vì có được một thần dân, đáp lời hoàng tử.
- Ne menj el, megteszlek miniszternek.	- Chớ đi, ta phong ngươi làm thượng thư!
- Milyen miniszternek?	- Tâu, thượng thư bộ gì ạ?
- Hát... igazságügyinek!	- Bộ... bộ tư pháp!
- De ha nincs, akinek igazságot szolgáltassak!	- Nhưng có ai để xét xử đâu ạ?
- Sosem lehet tudni - felelte a király.	- Chưa thể biết, - vua nói với cậu hoàng tử.
- Még nem jártam be a királyságomat.	- Ta chưa đi tuần tra khắp vương quốc của ta.
- Ó, hiszen már láttam!	- Lại thế!
- mondta a kis herceg, és előrehajolt, hogy egy pillantást vessen a bolygó túlsó felére.	Nhưng tôi đã nhìn thấy rõ - cậu hoàng tử nghiêng mình nhìn sang phía bên kia của hành tinh.
- Ott sincs senki.	- Bên kia cũng chẳng có ai đâu ạ...
- Hát akkor ítélkezzél saját magadon - mondta a király.	- Có hay không, tùy nhà ngươi xét.
- Ez a legnehezebb.	- Vua đáp lại em.
Ha sikerül helyesen ítélkezned saját magad fölött, az annak a jele, hogy valódi bölcs vagy.	Nếu ngươi xét được mình đúng đắn, thì ngươi là một bậc hiền nhân chân chính.
- Ahhoz nem kell itt laknom.	- Để xem!
- Azt hiszem, van itt valahol a bolygómon egy vén patkány.	- Hình như trên hành tinh của ta, đâu đó có một con chuột.
Hát ítélkezzél e fölött a vén patkány fölött.	Thỉnh thoảng ngươi nên ghép nó vào tội tử hình.
Időről időre halálra ítéled; élete így a te igazságszolgáltatásodtól függ majd.	Như thế, cuộc đời của nó sẽ tùy ở luật pháp của nhà ngươi.
- mondta a király.	- Không - vua nói.
A kis herceg azonban nekifogott az előkészületeknek, majd, mivel nem akart fájdalmat okozni az öreg uralkodónak, így szólt:	Nhưng cậu hoàng tử đã sửa soạn xong, không muốn làm phiền lòng vị vua già một chút nào hết:
- Ha fölségednek az a kívánsága, hogy pontosan engedelmeskedjenek a parancsainak, nekem is adhatna egy ésszerű parancsot.	- Nếu bệ hạ muốn được tuân theo một cách đúng đắn, bệ hạ hãy cho tôi một cái lệnh hợp lẽ.
Megparancsolhatná például, hogy egy percen belül keljek útra.	Ví dụ như lệnh phải ra đi ngay tức khắc.
A körülmények, úgy látom, kedvezőek...	Hình như mọi điều kiện đều thuận lợi...
A kis herceg először tétovázott, aztán egy sóhajtással mégis útra kelt.	Thoạt đầu cậu hoàng tử hơi do dự, rồi chợt thở dài, bắt đầu lên đường.
- Kinevezlek nagykövetemnek!	- Ta phong ngươi làm sứ giả của ta - nhà vua vội vàng kêu lên.
- kiáltott utána sietve a király.	- Ông ta có vẻ uy nghi lẫm liệt.
11.	XI
- kiáltotta már messziről, amikor megpillantotta a kis herceget.	- Ôi, kia, một kẻ khâm phục ta đến thăm ta!
- Meglátogat egy csodálóm!	- Từ xa nhìn thấy cậu hoàng tử, lão khoác lác đã kêu lên thế!
Mert aki hiú, annak az összes többi ember olybá tűnik, mint a csodálója.	Bởi vì, đối với kẻ khoác lác, ai cũng là người khâm phục mình.
- Jó napot! - mondta a kis herceg.	- Chào anh - cậu hoàng tử nói.
- Fura kalapja van uraságodnak.	- Anh có cái mũ ngộ quá.
- Arra való, hogy megemeljem - felelte a hiú.	- Đội cái mũ đó để chào mà - gã khoác lác trả lời.
- Hogy viszonozzam vele az ünneplést.	- Để chào khi người ta hoan hô tôi.
De sajnos, soha nem jár erre senki.	Không may, chẳng ai qua đây bao giờ cả.
- Úgy?	- Thế ư anh?
- kérdezte a kis herceg, és egy szót sem értett az egészből.	- cậu hoàng tử không hiểu, nói.
- Csapd össze a tenyeredet - javasolta neki a hiú.	- Bây giờ, chú em hãy vỗ tay này vào tay kia của chú xem - người khoác lác liền khuyên.
A kis herceg összeütötte a két tenyerét.	Cậu hoàng tử vỗ tay này vào tay kia của mình.
A hiú meg újra megemelte a kalapját.	Gã khoác lác lại chào bằng cách cất mũ.
Így ment ez öt percig; akkor a kis herceg elunta az egyhangú játékot.	Sau năm phút làm như thế, cậu hoàng tử chán cái trò chơi buồn tẻ ấy:
- Hát ahhoz mit kell csinálni, hogy a kalap leessék?	- Thế, muốn cho chiếc mũ nó rơi tuột xuống thì phải làm thế nào ạ?
- kérdezte.	- Em hỏi.
A hiú ezt egyszerűen elengedte a füle mellett.	Nhưng gã khoác lác không nghe thấy.
Aki hiú, az csak a dicséretet hallja meg, soha mást.	Những người khoác lác chỉ nghe được những lời khen.
- Valóban nagyon csodálsz engem?	- Chú em khâm phục ta nhiều thật chứ, hả chú em?
- kérdezte a kis hercegtől.	-gã hỏi cậu hoàng tử.
- Mit jelent az, hogy csodálni?	- Khâm phục nghĩa là thế nào?
- Csodálni annyit jelent, mint elismerni az illetőről, hogy széles e bolygón ő a legszebb, a legjobban öltözött, a leggazdagabb és a legokosabb.	- Khâm phục nghĩa là thừa nhận rằng ta là người đẹp nhất, ăn mặc sang nhất, giàu có nhất và thông minh nhất trên hành tinh.
- De hiszen te egyedül vagy a bolygódon!	- Nhưng trên hành tinh của anh, chỉ có mỗi anh cơ mà?
- Azért mégiscsak tedd meg!	- Hãy cho ta cái ta thích đó, chú em.
- Csodállak - mondta a kis herceg, és egy parányit megvonta a vállát.	- Tôi khâm phục anh - cậu hoàng tử vừa nói vừa hơi nhún hai vai.
- Csak azt nem értem, mire jó az neked!	- Nhưng anh có chịu biết là tôi khâm phục anh cái gì không?
12.	XII
- kérdezte tőle.	- Anh làm gì đây?
- Iszom - felelte gyászos képpel az iszákos.	- Ta uống rượu - người nát rượu nói, vẻ thiểu não.
- Miért iszol?	- Tại sao anh uống?
- kérdezte a kis herceg.	- Cậu hoàng tử hỏi anh ta.
- Hogy felejtsek - felelte az iszákos.	- Uống để quên - gã nát rượu trả lời.
- Mit?	- Quên cái gì ?
- tudakolta a kis herceg, mert máris megsajnálta.	- Cậu hoàng tử bắt đầu thấy thương, hỏi nữa.
- Azt, hogy szégyellem magam - felelte az iszákos és lehajtotta a fejét.	- Quên nỗi xấu hổ của ta - người nát rượu cúi đầu thú nhận.
- Miért szégyelled magad?	- Cậu hoàng tử muốn có thể giúp đỡ gã kia nên lại hỏi.
- kérdezte.	- Xấu hổ vì uống rượu!
- Mert iszom - vágta el a további beszélgetést az iszákos, és mélységes hallgatásba süllyedt.	- Gã nát rượu thôi không nói nữa, và lần này quyết định nhốt mình trong lặng thinh.
A kis herceg meghökkenve szedelőzködött.	Còn cậu hoàng tử thì ra đi, sửng sốt.
"Bizony, bizony - gondolta út közben -, a fölnőttek rettentően furcsák."	"Những người lớn nhất định là rất, rất kì quặc" cậu tự nói thầm trong khi đi.
13.	XIII
- Jó napot!	- Chào ông, - em nói.
- mondta a kis herceg. - Uraságodnak kialudt a cigarettája.	- Điếu thuốc lá của ông tắt ngấm rồi đấy.
- Három meg kettő, az öt.	- Ba với hai là năm.
Öt meg hét, az tizenkettő.	Năm với bảy mươi hai.
Tizenkettő meg három, az tizenöt.	Mười hai với ba là mười lăm.
Jó napot!	Chào em.
Tizenöt meg hét, az huszonkettő.	Mười lăm với bảy, hăm hai.
Huszonkettő meg hat, az huszonnyolc.	Hăm hai với sáu, hăm tám.
Huszonhat meg öt, az harmincegy.	Hăm sáu với năm, ba mươi mốt.
Tehát összesen ötszázegymillió-hatszázhuszonkétezer-hétszázharmincegy.	Thế là năm trăm linh một triệu sáu trăm năm hai nghìn bảy trăm ba mươi mốt.
- Ötszázmillió micsoda?	- Năm trăm triệu cái gì vậy?
- Mi az?	- Hử?
Ötszázmillió izé... már nem is tudom... Annyi dolgom van!	Năm trăm linh một triệu... ta cũng chẳng biết là triệu gì nữa.
Én komoly ember vagyok, én nem fecsérlem léhaságokra az időmet!	Ta đứng đắn, không đùa chơi với những trò nhảm nhí đâu!
Kettő meg öt, az hét...	Hai với năm, bảy...
- Ötszázmillió micsoda?	- Năm trăm linh một triệu cái gì?
- ismételte a kis herceg, mert ha egyszer egy kérdést föltett, nem tágított tőle többé.	- Cậu hoàng tử lặp lại, suốt đời cậu có bao giờ đã đặt một câu hỏi mà lại thôi không hỏi nữa đâu.
Az üzletember fölkapta a fejét.	Lão tư sản ngửng đấu lên:
- Ötvennégy éve lakom ezen a bolygón, de eddig még csak háromszor zavartak.	- Từ năm mươi bốn năm nay, ở trên cái hành tinh này, ta chỉ bị quấy rầy có ba lần.
Másodszor tizenegy esztendeje köszvényrohamot kaptam.	Lần thứ hai cách đây mười một năm, do một cơn sổ mũi.
Harmadszor pedig: most!	Ta đứng đắn, ta ấy!
Szóval azt mondtam, hogy ötszázegymillió...	Ta đang nói, năm trăm linh một triệu...
- Micsoda?	- Triệu gì?
Az üzletember látta: semmi reménye rá, hogy békén hagyják.	Lão tư sản biết không mong được để yên!
- Dehogy!	- Ruồi ư?
- Dehogy!	-Ông hử?
Én azonban komoly ember vagyok!	Ta là người đứng đắn, ta ấy!
Nekem nincs időm semmiféle ábrándozásra.	Ta không thì giờ đâu mà mơ màng.
- Ahá!	- Hiểu rồi.
- Az, az.	- Đúng đấy.
- És mit csinálsz azzal az ötszázmillió csillaggal?	- Thế ông làm gì với năm trăm triệu ngôi sao ấy?
- Ötszázegymillió-hatszázhuszonkétezer-hétszázharmincegy.	- Năm trăm linh một triệu sáu trăm năm mươi hai nghìn bảy trăm ba mươi mốt.
Komoly ember vagyok, szeretem a pontosságot.	Ta là người đứng đắn, ta ấy, ta rất chính xác!
- Mit csinálsz ezekkel a csillagokkal?	- Thế ông làm gì những ngôi sao ấy?
- Hogy mit csinálok velük?	- Ta làm gì à?
- Igen.	- Vâng.
- Semmit.	- Chẳng làm gì sất.
Birtoklom őket.	Ta có chúng thôi.
- Birtoklod a csillagokat?	- Ông có những ngôi sao ấy?
- Igen.	- Phải.
- Találkoztam egy királlyal, aki...	- Nhưng tôi có trông thấy một ông vua, ông ấy cũng...
- A királyok nem birtokolnak.	- Các ông vua không thể có.
A királyok "uralkodnak" valamin.	Các ông vua chỉ trị vì thôi.
- És mire jó neked, hogy birtoklod a csillagokat?	- Thế có những ngôi sao, việc ấy giúp gì cho ông nào?
- Arra, hogy gazdag legyek.	- Nó giúp ta giàu.
- És mire jó a gazdagságod?	- Giàu giúp ông được gì?
- Más csillagokat is megvenni, ha történetesen talál valaki.	- Mua những ngôi sao khác nếu có người tìm thấy nữa.
- Hogyan lehet birtokolni a csillagokat?	- Làm thế nào người ta có được những ngôi sao?
- Kinek a tulajdona?	- Chúng của ai nào?
- vágott vissza zsémbesen az üzletember.	- Lão tư sản bẳn tính vặn lại.
- Nem tudom.	- Không biết.
