Turgenyev	Ivan S.Turgenev.
Kérem, kedveljék meg egymást.	Tôi hy vọng tất cả sẽ là bạn tốt với nhau."
Annyira zavarba jöttem, hogy nem is köszöntem senkinek; doktor Lusinban ráismertem arra a barna arcú férfira, aki olyan kíméletlenül megszégyenített a kertben; a többieket nem ismertem.	Tôi bối rối đến nỗi không cúi chào một ai; tôi nhận ra Bác sĩ Lushin là người đàn ông da sậm đã không một chút thương xót làm tôi xấu hổ trong vườn hôm trước; những người còn lại tôi không biết.
- Gróf!	"Bá tước!"
- Ez nem igazság - felelte enyhe lengyeles akcentussal a gróf.	"Như vậy là không công bằng," bá tước phản đối, lơ lớ giọng Ba Lan.
Elegánsan öltözött, szép barna férfi volt, sötét szeme kifejező, fehér orra keskeny, vékony bajuszkát viselt kicsi szája felett.	Đó là một người tóc nâu, rất đẹp trai và ăn mặc hợp thời, có đôi mắt nâu diễn cảm, mũi nhỏ trắng và hàng ria mép mỏng trên cái miệng nhỏ.
- Ő nem játszott velünk zálogosdit.	"Ông đây chưa bao giờ chơi trò Nộp Phạt với chúng ta."
- Nem igazság - ismételte Belovzorov, s a szolgálaton kívüli kapitánynak mondott úr, egy negyvenéves, a rútságig himlőhelyes, arabosan göndör, hajlott hátú, görbe lábú, vállrojt nélküli, kigombolt katonazubbonyba öltözött férfi.	"Không công bằng," Byelovzorov phụ họa với người đàn ông được giới thiệu là đại úy hồi hưu; ông ta trạc bốn mươi tuổi, mặt rỗ chằng chịt, tóc quăn tít như người da đen, vai u vạm vỡ, chân vòng kiếng, áo khoác quân đội không có cầu vai, không cái nút.
- Írjon jegyet, ha mondom - ismételte a hercegkisasszony.	"Tôi bảo ông viết một vé cho cậu ấy," công chúa lập lại.
- Miféle zendülés ez!	"Sao lại nổi loạn thế?
Mszjő Voldemar most először van velünk, s a mai napon a törvény rá nem vonatkozik.	M'sieu Voldemar đến với chúng ta lần đầu tiên, và không cần áp dụng luật lệ nào với cậu ấy.
A gróf vállat vont, majd fejét alázatosan meghajtva, tollat fogott gyűrűkkel ékesített fehér kezébe, letépett egy darab papírt, s írni kezdett reá.	Bá tước nhún vai nhưng rồi ngoan ngoãn cúi đầu, những ngón tay đeo đấy nhẫn cầm lấy cây bút, xé một miếng giấy nhỏ và viết lên đó.
- De legalább tessék megengedni, hogy Voldemar úrnak megmagyarázzam, miről van szó - kezd­te csúfondáros hangon Lusin -, mert különben egészen elveszti a fejét.	"Ít nhất chúng ta cũng nên giải thích cho Mr. Voldemar biết," Lushin bắt đầu với giọng châm chọc, "nếu không, cậu ấy sẽ không hiểu gì Cậu có thấy là chúng tôi đang chơi trò Nộp Phạt?
Nézze, fiatal­ember, mi itt zálogosdit játszunk, a hercegkisasszony vállalta a büntetést, s az, aki a szerencsés jegyet kihúzza, jogot szerez arra, hogy megcsókolja a kezét.	công nương phải trả phạt, và người nào may mắn trúng số sẽ được vinh dự hôn tay nàng.
Megértette, mit mondtam?	Cậu hiểu tôi nói gì không ?"
Én csak néztem rá, s még mindig úgy álltam ott, mintha elkábultam volna, a hercegkisasszony pedig megint felugrott a székre, s elkezdte rázni a kalapot.	Tôi chỉ biết chòng chọc nhìn ông ta, và vẫn đứng im trong mê hoảng khi công chúa lại nhảy lên trên ghế, và lại vẫy vẫy cái nón.
- Majdanov - mondta a hercegkisasszony a magas, sovány arcú, apró és vaksi szemű fiatal­embernek, akinek feltűnően hosszú fekete haja volt -, magának, mint költőnek, nagylelkűnek kell lennie: engedje át a jegyét mszjő Voldemarnak, hogy egy helyett két chance-a legyen.	"Meidanov," công chúa nói với chàng thanh niên cao có gương mặt mỏng, đôi mắt nhỏ âm u, mái tóc đen dài thượt, "là một thi sĩ, lẽ ra ông phải hào hiệp tặng vé của ông cho M'sieu Voldemar để cậu ấy có gấp đôi cơ may."
De Majdanov tagadóan rázta a fejét, s meglengette a haját.	Nhưng Meidanov lắc đầu từ chối, hất mái tóc.
- Csók!	"Hôn!"
- kiáltottam fel önkéntelenül.	tôi không thể không kêu to.
- Bravó!	"Hoan hô!
nyert - csendült a hercegkisasszony hangja.	cậu đã trúng thưởng," công chúa nói nhanh.
- Hogy örülök!	"Tôi thích lắm!"
- Leszállt a székről, s olyan derűsen és édesen nézett a szemembe, hogy a szívem beleremegett.	Nàng bước xuống ghế và cho tôi một cái nhìn ngọt ngào làm tim tôi đập mạnh.
- És maga örül?	"Cậu có thích không?"
- kérdezte tőlem.	nàng hỏi tôi.
- Én?...	"Em hả?
- Adja el nekem a jegyét - csattant hirtelen Belovzorov hangja közvetlenül a fülem mellett.	"Bán vé của cậu cho tôi," Byelovzorov thình lình gầm gừ vào tai tôi.
- Adok érte száz rubelt.	"Tôi sẽ trả một trăm đồng."
Olyan méltatlankodó tekintettel feleltem a huszárnak, hogy Zinaida tapsolni kezdett, Lusin pedig felkiáltott: ez már legény a talpán!	Để trả lời, tôi nhìn chàng kỵ binh bực bội đến nỗi Zinaida vỗ tay, trong khi Lushin kêu, "Cậu ấy là một cậu bé ngoan."
- No, de nekem, mint szertartásmesternek, kötelességem vigyázni az összes szabály betartására.	"Nhưng, với tư cách là người điều khiển chương trình, " ông ta tiếp tục, "bổn phận của tôi là bảo đảm các luật lệ được thi hành.
Mszjő Voldemar ereszkedjék le fél térdre.	M'sieu Voldemar, quỳ một chân.
Nálunk ez a szabály.	Đó là quy luật."
Zinaida előttem állt, kissé oldalra billent fejjel, úgy látszik azért, hogy jobban figyelhessen engem, s nagy komolyan kinyújtotta a kezét.	Zinaida đứng trước tôi, đầu hơi nghiêng một bên như thể để nhìn tôi rõ hơn; trịnh trọng đưa một tay ra .
Elhomályosult a szemem, féltérdre akartam ereszkedni, de két térdre buktam - s olyan ügyetlenül érintettem meg Zinaida ujjait a számmal, hogy az orrom hegyét kissé megkarcolta a körme.	Mắt tôi mờ lệ; đáng lẽ chỉ quỳ một chân, tôi lại quỳ cả hai chân, và ép môi mình một cách vụng về lên những ngón tay của Zinaida khiến môi tôi bị sướt bởi đầu móng tay nhọn của nàng.
- Rendben van!	"Giỏi lắm!"
- kiáltotta Lusin, és segített a felállásban.	Lushin kêu, và giúp tôi đứng dậy.
A zálogosdi játékot folytatták.	Trò chơi Nộp Phạt lại tiếp tục.
Zinaida maga mellé ültetett.	Zinaida bắt tôi ngồi bên cạnh.
Milyen büntetéseket ki nem eszelt!	Nàng phát minh ra đủ trò Nộp Phạt xuất sắc!
Többek között "szobrot" kellett állnia - s a csúnya Nyirmackijt választotta talapzatnak, meg­parancsolta, hogy feküdjék hasra, s húzza maga alá fejét, a mellére.	Một trong những trò ấy là nàng giả làm "pho tượng"; nàng chọn Nirmatsy khủng khiếp làm bệ tượng, bảo ông ta uốn cong người, gập đầu vào ngực.
A nevetés egy pillanatig sem szűnt meg.	Không một giây phút nào thưa vắng tiếng cười.
Nekem, a józanul és társtalanul nevelt fiúnak, aki komoly nagyúri házban serdültem fel, ez az egész zaj és zsivaj, ez a szabados, majdnem szertelen jókedv, ez a szokatlan kapcsolat ismeretlen emberekkel, a fejembe szállt.	Đối với tôi, một đứa con trai lớn lên trong sự cô lập của một dinh thư uy nghi, tất cả những tiếng động xô bồ này, những niềm vui ngoài khuôn khổ gần như hỗn loạn này, các mối liên hệ với những người không quen này, làm tôi choáng váng.
Egyszerűen megrészegedtem tőle, mintha bort ittam volna.	Đầu óc tôi quay cuồng, như đang say rượu.
Zinaida továbbra is előnyben részesített, s nem engedett el maga mellől.	Zinaida tiếp tục tỏ ra ưa chuộng tôi, và cho tôi ở gần bên.
Egyik büntetés az volt, hogy mellette kellett ülnöm közös selyemkendővel leborítva: úgy kellett elmondanom a "titkomat".	Trong một trò chơi Nộp Phạt khác, tôi phải ngồi cạnh nàng, hai chúng tôi nấp dưới một chiếc khăn lụa: tôi phải nói cho nàng nghe điều bí mật của tôi.
Jól emlékszem, hogy került egyszerre egymás mellé a fejünk, a fülledt, illatos homályban, milyen közelről, s milyen gyengéden fénylett a szeme, s milyen forró lélegzet áradt nyitott ajkai közül, a foga is látszott, s hajszálai csiklandoztak és égettek.	Tôi nhớ hai mái đầu kề sát nhau trong bóng tối ấm áp, trong mờ, thoang thoảng hương, đôi mắt nàng long lanh, mờ ảo cận kề trong bóng tối, và hơi thở nóng bỏng từ đôi môi hé mở của nàng, và hàm răng sáng bóng và những đuôi tóc của nàng làm tôi nhột nhạt và phát cuồng.
Hallgattam.	Tôi nín thinh.
Beleuntunk a zálogosdiba - madzagosdit kezdtünk játszani.	Chúng tôi chán chơi trò Nộp Phạt -- chúng tôi bắt đầu trò chơi với dây.
Úristen!	Trời ơi!
milyen gyönyörűséget éreztem, mikor elbámészko­dásom miatt erős, éles ütést kaptam tőle az ujjaimra, s aztán hogy igyekeztem színlelni az elbámészkodást - de Zinaida, csak hogy bosszantson vele, nem érintette meg kinyújtott kezemet.	Tôi mừng rỡ biết bao khi, vì thiếu chú ý, tôi bị nàng đánh vào ngón tay, và sau đó tôi đã giả vờ đảng trí, và nàng chỉ trêu tôi mà không đụng đến bàn tay tôi chìa sẳn!
Mi mindent el nem követtünk ezen az estén!	Có trò gì mà chúng tôi chưa làm vào buổi tối hôm ấy!
Zongoráztunk is, daloltunk, táncoltunk, cigány­karavánt játszottunk.	Chúng tôi đàn dương cầm, hát và khiêu vũ và giả làm trại du mục gypsy.
Nyirmackijt felöltöztették medvének, s megitatták sós vízzel.	Nirmatsky cải trang thành con gấu, và bị uống nước muối.
Malevszkij gróf különböző kártyakunsztokat mutatott be, s befejezésül úgy keverte össze a kártyát, hogy whistjátékra az összes adut magának osztotta ki, amihez Lusinnak "volt szerencséje gratulálni".	Bá tước Malevsky trình diễn nhiều mánh lới với bộ bài tây, và kết thúc bằng cách, sau khi xào bài, đã phát cho mình tất cả những con bài chủ, nhờ thế Lushin có "vinh dự được chúc mừng."
Majdanov részleteket szavalt "A gyilkos" című elbeszélő költeményéből (benne voltunk még a romanticizmus fénykorában) - melyet vérszínű címbetűkkel szándékozott megjelentetni fekete fedőlapon; az Iveri-kaputól jött hivatalnoknak a térdéről ellopták a sapkát, s kényszerítették, hogy kozáktánccal váltsa ki; az öreg Vonyifatyijnak főkötőt tettek a fejére, a hercegkisasszony meg férfikalapot tett fel... Lehetetlen minden játékot felsorolni.	Meidanov đọc vài đoạn trong quyển thơ "The Manslayer" ( vào thời đó chủ nghĩa lãng mạn đang ở cao điểm), ông dự định sẽ in bìa đen với tựa đề bằng chữ màu đỏ như máu; chúng tôi dấu cái nón ông đặt trên đầu gối, bắt ông nhảy một bản nhạc Cossack để chuộc lại; chúng tôi bắt lão bộc Vonifaty đội nón đàn bà, và công chúa đội nón đàn ông... Tôi không thể kể đủ mọi thứ chúng tôi đã làm.
Csak Belovzorov húzódott vissza a sarokba, mogorván és haragosan... Néha vérben forgott a szeme, egészen elvörösödött, s már-már azt vártuk, hogy mindjárt reánk rohan, s szétszór minket, mint a pelyvát, de a hercegkisasszony ránézett, megfenyegette az ujjával, s megint visszabújt a szögletébe.	Chỉ một mình Byelovzorov càng lúc càng thu mình trong hậu trường, cầu nhầu và giận dữ...Có những lúc mắt ông nổi vằn gân máu đỏ, mặt tím phừng, và dường như lúc nào, ông cũng có thể nhào ra, đuổi chúng tôi chạy tứ tung; nhưng công chúa chỉ cần liếc mắt nhìn ông, và đưa một ngón tay lắc nhẹ, thế là ông ta lại rút vào cái góc riêng của mình.
Végre belefáradtunk.	Sau cùng chúng tôi cũng kiệt sức.
A hercegasszony is, bár, ahogy ő szokta mondani, izgő-mozgó nő volt - semmiféle kiabálás nem zavarta -, fáradtságot érzett, s szeretett volna lepihenni.	Ngay cả bà công chúa, mặc dầu không e sợ bất kỳ thứ gì, như đã tuyên bố, và không tiếng ồn nào làm phiền bà, cuối cùng cũng thấm mệt và muốn yên tỉnh.
Párás súllyal legyezte az éjszaka kigyulladt arcomat, mintha vihar közeledett volna; növekedő fekete felhők kúsztak fel az égre, szüntelenül változtatva füstszerű körvonalaikat.	Khí trời ban đêm nặng nề, ẩm thấp trên mặt tôi nóng hực; một cơn bảo dường như sắp tụ; mây đen lớn dần và từ từ bò lan trên bầu trời, những viền mây xám khói biến đổi rõ rệt.
A sötét fák között szellő nyugtalan­kodott, s valahol messze, túl a látóhatáron, tompán és haragosan morgott az ég.	Một cơn gió run rẫy không ngừng trong đám cây sẫm màu, và ở một nơi nào đó, tận phía chân trời, tiếng sấm nén ầm ì như đang giận dữ nói thầm.
A hátsó feljárón mentem fel szobámba.	Tôi đi lên phòng mình bằng cầu thang sau nhà.
Az öreg inas a padlón feküdt, s át kellett lépnem rajta; felébredt, meglátott, és jelentette, hogy anyám megint haragszik rám, s megint utánam akart küldeni, de apám lebeszélte róla.	Ông bỏ già ngủ trên sàn, tôi phải bước qua; ông tỉnh dậy, thấy tôi, và bảo tôi rằng mẹ tôi một lần nữa đã nổi giận, và muốn gọi tôi về, nhưng cha tôi ngăn lại.
(Sohasem feküdtem le úgy, hogy el ne köszönjek anyámtól, s áldását ne kérjem.)	( Tôi chưa bao giờ lên giường mà không chào mẹ tôi.
De mit tehettem!	Giờ thì đã muộn!)
Megmondtam az öregnek, hogy magam vetkőzöm le, s lefekszem: eloltottam a gyertyát.	Tôi nói với lão bộc là tôi sẽ tự thay quần áo và đi ngủ, và tôi thổi tắt nến.
De nem vetkőztem s nem feküdtem le.	Nhưng tôi không thay quần áo, và tôi không lên giường.
Leültem egy székre, és sokáig ültem ott megbabonázottan.	Tôi ngồi trên ghế, và ngồi thật lâu, như bị một lời nguyền.
Amit éreztem, olyan új és olyan édes volt... Alig nézve körül, s meg sem mozdulva, lassan lélegzettem, s időnként hol nevet­tem magamban visszaemlékezés közben, hol elhűltem a gondolatra, hogy szerelmes vagyok, hogy itt van, ez a szerelem.	Những gì tôi cảm thấy thật mới mẻ và ngọt ngào...Tôi ngồi im, không nhìn chung quanh và không cử động, thở rất chậm, và chỉ thỉnh thoảng cười lặng lẽ khi nhớ lại vài kỷ niệm, hay chợt lạnh người khi nghĩ rằng tôi đang yêu, rằng đó là nàng, rằng đó là tình yêu.
Zinaida arca ott lebegett előttem a homályban, ott lebegett s nem illant el; ajkai most is rejtélyesen mosolyogtak, kissé oldalról reám irányított tekintete kérdő volt, gyengéd és tűnődő... mint abban a pillanatban, mikor elváltam tőle.	Gương mặt Zinaida bềnh bồng trước mắt tôi trong bóng tối -- bềnh bồng, và không trôi đi; đôi môi nàng vẫn nở một nụ cười huyền hoặc, đôi mắt quan sát, nghiêng nghiêng với cái nhìn dò hỏi, mộng mơ, dịu dàng.. y như giây phút chia tay.
Nagy sokára észrevettem, hogy szakadatlanul megújuló, gyenge fény hull a szobámba... Felemelkedtem és kinéztem az ablakon.	Chẳng mấy chốc tôi để ý thấy một luồng ánh sáng yếu ớt nào đó tràn vào liên tục...Tôi ngồi dậy và nhìn ra cửa sổ.
Keresztfája élesen kivált a titokzatosan és homályosan derengő üvegtáblák között.	Có thể phân biệt rõ ràng khung cửa với các cánh cửa chiếu mờ mờ, huyền bí.
Pirkadni kezdett; bíborszínű foltokkal érkezett a hajnal.	Bình minh đang ló dạng; bầu trời ửng từng mảng đỏ tía.
A nap közeledtére egyre sápadtabbak és rövidebbek lettek a villámok, egyre ritkábban cikáztak s végre eltűntek: elárasztotta a beköszöntő nappal kijózanító, titoktalan fénye.	Khi mặt trời xích lại gần hơn, các tia chớp nhạt dần, và ngừng; các nguồn sáng run rẫy thưa dần và thưa dần, và sau cùng biến mất, chìm trong sự quang minh của một ngày mới...
Bennem is eltűntek a villámok.	Và cơn bão chớp của tôi cũng tan biến.
Nagy fáradtságot és nyugalmat éreztem... de Zinaida képe még mindig a lelkem előtt lebegett diadalmasan.	Tôi cảm thấy rã rời và an bình...nhưng hình bóng của Zinaida vẫn lung linh huy hoàng trong linh hồn tôi.
De ezt a képet most megnyugtatónak éreztem: mint a felszálló hattyú a mocsári füvektől, úgy vált el ez a kép az őt körülvevő többi rút alaktól, s én elalvófélben, utoljára is elébe borultam búcsúzó és bízó rajongással.	Nhưng cũng thế, hình bóng ấy, có vẽ an hòa hơn: giống như con thiên nga vươn lên từ đám lau sậy trong bùn lầy, nàng nổi bật so với những hình tượng xấu xí chung quanh, và khi chìm vào giấc ngủ, tôi phủ phục trước hình bóng của nàng, từ giả trong niềm yêu thương tin tưởng...
Ó, szelíd érzései, lágy hangjai, jósága és csillapodása a megbántott léleknek, olvadó öröme az első érzékeny szerelemnek - hol vagytok, merre vagytok?	Ôi, những tình cảm ngọt ngào, sự hài hòa êm ái, cái tốt đẹp và yên lành của con tim hiền dịu, niềm vui chứa chan trong cơn hạnh phúc mê ly đầu tiên của tình yêu, nay đã về đâu, về đâu?
8	Chương 8
Másnap reggel, mikor lementem reggelizni, anyuska megszidott - de nem is olyan nagyon, ahogy vártam -, s elmondatta velem, hogyan töltöttem a tegnap estét.	Sáng hôm sau, khi tôi xuống nhà dự buổi uống trà, mẹ tôi la rầy -- tuy không đến nỗi nghiêm trọng như tôi đã e ngại - và tôi phải tường trình buổi tối hôm qua.
Én röviden feleltem, sok részletet elhagytam, s igyekeztem az egésznek a legártatlanabb színt adni.	Tôi nói vắn tắt, lượt bỏ nhiều chi tiết, cố làm cho mọi thứ trở nên ngây thơ vô tội.
- Mégsem comme il faut emberek - jegyezte meg anyám -, s minek is járogatnál hozzájuk, ahelyett, hogy a vizsgádra készülnél, s foglalkoznál valamivel.	"Dù sao đi nữa, họ không phải là những người comme il faut," mẹ tôi phê bình, "và con không việc gì phải quanh quẩn ở nơi ấy, thay vào đó, con nên dành thì giờ chuẩn bị cho kỳ thi."
Mivel tudtam, hogy anyám törődése "foglalkozásom"-mal erre a néhány szóra korlátozódik, nem tartottam szükségesnek, hogy feleljek; de reggeli után apám karon fogott - lement velem a kertbe, s mindent elmondatott velem, amit Zaszekinéknál láttam.	Hiểu rõ câu nói trên của mẹ tôi chỉ vì bà lo lắng về chuyện học hành của mình, tôi thấy không cần thiết phải trả lời; nhưng khi buổi uống trà chấm dứt, cha tôi nắm cánh tay tôi, kéo vào vườn, bắt tôi kể tất cả những gì tôi đã chứng kiến ở nhà Zasyekin.
Különös befolyása volt apámnak reám - különös volt az egymáshoz való viszonyunk is.	Cha tôi có một ảnh hưởng kỳ lạ với tôi, mối liên hệ giữa chúng tôi cũng lạ lùng như thế.
Nevelésemmel szinte egyáltalában nem foglalkozott, de nem is bántott meg soha; tisztelte szabadságomat - sőt, ha lehet így mondani: udvarias volt hozzám... csak éppen nem engedett közel magához.	Cha tôi gần như không để tâm đến việc học của tôi, nhưng không bao giờ ông làm tôi buồn; ông tôn trọng tự do của tôi, ông đối xử với tôi -- nếu tôi được phép diễn tả như sau -- một cách lịch thiệp, ...chỉ có điều ông không bao giờ cho phép tôi thân cận.
Szerettem őt, csodáltam, a férfi mintaképét láttam benne - s istenem, milyen szenvedélyesen ragaszkodtam volna hozzá, ha állandóan nem éreztem volna elhárító kezét!	nều như tôi không luôn luôn ý thức rằng ông cố giữ một khoảng cách, có lẽ tôi đã cuồng nhiệt thương yêu ông biết là chừng nào!
Viszont, ha akarta, szinte szempillantás alatt, egyetlen szóval, egyetlen mozdulattal határtalan bizalmat tudott ébreszteni bennem maga iránt.	Nhưng nếu muốn, chỉ bằng một tiếng nói duy nhất, một cử chỉ đơn độc, cha tôi có thể gây ra một lòng tin vô hạn.
Olyankor lelkem kinyílt - úgy beszélgettem vele, mint egy bölcs jó baráttal, mint egy elnéző tanítóval... aztán hirtelen elszakadt tőlem - keze megint elhárító mozdulatot tett -, kedvesen és szelíden, de mégis elhárított.	Tâm hồn rộng mở, tôi sẽ kể lể đủ thứ với ông, như với một người bạn khôn lanh, một thấy giáo dễ mến... rồi bất thình lình cha tôi lại xua đuổi tôi, tách biệt, một cách nhẹ nhàng và trìu mến, nhưng dù sao đó vẫn là tách biệt.
Néha jókedve kerekedett, s olyankor úgy hancúrozott és bolondozott velem, mint egy gyermek (minden erősebb testmozgást szeretett); egyszer - de csak egyetlenegyszer!	Đôi khi cha tôi cao hứng, ông sẳn sàng nô đùa với tôi, như một đứa trẻ ( ông ưa chuộng những hoạt động thể chất mạnh bạo); có một lần - không bao giờ xảy ra lần thứ hai!
- olyan gyöngéden becézett, hogy majdnem sírva fakadtam... De a jókedve is, a gyengédsége is nyomtalanul eltűnt - s az, ami lejátszódott köztünk, semmi reménnyel sem biztatott a jövőre - olyan volt, mintha álmodtam volna.	-- ông dịu dàng mơn trớn khiến tôi sắp sửa rơi lệ.... Nhưng sự cao hứng, dịu dàng ấy tiêu tan trong phút chốc, và không còn lại gì cho tôi bồi đắp ở tương lai -- như thể tất cả chỉ là mơ.
Volt úgy, hogy elkezdtem nézni értelmes, szép, sugárzó arcát... szívem megremegett, egész lelkem feléje áradt... s mintha ő is érezte volna, mi megy végbe bennem, mellettem elhaladva megveregette az arcom - s vagy kiment, vagy foglalkozott valamivel, vagy egyszerre egészen kihűlt, ahogy csak ő tudott kihűlni, s akkor rögtön össze­zsugorodott a lelkem, s én is kihűltem.	Đôi khi tôi ngắm nghía khuôn mặt đẹp trai, đỉnh đạc của ông...trái tim tôi bồi hổi, tâm hồn tôi khao khát hiến dâng .... cha tôi dường như thấu hiểu điều đó, ông nhẹ nhàng vuốt má tôi, và bỏ đi, hay làm một việc gì khác, hay bất thình lình đông cứng băng giá theo kiểu chỉ có một mình ông biết, và tôi cũng lập tức co cụm, và cũng trở nên lạnh giá.
Hozzám való ritka érzelmi megnyilatkozásait sohasem az én néma, de megérthető kéréseim idézték elő: mindig váratlanul jöttek.	Những đợt thân thiện thoáng chốc của cha tôi không bao giờ gây ra bởi những van nài thầm lặng mà dễ hiểu của tôi: chúng luôn luôn xảy ra đột ngột.
Mikor később apám jellemén elgondolkoztam, arra a következtetésre jutottam, hogy nem érdekeltem sem én, sem a családi élet; valami mást szeretett, s ez a más megadta neki az élet örömét teljesen.	Về sau này, suy gẫm về tính cách của cha tôi, tôi kết luận, ông không hề chia sẽ tư tưởng của ông với tôi và cuộc sống gia đình; trái tim của ông đặt ở những đối tượng khác, ông tìm được sự hài lòng ở nơi khác.
"Vedd el magad, amit tudsz, de másnak meg ne hódolj; csak önmagadé légy - ebben van az élet egész tudománya" - mondta egyszer nekem.	Có một ngày, cha tôi bảo tôi rằng: "Hưởng những gì con có thể có, không cho ai điều khiển con; chỉ tùy thuộc vào chính bản thân -.- tất cả hương vị của cuộc đới là thế đấy," .
Máskor, mint fiatal demokrata, elkezdtem jelenlétében a szabadságról beszélni (azon a napon, ahogy nevezni szoktam, "jó" volt; olyankor bármiről lehetett vele beszélni.)	Lần khác, khi tôi, một thanh niên dân chủ, bắt đầu truyền tải quan điểm của mình về Tự Do ( cha tôi lúc đó thật " tử tế", như tôi thường mô tả, ngáy hôm đó; và vào những lúc tôi có thể trò chuyện với ông khi tôi muốn).
- Szabadság - ismételte a szót -, tudod-e, mi tud az embernek szabadságot adni?	"Tự Do," ông lập lại, "và con có biết cái gì đem lại tự do?"
- Az akarat, a saját akarata, s ez olyan hatalmat ad, mely különb a szabadságnál.	"Ý chí, ý chí của chính ta, và ý chí tạo nên sức mạnh, còn hữu hiệu hơn cả tự do.
Tudj akarni, és szabad leszel, s uralkodni fogsz.	Biết cách dùng ý chí, ta sẽ có tự do, và ta sẽ dẫn đầu."
Apám elsősorban s mindennél inkább élni akart; talán előre érezte, hogy nem lesz sok ideje az élet "tudomány"-át használni: meghalt negyvenkét éves korában.	Cha tôi, trước tiên, và trên hết, mãnh liệt muốn sống, và đã sống.... Có lẽ ông đã dự cảm rằng mình chẳng có nhiều thời giờ để thưởng thức "hương vị" cuộc đời: ông từ trần ở tuổi bốn mươi hai.
Részletesen elmondtam apámnak látogatásom történetét.	Tôi diễn tả tỉ mỉ buổi tối ở nhà gia đình Zasyekin.
Félig figyelmesen, félig szóra­kozottan hallgatott, míg ott ült a padon, s lovaglóostorának végével rajzolgatott a homokba.	Nửa phần chú tâm, nửa phần lơ đãng, cha tôi ngồi trên một chiếc ghế trong vườn, lắng nghe, dùng chiếc gậy vẽ bâng quơ trên cát.
Néha nevetett, s derűsen és mulatságosan nézett reám - s kötekedő rövid kérdéseket és ellenvetéseket tett.	Thỉnh thoảng cha tôi cười phá lên, nhìn tôi một cách ký quặc, và thúc đẩy câu chuyện của tôi bằng các câu hỏi hay câu khẳng định ngắn.
Én egy darabig el sem tudtam szánni magam arra, hogy kimondjam Zinaida nevét, de később nem állhattam meg, s dicsérni kezdtem.	Ban đẩu tôi không nhắc đến tên nàng, Zinaida, nhưng chẳng bao lâu không thể kềm chế được nữa, tôi bắt đầu ngợi ca nàng.
Emlékszem, hogy mikor kilépett a házból, parancsot adott: nyergeljék meg a lovát.	Tôi nhớ trước khi ra khỏi nhà, cha tôi có cho lệnh thắng ngựa.
Kitűnő lovas volt - s Rary urat jóval megelőzve, a legszilajabb lovat is meg tudta zabolázni.	Cha tôi là một kỵ mã đại tài, và lâu lắm trước Rarey, đã nắm giữ bí quyết làm thuần thục những con ngựa chứng hung hãn nhất.
- Kilovagolhatok veled én is, papa?	"Con sẽ đi với cha, thưa cha?"
- kérdeztem.	tôi hỏi.
- Nem - felelte, s a szokott egykedvűen kedves kifejezés jelent meg az arcán.	"Không," cha tôi trả lời, và vẽ lịch thiệp lãnh đạm thường lệ quay lại trên nét mặt.
- Menj magad­ban, ha kedved van; a kocsisnak pedig mondd meg, hogy nem kocsizom ki.	"Nếu thích, con cứ đi một mình; và nói với ông quản là cha không đi nữa."
Hátat fordított, és gyorsan elment.	Cha tôi quay lưng, bước thật nhanh.
Követtem szemmel - eltűnt a kapu mögött.	Tôi nhìn theo; ông biến mất đàng sau cánh cổng.
Láttam, hogy mozog a kalapja a kerítés mentén: Zaszekinékhoz ment.	Tôi thấy nón của cha tôi di chuyển dọc theo hàng rào; cha tôi đang đi đến nhà của gia đình Zasyekin.
Nem maradt ott tovább egy óránál, de nyomban azután a városba ment, s csak estére tért vissza.	Ông ở bên đó không quá một tiếng đồng hồ, nhưng lập tức ra phố, và không trở về nhà trước khi trời sụp tối.
Ebéd után magam is átmentem Zaszekinékhoz.	Sau bửa cơm chiều tôi qua nhà Zasyekin.
A fogadószobában egyedül volt az öreg herceg­né.	Tại phòng khách tôi chỉ gặp bà công chúa.
Mikor meglátott, megvakarta főkötője alatt a fejét kötőtűje végével, s hirtelen megkérdezte, nem tudnék neki egy kérvényt lemásolni.	Khi nhìn thấy tôi, bà dùng chiếc que đan len, gải gải bên dưới nón, và thình lình hỏi tôi nếu tôi có thể sao chép cho bà tờ thỉnh nguyện.
- Örömmel - feleltem, s leültem egy szék szélére.	"Tôi rất sẳn lòng," tôi trả lời, ngồi lên thành ghế.
- De ügyeljen, jó nagy betűkkel írja - mondta a hercegné, s átadott egy maszatos papiroslapot ‑, de nem lehetne még ma leírni, öcsém?	"Chỉ cần để ý, và viết chữ cho to lên," bà công chúa nói, đưa cho tôi một tờ giấy bẩn thỉu; "và có thể nào Cậu hoàn tất trong ngày hôm nay chăng?"
- Még ma lemásolom, kérem.	"Dĩ nhiên, cháu sẽ chép nó ngay hôm nay."
A szomszéd szoba ajtaja kissé kinyílt - s nyílásában megjelent Zinaida arca - sápadt és tűnődő volt az arca, haja hanyagul hátravetve; nagy, hideg szemmel nézett rám, és aztán csöndesen becsukta az ajtót.	Cánh cửa phòng kế bên mở ra, và qua khe cửa, tôi thấy gương mặt Zinaida, xanh xao tư lự, mái tóc xõa phóng túng trên lưng; nàng chăm chú nhìn tôi với đôi mắt mông mênh lạnh lẽo, rồi nhẹ nhàng khép cửa.
