ELSŐ RÉSZ	PHẦN THỨ NHẤT
- Micsoda zűrzavar!	— Thật là rắc rối!
- No és mit szól Chartres hercegéhez?	— Lại còn quận công De Chartres nữa !
- Égalité fia!10 Vajon mikor lesz belőle király?	Ái chà, bao giờ cái của nợ ấy lên ngôi?
- Meglátja, még trónra léphet.	— Hắn lên ngôi đấy.
Bűnei hozzásegítik.	Nhờ những tội ác mà lên.
- De paráznasága majd letaszítja - vágott vissza Boisberthelot.	— Nhưng lại do những thói hư tật xấu làm hỏng chuyện - Boisberthelot nói.
Elhallgattak. Később Boisberthelot folytatta:	Lại im lặng một lúc, rồi Boisberthelot tiếp:
- Pedig azután már szeretett volna kibékülni.	— Tuy thế, hắn vẫn định dàn hòa.
- Onnan.	— Vâng.
- Mi csak Borvirág-Bourbonnak hívtuk.	— Chúng tôi gọi hắn là giống Buốc-bùn .
- La Vieuville még hozzátette:	Rồi La Vieuville thêm:
- Együtt voltam vele Quessant-ban.	— Tôi đã ở với hắn ở Ouessant.
- A Saint-Esprit fedélzetén?	— Trên chiến thuyền Saint-Esprit?
- Ha engedelmeskedett volna d’Orvilliers admirális utasításainak, és a széllel tart, meggátolta volna az angolok átkelését.	— Lúc đó, nếu hắn tuân lệnh đô đốc D’Orvilliers bảo lựa theo chiều gió thì hắn đã chặn được bước tiến của quân Anh.
- Minden bizonnyal.	— Đúng thế.
De azért nem árt, ha ezt mondjuk róla.	Nhưng mà cũng phải nói thế.
La Vieuville elnevette magát.	Nói xong, La Vieuville phá ra cười.
Boisberthelot visszatért a régi témához:	Boisberthelot lại nói tiếp:
Meg akarta őket tanítani a sarkos lándzsatámadásra és a kitörés-döfésre.	Hắn định dạy chúng những miếng võ về phép đánh giáo đâm chếch và kéo rê.
Arról ábrándozott, hogy ezekből a vadakból sorkatonákat farag.	Hắn còn mơ ước biến bọn man rợ đó thành quân đội chính quy.
Azt hitte, megtanítja majd őket egy négyszögű hadrend sarkai­nak leválasztására, és arra is, hogy középen üres, előírásos zászlóaljakat formáljanak.	Hắn định dạy chúng cách tiêu hao bốn góc của thế trận hình vuông và thành lập những tiểu đoàn rỗng bụng.
Lefokozott egy tisztet, mert nem állt oda fedetlen fejjel, hogy meghallgassa a jelszót az őrmester szájából.	Hắn cách chức một sĩ quan vì người này không chịu đứng dậy và cất mũ đón khẩu lệnh do viên đội phát ra.
Elképzelheti, hogy mi sült ki az egészből.	Đấy ngài tính như thế mà thành sự được.
Ez az agyalágyult nem értette, hogy a paraszt azt akarja, hogy paraszt módra bánjanak vele, és hogy sose fog kaszárnyatölteléket nevelni az erdő fiából.	Thằng cha đần độn ấy không hiểu rằng bọn dân quê thì thích dạy dỗ theo kiểu nhà quê, chẳng bao giờ có thể đem bọn người rừng biến thành lính được.
Püh, de milyen jól ismertem ezt a Boulainvilliers-t!	Vâng, tôi đã được biết cái tên Boulainvilliers đó.
Majd újra beszélgetni kezdtek.	Rồi câu chuyện lại tiếp tục:
- Igaz is, hát megerősítették Dampierre11 halálhírét?	— À nhân thể, có thật ông Dampierre bị giết không nhỉ?
- Condé előtt esett el?	— Ở Condé à?
Boisberthelot felsóhajtott.	— Bá tước De Dampierre.
- felelte La Vieuville.	- La Vieuville nói.
- És a hölgyek hol vannak?	— Còn các phu nhân ?
- Triesztben.	— Ở Trieste.
- Még mindig?	— Vẫn ở đó?
La Vieuville most felkiáltott:	Rồi La Vieuville kêu lên. — A!
Ha az ember arra gondol, hogy ez az egész forradalom abból származott, hogy az államkasszának néhány millió deficitje volt.	Ai ngờ được, chỉ vì công quỹ hụt vài triệu đồng mà sinh ra cái nạn cách mạng này!
- Kutyául megy minden - válaszolta La Vieuville.	— Mọi việc hỏng bét - La Vieuville tiếp.
- Igen, La Rouaire meghalt, Du Dresnay meg hülye.	— Đúng. La Rouarie thì chết, Du Dresnay thì ngốc.
És micsoda szomorú vezérek a püspök urak: ez a Coucy, a La Rochelle-i püspök, vagy Beaupoil Saint-Aulaire, Poitiers püspöke, vagy Mercy, a luconi püspök, L’Eschaserie asszony szeretője!... - Akinek tulajdonképpen csak Servanteau a neve.	Còn các ngài giám mục nữa, những ông cầm đầu ấy thật đáng buồn, như cái ông Coucy, giám mục xứ La Rochelle, ông Beaupoil Saint-Aulaire, giám mục xứ Poitiers, ông Mercy, giám mục xứ Luçon, tình nhân của bà De L’Eschasserie!…
Talán tudja is, parancsnok úr, hogy L’Eschaserie-nek csak egyik birtoka után hívatja magát.	— Bà ta tên là Servanteau, ngài thừa biết L’Eschasserie là tên đất.
- No és az agrai püspök, akiről azt se tudni, hogy mint papnak hol az eklézsiája!	— Còn cái lão giám mục giả hiệu ở Agra, không hiểu lão là cha xứ địa phận nào.
Guillot de Folleville-nek hívják.	Lão tên là Guillot De Folleville.
La Vieuville hirtelen Boisberthelot-hoz fordult:	La Vieuville ngắt lời Boisberthelot:
- Igen.	- Có.
- Adčle és Paulin-t meg A barlang-ot.	— Vở Adèle và Paulin, và vở Sào huyệt.
- Szívesen megnézném mindkettőt.	— Muốn xem mấy vở ấy quá.
Egy hónapon belül Párizsban leszünk.	Nội một tháng nữa, chúng ta sẽ ở Paris…
Windham úr maga mondta Hood őlordságának.	Ngài Windham đã nói với ngài Hood như thế.
- Nos akkor, parancsnok úr, mégsem áll oly rosszul a szénánk?	— Thưa ngài, thế ra tình hình không đến nỗi xấu lắm à?
- Sőt, minden a lehető legjobban menne, ha valaki jól vezetné a bretagne-i háborút.	— Có thể tốt, với điều kiện phải chỉ huy cho khéo cuộc chiến tranh ở Bretagne.
La Vieuville a fejét ingatta.	La Vieuville gật đầu hỏi tiếp:
- Kapitány úr - szólalt meg újra -, partra tesszük a tengerészgyalogságot?	— Thưa thuyền trưởng, có cho đổ bộ đơn vị thủy quân lục chiến không?
- Ha a partvidék lakossága mellettünk van: igen; ha ellenségesen viselkedik: nem.	— Có, nếu trên bờ ủng hộ ta; không, nếu trên bờ chống lại ta.
Háborúban néha be kell törni a kaput, néha meg csak be kell surranni rajta.	Đôi khi phải đánh thọc vào cửa ngõ và đôi khi cũng phải luồn cho khéo.
A polgárháborúnak azonban még egy álkulcs is legyen mindig a zsebében.	Tiến hành nội chiến thì luôn luôn phải có nhiều mưu mẹo trong túi.
Meg fogunk tenni mindent, amit lehet.	Có thể làm gì thì làm nấy.
Ma a vezér kérdése a legfontosabb.	Cần nhất bây giờ là vị thủ lĩnh.
- Majd elgondolkozva hozzátette: - La Vieuville, mit gondolna ön Dieuzie lovagról?	— Ngài La Vieuville ạ, theo ý ngài thì kỵ sĩ Dieuzie như thế nào?
- Mint parancsnokról?	— Cho ra chỉ huy à?
- Hát akkor törődjék bele, hogy olyan generálisaink vannak, mint Stofflet és Cathelineau.	— Thế thì ngài đành phải dùng các tướng Stofflet và Cathelineau vậy.
La Vieuville néhány percre elrévedezett, majd megszólalt:	La Vieuville mơ màng một lúc rồi nói:
Tudja, hogy nálunk, aki "herceg"-et mond...	— Là nói đến phường nhút nhát.
De arra mégis jó volna, hogy elkápráztassa a parasztok buta szemét.	Nhưng có thế mới làm lóa được những con mắt ngu xuẩn.
- Hát akkor csak maradjanak.	— Không cần họ nữa.
Boisberthelot olyan erélyes mozdulattal nyomta homlokára a kezét, mintha valami ötletet akart volna belőle kiszorítani.	Boisberthelot như một cái máy, đưa tay bóp trán như muốn vắt ra một ý kiến.
Majd ezt mondta:	Rồi ông ta nói:
- Jól van, megpróbáljuk ezzel a generálissal.	— Thôi, hãy thử dùng cái ông tướng này.
- Mit gondol, meg tud felelni a feladatának?	— Được, miễn là lão ta có tài!
- Csak beváljon - mondta La Vieuville.	- La Vieuville nói.
- Azazhogy irgalmatlan legyen - egészítette ki Boisberthelot.	— Nghĩa là hung dữ - Boisberthelot nói.
A gróf és a lovag összenézett.	Bá tước và kỵ sĩ nhìn nhau.
- Boisberthelot úr, ön nevén nevezte a gyereket.	— Thưa bá tước, ngài dùng đúng chữ quá.
Ebben a háborúban nincs kegyelem.	Đúng, đó mới là cái ta đang cần.
A vezénylő generálisnak ma Kérlelhetetlen generálisnak kell lennie.	Đúng, viên tướng mà ta cần bây giờ phải là ông tướng tàn nhẫn.
A Marais-ban és Retz vidékén a vezérek kegyetlenek, és minden megy, mint a karikacsapás.	Ở Marais và Retz các tướng lĩnh rất tàn bạo, mọi việc đều chạy.
Charette csak azért tartja magát Pareinnel szemben, mert kegyetlen.	Chính vì Charette hung dữ nên mới đương đầu nổi với Parrein.
Boisberthelot-nak már nem volt ideje válaszolni.	Boisberthelot chưa kịp trả lời.
La Vieuville szavát hirtelen kétségbeesett kiáltás szakította meg.	Câu nói của La Vieuville bị cắt đột ngột vì một tiếng thét tuyệt vọng, rồi cùng lúc đó nổi lên một tiếng động khác hẳn mọi tiếng vẫn thường nghe.
IV	IV
Tormentum belli12	KHÍ CỤ CHIẾN TRANH
A tengeren ennél félelmetesebb esemény talán nem is történhetik.	Đây có lẽ là một biến cố đáng sợ nhất trên mặt biển.
Az ágyú, mely hirtelen letépi kötelékeit, valami természetfölötti állattá alakul át.	Một khẩu đại bác đứt dây buộc bỗng nhiên trở thành một con vật dị thường.
Olyan tömeggé, mely úgy gurul kerekein, mint egy golyó a biliárdasztalon; félre­csúszik, ahogy a hajó himbálózik, előrezúdul, ahogy a hajó bukdácsol, jön, megy, megáll, mintha gondolkoznék, újra nekiindul; mint a nyíl, száguld a fedélzet egyik végétől a másikig, megperdül, majd kitér, azután megszökik, felágaskodik, tör, zúz, öl, eltapos.	Cả cái khối nặng ấy lăn trên bánh xe, chuyển động như hòn bi trên bàn bi-da, nghiêng ngả theo nhịp chòng chành của con tàu, đi tới, đi lui, dừng lại, có vẻ ngẫm nghĩ, rồi lại chạy, lao như một mũi tên từ đầu tới cuối hầm tàu, nó xoay, nó tránh, nó lẩn, nó nổi xung, nó húc, nó làm sứt mẻ, nó đè chết, nó nghiền nát.
Faltörő kos ez, mely kénye-kedve szerint töri a bástyát.	Đây là một thứ chiến cụ thả sức phá một bức thành.
Mintha mindaz a gonoszság, mely a holt tárgyaknak nevezett eszközökben van, most hirtelen kitörne; mintha az anyag elvesztette volna türelmét, és valami sötét, érthetetlen elégtételt venne magának; nincs kérlelhetetlenebb, mint a lelketlen tárgy dühe.	Có thể nói vật nô lệ muôn đời ấy đang trả thù; hình như cái tính ác vốn có trong cái gọi là những vật vô tri đã đột ngột nổ bùng ra; có vẻ không nhịn nhục được nữa và phục thù một cách mù quáng, kỳ quặc; không còn gì ác liệt hơn là cơn giận dữ của những vật vô tri.
Ez a megvadult tömb úgy ugrik, mint a párduc, súlyos, mint az elefánt, fürge, mint az egér, konok, mint a fejsze, kiszámíthatatlan, mint a tenger, cikázik, mint a villám, süket, mint a sír.	Cái khối sắt điên rồ ấy nhảy chồm lên như con báo, nặng nề như con voi, nhanh nhẹn như con chuột nhắt, ngoan cố như rìu đẵn cây, bất ngờ như sóng biển, giành giật như ánh chớp và điếc như nấm mồ.
Tízezer font súlyú, és úgy pattan vissza, mint a gyerekek labdája.	Nó nặng hàng chục tấn nhưng lại nẩy bật đi như một quả bóng trẻ con chơi.
Megperdül tengelye körül, azután hirtelen derékszögben elfordul.	Những đợt xoay tròn đột ngột cắt thành những đường vuông góc.
Mi itt a tennivaló?	Làm gì bây giờ?
Hogyan lehet megfékezni?	Giải quyết thế nào?
A vihar megszűnik, a förgeteg elszáguld, a szél elül, a törött árbocot kicserélik, a léket betömik, a tüzet eloltják; de miként nyúljanak ehhez a fenye­gető bronzszörnyeteghez?	Bão có thể ngớt, lốc có thể qua, gió có thể ngừng, cột buồm gãy có thể thay, nước tràn qua lỗ thủng vào tàu có thể bịt lại, lửa cháy có thể dập tắt; nhưng cái vật vô tri bằng đồng đen kia rồi sẽ ra sao?
Ez a pusztító rém, ez az ágyú tulajdonképpen csak játékszer.	Cái vật tàn sát kia là một thứ đồ chơi.
A hajónak, a hullámoknak, a szeleknek játékszere; ez adja rettentő életét.	Con tàu, sóng biển, gió, tất cả đang dựng cho nó sống dậy.
Miképp lehetne megbirkózni ezzel a láncolattal?	Vì thế, cuộc sống của nó thật ghê sợ.
Miképp lehetne meggátolni a hajótörés e félelmetes mechanizmusát?	Có cách nào chống lại cả một thế dây chuyền như vậy?
Ki láthatná előre jövését, menését, hirtelen fordulásait, megállásait, visszatorpanását?	Làm thế nào cản lại cái khối khí cụ khổng lồ dẫn đến đám tàu này?
Ahányszor csak hozzáütődik a hajó bordái­hoz, mindannyiszor beszakítja őket.	Làm sao biết trước các chiều đi tới, đi lui, đứng lại, và va chạm của nó?
Olyan lövedék ez, mely gondolkozni látszik, melynek tervei vannak, és amely szinte pillanatonként megváltoztatja irányát.	Người ta đang chạm trán với một viên đạn biết thay đổi ý kiến, một viên đạn có vẻ biết suy nghĩ và chốc chốc lại đổi hướng đi.
Hogy lehet valamit megállítani, aminek útjából ki kell térnünk?	Làm sao có thể chặn đứng cái vật đáng lẽ ta phải tránh đi?
Ez a rémséges ágyú szinte csapkod maga körül, előreszalad, visszaugrik, jobbra üt, balra üt, elszáguld, nyugodtan odább megy, kijátszik minden figyelmet, összetör minden akadályt, és eltapossa az embereket, mint a férgeket.	Khẩu đại bác khủng khiếp vẫn lồng lộn, tiến, lui, quật bên phải, quật bên trái, lẩn tránh, vượt qua, nghiền nát những vật chướng ngại, đè bẹp con người như con ruồi.
Egy pillanat alatt az egész legénység talpon termett.	Trong khoảnh khắc, tất cả thủy thủ đều sẵn sàng.
A hibát az ágyú tűzmestere követte el, aki hanyagul szorította meg a fémláncok csavarját, és rosszul rögzítette az ágyú négy kerekét; ez azután lehetővé tette, hogy az ágyútalp és az egész ágyúkeret ide-oda mozogjon.	Lỗi này là do người phụ trách khẩu pháo đã không cẩn thận khi vặn ốc nối xích buộc súng và không chèn cẩn thận bốn bánh xe; vì thế đế và khung bị long ra, làm lệch hai cái đĩa rồi cuối cùng kéo đứt tung dây neo.
Az utolsó kötelék is elszakadt, az ágyú már nem állt szilárdan a talpain.	Đồ chèn pháo bị nát khiến khẩu pháo không nằm chắc trên giá nữa.
Az a szerkezet, amely meggátolta az ágyú visszafutását, még nem volt ismeretes ebben az időben.	Thời đó, lại chưa biết dùng loại neo cố định ở súng, giữ cho súng không giật lùi.
Mikor egy hatalmas hullám a zárt lőréshez csapódott, a rosszul megerősített ágyú hátraszaladt, eltépte láncát, és megkezdte rémítő futkározását a fedélközben.	Một đợt sóng ập tới đập vào mạn tàu, khẩu súng vốn buộc không kỹ, lùi lại làm đứt xích, rồi cứ thế lồng chạy khắp hầm tàu.
Abban a pillanatban, amikor a kötél elszakadt, a tüzérek az üteg körül tartózkodtak.	Lúc dây buộc bị đứt, tất cả pháo thủ vẫn ở dưới hầm pháo.
A hajóágyú, melyet a fregatt himbálózása hirtelen nekiindított, belerohant az egyik embercsoportba, négy matrózt azonnal agyonütött, majd mikor a hajó himbálózása megállította és visszalódította, szétlapított egy ötödik szerencsétlent, azután nekicsapódott az üteg egy másik lövegének, amely a bal oldali fal mellett állt, és azt is fellökte.	Khẩu pháo theo đà con tàu chòng chành, vụt xuyên qua khối người đó và nghiền nát ngay bốn người từ phát đầu, tiếp đó, lại theo đà con tàu chòng chành mà lăn trở lại nghiền đứt đôi một kẻ xấu số thứ năm và đập vào thành tàu bên trái, trúng một khẩu pháo khác làm cho khẩu đó bị tháo tung ra.
Az ütegfedélzet egy szempillantás alatt kiürült.	Trong nháy mắt cả hầm pháo vợi hẳn người.
A hatalmas ágyú egyedül maradt, mintegy kiszolgáltatva saját dühének.	Người ta bỏ mặc khẩu pháo đồ sộ ấy một mình.
Maga ura lett, és az egész hajó ura.	Tự nó cũng thả lỏng cho nó.
Azt tehette, amit akart.	Nó muốn làm gì thì làm.
Boisberthelot kapitány és La Vieuville hadnagy - mindketten merész katonák - ott álltak a lépcső legfelső fokán, és némán, sápadtan, tanácstalanul bámultak le a fedélközbe.	Thuyền trưởng Boisberthelot và phó thuyền trưởng La Vieuville, hai người tuy dũng cảm, cũng phải dừng lại trên đầu cầu thang, im lặng, tái người, ngập ngừng, nhìn xuống hầm tàu.
Valaki félretolta őket könyökével, és lement a lépcsőn.	Có ai đang lấy khuỷu tay rẽ họ ra và đi xuống.
Mikor leért a lépcső aljába, megállott.	Xuống đến bậc cuối cầu thang, lão dừng lại.
V	V
Vis et vir13	◄○►
Az ágyú ide-oda gördült a fedélközön.	Khẩu pháo vẫn lao qua lao lại trong hầm tàu.
Mintha az Apokalipszis megelevenedett szekere lett volna.	Có thể nói đó là chiếc xe của Apocalypse .
A hajólámpa, mely ott himbálózott a fedélköz nagy gerendája alatt, a fény és az árny bódító imbolygásával tetézve ezt a látomást.	Ngọn đèn đi biển lắc lư trong khoang hầm súng làm cho cảnh tượng đó lúc tối, lúc sáng, nhìn càng chóng mặt.
Heves rohanásában az ágyú körvonalai egészen elmosódtak, és hol feketén tűntek elő a fényben, hol pedig világos foltokat villogtattak a sötétségben.	Khẩu pháo lao nhanh dữ dội, không còn trông rõ hình thù nữa, chỉ thấy đen xì lúc nó lao ra ngoài sáng, và ánh lên màu trắng đục mờ khi nó lẩn vào trong bóng tối.
Közben az ágyú tovább folytatta a rombolást.	Khẩu pháo vẫn tiếp tục hủy hoại con tàu.
Egy ólomszemcse, melyet palackba zárnak, és összevissza ráznak, nem ütődhet esztelenebb módon és gyorsabban az üveg falához.	Bỏ một hạt chì vào trong chai rồi đem xóc lên cũng không có những tiếng đập điên loạn và dồn dập như thế.
A kapitány gyorsan visszanyerte hidegvérét.	Tiếng động khủng khiếp vang khắp con tàu.
Az ágyú percek alatt mindent foszlányokká tépett.	Nhưng những đống giẻ rách ấy làm nên trò gì?
Az talán fölfordította volna az ágyút, és ha ez négy kerekével az ég felé mered, akkor meg lehetett volna fékezni.	Một cơn bão đến đúng lúc ấy lại hóa hay; nó có thể lật khẩu pháo chổng bốn vó, và khi đó người ta mới chế ngự được nó.
Ezalatt a pusztulás egyre súlyosabbá vált.	Nhưng lúc này, cuộc tàn phá càng tăng thêm.
Már nemcsak horzsolások, hanem törések is voltak az árbocokon, amelyek a hajótönkbe ácsolva, a fedélzeteken keresztül, nagy kerek oszlopként nyúltak a magasba.	Cột buồm cũng bị sứt mẻ, bị gãy, vì gắn liền với sườn tàu và chạy suốt các tầng, làm thành những trụ tròn lớn.
Az üteg széthullott.	Khẩu đội pháo tan rã.
A harminc ágyú közül tíz hasznavehetetlen volt, a lékek a hajó oldalán egyre szaporodtak, és a korvettbe lassan beszivárgott a víz.	Trong số ba chục khẩu pháo, mười khẩu đã thành vô dụng; lỗ thủng bên mạn tàu ngày càng nhiều và nước đã bắt đầu tràn vào.
Az öreg utas, ott lenn a fedélközön, a lépcső alján úgy állott, mint valami kőember.	Người hành khách già bước xuống đến chân cầu thang đứng ngây ra như tượng đá.
Belépni az ütegfedélzetre teljes lehetetlen­ségnek látszott.	Hình như lão không thể bước được bước nào nữa vào hầm pháo.
Az elszabadult hajóágyú minden megmozdulása közelebb vitte a hajót a pusztuláshoz.	Mỗi một chuyển động của khẩu pháo thả lỏng càng đẩy thêm con tàu đến chỗ tan tành.
Választhattak: elpusztulnak, vagy tüstént gátat vetnek a rombolásnak; határozni kellett, de mit?	Hoặc là chết, hoặc là phải chặn đứng tai họa; phải chọn lấy một con đường, nhưng chọn đường nào?
Micsoda harcos ez az ágyú!	Khẩu pháo quả là vô địch!
Meg kellene állítani ezt a félelmetes őrültet!	Phải chặn ngay con vật điên rồ khủng khiếp ấy.
Torkon ragadni a villámcsapást!	Phải cột cái ánh chớp ấy lại.
Boisberthelot La Vieuville-hez fordult:	Boisberthelot hỏi La Vieuville:
- Hisz ön Istenben, lovag úr?	La Vieuville trả lời:
- Igen.	— Có.
- Igen.	— Có.
Különösen az ilyen pillanatokban, mint ez a mostani.	Và nhất là trong những giờ phút thế này.
- Mert már csak Isten menthet meg bennünket - mondta Boisberthelot.	— Quả chỉ còn Chúa mới có thể cứu chúng ta thoát nạn này - Boisberthelot nói.
Mindenki hallgatott és tétlenül nézte az ágyú rémséges dühöngését.	Mọi người lại nín lặng, mặc cho khẩu pháo hoành hành phá phách một cách ghê gợn.
Ekkor a megközelíthetetlen arénában, ahol az elszabadult ágyú tombolt, hirtelen egy ember jelent meg; egy vasrudat tartott kezében.	Bỗng nhiên, trong cái trường đấu không ai dám bén mảng ấy, nơi khẩu pháo tuột xích đang lồng lộn, một người xuất hiện, tay cầm chiếc gậy sắt.
Minthogy ő csinálta a bajt, vállalta, hogy jóváteszi, amit lehet.	Anh ta đã gây ra tai họa, anh ta muốn sửa chữa.
Egyik kezével egy emelőrudat markolt, a másikban egy hurokra fogott hatalmas kötelet, és így ugrott be a fedélközbe a felső nyíláson keresztül.	Một tay cầm gậy sắt, tay kia cầm dây thòng lọng, anh ta nhảy từ sân trên của con tàu xuống sàn dưới.
A férfi egy szögletbe húzódott - két markában az emelőrúd és a kötél -, hátát a hajódongának vetette; mint két acéloszlopon, olyan keményen állt a lábán, halálsápadtan, nyugodtan, tragi­kus fenséggel, mintha csak a padlóba gyökerezett volna; várakozott.	Anh ta đứng thu vào một góc, gậy và dây nắm trong tay, lưng tựa vào ván gỗ khoang tàu, chân vững như hai cột bằng thép, mặt xám xanh, bình tĩnh, ghê rợn, anh đứng chờ như mọc rễ trên sàn.
Arra várt, hogy az ágyú elszáguldjon előtte.	Anh ta đợi khẩu pháo xông tới gần anh.
Hányszor nyomta be kezét a kitátott torkába.	Biết bao lần, anh đã lùa tay vào mõm nó!
Megbarátkozott ezzel a szörnyeteggel.	Đây là con quái vật quen thuộc của anh.
- Gyere ide! - mondta neki.	— Lại đây - Anh ta bảo nó.
Talán szerelmes is volt belé.	Có lẽ anh ta cũng mến nó.
Kívánta, hogy az ágyú feléje tartson.	Hình như anh ta mong nó đến với anh.
Pedig ha feléje tart és ráront, akkor ő elveszett.	Nhưng nó tới chỗ anh ta có nghĩa là nó đè lên anh ta.
Mit tegyen, hogy az ágyú rá ne taposson?	Làm sao tránh cho khỏi bị nghiền nát?
Ez volt a kérdés.	Đó là vấn đề.
Mindenki őket nézte, kővé meredve.	Mọi người đều nhìn khiếp sợ.
Abban a percben, amikor a tüzér magára vállalta a rémséges mérkőzést, és harcba hívta az ágyút, a tenger ringása egy pillanatra megszűnt, mintha elcsodálkozott volna.	Đúng cái lúc anh pháo phủ nhảy vào khiêu khích khẩu pháo để chấp nhận cuộc vật lộn ghê sợ đó, tình cờ biển bớt chao động và khẩu pháo bỗng đứng lại một lúc như sửng sốt.
Az ágyú mintha csak megértette volna.	Khẩu pháo có vẻ nghe ngóng.
A tüzér elugrott előle.	Anh ta tránh thoát.
Egy még sohasem látott küzdelem.	Cuộc chiến đấu kỳ dị.
A törékeny készült megmérkőzni a sebezhetetlennel.	Cái mảnh khảnh vật lộn với xương sắt da đồng.
Az egyik oldalon volt az erő, a másikon a lélek.	Một bên là sức mạnh, một bên là linh hồn.
Különös dolog, de azt kell mondanunk, mintha ennek az ágyúnak lelke lett volna: gyűlölettel és dühvel teli lelke.	Một điều kỳ lạ là người ta tưởng như khẩu pháo cũng có một linh hồn, nhưng là một linh hồn căm thù và điên dại.
Mintha a vaknak szeme lett volna.	Cái vật đui mù đó như có mắt.
Szinte úgy látszott, hogy ez a rém figyeli, lesi az embert.	Con quái vật có vẻ đang rình con người.
Olyannak tűnt, mint valami hatalmas, vasból való rovar, melyben egy démon akarata lakozik.	Nó như một loại côn trùng khổng lồ bằng sắt, hoặc ra vẻ có cái quyết tâm của loài ma quỷ.
Ez az óriási szöcske néha a fedélköz alacsony mennyezetéhez csapódott, hogy aztán úgy essen vissza négy kerekére, mint a tigris a talpára, és ismét azonnal az ember után iramodjon.	Thỉnh thoảng con châu chấu khổng lồ ấy nhảy lên đụng vào cái trần thấp của hầm pháo rồi nó lại rơi xuống đứng trên bốn bánh xe như một con hổ đứng trên bốn vuốt, sau đó nó lao đi đuổi theo con người.
Került minden találkozást, de azok az ütések, amelyek elől elmenekült, mind a hajót érték, és folytatták a romboló munkát.	Anh ta tránh cuộc chạm trán, nhưng những đòn anh ta tránh được lại nện vào con tàu, làm cho con tàu hư hại thêm.
Egy törött vaslánc egyik darabja még mindig az ágyún lógott.	Một khúc dây xích đứt còn đeo vào khẩu pháo.
Ez a lánc rácsavarodott - ki tudja, hogyan - a zárószekrény gombjának csavarjára.	Không biết vì sao đoạn xích đó lại quấn vào cái vít ở nắp đáy súng.
A lánc nagyon megnehezítette az ember viadalát az ágyú ellen.	Dây xích ấy làm cho cuộc chiến đấu thêm phức tạp.
Sőt, voltak pillanatok, amikor ő támadt az ágyúra.	Tuy thế, người pháo thủ vẫn chiến đấu.
Az ember ijesztő elszántsággal követte.	Con người dữ tợn vẫn rượt theo.
De az ilyen ütközetek nem tarthatnak sokáig.	Những việc như thế không thể kéo dài mãi.
Hirtelen megállott.	Và nó dừng lại.
Ekkor mindenki úgy érezte, hogy elérkezett a végső pillanat.	Mọi người cảm thấy sắp tới lúc kết thúc.
Az ágyú mintha egy percre elgondolkozott volna (mert hiszen már eszes lénynek számított), azután borzasztót határozott.	Khẩu pháo hình như có hoặc có hẳn hoi, một ý đồ hung bạo; thực thế, vì ai cũng coi nó như một sinh vật.
Készen tar­totta emelőrúdját.	Anh ta cầm cây gậy sắt đứng thủ thế.
Az ágyú, mintha észrevette volna, még arra sem vesztegette az időt, hogy visszaforduljon: háttal, egy fejszecsapás hirtelenségével a férfira rontott.	Khẩu pháo hình như đã trông thấy và không cần quay lại nữa, nó nhảy lùi về phía anh pháo thủ nhanh như một nhát rìu bổ xuống.
Ez most a hajó­don­gának támaszkodott: elveszettnek látszott.	Anh này bị dồn sát mạn tàu, không hy vọng thoát khỏi.
Az egész legénység egyszerre, rémülten felkiáltott.	Tất cả thủy thủ trên tàu cùng kêu lên một tiếng.
Az öreg utas, aki eddig mozdulatlanul állott, most még ennél az eszeveszett sebességnél is gyorsabban előreugrott.	Nhưng lão hành khách từ trước vẫn đứng im, bỗng vụt lên nhanh hơn tất cả những tốc độ ghê rợn vừa diễn ra.
Fölragadott egy köteg hamis asszignátát,14 bár ő maga is abban a veszélyben forgott, hogy a kerekek eltapossák, ügyesen az ágyú elé dobta.	Lão vớ một bọc tín phiếu giả, và không kể đến thân mình có thể bị nghiền nát, lão đã vứt được cái bọc vào bánh xe của khẩu pháo.
Ezt a veszélyes és mindent elhatározó mozdulatot oly kiszámított pontossággal hajtotta végre, mint az olyan ember, aki tökéletesen ismeri a fogásokat, amelyeket Durosel ír le A hajóágyúk kezelése című munkájában.	Một người được luyện tập theo đúng phương pháp đã mô tả trong sách của De Durosel về cách sử dụng pháo trên mặt biển cũng không thể hành động cương quyết, bất chấp nguy hiểm và chính xác như thế.
Az ágyú botladozni kezdett.	Khẩu pháo lảo đảo.
Az ágyú megállott.	Khẩu pháo dừng lại.
Aztán kissé félrehajlott.	Nó nghiêng về một bên.
A férfi, ránehezedve rúdja végére, emelőmozdulattal megingatta.	Anh pháo thủ sử dụng thanh sắt như một đòn bẩy làm cho khẩu pháo chao đi.
A harc véget ért.	Thế là xong.
Az ember győzött.	Con người đã thắng.
A hangya úrrá lett az óriáson, a törpe foglyul ejtette a mennykövet.	Con kiến đánh gục con voi cổ đại: người chim chích đã tóm được ông sấm.
A katonák és a tengerészek tapsoltak.	Binh sĩ và thủy thủ vỗ tay hoan hô.
Az egész legénység vashuzalokkal és -láncokkal az ágyúra tört, és egy pillanat alatt lebéklyózta.	Mọi người xô vào mang theo dây cáp, xích sắt và trong chốc lát, khẩu pháo đã bị buộc chặt lại.
A tüzér meghajolt az utas előtt.	Anh pháo thủ chào vị hành khách già.
- Uram - mondta -, ön megmentette az életemet.	— Thưa ngài, ngài đã cứu sống tôi.
VI	VI
