ANTOINE DE SAINT-EXUPÉRY	Antoine de Saint-Exupéry
Végre elaludtál: öntudatod kihunyt, de mikor fölébredtél, újraszületett, újra hatalmába kerítette védtelen, elnyűtt, izzó testedet.	"Thiếu lương thực, anh biết đó, ngày thứ ba… tim máu tôi chẳng thể còn đập mạnh nữa… Và đây!
Mi más a test, mint hasznos eszköz, derék szolga?	Nó ngần ngừ như sắp ngất, nó đập thêm.
Te, Guillaumet, ennek a jó szerszámnak a büszkeségére is megtaláltad a szavakat.	Tôi không nhúc nhích nữa, tôi lắng nghe nhịp thở trong mình.
"Képzelheted, táplálék nélkül, háromnapi gyaloglás után... a szívem... bizony akadozott... Egy meredek sziklafalon másztam, a semmiség fölött függve, lyukakat vájva a kőbe, hogy megkapaszkodhassam... s akkor: kihagy a szívem.	Chưa bao giờ, anh biết đó, chưa bao giờ trên phi cơ tôi từng đã cảm thấy mình kết chặt vào động cơ nhiều như lần nọ tôi cảm thấy mình gắn chặt vào trái tim mình, trong vài phút, mật thiết vô song.
Nem moccanok többet, hallgatózom.	Quả là một trái tim làm bằng chất tốt!
Soha, érted, soha nem éreztem repülőgépen, hogy annyira függök a motoromtól, mint akkor, ebben a pár pillanatban, a szívemtől.	Nó do dự đôi chút, rồi đập trở lại như thường… Anh biết không, tôi tự hào vì trái tim tôi nhiều lắm!"
Gyerünk, - mondtam neki -, egy kicsit... Próbáld meg, verj még egy kicsit... De jófajta szív ez!	Trong căn phòng tại Mendoza bữa đó, tôi chăm sóc anh, cuối cùng anh ngủ một giấc mê man hổn hển.
Tétovázott, azután mindig újra nekiindult... Ha tudnád, milyen büszke voltam rá!..."	Tôi nghĩ thầm: nếu có người nói anh can đảm, thì anh sẽ nhún vai.
Végre mély álomba merültél a mendozai szobában, és én virrasztottam fölötted.	Và người ta vẫn cứ phụ anh hoài, nếu người ta ca ngợi anh khiêm tốn.
"Ha bátorságát emlegetnék - gondoltam -, Guillaumet vállat vonna." De az is árulás lenne, ha szerénységét dicsérnék.	Anh đứng xa vời biên kia, biệt lập hẳn cái đức tính từ tốn tầm thường nọ!
Tudja, ha az ember egyszer benne van az események sodrában, már nem ijed meg tőlük.	Anh biết rằng một khi sa vào vòng biến cố, con người bỗng nhiên hết sợ hãi.
Különösen, ha ezzel az éber komolysággal nézi.	Nhất là khi dò xét nó với sự trầm trọng sáng suốt kia.
Örömüket és fájdalmukat tartja kezében.	Anh cầm trong tay những vui buồn của họ.
Szégyellni az önmagában véve oktalannak látszó nyomorúságot.	Ấy là biết tủi thẹn trước những khốn cùng, khổ lụy, không do mình mà ra.
Ismertem egy fiatalembert, aki öngyilkos lett.	Tôi có biết một chàng trai đã tự sát.
Nem tudom, milyen szerelmi bánat késztette rá, hogy golyót röpítsen a szívébe.	Tôi chẳng biết cuộc tình duyên lỡ dở nào đã xui giục anh cẩn thận cho một viên đạn vào tim.
Olyan szép dolog ásni!	Thật là tuyệt!
A nehéz éjszakák örvényében annyiszor sóvárogtál ez után a sápadt fény után, mely úgy fakad föl keleten a fekete földből, mint egy csokornyi virág.	Từ đáy thâm u những đêm bay bất trắc, anh đã từng mong đợi màu hoa mộng mờ ảo hiện ra như chùm bông man mác, cái ánh lạ tuôn từ lòng đất tối, lên trào ngập cõi đông.
Éppolyan eszköz, mint az eke.	Một dụng cụ cũng như cái cày.
Voltaképpen még be sem rendezkedtünk ebben villamosított tájban, ebben az új házban, mely még föl sem épült egészen.	Quả thật chúng ta chỉ mới chớm khởi sự ngồi vào cư trú trong gian nhà mới mẻ, mà quả thật là chưa được xây dựng hoàn thành.
Hogy a mai világot megragadjuk, a tegnapi világ számára készült nyelvet használjuk.	Để lĩnh hội cõi sống ngày nay, chúng ta dùng một ngôn ngữ thiết lập vì cõi sống hôm qua.
A fejlődés minden egyes mozzanata egy lépéssel távolabbra visz alig megszerzett szokásainktól; valóban olyanok vagyunk, mint az emigránsok, akik még nem alapították meg új hazájukat.	Mỗi tiến bộ một ngày, mỗi đẩy xa chúng ta một chút, xa dời mãi những tập quán chúng ta vừa chớm bén quen hơi, và quả thật chúng ta làm những kẻ thiên di trên đất trích, chưa hoàn thành được cái tổ quốc chung.
A birodalmat alapító gyarmatos életének értelme az, hogy hódít.	Người quân nhân khinh thường kẻ thực dân.
Ugyanígy haladásunk elragadtatásában vasutakat, gyárakat építettünk petróleumkutakat fúrattunk az emberekkel; és közben mintha elfeledkeztünk volna róla, hogy mindezt azért csináltuk, hogy az embereket szolgáljuk.	Và thế đó, trong niềm phấn phát hứng thú trước những tiến triển của mình, chúng ta xô con người vào phục dịch công cuộc thiết lập đường rầy, cất cao nhà máy, khơi hầm đào mỏ, xẻ giếng dầu hôi.
Élővé kell tennünk ezt az új házat, amelynek még nincs arca.	Nhưng bây giờ, chúng ta phải đóng vai trò đúng điệu thực dân.
Minél jobban tökéletesedik a gép, annál inkább elhalványul szerepe mellett.	Ngôi nhà của chúng ta hẳn là lần hồi sẽ thân thiết với con người hơn.
A mérnökök, rajzolók, kísérleti kiszámítók munkája mintha nem is volna egyéb, mint hogy lecsiszoljanak, eltüntessenek, egyszerűvé tegyenek egy kapcsolást, egyensúlyba hozzanak egy szárnyat, hogy valósággal észrevehetetlenné váljék, hogy ne a gép törzséhez szerelt szárny legyen, hanem egy tökéletesen kibontakozott forma, rejtelmesen egymásba fonódó, természetes együttes - olyan, mint egy költemény.	Dường như mọi cố gắng kỹ nghệ của con người, mọi bài toán chi ly, những bao đêm dài thao thức chỉ nhằm tới một điều là đạt tới chỗ đơn sơ, như tuồng cần phải qua kinh nghiệm hằng hằng của nghìn nghìn thế hệ, mới có thể khơi dẫn dần dần đường cong cây cột, nét nhịp mạn tàu, thân liễu yếu phi cơ tròn xinh như thể… như thể một lần là cho tới tột cõi nguyên trinh mà trả về cho ban sơ cái đường cong đồi vú, cái đài các đôi vai.
Találékonyságunk tökéletessége így határos találékonyságunk hiányával.	Tuyệt hảo của phát minh cũng lăm le về chỗ quên mình là minh phát.
Figyelmünket most már nem köti le az eszköz.	Khí cụ ta dùng thân thuộc, đã mất hút lưu tâm.
A kormányok fémszervei, ahogy fokról fokra megkapja ezt az adományt, hatalma hírnökeivé válnak.	Nắm được tặng vật rồi, thì mọi bộ phận tay lái tự biến thành những sứ giả của quyền uy.
A REPÜLŐGÉP ÉS A FÖLD	TÀU BAY VÀ TRÁI ĐẤT
Ez az eszköz fölfedeztette velünk a föld igazi képét.	Khí cụ đó giúp ta khám phá khuôn mặt thật của địa cầu.
Összekötnek két szomszédos falut, mert legényeik s lányaik össze szoktak házasodni.	Đường giao nối làng này với xóm nọ, và trai gái hai miền gá nghĩa với nhau.
S ha akad, amelyik kalandosan nekivág egy sivatagnak, húsz kanyart is vet egymás után, hogy egy oázisnak örülhessen.	Chúng ta bị đường sá phỉnh phờ, cũng như bị độ lượng của từ tâm lừa dối.
A repülőgép megtanított az egyenes útra.	Với phi cơ, ta đi con đường thẳng.
Szabadok vagyunk, kedves szolgálataink nem köteleznek többé, nincs szükségünk forrásokra sem, távoli célunknak vesszük az irányt.	Từ nay thoát vòng cương tỏa êm ấm, không cần men tới những bờ giếng nước gần gũi như xưa, chúng ta nhắm thẳng tới những mục đích ở cuối trời.
Így változunk fizikusokká, biológusokká, míg a civilizációkat figyeljük, melyek a völgyek öbleit díszítik, s mint egy csodában, úgy bomlanak ki olykor, akár egy kert, ott, ahol kedvez a klíma.	Thế là chúng ta đã biến thành những nhà lý học hóa học, sinh vật học đi khảo sát những nền văn minh đang trang hoàng những góc mềm u cốc và đôi lúc bất ngờ gặp chỗ phong khí tốt, bỗng mở phơi lộng lẫy dị thường.
És így ragadjuk meg az embert a kozmosz hálózatában; úgy figyeljük hajónk ablakából, mint egy kísérlet műszerén át.	Thế là chúng ta từ đó đứng trên tầm vũ trụ thương khung, mà nghiên cứu con người qua tấm kính tròn như qua những dụng cụ khảo sát.
A pilóta, aki a Magellán-szoros felé halad, Rio Gallegostól nem messze délre régi lávaömlést repül át.	Nhằm phía eo bể Magellan, hơi xế một chút về phía Nam Rio Gallegos, người phi công bay ngang qua một vùng phún thạch cũ.
De távolabb a még régebbi vulkánok már aranyos fűből öltöttek ruhát.	Xa hơn nữa, có nhiều núi lửa xưa hơn đã bắt đầu phủ cỏ vàng óng.
Az alkonyszínű fényben a síkság fényűzőnek tűnik, mint egy park, kurta fű nő rajta, s csak alig vet gyűrűt az óriási torkok körül.	Dưới màu ánh sáng man mác như tà dương, dải đất bằng nhuốm vẻ xinh tươi, một lớp cỏ thấp phủ đều, trông như một mảnh vườn có bàn tay chăm sóc.
Nyúl kapar gödröt magának, madár rebben: az élet birtokába vett egy új planétát, melyen a föld áldásos anyaga végre rárakódott a csillag testére.	Một con thỏ vụt chạy, một con chim vỗ cánh, sự sống đã chiếm cứ một giải tinh cầu mới, vì đất ngọt đã bám vào.
Végül, Punta Arenas előtt, feltűnnek az utolsó kráterek.	Lúc sắp rời Punta Arenas, các miệng lửa cuối cùng hầu đã được lấp cạn.
A pázsit eltünteti a dombok éléről a komor jeleket.	Cỏ tơ non mọc ở mép đồi, đã xóa nhòa những âm u vết tích.
Szelíd este volt, amikor leszálltam.	Tôi hạ cánh giữa tịch mịch chiều vàng.
Punta Arenas!	Punta Arenas!
- és most még mélyebben érzem az ember misztériumát.	Phần tinh anh còn cách biệt nhau nghìn trùng.
A világban, hol élethez oly közel az élet, hol virág már a szél ölén rálel a virágra, s egy hattyú minden hattyúnak ismerőse - egyedül az ember építi egyre magányát.	Một giấc mộng "đầu hoa ngang ngửa thắm" của gái xuân, càng chia xa nường biệt lập, tôi biết làm sao mà tìm cái lối vào trong nẻo đó, ở trong kia?
Mit tudsz a fiatal lányról, aki lassú léptekkel tér haza, szeme lesütve, mosolyog magában, s szíve tele képzelgéssel, gyönyörű hazugsággal!	Từ đó về sau, đối với em, chỉ riêng chàng là hoàng tử chí tôn, ngoài chàng ra, người người trong thiên hạ thảy thảy lưu manh man dại côn đồ?
Tegnap született csak, tűzhányókból, pázsitból vagy a tenger sós tajtékjából, s most itt áll előtted, félig már megistenülten.	Sinh ra từ giữa lòng núi lửa, từ giữa lòng thảo hoa, từ giữa chất muối trùng khơi thổi mặn, mới đó hôm qua, nay em đã thành Tiên Nữ.
Punta Arenas!	Punta Arenas!
Egy szökőkútnak támaszkodom.	Tôi tựa lưng vào bờ giếng.
Egy gyerek sír csöndesen a falnak dőlve, emlékezetemben nem marad belőle más: egy szép gyerek, szép és örökre vigasztalhatatlan.	Ngày mai trong kỷ niệm của tôi, sẽ chỉ còn ghi riêng hình ảnh một đứa bé lạc loài, sầu khổ không nguôi.
Még ki sem hűlt láván élnek, fölöttük a jövendő sivatag meg a hó fenyegetése - honnan veszik hát az emberek az öröklétnek ezt az ízét?	Những yêu thương, những ganh ghét, những niềm vui của con người cả một tấn tuồng rộng lớn đó diễn ra trong khung cảnh bé bỏng xiết bao.
Műveltségeik: törékeny aranyozás, letörli egy vulkán, egy új tenger, egy homokvihar.	Từ đâu con người khơi dẫn được về cho mình nguồn khát vọng vô biên.
Elfelejtjük, hogy az élet itt is, mint mindenütt, fényűzés, s hogy az ember lába alatt soha sehol nem elég vastag a föld.	Nền văn minh của họ chỉ là một lớp vàng mạ mỏng manh: Hỏa Sơn sẽ xóa, sẽ bôi.
A töretlen tükör, mozdulatlan fölszín, vízen korhadó egyetlen ladik alatt a hold hatalma uralkodik.	Những điều đó được minh chứng rõ rệt do một cái hồ tôi gặp được ở cách thành Punta Arenas vài ba dặm đường.
A város ölén, ahol otthon érzi magát az ember, s amely biztosan áll az emberek földjén, ebben a száz méter széles pocsolyában a tenger érverése lüktet.	Cái hồ kia rộng không quá trăm thước, nằm ở ngưỡng cửa lối đi vào thành phố thiên hạ sống rất bình an vững chãi trong cõi đất con người.
Hála a repülőgépnek, időről időre megmutatja eredetét: egy tó kapcsolata a holddal titkos rokonságokat tár föl - de láttam más ilyen jeleket is.	Lâu lâu, nhờ chiếc phi cơ vạch nẻo, tinh cầu bỗng phơi mở ngọn nguồn mình: một cái hồ âm thầm liên lạc với mặt trăng đã biểu lộ những tương quan ẩn kín.
A homok csalékony: szilárdnak hiszed, és elmerülsz benne.	Lớp muối vỡ tan, mở rộng một giãi bùn đen hôi hám.
A fennsík színén még külön-külön hevertek, de ahogy leereszkedett az ember egy-egy gerincen, látta, amint egyre sűrűsödnek, összetapadnak.	Nhưng khắp bốn mặt đều là những bức tường thẳng tắp đổ xuống hố thẳm, không một lối nào khả dĩ cho phép thoát thân.
A legrégibb tömbben, a tömeg aljában már tiszta mészkövet alkottak.	Tuy nhiên trước khi cất cánh bay tìm chốn khác, tôi còn nấn ná dò hỏi nơi đây.
Reine és Serre fogsága idején - ez a két bajtársunk a lázadók keze közé került - egy alkalommal leszálltam az egyik ilyen platón, egy mór követet vittem, s mielőtt ott hagytam volna, utat kerestünk, amelyen leereszkedhetik.	Tôi cảm thấy trong mình một niềm vui – thơ ngây có lẽ - một niềm thích thú được dịp ngẫu nhĩ ghi dấu chân mình tại một mảnh đất mà có lẽ từ thiên cổ tới nay, người cũng như vật, chưa bao giờ xâm nhập tới.
A fennsík azonban minden oldalon merőleges sziklafalban végződött; ezek a hullámos, drapériaszerű sziklafalak meredeken zuhantak a mélységbe.	Không một người Maure người mọi nào có thể vượt tới gần cái chỗ doanh trại hoang liêu này mà mở cuộc tấn công.
Mielőtt fölszálltam volna, hogy másutt alkalmasabb terepet találjak, időztem még egy keveset itt.	Tôi bước đi trên một thứ cát tuyệt vời hoang vắng, tuyệt diệu hoang trinh.
Egyetlen mór se vállalkozhatott volna ennek az erődnek a megostromlására.	Vâng, tôi là kẻ đầu tiên tới phá vỡ cõi tịch mịch này.
Soha európai nem kutatta ki ezt a területet.	Một ngôi sao mọc, tôi liếc mắt lên.
Fejem fölött kigyulladt egy csillag - és én tűnődtem.	Tôi nằm đè thân trên lớp vỏ hến dày ba trăm thước.
Arra gondoltam: ez a fehér felszín száz-ezer esztendők óta egyedül a csillagoknak állt nyitva.	Toàn khối khổng lồ ấy tuyệt đối chống lại sự hiện hữu vô tình vô lý của viên sỏi kia.
Kifeszített szeplőtlen abrosz a tiszta ég alatt, s hirtelen megdobbant a szívem, mint egy nagy fölfedezés pillanatában, amikor ezen a terítőn, tizenöt vagy húsz lépésre tőlem, megpillantottam egy fekete kavicsot.	Tim phập phồng như đứt chỉ xổ tung, tôi đưa tay nhặt của quý: một viên sỏi đen, rắn chắc, to bằng ngón tay, nặng như kim khí, tạc hình tượng một giọt lệ long lanh.
Ez a roppant tömb, mint döntő bizonyíték, mondott ellene annak, hogy itt kő lehessen.	Một tấm thảm trải dưới một gốc táo, chỉ đón những trái táo.
Szívdobogva vettem föl hát, amit találtam: kemény, fekete, ökölnyi cseppformájú kavics volt, nehéz, mint az érc.	Chưa bao giờ một tinh thạch chỉ dẫn rõ được cội nguồn mình một cách tuyệt đối hiển nhiên như thế.
Egy almafa alá terített abroszra csak alma hullhat, egy csillagok alá terített abroszra csak csillagok pora: soha meteor eredete világosabb nem volt.	Và hồn nhiên mắt mở nhìn trời, tôi nghĩ rằng từ ngọn táo thanh thiên kia, tất còn nhiều quả rụng.
Mert más anyaggal nem vegyülnek el.	Giả thuyết đúng thật.
Körülbelül hektáronként találtam egy követ.	Viên nào cũng mang hình đá lửa nguội.
Mind ugyanolyan fagyott lávacsepp, ugyanaz a kemény, fekete gyémánt.	Viên nào cũng lóng lánh rắn chắc như huyền kim.
És eszembe jut egy álom...	Và tôi nhớ lại một cơn mơ.
Egy alkalommal vastag homokkal fedett vidéken szenvedtem hajótörést; vártam a hajnalt.	Một lần đó, rơi cánh trên một vùng cát dày, tôi chờ trời sáng.
Az aranyszínű dombok villódzó lejtőin ragyogott a hold, és homályos lankák nyúltak föl egészen odáig, ahol a fény kezdődött, Árny és hold e puszta ösvényén a munkaszünetek csöndje honolt - és a kelepcék csöndje is.	Khung cảnh hoang liêu nửa mờ nửa tỏ, vừa yên lành như trong giờ nghỉ việc, vừa câm nín như một cạm bẫy khôn lường, tôi nằm tròn ở giữa lòng cảnh vật, ngủ thiu thiu.
Az első pillanatban föl sem fogtam a roppant távolságot, szédültem, nem volt egy gyökér, melyben megkapaszkodhattam volna, nem volt egy háztető, egy faág köztem s a nagy mélység között; már eloldódtam, zuhantam, mint aki alámerül...	Chưa kịp hiểu ra những vực sâu đó là gì, tôi choáng váng tưởng mình sắp rơi tòm vào trong đó, không một chiếc rễ cây để bám, không một cành lá để bu, không một mái nhà để bấu.
De nem hullottam le.	Nhưng tôi không rơi.
A nehézkedés törvénye szuverénnek tűnt, akár a szerelem.	Tôi khoan khoái yên tâm phó thác sức nặng thân mình cho đất giữ.
Éreztem, a föld támaszt ad csontjaim alá, fönntart, fölemel, tovavisz az éjszakai térben.	Và cảm thấy sức hút của tình đất tuyệt vời tối thượng như tình yêu.
Oly erősen éreztem, hogy tovavisznek, hogy az sem lepett volna meg, ha meghallom a föld mélyéből a pattanásig feszült anyag panaszát, a zátonyra futó öreg hajók nyögését, az összeütődő vitorlások hosszú, éles sikolyát.	Tôi nhận thấy quả thật mình được gắn liền vào trái đất do một sức mạnh thu hút giống như một sức mạnh gắn liền ta vào chiếc xe, ở những đoạn đường quanh, xe lái quẹo.
De végig csönd volt a földön, a földben.	Tôi khoan khoái trong nhịp kề vai góp vú, đất ôi!
Az érzés azonban ott bujkált lágyan, kitartóan, örökkévalóan a vállaimban.	người chung tình đúc ái, người vững bền đem ổn định tình yêu, yên lành là thế đó.
Nyugodtan pihentem ott, mint holt gályarabok ólomnehezékes teste a tenger fenekén.	Ta cảm thấy dưới thân mình cái boong tàu cong phồng của con thuyền đưa ta vào viễn du trong cõi.
Nem voltam egyéb: csillagok és homok közt eltévedt halandó, akinek egyetlen öröme van: az, hogy lélegzik.	Nhưng cái sức hút kề vai kia đã biểu lộ thâm tình, dặt dìu, bền bỉ, trung thành sau trước, từ vạn đại tới trăm năm.
Nem volt ebben se hang, se kép.	Còn chi nữa, nơi đây.
Azután megértettem; hunyt szemmel adtam át magam az emlékezés varázslatának.	Chỉ riêng còn ý thức được niềm êm dịu thở mà thôi.
Valahol van egy park, tele feketefenyővel, hárssal, és egy kedves, öreg ház.	Ấy thế tuy nhiên, tôi bắt gặp mình tràn đầy cơn mộng.
Nem érdekelt, közel van-e vagy távol, hogy nem melegítheti föl testemet, nem nyújthat menedéket, hogy most csak álom: elég volt, hogy van, és betölti jelenlétével ezt az éjszakát.	Những cơn mộng về không tiếng động, êm như nước suối xuôi miền, và thoạt tiên, tôi chưa hiểu cái niềm lâng lâng đương xâm nhập.
Nem voltam többé hajótörött test egy homokos parton; tájékozódtam, a régi ház gyermeke lettem, megteltem illatai emlékével, szobái hűségével, hangjaival.	Không tiếng, không lời, không hình ảnh, chỉ duy nhất là mối thâm cảm một hiện diện, một tình bằng hữu rất gần gũi đâu đây, và được linh cảm đoán ra nửa phần đâu đó.
Nem, már nem lebegtem homok és csillagok között.	Ngôi nhà ở gần hay ở xa, điều đó không cần yếu.
Attól a díszlettől, amely körülvett, már nem kaptam mást, mint egy hideg üzenetet.	Ngôi nhà không thể che ấm thân tôi, không còn cho tôi trọ nữa, điều đó cũng không can hệ gì.
Hófehérre mosott fehérnemű tornyosodott bennük.	Không, tôi không còn nằm giữa cát và sao.
Tartozom neked ezzel a pár sorral Amikor első útjaimból hazatértem, kisasszony, ott találtalak tűvel a kezedben, térdig beborítva szent fehér ruháiddal, évről évre ráncosabban, amint fáradhatatlanul készíted a sima lepedőket álmainkhoz, az asztalterítőket étkezéseinkhez, ezekhez a fényes, kristályos ünnepekhez.	Người U già tấp tểnh nhảy như một con chuột non, từ tủ này qua tủ khác, hai tay không ngớt soát tìm, tung ra, xếp lại, đếm từng tấm chăn trắng và kêu: "Trời ơi, chết mất", mỗi khi có chỗ mòn rách làm tổn thương cho sự trường tồn của căn nhà.
Meglátogattalak fehérneműid között, leültem veled szemben, beszéltem az életemet fenyegető veszedelmekről, hogy meghassalak, megnyissam szemed előtt a világot, elrontsalak.	Rồi liền tay, U vụt chạy tới ánh đèn, nhấp nhem hai con mắt mòn buồn, hối hả phục vụ một cái gì trường tại hơn U, một đấng thiêng liêng hay một con tàu lớn.
Semmit nem változtam, mondtad.	U già ơi, tôi phải nói về U đó.
- fölhorzsoltam a térdemet, aztán hazamentem, hogy rendbe hozzanak, mint ma este is.	– nghịch cho trầy chân lở gối, rồi mò về cho U băng bó, y hệt tối nay.
Nem, kisasszony, nem!	Không, không U ạ!
messzebbre láttam ennél a parknál.	Tôi đã thấy xa hơn thửa vườn nhà.
Ha tudnád, milyen semmiség: egy ilyen kert lombos homálya!	Nếu U biết bóng cây vườn nhà là nhỏ!
Tudod-e, hogy vannak olyan vidékek, ahol az emberek tüstént lekapják vállukról puskájukat, ha találkoznak egymással?	U biết chăng những vùng man rợ có con người chợt gặp ta, là lập tức tì súng lên vai.
Szörnyű! - mondtad.	- Trời, dã man, U bảo.
De ezen az éjszakán, a Szaharában, meztelenül homok és csillagok között, igazságot szolgáltattam neki.	Nhưng đêm nay, nằm trong bãi Sahara, trơ trụi giữa biển cát và trời sao, tôi cảm thấy U không phải là không có lý.
S egy másik nehézkedés visszavet önmagamba.	Một sức hút khác lại kéo dẫn tôi về lại với tôi.
Az, amelyiknek a képe most fölbukkan bennem, nem a Szahara homoktengerében rejtőzik.	Một phép màu nhiệm nữa của phi cơ là đưa thẳng ta vào ở giữa lòng của huyền bí.
De a repülőgép egyik csodája éppen az, hogy egyenesen a titok szívébe merít olykor.	Và giống như những đường mạch máu nuôi thân, mang tụ mật hoa đất đồng về nuôi phố thị.
De hirtelen megmozdul egy mutató a manométeren, s a lenti tömött zöld egész univerzummá változik.	Anh làm tên tù, hãm thân trong một bãi cỏ giữa một khu vườn đang ôm mộng ngủ yên.
A pázsit foglya vagy egy alvó kertben.	Cách trở không ước lượng độ xa xôi.
Elmondom egy rövid leszállás történetét, valahol a világ egy zugában.	Tôi kể lại đây cái lần ghé lại chốn kia một buổi.
Concordia mellett volt, Argentínában, de lehetett volna bárhol másutt: csoda mindenütt van.	Tôi hạ cánh trên một khoảng đồng, không hề biết là mình sắp được sống một chuyện thần tiên.
Egy mezőn szálltam le; nem is sejtettem, hogy tündérmesét fogok átélni az ócska Fordon, amely döcögve vitt, a békés családban, amely befogadott, nem volt semmi különös.	Chiếc xe Ford cũ kỹ chở tôi không có gì đặc biệt, và cũng không đặc biệt gì cặp vợ chồng hiền hòa yên tĩnh đón tôi.
- Majd nálunk tölti az éjszakát...	- Chúng tôi mời ông nghỉ lại nhà tối nay…
De az út egy kanyarulatában a holdfényben föltűnt egy facsoport, és a fák mögött a ház.	Nhưng qua một khúc quanh, một chòm cây xuất hiện dưới trăng vàng, và sau chòm cây là ngôi nhà ấy.
Milyen különös ház volt!	Một ngôi nhà kỳ lạ.
Zömök, vaskos, mint egy fellegvár.	Thấp, nặng, to, gần như một cung thành.
Ekkor megjelent két fiatal lány.	Rồi hiện ra hai thiếu nữ.
Komolyan néztek rám, mint két bíró egy tilos ország kapujában; a fiatalabbik ajkát biggyesztette, s egy zöld fából készült pálcával kopogott a padlón; azután bemutatkoztam, szótlanul nyújtották felém kezüket, kíváncsi fitymálással - és eltűntek.	Gái trang nghiêm nhìn tôi sòng sọc, như hai vị quan tòa giữ cửa một cấm cung: cô nhỏ tuổi bĩu môi trề ra một cái, cầm chiếc đũa gỗ lục gõ nhè nhẹ lên mặt đất, rồi lúc giới thiệu xong, hai cô chìa tay cho tôi bắt, không nói nửa lời, với một kẻ thách đố lạ lùng, và biến mất.
Mulattak és elbűvöltek.	Tôi vừa vui vừa thích thú.
- Eh!	- Hừ!
Kicsit vadak - mondta az apa.	Chúng nó man rợ lắm.
Beléptünk a házba.	Chúng tôi vào nhà.
Különös ház; nem keltette a hanyagság, gondozatlanság érzését: tiszteletet keltett.	Ôi ngôi nhà kỳ ảo, không gợi gì là cẩu thả lai rai, chỉ xui lòng không cùng kính thán.
- Vigyázat!	- Coi chừng!
Egy lyuk volt.	Một lỗ hổng.
Az ő dolga, hogy rendbe hozassa.	Thành phố phải liệu tu bổ lấy.
Mindössze ennyit jegyeztek meg:	Nhiều lắm là người ta nhắc tôi:
- Eh!	- Hừ!
Egy kicsit tönkrement...	Hư hỏng chút ít đó…
De ezt is olyan fölényes hangon, hogy gyaníthattam: barátaimat egyáltalán nem aggasztja.	Nhưng với cái giọng thật nhẹ nhàng, nên tôi ngờ là các bạn tôi đây chả lấy đó làm điều chi cho ráo.
- Üljünk asztalhoz, ha tetszik.	- Xin hạ cố sang phòng ăn.
Átmentünk az ebédlőbe.	Chúng tôi ngồi vào bàn.
És különösképpen tetszett, hogy átvittük a lámpákat.	Và tôi thích nhất cái cảnh tượng dời các ngọn đèn.
A két lány megjelent, ugyanolyan titokzatosan és csöndesen, ahogyan eltűnt.	Hai cô con gái lại hiện ra, cũng huyền bí, cũng im lìm như lúc biến mất trước đây.
Komolyan ültek asztalhoz.	Họ trang trọng ngồi bàn.
Most, amint szalvétáikat kibontották, szemük sarkából engem figyeltek óvatosan, és azt kérdezték magukban: besorolnak-e majd kedves állataik közé, vagy nem.	Giờ đây, hai cô mở tấm khăn ăn, kín đáo nhìn tôi, thận trọng dò xét, tự hỏi không biết có nên sắp đặt tôi vào nằm trong số những thú vật thân thuộc họ nuôi.
Mind egymás hegyén-hátán éltek, csodálatosan megértették egymást: egy új földi paradicsom volt ez.	Mọi thứ đó sống chung lộn lạo, ăn ý hợp tình nhau lắm, họp thành một thiên đường mới mẻ ở trên đất trần gian.
A lányok a teremtés valamennyi állata fölött uralkodtak, kis kezükkel becézték, etették, itatták őket, és történeteket meséltek nekik, melyeket az állatok a mangusztától a méhekig mind meghallgattak.	Hai cô trị vì trên mọi thú vật ở thế gian, vuốt ve chúng với những bàn tay nhỏ ngón thon thon, cho chúng ăn, cho chúng uống, kể cho chúng nghe những câu chuyện mà từ con cầy hôi tới bầy ong đông đảo, thảy đều chăm chú lắng tai.
Tudtam: ez a két szép, élénk lány most összeszedi minden ítélőképességét, szelleme minden finomságát, hogy a szemben ülő férfiról gyors, titkos és végleges ítéletet mondjon.	Và tôi dám nghĩ rằng hai cô gái linh hoạt đến thế, ắt phải đem tất cả óc xét đoán tế nhị của mình ra để mà nhận định về cái gã đàn ông ngồi đối diện, nhận định nhanh, kín đáo và đúng vô cùng.
- Tizenegy.	- Mười một!
Tetszettek ezek a figyelő szemek, ezek a nyílt lelkek, de szerettem volna, ha más játékot választanak.	Những vị quan tòa tài ba như thế, gieo làn khía cạnh mà thấu suốt những đợt động triều, tận đáy thẳm tâm linh.
Arra se gondolhattam, hogy mesterségemből próbálok tekintélyt szerezni, mert nem ugyanolyan bátorság-e egy platánfa legszélső ágára kúszni, csak azért, hogy lássák: jól tollasodik-e a fészekaljnyi kismadár, csak azért, hogy jó reggelt mondjanak barátaiknak?	Tôi cũng không mong đem nghề nghiệp mình mà lòe ai được, vì chắc gì lái phi cơ đã táo gan bằng việc leo lên chót vót ngọn dương ngô đồng mà thăm chơi một cái tổ chim, coi chừng xem cái tổ chim non mới nở đã mọc cánh tốt tươi chưa, và chào qua các bạn tí hon cho tốt tươi một tiếng.
A két csöndes tündér olyan kitartóan figyelte étkezésemet, oly gyakran találkoztam gyors pillantásukkal, hogy lassan elhallgattam.	Hai nàng tiên lặng lẽ vẫn dò chừng cẩn thận bữa ăn của tôi, tôi bắt gặp mãi cái nhìn kín đáo của họ, cho đến nỗi tôi nao lòng không còn biết nói chi.
- A viperák.	- Mấy con rắn lục đó.
- Ó!...	- À!
Szerencsémre elmosolyodtam.	May làm sao là tôi mỉm cười.
