Dávid Copperfield	David Copperfield
Nincs szó lelkem titkos gyötrelmére, mikor ilyen társaságba sülyedtem le; mikor összehasonlítottam társaimat, a kikkel ezentúl mindennap együtt leszek, boldogabb gyermekkorom társaival, – Steerforthról, Traddlesról meg a többi fiúról nem is szólva; s mikor éreztem, miképp dől romba keblemben minden remény, hogy valamikor művelt, kiváló emberré leszek.	Thật không lời nào tả được nỗi buồn khổ âm thầm trong lòng tôi khi tôi rơi vào giữa những anh bạn như thế, mỗi khi tôi so sánh những người từ nay sẽ là bạn trong cuộc sống hàng ngày hiện nay với những người bạn của tuổi thơ hạnh phúc - đó là chưa nói đến Xtiếcphoóc, Trátđơn và các bạn khác - và tôi cảm thấy mọi hy vọng của tôi muốn lớn lên thành một người có học thức và cao quý nay đều tan vỡ.
Mélységes emléke annak az érzésnek, hogy minden, de minden reményem odalett; annak a szégyennek, a melylyel helyzetem eltöltött; annak a nyomorúságnak, a mely ifjú szívem ama hitéből fakadt, hogy a mit tanultam, a mit gondoltam, a miben gyönyörködtem, a mi képzeletemnek szárnyat adott és buzgalomra serkentett, napról-napra, apránként kivesz belőlem visszahozhatatlanúl, – mindez leírhatatlan.	Tôi còn nhớ sâu sắc không sao tả xiết cái tâm trạng về tình cảnh hoàn toàn tuyệt vọng, sự xấu hổ về cảnh ngộ của mình và niềm đau đớn của con tim thơ dại khi nghĩ rằng tất cả những điều tôi đã học và đã nhớ, tất cả những gì làm thành nguồn vui thúc đẩy óc tưởng tượng và lòng hiếu thắng của tôi sẽ ngày một mất dần mà không bao giờ trở lại.
Valahányszor Walker Misi az első délelőtt folyamán ki-kiment, összevegyűlt könnyem a vízzel, a melyben a palaczkokat mostam; s úgy zokogtam, mintha repedés támadt volna az én szívemen is, és attól félnék, hogy összetörik.	Sáng hôm ấy, mỗi khi Mích Oancơ để tôi ngồi một mình là nước mắt lại giàn giụa hòa lẫn với nước tôi dùng để súc chai và tôi khóc nức nở tưởng chừng như tim tôi cũng nứt rạn và sắp vỡ tan.
Az iroda órája félegyre járt, s mindenki ebédre készülődött, mikor Quinion úr kopogott az iroda ablakán s intett, hogy menjek be hozzá.	Khi đồng hồ bàn giấy điểm mười hai giờ rưỡi và mọi người đều chuẩn bị ăn trưa thì ông Kiniôn gõ gõ vào cửa sổ phòng giấy và ra hiệu cho tôi bước vào.
A ruhája kopottas volt; de annál tekintélyesebb volt hatalmas inggallérja.	Áo quần của ông ta đã sờn, nhưng ông ta có một cái cổ áo rất diện.
A kezében úrias sétapálcza volt, a melyen egypár nagy, fakó bojt fityegett; kívül a kabátján monokli lógott, mint később megtudtam – díszűl, mert nagyon ritkán használta, s ha használta, semmit sem látott rajta.	Tay ông cầm một chiếc gậy đẹp, trên gậy có hai quả sồi thắt tua màu xám, túi áo của ông để lộ một cái kính một mắt - vật này chỉ để diện thôi vì sau này tôi thấy ông ta ít khi dùng và mỗi khi dùng thì ông chẳng thấy gì hết.
– Copperfield úrfi?	"Cậu đấy à".
– szólt az idegen, sajátságos leereszkedő rezgéssel hangjában, s az előkelő udvariasság valami leírhatatlan árnyalatával, a mely igen nagy hatást tett rám.	Người lạ mặt nói với cái giọng ban ơn và muốn làm ra vẻ lịch sự rất khó tả, điều này gây cho tôi một ấn tượng rất sâu sắc.
– Remélem, jól érzi magát, uram?	"Có phải cậu Copơphin đấy không?
Azt feleltem, hogy nagyon jól, s visszareméltem a kérdést.	Tôi trả lời rằng tôi rất mạnh khỏe và tôi hy vọng rằng ông cũng mạnh khỏe.
Elég rosszúl voltam pedig, a jó Isten tudja; de életemnek abban a szakában nem igen adtam a fejemet panaszkodásra, s így azt feleltem, hogy nagyon jól érzem magamat s remélem, hogy ő is jól érzi magát.	Thực ra, bấy giờ tôi rất khó ở nhưng vào thời kỳ ấy trong đời tôi, tính tôi không thích than phiền, cho nên khi tôi nói tôi rất mạnh khỏe và hy vọng rằng ông ta cũng thế.
– Micawber úr, – szólt Quinion úr, – ismerőse Murdstone úrnak.	"Vâng đó là tên tôi", người lạ mặt nói.
Megrendeléseket gyűjt a számunkra, mint bizományosunk, mikor szerit teheti.	"Ông Mơcxtôn với ông Micôbơ là chỗ quen biết", ông Kiniôn nói.
Murdstone úr írt neki a szállásod dolgában, és nála fogsz lakni.	"Khi nào ông Micôbơ có đơn đặt hàng thì ông đưa đến cho chúng tôi và kiếm được một ít tiền.
– A czímem, – szólt Micawber úr, – Windsor Terrace, City Road.	Ông Mơcxtôn đã viết cho ông ta về vấn đề chỗ ở của cháu, và ông ta sẽ nhận cháu ở trọ."
Szóval, – szólt ugyanazzal az előkelő udvariassággal, mint az imént, s hirtelen ismét bizalmas hangba csapva át, – ott lakom.	"Địa chỉ của tôi là phố Uynxo Terâyxơ, đường Đô Thị" ông Micôbơ nói "Tóm lại…" ông Micôbơ lại nói với cái vẻ vồn vã thân mật "tôi sống ở đây".
Válaszúl meghajoltam.	Tôi cúi đầu chào ông.
– Azon benyomás hatása alatt, – szólt Micawber úr, – hogy a fiatal úr bolyongásai e világvárosban nem ölthettek még kellő arányokat, s hogy ennélfogva némi nehézséggel járna behatolnia a modern Babylon rejtelmeibe a City Road irányában, – egyszóval, – szólt Micawber úr, újra bizalmas hangba csapva át, – hogy eltévedhetne, ma este lesz szerencsém érte jönni, hogy beavassam a legrövidebb út titkaiba.	Ông Micôbơ nói: "Vì tôi thấy rằng trong thủ đô này cậu chưa đi được bao nhiêu, cho nên muốn tìm đường Đô Thị trong cái thành phố Tân Babilon, đường xá chằng chịt thế này cũng gay đấy, tóm lại" ông ta nói với cái vẻ thân mật "cậu có thể lạc đường, cho nên chiều nay tôi rất sung sướng được đến đây đưa cậu về để chỉ cho cậu biết con đường gần nhất".
Melegen megköszöntem a szívességét, mert valóban szívességre vallott, hogy ajánlkozott e fáradságra.	Tôi thành thực cảm ơn ông bởi vì chịu khó như vậy đối với tôi là một điều rất tử tế.
– Hány órára legyek itt?	Ông Micôbơ hỏi:
– kérdezte Micawber úr.	"Đến mấy giờ, tôi sẽ…"
– Nyolcz óra tájban, – szólt Quinion úr.	"Vào khoảng tám giờ", ông Kiniôn nói.
Nem akarok tovább terhére lenni.	Nói đoạn, ông Micôbơ đội mũ đi ra, tay cắp gậy.
Föltette a kalapját, s pálczáját hóna alá kapva, kifelé indult: peczkesen kiegyenesedve s valami nótát dúdolgatva, mihelyt kijutott az irodából.	Ông đi rất thẳng và vừa bước ra khỏi phòng giấy thì miệng đã nghêu ngao một bài hát.
Quinion úr ezután forma szerint szegődtetett, hogy hasznosítsam magam tőlem telhetőleg a Murdstone és Grinby czég árúraktárában, azt hiszem, hat shilling hetibérrel.	Bây giờ ông Kiniôn chính thức khuyên tôi phải hết lòng hết sức làm việc trong nhà nho của công ty Mơcxtôn và Grinbi với số lương tôi nhớ là sáu si-linh mỗi tuần.
Egy hetet előre kifizetett, (azt hiszem, a saját zsebéből), s hat pennyt mindjárt Lisztesnek adtam belőle, hogy vigye el este a ládámat Windsor Terrace-ba, mivel nekem túlságosan nehéz lett volna, bármily kicsi volt.	Ông trả ngay cho tôi tiền lương một tuần lễ (hình như ông móc tiền túi ra), và ông móc túi ra lấy sáu pen-ni đưa cho Khoai Bột bảo nó chiều hôm ấy mang hòm của tôi đến phố Uynxo Terâyxơ, hòm ấy tuy nhỏ nhưng vẫn quá nặng đối với tôi.
Este, a kitűzött időben, Micawber úr újra beállított.	Buổi chiều, đúng giờ đã định, ông Micôbơ lại xuất hiện.
Ez a kisbaba egy ikerpárnak az egyik fele volt; s már e helyütt megjegyzem, hogy aligha láttam valaha, az egész idő alatt, a melyet együtt éltem át a családdal, Micawbernét az ikerpárnak egyszerre mind a két fele nélkül.	Đó là một trong hai đứa con sinh đôi, và tôi có thể nói là suốt cả thời gian tôi sống trong gia đình này có thể nói chẳng khi nào thấy cả hai đứa em sinh đôi đều không ở trên tay bà Micôbơ.
Vagy az egyik, vagy a másik mindig táplálkozott.	Bao giờ cũng có một trong hai đứa lo giải khát.
Két más gyermek is volt még a házban: Micawber úrfi, körülbelül négy esztendős és Micawber kisasszony, körülbelül három esztendős.	Lại có hai đứa trẻ khác là cậu Micôbơ độ bốn tuổi và cô Micôbơ độ ba tuổi.
Rajtok kívül, hogy teljes legyen a háztartás, volt ott még egy barnabőrű, szuszogó, fiatal némber is, a szolgáló, a ki – jóformán félórája sem voltam még ott, – tudtomra adta, hogy ő "árva lyány" s a közeli Szt.-Lukács-szegényházból került Micawberékhez.	Gia đình có thêm một người đầy tớ gái trẻ tuổi da ngăm ngăm đen có thói hay khịt mũi ầm ĩ. Trong vòng không đầy nửa giờ, chị ta cho tôi biết rằng chị là con mồ côi trước đấy ở nhà tập nghề Xanh Lúc, cạnh đấy.
Az én szobám hátúl volt, a ház legtetejében: szűk kis kamra; pingált fallal, a melynek a mintája ifjú képzeletem előtt olybá tűnt fel, mintha kék zsemlyécskékből volna összeállítva; és nagyon szegényes bútorzattal.	Phòng của tôi ở sát mái đằng sau nhà; đó là một căn phòng kín đáo, khắp nơi trên tường vẽ đầy hoa, nhưng trí tưởng tượng trẻ con của tôi lại cho đó là một thứ bánh màu xanh, đồ đạc trong phòng bày biện rất sơ sài.
De az uram zavarokkal küzd, s így mindennemű önző tekintetnek háttérbe kell szorulnia.	Nhưng bây giờ, anh Micôbơ gặp khó khăn cho nên mọi sở thích cá nhân đều phải vứt bỏ".
– Az uramat épp mostanában csaknem elnyeléssel fenyegetik a bajok, – szólt Micawberné; – és nem is tudom, vajon lehetséges lesz-e kigázolnia belőlök.	"Hiện nay những khó khăn của anh Micôbơ xem ra đã lên đến cực điểm, tôi không hiểu anh có cách nào vượt qua không.
Mikor otthon éltem a papánál és a mamánál, valóban aligha tudtam volna megérteni, mit jelent ez a szó, oly értelemben, a hogy’ most használom; de tapasztalás az élet mestere, – szokta volt a papa mondani.	Khi sống ở nhà ông bà cụ thân sinh, thực ra tôi khó lòng hiểu được chữ "túng bấn" là thế nào theo nghĩa bây giờ tôi vẫn dùng, nhưng kinh nghiệm dạy cho người ta biết - như ông cụ tôi thường vẫn nói".
Nem vagyok tisztában vele, vajon Micawberné mondta-e nekem, hogy az ura tengerésztiszt volt, vagy csak én képzeltem-e így.	Tôi không nhớ rõ có phải bà Micôbơ nói ông Micôbơ trước đây làm sĩ quan ở trong thủy quân lục chiến hay đó là điều tôi tưởng tượng ra.
Csak azt tudom, hogy máig is azt hiszem, noha sejtelmem sincs róla, miért, hogy Micawber úr valaha a tengerészetnél szolgált.	Tôi chỉ biết cho đến nay tôi vẫn tin trước kia ông ở trong thủy quân lục chiến nhưng không hiểu tại sao.
Most helyi képviselője volt számos különböző czégnek; de attól tartok, hogy igen kevés vagy tán éppen semmi eredménynyel.	Ông làm nghề mách mối hàng cho nhiều nhà buôn, nhưng không kiếm được bao nhiêu và tôi sợ là không kiếm được gì.
Kőből épp úgy nem lehet vért sajtolni, a hogy’ az uramból sem lehet mostanában semmiféle törlesztést kikényszeríteni, nem is említve a perköltségeket.	Hiện nay có bức bách đến đâu, anh Micôbơ cũng không có thể đưa ra được khoản tiền nào, không kể số tiền dùng vào việc kiện tụng."
Szegény Micawberné!	Tội nghiệp cho bà Micôbơ!
Azt mondta, hogy ő maga is megpróbált már minden tőle telhetőt; és nem is kételkedem, hogy csakugyan megtette.	Bà bảo tôi rằng bà đã làm mọi cách; và riêng tôi, tôi cũng tin thế.
Sem nem láttam, sem nem hallottam soha más látogatókat, mint a hitelezőket.	Những người khách duy nhất mà tôi thấy, hay tôi nghe nói đến là các chủ nợ.
Ezek meg szoktak jelenni a nap minden órájában és némelyikük valósággal dühöngött.	Họ thường đến bất kể giờ giấc nào và trong số này có những người thực là hung dữ.
Hallja-e!	Chưa đi ra sao?
Kifizet-e bennünket?	Trả tiền đi chứ!
A felesége épp oly rugékony volt.	Tính khí của bà Micôbơ cũng hay thay đổi như thế.
Láttam egyszer, hogy három órakor elájult az állami adók miatt, négy órakor pedig már töltött bárányczombot evett és meleg ale-t ivott – egypár zálogba tett teáskanál árán.	Nhưng đến bốn giờ chiều, tôi lại thấy bà ăn sườn dê với bánh mì và uống rượu mạch hâm nóng (sau khi đã đem cầm hai thìa trà ở nhà cầm đồ).
Ebben a házban és ezzel a családdal töltöttem szabad időmet.	Tôi sống trong nhà với gia đình tất cả những lúc rảnh.
Jól tudom, hogy ezt a hat vagy hét shillingem megérezte; és naphosszat távol voltam hazulról az árúraktárban, s ebből a kis pénzből kellett élnem az egész héten át.	Tôi rất biết điều này làm thành một lỗ hổng trong số sáu hay bảy si-linh; tôi ở nhà kho suốt ngày và tôi phải dùng số tiền ấy để tiêu pha trong suốt cả tuần.
Hétfő reggeltől szombat estig nem bátorított, nem vígasztalt, nem gyámolított tanácsával, nem támogatott senki a világon, senki, a kire visszaemlékezném, Isten engem úgy segéljen!	Từ sáng thứ hai cho đến tối thứ bảy, tôi chẳng được một lời bàn, một lời khuyên, một lời an ủi, chẳng được sự giúp đỡ, sự che chở nào của bất cứ ai, điều đó cũng khó như muốn lên thiên đường vậy!
Oly fiatal voltam, oly gyermekes és oly kevéssé voltam való – miképp is lehettem volna más?	Bấy giờ tôi còn trẻ con ngây thơ và thiếu tư cách (làm sao có thể khác thế được?)
– életem egész terhének a hordozására, hogy reggelenként, mikor a Murdstone és Grinby czég üzlete felé ballagtam, ritkán állhattam ellen a pástétomos boltok ajtajába kirakott, feleáron eladó száraz pástétomnak, s ráköltöttem az ebédre szánt pénzemet.	không thể đảm nhiệm toàn bộ chi phí về sinh hoạt, cho nên nhiều khi, buổi sáng trên đường đi đến công ty Mơcxtôn và Grinbi tôi không sao chống lại được sức quyến rũ của những chiếc bánh ngọt tối qua bán hạ giá nửa pen-ni một chiếc ở cửa hàng bánh ngọt và tôi bỏ tiền ra mua bánh ngọt mà không nghĩ đến việc dùng số tiền ấy để ăn trưa.
Ilyenkor ebéd nélkül kódorogtam, vagy legfölebb egy zsemlét vagy egy szelet puddingot vásároltam.	Những ngày ấy, tôi nhịn buổi trưa hay mua một ổ bánh mì hay một khoanh pút-đinh.
Két puddingos boltra emlékszem, melyek közül hol az egyiket, hol a másikat kerestem föl, zsebem állapotához képest.	Tôi nhớ có hai cửa hiệu tôi thường đến tùy theo tình hình kinh tế.
Az egyik – ezt azóta lebontották – a Szt.-Márton-templom közelében volt, a templom mögött, egy udvarban.	Một hiệu ở trong cái sân cạnh nhà thờ Xanh Máctanh ở đằng sau nhà thờ và bây giờ đã rời hẳn đi nơi khác.
Ez utóbbit a Stranden árulták egy jó kis boltban, valahol azon a részen, a mely azóta újra épült.	Một hiệu khác cũng khá về mặt pút-đinh là ở Xtranđơ, ở một chỗ ngày nay đã xây dựng lại.
Kemény, sárga pudding volt, nehéz és nyúlós, nagyszemű, ízetlen mazsolaszőlővel ritkásan megdugdosva.	Đó là thứ pút-đinh màu tro, nặng và mềm với những hạt nho khô dẹt, dính rải rác cách nhau rất xa ở trên mặt.
Friss meleg volt körülbelül akkor, mikor arra mentem, mindennap, és nem egy nap ezt ebédeltem.	Mỗi ngày vào khoảng tôi ra đi thì bánh này cũng vừa nấu xong, nóng hôi hổi và có nhiều bữa ăn trưa bằng thứ bánh này.
A rendes, jó ebédem szafoládé volt meg egy pennys czipó; vagy négy penny ára csonthús egy laczikonyhából; vagy egy darab sajt kenyérrel meg egy pohár sör egy nyomorúságos ócska kocsmából, a mely szemközt volt az üzlettel, s az "Oroszlán"-hoz vagy az "Oroszlán"-hoz és még valami máshoz volt czímezve, a mit már elfelejtettem.	Khi nào ăn đàng hoàng và sang thì tôi chén một khúc lạp xưởng khô và một pen-ni bánh mì hay một đĩa thịt bò nấu đỏ ở cửa hàng ăn giá bốn pen-ni; hay một đĩa bánh mì phết phô-mát và uống một cốc bia mua trong quán rượu tồi tàn và cũ kỹ đối diện với chỗ làm việc của chúng tôi, gọi là quán "sư tử" hay là "sư tử" với cái gì đó nhưng tôi đã quên mất.
Emlékszem rá, hogy egyszer egy darab kenyeremet, a melyet hazulról hoztam el magammal reggel, papirosba csavargatva, mint valami könyvet, a hónom alá csaptam, bementem egy híres, akkoriban divatos vendéglőbe, a Drury Lane közelében, s rendeltem egy kis adag finom marhasültet a kenyerem mellé.	Có một lần, tôi nhớ tôi cắp bánh mì ở tay (bánh mì này tôi đã mua từ nhà lúc sáng) quấn trong một tờ giấy trông như một quyển sách và đến một hàng thịt bò trứ danh ở gần ngõ Đruri và bảo dọn "một đĩa thịt bò nhỏ" ăn với bánh mì.
Mit gondolt a pinczér, mikor egy olyan magamfajta furcsa kis Isten-teremtése egyedül beállított, nem tudom; de most is látom, hogy’ rám bámészkodott, mialatt ebédeltem, beszólítván pinczértársait is a látványossághoz.	Tôi không hiểu anh hầu bàn nghĩ gì khi anh thấy một chú tiểu quỷ kỳ quái như vậy bước vào một mình; nhưng ngay giờ đây tôi vẫn còn có thể thấy anh trố mắt nhìn tôi trong khi tôi ăn bữa trưa và kéo những người hầu bàn khác đến nhìn.
Félpenny borravalót adtam neki; de szerettem volna, ha nem fogadja el.	Tôi cho anh ta một đồng nửa pen-ni tiền phong bao nhưng tôi rất mong rằng anh ta không nhận.
Az ozsonna-időnk, azt hiszem, félóra volt.	Chúng tôi được nghỉ nửa giờ để uống nước trà.
Mikor volt elég pénzem, egy itcze kávét szoktam meginni, s hozzá egy darab vajaskenyeret.	Khi nào túi tiền kha khá, tôi thường mua một cốc cà phê pha sẵn và một khoanh bánh mì phết bơ.
Mikor nem volt, elnézegettem egy vadkereskedést a Fleet Streeten; vagy elballagtam ilyenkor egészen a Covent Garden piaczig, s ott megbámultam az ananászokat.	Khi nào không có tiền, tôi thường nhìn các đĩa thịt nai ở đường phố Phơlit hay là tôi đi lang thang đến chợ vườn tu viện nhìn những quả dứa.
Leültem egy padra s úgy néztem őket.	Tôi không hiểu họ nghĩ gì về tôi.
Emlékszem, hogy egy meleg este is betértem egy vendéglő söntésébe s így szóltam a vendéglőshöz:	Tôi nhớ có một buổi chiều nóng nực tôi bước vào quầy hàng của một tiệm rượu và tôi nói với ông chủ hiệu:
– Mibe kerül egy pohár a legjobb, a legeslegjobb fajta ale-ből?	"Ở đây thứ bia thượng hạng, thượng hảo hạng giá bao nhiêu?"
– Mivel valami különös alkalom volt.	Có thể hôm ấy là ngày sinh nhật của tôi.
Nem tudom már, mi.	Ông chủ hiệu nói:
Talán a születésem napja.	Tôi đưa tiền ra và nói:
– Harmadfél pennybe, – szólt a vendéglős, – igazi, dupla ale.	"Vậy thì ông rót cho tôi một cốc bia thượng hạng, bọt lên cao quá cốc".
– Kérem, – szóltam előszedve az árát, – adjon egy pohárral abból az igazi duplából, de jó sok habbal.	Ông chủ hiệu nhìn tôi từ đầu đến chân trong khi ông ngồi ở quầy hàng trên mặt nở một nụ cười tò mò.
A vendéglős, ingujjban, a söntésablak rámájához támaszkodik; a felesége átbámul a kis félajtó fölött; én pedig a deszkafalon innen, meglehetős zavarban, fölnézek rájok.	Ông chủ hiệu mặc áo sơ-mi, dựa vào khung cửa sổ quầy hàng; bà vợ nhìn qua cái cửa nhỏ; còn tôi thì lúng ta lúng túng đứng ngoài quầy hàng ngước mắt nhìn họ.
Sok mindenfélét kérdeztek tőlem; hogy mi a nevem, hány éves vagyok, hol lakom, mi a foglalkozásom s hogy’ kerültem oda.	Họ hỏi tôi nhiều câu hỏi: chẳng hạn tên tôi là gì, bao nhiêu tuổi, làm việc gì và tại sao đến đây.
Minderre, hogy senkit a világon el ne áztassak, a kellő válaszokat – azt hiszem – kieszeltem.	Họ rót rượu cho tôi uống, mặc dầu tôi ngờ đó không phải là bia thượng hảo hạng.
Azután megkaptam az ale-met, bár azt gyanítom, nem az igazi duplából; s a vendéglős felesége kitárva a söntés kis félajtaját, lehajolt hozzám, visszaadta a pénzemet s ráadásúl megcsókolt, félig csodálkozva, félig szánakozva, de egészen anyáskodva, és bizonyos, hogy ez a csók jól esett.	Đoạn bà chủ hiệu mở cửa quầy hàng, cúi xuống trả tiền lẻ lại cho tôi và hôn tôi, nửa phục và nửa thương hại, nhưng tôi tin chắc rằng hoàn toàn xuất phát từ lòng tốt của một người đàn bà.
Tudom, hogy sem öntudatlanúl, sem szándékosan nem túlozom forrásaim inségességét, vagy életem nehézségeit.	Không, tôi không phóng đại một cách vô ý thức hay vô tâm về sự túng thiếu về kinh tế cũng như về những khó khăn trong cuộc sống của tôi.
Tudom, hogy ha Quinion úrtól bármikor egy shillinget kaptam, ebédre vagy ozsonnára költöttem el.	Tôi biết rằng nếu như ông Kiniôn thỉnh thoảng có cho tôi một si-linh thì tôi lại đem tiêu vào bữa ăn trưa hay lúc uống trà.
Tudom, hogy reggeltől estig szakadatlanúl dolgoztam rongyosan, mocskosan, közönséges munkások és inasok társaságában.	Tôi biết rằng tôi làm việc từ sáng đến tối với những người lớn và những đứa trẻ bình thường ăn mặc lam lũ.
Tudom, hogy elégtelenűl és erőtlenűl táplálkozva kódorogtam az utczákon.	Tôi biết rằng tôi đi lang thang ngoài phố ăn uống thiếu thốn và tồi tàn.
Tudom, hogy ha a jó Isten meg nem könyörűl rajtam, mások gondja miatt könnyen egész kis útonállóvá vagy csirkefogóvá lehettem volna.	Tôi biết rằng nếu không có lòng từ bi của thượng đế thì tôi rất dễ dàng biến thành một thằng bé ăn cắp hay một thằng ma-cà-bông bởi vì không có ai săn sóc gì đến tôi hết.
Mindazonáltal volt némi tekintélyem a Murdstone és Grinby czégnél is.	Tuy vậy, tôi vẫn còn có một địa vị tương đối ở công ty Mơcxtôn và Grinbi.
A mellett, hogy Quinion úr megtett minden tőle telhetőt, a mennyit idegen létére, s nagy elfoglaltsága mellett, rendes munkakörébe ez éppenséggel nem tartozó dologban tehetett, s a többiektől megkülönböztetve bánt velem, én magam soha egy szóval sem említettem senkinek, se nagynak, se kicsinek, hogy’ esett, hogy közéjük kerültem; sem azt nem árultam el soha semmivel, hogy odakerülésem miatt szomorkodom.	Không kể ông Kiniôn cố gắng đối xử với tôi không phải như đối với những người khác, mặc dầu ông ta rất lơ đễnh và rất bận việc và ở trong một tình trạng bất thường như thế, tôi không bao giờ cho một người nào hay một đứa trẻ nào biết tại sao tôi lại ở đây, tôi cũng không bao giờ tỏ ra cho họ biết tôi buồn bã vì phải ở đây.
Hogy titokban szenvedtem, még pedig mondhatatlanúl, azt senki más nem tudta, csak én.	Ngoài tôi ra, không ai biết rằng tôi đau khổ âm thầm và cùng cực.
Tudtam az első percztől fogva, hogy ha nem végzem el a dolgomat épp oly jól, mint bárki a többiek közül, nem kerülhetem el, hogy le ne nézzenek, meg ne vessenek.	Ngay từ đầu, tôi đã biết rằng nếu tôi làm việc không thành thạo như những người khác thì thế nào cũng bị chửi bới và khinh bỉ.
Csakhamar legalább is oly gyors és ügyes munkássá lettem, mint a fiúk bármelyike.	Chẳng bao lâu, ít nhất tôi cũng nhanh nhẹn và thông thạo như hai đứa trẻ kia ở đấy.
Bár igen bizalmas lábon álltam velök, modorom és viselkedésem eléggé különbözött az övékétől, hogy bizonyos távolság maradjon köztem és közöttük.	Mặc dầu tôi hết sức thân mật với họ, hành vi và thái độ của tôi cũng khác họ và do đó ở giữa chúng tôi vẫn có một khoảng cách.
Ők épp úgy, mint a felnőtt munkások, rendesen úgy beszéltek rólam, mint "a kis úrfi"-ról, vagy "a fiatal suffolki"-ról.	Các cậu này và những người lớn thường gọi tôi là "ông nhỏ" hay gọi là "Chú bé Xăpphôc".
Egy Gregory nevű munkás, a ki az első csomagoló volt, s egy Tipp nevű targonczás, a ki vörös zubbonyt viselt, néha "Dávid"-nak szólítottak; de azt hiszem, többnyire olyankor, mikor nagyon összebizalmaskodtunk, s mikor azon törtem magam, hogy munkaközben a régi olvasmányok felelevenítésével mulattassam őket.	Có một người tên là Grêgôri coi những người khiêng hòm và một người khác tên là Típ làm nghề đánh xe, mặc một cái áo chẽn màu đỏ, đôi khi gọi tôi là "Đêvít" nhưng tôi nhớ chỉ nói trong những trường hợp rất tâm sự, trong khi tôi cố gắng đem những câu chuyện đã đọc và đang nhanh chóng mất dần trong ký ức để giải trí cho họ.
Helyzetemet úgy fogtam föl, hogy semmi reményem sincs a szabadulásra, s éppen ezért le is mondtam a szabadulás gondolatáról.	Tôi nhận thấy không còn có hy vọng gì thoát khỏi cách sống này và tôi đã hoàn toàn bị bỏ rơi.
De szent meggyőződésem, hogy soha egy perczre sem nyugodtam bele sorsomba, és mindig nyomorúságosan boldogtalan voltam miatta.	Tôi tin chắc rằng tôi không thể nào chịu yên phận dù chỉ trong một tiếng đồng hồ về cuộc sống vô cùng cực khổ này.
De békén viseltem, annyira, hogy még Peggottynak sem vallottam meg az igazat, soha egyik levelemben sem, bár sűrűn leveleztünk, – részint iránta való szeretetből, részint azért, mert szégyeltem.	Nhưng tôi chịu đựng nó, và tôi không bao giờ nói sự thực trong những bức thư gửi cho chị Pécgôti, một phần vì tôi yêu chị, một phần vì xấu hổ, mặc dầu chúng tôi viết cho nhau nhiều thư.
Micawber úr zavarai tetézték még lelkem siralmas állapotát.	Cảnh túng bấn của ông Micôbơ lại càng làm cho tình trạng tinh thần của tôi thêm tuyệt vọng.
Elhagyatottságomban teljesen beleolvadtam a családba és járkálás közben Micawberné megváltó tervezgetésein törtem a fejem és Micawber úr adósságainak a terhét czipeltem.	Trong hoàn cảnh tứ cố vô thân, tôi đã trở thành rất gắn bó với gia đình này và khi lang thang tôi thường suy nghĩ miên man về những tính toán chi tiêu của ông Micôbơ, lòng nặng trĩu những món nợ của ông.
Egyáltalában nem volt szokatlan dolog az sem, hogy Micawber úr az ilyen szombat esti beszélgetés elején görcsösen zokogott, a vége felé pedig Jancsi gyönyörűségéről, drága Pannikájáról, énekelt valami dalocskát.	Tôi vẫn thường thấy ông Micôbơ nức nở khi bắt đầu những câu chuyện tối thứ bảy như thế để kết thúc bằng một bài hát trong đó có Nan xinh đẹp làm thành nguồn vui của chàng Jắc.
Többször tapasztaltam, hogy mikor hazajött vacsorára, könnyben úszott a szeme, és kijelentette, hogy nincs egyéb hátra, mint a börtön; mikor pedig feküdni ment, azt számolgatta, mennyibe kerülne boltíves ablakokkal ellátni a házat, ha "fordul a koczka", a mi kedvencz szavajárása volt.	Tôi đã từng thấy ông ta trở về nhà ăn tối, khóc sướt mướt và tuyên bố rằng bây giờ chỉ còn một cách là vào tù; nhưng đến khi đi ngủ lại trù tính xem muốn làm những cửa sổ nhỏ ra ngoài thì mất bao nhiêu tiền nếu như có dịp may (như ông thường vẫn nói).
És a felesége szakasztott mása volt neki.	Và bà Micôbơ cũng in hệt như vậy.
Valószínűleg egybevágó körülményeinkből sarjadva, csodálatos barátság fejlődött köztem és ez emberek között, a köztünk lévő nevetséges korkülönbség ellenére is.	Một tình trạng bình đẳng kỳ quái trong tình bạn đã xuất hiện, có lẽ là do cảnh ngộ chúng tôi tương tự như nhau, mặc dầu giữa chúng tôi có tình trạng chênh lệch buồn cười về tuổi.
De sohasem engedtem magamat rábeszéltetni arra, hogy elfogadjam meghívásukat, s velök egyem és igyam, az ő készletükből, mert tudtam, hogy rossz lábon állnak a pékkel és a mészárossal és gyakran maguknak is alig van valamijök, – míg végül Micawberné teljesen meg nem ajándékozott bizalmával.	Nhưng tôi không bao giờ chịu để cho họ mời tôi ăn và uống bằng thức ăn thức uống của họ (tôi biết rằng họ xung đột với ông hàng thịt và ông hàng bánh và bản thân họ cũng không có nhiều nhặn gì) cho đến khi bà Micôbơ xem tôi là một người hết sức thân tín.
Tette pedig ezt egy este a következőképpen:	Một buổi tối bà bảo tôi:
