ALEXANDRE DUMAS	Alexandre Dumas
- Egy nagy költőt sért meg súlyosan, ha nem tévedek, asszonyom!	- Bạn thân mến ơi, chẳng phải không dưng mà người ta tặng bà cái biệt danh Sư tử cái, và bà công kích dữ quá.
- kockáztatta meg Raoul a megjegyzést.	- Thưa bà, dường như bà ngược đãi quá đáng một nhà thơ lớn - Raoul đánh liều lên tiếng.
- Voiture nagy költő!	- Ông ta mà là một nhà thơ lớn à?
- Bravó!	- Hoan hô!
- Bravó, szép Paulet!	- Hoan hô, nàng Paulet kiều diễm?
Bátran kijelentem, érteni vélek a költészethez, s az övét mindig szörnyű utálatosnak találtam.	- Tôi lớn tiếng tuyên bố rằng tôi cho là tôi giỏi về thi ca, và tôi luôn luôn thấy thơ ca của ông ta dở lắm.
- Kicsoda ez a hetvenkedő?	- Cái vị anh hùng rơm ấy là ai thế, thưa ông?
- kérdezte Raoul Athostól.	- Raoul hỏi Arthos.
- Scudéry úr.	- Ông Scudéry.
- A Clélie meg a Nagy Cyrus írója?	- Tác giả Clédi và Grand Cyrus vĩ đại ấy à?
- Amiket felesben készített a húgával,63 aki most azzal a csinos dámával beszélget, amott, Scarron mellett.	- Mà ông ta soạn chung với cô em gái lúc này đang nói chuyện với cái cô xinh đẹp ngồi gần ông Scarron ở kia kìa.
Ezalatt Aramis odament a koadjutorhoz, s ez kacagva néhány szót súgott a fülébe.	Trong lúc ấy Aramis xích đến gần vị chủ giáo, ông ta với vẻ cười cợt khi nói vào tai anh ta mấy tiếng.
- Kacagjon hát - mondta Retz úr -; figyelnek bennünket.	- Ông de Retz bảo anh, - người ta nhìn chúng mình đấy.
Aramis nevetést színlelt, hogy egy-két kíváncsi figyelmét tévútra vezesse, s észrevéve, hogy most Athos húzódott abba az ablakmélyedésbe, melyben ő is rejtőzködött néhány pillanatig, azon volt, hogy jobbra-balra egy-két szót elejtegetve, feltűnés nélkül hozzá siessen.	Aramis giả bộ cười để đánh lạc hướng mấy thính giả tọc mạch, và nhác thấy Arthos lại đến đứng ở chỗ cửa sổ ban nãy anh đã đứng, sau khi ném vài lời sang trái sang phải, anh chẳng phải vờ vịt gì nữa mà đến thẳng chỗ Arthos.
Mihelyt együtt voltak, élénk taglejtések kísérte beszélgetésbe kezdtek.	Vừa giáp mặt nhau là hai người chuyện trò ngay kèm theo bao nhiêu cử chỉ.
- Házigazdánk Voiture egy rondóját szavalja - mondta Athos jó hallatosan -, páratlan jónak találom!	- Đó là một bài thơ ngắn của ông Voiture mà ông tu viện trưởng đó cho tôi nghe và tôi thấy là không thể so sánh.
Raoul egy pillanatig velük maradt, aztán Chevreuse-né körébe vegyült, melyhez egyik felől Paulet kisasszony, másik felől Scudéry kisasszony közeledett.	Raoul đứng một lát gần họ, rồi ra hoà mình trong nhóm bà de Chevreuse có cô Paulet và cô Scudéry đứng hai bên.
- kérdezte Athos.	- Vậy thế nào?
- Holnap!	- Arthos hỏi.
- felelte Aramis.	- Ngày mai, - Aramis vội vã đáp.
- Hány órakor?	- Mấy giờ?
- Hatkor.	- Sáu giờ.
- Hol?	- Ở đâu?
- Saint-Mandéban.	- Ở Saint Mandé.
- Ki mondta?	- Ai bảo cậu?
- Rochefort gróf.	- Bá tước de Rochefort.
- Hát még a filozófiai eszmék!	- Còn những tư tưởng triết lý?
Ezektől mentes csak igazán szegény jó Voiture költészete.	Chính đó là những cái thiếu ở ông Voiture đáng thương kia, tôi thì tôi tán thành ý kiến của ông chủ giáo: thi sĩ thuần tuý.
- Igen, kétségkívül, költészetben csodálatos volt - mondta Ménage -, mindazonáltal az utókor, ha majd csodálja is őt, valamit felró neki, éspedig azt, hogy túl nagy formai szabadságot vezetett be; s anélkül, hogy tudná, megölte a költészetet.	- Ông Ménage nói, - về thi ca, chắc chắn ông ta kỳ tài rồi, song sau này, hậu thế khi khâm phục ông thì cũng trách ông một điều, ấy là đã đưa vào cấu tạo của thơ một sự tự do phóng túng quá đáng; ông ta giết chết thi ca mà không biết.
- Megölte, ez a helyes kifejezés!	- Giết chết, từ ấy đúng đấy.
- mondta Scudéry.	- Scudéry nói.
- De micsoda mesterművek a levelei! - jelentette ki Chevreuse-né hercegasszony.	- Nhưng văn chương của ông ta thật là kiệt tác!
- vallotta Scudéry kisasszony.	Về phương diện ấy, - cô Scudéry nói, - đó là một người lẫy lừng thật sự.
- Ez igaz - vélekedett Paulet kisasszony -, de csak amíg tréfálkozik, mert a komoly levél műfajában szánalmas, s otrombán, ismerje el, nagyon silányan közli mondanivalóját.	- Đúng - Cô Paulet đối đáp, - nhưng chừng nào ông ta còn bông phèng, bởi vì trong thể văn thư tín nghiêm túc thì ông ta thật thảm hại, và nếu ông ta không nói các điều ra một cách sống sượng, thì các bạn cũng phải thừa nhận rằng ông ta nói rất dở.
- De azt legalább elismeri, hogy tréfában utánozhatatlan!	- Nhưng it ra cô phải đồng ý rằng cách bông đùa của ông ta không thể bắt chước được.
- Arról nem is szólván - vette át a szót Ménage -, hogy legjobb ötleteit a Rambouillet-palotának köszönheti.	Chưa kể những cảm hứng tuyệt diệu nhất của ông ta thường đến từ dinh Rambouillet, - Ménage nói tiếp.
Példa rá a Zélide és Alcidal is.	- Cứ xem élide và Alcidalis.
- Ami engem illet - mondta Aramis, a körhöz közeledvén, s tisztelettel üdvözölve Chevreuse-nét, ki ezt bájos mosollyal viszonozta -, ami engem illet, még azt is szemére vetném, hogy a nagyokkal szemben túl sokat engedett meg magának.	Aramis đến gần đám đông và cung kính chào bà de Chevreuse, bà đáp lại bằng một nụ cười duyên dáng, còn tôi, tôi cáo buộc ông ta là đã tự do quá trớn đối với các đại thần.
Több ízben sértette meg a hercegné asszonyt, D’Albret marsallt, Schomberg urat s magát a királynét is.	Ông ta thường không phải với bà hoàng thân với ông thống chế d Albert, với ông de Schomberg, với cả hoàng hậu nữa.
- kérdezte Scudéry, s jobb lábát előrerakta, mintha vívóállásba helyezkednék.	- Scudéry vừa hỏi vừa bước chân phải lên như đứng thủ thế.
- Nem ismerik az Arra gondoltam... kezdetű versét?	- Ông không biết bài "Tôi nghĩ" của ông ta sao?
- Nem - mondta Scudéry kisasszony.	- Không, - bà de Chevreuse nói.
- Nem - mondta Paulet kisasszony is.	- Không, - cô Paulet nói.
- Csakugyan, a királyné, azt hiszem, nem soknak mutatta meg; én azonban biztos forrásból ismerem.	- Quả vậy, tôi cho rằng hoàng hậu chỉ truyền cho ít người biết thôi, nhưng tôi, tôi nắm chắc trong tay.
- És tudja is?	- Và ông thuộc chứ?
- Azt hiszem, még tudom.	- Tôi chắc là có nhớ.
- Halljuk!	- Nào?
- kérték mindenfelől.	- mọi người nhao nhao lên.
Voiture elmosolyodott, öt percig elmélkedést színlelt, majd így felelt:	Voiture mỉm cười và giả vờ suy nghĩ năm giây để người ta tương rằng ông ứng khẩu thành thơ và đáp:
fénnyel, hírnévvel szaporán;	Nào danh dự, nào vinh quang xán lạn;
hogy azt ne mondjam: víg szerelmes!...	Tôi không nói rằng vì nàng đã yêu đương.
S ha mondom, a rímért csupán.	Dù vần gieo đến là thích hợp".
Scudéry, Ménage és Paulet kisasszony a vállukat vonogatták.	Scudéry, Ménage và cô Paulet nhún vai. - Khoan đã, khoan đã.
- Várjanak, várjanak - mondta Aramis -, három versszakból áll!	- Aramis nói, - có ba đoạn cơ mà! - Ồ!
- Ej, mondja inkább azt, rigmusból - jegyezte meg Scudéry kisasszony -, hisz legfennebb sanzon ez.	- Cô Scudéry nói, - hãy nói là ba khúc, đây bất quá là một ca khúc.
ki nyilát mindig kölcsönadta,	Hằng cấp cho nàng vũ khí của mình
ha még a legkészségesebb	Nghĩ mà buồn chăng thể làm chi
hívének is a királyasszony	Khi nàng đã phũ phàng bạc đãi
- kérdezte Scudéry kisasszony.	- Thể còn khúc cuối - Cô Scudéry bảo, - còn khúc cuối nữa.
