HOMÉROSZ	Homer
Szkülla nevét nem is említettem, hisz kikerülni	"Giọng ca dìu dặt yêu nữ cứ thế ngân nga.
Kirké fájó intelmére bizony nem ügyeltem: ő ugyanis nem akarta, hogy ott felövezzem a fegyvert;	Lòng nao nao muốn thưởng thức tiện nhân nhếch mày làm dấu ra lệnh tay chèo cởi trói.
két kelevézt markolva, hajóm orrára kiálltam:	Song khom lưng họ vung tay chèo mạnh tiến lên.
hat társam, ki a legderekabb-erejű evezős volt.	Ta chắc quý hữu sẽ nhớ suốt đời.
Visszatekintve a fürge hajóra s a társak után, már	Bởi vậy bây giờ tất cả hãy tin tưởng làm đúng như ta nói.
engem amonnan, fájó szívvel, s akkor utolszor.	Đà thủ, lắng nghe, đây là lệnh phải theo.
Mint amidőn a halász földnyelven, a vesszeje végén	Nhớ thật kỹ, nhớ nằm lòng, vì bánh lái trong tay ngươi.
ő meg a nyílásnál fölfalta az orditozókat,	"Tay chèo răm rắp tuân lệnh.
"Bármint gyötrődtök, társak, hallgassatok énrám,	Vừa rên rỉ lo sợ ngô bối vừa lái thuyền băng qua hải lộ.
Eurülokhosz meg azonnal gyűlölködve felelte:	"Tay chèo tái mặt vì kinh hoàng!
"Rettentő vagy, erőd iszonyú, soha tested, Odüsszeusz,	Sợ chết đến nơi ngô bối chăm chú hướng nhìn Charybdis.
váratlan ha a szélvihar erre fut, és a Notosz, vagy	Nó ăn sống nuốt tươi ngay cửa hang.
emlékezve siratták meg hat drága barátunk,	Do vậy lái thuyền cách xa đảo đó.’"
sírás közben szállta meg őket a mézizü álom.	"Lời vừa dứt tay chèo xịu mặt buồn rầu.
Csakhogy amint kifogyott a hajóról útravalójuk,	"Eurylochos nói thế, tay chèo mừng rỡ tán thành.
"Bármint gyötrődtök, társak, hallgassatok énrám.	"Tay chèo đồng ý, đoán chắc như tiện nhân đòi hỏi.
áldoztak hát vízzel, a belsőrészt kisütötték.	Không có gió nào khác, trừ gió nam và gió đông.
leples Lampetié, hogy a marháit mi megöltük. Hát haragos szívvel harsant a haláltalanokra:	Thần linh liền khép vành mi đưa tiện nhân vào giấc ngủ thú vị.
sült és nyers darabok, mint élő barmok izegtek.	"Eurylochos nói thế, tất cả hoan nghênh.
s föllépvén a hajóra, a tágterü vízre kiszálltunk.	Lùa được bò rồi họ làm lễ khấn vái thần linh.
habtarajon; hazatértüket így elorozta az isten. Én a hajón jártam fel-alá, de letépte a hullám	Tiện nhân lớn tiếng kêu thần linh bất tử: ‘Ôi, Cha Chúa tể và thần linh hạnh phúc!
De regélni minek már?	Nhưng hỡi ôi!
mert terhes, ha ajándékot fölösen csakis egy ad."	Gió giật đứt hai dây chằng phía trước cùng một lúc.
Így szólt Alkinoosz, s mindnek tetszett a beszéde.	Cột buồm đổ, thuyền cụ rơi xuống hầm.
sűrü-sötétfelhős Zeusznak, mindenki urának.	Thuyền chòng chành xoay tít, toàn thân sặc mùi lưu huỳnh.
Combokat égetvén, a dicső lakomát lakomázták s élvezték; zengett közepettük az isteni dalnok,	Bị hất khỏi boong, bám quanh vỏ đen xì, tay chèo rập rờn như hải âu nhấp nhô trên sóng.
"Alkinoosz, nagyuram, népednek legjelesebbje,	Charybdis đang há miệng nuốt nước biển mặn chát.
Szólt; dícsérték mind, s mondták: el kell a honába	"Lúc cả hai xuất hiện, tiện nhân mừng hết sức.
Szólt; mire Pontonoosz vegyitette a méz-szivü színbort	Lóp ngóp bò ngồi lên trên tiện nhân đưa hai tay chèo lách ra.
őt, aki oly sok erős gyötrelmet tűrt a szivében, hősök háboruit próbálva, vizek veszedelmét,	Vậy bây giờ thêm vào đó mỗi vị biếu khách lạ chiếc vạc nấu, chiếc kiềng ba chân.
Hát hogy a legragyogóbb csillag föltűnt, mely az éjből	Sau này ngô bối sẽ bổ vào dân chúng bắt góp phần trả lại.
Phorküsznak van amott kikötője, a tengeri vénnek,	Quân vương dứt lời, tất cả tán đồng.
Ithaka községében, két meredekfalu szirtje	Sau đó mọi người ra về nghỉ ngơi.
még álombaigázottan tették a fövenyre,	Xin kính chào tạm biệt Hoàng thượng!
teljesen el, mert hogy hazaér, bólintva igérted.	Odysseus dứt lời, mọi người tán thưởng.
szétzúzhassam, hogy haza már sose hordjanak eztán	Odysseus chèo lên boong lẳng lặng ngả lưng.
éppen amint közeleg, változtasd part közelében sziklává, de alakját hagyd meg; a földilakók mind	Cảm giác quên lãng từ từ nhẹ khép vành mi, Odysseus thiếp ngủ, êm đềm, say sưa như chết.
széttöri, és elzárja magas hegylánccal a várost.	Tay chèo Phaiakian cập bến chỗ này vì biết từ trước.
úrhoz, a pahiák nép fejedelmei és vezetői,	Làm xong họ lên thuyền trở về.
Éppenezért idegennek tűntek most a királynak	"Thế hả!" Chúa tể thu thập mây đen đáp.
följajdult azután s kifeszített két tenyerével	Thần linh không hề coi nhẹ thần đệ.
Hát hova hordjam a kincseimet? hova-merre bolyongjak	Thần đệ hoàn toàn tự do hành xử theo ý mình."
és aranyat számlálta s a szép szőtt drága ruhákat;	Đến nơi hải thần lẳng lặng chờ thuyền lao vun vút vào bờ.
Jött most közelébe Athéné,	Làm xong hải thần trở về.
tündöklő lábán saru díszlett, dárda kezében.	Ai chặn ngoài khơi khi thuyền vào bến đậu?
üdvözlégy, s ne gonosz szándékkal lépj ide hozzám;	Lát sau Alkinoos mới lớn tiếng giải thích: "Hỡi ôi!
S mondd nekem azt is el őszintén, hadd tudjam egészen: míly föld, mely nép ez?	Bây giờ quả nhân mới hiểu điều thân phụ tiên đoán trước đây!
hogyha e tájról így kérdesz; hiszen ennyire épp nem	Lão nhân nói thế, điều đó bây giờ trở thành sự thật.
névtelen ez: sokan ismerik és egyképen a népek,	Dẫu vậy hãy lắng nghe và làm theo điều quả nhân nói.
S ugyanannyit a gyermekeimnek	Lần này lạc đến xứ nào?
Érchegyü dárdával dobtam meg, amint hazatartott	Để phẩm vật chỗ nào bây giờ và ta sẽ đi đâu?
földje felől, egy társsal az útnál lesve reája.	Biết thế cứ ở đó với người Phaiakian!
ők meg a kincseimet hordták ki a görbe hajóból	Odysseus thấy không thiếu thứ nào.
Mégse beszéljünk erről már, hiszen értjük a cselt mi	Vui lòng cho biết đích xác tiện nhân đang ở đâu?
fortélyról, ravasz észről.	Tên gọi là gì?
S nem láttad te se meg, hogy	Dân sở tại ra sao?
Pallasz Athénaié vagyok én, Zeusz lánya, ki minden	Phải chăng hòn đảo chan hòa ánh nắng?
főnemesek, mikor indultál, ahogyan kieszeltem;	Xứ này có tên gọi hẳn hoi.
sértést mind, s tűrd el dölyfét az erőszakosaknak."	Xứ này trồng lúa nhiều vô kể, trồng cả nho làm rượu vang.
mert így győzöd a szót, íly jóeszü, óvakodó vagy.	Đêm đó trời tối như bưng, không ai nom thấy ngô bối.
Néiaszoknak hívott nimfák szent pihenője,	Mệt lử tiện nhân thiu thiu lúc nào không hay!...
"Bátorság, ilyenekre szivednek gondja ne légyen.	Nhưng thôi ngừng lại, chấm dứt chuyện như thế!
Kincseidet tegyük el csak azonnal az isteni barlang	Bởi ngươi và ta đều thâm hậu, thành thạo tay nghề.
Pallasz Athénaié, pajzstartó Zeusz atya lánya.	Nhất định kiên trì chịu đựng do sống còn đòi hỏi.
csakhogy az asszonyod egyre utánad sír a szivében,	Vì nữ thần thay đổi hình dạng thường xuyên!
Így szólt erre az istennő, a bagolyszemü Pallasz:	Tiện nhân không tin đã đặt chân lên Ithaka chan hòa ánh nắng.
megtöröm eddig olyan gyönyörű szemeid ragyogását,	"Bởi thế ta không thể rời bỏ khi ngươi gian nan.
hogy nyomorúságosnak lássanak otthon a kérők	Ngươi rất ư kín đáo, chín chắn, thận trọng.
és az erős makkot falják, a sötét vizet isszák,	Chuyện ngươi trở về ta không hề nghi ngờ.
Válaszul erre eképen szólt leleményes Odüsszeusz:	Vừa nói nữ thần vừa xua sương mù, xứ sở hiện hình rõ mồn một.
Ülve találta a pitvarban, körülötte kerítés	"Ôi chao!" Odysseus mưu trí lớn tiếng đáp.
kérők folytonosan; számukra naponta a kondás	Đám cầu hôn phá hại gia cư, a ha!
Társai jártak,	Nhưng thôi!
földrelapult ravaszul, botját kivetette kezéből.	Ở lại nơi ấy, ngồi với nô bộc, hỏi nô bộc những gì muốn biết.
Pedig hát	"Ô!
kaptam amúgyis az égilakóktól bánatot és bajt:	Đừng quá lo cho công tử!" Nữ thần mắt xanh lam lục tiếp lời.
vágya szerint jóllakj étellel, bort is igyál rá,	Nhưng đừng sợ, ta canh chừng.
és azután megmondd, honnan jössz, míly bajok értek."	Chẳng bao lâu nữa đất lành sẽ phủ kín đám cầu hôn phá hại của cải nhà ngươi."
Erre te, Eumaiosz kondás, így adtad a választ:	Chuẩn bị xong xuôi hai bên chia tay.
és vendég.	Khúc 14
hallottak gyászos vesztéről, hogy nem akarnak	Bởi thế chỉ còn ba trăm sáu chục con.
disznófalkát, kecske-, juhnyájat is épp ugyanennyit	Odysseus nhanh trí ngồi xuống, cây gậy rơi khỏi tay.
adta a kondás át.	Ôi, buồn thay!
mondd a nevét, háthogyha fölismerem őt az után is.	Nhưng thôi, lão nhân, theo phàm phu vào tệ xá.
vagy halak ették meg, tenger mélyében, a csontja	Nhưng phàm phu mất ông rồi... Ôi chao!
nem bizony, ennyire őket sem siratom, noha vágyom	Nô bộc chọn hai con đem vào làm thịt.
mégegyszer meglátni szememmel az otthoni földön:	Nô bộc đốt lửa, xẻ miếng, xiên nướng.
sértegetik feleségét és fényes fiusarját."	Về của cải ông sở hữu hơn hai mươi người gộp lại.
Erre te, Eumaiosz kondás, így adtad a választ:	Tính nhẩm quý khách tường.
Télemakhoszt.	Nô bộc dứt lời.
Róla ne szóljunk már, hogy kézrekerítik-e vajjon,	Quý hữu nói ông ta chết do giúp Agamemnon trả thù.
vagy még megmenekül, ha Kroníón óvja kezével;	Nếu là quân vương lừng danh xin kể tên.
honnan jössz te, ki vagy?	Có lẽ bỉ phu biết.
és kit a krétai nép, mint istent, annyira tisztelt,	Còn chủ nhân phàm phu!
mert tehetős volt és boldog, s fia mind daliás volt.	Thưa, ông chết rồi, biệt tăm biệt tích.
Én jómódú szülők lányát vettem feleségül,	Vâng, ông chấm dứt cuộc đời như thế, không biết ở đâu!
Harcban ilyen voltam; de sosem kedveltem a munkát,	Ông chăm lo, yêu thương quá chừng.
isteni társakkal, jó-fölszerelésü hajókkal.	Và cũng đừng nói chuyện thề bồi trở về, quên đi!
majd, hetedik napon elhagytuk mi a tágterü Krétát,	Thần linh phù hộ khôn lớn như cây non mơn mởn.
Városukig hamar ért el a lárma.	Lão nhân là ai, từ đâu?
Erre a városiak korahajnalidőn kirohantak,	Thành phố nào, song thân ra sao?
és ércnek ragyogásával.	Thuyền nào đưa tới?
S villámszerető Zeusz	Tay chèo thế nào?
másokat elvittek sanyarú munkára erővel.	Họ là người ra sao?
rengetegen, le akartak szúrni goromba haraggal;	Krete bao la là nơi bỉ phu hân hạnh chào đời.
ő nem hagyta, mivel tisztelte a vendéglátó	Thân phụ là nhân vật giàu có.
Ott azután őnála maradtam egész kerek évig.	Bầy con cao ngạo bốc thăm chia gia tài.
És miután elmúltak a hónapok és a napok mind,	Ngoài ngôi nhà bầy con cho bỉ phu tí của.
Barna hajónk körül úszkáltak, mint tengeri varjak	Bỉ phu có xu hướng như vậy ấy là do thần linh truyền phả vào tim.
Rácsimpaszkodtam, s a dühös szelek űztek előre.	Của cải cứ thế gia tăng dần dần.
Hosszú kilenc napon át hányódtam; utána, vak éjben,	Vì vậy dân đảo kính trọng nể vì.
vendégül fogadott; szeretett fia lelt meg a parton,	Bỉ phu không thể từ chối yêu cầu vì sợ dân chúng chê cười.
dér és fáradtság-kínzottan, s vitt haza nyomban,	Tới thành Troa con cái người Achaian giao chiến chín năm.
Még tizedik nemzetségének is éppen elég lesz,	"Bỉ phu trang bị chín thuyền, tay chèo tập hợp nhanh chóng.
oly sok kincse hevert a király palotája ölében.	Sáu ngày liên tiếp họ ăn uống lu bù.
hogy hogyan érhet az útján már haza, dús Ithakába,	Ngày thứ bảy ngô bối lên thuyền.
nyíltan-e, vagy titkon, mivel oly rég távol időzik.	Rời Krete đồng ruộng bao la ngô bối dong buồm ra khơi.
Esküt tett nekem ő, boritalt loccsantva a házban:	Gió bắc mát mẻ, thuận chiều thổi mạnh.
más rossz rongyokat adtak rám, és foszladozó csúf	Tiếng kêu la lan tới thành phố.
elmenjek hozzá, mert hallott hírt valahonnan.	Tới nơi bỉ phu ở nhà y hết năm.
én biz nem szeretek semmit kérdezni-kutatni,	Nghi lắm, song làm sao hơn?
egyszer már becsapott a szavával egy aitól ember:	Bỉ phu theo y lên thuyền!
Válaszul erre eképen szólt leleményes Odüsszeusz:	Thần linh quyết định không người nào trở về.
Kössünk hát fogadást: legyenek tanuink az Olümposzt	Bỉ phu ôm chặt mặc gió tàn ác cuốn đi như đồ chơi.
Hogyha urad hazatér és ebbe a házba betoppan,	Bỉ phu trôi nổi chín ngày.
s így tartózkodjék más koldus a csalfa beszédtől."	"Trong khi ở đó bỉ phu nghe quân vương nói về Odysseus.
gonddal megsütögették mind, majd újra lehúzták	Chẳng mấy chốc bỉ phu ra khơi, cách chúng khá xa.
Majd odaállva a kondás osztani kezdett: mert értette nagyon, mi az illő.	Lóp ngóp lên bờ bỉ phu mò vào rừng cây cành lá um tùm nằm trốn.
mint én, kit jókkal tisztelsz meg, ilyen nyomorultat."	Bởi số phận còn bắt bỉ phu sống nữa ở đời!"
Hiszen ezt ad, amazt pedig elvon,	Quý khách đáng thương!
Szólt, s áldozta előbb a haláltalanoknak a zsengét, majd loccsantva, a lángszinü bort odaadta kezébe	Kể chuyện gian truân, lưu lạc bản thân trải qua quý khách làm phàm phu xúc động khôn xiết.
mert a Taphosz-beliektől vette, saját vagyonából.	Theo chỗ phàm phu nghĩ quý khách khiến phàm phu nghi ngờ.
Jött fenyegetve a holdtalan éj, szakadott szakadatlan	Phàm phu đã nghe nhiều chuyện chủ nhân trở về!
földön, míg gonosz és fagyos éjszaka jött, Boreász fújt;	Gã giết người, lang thang khắp nơi, cuối cùng tới gõ cửa.
fojtott hangon szólt, ezeket suttogta fülembe:	Nhưng thôi, hãy đồng ý cam kết.
"Hallgass most, a beszéded a többi akháj sose hallja."	Thần linh trên núi Olympos sẽ làm chứng đôi ta.
Szólt; fölkelt; s heverőt helyezett közelébe a tűznek,	Nô bộc khả kính gọi to nói với mục tử: "Tóm con khá nhất.
roppant, sűrü subáját, mely ott volt, hogy a kondás	Ta muốn làm thịt đãi quý khách mới tới từ nơi xa xôi.
Ment s fölövezte a fegyvereit; megörült nagy Odüsszeusz,	Nói rồi nô bộc cầm rìu mũi đồng sắc cạnh chẻ củi.
TÉLEMAKHOSZ MEGÉRKEZIK EUMAIOSZHOZ	Tế sinh ngáp thở nằm dài.
S most tágtáncterü Spárta felé sietett el Athéné,	Mục tử xúm vào cắt cổ, cạo lông, phanh thịt tức thì.
gondjai apja felől, rátörve az isteni éjben.	Nô bộc đứng dậy chia phần.
dölyfös férfiakat: nehogy ők mindent fölemésztve	Nô bộc dành phần danh dự cho Odysseus, sống lưng béo ngậy.
Mondok még mást is, te pedig rejtsd jól a szivedbe.	Khi mọi người ăn uống xong xuôi Mesaulios thu bánh dọn bàn.
fedni a föld néhányat előbb, ki a házad emészti.	Odysseus nói chuyện với mọi người.
az, ki az égilakók közül óv és őriz örökké.	Bỉ phu sắp cất lời bộc lộ ước muốn.
Vízbefutó földnyelvéhez ha elérsz Ithakának,	Đây là hậu quả của vang.
küldd város fele társaidat mind, vélük a bárkát,	Vang bảo người uống làm điều rồ dại.
"Átreidész Meneláosz, Zeusz-sarj, nép fejedelme,	Giá lạnh giết từ từ, vì ta không có áo choàng.
engedj már, kérlek, szeretett földjére hazámnak,	Thần linh xui dại ra đi không mang gì trừ tu-ních.
Egykép rosszat tesz, ki a vendéget, ha nem óhajt,	Ta đang thiu thiu thần linh đưa vào giấc mơ.
el nem ereszthet üres kézzel, lesz mindig ajándék:	Ô Eumaios, nô bộc chăn heo, nô bộc tiếp lời: "Lão nhân!
vagy jóércü tripúsz kerül onnan, vagy pedig egy tál,	Chuyện vừa kể tuyệt vời; lời không thừa, ý không sai.
isteni édesapám keresem - s még elveszek én is,	Chờ công tử Odysseus.
Jött hozzájuk utána Boéthoidész Eteóneusz,	Odysseus ngả lưng chờ giấc.
hozza ki azt.	Khúc 15
Héphaisztosz kezemunkáját.	Công tử Nestor ngủ li bì.
s őket a szőkehajú Meneláosz a házba vezette.	Công tử lạ gì lòng dạ đàn bà.
és sok jó eledelt, s ami volt, osztotta örömmel.	Điều nữa công tử phải nhớ nằm lòng.
S ők kirakott kész étkek után kezüket kivetették.	Nhưng đừng sợ, ta nghĩ chúng không thành công.
Hát mikor ezt mondotta, madár szállt jobbra fölötte:	"Ờ, Telemachos," Peisistratos công tử Nestor ậm ừ đáp.
jobbfele szállt paripáik előtt el.	Hơn thế rạng đông sắp tới.
Szólt; mire töprengett az Arész-kedvelt Meneláosz,	Lời vừa dứt, rạng đông lên ngự ngai vàng.
"Adja nekünk ezt Zeusz, Héré dörgőszavu férje:	Mọi việc ở đời vừa phải vẫn hơn.
rég, s az apáink is, te pedig velem egykoru is vagy:	"Tiểu điệt muốn trở về tức khắc.
s lám, utazásunk is méginkább egybeköt eztán.	Bởi khi rời nhà ra đi, tiểu điệt không bảo ai trông nom tài sản.
part fele fordította, a bárka felé paripáit,	Menelaos sai nhóm lửa nướng thịt.
drága ruhát s aranyat, mit adott neki hős Meneláosz;	Menelaos xuống nhà kho thơm phức.
buzdította is őt ezután, szárnyas szavakat szólt:	Cùng đi có Helen và Megapenthes.
Szólt és megcsapkodta sörényes szép paripáit,	Sau đó hối hả đi qua cung điện ba người đến gặp Telemachos.
fivérének a lányt; maga ment más földre, a híres	Tiếp theo tỳ nữ kéo chiếc bàn bóng lộn lại gần.
Antiphatész nemzette a hősszivü Oikleuszt,	Quý tử Menelaos làm bồi tửu rót vang.
és Oikleusz meg a népösztönző Amphiaráoszt,	Thực khách đưa tay lấy thức ăn trước mặt.
"Kedvesem, ím, miután áldozva talállak e földön,	Gia nhân nam nữ vừa đuổi theo vừa la hét inh ỏi.
Halld, Ithakába való vagyok én, az apám meg Odüsszeusz,	Thần linh gửi điềm triệu cho ngô bối hay quân vương?"
hogyha ugyan volt: mert már meghalt szörnyü halállal.	Menelaos chiến binh tài ba suy nghĩ trả lời thế nào cho phải.
jer velem: otthon, ahogy tőlünk telik, úgy fogadunk be."	Cặp ngựa chồm lên xả vó băng qua thành phố ra cánh đồng.
Szólt; és érchegyü dárdáját kiemelte kezéből,	Suốt ngày ách nhô lên, tụt xuống trên hai cần cổ.
és az arányos bárka fedéldeszkáira tette;	Mặt trời lặn, bốn bề tối om.
Majd miután elverték végül az éhet, a szomjat,	Ta muốn về nhà càng nhanh càng quý."
Áhitozom hajnalban a városotokba sietni,	Ta nghĩ ông sẽ không trở về một mình.
földi halandó nem vetekedhetik énvelem úgysem	Nhưng bỏ nơi chôn rau cắt rốn Melampous trốn sang xứ khác.
tűzélesztésben, s jobban tudok én hasogatni	Neleus hào hiệp tịch thu, phong tỏa tài sản một năm.
Tán bizony oly nagyon áhitozol pusztulni közöttük?	Đương sự bỏ xứ sang sống ở Argos, đất ngựa nòi.
Tudd meg: a szolgahaduk hozzád csöppet se hasonló:	Đương sự lập gia đình, xây cất ngôi nhà mái cao.
ifjak azok, jó ingben járnak, szép köpenyegben,	Đương sự có hai con trai cao lớn, khỏe mạnh: Antiphates và Mantios.
és a fejük ragyogó és fésült, arcuk is ápolt,	Antiphates sinh Oikles táo tợn.
az, kit elér útján a bolyongás, fájdalom és baj;	Quý hữu là ai, từ đâu tới?
most, miután itt tartasz, amíg haza nem jön a gazdád,	Thành phố nào, song thân ra sao?"
Erre a kondás, emberek elseje, adta a választ:	Nhưng ông đã chấm dứt cuộc đời thê thảm!
Mert az a gyásza miatt pusztult, nagyhírü fiáért,	Bỉ nhân cam chịu số phận sống lang thang khắp thiên hạ.
szörnyü halállal, ahogy bárcsak sose halna, ki nékem	Bỉ nhân tới quý hữu như kẻ đào tẩu, như kẻ van xin!
legkisebb lányával táplált engem a házban;	Thôi, lên với bản nhân.
küldött így; ám mégjobban szeretett a szivében.	Telemachos hạ lệnh tay chèo chuẩn bị thuyền cụ.
jó tettét sosem érzem, a romlás tört palotánkra:	Thuyền cứ thế băng qua Krounoi, Chalkis mặt nước ngoạn mục.
dölyfös férfisereg; de a szolgák arra szorulnak,	Mặt trời lặn, bốn bề tối om.
ott szerelembe vegyült, mi befonja az asszonyi népet,	Hay đã vĩnh biệt thế gian xuống âm phủ ở với Diêm Vương?"
"Mondd hát, nem térnél mivelünk haza most a hazádba, látni apád meg anyád meredektetejű palotáját,	Vì thương nhớ quý tử dũng cảm nên buồn da diết lão bà đã vĩnh biệt cõi đời buồn thảm.
és magukat?	Ôi chao!
Hiszen élnek, s mondják, gazdagok is még."	Chết thảm thương!
mert aranyat hozok, annyit, amennyi kezembe kerül csak.	Rất may thần linh hạnh phúc ban cho công việc phàm phu đổ mồ hôi hoàn thành.
S van még más is, amit szívből adok én utibérül,	Kết quả phàm phu có cái ăn, cái uống và cái cho người thiếu thốn.
Így szólt; és azután hazatért gyönyörű palotánkba;	"Ôi, thê thảm!" Odysseus trăm khôn ngàn khéo tiếp lời.
Majd miután üreges bárkájuk, rakva teherrel,	Nhưng thôi, kể cho bỉ phu hay, kể thành thực.
kézzel megtapogatták, szemmel nézve csodálták, s árat igértek; eközben az intett csöndbe fejével.	"Quý khách," Eumaios đầu mục mục tử chăn heo đáp, "vì muốn biết chuyện quý khách dò hỏi.
Ők maguk elmentek már népgyűlésbe, tanácsba:	Quý khách không cần đi ngủ sớm.
onnan azonnal három kelyhet tett kebelébe	Ngủ nhiều không tốt.
s ment ki a nő; én meg buta fejjel mentem utána.	Còn mấy người, nếu lòng dạ thèm quá, cứ việc ra ngoài ngon giấc!
Néki az isteni sarj, Odüszeusz, így adta a választ:	Nơi đó có hai thành phố, mỗi thành phố chiếm nửa đảo.
emberi városon át csavarogva jutottam idáig."	Bọn Phoinician xảo trá lập tâm quyến rũ!
nyomban a széptrónú Hajnal jött.	Y hỏi nàng là ai, từ đâu tới.
Erre Theoklümenosz szólalt meg, az isteni férfi:	Nàng tiếp lời: ‘Giữ mồm giữ miệng!
Mondd, kik a sziklás	Im lặng.
jó odajönnöd: nem vagyok ott, és édesanyám sem	Nhớ kỹ điều đó, mua hàng đem về thật mau.
édesanyámat, s vágyik apám örökébe kerülni.	Lên thuyền ra đi tiện thiếp sẽ đền bù quý nhân thêm nữa.
tépett, azt hurcolta; galambtoll hullt le a földre	"Lái buôn ở với ngô bối hết năm.
átkulcsolta kezét, s a nevén szólítva kimondta: "Télemakhosz, nem az isten nélkül jött ez a szárnyas	Khi thuyền rỗng không đầy hàng sẵn sàng rời bến ra khơi chúng sai người mang tin cho nàng hay.
"Jó idegen, bár menne e szózat teljesedésbe:	Ra dấu xong tên này trở về thuyền.
tüstént megtudnád, mint kedvellek: sok ajándék	Nàng cầm tay phàm phu dắt qua cửa ra ngoài.
Válaszul erre dicsődárdás Peiraiosz ekép szólt:	Mặt trời lặn, bốn bề tối om.
Fölszálltak szaporán, evezők mellé telepedtek.	Sáu ngày sáu đêm ngô bối chèo liên tiếp.
Télemakhosz, kedves fia isteni hős Odüszeusznak.	Chúng quăng thi thể xuống biển làm mồi cho cá và hải cẩu.
Őt meg vitte a lába sietve előre, s az ólhoz	Còn có một mình phàm phu buồn khôn xiết.
ért, hol a sok-sok disznó élt, s hol hált az a kedves	Gió thổi, sóng đánh đưa ngô bối tới Ithaka.
vagy más ismert ember, mert a kutyák nem ugatnak,	Đêm nay, sau khi quan sát nông trại, ta sẽ ra thành phố.
kínt tűrt: isteni Télemakhoszt ez az isteni kondás így csókolta-karolta, miként vészből szabadultat.	Bà ít xuống đại sảnh trực diện đám cầu hôn, bà lánh mặt ở trên gác trong phòng dệt cửi.
látva gyönyörködjék, aki bentállsz visszakerülvén.	Được hay không chỉ có Chúa tể trên núi Olympos biết!
Úgyis ritkán jársz mezeidre, a pásztoraidhoz,	Trước khi đám cưới diễn ra có lẽ Chúa tể tận diệt chúng!"
bent vagy a városban: hisz a lelked is annyira boldog,	Telemachos vừa ngừng con chim từ bên phải bay qua.
házunkban van-e még az anyám, vagy már valamely más	Chăm chú nhìn bỉ nhân hiểu đó là điềm triệu.
Néki a kondás, emberek elseje, adta a választ:	Cầu mong điều vừa nói sẽ là sự thật!
hervad az éjjele, nappala, hullnak a könnyei folyton."	Họ làm theo tức thì, ngồi vào chỗ cầm mái.
S ők kirakott kész étkek után kezüket kivetették.	Odysseus trông thấy, cùng lúc nghe cả tiếng chân người.
Majd miután elverték végül az éhet, a szomjat, akkor Télemakhosz kérdezte az isteni kondást:	Quay phắt sang Eumaios, Odysseus nói lời như có cánh bay xa: "Đầu mục có khách tới chơi!
Mert hisz, hogy gyalog ért hozzánk ide, vélve se vélném."	Lời vừa dứt quý tử đã đến trước cửa.
és vele kétélű kardot, talpára sarúkat,	"Nhưng con tới đây vì bố.
szörnyü keserves a nagy sokasággal szembeszegülni,	"Thân mẫu vẫn ở nhà," đầu mục chăn heo khẳng định.
"Kedvesem, itt ha talán nekem is szabad ejtenem egy szót,	Dứt lời đầu mục đưa tay cầm thương đồng.
úgy bizony, azt mondjátok: a kérők dúlnak a házban,	Telemachos bước qua ngưỡng cửa bằng đá đi vào.
Mondd, önként hagyod ezt, vagy tán haragusznak a népek	Vừa nom thấy Odysseus đứng dậy rời ghế nhường chỗ.
bolygásból hazatér; a reményre hiszen van okunk még;	Nông trại thế này ngô bối tìm chỗ nào an tọa chẳng được!
akkor ugyan fejem egy más ember messe le nyomban,	Người kia sẽ lo giùm."
hogy Láertiadész Odüszeusz házába belépek.	Nghe nói thế Odysseus lui lại, ngồi xuống.
S egymagamat ha talán leigázná nagy sokaságuk, jobban akarnám, hogy megöletvén itt palotámban	Đầu mục trải cành cây còn tươi, lấy da cừu phủ lên mời quý tử Odysseus nghỉ ngơi.
s hogy boromat kimerik mind és kenyerem fölemésztik,	Mọi thứ xong xuôi đầu mục ngồi đối diện Odysseus.
így pazarolva haszontalanul, nincs vége, se hossza."	Mọi người lấy món ăn ngon lành theo sở thích bày trước mặt.
s nem testvéreimet vádlom vele, kikben az ember	Chắc hẳn tay chèo đưa đến.
mert Arkeiszosz egyetlen fia volt Láertész,	Họ là người xứ nào?
s egyetlen fia volt Odüszeusz neki; s engem Odüsszeusz,	Con nghĩ đương nhiên quý khách không cuốc bộ tới đây."
mind az anyámnak kéri kezét, s fölemészti a házam.	Vừa trốn khỏi thuyền bọn Thesprotian, khách mò tới nông trại.
Ő meg a gyűlöletes nászt nem veti el, de nem is tud	Bây giờ ta trao con; xử sự tùy ý!
hogy nincs semmi bajom, s hazaértem végre Püloszból.	"Làm sao con có thể đón tiếp, đãi đằng khách ở nhà?
azt mondják: nem eszik, nem iszik, nem ügyel fel azóta	Dù sao con không muốn khách ra đó gặp bọn cầu hôn.
mondd, hogy szolgaleányt küldjön, sebesen, ki titokban	Chúng ngổ ngáo, ẩu tả ngoài sức tưởng tượng.
és lábára csatolva, elindult; csakhogy Athéné látta, hogy Eumaiosz kondás odahagyja tanyáját,	Nếu chúng sỉ nhục khách, con sợ sự thể có thể xảy ra, con cảm thấy đau lòng ghê gớm.
De én sem	Ôi chao!
Arca megint megtelt, megbarnult újra a bőre,	Vì dù sao vẫn còn hy vọng!
Megdöbbent jó fia tüstént, másfele vetve szemét, félt: hátha egy isten a vendég.	quý khách," Telemachos vẻ mặt suy tư tiếp lời, "bản nhân sẽ kể sự thật.
