1	CHƯƠNG 1
Különben a mondatot bátortala­nító hallgatás fogadta.	Vả chăng, câu nói rơi tõm vào một cái im lặng nản lòng.
- Melyik cégnél volt Párizsban?	— Cô đã làm ở nhà nào ở Paris?
- De hiszen most érkeztem Valognes-ból.	— Nhưng, thưa bà, tôi từ Valognes tới.
A "Hölgyek Öröme" rendszerint megkívánta női eladóitól, hogy egyéves gyakorlatuk legyen valamelyik kisebb párizsi cégnél.	Thường thường hiệu Hạnh phúc các bà đòi hỏi ở các cô bán hàng một thời gian tập sự một năm ở những cửa hàng nhỏ ở Paris.
Denise elkeseredett, s ha a gyermekekre nem gondol, elmegy, hogy véget vessen ennek a hiábavaló faggatásnak.	Thế là Denise thất vọng và nếu không nghĩ đến những đứa trẻ thì cô đã bỏ đi để chấm dứt cuộc thẩm vấn vô bổ ấy.
- Cornaille-nál.	— Nhà Cornaille.
Rendes körülmények között nem avatkozott bele az alkalmazottak felvételébe, mert az osztályvezetők voltak felelősek a személyzetükért.	Thường thường không bao giờ anh can thiệp vào cái việc mướn người làm ấy, các gian hàng trưởng chịu trách nhiệm về nhân viên của họ.
De finom érzéke volt a nőkhöz, s ebben a leányban is megérezte a rejtett bájt, a kedvességnek és gyöngédségnek valami olyan erejét, amelyről az maga sem tudott.	Nhưng, với cảm thức tế nhị của anh về phụ nữ, anh cảm thấy ở cô gái này một vẻ đẹp kín đáo, một sức mạnh về duyên dáng và đằm thắm mà chính bản thân cô cũng không biết.
Fontos volt, hogy a jelentkező jónevű cégnél kezdte-e a pályáját; gyakran ez döntötte el a felvételt.	Tiếng tăm tốt của nơi tập sự là sức nặng lớn; thường khi nó quyết định việc thu nhận.
Aurélie asszony szelídebb hangon folytatta:	Bà Aurélie dịu giọng hỏi tiếp:
A bizonyítvány kitűnő volt.	Giấy chứng nhận rất tốt.
Denise újra reménykedni kezdett, mikor egy utolsó kérdés ismét zavarba hozta.	Cô lại bắt đầu hy vọng thì một câu hỏi khác làm cô lúng túng.
Most Mouret másodszor is közbeszólt.	Lập tức, Mouret lại can thiệp lần nữa.
- Micsoda, maga Baudu unokahúga?... Talán maga Baudu küldi ide?	— Thế nào, cô là cháu gái Baudu?… Có phải Baudu gửi cô đến không?
Denise nem tudta visszafojtani a nevetést; olyan különösnek találta ezt a gondolatot.	Và cô không nhịn được cười, vì cái ý đó đối với cô có vẻ lạ lùng.
A nevetés csodálatosan megváltoztatta.	Thế là cả một sự biến dạng.
Rózsás pirosság öntötte el, s nagyocska száján olyan volt a mosoly, mintha egész arca kivirágzott volna.	Mặt cô hồng hào, và nụ cười, trên cái miệng hơi rộng, làm rạng rỡ cả bộ mặt.
Nagy, szürke szemében szelíd fény gyúlt, arcán imádni való gödröcskék támadtak, még fakó haja is szinte röpködött a lényén elomló jóságos és bátor vidámságban.	Cặp mắt xám bừng lên một ánh lửa dịu dàng, đôi má lúm đồng tiền dễ thương, cả làn tóc nhạt cũng như bay phất phơ, trong niềm vui hiền hòa và bạo dạn của cả con người cô.
- mondta halkan Mouret Bourdoncle-nak.	– Mouret thì thầm với Bourdoncle.
Az érdektárs azonban más véleményen volt, s bosszús mozdulatot tett.	Anh này không muốn phụ họa, với một cử chỉ bực dọc.
Clara elbiggyesztette az ajkát, Marguerite hátat fordított.	Clara đã chúm môi còn Marguerite thì quay lưng đi.
Csak Aurélie asszony bólintott helyeslőn, mikor Mouret így folytatta:	Duy có bà Aurélie gật đầu tán thành Mouret, vừa lúc đó Mouret lại nói:
- Rosszul tette a nagybátyja, hogy nem személyesen hozta ide, az ő ajánlása elég lett volna... Állítólag haragszik ránk.	— Chú cô đã lầm mà không dẫn cô đến, chỉ một lời giới thiệu của ông ấy là đủ… Người ta cho rằng ông ấy căm giận chúng tôi.
Mi fölötte állunk az ilyesminek, és ha ő nem tudja a cégénél alkalmazni az unokahúgát, hát mi majd megmutatjuk neki, hogy a húgának csak kopogtatnia kell nálunk, és befogadjuk... Mondja meg neki, hogy én még mindig nagyon szeretem, és ne énrám vessen, hanem a kereskedelem új körülményeire.	Chúng tôi đầu óc rộng rãi hơn, và nếu cửa hàng ông ấy không có việc cho cháu gái làm thì đây này, chúng tôi cho ông ấy biết rằng cháu gái ông chỉ việc gõ cửa ở đây là được đón tiếp… Cô nói lại với ông ấy rằng tôi vẫn rất mến ông, ông không nên nhè vào tôi, mà vào những điều kiện mới của thương nghiệp.
Mondja meg neki azt is, hogy tökéletesen tönkremegy, ha csökönyösen kitart a mellett a sok nevetséges ócskaság mellett.	Và cô bảo ông ấy rằng ông sẽ chìm hẳn nếu cứ khăng khăng bám lấy một mớ những cái cũ rích nực cười.
Denise megint egészen elfehéredett.	Denise mặt tái nhợt trở lại.
Szóval ez Mouret!	Đây là Mouret.
Senki sem mondta ki a nevét, de ő maga beszélt magáról, és Denise kitalálta, most már értette, miért izgatta fel ennyire ez a fiatalember az utcán, a selyemosztályon, és miért izgatja még most is.	Không ai nói tên anh ra, nhưng anh tự xưng, và bây giờ cô mới nghĩ ra, cô hiểu tại sao chàng trai này đã gây cho cô xúc động đến thế, ở ngoài phố, ở gian hàng tơ lụa và lại bây giờ nữa.
Ez az izgalom, amely­ben nem tudott olvasni, egyre jobban ránehezedett a szívére, mint egy elviselhetetlenül súlyos teher.	Niềm xúc động đó, mà cô không nhận ra được, mỗi lúc lại đè lên trái tim cô như một khối quá nặng.
A nagybátyjától hallott történetek most mind eszébe jutottak, megnövelték, legendával övezték Mouret-t, aki uralkodik ezen a rettentő gépezeten, mely már reggel óta vas kerék­fogainak rabságában tartja őt.	Tất cả những chuyện mà ông chú đã kể cho cô nghe, và cô nhớ lại, làm Mouret lớn lên, bao quanh anh một truyền thuyết, khiến anh trở thành chủ nhân của cỗ máy ghê gớm, từ sáng đến giờ nó giữ cô trong những răng sắt guồng bánh xe của nó.
Ekkor ismét hideg borzongatta, mint tegnap; azt hitte, hogy egyszerűen csak fél tőle.	Thế là, cô lại lạnh người như hôm qua, cô nghĩ rằng chỉ là cô sợ anh ta.
Aurélie asszony közben becsukta a jegyzéket.	Bà Aurélie bấy giờ gập quyển sổ lại.
Csak egy elárusító kisasszonyra volt szükség, és már tíz kérés volt beírva.	Bà chỉ cần có một cô bán hàng, thế mà đã có mười đơn xin việc được ghi.
De sokkal jobban szeretett kedvében járni gazdájának, semhogy habozott volna.	Nhưng bà những muốn làm hài lòng ông chủ, cho nên bà do dự.
A kérésnek mindamellett a maga útján kell mennie: Jouve felügyelő majd tájékozódik, megteszi jelentését, és a vezető majd határoz.	Tuy nhiên lá đơn sẽ đi theo hướng đi của nó, viên thanh tra Jouve sẽ đi thăm dò, làm báo cáo, và bà gian hàng trưởng sẽ quyết định.
Denise egy darabig még mozdulatlanul állt ott zavarában.	Denise vẫn chưa hết bối rối nên đứng im một lúc.
Végre köszönetet mondott Aurélie asszonynak, s mikor elhaladt Mouret és Bourdoncle előtt, köszöntötte őket.	Cuối cùng, cô cảm ơn bà Aurélie; và, khi phải qua trước mặt Mouret và Bourdoncle, cô chào.
Ezek egyébként ügyet sem vetettek már rá, még a köszönését sem viszonozták, figyelmesen vizsgálgatták Frédéricnével a testhezálló köpeny modelljét.	Vả lại hai người, bấy giờ không quan tâm đến cô nữa, cũng chẳng chào lại cô, họ đang chăm chú cùng với bà Frédéric xem xét cái mẫu măng-tô để cắt.
Clara bosszús mozdulatot tett, Marguerite-re pillantott, mintegy megjósolva, hogy az új eladónőnek nem lesz gyöngyélete az osztályon.	Clara nhìn Marguerite, làm điệu bực tức như để báo trước rằng cô bán hàng mới sẽ chẳng được ai ở gian hàng ưa đâu.
Denise kétségtelenül érezte maga mögött a rosszindulatot és a közönyt, mert ugyanolyan zavartan ment le a lépcsőn, mint ahogy feljött, különös aggodalom nehezedett rá, azon tűnődött, vajon kétségbeessék-e vagy örüljön, hogy idejött.	Cố nhiên, Denise cảm thấy phía sau mình sự lạnh nhạt và hiềm thù đó, vì cô bước xuống cầu thang mà vẫn bối rối như lúc nãy khi lên, lòng xao xuyến lạ lùng, tự hỏi mình nên thất vọng hay vui mừng vì đã tới đây.
Ismét kétségei támadtak, mert félelmében nem értett meg világosan mindent.	Cô lại bắt đầu nghi ngờ, trong nỗi khó chịu khiến cô không hiểu ra thế nào.
Benyomásaiból kettő emelkedett ki élesen, fokozatosan elhomá­lyosítva a többit: az a félelemmel határos izgalom, melyet Mouret keltett benne, aztán meg Hutin szeretetreméltósága, egész délelőttjének egyetlen öröme, bájos, édes emlék, mely hálával töltötte el.	Trong mọi cảm giác của cô có hai cảm giác dai dẳng và dần dần xóa nhòa những cái khác: ấn tượng mà Mouret gây cho cô, sâu sắc đến mức sợ hãi, và sự hòa nhã của Hutin, điều vui duy nhất trong buổi sáng, một kỷ niệm êm đềm thú vị, khiến cô đầy lòng biết ơn.
Mikor távozóban átment az áruházon, kereste a fiatalembert, boldoggá tette az a gondolat hogy a szemével még egyszer köszönetet mondhat neki, de hogy nem látta meg, elszomorodott.	Khi cô đi qua cửa hàng để ra về, cô tìm chàng trai, lòng mừng nghĩ rằng được lấy mắt cảm ơn anh ta lần nữa, và cô buồn vì không thấy anh ta.
- Istenem, igazán nem tudom - felelte Denise.	Tôi chẳng biết gì cả, thưa ông.
Ismét szemben álltak egymással, és nem tudván, hogyan váljanak el, mind a ketten elpirultak.	Hai người lại đứng trước mặt nhau: và chẳng biết từ biệt nhau cách nào, họ đỏ mặt lên.
Aztán a fiatalember, hogy mondjon még valamit, ügyetlenül és jószándékúan eldadogott egy bátortalan kérdést:	Rồi, anh con trai quá nhút nhát, để nói thêm một điều gì, cả gan hỏi cô với cái vẻ vụng về mà hiền lành của hắn.
- Hogy hívják a kisasszonyt?	— Thưa cô, cô tên gì?
- Denise Baudu a nevem.	— Denise Baudu.
- Az enyém pedig Henri Deloche.	— Còn tôi tên là Henri Deloche.
Egyszerre megérezték helyzetük testvéri voltát, és kezet nyújtottak egy­másnak.	Họ cảm thấy thân thiết vì cùng chung cảnh ngộ, họ bắt tay nhau.
- Jó szerencsét!	— May mắn!
- Igen, jó szerencsét!	— Vâng, may mắn!
3	CHƯƠNG 3
Lakása a harmadik emeleten volt, a Rivoli utca és az Alger utca sarkán, két szalonjának ablakai a Tuilériák kertjére nyíltak.	Căn nhà ở gác ba, góc phố Rivoli và phố Alger; cửa sổ hai phòng khách nhìn xuống vườn Tuileries.
Ezen a szombaton, éppen mikor az inas be akarta vezetni a nagy szalonba, Mouret egy nyitva hagyott ajtón keresztül már az előszobából észrevette Desforges-nét, amint átment a kis szalonon.	Thứ Bảy đó, đúng vào lúc một người ở sắp dẫn Mouret vào phòng khách lớn thì, từ tiền sảnh, qua một cửa ra vào để mở, anh trông thấy bà Desforges đi qua phòng khách nhỏ.
Az asszony meglátta, megállt, Mouret belépett, majd szertartásosan köszöntötte.	Bà ta dừng lại khi trông thấy anh, và anh đi vào phía đó, trịnh trọng chào bà.
Aztán, hogy az inas becsukta az ajtót, hevesen megragadta a fiatalasszony kezét, és szerelme­sen megcsókolta.	Rồi, khi người ở đã đóng cửa, anh nắm chặt lấy tay người thiếu phụ, hôn âu yếm.
- Ezért a legyezőért jöttem ide, hogy megmutassam a vendégeimnek.	Và, lấy đầu chiếc quạt, bà vui vẻ đập nhẹ vào mặt anh.
És a legyező végével vidáman meglegyintette az arcát.	Bà ta tóc nâu, hơi đẫy, cặp mắt to ghen tuông.
Mouret azonban nem engedte el a kezét:	— Ông ta có đến không?
- kérdezte.	— Chắc có.
- Bizonyosan - felelte az asszony -, megígérte.	– Bà đáp – Ông ấy đã hứa.
Hartmann báróról beszéltek, az Ingatlan Hitelbank igazgatójáról.	Hai người nói tới nam tước Hartmann, giám đốc Ngân hàng bất động sản.
Desforges-né, egy állam­taná­csos leánya s egy tőzsdés özvegye volt; a vagyont, melyet ez utóbbitól örökölt, egyesek túlbecsülték, mások azt állították, hogy egyáltalán nincs is.	Bà Desforges, con gái một ủy viên Tham chính viện, là vợ góa một tay hoạt động ở Thị trường chứng khoán đã để lại cho bà một gia tài, người thì bảo không có, người thì khuếch đại lên.
Állítólag még a férje életében hálásnak mutatkozott Hartmann báró iránt, aki pénzügyekben "nagy koponya" volt, s tanácsaival sokat használt a házaspárnak; később, a férj halála után, mint mondják, a viszony folytatódott, de mindig titokban, meggondolatlanság és feltűnés nélkül.	Người ta đồn ngay lúc sinh thời tay này, bà đã tỏ lòng biết ơn nam tước Hartmann, vì, là một nhà tài chính lớn, ông ta đã có những lời mách bảo làm lợi cho gia đình; và sau này, khi người chồng chết, cuộc dan díu dường như vẫn tiếp tục, nhưng vẫn kín đáo, không một điều dại dột, không một tai tiếng.
Desforges-né sohasem szellőztette a viszonyait, s így mindig szívesen fogadták az előkelő nagypolgári körökben, ahonnét maga is származott.	Bà Desforges không bao giờ phô trương, người ta tiếp đón bà khắp nơi, trong giới đại tư sản là nơi bà sinh ra.
Még ma is, mikor a szkeptikus és ravasz bankár szenvedélye már-már apai szeretetté szelídült, s eltűrte, hogy az asszony szeretőket tartson, Desforges-né e szerelmi fellobbanásokban oly finom önmérsékletet és tapintatot, oly ügyesen alkalmazott emberismeretet tanúsított, hogy a látszatot mindig megmentette, és senki sem merte volna fenn­hangon kétségbevonni a tisztességét.	Ngay cả bây giờ, khi mối tình của tay nhà băng, con người hoài nghi và tinh tế, đã chuyển thành một tình thương yêu cha con đơn thuần, ví bằng bà tự cho phép mình có nhân ngãi mà ông ta làm ngơ cho, thì bà ta, trong chuyện yêu đương, vẫn giữ một sự đúng mực và lịch thiệp rất tế nhị, một khoa giao tiếp thực hành rất khéo léo, đến mức bề ngoài được cứu vãn và không một ai dám lớn tiếng tỏ ý nghi ngờ sự đứng đắn của bà.
Mikor közös barátoknál megismerkedett Mouret-val, eleinte utálta; később mégis odaadta magát neki, valósággal elsodorta az a heves szerelem, amellyel a férfi ostromolta, és míg Mouret azon mesterkedett, hogy az ő révén hozzáférkőzhessék a báróhoz, az asszonyban lassanként igazi, mély szerelem támadt iránta; imádta a harmincöt éves nő hevességével - bár csak huszonkilencet vallott be -, kétségbe­esetten érezte, hogy a férfi fiatalabb nála, reszketett, hogy elveszíti.	Khi gặp Mouret ở nhà người bạn chung, thoạt tiên bà đã ghét anh; rồi sau bà hiến mình như bị lôi cuốn vào mối tình đột ngột của anh ta tấn công bà, và, từ lúc anh vận động để thông qua bà nắm được nam tước, thì bà dần dà đâm ra yêu anh thật sự và sâu sắc, bà say mê anh với mối tình mãnh liệt của người đàn bà đã ba mươi nhăm tuổi, mà bà chỉ thú nhận là mới hăm chín, bà thất vọng vì cảm thấy anh ta trẻ hơn, run lên vì sợ mất anh ta.
- folytatta Mouret.	– Anh lại hỏi.
Ránézett Mouret-ra, s arra gondolt, hogy az nyilván semmiről sem tud, ha így felhasználja őt a báróval szemben, akit láthatólag csak az asszony öreg barátjának tekint.	Bà nhìn anh, bà nghĩ anh chắc không biết chuyện gì khi vận động bà nói với nam tước, bà làm ra vẻ coi ông này chỉ như một người bạn già của bà.
De Mouret még egyre szorongatta a kezét, édes Henriette-jének szólította, és az asszony érezte, hogy ellágyul a szíve.	Khi đó anh vẫn cầm tay bà, anh gọi bà là Henriette ngoan của anh, khiến bà cảm thấy trái tim khấp khởi.
Csöndesen odanyújtotta az ajkát, a férfiéra tapasztotta, aztán halkan azt mondta:	Lặng lẽ, bà đưa môi lên, siết chặt lấy môi anh; rồi nói khẽ:
- Tessék, itt van - mondotta -, magam sem tudtam már, hol van, a szobalányom soha meg nem találta volna.	– Bà nói – Tôi chẳng còn nhớ nữa, cứ để cô hầu buồng của tôi thì chẳng bao giờ tìm thấy nó.
És megfordulva, vidám arccal tette hozzá:	Và quay đầu lại, vẻ vui mừng, bà nói thêm:
Az nem lesz olyan ceremóniás.	Như thế bớt phần long trọng.
Mouret köszönt a hölgyeknek; ismerte őket.	Mouret chào mấy bà ngồi đó mà anh quen biết.
Harmincéves szőke asszonyka volt, vékony orrú, eleven szemű, Henriette-nek intézeti barát­nője, egy pénzügyminisztériumi helyettes osztályvezető felesége.	Đó là một bà bé nhỏ, tóc hung vàng, ba mươi tuổi, cái mũi thanh, mắt sáng, một bạn học cùng lưu trú của Henriette, đã lấy một viên phó chủ sự bộ tài chính.
Régi polgári családból származott, háztartását és három gyermekének nevelését tevékenyen, szívesen és nagy gyakorlati érzékkel irányította.	Xuất thân từ một gia đình tư sản kỳ cựu, bà ta điều khiển việc nhà và ba đứa con một cách linh hoạt duyên dáng, nhạy cảm với đời sống thực tiễn.
- folytatta, a csipkének minden szemét külön meg­vizs­gálva.	– Bà ta lại vừa nói vừa ngắm nghía từng mắt đăng-ten.
- Hogy mondod, Lucben, egy falusi munkásasszonynál?...	Chị bảo mua ở Luc, tại nhà một thợ địa phương hả?
Bourdelais-né elnevette magát.	Bấy giờ bà Bourdelais ngả ra cười.
Ezt nevezi Henriette alkalmi vételnek!	Nếu như thế mà Henriette gọi là một dịp may!
Említett is egy céget, a Halárus utcában.	Bà ta kể một hàng ở phố Poissonnière.
Ezalatt a legyező kézről kézre járt a hölgyek között.	Khi đó chiếc quạt được chuyền tay các bà cả lượt.
Magas, sovány, vörös hajú asszony volt, arcáról áradt a közömbösség, csak szürke szemében villant meg olykor, a közönyösség álarcát áttörve, a féktelenül mohó önzés.	Bà ta cao lớn và mảnh dẻ, tóc đỏ hoe, lạnh nhạt ra mặt, cặp mắt màu xám từng lúc để lộ ra, dưới cái vẻ thờ ơ, những cơn bạo lực ghê gớm của lòng vị kỷ.
Sohasem látták a férje társaságában, aki a törvényszéki palotában ismert ügyvéd volt, és állítólag teljesen függetlenül élt - pöriratainak és a szórakozásnak.	Không bao giờ người ta thấy bà ta đi cùng chồng, một luật sư nổi tiếng ở Tòa án, người ta đồn, về phía ông ta, ông sống một cuộc đời phóng túng, chỉ biết có hồ sơ và lạc thú.
A grófné hangjából finom gúny csendült ki:	Lúc nào người ta cũng biếu thừa thãi.
- Jó magának, kedvesem, hogy olyan udvarias férje van.	Bà bá tước trả lời bằng một giọng mỉa mai ý nhị.
Azzal odahajolt a leányához, egy húsz és fél esztendős magas teremtéshez.	Và, ngả về phía con gái bà, một cô gái lớn hai mươi tuổi rưỡi.
- Nézd csak ezt a monogramot, Blanche.	— Blanche này, con xem chữ tên họ.
Milyen szép munka!...	Làm đẹp thật!
De Boves-né nemrég múlt negyven esztendős.	Bà De Boves vừa quá tứ tuần.
Gyönyörű asszony volt, nyaka, válla mint egy istennőé, arca nagy, szabályos, tágra nyitott szeme álmatag, férje, állami lótenyésztési fő­felügyelő, a szépségéért vette el.	Đó là một phụ nữ tuyệt đẹp, cổ như thiên thần, bộ mặt trông đều nét và cặp mắt to phẳng lặng, ông chồng làm tổng thanh tra sở Nuôi ngựa giống, lấy bà vì nhan sắc của bà.
Látszott, hogy valósággal felizgatja a monogram finomsága, mintha hatalmába kerítené a vágyakozás, melynek izgalma elfátyolozta a tekintetét.	Bà ta có vẻ xao xuyến vì nét tinh vi của chữ tên họ, bà dường như bị xúc động bởi lòng ao ước khiến con mắt nhìn mờ đi.
Hirtelen megszólalt:	Và, đột nhiên:
- Mondja meg hát a véleményét, Mouret úr.	— Ông cho biết ý kiến đi, ông Mouret.
Nagyon drága kétszáz frankért ez a nyél?	Cái nẹp này, hai trăm phrăng, có đắt quá không?
Mouret ott állt az öt asszony között, mosolyogva, érdeklődve minden iránt, ami őket érde­kelte.	Mouret vẫn đứng giữa năm người đàn bà, mỉm cười, quan tâm đến cái mà họ quan tâm.
Kezébe vette a legyezőt, vizsgálgatta; már nyilatkozni akart, mikor az inas kinyitotta az ajtót és jelentette:	Anh cầm lấy cái quạt, ngắm nghía; và anh sắp sửa phát biểu thì người ở mở cửa, báo:
- Martyné.	— Bà Marty.
A korát nem lehetett meghatározni, harmincöt esztendős volt, de hol negyvennek, hol harmincnak látszott, attól a lázas idegességtől függően, amely éltető ereje volt.	Trông bà ta khó đoán được tuổi, bà ba nhăm nhưng khi thì tưởng đến bốn mươi khi chỉ mới ba mươi, tùy theo cái bệnh sốt tâm thần nó tác động ở bà.
Jobb kezében piros bőrtáska lógott, melyet le nem tett volna.	Tay phải bà đeo cái túi da đỏ mà bà không rời ra.
- Kedves asszonyom - mondta Henriettének -, ugye megbocsát a táskámért... Képzelje, idejövet bementem a "Hölgyek Örömé"-be, és mivel megint elkövettem egy csomó bolond­ságot, nem akartam lenn hagyni a kocsimban a táskámat, mert féltem, hogy ellopják.	— Thưa bà chị, – Bà nói với Henriette – bà tha lỗi cho em được đeo cái túi này… Bà chị tưởng tượng khi tới đây thăm bà chị, em có rẽ vào hiệu Hạnh phúc các bà, mà vì em lại mua sắm đủ thứ nên em không muốn để túi lại dưới xe, sợ mất cắp.
Ebben a pillanatban észrevette Mouret-t, és nevetve folytatta:	Nhưng bà vừa trông thấy Mouret, bà liền vừa cười vừa nói tiếp:
Ez elterelte a figyelmet a legyezőről, s a fiatalember letette egy asztalkára.	Thế là người ta, quên mất chiếc quạt mà Mouret đặt xuống một chiếc bàn tròn.
Ismerték eszeveszett vásárló dühét, tudták róla, hogy nem tud ellenállni a kísértésnek, szigorú erkölcsű, soha nem lenne szeretője senkinek, de a leghitványabb rongydarabka láttán elgyöngül, és megadja magát.	Ai cũng biết bà ta tiêu pha như điên, không cưỡng lại được sự cám dỗ, bà thì đoan chính rất mực, không thể sa ngã trước một nhân tình, nhưng lập tức mềm yếu, mê mệt trước bất cứ một rẻo vải nào.
Kishivatalnok lánya volt, e pillanatban a férjét szipolyozta, a Bonaparte-líceum ötödik osztályának tanárát, akinek magánórák adásával kellett megkétszereznie hatezer frankos fizetését, hogy a háztartás egyre növekvő költségeit fedezze.	Là con gái một viên chức nhỏ, bây giờ bà đang làm phá sản chồng bà, giáo viên lớp năm trường trung học Bonaparte đang phải chạy vạy dạy tư thêm để nhân đôi số lương sáu nghìn phrăng, để bù đắp vào ngân sách gia đình cứ mỗi ngày một tăng.
Az asszony nem nyitotta ki a táskát, ott szorongatta a térdén, s közben tizennégy esztendős Valentine lányáról beszélt; hallatlanul hiú volt a lányára, ugyanolyan ruhákat vett neki, mint magának, ráaggatott minden divatújdonságot, melynek ellenállhatatlan csábításai legyőzték.	Lúc này bà không mở chiếc túi mà bà kẹp ở đầu gối, bà kể chuyện con gái bà là Valentine, mười bốn tuổi, một trong những món trang sức thân yêu nhất của bà, là vì bà cho nó ăn mặc y như bà, đủ mọi đồ tân phẩm thời thượng mà bà bị quyến rũ không cưỡng lại được:
- Tudják - magyarázgatta -, ezen a télen a lányok keskeny csipkeszegélyű ruhát viselnek... Hát persze, mikor megláttam egy nagyon csinos valenciennes-i csipkét...	— Bà chị biết không, – Bà ta nói – mùa đông này người ta cho các cô gái mặc áo dài viền đăng-ten nhỏ… Tất nhiên, khi em gặp một món valenciennes tuyệt đẹp…
Végre hajlandó volt kinyitni a táskát.	Bấy giờ bà mới chịu mở chiếc túi.
A hölgyek már nyújtogatták a nyakukat, mikor a csöndességben meghallották az előszoba csengőjét.	Các bà kia vươn dài cổ ra thì, vừa lúc đó, trong im lặng, tiếng chuông ở tiền sảnh vang lên.
A hölgyek valamennyien nevetni kezdtek.	Tất cả các bà kia ngả ra cười.
Ekkor elpirult a hirtelenkedése miatt, ismét a térdére tette, mondván, hogy a férfiak sohasem értenek meg semmit, és nem kell mindent az orrukra kötni.	Thế là bà đỏ mặt lên vì sự hấp tấp của mình; bà lại để chiếc túi lên đầu gối, vừa kêu rằng đàn ông họ chẳng bao giờ hiểu và họ chẳng cần biết.
Általános csodálkozás.	Mọi người ngạc nhiên.
De Boves szép férfi volt, bajuszos, kecskeszakállú, kifogástalan, katonás jelenség - amit nagyon szerettek a Tuilériák­ban; kezet csókolt Desforges-nénak, akit még lánykorából ismert.	Ông này, đẹp trai, để cả ria và râu cằm, vẻ quân nhân chững chạc được các giới ở Tuileries ưa, ông hôn tay bà Desforges mà ông đã biết khi bà còn trẻ, ở nhà ông thân sinh ra bà.
Azzal félreállt, hogy a másik látogató, egy magas, sápadt, előkelően vérszegény fiatalember, szintén üdvözölhesse a ház asszonyát.	Và ông né ra cho người khách kia đến lượt chào bà chủ nhà, ông này là một chàng trai cao lớn, mặt tái xanh, đặc biệt thiếu máu.
De alighogy elkezdődött újból a társalgás, két halk felkiáltás hallatszott:	Khi cuộc trò chuyện vừa bắt đầu trở lại thì bỗng có hai tiếng kêu nhỏ cất lên:
- Nini, Octave!	— Ồ, Octave.
Mouret és Vallagnosc egymás kezét szorongatták.	Mouret và Vallagnosc bắt tay nhau.
Most Desforges-nén volt a csodálkozás sora.	Đến lượt bà Desforges tỏ vẻ ngạc nhiên.
Hát ismerik egymást?	Thế ra họ quen nhau.
Persze, egymás mellett nőttek fel, a plassans-i kollégiumban; merő véletlen, hogy eddig még nem találkoztak nála.	Quả thật, họ đã lớn lên bên cạnh nhau ở trường trung học Plassans; và điều ngẫu nhiên là họ lại chưa gặp nhau ở nhà bà.
- A két fiatalember még mindig fogva egymás kezét, tréfálkozva ment át a kis szalonba, ugyanakkor, amikor az inas behozta a teát, kínai porcelán csészékben, ezüsttálcán, és letette Desforges-né mellé, a réz párkánydíszes márvány asztalka közepére.	Khi đó, vẫn nắm tay nhau, họ vừa sang phòng khách nhỏ vừa bông đùa, vào lúc người ở mang trà ra, một bộ ấm chén Trung Quốc để trên một khay bạc được đặt bên cạnh bà Desforges, giữa chiếc bàn tròn mặt đá hoa, ken đồng nhẹ.
A hölgyek közelebb húzódtak, hangosabban beszélgettek, elmerülve az egymást szüntelenül keresztező szavak áradatában; de Boves gróf mögöttük állt, néha előrehajolt, és mondott egy-egy szót a szép közhivatalnok kötelező udvariasságával.	Các bà xích lại gần nhau, nói chuyện to hơn, đua nhau lời qua tiếng lại kéo dài; trong khi ông De Boves, đứng phía sau họ, chốc chốc lại cúi xuống, xen một lời với nhã độ của một quan chức đẹp trai.
- hajtogatta Mouret.	– Mouret nhắc lại.
Egyedül voltak a kis szalon végében, egy aranypettyes selyemmel kárpitozott igen kacér budoárban, ahol nem hallhatták őket, s maguk is csak a kitárt ajtón át látták a hölgyeket; egymás szemébe nézve nevetgéltek, egymás térdét csap­kod­ták.	Chỉ riêng, hai người ở cuối phòng khách nhỏ, một tư thất rất đỏm dáng căng trướng lụa cúc vàng, xa tai mọi người, và chỉ họ nhìn thấy các bà qua chiếc cửa ra vào mở rộng, họ lại cười cợt, mắt nhìn mắt, dang tay vỗ đùi nhau.
Paul régi, országbíró-viselt családból származott, a tönkrement és duzzogó kisnemességből; kitűnő tanuló volt, mindig osztály első, a tanár állandóan példa­képül állította a többiek elé, s fényes jövőt jósolt neki; Octave pedig a szamárpadban ült, a legrosszabb diákok közé tartozott, vidám volt és kövér, s a kollégiumon kívül szertelen élvezetekben tékozolta erejét.	Paul, xuất thân từ một gia đình làm tòa án kỳ cựu, quý tộc nhỏ phá sản và bất mãn, học sinh giỏi môn dịch văn, bao giờ cũng xếp đầu, luôn luôn được thầy giáo nêu gương, báo trước một tương lai đẹp đẽ; còn Octave thì, ở đuôi lớp, bê bết giữa lũ học sinh hư, thoải mái và béo tốt, lao mình vào những thú vui hung dữ bên ngoài.
Különböző természetük ellenére is szoros barátság szövődött köztük, s elválhatatlanokká tette őket, egészen az érettségiig, melyet az egyik dicsőséggel állott meg, a másik, két sikertelen kísérlet után, éppen csak hogy átcsúszott rajta.	Mặc dầu bản chất khác nhau, họ lại chơi thân với nhau không rời khỏi nhau cho đến kỳ thi tú tài, họ đỗ cả, một anh thì rất vẻ vang, anh kia vừa sát nút, sau hai môn thi toái phở.
