HENRYK SIENKIEWICZ	Henryk Sienkiewicz
Idrisz megkérdezte:	Iđrix hỏi:
- Honnan tudod, hogy eltérünk a Nílustól, holott nem látod a partokat?	- Làm sao mày biết chúng tao tách khỏi sông Nin nếu từ đây không nhìn thấy bờ sông?
- Mert a nap, mely most a keleti égbolton van, a hátunkba tűz, ez pedig azt jelenti, hogy nyugat felé megyünk.	- Vì rằng mặt trời đang ở phương Đông của bầu trời, đốt nóng lưng chúng ta, điều đó có nghĩa là chúng ta đang rẽ về phía Tây.
- Okos fiú vagy - jegyezte meg Idrisz elismeréssel.	- Mày là một thằng bé thông minh đấy.
Kis idő múlva pedig hozzátette:	- Iđrix nói với vẻ thán phục.
- De azért sem az üldözők utol nem érnek, sem te el nem szökhetsz.	- Nhưng bọn chúng chẳng đuổi kịp chúng tao đâu, và mày cũng đừng hòng trốn thoát.
- Nem - felelte Staś -, én nem szököm el, legfeljebb vele együtt.	- Không, - Xtas đáp, - tôi không đi trốn đâu... trừ khi cùng với con bé.
S az alvó Nelre mutatott.	Và em trỏ Nen đang ngủ say sưa.
Délig szinte szusszantás nélkül vágtattak, de mikor a nap az égbolt közepére ért s perzselni kezdett, a tevéket, noha máskülönben ritkán izzadnak, elöntötte a verejték, s iramuk csökkent.	Cho tới trưa, họ đi gần như không kịp thở, nhưng khi mặt trời cao trên bầu trời và bắt đầu thiêu đốt, thì bọn lạc đà, vốn ít khi toát mồ hôi, giờ đây cũng đổ mồ hôi ròng ròng và tốc độ chạy chậm hẳn lại.
A karavánt ismét sziklák és omladékok vették körül.	Những khối đá và cát lở tích lại vây bọc lấy đoàn người và vật.
Egyre gyakoribbak voltak a szurdékutak, vagyis az úgynevezett "khorok" is, melyek esős időben patakok medréül szolgálnak.	Những khe núi về mùa mưa biến thành lòng suối - được gọi là các suối cạn mỗi lúc một thấy nhiều hơn.
A beduinok végül is megállapodtak egy ilyen szurdékban, mely teljesen el volt rejtve a sziklák között.	Cuối cùng, khe này khuất hoàn toàn giữa các khối đá.
De alighogy leszálltak a tevékről, nagy lármával futásnak eredtek, s le-lehajolva köveket hajigáltak maguk elé.	Song vừa tụt từ yên xuống đất, chúng liền kêu thét lên và chạy về phía trước chốc chốc lại cúi người xuống và vứt đá về trước mặt.
A beduinok nyomban üldözőbe vették, Gebhr késsel a kezében sietett segítségükre.	Bọn Bêđuin hăng lên đuổi theo nó, Ghebơrơ cũng cầm dao nhảy tới tiếp tay.
Aztán felhangzottak az arabok szokásos kiáltásai:	Và những tiếng kêu thông thường của dân Ả Rập lại vang lên:
- Allah!	- Lạy đức Ala!
- Biszmillah!	- Kinh quá!
- Masallah!	- Ghê khiếp quá!
A szudániak különös kémlelő, de egyúttal kérdő tekintettel néztek Staśra, akinek fogalma sem volt róla, miről van szó.	Rồi tất cả hai tên Xuđan bắt đầu nhìn Xtas với cái nhìn kì lạ, vừa thăm dò, vừa có ý hỏi, khiến Xtas không hiểu ra sao cả.
Közben Nel is leszállt a tevéről, s noha kevésbé volt kimerülve, mint a múlt éjjel, Staś egy sima helyen mégis szétteregette számára a takarókat, s kérte, feküdjék le, hogy - amint mondta - kinyújthassa lábacskáit.	Trong khi đó, Nen đã xuống khỏi lưng lạc đà, và mặc dù cô bé ít mệt hơn hồi đêm, nhưng Xtas vẫn trải đệm cho cô bé nằm xuống, để có thể - như em nói - giãn gân cốt.
Az arabok ebédhez láttak, mely azonban csak kétszersültből, datolyából s egy korty vízből állt.	Bọn Ả Rập xúm vào ăn trưa, song bữa ăn chỉ gồm bánh khô và quả chà là với một ngụm nước.
A tevéket nem itatták, mert éjjel ittak.	Chúng cũng không cho lạc đà uống nước, vì hồi đêm đã uống no.
Idrisz, Gebhr és a beduinok folyvást gondterhelt arccal, szótlanul töltötték a pihenés idejét.	Nét mặt Iđrix, Ghebơrơ và bọn Bêđuin vẫn đầy lo lắng, cuộc nghỉ chân trôi qua lặng lẽ.
Végül Idrisz félrehívta Staśt, s titokzatos, de egyszersmind nyugtalan arccal kezdte faggatni:	Cuối cùng, Iđrix kéo Xtas ra một bên và bắt đầu căn vặn em với vẻ mặt đầy bí ẩn lo lắng:
- Láttad a kígyót?	- Mày có trông thấ y con rắn không?
- Láttam.	- Thấy chứ.
- Nem te bűvölted meg, hogy elébünk kerüljön?	- Không phải mày niệm chú để nó hiện ra trước mặt chúng tao đấy chứ?
- Nem.	- Không.
- Valami szerencsétlenség ér bennünket, mert azok a szamarak nem bírták agyonütni.	- Hôm nay chúng tao sẽ gặp một chuyện chẳng lành nào đó, vì bọn ngốc kia không giết được con rắn.
- Elér benneteket az akasztófa!	- Các ông sẽ gặp giá treo cổ.
- Hallgass!	- Câm đi.
Nem varázsló az apád?	Cha mày có phải là phù thuỷ không?
- De igen!	- Phải.
- vágta rá Staś gondolkozás nélkül, mert megértette, hogy ezek a babonás emberek a kígyó megjelenését rossz jelnek tekintik, s arra magyarázzák, hogy szökésük nem fog sikerülni.	- Xtas đáp không do dự và hiểu ngay ra rằng, bọn người hoang dã và mê tín này xem việc con rắn xuất hiện như một điềm xấu báo trước cuộc trốn chạy của chúng sẽ không thành.
- Akkor hát apád küldte őt ránk, pedig meggondolhatná, hogy varázslatáért rajtad állhatunk bosszút.	Iđrix đáp. - Nhưng lẽ ra ông ta phải hiểu rằng, chú ng tao có thể sẽ trả thù mày vì phép phù thuỷ của ông ta.
- Semmit sem tehettek velem, mert Fatme fiai lakolnának érte.	- Các ông sẽ chẳng làm gì tôi hết, và bọn con trai mụ Phátma sẽ phải chịu tội khi tôi bị hành hạ.
- Már ezt is megértetted?	- Mày cũng đã hiểu được điều đó kia à?
Tudd meg, ha én nem vagyok, elvéreztél volna Gebhr korbácsa alatt, te is meg a kis "bint" is.	Nhưng hãy nhớ rằng, nếu như không có tao, thì mày đã bị túa máu ra dưới cái roi của thằng Ghebơrơ rồi, cả mày lẫn con nhóc.
- Teérted szót is emelek, de Gebhr akasztófára kerül.	- Vì thế nên tôi sẽ bênh vực riêng ông thôi, còn Ghebơrơ sẽ chui đầu vào sợi thừng treo cổ.
Erre Idrisz egy darabig csodálkozva nézett rá, majd így szólt:	Nghe thấy thế, Iđrix nhìn nó một lúc lâu như kinh ngạc rồi nói:
- Még nincs a kezedben életünk, máris úgy beszélsz, mintha urunk volnál...	- Mạng sống của chúng tao chưa nằm trong tay mày, mà mày đã nói như ông chủ chúng tao không bằng...
Kis idő múlva hozzátette:	Rồi lát sau hắn thêm:
- Furcsa egy "uled" (fiú) vagy, ilyet még életemben nem láttam.	- Mày là một thằng bé kì lạ mà tao chưa hề gặp bao giờ.
Eddig jó voltam hozzátok, de te is vigyázz magadra, és ne fenyegetőzz.	Cho tới nay tao đối tốt với chúng mày, nhưng mà y đừng có tưởng bở và đừng doạ tao..
- Az Úristen megbünteti az árulást - felelte Staś.	- Chúa sẽ trừng trị tội phản bội. - Xtas đáp.
Világos volt azonban, hogy az a biztonság, ahogy Staś beszélt, különösen a kígyó rosszat jelentő elmenekülése után, nagyon nyugtalanította Idriszt.	Rõ ràng là sự tự tin thể hiện trong giọng nói cậu bé cùng với điểm gở dưới dạng con rắn trốn thoát,đã khiến cho Iđrix lo lắng vô cùng.
Noha téli időszak járta, délután két óra tájban a hőség elviselhetetlenné vált.	Vào khoảng hai giờ trưa, mặc dù là tiết mùa đông, cái nóng vẫn trở nên ngột ngạt khác thường.
Az égen egy szem felhőcske sem látszott, de a láthatár széle elszürkült.	Trên trời không một gợn mây, còn chân trời lại ngả sang màu xám.
A karaván fölött néhány keselyű lebegett, s szélesen kiterjesztett szárnyuk mozgékony árnyékfoltokat vetett a fakó homokra.	Trên đầu đoàn người có mấy con diều hâu bay lượn, những đôi cánh dang rộng của chúng trải bóng đen di động trên mặt cát vàng hoe.
Az áttüzesedett levegőben égés szaga terjengett.	Trong bầu không khí nóng bỏng cảm thấy như có mùi khét.
A tevék, anélkül hogy megálltak volna, furcsán krákogni kezdtek.	Bọn lạc đà tuy vẫn không ngừng chạy nhanh, nhưng bắt đầu kêu những tiếng lạ tai.
Az egyik beduin Idriszhez lépett.	Một tên Bêđuin đi tới gần Iđrix:
- Valami rossz készülődik - szólt.	- Sắp có chuyện chẳng lành rồi.
- Mire gondolsz?	- Mày nghĩ sao?
- kérdezte a szudáni.	- Tên Xuđan hỏi.
- A gonosz szellemek felébresztették a sivatag nyugati szélén alvó szelet, az felriadt, s most felénk közeledik.	- Lũ ma dữ đã đánh thứ c gió đang ngủ ở phía Tây sa mạc, gió đã dậy từ mặt cát và đang chạy lại phía chúng ta.
Idrisz kissé felemelkedett nyergében, a távolba kémlelt, aztán így szólt:	Iđrix hơi nhổm người trên yên, nhìn ra phía xa rồi nói:
- Három évvel ezelőtt Abu Hamed mellett mégis betemetett egy egész karavánt, s csak a múlt télen ásta ki megint.	Gió thổi từ phía Tây và phía Nam, nhưng thông thường gió này không dữ tợn như gió khơmasin, - Tuy thế, ba năm trước chính nó đã vùi kín cả một đoàn người ở gần Abu Hamen, và cho mãi tới mùa đông vừa rồi mới để lộ xương cốt họ ra.
Ualla!	Ualla!
Ahhoz elég ereje lehet, hogy a tevék orrát betömje, s a tömlőkből kiszárítsa a vizet.	Nó có đủ sức để trít kín mũi lạc đà và hút khô nước trong các túi đựng nước.
- Vágtassunk, hogy csak egyik szárnyával akadjon belénk.	- Phải phóng thật nhanh để nó chỉ quệt một cánh vào ta thôi.
- Éppen nekirohanunk, nem kerülhetjük ki.	- Nó đang thổi thẳng vào mặt chúng ta, không thể tránh nó được đâu.
- Minél hamarabb ideér, annál hamarabb odább is áll.	- Nó càng tới nhanh thì càng qua nhanh chứ sao.
Azzal Idrisz korbácsával végigvágott tevéjén, s példáját a többiek is követték.	Nói thế, Iđrix liền vung roi thúc lạc đà, bọn khác cũng làm theo gương hắn.
A forróság azonban nem lanyhult, a nap valósággal perzselte az utasok fejét.	Trời vẫn rất nồng nực, mặt trời thiêu đốt đầu những người đi.
A levegő valósággal fojtogatta az embert és állatot egyaránt.	Bọn người Ả Rập kêu thét thúc lạc đà đến khô cổ, sau đó chúng im lặng.
Az arabok addig ordítoztak tevéikre, míg be nem rekedtek, aztán elhallgattak, s a halálos csendben csak a tevék nehéz lihegése hallatszott.	Một sự tĩnh mịch chết chóc bao trùm, chỉ thỉnh thoảng bị gián đoạn bởi tiếng rền rĩ của những con vật.
Két nagy fülű, aprócska sivatagi róka6 surrant el a karaván előtt, s ellenkező irányba menekült.	Hai con cáo cát nhỏ xíu, với cặp tai to tướng chạy vụt qua gần đoàn người về phía đối diện.
Ugyanaz a beduin, aki az imént Idrisszel beszélgetett, újra megszólalt idegenszerű, síri hangon:	Tên Bêđuin vừa nói chuyện với Iđrix lại cất tiếng nói, tiếng hắn nghe rất lạ, dường như không phải là tiếng của hắn nữa:
- Ez nem közönséges szél lesz.	- Sẽ không phải là gió thường đâu.
Gonosz varázslat üldöz bennünket.	Bọn ma dữ đang ám chúng ta rồi.
Mindennek a kígyó az oka.	Tất cả là tại con rắn...
- Tudom - felelte Idrisz.	- Tao biết!
- Nézd, remeg a levegő.	- Iđrix đáp.
Pedig télen nem szokott.	- Nhìn kìa, không khí đang run rẩy.
S csakugyan, az áttüzesedett levegő remegni kezdett, s ez az utasokat annyira megzavarta, hogy azt hitték, a homok is reszket.	Quả thật làn không khí bị nung bỏng bắt đầu rung động, và do ảo giác của mắt, người ta thấy như cả mặt cát cũng run rẩy theo.
Az egyik beduin levette átizzadt sapkáját, s megjegyezte:	Lão Bêđuin cởi cái mũ đẫm mồ hôi trên đầu xuống và nói:
- A sivatag szíve kalapál félelmében.	- Trái tim sa mạc đang đập nhịp sợ hãi.
E pillanatban a másik beduin, ki mint vezető, a karaván élén haladt, hátrafordulva kiáltozta:	Cùng lúc đó, tên Bêđuin thứ hai đang đi dẫn đầu đoàn lạc đà chợt quay lại và kêu lên:
- Jön már!	- Đến rồi!
Jön már!	Đến rồi đấy!
S csakugyan, jött a szél.	Quả thực, gió đã đến.
A távolban feltűnt egy felhőszerű, sötét folt, s szemlátomást növe­kedve közeledett a karaván felé.	Phía xa xa xuất hiện một thứ gì trông tựa một đám mây màu sẫm, đang mỗi lúc một vươn lên cao và tiến nhanh lại phía đoàn người.
Körös-körül meglendültek a levegő első hullámai, s a fuvallat máris kavarni kezdte a homokot.	Những sóng không khí ở sát chung quanh bắt đầu xao động, những hơi gió giật bất thần bắt đầu cuộn xoáy cát.
Itt-ott tölcsérek támadtak, mintha valaki bottal furkálta volna a sivatag felszínét.	Đây đó hình thành những chiếc phễu, dường như đang có ai đó lấy gậy khoan xoáy vào mặt cát sa mạc.
Máshol gyorsan forgó örvények keletkeztek, mint megannyi karcsú oszlop, melyek alul keskenyek, felül pedig széjjelomlóak, akárcsak a tollbokréta.	Nhiều nơi tạo nên các cơn xoáy tít trông giống như những cột, phía dưới nhỏ, phía trên xoè ra như một ngù lông.
De mindez csak szempillantásnyi ideig tartott.	Song tất cả những hiện tượng đó chỉ diễn ra trong một chớp mắt mà thôi.
A felhő, melyet először a karavánvezető beduin vett észre, leírhatatlan gyorsasággal zúdult rájuk.	Đám mây mà người dẫn đầu đã thấy trước đó, giờ đang phi lại với một tốc độ nhanh không thể tưởng tượng nổi.
Mintha óriási madár szárnya csapta volna meg az embereket és állatokat egyaránt.	Người lẫn vật dường như bị một cánh chim khổng lồ quật vào mình.
Szemük-szájuk egy pillanat alatt megtelt homokkal.	Chỉ trong một giây, mắt và miệng của mọi người đều đầy bụi đất.
Porfelleg takarta el az eget, a napot, s a világ homályba borult.	Những đám mây bụi bao phủ cả bầu trời, che khuất mặt trời khiến chung quanh tối mịt.
Az emberek elszakadtak egymástól, s a legközelebbi tevék is csak homályosan látszottak.	Mọi vật bắt đầu biến đi trước mắt mọi người, thậm chí, cả những con lạc đà gần nhất cũng ẩn ẩn hiện hiện như trong một làn sương mù.
Nem a zúgás, mert a sivatagban nincsenek fák, hanem a vihar bömbölése nyomta el a vezető beduin kiáltozását s az állatok bőgését.	Không phải tiếng xào xạc - vì trên sa mạc không có cây cối - mà là tiếng gầm rú của cơn lốc nhấn chìm tiếng gọi của người dẫn đường và tiếng kêu rống của loài vật.
A levegőben mintha széngáz szaga terjengett volna.	Trong không khí có mùi gì như mùi khí than.
A tevék megálltak, hátat fordítottak a szélnek, s hosszú nyakukat kinyújtva úgy lelógatták fejüket, hogy orruk csaknem a homokot érte.	Lũ lạc đà đứng sựng lại, quay ngược hướng gió, vươn dài những cái cổ xuống đất, khiến cho mũi chúng gần như chạm vào mặt đất.
A szudániak azonban nem akartak pihenőt tartani, mert ha a karaván orkán idején megáll, könnyen betemetheti a homok.	Song bọn Xuđan không muốn dừng lại, bởi lẽ những đoàn người, vật dừng lại trong cơn bão cát thường bị lấp kín.
Legjobb ilyenkor szélmentében vágtatni, de Idrisz és Gebhr ezt sem tehették, mert akkor Faiyum felé kellett volna tartaniuk, ahonnan az üldözőket várták.	Khi ấy, tốt nhất là phóng theo chiều gió, song Iđrix và Ghebơrơ không thể làm điều đó, vì như thế có nghĩa là quay trở lại Phaium, nơi chúng đang e sợ là sẽ có những người săn đuổi chúng.
Mikor tehát az orkán első rohama elmúlt, újra nekihajtották a tevéket.	Vì vậy, khi đợt tấn công thứ nhất của cơn bão vừa qua đi, chúng lại thúc lạc đà phi tiếp tục.
Pillanatnyi csend lett, de a vöröses homály csak lassan oszladozott, a nap nem bírta áttörni a levegőben terjengő porfelhőt.	Trời đất tạm thời yên tĩnh, nhưng cái bóng tối màu hung hung đỏ tan loãng ra vô cùng chậm chạp, vì mặt trời không thể xuyên nổi qua làn bụi đang treo lơ lửng trong không khí.
Emberek és állatok minden lélegzésre port szívtak be, mely izgatta tüdejüket, s ropogott a foguk között.	Mỗi một hơi thở, người và vật lại hít bụi vào, thứ bụi khiến phổi khó chịu và lạo xạo trong răng họ.
Ráadásul az orkán ismét kitörhetett s elboríthatta a világot.	Thêm nữa, cơn lốc có thể lại sắp nổi lên, che mờ hoàn toàn trời đất.
Staśnak eszébe villant, hogy az újabb sötétségben Nellel egy tevén megfordulhatna, s a széllel vágtathatna észak felé.	Xtas chợt nghĩ rằng, nếu trong lúc tối trời như thế mà nó được ngồi trên cùng một con lạc đà với Nen, thì chúng có thể quay lại và chạy theo chiều gió về phía Bắc.
Ki tudja, észrevennék-e szökésüket az elemek harca közepette, s ha eljuthatnának a Bahr Juszefig vagy a Nílusig, az első part menti falucskába, meg lennének mentve.	Biết đâu, trong bóng tối và sự quay cuồng của các sức mạnh thiên nhiên, bọn kia sẽ không thể nhìn thấy chúng, và nếu như chúng đến được một cái hang bất kì nào đó trên sông Bahơrơ Duxép bên sông Nin, thì chúng sẽ thoát:
Idrisz és Gebhr még csak üldözni sem mernék őket, hiszen az első falucskában biztosan a "zabtjék" kezébe kerülnének.	Iđrix và Ghebơrơ sẽ không dám đuổi theo chúng, vì ngay lập tức bọn ấy sẽ lọt vào tay các cảnh sát địa phương.
Staś mindezt jól megfontolva, megbökte Idrisz karját, s így szólt:	Cân nhắc điều ấy xong, Xtas bèn thúc vào tay Iđrix và nói:
- Add ide a vizeskulacsodat.	- Đưa cho tôi bầu nước.
Idrisz nem ellenkezett, mert noha reggel mélyen bekanyarodtak a sivatagba, s messze voltak a folyótól, vízzel bőven el voltak látva, s a tevék is eleget ittak az éjjeli pihenőn.	Iđrix không từ chối, vì mặc dù buổi sáng họ đã ngoặt sâu vào sa mạc và hiện đang cách sông khá xa, nhưng vẫn còn rất nhiều nước, lạc đà lại đã uống no nước trong đợt nghỉ lúc đêm rồi.
Ezenfelül jól ismerte a sivatagot, s tudta, hogy a szélvihar után jön az eső, s a kiszáradt "khor"-okat egy időre patakokká változtatja.	Thêm nữa, là một người quen thuộc với sa mạc, hắn hiểu rằng, sau cơn bão thường có mưa, và khi ấy những khe cạn lại biến thành dòng suối tạm thời trong một thời gian.
Staś csakugyan szomjas volt, jót húzott tehát a kulacsból, azután anélkül hogy visszaadta volna, újra megbökte Idrisz karját.	Xtas quả thật cũng muốn uống nước, nên nó bèn tu đẫy, rồi không trả lại bầu nước cho Iđrix, nó lại động vào vai tên này:
- Állítsd meg a karavánt.	- Hãy dừng lại đã.
- Minek?	- Làm gì?
- kérdezte a szudáni.	- tên Xuđan hỏi.
- Mert át akarok ülni a kis "bint" tevéjére, hogy vizet adjak neki.	- Tôi muốn ngồi sang lạc đà của cô bé để cho nó uống nước.
- Dinahnak ennél nagyobb kulacsa van.	- Mụ Đina có bầu nước lớn hơn bầu của tao cơ mà.
Dinah egymagában nem boldogul vele.	Bà Đina không thể đối phó nổi chuyện đó đâu.
- Nemsokára újra kitör a vihar, s megint telehord mindent.	- Gió sẽ nổi lên ngay bây giờ, nó sẽ lại phủ đầy thôi.
- Annál nagyobb szüksége lesz a kis "bint"-nek a segítségemre.	- Thế thì cô bé càng cần phải có người giúp đỡ.
Idrisz ostorával meglegyintette a tevét, s egy darabig szótlanul nyargaltak tovább.	Iđrix quất cho lạc đà một roi, họ yên lặng đi một lúc.
- Mért nem felelsz?	- Sao ông không trả lời?
- sürgette Staś.	- Xtas hỏi.
- Mert azon gondolkozom, ne kötözzelek-e erősebben a nyereghez, vagy ne kössem-e hátra a kezedet.	- Bởi tao đang nghĩ nên trói mày vào yên, hay nên trói tay mày ra đằng sau.
- Megőrültél?	- Ông điên à?
- Nem.	- Không đâu.
Csak kitaláltam, miben sántikálsz.	Nhưng tao đoán mày định làm gì.
- Nincs rá semmi szükségem, mert az üldözők úgyis utolérnek.	- Dù sao thì người ta cũng sẽ đuổi kịp chúng ta, tôi chẳng cần làm việc ấy đâu.
- A sivatag Isten kezében van.	- Sa mạc nằm trong tay Thượng đế.
Ismét elhallgatott.	Họ lại yên lặng.
A durvább homokszemek már teljesen lehulltak, csak a száraz, finom por lebegett a levegőben, melyen át a nap nagy, vörösréz korongnak látszott.	Những hạt cát lớn hơn đã rơi xuống hoàn toàn, trong không khí chỉ còn lại thứ bụi đỏ nhỏ xíu tựa như bụi tuyết, qua đó, mặt trời trông tựa như một miếng đồng đỏ quạch.
Most már messzebb­re lehetett látni.	Nhưng đã có thể nhìn được xa hơn.
A karaván előtt tágas lapály terült el, melynek távoli peremén az arabok éles szeme újra felhőt vett észre.	Phía trước đoàn người giờ đây đang là một vùng bằng phẳng, trên đó, những cặp mắt tinh tường của bọn Ả Rập lại nhìn thấy một đám mây.
Ez magasabb volt az előbbinél, s mintha oszlopok avagy felső végüknél kiszélesedő kémények meredeztek volna ki belőle.	Đám mây này cao hơn đám lú c trước, thêm nữa, từ đó thò ra những cái cộ t, trông tựa những ống khói khổng lồ, phía trên phình rộng ra.
Erre a látványra megremegett az arabok és beduinok szíve, mert az oszlopokban felismerték a hatalmas homoktölcséreket.	Nhìn thấ y thế, tim bọn người Ả Rập và Bêđuin run lên, vì chúng nhận ra ngay rằng đó là những cơn lốc cát khổng lồ.
Idrisz felemelte kezét, s tenyerét füléhez értetve bókolt a vihar felé.	Iđrix đưa hai tay lên đến gần tai và bắt đầu vái cơn xoáy lốc đang lao tới.
Egyistenhite nyilván nem zavarta abban, hogy más erőket is imádjon és féljen, mert Staś tisztán hallotta, amint mor­mogta:	Lòng tin của hắn vào một vị Thượng đế duy nhất không cản trở hắn thờ cúng và kinh sợ những vị thần khác, nên Xtas nghe rõ lời hắn khấn:
- Uram, mi a te gyermekeid vagyunk, nem falhatsz fel bennünket!	- Lạy thần!
Az "úr" pedig megjelent, s oly erővel csapott a tevékre, hogy alig bírtak megállni a lábukon.	Chúng con là con cháu của thần, xin thần chớ vùi dập chúng con.
Az állatok most fejükkel befelé fordulva, szorosan összebújtak.	Bọn súc vật giờ đây dồn lại thành một đám chật kín, đầu quay vào trong, hướng vào nhau.
A szél óriási homoktömegeket kavart fel.	Cả những khối cát to lớn chuyển động.
A karavánt az előbbinél sűrűbb sötétség fogta körül, s e homályban még sötétebb árnyak suhantak el mellettük, mint óriási madarak vagy a viharral együtt száguldó tevék.	Đoàn người bị chìm trong một thứ bóng tối còn đậm đặc hơn lúc trước, và trong bóng tối đó, bay vụt qua sát cạnh đoàn người là những vật gì đó nhoè nhoẹt, còn tối hơn nữa, tựa như những con chim khổng lồ hay những con lạc đà bị bão cuốn đi.
Az arabok megrémültek, mert azt hitték, hogy ezek az árnyak a sivatagban elpusztult és betemetett emberek és állatok lelkei.	Bọn Ả Rập sợ rúm người lại tưởng chừng như đó là hồn ma của những người và vật đã bị chết vùi dưới cát hiện về.
A szélvész süvöltése és bömbölése közepette különös hangok hallatszottak, melyek hol síráshoz, hol kacagáshoz, hol segélykiáltáshoz hasonlítottak.	Trong tiếng gầm thét của cơn bão lốc, nghe thấy những giọng nói kì lạ, khi thì như tiếng than khóc nức nở, khi tựa tiếng cười sằng sặc, khi lại giống như tiếng gào rú kêu cứu.
Ez azonban csak az érzékek csalóka játéka volt.	Song đó chỉ là ảo giác.
A karavánt sokkal szörnyűbb veszedelem fenyegette.	Đoàn người bị đe doạ bởi một nỗi nguy hiểm thực tế trăm lần kinh khủng hơn.
A szudániak jól tudták, hogyha a szélvész ölén folytonosan és gyors egymás­utánban képződő homoktölcsérek egyike elkapja őket, könnyen lesodorja a tevék hátáról, s a tevéket szétrebbenti, ha pedig éppen ott törik meg fölöttük s rájuk omlik, egy szempillantás alatt olyan hatalmas sírdombot rak föléjük, hogy aztán várhatják, amíg a legközelebbi szélvihar ismét előkaparja csontjaikat.	Bọn Xuđan hiểu rõ rằng, nếu một trong số các vòi rồng cát được tạo thành liên tục giữa lòng cơn bão mà tóm lấy chúng vào vòng xoáy của mình, thì nó sẽ vật ngã người cưỡi và xua tán loạn đàn lạc đà, còn nếu nó đứt gãy và đổ xuống đầu chúng, thì chỉ trong nháy mắt chúng sẽ được phủ vùi trong một nấm mộ bằng cát khổng lồ, trong đó, chúng sẽ phải chờ cho đến khi một cơn bão tiếp đó làm phơi xương cốt của chúng ra.
Staśnak szédült a feje, elakadt a lélegzete, s egészen megvakította a homok.	Xtas thấy quay cuồng cả đầu óc, hơi thở bị nghẹt trong lồng ngực và cát khiến em mờ cả mắt.
De időnként mintha Nel sírását és kiáltását hallotta volna, most hát csak rá gondolt.	Song dường như đôi lúc em nghe thấy tiếng khóc và tiếng kêu của Nen, nên chỉ nghĩ tới cô bé mà thôi.
Kihasználta az alkalmat, hogy a tevék szorosan összebújva álltak, és Idrisz sem figyelhetett rá, s átmászott Nel tevéjére, már nem is azért, hogy megszökjenek, hanem hogy segítségére legyen s bátoríthassa.	Tranh thủ lúc lạc đà đang đứng xúm xít thành một đám, mà Iđrix thì đang không thể chú ý tới em, em liền quyết định sẽ khẽ khàng lao sang lạc đà của Nen, không phải để chạy trốn nữa mà để giúp đỡ và động viên cô bé.
De alig húzta maga alá lábát, s nyújtotta ki kezét, hogy Nel nyergébe kapasz­kodjék, Idrisz hatalmas ökle visszarántotta.	Song khi em vừa mới gập chân vào và đưa tay ra định bíu lấy cái yên của Nen thì một bàn tay khổng lồ của Iđrix đã tóm lấy em mà giật.
A szudáni úgy felkapta, mint a pelyhet, maga elé ültette, s pálmakötéllel gúzsba kötötte, majd keresztülfektette nyergén.	Tên Xuđan nhấc em lên như một chiếc lông, đặt ngay trước mặt và bắt đầu trói em bằng dây thừng, rồi sau khi trói chặt tay em lại, hắn đặt em nằm ngang qua yên.
Staś összeszorított foggal védekezett, ahogyan tudott, de mindhiába.	Xtas nghiến chặt răng cố chố ng cự, song chỉ vô ích.
Torka kiszáradt, szája tele homokkal, nem tudta hát, de nem is akarta meggyőzni Idriszt, hogy csak segíteni akart Nelnek, nem pedig szökni.	Cổ họng khô bỏng, mồm đầy cát, em không thể và cũ ng không muốn thuyết phục Iđrix rằng, em chỉ muốn sang giúp cô bé chứ không có ý định trốn.
- Mentsétek meg a kis "bint"-et, mentsétek meg a kis "bint"-et!	- Cứu lấy cô bé... Cứu lấy cô bé!
Ám az arabok inkább a saját életükkel törődtek.	Song bọn Ả Rập chỉ nghĩ đến việc cứu lấy bản thân chúng thôi.
A fergeteg oly borzalmas erővel tombolt, hogy sem ők nem maradhattak meg nyergükben, sem a tevék nem állhattak meg lábaikon.	Gió thổi kinh khủng đến nỗi chúng không thể ngồi nổi trên lưng lạc đà, mà lạc đà cũng không thể đứng yên tại chỗ.
A két beduin, valamint Khamisz és Gebhr leugrottak, hogy a tevéket kötőféken tartsák.	Hai tên Bêđuin, cùng với Khamix và Ghebơrơ nhảy xuống đất để nắm lấy sợi thừng buộc vào dây cương ở hàm dưới của lạc đà.
Idrisz Staśt áttolta a nyereg végébe, aztán ő is a többiek példáját követte.	Đẩy Xtas về phía sau yên, Iđrix cũng làm như vậy.
A tevék, amennyire csak bírták, szétterpesztették lábaikat, hogy ellenálljanak a szélviharnak, de nem győzték erővel, s a karaván, a kavics és a homok csapásai alatt, melynek durvábbja korbácsként csapkodta, apraja pedig ezernyi tű gyanánt szúrta arcukat, hol lassabban, hol gyorsabban kezdett forgolódni s hátrálni az elemek nyomása elől.	Bọn súc vật cố dang rộng chân để chống lại cơn lốc điên cuồng, nhưng chúng không đủ sức, và cả đoàn, bị sỏi quật như hàng trăm ngọn roi quất, bị cát xói như kim châm, bắt đầu quành đi và lùi lại, lúc nhanh, lúc chậm.
A vihar olykor egész gödröket ásott lábuk alatt, máskor meg a tevék oldalához vágódó kavics pillanatok alatt térdig, sőt azon felül érő buckákba verődött.	Chốc chốc, cơn lốc lại tạo thành vũng dưới chân lạc đà, thỉnh thoảng cát và sỏi lại dồn đống hai bên sườn lạc đà, trong chớp mắt tạo thành những đống cao đến đầu gối chúng, hoặc cao hơn nữa.
