ELSŐ RÉSZ	PHẦN THỨ NHẤT
Megtudom idővel!	Tên của anh là Moriliré.
Châtonnay doktor és Tassin úr - akik ama madarakhoz hasonlítanak, amelyeket "párjához hűnek" nevez a nép, - egy fügefa alá húzódtak, és kiterítették a térképeiket.	Đó là một chàng trai khỏe mạnh, trạc ba mươi tuổi, mặc quần cộc và áo khoác của lính bộ binh thuộc địa cũ, trên có cầu vai sờn bẩn.
Moriliré valami húst vásárolt Conakryban.	Mũ cắm lông chim ba màu rất đẹp.
E változatos ebéd elé olyan előétel került, amelyet nem a főszakácsunk módolt ki.	Các kỵ sĩ của đại úy Marcenay đứng thành hai hàng dọc theo đoàn xe.
Csak így válik a vaj ízletessé.	Đúng sáu giờ lệnh phát ra.
Az ő útbaigazítása nyomán például a rotangsalátáról is beszélhetek.	Tiếng kèn đồng và tiếng trống của đội bộ binh thuộc địa đóng tại Conakry vang lên.
Íme, egy valóban sokoldalúan hasznos növény.	Chúng tôi bỏ mũ ra: phút nghiêm trang.
Tudósunk idáig jutott az előadásával, amikor az erdőből felhangzó kiáltozások elvonták a figyelmünket.	Nghĩa là chúng tôi có thể không phải lo gặp trắc trở gì trên đường tới Timbo.
Azonnal rájöttem, hogy ki az ordítozó. Bármiben fogadok, hogy ha megkérdem: "kinek a hangja volt ez?" - a leggyanútlanabb olvasó is menten rávágja: "Hát kié?	Thời tiết tốt, nhiệt độ bóng râm khoảng mười bảy độ và những trận mưa rào không thể đe dọa được chúng tôi: mùa mưa đã qua rồi.
- A kezével?	Tiến lên!
Saint-Bérain úr a gyarmati kalapjára mutatott, amelyet letakart valami vászonnal:	Mọi việc sẽ tốt đẹp trong cái thế giới tốt đẹp này!
Ezzel aztán vissza is tértünk a táborba.	Moriliré trông nom bếp dã chiến.
Természetesen Mornas kisasszony ült az asztalfőn.	Bữa ăn sáng đầu tiên của chúng tôi rất ngon.
- A bácsikám... - (Tehát mégis a nagybátyja.	Chúng tôi dừng chân và căng lều nghỉ đêm giữa rừng rậm.
Ezt most már egyszer és mindenkorra meg­jegy­zem magamnak!)	Tuy nhiên chỗ ấy không hoàn toàn vắng vẻ.
- A bácsikám - mondta az ifjú hölgy - úgy bánt velem, mint egy fiúval, s talán sikerült férfivá nevelnie.	Bên phải con đường có một túp lều của thổ dân, còn bên trái chúng tôi là một lều khác có người ở.
Ugyanis, amikor eljött az indulás ideje, Moriliré hiába biztatta az embereket, hogy készülőd­jenek.	Cô Mornas nhận lời và chúng tôi long trọng đưa tiễn cô đến nơi nghỉ mới.
- Én értem, hogy mit akarnak - jelentette ki.	Người hầu gái đang đợi chúng tôi.
Amíg az újhold fel nem kél, a négerek azt mondják: "Ez rossz jel.	Đó là một cô bé, tuổi chừng mười lăm.
Még nem sötétedett be teljesen, de az ég felhős volt.	Chúng tôi rất ngạc nhiên vì cô ta nói tiếng Pháp khá đúng.
- Allah má tulá kéndé - és jobb tenyerükkel a homlokukat ütögették.	Em biết sắp đặt giường chiếu như phụ nữ da trắng.
(Allah megtartott egészségben.	Chị sẽ rất hài lòng cho coi.
A vidék azonban nem volt teljesen kihalt.	Cô bé âu yếm nắm tay Mornas dẫn vào nhà.
Bizony azok voltak, mert Saint-Bérain úr a kukacokhoz valóban jól értett.	Không đầy nửa giờ sau, cô Mornas đã cầu cứu chúng tôi.
Úgy látszik, hangosan gondolkoztam.	Lưng cô bé đầy những vết máu.
- Őket megenni, muszjú - válaszolta Tongané.	Cô bé bất hạnh đang khóc tức tưởi.
Egy karité-fa mellett álldogált.	— Các ngài xem, – cô Mornas nói.
Nem valami magas, tizenöt év körüli lány volt.	– Tôi vừa mới đặt lưng xuống giường.
De annyi bizonyos, hogy a lány gyönyörű ébenfa szoborhoz hasonlított.	Malik, tên của cô bé da đen – một cái tên hay đấy chứ?
A szépséges szobor egyelőre azzal foglalatoskodott, hogy a karité-fa zsenge hajtásai közül valamit kiszedegessen.	– đang quạt cho tôi và tôi bắt đầu thiếp đi thì lão chủ súc sinh của cô bé đột nhiên trở về.
Azt mondják, hogy igen ízletes.	— Phong với chả tục!
Meg leszelsz elégedve.	– Baudrières càu nhàu.
Persze, azonnal odarohantunk, és a fáklyák fényében meghökkentő látvány tanúi lehettünk.	— Chúng đấy, thưa các ngài, cái bọn man rợ mà các ngài muốn biến thành những cử tri yêu chuộng hòa bình!
A kunyhó előtt végignyúlva feküdt a kis néger lány.	Có lẽ ông tưởng mình đang đứng trên diễn đàn.
A hátát vörösen hurkásodó csíkok ék­telenítették.	Barsac giật nảy người như bị kiến đốt.
A szerencsétlen szívszakadva zokogott.	Ông rướn thẳng lên rồi đáp, giọng khô khan:
A fekete vagy öt lépéssel arrébb ólálkodott, és még a kezében szorongatta a véres husángot.	— Ngài hãy nói với những ai chưa bao giờ nhìn thấy người Pháp đánh phụ nữ!
- Gyönyörű erkölcsök!	Ông Barsac cũng đúng.
- sziszegte keskeny ajkai között a kedves Baudrières úr.	Lẽ nào chúng tôi lại phải chứng kiến một cuộc đấu khẩu?
A kedves Baudrières úrnak, persze, igaza volna.	Không, Baudrières không trả đũa.
Barsac úr erre úgy pattant fel, mint akit a bögöly csípett meg.	Barsac quay lại phía gã da đen đang cầm roi.
Barsac úr tehát a botos négerhez fordult: - A kislány itthagy téged - jelentette ki -, mert magunkkal visszük.	— Tôi sẽ mua lại cô bé nô lệ của ông, – Barsac nói – Bao nhiêu?
A néger tiltakozott.	Hoan hô ông Barsac!
Egész biztos: meg sem értené.	Ý định thật là tuyệt!
A törvények máról holnapra nem változtatják meg az erkölcsöket.	Gã da đen thấy có dịp vớ bở nên đã bình tĩnh lại.
Barsac úr alkalmasabb megoldást választott.	Gã đòi một con lừa, một khẩu súng và năm mươi franc.
- Megveszem a lányt - jelentette ki.	— Năm mươi roi thì có!
Egy szamarat, egy puskát és ötven frankot kért.	– Mi hoàn toàn xứng đáng với số roi đó.
Az alku tovább folyt.	Họ bắt đầu mặc cả.
Végül is az a zsebvágó egy régi puskáért szíjjal együtt, egy darab vászonért és huszonöt frankért eladta a rableányt.	Cuối cùng, tên bợm chịu nhường cô hầu gái để lấy một khẩu súng hỏa mai cũ kỹ, một mảnh vải và hai mươi lăm franc.
Ha meggondoljuk, nem is valami drágán. Alkudozás közben Mornas kisasszony felemelte Malikot, és a sebeit karité-vajjal kenegette.	Trong khi mọi người còn đang tranh cãi thì cô Mornas đã đỡ Malik dậy và băng bó các vết thương cho cô bé.
Miután pedig megkötötték a vásárt, a lányt a táborunkba hozta, egy fehér köpenykét adott rá, valamennyi pénzt nyomott a markába, és így szólt hozzá:	Đến lúc việc mua bán đã xong, cô dẫn cô bé về trại của chúng tôi, mặc cho cô bé chiếc áo blu trắng và nói, sau khi đã đặt vào tay cô bé mấy đồng bạc:
- Többé nem vagy rabszolga.	— Em không phải làm nô lệ nữa.
Visszaadom a szabadságodat.	Tôi cho em tự do đi đâu thì đi.
- Tartsd meg, kis húgom - szólalt meg Saint-Bérain.	— Giữ cô bé lại đi cháu, – Saint-Bérain bàn vào.
- Bizony, jó hasznát veszed.	– Dĩ nhiên, cô bé sẽ có ích cho cháu đấy.
Számtalan olyan szolgálatot tehet, amelyre egy hölgynek, még akkor is, ha férfi, bármikor szüksége lehet.	Cô ta sẽ đỡ đần cho cháu trăm nghìn việc vặt mà người phụ nữ nào cũng cần.
Mornas kisasszony annál inkább hagyta magát meggyőzni, mert szíve mélyén maga is vágyott e megoldásra.	Cô Mornas vui lòng tán thành ý kiến này còn hơn cả ý muốn của cô.
Nem tudván, hogy miként is köszönje meg Saint-Bérain-nek a közbenjárást, a kis néger lány az öregfiú nyakába ugrott, és mindkét arcát megcsókolta.	Khỏi phải nói, cô Mornas không còn định tìm kiếm lòng mến khách của thổ dân nữa.
Valószínű, hogy a következő napok ehhez nagyon hasonlóak lesznek.	Ngày đầu tiên của chúng tôi là thế.
Amédée Florence	Amédée Florence
Amédée Florence úr második beszámolója	Bài Báo Thứ Hai Của Amédée Florence
Amédée Florence úr második beszámolója az Expansion Française január 18-i számában jelent meg.	Bài báo thứ hai của Amédée Florence đăng trên tờ Expansion Française vào ngày 18 tháng Giêng.
A BARSAC-EXPEDÍCIÓ	ĐOÀN THỊ SÁT BARSAC
- Indiszkrét vagyok - Saint-Bérain	Daouhérik, ngày 16 tháng Mười hai.
December 2-án tábort bontottunk, és reggel ötkor egy fővel megszaporodott karavánunk folytatta az útját.	Ngày 2 tháng Mười hai chúng tôi nhổ trại lúc năm giờ sáng và lại lên đường.
Az egyik szamárról leszedték a málhákat, és szétosztották a többi málhás között, s a fel­szabadult állatot Maliknak adták.	Chúng tôi phải dỡ hàng trên lưng một con lừa xuống và xếp qua mấy con khác để cho Malik cưỡi.
Úgy tűnt, hogy a gyermeki kedélyű néger lány már el is felejtette a tegnapi bántalmakat.	Cô bé da đen có vẻ như đã quên những đau khổ vừa qua, cô luôn miệng cười.
Mert a vidék bizony nem valami szívderítő.	Chúng tôi tiếp tục đi dễ dàng và yên ổn.
Lapos, legfeljebb enyhén dimbes-dombos tarto­má­nyon haladunk át; az északi látóhatáron néha kiemelkedőbb dombhátak is fel-fel­bukkannak, egyébként amíg a szem ellát, mindent szegényes növényzet borít, tüskés bozót és fűfélék, ez tehát a szavanna.	Giả sử không có màu da đen của những người đi bên cạnh chúng tôi và sự đơn điệu của phong cảnh thì có thể nghĩ rằng chúng tôi chưa ra khỏi nước Pháp.
Imitt-amott egy-egy kisebb erdő, de a fái fiatalok, mert ezen a tájon a száraz időszakban gyakran pusztítanak futótüzek, amelyek a szántóföldekre és az ültetvényekre is átcsapnak; a megművelt területeket a bennszülöttek luganénak nevezik; egy-egy lugané után rendszerint szépen zöldellő fákra bukkanunk, s ebből tudjuk, hogy falu közelébe értünk.	Phong cảnh chẳng đẹp chút nào: chúng tôi đang vượt qua một vùng bằng phẳng hay chỉ hơi nhấp nhô, có mấy ngọn đồi ở phía bắc và trong tầm mắt của mình, chúng tôi chỉ nhìn thấy toàn cây cối cằn cỗi – đám nọ chen đám kia, cao từ hai đến ba mét, được gọi là "lùm, bụi".
A falvaknak errefelé abszurd nevük van: Fongoumbi, Manfourou, Kafou, Uossou és így tovább.	Dân chúng nhìn chúng tôi với thái độ niềm nở và trông họ hiền lành.
Ami a bennszülötteket illeti, rokonszenvvel figyelnek bennünket, és valóban békéseknek tűnnek.	Tôi xem lại nhật ký và không thấy có gì thú vị trong đó cho đến ngày 6 tháng Mười hai.
De mindez együttvéve nem valami érdekes.	Đến giờ, tôi về lều để ngủ.
Aznap este az eddigieknél valamivel jelentősebb falu, Oualia mellett táboroztunk le.	Tôi thấy Saint-Bérain đã cởi bỏ hết quần áo mặc ngoài đang ở đấy.
Bent ingben, gatyában Saint-Béraint pillantottam meg.	Áo quần của anh mỗi nơi một chiếc.
A ruhái szanaszét hajigálva... Meg volt ágyazva.	Giường chiếu tươm tất.
Szemlátomást Saint-Bérain nálam akart lefeküdi.	Có lẽ, Saint-Bérain định ngủ lại chỗ tôi.
Megálltam a sátor­nyílásban, s néztem a váratlan vendég ügyködését.	Tôi dừng bước và lặng ngắm vị khách đường đột của mình.
Saint-Bérain cseppet sem csodálkozott, amikor megpillantott.	Saint-Bérain không hề tỏ ra ngạc nhiên khi trông thấy tôi.
Egyébként Saint-Bérain soha semmin sem csodálkozik.	Nói chung, anh không ngạc nhiên bao giờ.
Nagyon elfoglaltnak tűnt, és igen izgatottnak; mindent széthányt, még az utazóládámat is kinyitotta, s a tartalmát annak is mind a földre szórta.	Anh rất lo lắng, lục tìm khắp nơi và quẳng các thứ trong vali của tôi ra đất.
Felém fordult, és a legmélyebb meggyőződéssel így szólt:	Nhưng anh không tìm thấy thứ mình cần.
- Nem szenvedhetem a szórakozott embereket!	Việc đó khiến anh tức điên cả người.
- Bizony, borzalmasak!...	— Tôi chúa ghét những kẻ đãng trí.
De mi történt önnel?	Bọn chúng thật bỉ ổi!
- Képzelje, nem találom a pizsamámat!...	Tôi đồng tình ngay.
- válaszolta.	— Bỉ ổi thật!
- Akármiben fogadok, hogy az a szamár Tchumuki ottfelejtette a tegnapi táborhelyen.	Nhưng chuyện gì đã xảy ra với anh thế, anh Saint-Bérain?
Szép, mi?	— Anh biết không?
- Csak azért, mert ez az én ládám, kedves barátom, sőt ez a vendégszerető sátor s az érintetlen ágy is az enyém...	Tôi chắc gã Tchoumouki sâu bọ kia đã bỏ quên nó ở chỗ nghỉ chân đêm qua.
Én pedig az ágyra hempe­redtem, és azt hittem, megpukkadok a nevetéstől.	— Thế nếu nó không có trong vali của người khác?
Milyen kedves ember!	— Của tôi...
De hát minden embernek megvan a maga különcsége.	Saint-Bérain mở to mắt ngạc nhiên.
Moriliré, akit a dolog felderítésére küldtünk, azt jelentette, hogy a settenkedő négerek bizo­nyos kereskedőemberek és varázslófélék, és nem viseltetnek ellenséges indulattal.	Biết mình nhầm, anh vơ vội số quần áo bị vứt bừa bãi rồi bỏ chạy như thể có bọn ăn thịt người đang đuổi riết theo anh.
A négereket elénk vezették: egyik soványabb, nyomorultabb volt, mint a másik.	Tôi gieo người xuống giường, cười lăn lóc.
A só ezen a vidéken, amelyen most áthaladunk, igen ritka jószág, szinte megfizethetetlen.	Tối ngày 7 tháng Mười hai, tình cờ lều của tôi dựng cạnh lều của cô Mornas.
És amint távolodunk a tengerparttól, az ára egyre nő.	Tôi đi nằm và nghe thấy tiếng chuyện trò bên cạnh.
Ezért nagy mennyiségű sót is viszünk magunkkal.	Thay vì phải bịt tai lại, thì tôi lắng nghe: đó là yếu điểm của tôi.
Miután a vásárt megkötöttük, közelebb hívtuk a varázslókat, és arra biztattuk őket, hogy kecses útitársnőnk tiszteletére dalolják el a legszebb énekeiket.	Cô Mornas đang hỏi Tongané, anh nọ trả lời bằng thứ tiếng Anh mà tôi phải sửa lại cho độc giả dễ hiểu.
E felszólításra előlépett a fekete világ két trubadúrja.	Câu chuyện chắc đã bắt đầu trước đó.
Az egyik valami gitárfélét tartott a kezé­ben.	Cô Mornas đang gạn hỏi về quãng đời trước đây của anh ta.
De micsoda gitár!	Cô hỏi:
A zeneszerszám neve: dianne.	— Sao anh, một người Achantis...
Öt percnyi eszeveszettség után lihegve elcsendesedtünk.	Tongané không phải là người Bambara, tôi chưa hề nghĩ như vậy.
Mornas kisasszony könnyezett a nevetéstől.	—... lại thành xạ thủ Sénégal?
Éppen lefeküdni készültem, amikor meghallottam, hogy a szomszédos sátorban beszélgetnek.	Anh đã nói cho tôi biết điều ấy khi tôi thuê anh nhưng giờ tôi quên mất rồi.
Mikor éppen fülelni kezdtem, a hölgy így szólt:	Tôi có cảm giác là cô Mornas không thật lòng.
Hát Tongané nem bambara?!	Tongané trả lời:
Buxton?	Buxton?
- ...Az ő expedíciójában szolgáltam - folytatta Tongané -, mikor megjöttek az angolok, és közénk lőttek.	Tôi vừa tiếp tục lắng nghe vừa lục lọi trong trí nhớ.
- kérdezte Mornas kisasszony.	– cô Mornas hỏi.
- Mert Buxton kapitány úr lázadást szított, hogy rabolhasson és gyilkolhasson... - Ez igaz?	— Bởi vì đại úy Buxton đã cướp bóc và bắn giết mọi người.
- Nagyon is igaz: a falvakat felégettük.	— Đúng thế không?
A szegény négereket, asszonyokat és gyermekeket is mind meg kellett ölnünk...	— Thưa, rất đúng ạ. Chúng tôi đã đốt làng, giết người da đen nghèo khổ, giết phụ nữ và trẻ em...
- Erre a kegyetlenkedésre a parancsot maga Buxton kapitány adta?	— Và chính đại úy Buxton đã ra lệnh thực hiện tất cả những tội ác đó?
- kérdezte Mornas kis­asszony, akinek mintha remegett volna a hangja.	– cô Mornas gạn hỏi, giọng không thay đổi.
- Nem - válaszolta Tongané.	— Không ạ, – Tongané trả lời.
- Őt sohasem lehetett látni.	– Chúng tôi không nhìn thấy đại úy bao giờ.
Ő, azután hogy egy másik fehér érkezett a táborba, többé ki sem lépett a sátrából.	Ông không bước ra khỏi lều từ ngày có một người da trắng đến.
Az a másik fehér adta ki a parancsokat, de a kapitány úr nevében.	Ông da trắng đó nhân danh đại úy ra lệnh cho chúng tôi.
- Az a másik fehér régebben csatlakozott hozzátok? - Nagyon rég.	— Ông ta, cái ông da trắng ấy, ở chỗ các anh có lâu không?
Öt-hat hónappal, de lehet, hogy még többel is azelőtt.	— Rất lâu ạ. Năm, sáu tháng, mà cũng có thể lâu hơn nữa.
- Hol találkoztatok vele?	— Bọn anh gặp ông ấy ở đâu?
- A szavannában.	— Trong rừng.
- És Buxton kapitány könnyen a bizalmába fogadta?	— Và đại úy Buxton đã dễ dàng thu nhận ông ta?
- Többé nem váltak el egymástól, addig a napig, amíg a kapitány aztán nem jött ki a sátrából...	— Họ không rời nhau nửa bước cho đến ngày đại úy không thể bước ra khỏi lều của mình.
- És ugye attól a naptól kezdődtek el a kegyetlenkedések?	— Và chắc là những hành động tội ác bắt đầu từ hôm đó?
Tongané habozott:	Tongané ngập ngừng.
- Nem emlékszem - vallotta be végül is.	— Tôi không biết, – anh thú nhận.
- De hogy hívták azt a fehér embert?	— Thế còn ông da trắng kia?
- kérdezte Mornas kisasszony.	– Cô Mornas hỏi.
Ebben a pillanatban valami kintről jövő zaj elnyomta a Tongané hangját.	Tiếng ồn ào từ bên ngoài vọng vào làm át đi tiếng nói của Tongané.
Így nem tudom, mit válaszolt.	Tôi không biết anh đã trả lời những gì.
De hát végül is nekem mindegy.	Rốt cuộc thì điều ấy cũng không quan trọng.
Akármint is van, ennek a históriának már nincs időszerűsége, tehát engem nem nagyon érdekel.	Đó chẳng qua chỉ là một câu chuyện cũ không làm tôi bận tâm.
Mornas kisasszony tovább faggatózott:	Cô Mornas lại hỏi:
- Miután az angolok közétek lőttek, te mit csináltál?	— Sau khi lính Anh bắn vào bọn anh, chuyện gì đã xảy ra với anh?
- Én és a többiek nagyon megijedtünk, és a szavannába menekültünk.	– Tôi và những người khác rất sợ và đã bỏ chạy vào rừng.
Én később visszatértem ugyan, de a harc színhelyén már senkit sem találtam.	Lát sau, tôi quay lại chỗ bắn nhau, nhưng không thấy ai.
Csak a halottak maradtak ott.	Ở đấy toàn là xác chết.
Eltemettem néhányat, a barátaimat, és eltemettem a parancsnokunkat is, Buxton kapitányt...	Tôi đã chôn cất các bạn hữu, chôn luôn cả thủ lĩnh, đại úy Buxton nữa.
Ebben a pillanatban szomorú sóhajtást hallottam.	Tôi nghe thấy tiếng reo bị nén xuống.
- Aztán - folytatta Tongané - faluról falura bujkáltam, amíg a Niger partjára nem értem.	— Sau đó, – Tongané tiếp tục, – tôi lang thang từ làng này sang làng khác và đến sông Niger.
Rövid hallgatás után Mornas kisasszony megkérdezte:	Sau hồi lâu im lặng, cô Mornas hỏi:
- Szóval Buxton kapitány meghalt?	— Vậy đại úy Buxton đã chết?
- Meg, úrnőm.	— Vâng, thưa tiểu thư.
- És te temetted el?	— Và anh đã chôn cất ông ta?
- Én, úrnőm.	— Vâng, thưa tiểu thư.
- Tehát tudod, hogy hol van a sírja?	— Anh biết mộ ông ta ở chỗ nào chứ?
Tongané felnevetett:	Tongané cười.
- Jó éjszakát, Tongané!	Lại im lặng rồi tôi nghe thấy:
- Jó éjszakát, úrnőm!	— Chúc anh ngủ ngon, Tongané.
Hogy az ördögbe nem jöttem rá azonnal?...	— Chúc tiểu thư ngon giấc.
Hova tettem a fejemet?	– Anh da đen đáp lại.
Micsoda remek riportot szalasztottam el akkor!"	Anh ra khỏi lều và đi xa dần.
A főszerkesztőm hónapokig húzódozott a költségek miatt.	Tôi nằm ngay xuống để ngủ, nhưng vừa mới tắt đèn thì ký ức đã trỗi dậy trong tôi.
Hiába!	"Buxton?
Nem mindenkinek van érzéke az időszerűségek iránt.	Khỉ thật, phải đâu ta không biết con người này!
Végül, mire elhatározta magát, már késő volt.	Đầu óc của ta đâu rồi?!
Mielőtt Bordeaux-ban hajóra szálltam volna, értesültem Buxton haláláról.	Vậy là ta đã bỏ mất một thiên phóng sự hấp dẫn!"
Ma már mindez régmúlt história, és önök joggal megkérdezhetik, minek írtam le ezt a véletle­nül kihallgatott párbeszédet, amely Tongané és az úrnője között lefolyt... Bizony, magam sem tudom, miért tettem.	Hồi ấy tôi đang làm cho tờ Diderot và đã đề nghị ông chủ bút cử tôi đến nơi xảy ra vụ án viên đại úy – thổ phỉ với tư cách là một phóng viên.
Ez alkalommal csak egy jelentéktelen semmiségről van szó, de minket csudára meg­nevette­tett.	Mấy tháng liền, ông ta từ chối, sợ tốn kém.
Lehet, hogy egy pillanatra az önök homlokáról is elűzi a felhőket.	Cuối cùng, khi ông ta đồng ý thì đã quá muộn màng.
Erre mi elkezdtünk nevetni, pedig még nem is tudtuk, hogy miről van szó.	Lúc lên tàu ở Bordeaux, tôi được biết đại úy Buxton đã chết.
- Mondhatnánk, hogy "bekapta a horgot" - jegyezte meg először, s közben vizsgálgatta a megoperálandó helyet.	Bị Barsac lục vấn, anh chàng ngang ngạnh đáp rằng hôm qua anh ta không hề bỏ trại.
Végül a harmadik horognál kiváló doktorunk ily szavakkal gratulált:	Giờ đây chúng tôi đã trở thành những nhà thám hiểm thực thụ.
- üvöltött fel utoljára Saint-Bérain.	Dốc ngược dốc xuôi kế tiếp nhau.
Valósággal előrohant a fogadásunkra, szívére tette a kezét, és ezer barátsági nyilatkozatot tett, amire mi sót, puskaport és egy borotvát ajándékoztunk neki.	Người và súc vật đã được nghỉ ngơi thoải mái nên đoàn đi nhanh hơn mọi lần và chỉ mới sáu giờ chiều chúng tôi đã đến làng.
Nagyon meg lehetett elégedve, mert azonnal megparancsolta, hogy a falun kívül néhány szalmakunyhót állítsanak fel, amelyekben éjszakázhatunk.	Chúng tôi được đón tiếp hết sức nồng nhiệt: Chính chủ làng đã đến tặng quà cho chúng tôi.
Megkérdeztem őket, hogy mire jó ez a fényűző szőnyeg, mire azt válaszolták, megakadályozza, hogy a férgek a földből előbújjanak.	Barsac phát biểu cảm ơn, dân làng đáp lại bằng những tiếng reo hò hoan hỉ.
December 13-án reggel minden nehézség nélkül Timbóba érkeztünk.	Baudrières lắc đầu ngờ vực.
Ez a helység a leg­jelentősebb azok közül, amelyeken eddig áthaladtunk; a települést egy tata, azaz földhányás veszi körül, amelynek a szélessége vidékenként változik, és mögötte végig deszkaállvány fut, amelyen az őrség könnyen járkálhat.	Chủ làng mời chúng tôi vào nghỉ trong những căn nhà tốt nhất, còn cô bạn đường của chúng tôi thì được ông đề nghị tận hưởng lòng mến khách ngay tại nhà riêng của ông.
A timbói tata tulajdonképpen három falut kerít egybe, amelyeket viszonylag széles megművelt föld- vagy erdősávok választanak el egymástól.	Chúng tôi vô cùng cảm động trước sự đón tiếp đầy nhiệt tình đó và trong khi chúng tôi đã vội hình dung ra cuộc hành trình tiếp theo qua cặp kính màu hồng thì Malik bước đến bên Mornas và nói nhanh cho cô ấy nghe, bằng một giọng rất khẽ:
Ezek fái alatt a háziállatok szabadon legelész­getnek.	— Xin tiểu thư đừng đi!
A faluban mindenütt meglátszik, hogy errefelé nincsenek utcaseprők.	Nếu không tiểu thư sẽ bị chết đấy!
A szegénység pedig éppen olyan nagy, mint a szemét.	Cô Mornas sửng sốt đưa mắt nhìn cô bé da đen.
Szinte kivétel nélkül sajátos, sisakra emlékeztető frizurát viselnek.	Và cả đại úy Marcenay cũng nghe thấy mặc dù đó không phải là nghề của anh.
Vannak olyanok is, akik teljesen leborotválják a hajukat.	Sau một thoáng suy nghĩ, anh hạ lệnh lập trại.
A legelegánsabbak azonban bohócfrizurát viselnek: magasra felkötözött hajcsomó kétoldalt fésült tinccsel.	Tôi rút ra kết luận là chúng tôi sẽ được bảo vệ chu đáo.
Talán abból, hogy milyen a hajviseletük, arra is lehet következtetni, hogy ki melyik törzsből való: peuli, mandé, bambara stb.	Biện pháp phòng ngừa ấy đã buộc tôi phải ngẫm nghĩ.
A férfiak általában nadrágban és fehér ingben járnak, vagy egy sajátos kötényt hordanak.	Đại úy là người rất am hiểu xứ sở của người da đen.
A vásárba mentünk, ahol az egész timbói arisztokráciát már összecsődülve találtuk.	Chẳng lẽ anh mà cũng tin vào mối nguy hiểm do Malik vừa báo hay sao?
stb.	VI
Amint már említettem, Timbo az első valamivel jelentősebb helység azok közül, amelyeket eddig érintettünk.	Vì những lý do mà độc giả sẽ được biết thì đây là bài báo cuối cùng của anh phóng viên tháo vát nọ gửi cho tòa soạn.
Az eddigiekben össze is foglaltam megfigyeléseim lényegét.	Kankan ngày 24 tháng Mười hai.
Ne várjanak tőlem részletesebb leírást, amelyet úgyis megtalálnak a szakkönyvekben.	Chúng tôi đến đây sáng hôm qua và sẽ đi tiếp vào ngày mai, ngày lễ Chúa Giáng sinh.
Az én feladatom, hogy a Barsac-expedíció krónikása legyek, s engem ez a szerep ki is elégít.	Trong bài báo vừa rồi, tôi đã kể cho các bạn nghe về việc Malik báo trước cho cô Mornas đề phòng.
Én Kliótól nyerem az ihletet, s a földrajztudományok iránt cseppnyi vonzalmat sem érzek.	Đại úy Marcenay đã ra những mệnh lệnh mà tình huống đòi hỏi.
Ezt egyszer s mindenkorra kijelentem.	Barsac không nén được cơn tức giận.
Tehát december 15-én a szokásos órában elhagytuk Timbót, és a délelőtti utat még a rendes menetidőn túl is folytattuk.	Tại sao ông không hỏi ý kiến của tôi mà đã ra lệnh đóng trại ngoài đồng, thay vì phải trọ lại trong dân?
Timbón túl az út lassacskán ösvénnyé keskenyül.	— Tôi được biết có âm mưu chống lại chúng ta.
Egyéb változás is van: a vidék hepehupás.	– Thật là quá quắt!
Amerre csak nézünk, mindenfelé hegyek-völgyek.	— Xin ngài hãy bình tĩnh và nghe tôi nói đây, – cô Mornas nói.
Ott pedig a legbarátibb érzelmekkel fogadtak bennünket.	Chính cô bé đã báo cho ông Marcenay biết về âm mưu đó.
A főnök ajándékokkal sietett elénk.	Ngài đã từng được nghe nói về doung-kono chưa?
Barsac úr mindezért köszönetet mondott.	Barsac lắc đầu.
Mire üdvözlő kiáltások hangzottak fel mindenünnen.	— Tôi biết, – bác sĩ Châtonnay đến gần, cắt ngang.
- Ha Aix-ben végigmegyek a Sextius sétányon, akkor sem üdvözölnek melegebben - jelentette ki Barsac úr elégedetten.	– Đó là một loại thuốc rất độc, có đặc tính là làm cho nạn nhân của nó chết sau một tuần.
Úgy tűnik, hogy Barsac úrnak igaza van, ámbár Baudrières úr kételkedve csóválja a fejét.	– Malik đã nghe trộm được câu chuyện của chủ làng Daouhériko với mấy chủ nhà kế bên.
Az csak természetes, hogy én mindent kihallgattam, amint egy olyan riporterhez illik, aki ad magára valamit.	Sáng ngày chúng ta lại lên đường, không hay biết gì, và mấy ngày sau mới cảm thấy tác dụng của thuốc độc.
De Marcenay kapitány is meghallotta, pedig ő nem az én mesterségemet űzi.	Bạn đọc có thể thấy chuyện này đã làm cho chúng tôi lo lắng đến mức nào.
Előbb mintha ő is csodálkozott volna.	Barsac bị choáng váng.
Aztán pillanatnyi mérlegelés után határozott.	Ngày 16 tháng Mười hai, chúng tôi thức dậy từ lúc tờ mờ sáng.
Ezek az óvintézkedések gondolkodóba ejtettek.	Nghĩa là, anh ta đã cãi nhau với Tongané?
Vajon a kapitány is hisz a veszélyben, amelyet Malik jelzett?	Tchoumouki và Moriliré nói chuyện với nhau như đôi bạn thân nhất trần đời.
Amédée Florence	Thế đã sao?
Hatodik fejezet	Càng tốt!
Amédée Florence úr harmadik beszámolója	Hình như Tongané không hề hối tiếc về việc đã cãi nhau với bạn.
Bizonyos okoknál fogva, amelyekkel nemsokára megismerkedünk, ez a helyszíni jelentés volt az utolsó, amelyet szemfüles riporterétől a lap kézhez kapott.	Sau làng Bagareya là bưng, và tiếp đến là đồng bằng kéo dài tới cận Kankan.
(Lapunk különtudósítójától)	Chúng tôi đến đó hôm qua.
Miért félt Malik?	23 tháng Mười hai.
