HUGO VICTOR	Victor Hugo
A vihar, ez a titok, minden pillanatban átveszi és végrehajtja nem tudni, milyen látszólagos vagy valódi akaratnak a változásait.	Bí mật đó, tức là bão táp, luôn luôn tiếp nhận và thi hành không biết những thay đổi nào của ý chí, bề ngoài hay thực tế.
Nix és Nox.	NIX ET NOX.
A hózivatart az jellemzi, hogy fekete.	Đặc điểm của bão tuyết là đêm tối.
A vihar gyászoló kated­rális belsejéhez hasonlit.	Bão táp giống như phía trong một toà nhà thờ lớn căng vải.
De semmi világosság ebben a szentegyházban.	Nhưng không có đèn đuốc trong toà nhà thờ lớn đó.
A hullámok tetején nincs Szent Elm tüze; nincs mécs, nincs foszforos fény, semmi, csak mérhetetlen sötétség.	Không có đèn Xanh-Elmơ với những đầu sóng, không có tàn lửa, không có lân tinh, chỉ có bóng tối mênh mông.
A sarki ciklon a trópusok ciklonjától abban különbözik, hogy emez meggyujt minden világosságot, amaz valamennyit eloltja.	Cuồng phong địa cực khác cuồng phong nhiệt đới ở chỗ một bên thắp cháy tất cả mọi nguồn sáng, còn một bên dập tắt hết thảy.
Ebből az éjszakából halvány foltok porzódnak alá, amelyek habozva lebegtek az ég és a tenger közt.	Từ chỗ tối đen đó một thứ bụi cát lấm tấm nhợt nhạt rơi xuống lơ lửng giữa bầu trời và biển cả.
Olyan volt, mint a könnyek a szemfedőn, melyek életre keltek és mozognak.	Một thứ gì như nước mắt của một tấm khăn liệm sắp sống dậy và cử động.
Mennydörgés nincs.	Không có tiếng sét.
A hóviharok villámlása csöndes.	Trong cơn bão bắc cực chớp cũng im lặng.
Amit néha a macskára mondanak, hogy "káromkodik", azt erre a villámra is elmondhatjuk.	Đôi khi người ta bảo mèo "gào" thì với loại chớp đó cũng có thể nói như vậy.
De mégis csalódnék, aki kikerülhetetlennek hinné a hajótörést.	Những ngư dân Đan Mạch ở Đicxô và Balêzin, những người đánh cá voi đen.
Ilyenfajta vihar volt az, amelynek a bárka kifeszitett vitorlákkal, diadalmasan elébe ment.	Chiếc thuyền con đã gặp phải loại bão như thế và đã giương hết buồm, đắc chí xông thẳng.
Amikor Montgomery Rouenból menekült, összes evezőivel neki­ment a láncnak, amely a Szajnát elzárta; ő is ilyen vakmerő volt.	Lúc Môngômeri thoát khỏi Ruăng, lao chiếc thuyền của ông như bay vào dãy núi chắn ngang sông Xen ở Bui, ông ta cũng liều lĩnh đúng thế.
A Matutina futott.	Thuyền Matutina băng băng lao tới.
Amikor a szél belekapaszkodott, vitorlája tizenöt foknyi szörnyü szöget alkotott a hullámokkal, de jó gerince ugy odatapadt a hullámokhoz, mintha enyvből lettek volna.	Lúc căng buồm, có lúc so với mặt nước thuyền nghiêng đến mười lăm độ, một góc độ đáng sợ, nhưng cái sống bè bè của nó rất tốt, dán chặt xuống nước như nhựa đường.
A hajógerinc ellentállt az orkán erejének.	Sống thuyền chống chịu với bão giật.
A fekete felhő, amely dagadt tömegét az Oceánon vonszolta, mindig jobban fölszivta és marta a tengert a hajó körül.	Mây đẩy gió, kéo lê cả khối u trên đại dương, co hẹp và gặm dần biển cả xung quanh chiếc thuyền.
Sehol egy parti fecske.	Không một cánh én biển.
A hullámok területe kicsi volt, de megdöbbentő.	Hiện trường của sóng rất hẹp và đáng sợ.
Csak három-négy óriási hullámot lehetett látni.	Chỉ thấy ba hay bốn ngọn sóng, dài vô tận.
Időről-időre egy-egy vörösréz szinü villám cikázott a láthatár és a zenith sötét hátterén.	Chốc chốc một tia chớp dài mầu đồng đỏ loé hiện sau những tầng lớp tối om của chân trời và thiên đỉnh.
E vörös fény megmutatta a felhők borzalmasságát.	Vệt dài đỏ tươi đó cho thấy cảnh hãi hùng của trời mây.
E tüz fényében a hópelyhek is feketék lettek, mint a sötét pillangók, amelyek égő kemencében röpködnek.	Trên cái nền lửa đó, bông tuyết trở thành mầu đen, tưởng như đó là những cánh bướm đen trong một lò lửa rực.
A morgás foka volt, veszedelmes csillapodása a szélviharnak.	Đấy là đợt gầm đáng sợ khi ầm vang lặng bớt.
A bárka eszeveszetten folytatta futását.	Chiếc thuyền con vẫn điên cuồng lao tới.
Főleg két felső vitorlája tett megdöbbentő szolgálatot.	Nhất là hai lá buồm đại phải làm một nhiệm vụ khủng khiếp.
Az ég és a tenger tintaszinü volt és a hab magasabbra szökkent az árbocnál.	Trời biển đều đen như mực, với những tia bọt bắn cao hơn cột buồm.
Az asszonyok a fülkébe menekültek, de a férfiak a födélzeten maradtak.	Đàn bà vào nấp trong cabin, nhưng đàn ông ở lại hết trên boong.
A hullámok tajtékja vegyült közéje.	Sóng nước lại khạc nhổ thêm vào.
E pillanatban a banda főnöke a hajó farán állva, egyik kezével a kötélzetbe kapaszkodott, másikkal, letépve fejéről kendőjét, lobogtatva a tüzes kosár fényénél dölyfösen, kevélyen, zilált hajjal és részegen mindezektől az árnyaktól, kiáltotta:	Đúng lúc ấy tên đầu đảng đứng phía sau trên khoang lái, một tay bám vào dây chằng, một tay giật chiếc khăn quấn đầu ra vẫy trong ánh đèn lồng, kiêu căng thoả mãn, nét mặt tự đắc, tóc tai rõ khiếp, say sưa vì tất cả cái bóng đen kia, hét to:
- Szabadok vagyunk!	- Chúng ta tự do rồi!
- Szabadok!	- Tự do!
Szabadok!	Tự do!
Szabadok!	Tự do!
- ismételték a szökevények.	- Hura - tên đầu đảng hét to.
- Hurrah!	- Hura!
- kiáltotta a főnök.	- Im lặng!
És a csapat beleüvöltötte a viharba:	Tất cả mấy cái đầu đều quay lại.
- Hurrah!	- Hãy lắng tai mà nghe!
- Csönd!	- Có tiếng chuông?
Minden fej hátrafordult.	Chúng ta đang rẽ neo bên trái.
Megismerték a doktor hangját.	Tiếng chuông chứng minh cái gì?
- Hallgassátok!	- Không.
És akkor a sötétségben tisztán lehetett hallani egy harang kongását.	Lúc nào gió to, sóng biển đu đưa cái phao, thế là chuông rung.
Az intelem, amit a háborgó tengerre biztak.	Bây giờ các người hãy suy tính đi?
A hajósgazda, aki a kormányrudat tartotta, hangosan fölkacagott.	Văng vẳng như tiếng chuông cầu nguyện của vực sâu.
- Egy harang!	- Có tiếng chuông?
Hogy a szárazföld jobbra van tőlünk.	Rằng đất liền ở bên phải chúng ta.
- Nem jobbra van a szárazföld.	- Đất liền không ở bên phải các người đâu.
- De igen!	- Có!
- Nem.	- Không.
- Ez a harangszó a földről jön.	- Nhưng tiếng chuông từ đất liền đến.
- Ez a harangszó a tengerről jön - felelte a doktor.	- Tiếng chuông ấy - lão tiến sĩ nói - từ biển cả lại.
Borzongás futott végig a bátor embereken.	Những con người liều lĩnh kia rợn cả tóc gáy.
A két asszony sápadt arca jelent meg a fülke ablakának négyszögében, mint két álarc.	Bộ mặt hung dữ của hai mụ đàn bà hiện ra trong cái ô vuông ở nắp cabin, như hai con quỉ hiện hồn.
A harang csöngése hallható volt az éjszaka mélyén.	Tiếng chuông lại thánh thót trong đêm tối.
A doktor ujra kezdte:	Lão tiến sĩ nói tiếp:
- A tenger közepén, Portland és a la Manche szigettenger feleutján van egy figyelmeztető bója.	- Giữa biển khơi, nửa đường giữa Porlan và quần đảo Măngsơ có một cái phao hiệu, neo bằng xích sắt vào đáy biển và nổi là là trên mặt nước.
Ezt a bóját láncokkal erősitették a fenékhez és lebeg a viz szinén.	Trên phao có gắn một giá sắt, ở gióng ngang giá sắt có treo một cái chuông.
A bójára vasállványt erősitettek és arra harangot függesztettek.	Lúc nào gió to, sóng biển đu đưa cái phao, thế là chuông rung.
- Aki viharban hallja ezt a harangot, amikor az északi szél fuj, az elveszett.	- Trong cơn bão, lúc gió tây bắc thổi, mà nghe tiếng chuông tức là thôi rồi.
Miért?	Vì sao?
Ime, ezért: Azért halljátok a harang hangját, mert a szél elhozza.	Vì nếu các người nghe được tiếng chuông tức là nhờ có gió đưa nó đến.
Tehát a szél nyugat felől fuj és az aurignyi szirtek keletre vannak.	Thế mà gió thì từ phía tây đến và bãi ngầm ôrinhi lại ở phía đông.
Nem hallhatnátok a harangot, ha nem volnátok éppen a bója és a szirtek között.	Các người chỉ nghe được tiếng chuông khi đứng giữa phao và bãi ngầm.
Elmennénk a bója mellett és nem is tudnók, hogy ott van.	Các người đã đi cạnh phao mà không biết có gió ở đấy.
X.	10.
- Cargate todo, hombres!	- Cargate todo, hombrres.
Forditsuk keletre!	Lại ra khơi thôi!
Menjünk vissza a sik tengerre!	Hướng thẳng vào phao!
A hajó orrát a bója felé!	Hướng đúng tiếng chuông!
Még nem veszett el minden remény!	Chưa phải hoàn toàn thất vọng đâu.
- Próbáljátok - mondta a doktor.	- Thử xem - lão tiến sĩ nói.
Ő figyelmeztetett, de kissé későn.	Nó báo trước, nhưng hơi muộn.
A languedoci lett a harmadik matróz.	Tên Lăngođốc là một thủy thủ thứ ba.
De amily mértékben a hajó - minden összeszorulván - megvékonyodott, olyan mértékben fokozódott a szél és a tenger háborgása.	Nhưng thuyền cuốn hết mọi thứ, càng nhỏ lại bao nhiêu thì không khí và nước càng lồng lộn dữ dội bấy nhiêu.
A hullámok csaknem elérték a sarkvidéki magasságot.	Sóng đạt gần đến chiều cao ở địa cực.
Az orkán, mint könyörtelen hóhér, kezdte felnégyelni a hajót.	Cuồng phong như một tên đao phủ vội vã, bắt đầu phanh xác chiếc thuyền.
A vastag kötelek foszladoztak, pedig négy ágból fonták őket.	Các dây cáp to đứt hết, mặc dầu múi buộc dài đến bốn sải.
A hóviharoknál szokásos villamos feszültség segitett a kötelek szakgatásában.	Sức căng của từ trường, đặc điểm của bão tuyết, khiến cho thừng chão càng dễ đứt.
Egy hullám elsodorta az iránytüt szekrényestől.	Một ngọn sóng bốc mất la bàn, mang theo cả hộp.
A következő hullám lesodorta a hajótönk Miasszonyunk szobrát és a tüzes kosarat.	Một ngọn sóng khác cuốn phăng Đức bà ở mũi thuyền và chiếc đèn lồng.
Már csak a kormány maradt meg.	Chỉ còn mỗi cần lái.
A lámpást egy szurokkal és kóccal töltött nagy üsttel helyettesitették, amelyet a főgerendához kötöztek és meggyujtottak.	Người ta vội thay thế chiếc đèn hiệu bằng một cái vỏ lựu đạn to nhét đầy bùi nhùi và nhựa đường đốt sáng treo ở khoang mũi.
A kétfelé törött és vitorlarongyok, kötelek, csigák és gerendák tömkelegével boritott árboc elrekesztette a födélzetet.	Cột buồm gãy đôi, tua tủa những mẩu giẻ rách bay phần phật, những dây nhợ, ròng ròng và trục buồm, làm cho sàn thuyền ngổn ngang.
Zuhanásával bezuzta a jobboldali deszkák egy részét.	Lúc đổ, nó đã làm gãy đôi một mảng mạn thuyền bên phải.
- Amig kormányozni tudunk, semmi sem veszett el.	- Chừng nào còn lái được là vẫn chưa tuyệt vọng.
A legénység és az utasok az utolsó ütközetek lázában dolgoztak.	Thủy thủ cũng như hành khách đều say sưa chiến đấu quyết liệt.
A födélzet fölszabadult.	Sàn tàu quang hẳn.
- Most hozzatok egy kötelet és kössetek engem a kormányrudhoz.	- Bây giờ - viên chủ thuyền nói tiếp - lấy dây buồm buộc tôi vào cần lái.
- Bőgj, öregem, bőgj!	- Rống lên, mụ già kia!
- Minden jól van, cimborák!	- Mọi việc đều tốt đẹp, các bạn ạ!
Éljen a buglosei Miasszonyunk!	Hoan hô Đức bà Bugơlê!
Kormányozzunk nyugatra!	Lái sang phía tây!
Egy széles, óriási hullám jött és leszakadt a hajó farára.	Một ngọn sóng ngang, rất to, kéo đến đổ ầm ầm xuống phía sau.
Mindig van a viharokban ily tigris­fajta hullám, dühös és végzetes, amely a döntő pillanatban érkezik, egy ideig szinte hason csuszik a tengeren, aztán ugrik, üvölt, csikorog, rázuhan a kétségbeesett hajóra és összetöri.	Trong bão táp luôn luôn có loại sóng cọp, thứ sóng hung dữ và quyết định: Nó đến đúng lúc, bò bò hồi lâu như dán sát bụng trên biển, rồi chồm dậy, rống to, rít lên ập xuống chiếc thuyền lâm nguy và xé tan nó ra từng mảnh.
Amikor a tajték eltünt és a hátsó rész ismét látható lett, nem volt többé sem gazda, sem kormány.	Lúc sóng nước tiêu tan, lúc đuôi thuyền lại xuất hiện, thì không còn chủ thuyền, không còn cần lái nữa.
A csapat főnöke mereven nézte a homályt és kiáltotta:	Tên đầu đảng nhìn trừng trừng vào bóng tối và hét to:
- Te burlas de nosotros?6	- Te burlas de nosotros?
- Vessünk horgonyt!	- Vứt neo xuống!
Mentsük meg a gazdát.	Cứu lấy ông chủ.
Az emberek a horgonycsigához futottak.	Người ta chạy đến bên trục tời.
Az ourqueoknak csak egy van.	Thuyền Bixcay chỉ có một neo.
A kötél elszakadt, mint a hajszál.	Dây cáp đứt phăng như sợi tóc.
A horgony a tenger fenekén maradt.	Neo mắc kẹt dưới đáy biển.
A hajó elején már nem volt egyéb, csak a távcsövön néző angyal.	Cả mũi thuyền chỉ còn lại có vị thiên thần nhìn qua ống kính.
A Matutina helyrehozhatatlanul elhagyatott lett.	Thuyền Matutina đã hết phương cứu vãn.
Szüntelenül fokozza, aminek nincsenek árnyalatai: a feketeséget.	Nó không ngừng tăng thêm phần thê thảm cho cái không sắc thái, cho màu đen.
A harang a tenger közepén reménytelenül kongott, mintha egy szilaj kéz rázná.	Cái chuông giữa biển vẫn rền vang một cách tuyệt vọng như một bàn tay hung thần rung lắc.
A Matutinát találomra vitték a hullámok, mint egy dugót; nem uszott, már csak libegett; ugy látszott, minden pillanatban kész a hasával fölfelé fordulni, mint egy döglött hal.	Thuyền Matutina mặc cho sóng nước cuốn trôi; mặc cái nút chai cũng rập rình như thế; nó không lướt bằng chèo lái nữa; nó bồng bềnh tưởng chừng lúc nào cũng sẵn sàng ngửa bụng như một con cá chết.
Egy repedés, egy hasadék se volt rajta és egy csöpp viz se hatolt a belsejébe.	Không có khe hở, không có lỗ thủng, và không một giọt nước nào lọt vào hầm thuyền.
Szerencse, mert a szivattyut is baj érte és használhatatlan volt.	Đó là điều hết sức may mắn vì bơm đã hỏng, không dùng được nữa.
A födélzet vonaglott, mint egy has, amely hányni készül.	Boong thuyền quằn quại như người muốn mửa.
Mintha ő is haldokolt volna.	Hình như nó cũng hấp hối.
Hol voltak tehát?	Họ đang ở đâu?
Milyen távolságban a bójától?	Họ đang cách cái phao bao xa?
A harang hangjától megijedtek, hallgatásától borzadtak.	Chuông rung đã làm họ sợ hãi, chuông lặng lại làm cho họ hãi hùng.
A gazdátlan hajó futott a sötétségben.	Tấm mảng trôi dạt chạy vun vút trong đêm đen.
Feneketlen mélységet éreztek előttük, alattuk, fölöttük.	Họ cảm thấy vực sâu ngay trước mặt, ngay dưới chân, ngay trên đầu.
Nem volt ez már futás, hanem zuhanás.	Không phải chạy nữa mà là rơi.
Egyszerre valami vörösség jelent meg a havazás gomolygó, roppant ködén keresztül.	Thình lình trong tiếng ồn ào vĩ đại của tuyết mù, một điểm đỏ xuất hiện.
- Egy világitótorony!	- Hải đăng!
- kiáltották a hajósok.	- những người đắm thuyền cùng reo lên.
XI.	11.
Valóban a Casquet-sziklák világitótornya volt.	Đúng, đúng là ngọn hải đăng Caxkê.
A tizenkilencedik század világitótornya kőből épült, fölül keskenyedő henger, amelynek tetején helyezik el a tudományosan megszerkesztett világitókészüléket.	Ở thế kỷ mười chín, hải đăng là một hình trụ, chóp xây bằng gạch, trên có máy chiếu sáng, hoàn toàn khoa học.
A Casquet-sziklák különleges világitótornya egy hármas fehér torony, amelyen három világitókészülék van.	Đặc biệt ngọn hải đăng Caxkê ngày nay gồm ba ngọn tháp màu trắng, đỡ ba cái lầu thắp sáng.
E három készülék egy óramü segitségével olyan pontosan kanyarodik és forog, hogy az őrszem, aki messziről figyeli, pontosan tiz lépést tehet a hajó födélzetén a sugárkévében és huszonötöt az elhomályosulás alatt.	Ba nhà lửa ấy xoay chuyển trên một hệ thống bánh xe đồng hồ chính xác đến mức người gác, quan sát hải đăng từ ngoài khơi, bao giờ cũng đi đúng mười bước trên boong tàu lúc đèn sáng và hai mươi lăm bước lúc đèn bị che khuất.
Mindent kiszámitottak a gyujtópontokra és a nyolcszögletes dob forgására nézve, amelyet nyolc egyszerü széles lencséből lépcsőzetesen állitottak össze; alattuk és fölöttük két sorozat sugártörő gyürü van; az egész algebrai szerkezetet egy milli­méter vastag üveglapok védik a széltől és a hullámoktól, de néha ezt is betörik a tengeri sasok, amelyek rávetik magukat, mint nagy éjjeli lepkék az óriási lámpásokra.	Mặt phẳng giao tiêu và vòng xoay của cái trống bát giác gồm tám thấu kính đơn rộng nhiều ngấn và trên dưới lại có hai loạt vòng chiết quang được tính toán kỹ; hệ thống răng bảo đảm chống được gió biển bằng những lớp kính dầy một ly, tuy vậy có lúc vẫn bị vỡ vì chim ưng biển lao vào, đó là giống bướm to của những ngọn đèn khổng lồ kia.
Az épületet, amely tartja és lefoglalja a készülékeket, épp oly pontosan kiszámitották, mint azokat.	Ngôi nhà chứa đựng, chống đỡ và lắp gắn bộ máy kia cũng được tính toán rất kỹ.
A tizenhetedik század világitótornya olyan volt, mint a szárazföld tollbokrétája a tenger­parton.	Ở thế kỷ mười bảy, hải đăng như một chùm lông cắm trên đất liền bên bờ biển.
Pazarolták rajta az erkélyeket, tornyocskákat, apró páholyokat, mellvédeket, szélkakasokat.	Chỗ nào cũng ban công, bao lơn, tháp nhỏ, hốc con, chuồng chim, hoa gió.
Az egész épület tele volt faragott maszkokkal, szobrokkal, vésésekkel, volutákkal, dombormüvekkel, alakokkal és feliratos pajzsokkal.	Toàn là mặt quỷ, tượng người, hoa lá, trôn ốc, chạm nổi, tượng to, tượng nhỏ, vỏ đạn khắc chữ.
Pax in bello, mondta az eddystonei torony fölirata.	Pax in belle ngọn hải đăng Eđixton ghi thế.
Winstanley megismételte egy világitó­tornyon, amelyet saját költségén épittetett egy veszedelmes helyen, Plymouth előtt.	Uyxtanlê cũng nhắc lại lời ấy trên ngọn hải đăng do ông bỏ tiền ra xây ở một nơi rất hiểm nghèo, trước Playmơt.
A torony elkészült, ő beköltözött és megkisérelte, hogy kiállja-e a vihart.	Tháp hải đăng làm xong ông đứng vào trong, cho bão táp thử nghiệm.
A vihar elsodorta a tornyot és Winstanleyt.	Bão đến và cuốn mất ngọn hải đăng Uyxtanlê.
Ezek a furcsa épületek mindenütt kapaszkodókat kináltak a viharnak, mint a nagyon fölcicomázott hadvezérek, akik a csatában magukra vonják a lövéseket.	Vả lại những công trình xây dựng quá đáng ấy là mục tiêu cho cuồng phong từ bốn phía giống như những tướng lĩnh lấp lánh huy chương ở trận tiền thu hút tên đạn vào thân.
Az ormán, a tüzhely körül finommüvü lakatosmunkákból való hatalmas vas gyertyatartók voltak, amelyekbe gyantába mártott kötél darabokat állitottak; e mécsek oly konokul égtek, hogy semmiféle szél el nem oltotta.	Trên đỉnh, xung quanh ngọn lửa, có những ổ khóa rất tinh vi đỡ những chân nến bằng sắt, trên đó cắm những khúc cáp dăm nhựa thông, đấy là những cái bấc cháy dai dẳng không một ngọn gió nào thổi tắt được.
És tetejétől a lábáig a torony cicomát viselt tengeri zászlókból, szalagokból, lobo­gókból, jelvényekből, amelyek rudról-rudra, emeletről-emeletre emelkedtek összevegyülve szineikben, formáikban, jelvényeikben, cimereikben, egészen a torony tüzhelyéig és vihar alkalmával vidáman röpködtek a tüz körül.	Và từ trên xuống dưới tháp còn có thêm cờ biển, cờ hiệu, cờ lệnh, cờ nhỏ, cờ to, cờ đuôi nheo, leo dần từng cán cờ, từng tầng một, kết hợp tất cả các dấu hiệu, tất cả các kiểu ngang tàng nghịch ngợm, lên đến tận cái lồng ánh sáng của ngọn hải đăng và trong bão táp tạo thành một cuộc nổi loạn của giẻ rách xung quanh quang cảnh rực cháy kia.
A világosságnak ez a vidám szemtelensége az örvény szélén, dachoz hasonlitott és uj lendületet adott a hajósok bátorságának.	Sự trâng tráo ấy của ánh sáng bên bờ vực thẳm, giống như một thách thức, thúc giục những người đắm thuyền phải hăng hái liều lĩnh.
De a Casquet-sziklák Világitótornya nem ilyen divatu volt.	Những ngọn hải đăng Caxkê hoàn toàn không thuộc loại đó.
Az egyetlen tökéletesités, ami a tizenkettedik század óta ezen a tornyon történt, egy kovács­fujtató alkalmazása volt, amelyet horogra akasztott kősulyokkal hoztak mozgásba; 1610-ben alkalmazták a tüzhelyhez.	Từ thế kỷ mười hai, việc bổ khuyết duy nhất cho ngọn hải đăng đó là một cái bễ lò rèn vận hành bằng một thứ dây móc sắt có tạ bằng đá, lắp thêm vào cái lồng lửa năm 1610.
és figyelmeztet a szirtre.	Nó báo hiệu có đá ngầm.
De egy szétroncsolt hajóra nincs ennél borzasztóbb látvány.	Đối với một chiếc tàu lâm nạn, nó chỉ gây khủng khiếp.
Megvilágitani a kérlelhetetlen örvényt, figyelmeztetni a kikerülhetetlenre, nincs ennél szomo­rubb irónia.	Soi sáng cánh cửa tàn khốc, báo trước điều không tránh khỏi, còn nước châm biếm nào bi dát hơn.
XII.	12.
A Matutina kétségbeesett nyomorultjai azonnal megértették e rejtelmes gunyt, amely a hajó­törés szerencsétlenségét tetézte.	Sự nhạo báng bí mật ấy, thêm vào cảnh đắm thuyền những con người khốn khổ trên thuyền Matutina hiểu ngay tức khắc.
Semmit sem tehettek, semmit meg nem kisérelhettek.	Không làm cách nào được, không liều cách nào được.
Amit a királyokról mondanak, a hullámokról is elmondható.	Những điều nói về vua chúa đều có thể áp dụng cho sóng nước.
Az északi szél a Casquet-sziklák felé kergette a bárkát.	Ngọn gió tây bắc thổi bạt chiếc thuyền con vào bãi Caxkê.
Az ellenkezés lehetetlen volt.	Không có cách nào khác.
Sebesen közeledtek a zátonyhoz.	Họ trôi giạt rất nhanh vào bãi ngầm.
Érezték, hogy a fenék emel­kedik; ha használhattak volna mélységmérőt, nem mutatott volna többet három vagy négy ölnél.	Họ cảm thấy đáy biển như trồi lên; giá thả được một cái máy đo cho tử tế thì nó đã chỉ không quá ba bốn sải nước.
A világitótorony alatt, két gránit fal között meglátták az elhagyott és borzasztó kis öböl bejáratát, mint egy sötét hasadékot, amely telve lehetett emberi csontvázakkal és hajók roncsaival.	Họ nhận thấy dưới ngọn hải đăng, giữa hai phiến hoa cương sắc cạnh như một nhát chém tối đen, có cái eo biển của cái cảng nhỏ man rợ có lẽ chứa đầy xương người và xác tàu.
Inkább egy barlang szája volt, mint kikötő bejárata.	Đó là một miệng hang hơn một lối vào cảng.
Hallották a nagy máglya pattogását a vasrostélyban, szétszóródó biborfénye megvilágitotta a vihart, a láng és a jeges eső találkozása fölkavarta a ködöt, a fekete felhő és a vörös füst küzdöttek egymással, kigyó a kigyó ellen, a fölragadott parázs elröpült a széllel és a hópelyhek menekülni látszottak a szikrák e váratlan rohama elől.	Họ nghe tiếng nổ lách tách của giàn lửa cao trong lồng sắt, một sắc đỏ hung tàn soi sáng phong ba, lửa hồng gặp mưa đá làm rối loạn lớp sương mù, mây đen giao chiến với khói đỏ, rắn chống cự với rắn, than hồng tung bay trong gió lộng, bông tuyết như trốn chạy trước sức tấn công của tàn lửa tung toé.
A szögleteket élénk vörös vonalak rajzolták körül és lejtőiken véres világosság siklott végig.	Các góc cạnh hằn lên với những đường nét đỏ rực, còn các mặt nghiêng thì với những cầu trượt loáng máu.
Minél közelebb jutottak, a szirtek mindig jobban nőttek és emelkedtek baljóslatuan.	Họ càng tới gần, khu vực đá ngầm càng nổi lên rõ rệt, và cao dần, ghê rợn.
Egyik nő, az irlandi, kétségbeesetten morzsolta rózsafüzérét.	Một mụ, cái mụ người Iêchlăng, hốt hoảng lần tràng hạt.
A baszkok mind ismerik a hegyeket és a tengert.	Dân Baxcơ ai cũng biết leo núi và đi biển.
Bátrak a veszélyben és leleményesek a szerencsétlenségben.	Họ rất dũng cảm trước tai biến, và rất tháo vát trong thảm họa.
Odaértek, most össze fognak ütközni.	Đến nơi rồi, sắp đụng vào rồi.
Egyszerre olyan közel voltak a szirtek északi nagy szik­lájához, hogy az hirtelen eltakarta a világitótornyot.	Thình lình họ tới sát ngọn núi to phía bắc Caxkê đến nỗi nó che khuất cả ngọn hải đăng.
Csak a sziklát látták és mögötte a világos­ságot.	Họ chỉ còn nhìn thấy núi và ánh sáng phía sau nữa thôi.
Ennek a rosszhirü sziklának Biblet a neve.	Ngọn núi ít người tới lui này tên là Bibơle.
Ez zárta be a sziklacsoportot északon, mint egy másik szirt, a l’Étacq-aux-Guilmets délen.	Nó chống vào phía bắc bãi ngầm, còn một đỉnh khác, ngọn Êtăcô Ghimê, chống vào phía nam.
A főnök ránézett a Bibletre és igy kiáltott:	Tên đầu đảng nhìn ngọn Bibơle và hét to:
- Egy jóakaratu embert, aki elvisz egy kötelet a szirtre!	- Cần một người tình nguyện để buộc một sợi cáp nhỏ vào đá ngầm!
Van-e itt valaki, aki uszni tud?	Đây có ai biết bơi không?
Senki sem felelt.	Không ai trả lời.
- Segitsetek.	- Giúp tôi nào.
Kiszabaditották a gerendát.	Người ta tháo thanh gỗ ốp ra.
Most már tehettek vele, amit akartak.	Thế là có thể sử dụng nó theo ý muốn.
Elég hosszu, egészséges és erős tölgyfadorong volt, épp ugy szolgálhatott volna támadó szerszámként, mint emelőül; emelő valamely teherhez, faltörő egy toronyhoz.	Đó là một cái sà dài, toàn bằng gỗ sồi lõi, tốt và chắc, có thể dùng làm dụng cụ tấn công và điểm tựa; gặp vật nặng nó là đòn bẩy, gặp thành trì nó là phi thê.
- Vigyázz!	- Chuẩn bị!
- kiáltotta a főnök.	- Tên đầu đảng hô to.
Hatan - a törött árboc csonkjához támaszkodva - vizszintesen tartották, tul a födélzeten, egyenesen, mint a lándzsát, a szirt oldalának.	Họ đứng hàng sáu, gò người bên cái cột buồm gãy, tay ôm thanh gỗ chìa ra ngoài cạp thuyền và lăm lăm như một ngọn mác trước sườn tảng đá ngầm.
Veszedelmes müvelet.	Thao tác thật nguy hiểm.
A szélvihar után a szirt; a szélvész után a gránit.	Sau cuồng phong là đá ngầm; sau gió bão là đá hoa cương.
Olyan pillanatok voltak ezek, amelyekben a haj megőszül.	Đá ngầm và thuyền sắp xáp lại gần nhau.
Egy nagy hullám közeledett.	Một ngọn sóng ào ào xô đến.
Véget vetett a várakozásnak.	Nó chấm dứt giây phút đợi chờ.
A gerenda hegyes szilánkjai föl­szántották a hónaljukat, de nem éreztek semmit.	Những con xỏ trên thanh gỗ cày vào nách, nhưng họ không cảm thấy đau.
A hullám a sziklához csapta a bárkát.	Con sóng ném chiếc thuyền vào ngọn núi.
Az összeütközés megtörtént.	Cuộc đụng độ diễn ra.
Megtörtént az alaktalan tajték felhő mögött, amely mindig elrejti az ilyen megoldást.	Nó diễn ra dưới một đám bọt nước, không có hình dạng, che lấp hết mọi diễn biến.
Amikor ez a felhő visszaesett a tengerbe, amikor a hullám ismét eltávolodott a sziklától, a hat ember a födélzeten hempergett, de a Matutina tovább száguldott a szirt hosszában.	Khi đám mây đổ xuống biển, khi sóng nước lại rời xa vách núi, sáu người lăn lông lốc trên sàn thuyền; nhưng thuyền Matutina thì vun vút chạy trốn dọc theo ngọn đá ngầm.
A dorong jó szolgálatot tett és eltéritette irányából.	Thanh sà đã đứng vững và tạo ra một chuyển hướng.
Néhány másodperc mulva, minthogy a hullámok eszeveszetten rohantak, a Casquet-szirtek a bárka mögött voltak.	Trong mấy giây đồng hồ, ngọn sóng được buông lỏng cứ thế lướt đi, Caxkê nằm lại phía sau chiếc thuyền con.
A Matutinát pillanatnyilag nem fenyegette közvetlen veszély.	Thuyền Matutina lúc này đã thoát khỏi tai nạn trước mắt.
Wood de Largot az orrárbocról a sziklafalra intézett derék lökés mentette meg a Tajo torkolatánál.	Chính một cú thúc, thẳng bằng cột buồm vào vách biển đã cứu Vut đơ Lacgô ở cửa sông Tê.
