Eugénie Grandet	Nguyên tác tiếng Pháp: Eugénie Grandet
Egyébiránt nemde minden időre és minden helyre jellemző jelenet ez, csak ezúttal a legpőrébb változatában?	Đó phải chăng là một cảnh muôn đời, diễn ra khắp nơi, nhưng giản lược hết sức.
Grandet kihasználta a két család képmutató ragaszkodását, és hatalmas hasznot húzott belőle, ő volt ennek a drámának a fő alakja, mozgatója.	Grangde lợi dụng sự quyến luyến giả dối của hai gia đình kia thu về những mối lợi lớn, nhân vật Grangde nổi bật trên sân khấu và soi sáng nó.
Nemde korunk egyetlen imádott istene, a mindenható pénz jelent meg ennek a férfiúnak a képében?	Ông ta là hiện thân của vị thần hiện đại duy nhất mà người ta tín ngưỡng, vị thần Tiền, với tất cả quyền uy của vị thần đó.
Eugénie és az anyja semmit sem tudott Grandet vagyonáról, az élet dolgairól csak halovány kép derengett a képzeletükben, nem becsülték és nem is vetették meg a pénzt, megszokták, hogy meglegyenek nélküle.	Trong trắng như vậy một phần là nhờ tối tăm mù mịt; mẹ con Ogieni chẳng biết gì về gia tài của Grangde; họ phán đoán sự việc với thứ trí thức mù mờ của họ, họ không nâng niu, cũng không coi thường tiền bạc vì quen sống không cần tiền bạc.
Tudtukon kívül megnyomorított, rejtélyes módon mégis életerős érzelmeik furcsa kivétellé avatták őket ebben a társaságban, amelyben mindenki másnak az élete maga volt az anyagiassága.	Tình cảm của họ bị giày vò,- mà họ không biết- nhưng lại có sức sống mãnh liệt; lối sinh hoạt cách biệt kỳ khôi trong đám người sống hoàn toàn về vật chất ấy.
Mily szörnyű is az emberi sors!	Số phận con người quả thật khốn nạn!
Nincs boldogság, mely ne tudatlanságból fakadna.	Không có thứ hạnh phúc nào không phải đổi bằng một sự mù mịt nào đó!
- Saumuri ember így nem kopogtat - mondta a közjegyző.	- Gõ mạnh như thế thì không phải người Xomuya.
- Hogy szabad így dörömbölni!	Mụ Nanong gắt:
- mondta Nanon.	- Gõ cửa gì lạ vậy?
- Jó, hogy be nem törték a kapunkat!	Muốn phá nhà người ta à?
- Ki az ördög lehet?	Grangde thét:
- kiáltott fel Grandet.	- Đứa quái nào thế nhỉ?
Nanon fogta az egyik gyertyát, és ment kaput nyitni, Grandet vele tartott.	Nanong cầm một cây nến đi ra mở cổng, ông Grangde theo sau.
- Grandet! Grandet!	- "Ông Grangde!
A társasjáték résztvevői összenéztek.	Ông Grangde!" Mấy tay bài nhìn nhau.
- Mi lenne, ha mi is kimennénk?	Ông Đe Gratxanh đề nghị:
- mondta des Grassins úr.	- Hay là chúng ta cùng ra thử xem.
- Ez a kopogtatás gyanús nekem.	Cái tiếng búa ấy tôi nghe như không có thiện ý.
Des Grassins úr csak egy röpke pillanatig láthatta a fiatalember arcát és a postakocsihordárt, aki két ormótlan utazóládát cipelt és útizsákot vonszolt.	Ông Đe Gratxanh chỉ kịp thoáng nhìn thấy một chàng thanh niên, theo sau là một người phu trạm vác chiếc hòm to tướng và còn xách kè kè mấy túi đựng nữa.
Grandet hátrafordult a feleségéhez, és rászólt:	Thình lình ông Grangde ngoái lại bà vợ, bảo:
- Grandet-né asszony, menjen vissza a tombolájához!	- Bà Grangde, bà nên quay lại bàn bài.
Hagyjon magamra az úrral, tárgyalni­valóm van vele.	Để mặc tôi với ông đây giải quyết với nhau!
- Saumuri az illető, des Grassins úr?	Bà Đe Gratxanh hỏi:
- kérdezte a férjétől a bankárné.	- Ông Đe Gratxanh ơi, khách có phải là người Xomuya ta không?
- Nem, egy utas.	- Không, hắn từ xa đến.
- Csak Párizsból jöhetett.	- Hẳn là từ Pari?
- Úgy van - mondta a jegyző, és előhúzta kétujjnyi vastag öreg zsebóráját, amely hollandi hajóra emlékeztetett -, kilenc óra.	- Đúng rồi, ông chưởng khế vừa nói vừa rút chiếc đồng hồ quả quýt cũ kỹ, dày bằng hai ngón tay, trông giống một chiếc tàu Hà Lan.
A teremburáját!	Bây giờ chín giờ.
- Fiatal ember?	- Cái ông ấy có trẻ không?
- kérdezte Cruchot abbé.	- Trẻ.
- Igen - válaszolt des Grassins úr.	Ông Đe Gratxanh đáp.
- A poggyásza megvan vagy háromszáz kiló.	Hắn mạng theo một số hành lý, có lẽ nặng tới ba trăm cân là ít!
- Hol marad Nanon?	Ogieni bảo: - Kìa!
- kérdezte Eugénie.	Ông chánh án nói:
- Csak rokon lehet - mondta az elnök.	- Chắc là một người bà con của cô chứ không ai xa lạ.
- Folytassuk a játékot!	Bà Grangde kêu khẽ:
- szólt kedvesen Grandet-né.	- Chúng ta ra tiền đi thôi.
- Kisasszony - mondta Adolphe a szomszédjának -, alighanem az ön Grandet unokabátyja az, egy igen jóképű fiatalember, Nucingen úr estélyén találkoztam vele.	- Thưa cô - Adon nói với Ogieni - đây có lẽ là người em họ của cô, một người thanh niên xinh trai lắm, tôi đã được gặp trong đêm hội vũ ở nhà ông Đo Nuyxanhgiang.
Adolphe nem folytatta, az anyja a lábára lépett, és fennhangon két sout kért tőle tétnek.	Sau khi nói to để vay chàng hai xu cho đủ số tiền góp, bà hạ giọng rỉ vào tai chàng:
- Hallgatsz el, te mamlasz!	- "Mày có câm mồm không, thằng ngốc?"
- súgta a fia fülébe.	Người khách lạ theo sau ông Grangde.
- Üljön le oda, a kandalló mellé - mondta Grandet a fiatalembernek.	- Anh ngồi gần lò sưởi cho ấm.
Mielőtt leült a fiatal ismeretlen, nagyon kedvesen köszönt a társaságnak.	Trước khi ngồi, người thanh niên cúi chào cử tọa một cách rất duyên dáng.
- Lám, milyenek a nők!	- Có lẽ ông rét.
- mondta az öreg szőlősgazda, és félbehagyta a kezében tartott levél olvasását.	Hình như ông đi từ...? Grangde đương đọc bức thư cầm tay, dừng lại:
- Nem hagynátok pihenni az urat?	- Đàn bà mới hay chứ!
Hátha szüksége van valamire az úrnak - mondta Eugénie.	- Nhưng thưa cha, có lẽ ông ấy cầm thức gì chăng?
- Van nyelve - felelte keményen a szőlősgazda.	- Anh ấy cũng có miệng để nói chứ!
Egyedül az idegent lepte meg ez a jelenet.	Grangde trả lời một cách nghiêm nghị.
A többiek már ismerték a derék férfiú zsarnoki természetét.	Mọi người đã quen với thói chuyên chế của ông già, chỉ có người khách lạ lấy làm ngạc nhiên.
Miután a két kérdés és a rá adott két válasz elhangzott, az ismeretlen felállt, hátát odafordította a tűznek, felemelte a lábát, hogy megmelengesse a csizmája talpát, és így szólt Eugénie-hez.	Tuy vậy, nghe xong mấy câu đối đáp, chàng đứng lên, ngồi quay lưng lại lò sưởi, giơ chân để hơ đế giày và nói:
- Köszönöm, kedves húgom, Tours-ban megvacsoráztam.	- Cám ơn chị, tôi đã ăn tối ở Tua.
- És Grandet-ra nézve hozzáfűzte: - Nincs szükségem semmire, csöppet sem vagyok fáradt.	Chàng nhìn ông Grangde nói thêm: - Cháu không cần thứ gì cả, cháu cũng chả mệt nữa.
- Uraságod a fővárosból érkezett?	- Ông từ thủ đô về chăng?
- kérdezte des Grassins-né.	Bà Đe Gratxanh hỏi.
- Igen, asszonyom.	- Bác đánh loto đấy à?
"Megesküdtem volna, hogy ez az unokabáty" - gondolta des Grassins-né, rá-rásandítva a fiatalemberre.	Bà Đe Gratxanh thỉnh thoảng chớp mắt liếc trộm người khách lạ và tự bảo:
- Negyvenhét - kiáltott az öreg abbé.	- Ta biết mà, đích là thằng em họ.
- Ön viszi, des Grassins-né asszony, az ön száma, nem?	- Bốn mươi bảy, ông linh mục già xướng.
A fiatal örökösnő időnként lopva az unokatestvérére pillantott, és a bankárné könnyen felismerhette a csodálkozás és érdeklődés crescendó-ját.	Bà vợ cảm thấy những điều chẳng lành, hết quan sát Saclo lại nhìn Ogieni, không thiết gì đánh bài.
Charles Grandet úr, huszonkét éves, szép fiatalember, e pillanatban élesen elütött a jó vidékiektől, akiket arisztokratikus viselkedése máris meglehetősen felháborított, és akik azért figyelték, hogy majd kigúnyolhassák.	Thỉnh thoảng Ogieni nhìn trộm người em họ, và bà Đe Gratxanh dễ dàng nhận thấy qua những cái liếc kia, vẻ ngạc nhiên và sự chú ý của cô thừa tự mỗi lúc một tăng.
Ez magyarázatot kíván.	Cậu em họ Pari
Meglehet, hogy száz közül kilencvenkilenc éppúgy viselkedett volna, mint ahogy Charles Grandet viselkedett.	Trong một trăm chú gặp trường hợp Saclo, dễ có đến chín mươi chín chú làm y như Saclo.
Néhány nappal ezelőtt azt mondta neki az apja, hogy utazzon pár hónapra Saumurbe, a fivéréhez.	Mấy hôm trước đây, bố Saclo bảo chàng về nhà ông bác ở Xomuya chơi mấy tháng.
Talán Eugénie-re gondolt a párizsi Grandet úr.	Xếp đặt như thế, ông nghĩ đến Ogieni chăng?
Charles-nak, aki először csöppent vidékre, az az eszméje támadt, hogy a felkapott divatfi fensőbbségével lép fel, fényűzésével kétségbe ejti az egész járást, új fejezetet nyit az életében, és meghonosítja a párizsi élet leleményeit.	Về tỉnh nhỏ lần đầu, Saclo định ra mắt công chúng với cái uy thế của một trang phong lưu công tử, để cho thiên hạ lác mắt về cách ăn diện của mình: chàng muốn rằng việc chàng đến Xomuya phải thành một sự kiện đối với cái thành phố ấy; chàng định nhập vào đấy mọi phát minh trong lối sống thủ đô.
Egyszóval, az volt a szándéka, hogy Saumurben még több időt tölt körömreszelgetéssel, mint Párizsban, és szerfelett választékosan öltözködik, nem él azzal a nem minden báj nélkül való hanyagsággal, amelyért a magafajta elegáns fiatalemberek olykor lemondanak a feszes tökéletességről.	Tóm lại, nếu muốn nói một câu mà đủ giải thích tất cả thì về Xomuya, chàng định dùng còn nhiều thì giờ hơn ở Pari để chăm sóc móng tay, và luôn luôn đóng những bộ cánh cực kỳ tươm tất, chứ không làm như một vài thanh niên diện kẻng khác, thỉnh thoảng bỏ bộ cánh đẹp để ăn mặc xuềnh xoàng mà vẫn có duyên.
Charles tehát magával hozta Párizs legszebb vadászöltönyét, legszebb puskáját, legszebb kését a legszebb tokkal.	Saclo đem theo bộ quần áo đi săn đẹp nhất, cây súng săn đẹp nhất, cái bao súng đẹp nhất, con dao găm đẹp nhất thành Pari.
Hozott magával megannyi, ezekben az években divatos gallért és nyakkendőt.	Người đàn bà ấy là một bà thượng lưu mà chàng gọi thân mật là Annet.
Magával hozta két, Buissonnál2 csináltatott frakkját és a legfinomabb fehérneműjét.	Trong hành lý chàng có hàng chồng giấy viết thư xinh xinh để mỗi tháng viết cho người yêu hai bức.
Magával hozta szép arany toalettkészletét, anyja ajándékát.	Tóm lại Saclo đã chở theo cả một đống những thứ phù phiếm của cái Pari hào hoa.
Magával hozta valamennyi divatfimütyürkéjét, nem feledkezve meg arról az elragadó kis írókészletről sem, amelyet a világ legaranyosabb nőjétől kapott, legalábbis Charles annak tartotta azt a nagyvilági hölgyet, akit ő Annette-nek hívott, és aki, fájdalom, most Skóciában utazgatott férje oldalán, mert a felébredő gyanakvás oltárán kénytelen volt átmenetileg feláldozni boldogságát; és hozott persze sok szép papírt, hogy kéthetenként levelet írjon a hölgynek.	Không có vật gì thiếu mặt, từ ái roi da để bắt đầu, cho đến đôi súng ngắn chạm trổ rất đẹp để két thúc một cuộc đấu sức tay đôi vì danh dự, và giữa hai thứ ấy là hàng ngàn khí cụ để cho những chàng trai vô công rồi nghề chăm bón tủn mủn cái đời sống của mình.
Egy szó, mint száz, a párizsi haszontalanságok lehető legteljesebb rakománya volt ez, a párbajkihíváshoz szükséges lovaglópálcától a párbaj­befejezéshez alkalmas díszes pisztolyig megtalálható volt benne mindazon kéziszerszám, amellyel a Charles-féle ifjú naplopó műveli meg az életét.	Cha chàng bảo chàng đi một mình, không người hầu, nhũn nhặn, nên chàng đáp xe tốc hành chở khách, ngồi chiếc ghế hạng nhất dành riêng cho chàng.
Mivel az apja azt mondta neki, hogy utazzon egyedül és szerényen, a delizsánsznak az ő számára lefoglalt külön fülkéjében jött, és meg volt magával elégedve, amiért nem rongálja azt a pompás lovas hintót, amelyet azért csináltatott, hogy az ő Annette-je, a nagyvilági... stb.	Chàng lấy làm sung sướng vì không phải làm xây xát chiếc xe song mã đi đường xinh đẹp mới sắm để chờ đi đón bà lớn thượng lưu Annet.
hölgy elé hajtson, akivel a badeni gyógyforrásnál leend találkozója jövő júniusban.	Cuộc hội ngộ giữa đôi tình nhân đã định vào tháng sáu ở suối tắm Badang.
Hogy illendően mutatkozzék be a nagybátyjánál - Saumurben vagy Froidfond-ban, egyre megy -, a legcsinosabb, legkeresettebben egyszerű útiruháját öltötte fel, a legimádandóbbat, hogy azt a szót használjuk, amely e korban egy ember vagy egy tárgy rendkívüli tökélyét jelentette.	Bởi thế, chàng đã mặc bộ quần áo đi đường đỏm dáng nhất, giản dị nhất mà cầu kỳ nhất, hay nếu muốn dùng cái tiếng thường dùng nhất ấy ở thời ấy để diễn tả cái gì toàn thiện, toàn mỹ thì phải nói là mê ly nhất.
Testhezálló, félig begombolt császárkabátja látni engedte sálgalléros kasmírmellényét, amely alatt fehér mellényt hordott.	Một cái áo choàng đi đường cài cúc nửa chừng thắt lấy giữa người chàng và để lộ cái gile Casomia mặc ra ngoài gile trắng.
Az óráját, amelyet hanyagul valamelyik zsebébe süllyesztett, rövid aranylánc kapcsolta az egyik gomblyukához.	Đồng hồ bỏ đâu đó trong một cái túi áo nào đó, buộc vào sợi dây chuyền vàng gài ở khuy áo.
Szürke nadrágja oldalt gombolódott, fekete selyemhímzés cifrázta a varrását.	Chiếc quần xám cài cúc hai bên, quanh đường may dọc ống có thêu chỉ tơ đen.
Jól állt a kezében a sétapálca, amelynek faragott aranyfeje nem tompította szürke kesztyűjének üde színét.	Tay chàng cầm cây can rất duyên dáng chuôi can bằng vàng chạm không át nổi màu sắc tươi tắn của đôi găng xám.
Végezetül sapkája is kitűnő ízlésre vallott.	Sau cùng, cái mũ két của chàng thật là đẹp mắt.
Namármost, ha meg akarják érteni a saumuriek és a fiatal párizsi kölcsönös megütközését, ha a maga teljességében látni akarják, milyen vakítóan ragyogott az utas eleganciája a terem szürke árnyai közt és a családi tabló alakjai körében, képzeljék maguk elé a Cruchot-kat.	Bây giờ nếu các bạn muốn hiểu vì sao cả các bậc Xomuya lẫn chàng công tử Pari đều ngạc nhiên, và muốn nhìn thấy rõ ràng hình ảnh anh chàng diện bảnh chói lọi như thế nào giữa đám hình nhân nhờ nhờ trong bức tranh gia đình kia, thì hãy cố gắng tưởng tượng cho được chân dung của bọn Cruyso.
A nyak­kendőjüknek nem volt tartása, azonnal kötélszerűen összecsavarodott, mihelyt megkötöt­ték.	Mấy chiếc cà vạt mềm nhũn, hễ thắt vào cổ thì cuộn như dây thừng.
Undok bárdolatlanságukhoz tökéletesen illett elaggott szellemük.	Vô duyên và cằn cỗi đã gặp nhau trên người họ.
A divattól való irtózás volt az egyetlen, amiben a grassinisták és a crucho­tisták egyetértettek.	Có khi chàng công tử Pari cầm mặt kính lên quan sát những vật trang trí kỳ khôi ở trong phòng.
Des Grassins úr és fia már látott életében divatos férfit, de azért - talán mert őket is áthatotta valami ködös közösségi érzés, vagy talán mert nem tudták kivonni magukat a hatása alól - osztoztak asztaltársaik elképedésében, és gunyoros kacsingatással adták szomszédaik tudtára: "Hát ilyenek ezek ott Párizsban."	Cha con ông Đe Gratxanh tuy không lạ gì những tay ăn diện, cũng về hùa với những người khác mà tỏ bộ ngạc nhiên, hoặc vì họ bị cái cảm tưởng chung của mọi người ảnh hưởng, hoặc vì họ muốn tỏ ý đồng tình với những người kia.
Egyébként valamennyien kedvükre nézegethették Charles-t, nem kellett a ház urának rosszal­lásától tartaniuk.	Họ đưa mắt cho các người khác, ý mỉa mai: "Ở Pari, chúng nó như thế đấy".
Grandet belemerült a kezében tartott hosszú levél olvasásába, nem törődve vendégeivel és azok szórakozásával, még az egyetlen gyertyát is elvette az asztalról.	Mọi người ngắm nghía Saclo tha hồ, không sợ phật ý chủ nhân vì ông ta mải đọc một bức thư dài cầm ở tay.
Eugénie még sohasem látott senkit, aki Charles-hoz fogható lett volna, tökéletesnek látta unokaöccse lényét, öltözetét, úgy érezte, hogy mennyei birodalomból alászállott teremtmény jelent meg előtte.	Ông đã mang cây đèn duy nhất trên bàn đi để đọc thư, không hề để ý đến khách và cuộc vui của họ.
Élvezettel szívta be a csillogó, kecsesen göndörödő hajából áradó illatokat.	Ogieni chưa từng thấy ai xinh trai và ăn mặc tuyệt mỹ như thế, nên nàng tưởng như Saclo là người cõi tiên xuống trần.
Szerette volna megérinteni szép, finom kesztyűjének selymes tapintású bőrét.	Nàng ước được sờ vào đôi găng tay xa tanh mịn.
Irigyelte Charles-t kezének kicsinységéért, arcának haloványságáért, üdeségéért, finom vonásaiért.	Nàng ước có đôi tay bé nhỏ của Saclo, màu da và nét mặt tươi tắn thanh tú của chàng.
Charles elővett egy zsebkendőt, amelyet a Skóciában utazgató nagyvilági hölgy hímzett.	Saclo rút túi lấy cái khăn thêu của bà lớn quý tộc đang du lịch ở Ecot tặng.
A tombola nagyon vontatottan haladt, és nemsokára be is fejeződött a játék.	Mấy tay bài đã tỏ vẻ uể oải từ lâu và cuối cùng thì nghỉ chơi hẳn.
- Asszonyom, ágynemű kéne, hogy megágyazhassak ennek az úrnak.	Bà phải cho tấm khăn trải giường để xếp đặt chỗ cậu ấy ngủ chứ.
Grandet-né kiment Nanonnal.	Bà Grangde đứng lên đi với mụ Nanong.
Des Grassins-né ekkor halkan így szólt:	Bà Đe Gratxanh bảo khẽ mọi người.
- Tegyük el a souinkat, és hagyjuk a tombolát.	- Chúng ta cất tiền đi thôi, đừng đánh nữa.
- Ezek szerint befejezték?	- Các bạn không đánh nữa ư?
- kérdezte Grandet anélkül, hogy felnézett volna a levélből.	- Vâng, vâng.
- Igen, igen - felelte des Grassins-né, aki épp abban a pillanatban telepedett Charles mellé.	Bà Đe Gratxanh vừa trả lời vừa đến ngồi ghế bên cạnh Saclo.
Olyan gondolattól hajtva, amely akkor születik a leányszívekben, amikor először fészkeli be oda magát az a bizonyos érzelem, Eugénie anyja és Nanon után sietett, hogy segítsen.	Ogieni giống như mọi người con gái lần đầu nẩy lòng cảm mến: một ý định thúc đẩy nàng rời bỏ gian lớn để đi giúp mẹ và mụ Nanong.
Ha egy ügyes gyóntató e pillanatban kifaggatta volna, a lány bizonyára bevallotta volna, hogy nem az anyja vagy Nanon járt az eszében, hanem szívmarcangoló vágy ösztönözte: körül akart nézni unokafivére szobájában, törődni akart unokafivérével, valamit, akármit elhelyezni nála, vigyázni, nehogy valamiről megfeledkezzenek, mindenről gondoskodni akart, hogy a szoba a lehetőségekhez képest tiszta és elegáns legyen.	Bấy giờ nếu cha rửa tội khôn khéo dò hỏi thì chắc nàng đã thú nhận rằng nàng không nghĩ đến đỡ mẹ, cũng chẳng nghĩ đến Nanong; nàng thiết tha muốn lên thăm buồng dành cho cậu em họ chẳng qua chỉ đề săn sóc cậu em họ, đặt vào đó một cái gì, xem người ta quên thứ gì thì nhắc, cố lo chu toàn mọi việc để cái buồng của cậu em được sạch sẽ, lịch sự.
Eugénie máris úgy érezte, ő az egyetlen, aki megérti unokafivére ízlését és gondolatait.	Chưa gì nàng đã cho là chỉ có mình hiểu được ý muốn và sở thích của Saclo.
És valóban, jókor érkezett, hogy bebizonyítsa, mindent újra kell kezdeni: az anyja és Nanon, abban a hiszemben, hogy mindent bevégzett, már épp visszafelé tartott a szálába.	Thật thế, lúc mẹ nàng và chị ở quay ra vì cho là đã xếp đặt đau ra đấy thì may sao nàng đến kịp để giải thích cho họ thấy là chưa ra làm sao cả.
Az anyjának megmagyarázta, hogy okvetlenül jól be kell fűteni a kandallóba, és meghagyta Nanonnak, hogy hozzon föl egy nagy rakás fát a folyosóra, de erről egy szót se szóljon az apjának.	Tự tay nàng trải một chiếc khăn đặt lên cái bàn cũ kỹ và căn dặn mụ Nanong phải nhận thấy rằng cần đốt lửa trong buồng, và nàng thuyết phục mụ Nanong giấu bố mình mang một đống củi to lên hành lang.
Negyedóra alatt több gondolata támadt, mint születése pillanatától egész életében.	Chỉ trong khoảnh khắc nàng nảy ra nhiều sáng kiến hơn là từ khi lọt lòng mẹ đến giờ.
- Anya - mondta -, az unokafivérem biztosan nem állhatja a faggyúgyertyaszagot.	Nàng nói: - Mẹ ơi, cậu ấy chịu thế nào được mùi nến mỡ!
Nem vennénk viaszgyertyát?...	Hay là ta mua nến lạp?...
És már futott is, röppent, hogy erszényéből kivegye azt a százsous tallért, melyet havi kiadá­saira kapott.	Nhẹ nhàng như con chim, nàng đi tìm túi tiền, lấy đồng trăm xu bố cho để tiêu vặt trong tháng, đem đưa mụ Nanong:
- Nesze, Nanon - mondta -, siess.	- Tiền đây, mụ Nanong.
- De mit szól majd apád?	Chạy nhanh lên!
Ezt a bosszantó ellenvetést Grandet-né tette, amikor meglátta lánya kezében az ódon sèvres-i porcelán cukortartót, amelyet Grandet hozott a froidfond-i kastélyból.	Bà Grangde thấy con gái bưng cái bình đựng đường bằng sứ cổ mà ông Grangde moi ở lâu đài Phoroaphong ra thì buột miệng kêu lên mấy tiếng hãi hùng:
- És honnan veszed a cukrot?	- Cha con biết thì làm sao?
Megbolondultál?	Bà nói thêm:
- De anya, Nanon nemcsak viaszgyertyát vesz majd, hanem cukrot is.	- Mẹ ơi, mụ Nanong đi mua nến lạp thì sẽ mua cả đường nữa chứ sao.
- És apád?	- Thế còn cha con?
- Hát illik az, hogy az unokaöccse ne ihasson egy pohár cukros vizet?	- Cháu đến nhà bác mà không có lấy một cốc nước đường để uống thì coi sao được?
Különben sem veszi észre.	Bà Grabgde lắc đầu:
- Apád mindent lát - mondta fejcsóválva Grandet-né.	- Có cái gì qua mắt được cha con!
- Menj már, Nanon, mivelhogy ma van a születésnapom!	Mụ Nanong, đi đi chứ, ngày lễ của tôi cơ mà!
Nanon nem tudta elfojtani vihogását; ez volt az első tréfa, amelyet fiatal úrnőjétől valaha is hallott; és engedelmeskedett.	Mụ Nanong nghe câu pha trò của Ogieni - câu pha trò đầu tiên trong đời nàng thì buột miệng cười to và tuân lệnh chủ.
- Ön roppant bátor, uram - mondta az asszony -, télen otthagyta a főváros örömeit, hogy Saumurbe költözzön.	- Ông rời bỏ chốn phồn hoa trong tiết đông này để về Xomuya thì thật can đảm.
Ámbár, ha nem ijesztettük máris el, meglátja, hogy itt is lehet azért szórakozni.	Đến đây bà Đe Gratxanh liếc Saclo một cái.
Rákacsintott a fiatalemberre, ahogy a vidéki asszonyok szoktak, akiknek tartózkodó, óvatos pillantásából mohó bujaság árad, olyan a szemük, mint a papoké, akik minden élvezetet lopásnak vagy véteknek hisznek.	Ở tỉnh nhỏ người phụ nữ có thói quen dùng cặp mắt một cách cẩn thận và e dè dặt, cho cái nhìn của họ chứa chan háo hức, cũng như cái nhìn của các vị cố đạo coi mỗi lạc thú ở đời như một sự đánh cắp, một tội lỗi.
Ő is, Charles is egyaránt szük­ségét érezte a bizalmas társalgásnak.	Hai người đều cần có nơi gửi gắm tâm sự.
Így aztán néhány percnyi incselkedő csevegés és komoly élcelődés után, miközben a többiek arról beszélgettek, ami ez idő tájt minden saumuri fő gondja volt, a boreladásról, az ügyes vidéki nő, úgy, hogy csak a fiatalember hallja, így szólt:	Vì thế sau một lúc đàm luận cợt nhả và bông đùa nghiêm trang, bà Đe Gratxanh khôn khéo đã có thể mặc các vị khách sa vào câu chuyện thời sự của tỉnh Xomuya, chuyện bán rượu mà thỏ thẻ với Saclo, không sợ ai nghe thấy:
- Uram, ha megtisztel bennünket a látogatásával, mind a férjemet, mind jómagamat őszintén megörvendeztet.	- "Thưa ông, nếu chúng tôi có cái vinh hạnh được tiếp ông, thì nhà tôi cũng sẽ sung sướng không kém gì tôi.
Az uram, büszkén mondom, egyforma megbecsülésnek örvend emezek és amazok körében.	Cả hai giới đều trọng vọng ông nhà tôi, tôi lấy làm kiêu hãnh mà bày tỏ điều đó.
Nos, mi igyekezni fogunk, hogy elűzzük az unalmát, amíg városunkban tartózkodik.	Thế là chúng tôi cố gắng giải buồn cho ông, trong thời gian ông ở Xomuya.
Ha Grandet úrnál maradna, mihez kezdene, jóságos isten!	Nếu ông cứ co ro trong nhà ông Grangde thì trời đất ơi, ông sẽ ra sao nhỉ?
Nagybátyja vén zsugori, csak a szőlővesszeivel törődik, nagy­nénje szentfazék, nincs egy épkézláb gondolata, az unokanővére meg közönséges, műveletlen kis buta, még hozománya sincs, egész életét rongyok foltozgatásával tölti.	Ông bác ông cả đời keo cú, cả đời chỉ nghĩ đến mấy cái tược nho, bà bác là một người mê đạo ngây ngô, cô chị họ là một cô bé dại dột chẳng được học hành gì, tầm thường, không của hồi môn, cả ngày lẫn đêm vùi đầu vào công việc vá may những tã rách".
- Úgy látom, asszony, hogy magadnak akarod kisajátítani az uraságot - mondta nevetve a nagy, kövér bankár.	Ông chủ to béo của nhà băng lớn, ông Đe Gratxanh vừa cười vừa bảo vợ: - Hình như mình muốn chiếm độc quyền ông khách hay sao ấy!
- Ki tudná a saumuri vendégszeretetet képviselni, ha nem őnagysága?	- Có ai đủ tư cách hơn bà để thay mặt thành phố Xomuya ta mà thù tiếp ông khách quý nữa?
- Nahát!	- Ô hay!
Ezt meg hogy érti, abbé úr?	Ông linh mục, ông nói thế ngụ ý gì?
- kérdezte des Grassins úr.	- ông Đe Gratxanh hỏi.
Az abbé, noha látszólag egyáltalán nem figyelt Charles és des Grassins-né társalgására, tudta, kitalálta, miről folyik köztük a szó.	Ra ông linh mục tuy bề ngoài có vẻ không để ý đến câu chuyện giữa Saclo và bà Đe Gratxanh, nhưng thật ra đã đoán biết họ nói gì.
- Hogyne, uram, hogyne - felelte Charles, aki meglepetten tapasztalta, hogy a közfigyelem középpontjába került.	Tôi đã được hân hạnh ngồi đối diện với ông trong đêm khiêu vũ ở nhà nam tước Đo Nuyxanhgiang và...
- Az úr a fia?	- Nhớ chứ, thưa ông, nhớ lắm.
- kérdezte des Grassins-nétól.	- Ông đây là lệnh nam?
Az abbé kajánul nézett az anyára.	Ông linh mục ranh mãnh nhìn xem thái độ bà mẹ.
- Igen, uram - mondta az asszony.	Bà ta trả lời: - Thưa ông, vâng!
- Ön tehát nagyon fiatal volt, mikor Párizsban járt - fordult ismét Adolphe-hoz Charles.	Saclo nói với Adon: - Vậy ra ông lên Pari từ khi còn ít tuổi lắm nhỉ?
Des Grassins-né meglepően mély értelmű pillantással vonta kérdőre az abbét.	Bà Đe gratxanh đưa mắt chất vấn ông linh mục, với một cái nhìn thật là sâu thẳm.
- Vidékre kell jönni - folytatta a pap -, hogy az ember olyan harminc-egynéhány éves asszonyra leljen, aki megőrzi üdeségét; lám, őnagyságának nemsokára végzett jogász lesz a fia.	Ông linh mục nói tiếp: - Phải về tỉnh nhỏ mới tìm thấy những người phụ nữ quá ba mươi, con sắp ra cử nhân luật, mà vẫn tươi trẻ như bà đây.
Úgy emlékszem arra a bálra, mintha ma lenne - tette hozzá az abbé nőnemű ellenfeléhez fordulva -, az ifjak és a hölgyek székre álltak, hogy lássák, hogyan táncol ön, asszonyom.	Thưa bà, tôi cứ tưởng đang sống những ngày mà thanh niên chúng và các bà thượng lưu đứng lên ghế để xem bà khiêu vũ.
Nekem úgy tűnik, mintha csak tegnap aratta volna a sikereit...	Đối với tôi, cái thời oanh liệt của bà là chuyện hôm qua...
"Ó, a vén gazember!	cái lão bợm già này!
- gondolta magában des Grassins-né -, csak nem lát a vesémbe?"	Hắn đã đoán được ý nghĩ của mình chăng?
A szőlősgazda ezúttal nehezen őrizte meg arcvonásainak meg­szokott nyugalmát.	Ông Grangde phải khó nhọc lắm mới giữ nổi vẻ điềm tĩnh thường ngày.
Egyébiránt, aki elolvassa az alábbi végzetes levelet, maga is elképzelheti, mekkora önuralomra volt szüksége ennek az embernek:	Đọc bức thư bi đát sau đây chúng ta sẽ mường tượng được sự cố gắng tự chủ của ông ta.
