A SZAMÁRBŐR	Miếng Da Lừa
– Lehet – mondta Raphael, egyáltalán nem duzzogva.	- Có thể là thế, - Raphaël thản nhiên nói tiếp.
– Hát nem is igen fogom hiábavalóságokkal zaklatni a füleidet s életemnek első tizenhét esztendejét neked ajándékozom.	- Vì vậy để khỏi làm nhàm tai cậu, tôi miễn cho cậu mười bảy năm đầu của cuộc đời tôi.
Addig magam is ugy éltem, mint te, vagy akárki más.	- Vào ngày thảm sử đi thôi, - Emile nửa đùa bỡn nửa thương hại.
Kollégiumban, liceumban.	Raphaël tỏ ý sốt ruột nói tiếp:
– szólt közbe ismét Émile, szánakozóan gunyos pillantással.	- Cái đó thì việc quái gì đến tôi?
Kilenckor feküdtem, ötkor már talpon voltam.	Quỷ tha cậu đi, - Raphaël đáp.
– Ej, vigyen el az ördög, hát hogyan érthetnéd meg akkor az én érzéseimet, ha nem számolnék be neked mindazzal a sok apró körülménynyel, mely lelkemet kiformálta s lehetővé tette, hogy eredeti naivságom oly nagy ideig megmaradjon?	Như vậy, cho đến năm hai mươi mốt tuổi, tôi bị đè nặng dưới một chế độ độc đoán lạnh lùng chẳng khác gì chế độ của một nhà tu.
Ha néha-néha kikivánkozott belőlem valami gyöngédebb érzés és melegen szóltam hozzá, ugy nézett rám, mint gyermekre szokás, mikor sületlenséget mond.	Khi tôi muốn biểu lộ với ông cụ một tình cảm dịu dàng đằm thắm thì ông cụ tiếp đãi tôi như một đứa trẻ sắp nói một điều ngớ ngẩn.
Jobban remegtem előtte, mint tanáraim előtt.	Tôi kinh hãi ông cụ còn hơn chúng ta sợ các thầy giám thị xưa kia nhiều.
Vele szembekerülve, egyszeriben nyolcesztendős gyermekké lettem.	Đối với ông cụ thì bao giờ tôi cũng chỉ như mới lên tám.
Hanem azért mégis csak szerettem; alapjában igazságos ember volt.	Tuy nhiên, tôi yêu cha tôi vì suy cho cùng ông cụ tính ngay thẳng.
Talán nem is gyülöljük a keménységet, ha erős jellem s tiszta erkölcsök igazolják és ha kellő mértékben jóság párosul hozzá.	Có thể chúng ta không căm ghét tính nghiêm khắc khi nó xuất phát từ một tính cách siêu quần, những phong thói thuần khiết, và khi nó xen kẽ nhịp nhàng với lòng nhân hậu.
De ha szüntelenül szemmel tartott is az apám, és ha huszesztendős koromig még csak tiz árva nyomorult frankot sem adott szabad rendelkezésemre, ami sóvárgott kincs, a gyönyörüség kapuit megnyitó elérhetetlen kincs volt szememben, mégis rászánta magát, hogy nekem némi szórakozást szerezzen.	Tuy cha tôi không lúc nào rời tôi một bước, tuy cho tới năm tôi hai mươi tuổi, ông cụ không hề cho tôi có được mười quan, mười đồng tiền ma mãnh, mười đồng tiền ngang tàng, tài sản to lớn, thèm muốn mà không được, nó làm cho tôi mơ ước những thú vui khôn tả, tuy thế ông cụ đôi khi cũng kiếm cho tôi cách giải trí.
Szerető!	Một tình nương?
Szememben ez volt a függetlenség.	Đối với tôi đó là sự độc lập.
De félénk, szégyenlős, meg járatlan is lévén még a szalónok nyelvében, na meg hogy egy lelket sem ismertem, biz én ugyanazzal az érintetlen szivvel, ugyanazokkal a dagadozó vágyakkal kerültem haza.	Nhưng bẽn lẽn và rụt rè, chẳng hiểu gì thổ ngữ của những phòng khách và chẳng quen biết ai ở đó, tôi trở về trái tim bao giờ cũng nguyên xi và cũng căng đầy những thèm muốn.
Másnap azután, mintha csak afféle katonaló lettem volna, amelyet jól megült az apám, jókor reggel már utnak eredtem az ügyvivőmhöz, egyenesen a Palais-ba.	Rồi hôm sau, lại bị cha tôi kiềm chế như con ngựa nhà binh bị đóng cương, ngay buổi sáng tôi lại trở lại phòng luật sư, trường luật, tòa án.
Képzeld el a legcsapongóbb képzeletet, a legszerelmesebb szivet, a leggyöngédebb lelket, a legköltőibb szellemet szüntelenül a legridegebb, legkomorabb, legzsémbesebb ember társaságában.	Vì vậy tôi cứ rợn người kinh khủng mỗi khi ngẫu nhiên tôi dám liều lĩnh một hai tiếng đồng hồ lăn vào một cuộc vui thú nào.
Adj feleségül fiatal leányt vázzá aszott vénemberhez és fogalmad lesz az én akkori lelkiállapotomról, arról a sok mindenféle furcsa jelenetről, amit még neked is csak sugva mondok: hogyan foszlottak el egyszeriben apám megpillantásakor a szökési tervek, hogyan kerestem kétségbeesésemre balzsamot az álomban, hogyan fojtottam el vágyaimat, hogyan áradt ki lelkem egész bánata a muzsikában.	Cậu thử hình dung một kẻ có trí tưởng tượng lan man nhất, trái tim đa tình nhất, tâm hồn đằm thắm nhất, đầu óc thơ mộng nhất, mà kè kè luôn ở bên cạnh là một con người sỏi đá, u uất, lạnh lùng nhất trần đời, nghĩa là cậu thử ghép duyên một cô thiếu nữ với một bộ xương thì cậu sẽ hiểu cuộc sống mà cậu ngăn tôi kể chi tiết những cảnh kỳ lạ: những âm mưu đi trốn tiêu tan khi chợt nhìn thấy cha tôi, những nỗi tuyệt vọng dịu đi trong giấc ngủ, những thèm muốn bị kiềm chế, những mối u sầu khuây khỏa bằng âm nhạc.
Melódiákban keseregtem el a búmat.	Tôi bộc lộ nỗi bất hạnh của tôi bằng những giai điệu.
Beethoven és Mozart gyakran voltak meghitt bizalmasaim.	Beethoven hay Mozart thường là những người tâm sự âm thầm của tôi.
Hogy ne ragadozzék ugy még le a szempillád, elbeszélem neked életemnek egyik legrettentőbb gyönyörüségét. Azokra az éles karmokkal fegyverzett gyönyörüségekre gondolok, amelyek oly mélyen beleszántanak sziveinkbe, mint a tüzes bélyegzővas a gályarab vállába.	Nếu muốn cậu khỏi buồn ngủ, tôi phải kể cho cậu nghe một trong những niềm vui ghê gớm nhất của cuộc đời tôi, một trong những niềm vui có nanh vuốt ấy, nó đâm vào trái tim chúng ta như một miếng sắt nung gí vào vai kẻ bị tội khổ sai.
Apám unokabátyjának, de Navarreins hercegnek a bálján történt.	Bữa đó tôi dự cuộc khiêu vũ ở nhà công tước de Navarreins, anh em họ với cha tôi.
Hogy jobban megértsd helyzetemet, vedd fontolóra, hogy elnyütt frakkot, félretaposott cipőt, kocsisnyakkendőt és ócska keztyüt viseltem.	Nhưng để cậu hiểu thật rõ hoàn cảnh của tôi, cậu nên biết rằng tôi mặc một chiếc áo sờn rách, đi đôi giày tàng, thắt một chiếc cravát sâu kèn và đeo đôi găng thừa.
Meghuzódtam a sarokban, hogy kényemre-kedvemre jól szemügyre vehessem a szép asszonyokat.	Tôi ngồi vào một xó để có thể ăn kem thả cửa và ngắm cái đẹp.
Apám észrevett.	Cha tôi chợt trông thấy tôi.
Odajött hozzám, s ma sem tudom miért, annyira megzavart bizalmának e csodálatos megnyilatkozása: rám bizta erszényét meg a kulcsait.	Vì một lý do mà tôi không bao giờ đoán ra được, đến mức việc tín nhiệm đó làm tôi choáng váng, ông cụ giao cho tôi giữ ví tiền và chùm chìa khóa.
Tiz lépésnyire tőlem folyt a játék.	Cách tôi mười bước chân, một số người đang đánh bạc.
Hallottam az arany pengését.	Tôi nghe tiếng tiền loảng xoảng.
Husz esztendős voltam, sóváran epekedtem egyetlen napért, amelyet a korommal járó bünök szabadjára bocsátásával fenékig kiélvezhetek.	Bấy giờ tôi hai mươi tuổi, tôi khao khát được cả một ngày chìm đắm vào những tội lỗi của tuổi tôi.
Olyanféle kirugásnak a gondolata volt ez, aminő nem terem meg sem a kurtizán hóbortos fejében, sem az álmodozó fiatal leánykáéban.	Đó là một thứ tinh thần phóng túng không giống như những ưa thích của gái giang hồ cũng như những mơ tưởng của các cô thiếu nữ.
Esztendő óta egyre azon járt az eszem, hogy kicsipem magam, kocsiba ülök, szép asszony lesz az oldalamon, adom az előkelőt, Vérynél ebédelek, szinházba megyek és nem is állitok be apámhoz, csak másnap és akkor is valami hallatlan, még a Mariage de Figaro-énál is különb bonyodalomba gabalyitva, amiből ki nem evickélhet többé.	Từ một năm qua tôi ước mơ được ăn mặc sang trọng, ngồi xe, có một cô gái đẹp ở bên cạnh, làm bộ ông hoàng, ăn ở hiệu Véry, tối đi xem kịch hát, nhất quyết đến hôm sau mới về nhà cha tôi, nhưng sẵn sàng đối phó với ông cụ bằng một câu chuyện ly kỳ éo le hơn cả chuyện Đám cưới Figaro mà ông cụ không tài nào gỡ mối được.
Ötven tallérra taksáltam ezt az egész kirugást.	Tôi đã ước lượng cả cuộc vui nhộn đó đáng giá năm mươi écu.
Mondd, nem az iskolakerülés ösztöne dolgozott bennem akkor?	Phải chăng tôi vẫn còn đang ở cái thời thích thú ngây thơ của cuộc trốn học?
Elszánt gazfickóvá tettek.	Tôi trở thành một tên súc sinh kiên quyết.
Megkopott már rajtuk az évszám, s Napoleon mintha torzképet vágott volna lapjukon.	Niên hiệu ghi trên những đồng tiền đã mờ và bộ mặt Bonaparte nhăn nhó.
Kimondhatatlan szorongások közepette egyre aggodalmas tekinteteket vetettem magam körül.	Lòng lo sợ một cách khó nói, tôi bỗng đưa mặt đục mờ nhìn chung quanh tôi.
Azután vagy a gyávaság ösztöne kerekedett bennem felül, vagy valami macchiavellisztikus érzés, elég az hozzá, hogy az ajtó közelébe lopakodtam, honnan jól áttekinthettem a termeket.	Rồi, với một bản năng quỷ quái tinh ma lạ lùng đối với tuổi tôi, tôi ra đứng bên một cửa ra vào, đưa mắt khắp các phòng khách mà không nhìn thấy gì hết.
Tiz lépésnyire a játék helyétől, belezöldültem forgandóságaiba.	Bỗng cha tôi đi qua trước mặt tôi, bấy giờ tôi mới hiểu lời này của Thánh kinh: Thần linh đi qua trước mặt nó!
Oly ügyesen, mint az angolna, mikor a megtépett háló bogain át kisiklik.	Trong tôi, tơ lòng đang não ruột bỗng trở thành hân hoan.
Olyan voltam, mint az elitélt, ki vésztőhelyre mentében a királylyal találkozik.	Tôi như một kẻ bị án đang đi tới nơi hành hình thì gặp nhà vua.
Valamiképpen ugy esett, hogy egy érdemjeles ur éppen akkor negyven frankjának eltüntén sopánkodott.	Bất đồ một người đeo huy chương lên tiếng đòi bốn mươi quan còn thiếu của ông ta.
Tulságosan is nagynak láttam ekkora bünhődést azért, hogy megloptam az apámat.	Thế là dường như tôi bị trừng phạt vì tội ăn cắp tiền của cha tôi.
"Az urak mindenike tett." És kifizette a negyven frankot.	", và ông ta trả lại bốn mươi quan.
Én fölvetettem a fejemet és diadalmas pillantást vetettem a játszókra.	Tôi vênh mặt lên và nhìn những khách chơi một cách đắc chí.
Visszacsusztatván apám erszényébe az elcsent aranyakat, nyereségemet otthagytam annál az érdemes, derék férfiunál, ki továbbra is nyert vele.	Sau khi hoàn lại số tiền lấy cắp vào ví của cha tôi, tôi trao chỗ tiền được cho cái ông ngay thẳng đáng kính ấy, ông ta tiếp tục đánh được.
Mihelyt láttam, hogy nyereségem már megüti a százhatvan frankot, gondosan belecsavargattam a zsebkendőmbe, ugy hogy meg ne csörrenjenek hazafelé menet és nem is játszottam többet.	Tới lúc có trong tay một trăm sáu mươi quan thì tôi không đánh nữa, và tôi bọc số tiền đó vào chiếc khăn tay thế nào cho nó không nhúc nhích và không kêu lên khi trở về nhà.
– Csak nézdegéltem őket, – dadogtam zavartan.	- Con đứng xem,- tôi run lên đáp.
– Ami azt illeti, – folytatta apám, – nem találnék benne semmi rendkivülit, ha netalán megkapott volna a birás vágya, s megkockáztattál volna némi pénzt.	- Thế mà, - cha tôi nói, - nếu vì tự ái con phải đặt ít tiền vào chiếu bạc thì cũng chẳng có gì lạ cả.
A társaságbeli emberek szemében elég vén kamasz volnál már ahhoz, hogy jogod legyen ostobaságokat elkövetni.	Với con mắt thiên hạ thì hình như con cũng đã đến tuổi để có quyền làm những chuyện bậy bạ.
Azért mondom neked, Raphael, nem venném tulságosan zokon, ha netalán erszényembe nyultál volna…	Vì vậy Raphaël ạ, ví bằng con đã trót dùng đến tiền của cha thì cha cũng tha thứ cho con...
Nem válaszoltam.	Tôi không đáp lại gì cả.
Hazatértünkkor átadtam apámnak a kulcsait is, meg a pénzét is.	Về tới nhà tôi trả lại cha tôi ví tiền và chìa khóa.
Alig lépett be a szobába, kiforditotta az erszényét a kandallóra, megszámlálta az aranyait, s ennek végeztével eléggé szives arccal fordult hozzám, nagy jelentős szünetekkel, minden mondat után megállapodva, mondván nekem a következőket:	Khi vào trong buồng, ông cụ dốc chiếc ví lên lò sưởi, đếm, rồi vẻ mặt khá tươi vui, cụ quay lại tôi mà nói, sau mỗi lời lại ngừng lại ít nhiều một cách ý nghĩa:
– Fiam, maholnap husz esztendős vagy immár.	- Con ạ, con sắp hai mươi tuổi đầu rồi.
Meg vagyok veled elégedve.	Cha rất hài lòng về con.
Ez estétől fogva száz frank jár neked havonta.	Ngay từ tối hôm nay, mỗi tháng cha cho con một trăm quan.
Arra költöd, amire jól esik.	Cho con được tùy ý sử dụng món tiền đó.
Visszatartott a szégyen.	Nhưng hổ thẹn giữ tôi lại.
– Emberré érettél, gyermekem – mondotta azután.	- Bây giờ con là một người lớn rồi, con ạ - ông cụ nói.
– Amit most cselekszem, igen természetes és helyénvaló dolog, nincs miért hálálkodnod.	- Việc cha làm chỉ là một việc thông thường và công bằng, con chẳng phải cảm ơn gì hết.
Ha számot tartok mégis háladatosságodra, Raphael, – folytatta meleg, de méltósággal teljes hangon – csupán azért, mivel megóvtalak zsenge korodban mindama bajoktól, melyek Páris ifjuságát tönkreteszik.	Nếu cha có quyền để con biết ơn, Raphaël ạ, - ông cụ nói tiếp, giọng dịu dàng nhưng rất nghiêm trang, - thì là ở chỗ cha đã ngăn ngừa cho tuổi trẻ của con khỏi những tai họa, nó gây tác hại cho hết thảy bọn thanh niên ở Paris.
Ezentul már csak barátok leszünk.	Từ nay cha với con là đôi bạn.
Mához egy esztendőre doctor juris lesz belőled.	Một năm nữa con sẽ là tiến sĩ luật khoa.
Nem épp keserüségek és nélkülözések hijjával, csupán tisztes ismeretségeket kötöttél és megtanultad becsülni a munkát.	Không phải là con không bị những phiền muộn và thiếu thốn để tiếp thu được những kiến thức vững chãi và tính chuyên cần rất cần thiết cho những người có triển vọng điều khiển công việc.
Erre van szüksége annak, aki a tettek mezején van hivatva munkálkodni.	Raphaël ạ, con hãy tìm hiểu cha cho rõ.
Édesanyámat már tiz esztendővel annakelőtte elvesztettem.	Tôi là con một và mẹ tôi đã mất từ năm tôi lên mười.
Valamikor régen, mikor nem nagy örömét lelte már abban, hogy joga van karddal az oldalán müvelni a földet, apám, a kissé megkopott emlékezetü, de a történelemben is szerepet vitt család feje, kapta magát és Párisba jött, hogy itt hijja csülökre az ördögöt.	Trước kia, không bằng lòng làm một quý tộc thôn quê, cha tôi, đứng đầu một dòng họ có tiếng tăm ở xứ Auvergne nay đã bị quên lãng, đã lên Paris để tìm đường mở mặt.
Mivel benne is megvolt az az agyafurtság, mely a délvidéki franciát a többinél magasabbrendüvé teszi, mikor kitartással párosul, minden különösebb pártfogás nélkül sikerült a hatalom szivébe férkőznie.	Sẵn có cái tính sắc sảo, nó làm cho những người miền Nam nước Pháp trở thành ưu việt khi nó được kèm theo nghị lực, cha tôi không được ai nâng đỡ bao nhiêu, đã chiếm được địa vị ở ngay giữa nơi quyền hành.
A forradalom csakhamar utját vágta szerencséjének, de volt gondja rá, hogy előkelő családból gazdagon házasodjék, s a császárság alatt családunk régi fényét ujra megszerezze.	Chẳng bao lâu cách mạng lật đổ sự nghiệp của ông cụ; nhưng cha tôi đã kết hôn được với người thừa kế của một dòng họ tiếng tăm, và dưới thời Đế chính đã có cơ hoàn lại cho họ hàng tôi cái hiển hách xưa kia.
A restauráció, mely jócskán meggyarapitotta anyám vagyonát, apámat tönkrejuttatta.	Thời Trùng hưng trả lại cho mẹ tôi những tài sản to lớn, nhưng lại làm cha tôi phá sản.
Apám beavatott e végletekig összekuszált hatalmas pörbe, melytől jövőnk függött.	Cha tôi đã ném tôi vào cái mớ bòng bong những kiện cáo dây dưa đó, nó quyết định tương lai của gia đình tôi.
Igy hát biz én azon a napon, amelyen apám bizonyos tekintetben függetlenné tett, tulajdonképpen a lehető legutálatosabb igát szedtem a nyakamba.	Vì vậy, cái ngày mà tưởng như cha tôi đã giải phóng tôi về mặt nào đó, thì tôi lại mắc phải cái ách tệ hại nhất.
Hadakoznom kellett, akárcsak a csatatéren, dolgoznom éjjel-nappal, forgolódnom az államférfiak körül, kifürkésznem, mily szint vallanak, fölkeltenem bennük ügyünk iránt az érdeklődést, kellemeteskednem körülöttük, az asszonyaik körül, az inasaik körül, az ölebecskéik körül és ezt az egész undoritó mesterkedést elburkolnom az elegancia és szellemes széptevés álarcával.	Tôi phải chiến đấu như ở một bãi chiến trường, làm việc đêm ngày, đi gặp những chính khách, cố tìm hiểu tín điều của họ, tìm cách làm cho họ quan tâm đến công việc của mình, mua chuộc họ, vợ con họ, đày tớ họ, đàn chó của họ, và cải trang cái nghề kinh khủng đó dưới những hình thức lịch sự, dưới những chuyện vui vẻ tao nhã.
Most már megértettem, micsoda gyötrelmek barázdolták fel ugy az apám arcát.	Tôi hiểu tất cả những mối ưu phiền đã để vết hằn làm tàn tạ mặt cha tôi.
Körülbelül egy esztendőn keresztül folytattam ezt a látszatra világfi-életet, de mulatságaim és az az örökös dörgölődzés, melylyel egy-egy rokont igyekeztem megnyerni, aki ügyünkben összeköttetései révén segitségünkre lehetett, tulajdonképpen nem volt egyéb, mint megfeszitett, kemény munka.	Thế là trong khoảng một năm tôi sống ra vẻ một con người của xã hội thượng lưu; nhưng cuộc sống phóng túng đó và sự ân cần liên hệ với những bà con có địa vị, hay những người có thể giúp ích mình, những cái đó che giấu bao nhiêu công việc túi bụi.
Egyéb szórakozásom nem is volt, hanemha tárgyalási jegyzőkönyvek és pörbeszédek tanulmányozása.	Giải trí của tôi chỉ là những bản kiện cáo, và trò chuyện của tôi là những đơn trần tình.
Be akartam bizonyitani, hogy nem hiába vetette belém apám a bizalmát.	Tôi muốn chứng minh cho lòng tin cậy của cha tôi.
Igaz ugyan, hogy nem is oly régen még csentem tőle, de most, osztakozva gondjaiban, nevének, családjának oltalmazásában és önzetlen örömmel áldozva föl érte apró örömeimet, titkon megszolgáltam érte.	Trước đó, tôi có thể lấy làm thú vị mà nhón của ông cụ một món tiền nhỏ; nhưng bấy giờ cùng với cụ gánh vác nặng của công việc, của tên tuổi, của dòng họ, tôi có thể lặng lẽ hiến ông cụ tiền của tôi, hy vọng của tôi, cũng như tôi vì ông cụ mà hy sinh mọi thú vui; và còn có thể sung sướng vì sự hy sinh đó!
Mikor azután de Villčle, egyenesen a mi megrontásunkra, kiásott valahonnan egy császári dekrétumot a jószágvesztésre, tuladtam minden birtokomon, csupán azt a kis, mitsem érő szigetkét tartva meg, melyen édesanyám nyugszik, a Loire közepén.	Cho nên đến khi ngài De Villèle cố ý vì chúng tôi mà moi móc ra một sắc lệnh thời Đế chính về giáng chức, bãi chức, và làm chúng tôi khánh kiệt, thì tôi ký giấy bán ngay các tài sản sở hữu của tôi, chỉ giữ lại một hòn đảo không giá trị gì ở giữa sông Loire có mộ mẹ tôi ở đó.
Ma talán nem szükölködném már érvekben, csürés-csavarásban, filozófiai fogásokban, filantrópikus és politikai okokra való hivatkozásban, hogy el ne kellessék követnem azt, amit ügyvivőm egyszerüen hülyeségnek nevezett.	Ngày nay có lẽ tôi không thiếu gì những lý lẽ, những mưu kế, những tranh luận triết lý, nhân ái và chính trị để khỏi phải làm một việc mà viên luật sư của tôi gọi là việc ngu xuẩn.
De huszonegy esztendős korunkban, ismétlem neked, csupa sziv, csupa lélek, csupa szeretet vagyunk még.	Nhưng vào tuổi hai mươi mốt, tôi nhắc lại, chúng ta rất đỗi rộng lượng, nhiệt tình, thắm thiết.
Tiz hónapra rá, hogy kifizette minden hitelezőjét, meghalt bánatában.	Mười tháng sau khi tôi trả nợ cho cha tôi thì cha tôi mất vì buồn phiền.
1826-ban, huszonkét esztendős koromban, ugy ősz vége felé, magam voltam egész gyászkisérete legelső barátomnak, az apámnak.	Năm 1826, khi tôi hai mươi hai tuổi vào cuối mùa thu, một mình tôi đưa ma người bạn đầu tiên của tôi tức là cha tôi.
Kevés fiatal embernek juthatott osztályrészül, hogy egyesegyedül legyen a gondolataival egy halottas kocsi mögött, kilátások, vagyon nélkül, Párisban.	Ít có những thanh niên, trơ trọi một thân với mọi ý nghĩ của mình, đi theo sau một chiếc xe tang, lạc lõng ở Paris, không tương lai, không tài sản.
A résztvevő közönség-fölszedte árvák, a csatatéren legalább jövőt teremthetnek maguknak; atyjuk is van a kormány, vagy a királyi ügyész személyében, s menedékre is találhatnak a szeretetházban.	Những trẻ con mồ côi được cứu tế ít ra còn có chiến trường làm tương lai, có chính phủ hoặc viên biện lý nhà vua làm cha, có nhà cứu tế làm nơi cư trú.
Nekem semmim sem volt!	Đến như tôi thì không có gì hết!
A hitelezők kényszeritettek rá, hogy adjak el mindent.	Các chủ nợ đã bắt tôi phải bán hết đồ đạc.
– Csak azután gazdálkodjék jól, Raphael urfi!	- Cậu phải thật tiết kiệm cậu Raphaël ạ!
– Ime, kedves Émile, az események, melyek rám zuditották a balsorsot, lenyügözték a lelkemet és már kora ifjuságomban a lehető legfonákabb társadalmi helyzetbe sodortak, – szólalt meg ujra, némi szünet után Raphael.	Đó, Emile thân mến ạ, đó là những biến cố đã chi phối số mệnh tôi, biến đổi tâm hồn tôi, và ngay khi tôi còn trẻ đã đặt tôi vào một địa vị xã hội dở dang nhất.
– Akadt ugyan néhány gazdag család, melyhez távoli rokonság füzött, de büszkeségem tiltott volna el minden közeledéstől még akkor is, ha a közöny és megvetés nem csapja be előttem jóeleve az ajtót.	Tôi có họ hàng với một số nhà giàu có, nhưng quan hệ lỏng lẻo, nếu không vì sự khinh bỉ và sự lãnh đạm, họ đã cấm cửa tôi, thì cũng vì lòng tự kiêu của tôi, tôi cũng chẳng bước chân tới nhà họ.
Hiába hangzott föl bennem a belső szózat, mely a nagyokra termett embernek minden küzdelmében odakiált: "Bátorság!	Mặc dầu tiếng nói bên trong thường nâng đỡ những người tài năng trong mọi cuộc tranh đấu, và nó nhủ tôi: "Hãy can đảm.
A legszertelenebb ambició martaléka voltam, ugy éreztem, hogy nagy dolgokra vagyok hivatva és mégis mintha csak ugy lógtam volna a semmiségben.	Tôi mang trong lòng một mối tham vọng thái quá, tôi tưởng mình sinh ra để làm những việc to lớn, thế mà tôi tự cảm thấy không làm được trò gì.
Mint minden nagy gyerek, titkon én is valami nagy szerelemre áhitoztam.	Cũng như mọi đứa trẻ ưu việt, tôi âm thầm ao ước những mối tình cao đẹp.
A korombeli ifjuság között a nagyszájuaknak egy valóságos szektájára találtam, kik peckesen jártak, semmiségeket mondtak, minden teketória nélkül terpeszkedtek egy-egy olyan hölgy mellett, akit én igen nagyra tartottam, pletykálkodtak, a sétapálcájuk gombját szopogatták, pipeskedtek, elcsábitottak minden szép leányt, pihentek, vagy legalább is kürtölték, hogy pihenhetnek bármelyikőjük vánkosán, s egyre bizonygatták, hogy nincsen olyan erényes, nincsen olyan szigoru erkölcsü nő, akit meg ne hóditanának egy-két szóval, egy merészebb mozdulattal, a legelső csábitó pillantással.	Trong đám thanh niên lứa tuổi tôi, tôi gặp một nhóm những kẻ huênh hoang, mặt vênh váo, nói những chuyện bá láp, không run mình khi ngồi cạnh những người đàn bà mà tôi cho là trang nghiêm nhất, thở ra những lời xấc láo, gậm đầu can, làm bộ õng ẹo, tự cho mình hủ hóa với những người đẹp nhất, đặt đầu hay tự xưng là đã đặt đầu lên mọi chiếc gối, có vẻ chán ngán vì lạc thú, coi những người đàn bà đức hạnh nhất, nghiêm cẩn nhất như dễ mua chuộc và có thể chinh phục được chỉ bằng lời nói, bằng cử chỉ táo bạo, bằng cái đưa mắt hỗn xược đầu tiên!
Bevallom neked őszintén, hogy szememben sokkal könnyebb volt akkoriban a hatalom polcán fölvergődni, vagy irodalmi babérokat aratni, mint sikerrel forgolódni valamely magasrangu nő körül, aki fiatal is, bájos is, meg szellemes is.	Tôi thật tình nói với cậu rằng sự chinh phục quyền hành hay danh tiếng văn học tôi xem như không khó bằng chiếm được lòng một người đàn bà thượng lưu, trẻ tuổi, lanh lợi và duyên dáng.
Fölzaklatott szivem, érzékeim és hitem ellene mondottak a társadalom maximáinak.	Cho nên tôi thấy những băn khoăn trong lòng tôi, tình cảm của tôi, những điều tôi ngưỡng vọng không thích hợp với những châm ngôn của xã hội.
Megvolt bennem a merészség, de csupán a lelkemben, nem a föllépésemben.	Tôi có tính táo bạo, nhưng chỉ ở trong tâm hồn chứ không ở cử chỉ.
Csak később ébredtem rá, hogy a nő ügyet sem vet arra, aki rimánkodik neki.	Về sau tôi mới biết rằng đàn bà họ không ưa ai van xin họ.
Nem egygyel találkoztam, akinek odaadtam volna a szivem vérét, akivel szét tudtam volna marcangoltatni lelkemet, akinek meghoztam volna minden áldozatot, nem riadva vissza semmi gyötrelemtől, de mig én távolról imádtam őket, olyan ostoba fickók bántak el velük, akiket még házmesternek is átallottam volna fölfogadni.	Tôi đã từng trông thấy nhiều người mà tôi hâm mộ từ xa, tôi muốn hiến họ một tấm lòng kiên định, một tâm hồn thắm thiết, một nghị lực chẳng sợ hy sinh cũng như nhục hình; nhưng họ lại thuộc về những thằng ngốc mà tôi chẳng thèm dùng làm tên gác cửa.
Némán, mozdulatlanul hányszor csodáltam álmaim asszonyát, amint a bálokon itt-ott fölmerült a táncolók között!	Đã bao nhiêu lần, câm lặng, thờ thẫn, tôi đã từng ngắm nghía người đàn bà ước mơ của tôi chợt hiện ra trong một buổi khiêu vũ!
Voltak pillanataim, amikor életemet adtam volna egyetlen éjszakáért.	Có những lúc, tôi muốn hiến cả cuộc đời đổi lấy chỉ một đêm.
Nem akadt fül, mely fölfogta volna szenvedélyes áradozásaimat, nem akadt tekintet, mely belemerült volna az enyémbe, sziv, mely szivemre visszadobbant volna; éltem hát továbbra is annak a tehetetlen energiának a kinjaival, mely önmagát emészti föl bátorság és alkalom hijján, vagy tapasztalatlanságból.	Thế nhưng, chẳng bao giờ tìm thấy lỗ tai để gửi gắm những lời nồng thắm của tôi, cặp mắt để nghỉ ngơi con mắt của tôi, trái tim cho trái tim tôi, tôi đã sống trong mối đau khổ của một nghị lực vô hiệu tự hủy hoại mình, hoặc vì thiếu táo bạo hay cơ hội, hoặc vì không kinh nghiệm.
Talán attól tartottam, hogy nem tudom magam megértetni, vagy hogy nagyon is megértenek.	Có lẽ tôi đã nản lòng vì không làm cho người ta hiểu được mình, hay run sợ vì thấy người ta hiểu mình quá rõ.
És mégis, bár minden szives pillantást, minden szives szót nagy készséggel magyaráztam gyöngéd igéretül, sohasem mertem a dologra térni.	Mặc dầu lòng hăm hở tiếp đón khóe mắt đó, hay những lời có vẻ âu yếm như những gắn bó chân tình, tôi chưa bao giờ dám hé miệng hoặc lặng im đúng lúc.
Kétségkivül nagyon együgyü voltam abban a mesterkélt társadalomban, mely lámpavilágban él, minden gondolatot közhelylyel vagy olyan szavakkal igyekszik kifejezni, melyeket a divat követel.	Rõ ràng là tôi ngây thơ quá ở một cái xã hội giả tạo sống trong hào nhoáng, và tỏ ý bằng những lời khuôn sáo, hay những tiếng nói theo thời thượng.
Egész valómat égette a belső tüz; olyan rajongó volt a lelkem, aminő után esengenek az asszonyok; megvolt bennem az a hatalmas energia, amelylyel az ostobák hivalkodnak, és mégis kegyetlenül hideg maradt hozzám minden asszony.	Tựu trung, tôi mang trong mình những ngọn lửa thiêu đốt, có một tâm hồn giống như những tâm hồn mà phụ nữ mong đợi, với tấm lòng say mê mà họ khao khát, có cái nghị lực mà bọn ngu ngốc khoe khoang, ấy thế mà bao nhiêu phụ nữ đều tàn ác bội bạc đối với tôi.
