CHARLES DICKENS	CHARLES DICKENS
A leány cipője szépen fölsímúlt a lábán, a haja mindig rendbefésült volt és fényes, a keze mindig tiszta.	Những chiếc giày cô đi có gót cao dần, mái tóc cô trở nên óng ả, suôn mềm, hai bàn tay cô luôn sạch sẽ.
Nem volt szép leány - közönséges volt és Estellával egybe sem hasonlítható -, de kellemes és készséges és barátságos.	Cô không xinh đẹp - một cô gái rất bình thường, và không thể giống như Estella - nhưng cô rất dễ mến, khỏe mạnh với tính tình dịu dàng.
Nem volt még egy évnél sokkal nagyobb ideje nálunk (emlékszem, hogy az­időtájt, amikor mindez föltűnt nekem rajta, gyászát éppen csak nemrég tette le), midőn egy este csak úgy magamban arra az észrevételre eszméltem rá, hogy íme, mily lélekbe fürkésző értelmes és figyelmes szeme van; és hogy íme, mily csupa kedvesség meg csupa jóság ez a szem.	Cô chỉ mới đến sống cùng chúng tôi chưa quá một năm (tôi nhớ cô mới vừa đoạn tang khi tôi bắt đầu nhận ra sự thay đổi này) thì vào một buổi tối tôi thầm nhận thấy cô có đôi mắt đầy suy tư và chăm chú thật lạ; đôi mắt thật đẹp, thật tử tế.
Úgy esett ez, hogy egyszer épp az én szemem pillantott föl a munkámról, amelynek fölibe hajlottam volt - valami könyvből írtam le valamit, hogy ily módon, szinte hadicseles mód­szerrel, egyszerre kétféleképen is művelődjem -, s megláttam, hogy Biddy megfigyel engem.	Lúc ấy tôi ngước mắt lên khỏi mối bận tâm dở dang của mình - chép lại vài đoạn từ một cuốn sách để tự trau dồi đồng thời bằng hai cách theo một thứ chiến lược - và thấy Biddy quan sát điều tôi đang làm.
Tollamat letettem, Biddy pedig abbahagyta kézimunkáját, de azért nem tette félre.	Tôi đặt bút xuống, và Biddy ngừng tay khâu vá nhưng vẫn không để món đồ xuống.
- Biddy - szóltam -, hogyan is csinálod te azt?	"Biddy," tôi nói, "làm sao em có thể làm thế được?
Hiszen nem tudom, miről beszélsz.	"Em làm được gì cơ?
- Válaszolt Biddy mosolyogva.	Em không biết," Biddy mỉm cười đáp lại.
Ő intézte egész háztartásunkat, mégpedig csodálatraméltó értelmesség módján; de nem ez volt, amire én céloztam, bárha éppen azt, amire gondoltam, ez annál csodálatosabbá tette.	Cô đã thu vén toàn bộ công việc nội trợ trong nhà, và làm việc này thật tuyệt; nhưng tôi không có ý nói tới nó, cho dù điều này làm cho việc tôi muốn nói tới càng thêm đáng kinh ngạc.
- Épp úgy kérdezhetném én tőled - mondta Biddy -, hogyan boldogulsz a dolgoddal te!	"Em cũng có thể hỏi anh hệt như vậy," Biddy nói, "làm sao anh có thể?"
- Nem, mert hiszen amikor esténkint hazajövök a műhelyből, mindenki láthatja, hogyan ülök neki mindjárt a tanulásnak.	"Không; vì khi anh từ lò rèn về nhà mỗi tối, ai cũng có thể thấy anh quay sang học.
De te sohasem ülsz neki, Biddy!	Nhưng em thì chẳng bao giờ làm thế cả, Biddy."
- Talán úgy ragad rám... mint a szamárköhögés - mondta Biddy nyugodtan és újra tovább varrt.	"Em đoán là chuyện học hành cứ nhiễm vào em thôi như bệnh ho vậy," Biddy khẽ nói; rồi lại tiếp tục khâu.
Elgondolkodtam s ahogy így karosszékemben hátradőlve elnézegettem Biddyt, hogyan hajlik féloldalt billentett fejecskéjével a varrása fölé, egészen rendkívüli leánynak kezdtem elkép­zelni őt.	Vẫn tiếp tục theo đuổi dòng suy nghĩ trong lúc ngả người ra sau trên cái ghế gỗ, đồng thời quan sát Biddy ngả đầu sang một bên miệt mài khâu, tôi bắt đầu nghĩ cô quả thực là một cô gái phi thường.
Eszembe jutott ugyanis, hogy egyformán nagyon jól ismeri mesterségem szak­kife­jezéseit és a sokmindenféle kovácsmunka nevét, valamint különböző szerszámainkét is.	Vì giờ tôi nhớ ra cô cũng rất hiểu biết về nghề rèn, biết rõ tên của những công việc khác nhau chúng tôi hay làm, và các món dụng cụ khác nhau chúng tôi sử dụng.
- Azoknak a leányoknak a fajtájából való vagy te, Biddy - mondtam -, akik minden alkalmat a legjobban fel tudnak használni.	"Biddy này, em là một trong những người tận dụng tốt nhất mọi cơ hội," tôi nói.
Semmire sem nyilt alkalmad, amíg ide nem jöttél, és lám, most már mennyire haladtál!	"Trước khi tới đây em chưa bao giờ có cơ hội, và nhìn xem em đã tiến bộ tới mức nào!"
Biddy pillanatra fölnézett rám, aztán folytatta varrását.	Biddy nhìn tôi một lát, rồi tiếp tục khâu.
- kiáltottam fölöttébb meglepetten.	"Biddy!" tôi thốt lên kinh ngạc.
- Mi lelt, hiszen sírsz!	"Sao thế, em đang khóc kìa!"
- Nem, dehogy is sírok - mondta Biddy felpillantva és nevetett.	"Không, em đâu có khóc," Biddy ngước lên và bật cười.
- Mi vette meg így a fejedet?	"Cái gì làm anh nghĩ thế chứ?"
Vajjon mi más vehette volna így meg a fejemet, ha nem annak a könnynek a csillogása, amely Biddy munkájára csöppent?	Điều gì có thể làm tôi nghĩ thế ngoài một giọt lệ lấp lánh khi nó rơi xuống món đồ cô đang khâu?
Hallgatva ültem helyemen és arra gondoltam, mennyit kellett a szegény leánynak bajlódnia, amíg Wopsle úr nagynénje a maga régi rossz szokásával, az élettel föl nem hagyott, aminek a megcselekedése némely ember részéről fölöttébb kívánatos.	Tôi ngồi im lặng, nhớ lại cô từng chẳng khác gì nô lệ cho tới khi bà cô ông Wopsle vượt qua được thói xấu sống dai của bà, một người vốn được vài người cực kỳ mong thoát khỏi.
Visszaemlékeztem azokra a reménytelen körülményekre, amelyek ott, abban a nyomorúságos kis zúgboltban és abban a lármás nyomorúságos kis esti iskolában környékezték, ahol a be­számítathatlanságnak azzal a siralmas, vén megtestesülésével kellett szüntelen vesződnie, kínlódnia.	Tôi nhớ lại tình cảnh vô vọng cô từng lâm vào trong cửa hiệu tồi tàn nhỏ xíu với lớp học ban đêm nhốn nháo cũng nhỏ xíu tồi tàn đó, với bà lão già nua khốn khổ vô tích sự luôn phải để tâm chăm sóc.
Elgondoltam, hogy már azoknak a kedvezőtlenségeknek idején benne szunnyad­ha­tott Biddy lelkében mindaz, ami csak most bontakozott ki belőle, hiszen első nyugtalanságom és elégedetlenségem napjaiban hozzá fordultam volt segítségért, mintha ez magától értetődő dolog lett volna.	Tôi ngẫm lại ngay cả trong quãng thời gian vô vọng đó hẳn bên trong Biddy cũng đã ẩn chứa những điều giờ đây đang phát triển, vì ngay từ lần đầu tiên cảm thấy bất an không hài lòng tôi đã tìm đến cô nhờ giúp đỡ như lẽ tự nhiên.
Biddy nyugodtan varrt tovább; nem ejtett már könnyeket, és miközben végig­gondoltam mindazt, megrohant a gondolat, hogy hátha nem voltam eléggé háladatos Biddy iránt.	Biddy ngồi khâu thoăn thoắt, không nhỏ thêm giọt nước mắt nào nữa, và trong khi nhìn cô đồng thời nghĩ về mọi chuyện, tôi chợt nghĩ có lẽ tôi đã không biết ơn Biddy đúng mức.
Kevésbé tartózkodónak kellett volna lennem és pártfogó érdeklődéssel (elmél­kedésemben ugyan nem éppen ezt a kifejezést használtam) bizalmasabban bánnom vele.	Có thế tôi đã quá dè dặt, và đáng ra phải chiếu cố tới cô nhiều hơn (cho dù tôi không dùng chính xác từ này trong dòng suy nghĩ của mình) bằng cách chia sẻ tâm sự.
- Valóban, Biddy - mondottam, amint töprengésemből fölocsudtam -, te voltál az én első oktatóm, és pedig akkoriban, amikor még egyikünk sem gondolt volna olyasmire, hogy együtt leszünk valamikor itt, ebben a konyhában.	"Đúng vậy, Biddy," tôi nhận xét sau khi đã nghĩ xong xuôi, "em là cô giáo đầu tiên của anh, và vào một thời kỳ cả anh và em đều không nghĩ sẽ có lúc ngồi với nhau như lúc này, trong căn bếp này."
És nekem kissé gyakrabban kell tanácsot kérnem tőled, úgy, ahogy szoktam volt.	Và anh cần hỏi ý kiến em nhiều hơn một chút, như anh từng làm.
Hadd sétálunk majd egyet, jövő vasárnap, szép nyugodtan a láposon, Biddy és beszél­gessük ki magunkat jól.	Mình cùng nhau đi dạo ven đầm lầy vào Chủ nhật tới đi, Biddy, và nói chuyện thật lâu."
Néném mostanában sohasem maradhatott magárahagyottan; azon a vasárnapon Joe a legkész­ségesebben átvette délután a gondozás föladatát, s Biddy meg én kirándultunk együtt.	Bây giờ chị tôi không bao giờ bị để một mình, nhưng Joe lập tức sẵn sàng đảm nhận việc chăm sóc chị vào chiều Chủ nhật đó, vậy là Biddy cùng tôi cùng nhau ra ngoài đi chơi.
Nyár volt és gyönyörű idő.	Hồi ấy đang vào hè, thời tiết thật đẹp.
Amikor elhagytuk már a falut és a templomot meg a temetőt, s künn voltunk a láposon és láttuk, néztük, mint kelnek-tűnnek a hajók vitorlái, én, szokásom szerint, Havisham kisasszony és Estella személyével kezdtem egybeképzelni a vidéket megint.	Khi chúng tôi đã đi quá làng, nhà thờ và khu nghĩa địa nhà thờ ra ngoài đầm lầy và bắt đầu thấy những cánh buồm trên những con tàu qua lại, tôi bắt đầu gộp cô Havisham và Estella vào cảnh vật như vẫn hay làm.
Amint a folyóhoz érkeztünk és partjára leültünk, ahol a víz a lábunk közelében oly suttogva-mormolva illant, még mélyebbé varázsolva a csöndet körülöttünk, mint amilyen ezek nélkül a hangok nélkül lett volna, úgy éreztem, itt a helye és az ideje, hogy Biddy előtt föltárjam lelkemet, szívemet.	Khi chúng tôi ra tới bên sông và ngồi xuống ven bờ với làn nước lăn tăn ngay dưới chân làm cho toàn bộ khung cảnh còn yên lặng hơn cả khi không có thứ âm thanh của nước đó, tôi quyết định đây là thời điểm và nơi chốn thích hợp để thổ lộ tâm sự kín đáo của tôi với Biddy.
- Ó, én a te helyedben bizony nem szeretnék az lenni - válaszolt.	"Ồ, nếu em là anh em sẽ không muốn vậy đâu!" cô đáp.
- Biddy - mondtam némi szigorúság hangján -, engem különleges okok ösztökélnek arra a kívánságra, hogy úriember legyek.	"Biddy," tôi nói, có phần nghiêm khắc, "anh có lý do đặc biệt để muốn trở thành một quý ông."
- Te tudod, Pip, legjobban; de nem gondolod-e, hogy boldogabb lennél úgy, ahogy most vagy?	"Pip, anh phải là người biết rõ nhất; nhưng chẳng lẽ anh không nghĩ cứ như hiện tại anh sẽ hạnh phúc hơn sao?"
- Biddy - kiáltottam türelmetlenül -, nem vagyok én boldog így, ahogy vagyok.	"Biddy," tôi sốt ruột thốt lên, "anh chẳng hề thấy hạnh phúc với mình lúc này.
A mestersé­gem és ez az életmód irtózat nekem.	Anh ghê tởm nghề nghiệp và cuộc sống của mình.
- Csacsiságot mondtam?	Đừng có ngớ ngẩn thế."
- Nos hát, egyszersmindenkorra értsd meg, hogy én sohasem lehetek boldog... egyáltalában nem lehetek más, csak szerencsétlen mindaddig... látod, ez az, Biddy!...	"Được, nếu thế em hãy hiểu cho một lần này thôi là anh sẽ không bao giờ và không thể thấy thoải mái - hay cảm thấy gì khác ngoài khổ sở - vậy đấy, Biddy!
míg csak olyan életet nem élhetek majd, amely mindenképen különbözik a mostanitól.	- trừ phi anh có thể sống một cuộc sống khác hẳn với hiện tại."
Bizony, ezt magam is már oly sokszor éreztem bajnak, hogy abban a különös tusakodásban, amelyet magammal oly szüntelen vívtam, féligmeddig már annyira voltam, hogy mindjárt ki­buggyan szememen a bosszúság és a bánat könnye, midőn Biddy ezzel a megjegyzéssel nemcsak a saját érzelmeit, hanem az enyéimet is kimondta.	Giờ đây cả tôi nữa cũng thường nghĩ đúng là đáng tiếc, khi trong cuộc tranh cãi kỳ cục với bản thân luôn đeo đẳng mình, tôi thiếu chút nữa đã bật khóc vì phật ý và phiền muộn khi Biddy nhận xét thẳng thắn về cảm xúc của cô và của tôi.
Azt feleltem neki, hogy igaza van és hogy ez a dolog nagyon sajnálatos, de hát meg nem változtatható.	Tôi nói với Biddy là cô có lý, và tôi biết suy nghĩ của mình thật đáng hối hận, song tôi vẫn không thể đừng được.
- Ha bele tudtam volna törődni - mondtam Biddy-nek, tépdesve a kurta füvet olyanforma indulatossággal, ahogy egykor a hajamat téptem és ahogy a fejemet a sörfőzőgyár falába vertem -, ha bele tudtam volna törődni és a kovácsműhelyt csak félannyira is szeretni, mint kisgyermekkoromban szerettem, tudom, hogy ez sokkal jobb lett volna nekem.	"Giá anh chịu an cư lạc nghiệp," tôi vừa nói với Biddy vừa bứt túm cỏ ngắn trong tầm tay với, hệt như tôi từng có lúc bứt cảm xúc của mình ra theo mái tóc và đá chúng vào bức tường xưởng ủ bia, "giá anh biết an cư lạc nghiệp và thích nghề thợ rèn dù chỉ bằng một nửa hồi bé thôi, anh biết như thế sẽ tốt hơn nhiều cho mình.
Akkor sem neked, sem nekem, sem Joe-nak nem hiányzott volna semmink; Joe meg én talán társakként dolgoztunk volna a műhelyben fölszabadulásom után és nagykoromban talán udvaroltam volna neked és aztán nagykoromban egészen más emberekül üldögéltünk volna itt a parton.	Em, anh và Joe khi đó chắc sẽ chẳng phải muốn gì hơn nữa, và Joe cùng anh có khi sẽ trở thành đồng nghiệp khi anh hết thời gian học việc, và anh sẽ lớn lên để làm bạn cùng em, rồi chúng mình có thể ngồi ngay ở bờ sông này một Chủ nhật đẹp trời, nhưng là hai người khác hẳn.
Neked, Biddy, eléggé jó lettem volna talán, igaz-e?	Chắc anh sẽ đủ tốt với em, phải không nào, Biddy?"
Biddy sóhajtott, utána nézve a tovavitorlázó hajóknak és aztán így felelt:	Biddy thở dài trong lúc ngắm nhìn những con tàu căng buồm lướt qua, rồi quay lại trả lời, "Vâng; em cũng không quá khó tính." Nghe chẳng mấy tâng bốc, nhưng tôi biết cô có ý tốt.
- Ahelyett pedig - folytattam még több füvet tépve ki és egy-két szálat harapdálva - látod, milyen a sorsom. Elégedetlen vagyok és boldogtalan és... pedig hát egyébként volna-e baj durvának és közönségesnek lennem, ha nem nevezett volna annak valaki!	Không hài lòng, không thoải mái, và - là người thô kệch và tầm thường đâu có gì quan trọng với anh, nếu không ai nói với anh như thế!"
Biddy hirtelen felém fordította arcát és sokkal figyelmesebben nézett engem, mint imént a tovavitorlázó hajókat nézte volt.	Biddy đột nhiên quay sang nhìn tôi, và quan sát tôi chăm chú hơn nhiều so với những con tàu.
- Sem valami igaz, sem valami illedelmes dolog nem volt ilyet mondani - jegyezte meg és újra a hajók nyomába küldte a tekintetét.	"Nói thế chẳng hề đúng mà cũng không lịch sự chút nào," cô nhận xét, ánh mắt lại hướng về phía những con tàu đang căng buồm.
- Vajjon ki mondta?	"Ai đã nói thế?"
Elképedtem; észrevettem, hogy gondolataim kirúgtak a hámból s nem tudtam, hova ragadnak.	Tôi bối rối, vì tôi đã mở đầu mà không hề lường trước liệu mình sẽ đi tới đâu.
- Ezt nem tudom - válaszoltam ingerülten.	"Anh không biết," tôi ủ rũ trả lời.
- Ha azért szeretnél az lenni, hogy megbosszantsad - folytatta Biddy -, azt gondolnám, de te tudod legjobban, úgy van-e, annak talán jobb és függetlenebb módja volna rá se hederítened a szavaira.	"Bởi vì nếu là để chọc tức cô ấy," Biddy nói tiếp, "em nghĩ - nhưng anh biết rõ nhất - có thể có một cách tốt hơn và độc lập hơn là mặc kệ những gì cô ấy nói.
Ha pedig azért, hogy megnyerjed, hát azt hiszem, de te mindenesetre legjobban tudod, úgy van-e, nem érdemli meg, hogy megnyerjed.	Còn nếu để lấy thiện cảm của cô ấy, em nghĩ - nhưng anh biết rõ nhất - cô ấy không đáng để giành lấy thiện cảm."
Tökéletesen ugyanaz, amit jómagam is elgondoltam nem egyszer.	Đúng những gì chính tôi đã nghĩ vô số lần.
Tökéletesen ugyanaz, ami most már napnál világosabbá vált előttem.	Đúng những gì đang hiện ra rõ rệt với tôi vào khoảnh khắc đó.
De hogyan kerülhettem volna el én, szegény egy­ügyű falusi gyerek azt a csodálatos következetlenséget, amelybe a legjobb és legbölcsebb férfiak is bele szoktak esni nap nap mellett.	Nhưng làm sao tôi, một cậu nhóc quê mùa đã bị làm cho lóa mắt, có thể tránh nổi sự mâu thuẫn kỳ lạ mà những người tốt nhất, thông thái nhất vẫn rơi vào hằng ngày?
- Mindez nagyon igaz lehet - szóltam Biddyhez -, de én mégis csak csodálója vagyok ször­nyű­képen.	"Tất cả có lẽ đều đúng," tôi nói với Biddy, "nhưng anh ngưỡng mộ cô ấy kinh khủng."
Kurtán-furcsán, amint ez a kijelentés kitört belőlem, arcomra feküdtem, fejem mindkét ol­da­lán belemarkoltam hajamba s jókorát cibáltam rajta.	Nói ngắn gọn lại, tôi ngửa mặt lên trời khi nói đến đó, túm chặt lấy tóc ở hai bên đầu, và xoắn thật mạnh.
Eközben nagyon is jól tudtam, mekkora meggabalyodottsága ez szívemnek s hogy mennyire visszás és nem helyénvaló, szinte olyasmit is éreztem, hogy igazán megérdemelné az ábrázatom, ha fölránthatnám hajamnál fogva és jól beleveregethetném a kavicsba büntetésül, amiérthogy ily ostoba emberé.	Tôi biết rõ sự điên rồ của trái tim mình thật cuồng dại và không đúng chỗ, đến mức ý thức được sẽ thật đáng đời cho khuôn mặt của tôi nếu tôi giật ngửa nó ra bằng cách túm tóc rồi nện thật mạnh xuống sỏi như sự trừng phạt vì đã thuộc về một kẻ ngốc nghếch đến thế.
Biddy a világ legokosabb leánykája volt s egyáltalában nem kísérelte meg, hogy még tovább a lelkemre beszéljen.	Biddy là cô gái thông minh nhất trên đời, và cô không cố nói lý với tôi nữa.
Csak rátette kezét, ezt a kellemes, bár munkától érdes kezecskét a fejemre, egyiket a másik után és szelíden kivette hajamból.	Cô đưa bàn tay, một bàn tay thật dễ chịu dù chai sạn vì lao động, áp lên từng bàn tay tôi, nhẹ nhàng gỡ chúng xuống khỏi mái tóc tôi.
- Egynek örülök - mondta Biddy - s ez az, hogy te engem megajándékoztál a bizalmaddal, Pip!	"Em thấy mừng vì một điều," Biddy nói, "và điều đó là anh cảm thấy có thể chia sẻ tâm sự với em, Pip.
És még valaminek örülök, és pedig annak, hogy - amit persze tudnod kell - mindig megbízhatol bennem.	Và em cũng thấy mừng vì một điều khác, tất nhiên đó là việc anh biết anh có thể trông cậy em giữ bí mật và luôn xứng đáng được tin cẩn.
Csakhogy ezt a leckét nehéz volna megtanulnod, aztán meg amúgy sem vagy már a tanítványa és így most már semmi értelme az ilyesminek.	cũng là cô giáo của anh lúc này, cô ấy nghĩ mình biết cần đưa ra bài học nào.
- És könnyedén sóhajtva egyet sorsomon, fölkelt Biddy a partról s friss, kellemesen csengővé változott hangon így szólt: - Sétáljunk-e még messzebbre kissé, vagy menjünk már haza?	Nhưng đó sẽ là một bài học thật khó học, và anh đã vượt xa cô ấy rồi, nên bây giờ nó không ích gì nữa." Vậy là Biddy dành cho tôi một tiếng thở dài lặng lẽ rồi đứng lên khỏi bờ sông và nói với một thay đổi thật tươi mới vui vẻ trong giọng nói, "Chúng mình đi dạo thêm một chút nữa nhé, hay về nhà?"
- Biddy - mondtam felszökkenve s karomat ráfontam nyakára és megcsókoltam őt -, én mindig, mindent el fogok mondani neked.	"Biddy," tôi reo lên, đứng dậy, quàng cánh tay quanh cổ cô, và dành cho cô một cái hôn, "anh sẽ luôn kể với em mọi chuyện."
- Amíg meg nem urasodol - mondta Biddy.	"Cho tới khi anh trở thành một quý ông," Biddy nói.
- Tudod, hogy sohasem fogok én megurasodni, hát mindig úgy lesz az.	"Em biết anh sẽ chẳng bao giờ là quý ông cả, nên như thế sẽ là luôn luôn.
És nem mintha új ismereteket mondhatnék majd neked, mert hiszen te mindig tudod mindazt, amit én tudok... ahogy otthon minap este említettem is.	Mà cũng không phải anh có cơ hội để nói gì với em nữa, vì em biết mọi thứ anh biết rồi - như anh đã nói với em ở nhà hôm nọ."
- Ah - szólt Biddy csaknem suttogón, miközben utána nézett a tovatűnő hajóknak.	"A!" Biddy thốt lên, gần như thì thầm, trong khi nhìn về phía những con tàu.
Aztán ugyanoly kellemes hangon, mint előbb, megismételte kérdését: - Sétáljunk-e még messzebbre kissé, vagy menjünk haza már?	Rồi lặp lại, với giọng nói thay đổi vui tươi lúc trước, "Chúng mình đi dạo thêm một chút nữa nhé, hay về nhà?"
Azt mondtam Biddy-nek, sétáljunk még kissé tovább s ezt meg is cselekedtük és a nyári délután átolvadt a nyári estébe és ez nagyon szép volt.	Tôi nói với cô chúng tôi sẽ đi dạo thêm chút nữa, và chúng tôi tiếp tục, trong khi buổi chiều mùa hè chuyển dần thành buổi tối mùa hè, và cảnh tượng quả là đẹp vô cùng.
Fontolgatni kezdtem, vajjon nem élnék-e sokkal természetesebb és üdvösebb életet ily körülmények közepett, semmint kártyázva a "tönkresilányításomig" oly szobában, amelyben mindig csak gyertyavilág van s ahol mindig állnak az órák s ahol Estella megvet engem.	Tôi bắt đầu tự hỏi liệu nói cho cùng chẳng phải tôi không thấy mình tự nhiên và thoải mái hơn trong hoàn cảnh này hay sao, so với chơi tước sạch hàng xóm dưới ánh nến trong căn phòng có những chiếc đồng hồ chết cứng, và bị Estella miệt thị.
Elgondoltam, bizony, mily jó is lenne, ha Estellát és a hozzáfűződő terveknek és emlékeknek minden maradványát kiver­het­ném fejemből és nekigyürkőzhetném a munkámnak oly szent elhatározással, hogy örömömet leljem majd a teendőimben és megszeressem a dolgomat és oly jól csináljam, ahogy csak tudom.	Tôi nghĩ sẽ thật tốt cho tôi nếu có thể rũ bỏ cô gái khỏi đầu mình cùng mọi hồi ức và tưởng tượng khác, và có thể lao vào công việc với quyết tâm ưa thích điều tôi cần phải làm, gắn bó với nó, và làm tốt nhất có thể.
Megkérdeztem magamtól, vajjon nem tudom-e nagyon jól, hogy mihelyt most Estella volna itt mellettem Biddy helyett, mennyire szerencsétlenné tenne engem?	Tôi tự hỏi có phải tôi thực sự không biết chắc nếu Estella đang ở bên tôi vào khoảnh khắc ấy thay vì Biddy, cô sẽ làm tôi đau khổ hay không?
Jó sokat beszélgettünk sétánkon és mindent, amit Biddy mondott, helyesnek éreztem.	Chúng tôi trò chuyện rất nhiều trong lúc đi dạo, và tất cả những gì Biddy nói dường như đều đúng.
Biddy sohasem volt sértő vagy szeszélyes, avagy egyik pillanatban Biddy, a másikban már egészen másvalaki; dehogy is szerzett volna örömet neki, csak fájt volna, ha fájdalmat okoz nekem; inkább a maga szívét sebezte volna, mintsem az enyémet.	Biddy không bao giờ nhục mạ hay đỏng đảnh, hay thay đổi chóng mặt từ hôm nay sang ngày mai; cô sẽ chỉ cảm thấy đau khổ chứ không phải thích thú khi làm tôi đau khổ; cô hẳn thà làm tổn thương chính mình còn hơn làm tôi bị tổn thương.
Mikép eshetett hát, hogy nem ő volt kedvesebb nekem kettőjük közül?	Vậy thì làm sao tôi không thể thích cô nhiều hơn trong hai cô gái chứ?
- Biddy - mondtam már hazafelé menőben -, szeretném, ha jó útra téríthetnél.	"Biddy," tôi nói khi hai chúng tôi rảo bước quay về nhà, "anh ước gì em có thể giúp anh cư xử đúng đắn."
- Azt bizony én is szeretném - mondta Biddy.	"Em ước gì em có thể!" Biddy nói.
- Csak juthatnék annyira magammal, hogy beléd szeressek... Ugyebár, nem bántja szívedet, ha ily őszintén beszélek hozzád, régi jó ismerősömhöz.	"Giá như anh có thể làm mình yêu em - em không phật ý khi anh nói năng thẳng thắn quá như vậy với một người quen lâu năm chứ?"
- Ó, Istenem, dehogy is bántja - mondta Biddy -, sohse bánjad te az én szívemet.	"Ồ không, không đâu!" Biddy nói. "Đừng bận tâm vì em."
- Csak juthatnék annyira magammal, az volna a legjobb nekem.	"Giá như anh có thể làm được điều đó, đấy sẽ là chuyện tốt nhất cho anh."
- De nem is akarsz annyira jutni, látod - mondta Biddy.	"Nhưng anh sẽ không bao giờ có thể, anh biết mà," Biddy nói.
Pedig ezt nem láttam akkor este oly lehetetlennek, mint amilyennek láttam volna, ha néhány órával előbb beszélgetünk róla.	Điều này không đến mức khó thành hiện thực đến vậy với tôi vào tối hôm đó, nhưng hẳn đã là một viễn cảnh mờ mịt hơn nhiều nếu được bàn đến sớm hơn vài giờ.
Megjegyeztem tehát, hogy ez egyáltalában nem oly bizonyos.	Do đó tôi thấy mình không mấy chắc chắn về chủ đề này.
Biddy azonban kijelentette, hogy igenis, az és ezt egészen határozottan mondta.	Nhưng Biddy lại quả quyết là cô biết chắc, và nói về điều đó một cách khẳng định.
Szívem legmélyén úgy éreztem, hogy igaza van; és mégis kissé rossz néven vettem, hogy ennyire meg­győződötten beszél erről.	Trong tim mình, tôi tin cô có lý; dẫu vậy tôi cũng thấy khá phiền lòng khi cô chắc chắn đến thế về chuyện này.
Amint a temetőhöz közeledtünk, egy gátat kellett megmásznunk és aztán egy zsilip közelében a töltésre fölmennünk.	Khi về tới gần nghĩa địa nhà thờ, chúng tôi phải đi qua một bờ đập và leo lên những bậc lên xuống gần một cửa cống.
Ekkor hirtelen elénk ugrott valaki a rekeszték mögül, vagy a bokrok­ból, vagy a mocsárból (ami teljesen megfelelt volna poshatag valójának), elénk ugrott a vén Orlick.	Và ở đó, có thể từ cửa cống, từ dưới nước hay từ đám bùn ngoài cửa biển (kể cũng khá giống với vẻ trì độn uể oải của anh ta), Orlick Già xuất hiện.
- Heles - mondta -, békanyúzó legyek hát, ha nem mék veletek haza!	"À, nếu thế," anh ta nói, "tôi sẽ là đồ khỉ gió nếu không tự đưa cô cậu về nhà!"
Ezt a büntetést, hogy békanyúzó legyen, nagyon szerette emlegetni.	Hình phạt bị biến thành đồ khỉ gió là một thứ lựa chọn mê tín ưa thích của anh ta.
A szónak, amennyire tudom, semmi különösebb jelentőséget nem kívánt adni, de úgy használta, mintha, teszem azt, a keresztneve volna s olyformán igyekezett bosszantani vele az embereket, mintha valami borzalmas sértést vágna az arcukba.	Theo như tôi biết, anh ta chẳng hề gắn nó với một ý nghĩa cụ thể nào, mà sử dụng nó, cũng như cái tên thánh anh ta giả bộ coi là của mình, chỉ để sỉ nhục nhân loại và thể hiện ý tưởng về một thứ hủy hoại tàn tệ.
Harsogó kacagással fogadta ezt a kijelentést, de mégis elmaradt mögöttünk, bár aztán nemsokára némi távolságban utánunk jött.	Anh ta ré lên cười đón nhận câu trả lời, rồi lùi lại, nhưng vẫn thõng vai bám theo sau cách chúng tôi một quãng.
Mivel ösztökélt a kíváncsiság megtudnom, vajjon Biddy nem gyanusítja-e azzal, hogy részese annak a gyilkosszándékú merényletnek, amelyről néném sohasem bírt felvilágosítást adni, megkérdeztem Biddy-től, hogy Orlicket tulajdonképen miért nem szenvedheti?	Tò mò muốn biết liệu Biddy có nghi ngờ anh ta can dự vào vụ hành hung mà chị tôi không bao giờ có khả năng thuật lại nội tình, tôi hỏi vì sao cô không ưa anh ta.
- Ó - válaszolt hátrapillantva vállmentén a nyomunkba cammogó felé -, mert úgy rémlik... mert úgy rémlik, tetszem neki.	"Ô!" cô đáp, ngoái nhìn lại trong khi anh ta vẫn thõng vai bám theo sau chúng tôi, "vì em… em sợ là anh ta thích em."
- Nem - felelt Biddy s újra hátranézett vállmentén -, sohasem mondta; de mindjárt táncolva lejt hozzám, mihelyt szemem elé kerül.	"Chưa" Biddy nói, lại ngoái nhìn đằng sau, "anh ta chưa bao giờ nói vậy với em; nhưng anh ta cứ tán tỉnh em mỗi khi bắt gặp ánh mắt em."
A vonzódás kifejezésének bármennyire új és sajátságos módja volt is ez, mégsem vontam kétségbe, hogy Biddy ezt a viselkedést helyesen magyarázza.	Cho dù hình thức biểu hiện sự gắn bó này có mới mẻ lạ thường thế nào chăng nữa, tôi vẫn không nghi ngờ mảy may độ chính xác của phần giải nghĩa.
Rendkívül megbotránkoztatott, hogy a vén Orlick Biddynek bámulója mert lenni; annyira megbotránkoztatott, mintha saját személyem közvetlen megsértéséről lett volna szó.	Thực sự tôi đã nổi nóng về chuyện Orlick Già dám ngưỡng mộ cô; nổi nóng như thể chính tôi bị xúc phạm vậy.
