ALAIN-FOURNIER	Alain Fournier
- szólt utána a férfi.	- Anh cẩn thận nhớ.
Már-már szólni akart a derék öregnek, hogy legjobb lenne, ha elkísérné.	Môn không dám thú nhận rằng anh đã không theo lối ấy để vào đây.
Nem tudta eldönteni, merjen-e szólni, vagy ne merjen, szinte hintaként lengett a kérdések között.	Anh dùng dằng giây lát trên ngưỡng cửa, vì người suýt lảo đảo vì căng thẳng, nửa muốn nửa không.
Akárcsak idefelé jövet, most is csak lassan és csak üggyel-bajjal igazodott el a fűszőnyegek és víztócsák között, a fűzfák sorfalán keresztül.	Chậm chạp và khó khăn, như lúc đến, anh loay hoay trong cỏ trong cỏ trong nước, qua các hàng cây liễu, cố tìm cho ra chiếc xe mà anh đã để lại ở cối bãi cỏ.
Minden pillanatban azt hitte, hogy ott zörögnek valahol közvetlen közelében a ló szerszámai.	Hàng rào chắn bị hé mở và ngã hẳn ra, như đã có một bánh xe trườn qua.
Most már biztos volt benne, hogy nem lopták el a kancát, csak éppen elkószált valamerre.	Anh kết luận rằng con vật đã đi theo hướng này và anh bắt đầu chạy.
Tehát mégiscsak ebben az irányban szökött el a ló!	Thỉnh thoảng, anh dừng lại lắng nghe, rồi lại chạy.
- villant át rajta a fölfedezés.	Có lúc, anh tưởng nghe tiếng xe lăn.
Egy-egy kanyarban a vaksötétben, nekirohant a sövényeknek s minthogy már nem volt ura az izmainak, nem tudott megállni idejében; valósággal beleesett a tüskés bozótokba.	Anh tin rằng dần dà, mình sẽ về đến những nơi mình vừa rời khỏi, và chả mấy chốc, sẽ nhìn thấy ánh lửa trong ngôi nhà ấm áp mà mình tìm kiếm.
Néha megállt egy-egy pillanatra, belefülelt az éjszakába s aztán futott megint tovább.	Anh đi vào lối đó, mừng vì không phải nhảy qua hàng rào hay bờ dốc ta-luy.
Volt egy olyan pillanata, amikor annyira belenyilallott a fájdalom térdébe - melyet még a kocsi hágcsója sebzett fel -, hogy meg kellett állnia, lábát botként megmerevítve.	Lê đến một ngã ba đường, vì muốn mau về ngôi nhà thảm hại, Môn đi bừa vào một ngả rẽ tưởng sẽ đưa mình đến nơi mà không đắn đo gì.
S azzal is nyugtatgatta magát, hogy egy kocsi mégse tűnhet el úgy szőrén-szálán; valószínűleg valaki közben megtalálta.	Không ngần ngại, chàng học sinh nhảy bừa xuống đồng, cứ nhắm ánh lửa vừa thấy mà tiến.
Halálosan fáradtan, dúlva-fúlva a dühtől és szinte alig vánszorogva bicegett vissza az úton.	Sau khi nhảy qua một hàng rào nữa, anh lại rơi vào một lối mòn mới.
Szélesre taposott ösvény vezetett keresztül a sövényen.	Cửa mở ra dễ dàng với một tiếng kêu "két" dài.
- No, végre itt vagyok, erről az ösvényről beszélt az öreg!	Khi gió thổi bạt mây, trăng hiện ra và lọt vào nhà qua cac khe phèn ngăn.
- gondolta magában Augustin.	Trong nhà nồng nặc mùi mốc.
Boldogan tért rá az átvezető ösvényre, hogy végre nem kell már a sövények, kerítések akadályain átbukdácsolnia.	Không tìm kiếm gì thêm phía trước, Môn ngả lưng trên đám rơm ẩm, hai cùi tay chống đất, hai bàn tay đỡ lấy đầu.
Meaulnes elszántan vágott keresztül a réten, egyenest előre s egy pillanatra sem térült el abból az irányból, ahonnan az imént eléje csillant a fény.	Ánh sáng trong phòng này mượt mà và mềm dịu như một dòng mật ong chậm chảy, đến nỗi anh muốn nếm thử.
Végül, átvetve még egy kerítésen magát, újabb ösvényre bukkant... Így aztán lassankint teljesen áttekinthetetlenek lettek Meaulnes éjszakai bolyongásának nyomai s ezzel az utolsó szál is elszakadt, melynek mentén visszatalált volna oda, ahonnan elindult.	Gần cửa sổ thứ nhất, một cô gái đang khâu, lưng quay ra ngoài, tuồng như đang đợi anh thức dậy... Anh không sao chuồi được xuống giường để bước đi trong căn phòng thần tiên.
Az ajtó csikorogva tárult fel előtte.	Cô biến mất, nào nghe được tiếng anh.
A hold fénye időnként, ha a vadul fújó szél elűzte előle a fellegeket, a rekeszfalak nyílásain át bezuhogott a karámba.	Có lẽ phải ba giờ chiều, anh mới nhận thấy một ngọn tháp nhỏ màu xám hình mũi tên vươn lên bên trên một rừng thông.
Végigvágódott az ázott szalmán, feje alá téve a kezét.	Không rảo bước, anh tiếp tục cuộc hành trình.
Az övét kioldotta s a térdét felhúzva a hasára, összegubódzott, amilyen kicsire csak tudott kabátja alatt.	Đến góc rừng, anh đến trước một lối đi có trồng cây hai bên, anh đi vào lối đó.
Tüstént megpróbálta más irányba terelni a gondolatait.	Gió lạnh thổi khô nẻ môi, lúc lúc lại bạt mất hơi thở.
Egy reggel nem a megszokott szobájában ébredt fel, ahol rövid nadrágját és kabátját este rárakta a székre, hanem azon vette észre magát, hogy ott volt egy hosszúkás, zöld teremben.	Khác gì ngày xưa, hôm trước những ngày lễ lớn mùa hè, anh cảm thấy như ngất đi, khi đêm xuống, người ta trồng thông trong các phố thị trấn, và cửa sổ buồng anh bị cành thông bịt kín.
A falakon olyan volt a tapéta, mintha valódi lombok kúszták volna keresztül-kasul.	"Vui sao - anh tự nhủ - vì mình đi đến cái chuồng bồ câu cũ, nhưng đầy chim cú và gió lùa này..."
Valami édes, csodás fény lebegett szerteszét, az volt az érzése, hogy a szájába csorgathatja s megízlelheti, mint a mézet.	Rồi, giận dữ với chính mình, anh dừng lại, tự hỏi có nên rảo gót đi tiếp đến làng sau hay không.
A legközelebb eső ablaknál egy fiatal lány öltögetett, háttal feléje, mintha arra várt volna csak, hogy felébredjen... Nem volt elég ereje ahhoz, hogy kiugorjék az ágyból és hogy végigcsodálja az elvarázsolt kastély termeit.	Anh cúi đầu ngẫm nghĩ, được một lát thì chợt nhìn thấy lối đi trước anh được quét dọn sạch thành những ô tròn rộng đều đặn, như ở quê anh bà con hay làm để đón lễ hội.
Tizenegyedik fejezet	- anh tự nhủ"
A TITOKZATOS BIRTOK	Đó là tiếng trẻ con.
Amint megvirradt, ismét nekivágott az útnak.	Một tốp trẻ con đi qua ngay sát anh.
A vidék, melyen végigsántikált, különben Sologne legkietlenebb, ember-nem-lakta tája volt.	Chẳng bao giờ người ta cấm Đanien, chẳng hạn, leo lên một con pônây vàng cao lớn.
Egész délelőtt egyetlen élőlénnyel sem találkozott.	Ngay cả con làm chúng ta đau, nếu ta thích...?
Csak egy pásztorlányt látott a messze­ségben.	Tiếng lũ trẻ a dần.
Valahol a látóhatár szélén bukkant fel a nyájával.	Ngay lúc đó, một nhóm khác lại đã đến.
Hiába kurjantott feléje, hiába próbált meg abba az irányba futni - a lány eltűnt, nem hallotta meg hívó szavát.	- Nếu băng tan - tiếng một cô gái nhỏ - ngày mai ta đi tàu thủy.
Kétségbeejtő lassú­sággal vánszorgott csupán... Sehol egy ház, sehol egy lélek.	- Các cậu chẳng biết là buổi lễ được tổ chức theo ý chúng mình sao?
A mocsarakból, a nádasokból egyetlen szalonka hangja sem törte meg a csendet.	- Thế nếu Phrăng cùng vợ sắp cưới về ngay tối nay thì sao?
Délután három óra felé járhatott az idő, amikor egy szürke tornyocskát vett észre, mely egy kis fenyőerdő mögül magaslott fel az égre.	"Nhất định là một đám cưới - Môn Sếu tự nhủ - Nhưng ở đây trẻ con định đoạt à?...
Meaulnes tovább bandukolt, kényelmesen, csöppet sem sietve.	Anh đứng lên, thấy nhóm trẻ cuối cùng đã xa.
Meaulnes elindult a kastély felé.	Ba cô đội ba cái mũ có dải rất xinh.
Alig tett néhány lépést, megtorpant, zavarodottan, megdöbbenve.	Cô nào cũng có một cái lông chim trắng thõng xuống cổ.
Pedig éppoly fáradt léptekkel bicegett tovább, a jeges szél most is cserepesre fújta az ajkát, időnként meg-megszorongatva a torkát.	Phía bên kia, giữa bức tường và các nhà phụ của tòa lâu đài, là một cái sân hẹp dài chất đầy xe cộ, giống như sân một quán trọ vào ngày chợ phiên.
Mégis valami különös megelégedettség járta át, szinte lebegett az örömtől, tökéletes, majdnem részegítő nyugalom szállta meg, bizonyos volt benne, hogy révbe jutott, hogy útjának végére ért; hogy mostantól nincs más dolga, csak a boldogságot várni-remélni.	Xe đủ loại đủ cỡ: xe lớn ghế băng; xe nhỏ bốn chỗ ngồi xinh xắn, càng ghếch lên trời; xe kiểu Bourbon đã lỗi thời với những lan can có đường viền; và ngay cả xe hòm cổ mà kính đã bị gỡ hết.
Éppúgy érezte magát, oly bágyadtnak s aléltnak, mint hajdan, a nagy nyári ünnepek előestéjén, amikor a falucska utcáit fenyőfácskákkal díszítették s amikor a szobája ablaka egyszerre tele volt gallyal és virággal.	Vẫn nấp trong rừng thông vì sợ bị phát hiện, Môn quan sát bãi xe lộn xộn, đột nhiên nhìn thấy một cửa sổ hé mở ở khu nhà phụ, đúng ngay bên trên chỗ ngồi của một cỗ xe to cao có ghế băng, ở đầu kia sân.
Azt latolgatta, nem volna-e helyesebb, ha visszafordulna az útra, melyen előbb-utóbb csak eljutna egy faluba.	Môn đóng cửa lại, phần vì lạnh, phần vì sợ bị bên ngoài nhìn thấy.
Pontosan olyan volt ez az út, mint La Ferté főutcája, Nagyboldogasszony napján, hajnalban!...	Phủ đầy sách cổ bìa mạ vàng, đàn lure cổ đứt dây, chân đèn vứt lung tung.
Por kavargott nyomukban, mintha csak június lett volna.	Cả tòa lâu đài chìm trong im lặng mênh mông.
Meaulnes már nem is csodálkozott többet.	Đôi lúc mới nghe gió lộng cuối năm rên rỉ.
- Talán valamiféle ünnepség van itt, ebben az istenhátamögötti zugban?	Đấy như một kỷ niệm đầy đắm say và luyến tiếc.
- villant át rajta.	- anh nghĩ.
Ment a fasorban tovább.	BUỒNG CỦA OENLINHTÔNG
Az út mentén fiatal fenyőfák sorakoztak, sűrű sorokban - Meaulnes beugrott közéjük s leguggolt.	Một làn ánh sáng nhạt màu lục lam tưới đẫm các tấm ri-đô che góc phòng anh đang nghỉ.
A hangok csengéséből tüstént megállapította, hogy gyerekek lehetnek.	Ai đó đã treo lên khuôn cửa hai cái đèn lồng xanh kiểu Vơnidơ.
- Tudjátok, csak egyetlen dolog nyugtalanít engem igazán - hallotta Meaulnes a leányka hangját -: a lovak, éppenséggel hogy a lovak.	anh lại lui vào chỗ ẩn, đôi giày đóng cá chạm loảng xoảng vào những đồ đồng đã bị gạt vào rìa tường.
Nem fogják tudni megakadályozni Danielt soha, ezt én mondom nektek, értitek?	Tiếng chân lại gần và hai bóng người lướt vào phòng.
- Ez már szentigaz, soha senki nem fogja megakadályozni ebben!	- Hề, thế mà nó kịp thức dậy rồi!
- Mért, talán nem kaptunk mindenre engedélyt?	- Đương nhiên là đã!
- Ha holnapra elolvad a jég - csacsogta egy fiatal lányka -, reggel csónakázni megyünk.	- Dào - tiếng đáp lại, lộ vẻ lười biếng và bỗng nhiên chán nản - Chiếu sáng phía này toàn đồng không mông quạnh phỏng ích gì?
- vetette ellen egy másik lányka.	Ban đêm khách vẫn còn đến.
- Mi lenne?	Im lặng.
Ő is úgy táncolna, ahogy mi fütyülünk!...	- ... Oenlinhtông là người Mỹ hả?
"Esküvő készül itt, ha sejtelmem nem csal - állapította meg Augustin.	Là nhà hài kịch từng chu du đó đây, hẳn cậu phải biết.
- De vajon itt az történik, amit a gyerekek akarnak?...	- Cha cha - nhà "hài kịch" đáp lời - từng chu du?
Meaulnes elő akart bújni a rejtekéből.	Nhưng chẳng thấy gì hết.
Még látta az imént beszélgetőket, alig néhány lépésnyire voltak tőle, amint a fasorban tovakanyarodtak.	Người chỉ huy là một tôn ông hộ pháp đầu trền lút trong một áo choang mênh mông.
Három fiatal lányka, térdig érő, végig-gombos ruhákban.	Y cầm một cây sào dài treo đầy đèn lồng đủ màu sắc sặc sỡ.
Fejükön csinos kis kalap, hosszú szalagokkal megkötve az álluk alatt.	Và đứng bắt chéo chân, y thản nhiên nhìn gã kia làm lụng.
Mind a három lánynak egy-egy fehér toll libegett le róla a nyakába.	Còn nhà hài kịch, thì thân tàn ma dại không tưởng tượng được.
Az egyik csitri, félig a másik felé fordulva, szinte a szájába dugta fülét, úgy hallgatta barátnőjét, aki mutatóujjával hadonászva valami igen fontosat magyarázott neki.	Cao lênh khênh, gầy giơ xương, run cầm cập, mắt lác, màu lục lam, râu mép rủ xuống cái mồm, gã trông như một thằng chết trôi vừa được vớt lên đang còn rỏ nước ròng ròng.
Attól tartott, hogy előbb-utóbb összetalálkozna a le-föl sétáló gyerekekkel a fasorban.	Lời nói và cử chỉ của gã đều để lộ sư khinh bỉ đối với chính mình.
Így hát inkább úgy határozott, hogy a fenyők között lopakodik le a "bagolyvár"-hoz.	Sau một lát tỏ vẻ suy nghĩ vừa đắng cay vừa hài hước, gã lại gần ông kia, dang hai tay ra và thổ lộ.
Azon nem is tűnődött, hogy mit fog mondani, ha odaér.	- Anh có muốn tôi nói cho nghe không...?
Meaulnes visszahúzódott a fenyők mögé, attól tartva, hogy valaki észreveszi.	Gã nói thêm, hết sức tôn kính, với giọng phỉnh phờ như dân buôn ngoài chợ.
Az idő vasfoga azonban elpusztította már őket, régen kibillentette a helyükből.	Nhưng dù sao anh cũng đã được nghỉ ngơi và đầu gối xem chừng đã hết đau.
Nagynehezen vergődött csak át a falon, mert még mindig fájt a térde.	Không hề nghi ngờ gì nữa, Malioô và bạn ông ấy chờ mình".
Egyik kocsiról a másikra kapaszkodva; az egyik szekér bakjáról fölmászott a batár tetejére.	Ra khỏi khuê phòng tối mịt, anh nhìn khá rõ mọi thứ trong căn phòng ánh sáng đèn lồng xanh.
Így egy magasságba került az ablakkal.	Gã tứ chiếng đã "trang hoàng" căn phòng.
Halkan, vigyázva lökte be, akár egy ajtót.	Nhiều áo măng-tô treo trên móc áo.
Azt hitte, hogy egy szénapadláson köt ki, de tévedett.	Trên lò sưởi, mấy ao diêm đặt bên một cây nến to.
Bent félhomály volt, a közelgő téli este félhomálya.	Còn nền nhà thì cát lạo xạo dưới chân.
Annyit azért kivett, hogy az asztalon s a kandalló párkányán, sőt még a karosszékekben is értékes tárgyak, hatalmas vázák sorakoztak s mindenfelé egy sereg régi fegyver hevert.	Một lần nữa, anh có cảm giác đang trong một ngôi nhà từ lâu hoang vắng... Trong khi đi về phía lò sưởi, anh suýt đụng phải một chồng hòm các tông lớn và hộp nhỏ.
Hátul, a helyiség mélyén függöny omlott a földre, valószínűleg egy hálófülkét rejthetett el.	Anh bèn với tay, thắp nến, rồi cúi xuống cạy các nắp hộp lên xem.
Ahogy föllebbentette a függönyt, nagy, alacsony ágyat pillantott meg.	Anh không dám chạm vào bất cứ vật gì, dù là bằng đầu ngón tay.
Belökte valamennyit a fal mellé, egy csomóba, aztán végignyúlt az ágyon.	Không đụng ai cả, anh xuống tận chân cầu thang gỗ ở góc khoảng sân tối om om.
Meaulnes hanyatt fekve, sokáig tűnődött.	Ở đây, tất cả có vẻ cũ kỹ và hoang tàn.
Aztán egyszerre csak mintha valami távoli muzsika foszlányait terelte volna felé a szél.	Mặc dù vậy, mấy căn nhà vẫn đầy đủ vẻ bí ẩn của lễ hội.
Mintha valami bársonyos meleg és fájó, szomorkás emlék ébredt volna föl a szívében.	ánh đèn màu chập chờn trong các phòng thấp hẳn cũng được đốt đèn lồng phía cánh đồng.
Édesanyja jutott az eszébe, mikor még fiatal volt, s azok a rég-eltűnt idők, amikor délutánonként odaült a zongora elé a szalonban, ő pedig az udvaron gubbasztott kint a szalon ajtaja előtt és szótlanul hallgatta-hallgatta ujjai futását a billentyűkön, sokszor késő éjszakáig.	Khi đi qua, chàng chào Môn một cách máy móc, hết sức thân ái, nhưng không dừng chân và biến vào bóng tối, về phía ngôi nhà chính, sừng sững không rõ là lâu đài hay tu viện, mà ngọn tháp nhỏ đã chỉ đường cho chàng học sinh vào đầu buổi chiều.
- "Igen, mintha valaki zongorázna - villant át rajta -, vajon hol, ugyan merre?"	Sau một lát đắn đo, người anh hùng của chúng ta đi theo nhân vật bé nhỏ hấp dẫn kia.
De tovább már nem jutott a gondolataiban, mert olyan fáradt volt, hogy pillanatok alatt elnyomta az álom.	Một cửa ra vào bằng gỗ nặng trình trạch, phía trên tròn xoay và đóng đinh như cửa nhà mục sư, đã mở hé sẵn.
Fázott, a hideg egész a velejéig hatolt.	Cuối hành lang dọc này là một hành lang chéo.
Forgo­lódott-hánykolódott csak az ágyon, fekete iskolakabátja összegyűrődött-összegabalyodott alatta.	Môn phân vân không biết nên đi đến đến cùng hay đẩy một cái cửa ra vào mãi từ đằng sau dội ra tiếng cười nói.
Halvány, kékeszöld fény szűrődött be hozzá, a hálófülke függönyein át.	Đúng lúc đó, anh thấy hai cô bé đuổi nhau ở cuối hành lang.
Föltápászkodott az ágyon s kikandikált a függönyök között.	Anh rón rén chạy đuổi theo hai cô, để nhìn cho rõ.
Az ablak most nyitva volt, s az ablakmélyedésben két zöld lampiont himbált a szél.	Trong một giây, hai cô nghịch ngợm quay tròn quanh mình.
Óvatos léptek közeledtek, s kivehetetlen susmutolás ütötte meg a fülét.	Sau trò xoay chong chóng, rụp một cái, cả hai nhảy vào trong và đóng cửa lại.
A tál hosszan, kitartóan zengett.	Giờ thì anh sợ bị bắt quả tang.
- Vigyázz, csak semmi zajt!	- Sắp ăn chiều chưa?
- suttogta az egyik.	- Môn quả quyết hỏi.
- Ó, itt az ideje már, hogy fölébredjen!	- Đi với chúng em - cậu bé lớn trả lời - chúng em sẽ đưa anh đến đó.
- volt rá a válasz.	- Mày biết chị ấy không?
- Az ő szobáját is feldíszítetted?	- một cậu bé hỏi bạn.
- No persze.	- Các em nói ai vậy?
A nyitott ablakszárnyak ide-oda csapkodtak a szélben.	- Vợ chưa cưới mà anh Phrăng đi tìm ấy ạ...
Hangja álmosan hangzott s váratlanul leverten.	Tức thì anh bắt vào ăn hết sức ngon lành.
- Nem értem, hogy miért kell az ablakokat a vidék felé is kivilágítani, a pusztaság felé, amerre a madár se jár.	Ăn được một thôi, anh mới ngẩng lên nhìn khách khứa và nghe trò chuyện.
Arról az oldalról úgyse látja senki!	Vả lại, khách ăn cũng nói ít thôi.
- Azt mondod, hogy nem látja senki?	Hình như họ ít quen biết nhau.
Távol, ott lent az úton örülni fognak ám, kódorgó kocsiikban, ha megpillantják vezérlő fényeinket!	Trong các khách ăn này, không có người nào mà Môn cảm thấy không tin cậy và dễ chịu khi ở gần.
Egy gyufa sercenése hallatszott a beálló csendben.	Số khách còn lại là thiếu niên và trẻ em.
S aztán ismét az szólalt meg, aki utoljára beszélt.	Tuy nhiên ngay cạnh Môn, hai bà lão nông dân trao đổi:
- A Wellington-szobába zöld lampionokat akasztottál.	- Thôi đi bà, bà đừng làm tôi sôi tiết lên - ba kia đáp hoàn toàn bình tĩnh.
A zöld talán valamifajta amerikai szín?	Môn không bỏ sót một lời.
Te, mert komédiás vagy, bejártad az egész világot.	Đấy là hai điểm mà cuộc bàn cãi đã xác định dứt khoát.
- Hogy bejártam a világot?	- Moanen ơi, bao giờ bà cũng điên như vậy.
No, be ám!	Rõ tội!
De ennyit nem láttam, ni!	- bà cụ trẻ hơn thốt lên.
Megnyugtatlak, te sem láttál volna semmit egy cirkuszkocsiból.	- Còn bà, Aden đáng thương ạ, suốt đời ngang bướng.
Hórihorgas volt és keszeg, reszketeg-kezű, kékeszöld bandzsi szemekkel, foghíjas szája fölé harcsabajusz konyult; olyan volt az arca, mint egy vízbefúlté, akiről patakzik a víz.	Chính anh ấy, trên đường từ Tulông trở về, đã gặp cô một buổi tối trơ trọi giữa một trong những vườn hoa ở Buôcgiơ mà thiên hạ gọi là Các Đầm.
Aztán odacammogott a főnökhöz, széles, színpadias mozdulatokkal széttárva karjait:	Nhưng ông Gale, cha anh và chị gái Yvon nhất quyết không chấp thuận!...
Egyszerűen nem megy a kobakomba, na!...	Nhiều đôi khác theo họ.
A behemót alak, ügyet sem vetve a komédiás szívbéli elkámpicsorodására, egykedvű nemtörő­döm­séggel figyelte, hogy dolgozik a másik.	Rồi chạy ùa vào nhiều toán khách kêu chí chóe, đuổi theo là một anh hề cao lêu đêu, tay áo dài lụng thụng, mũ bonné đen, mặt tái nhợt lại hoác cái mồm móm ra cười.
Még át is kell öltöznünk a vacsorához.	Cánh thanh niên thì siết tay anh.
A világcsavargó összeszedelőzködött s utána indult.	Anh tỏ ý muốn mua vui cho đám trẻ con vừa la ó vừa bám theo sau.
A hálófülke előtt azonban megállt egy pillanatra:	Trên đường, anh nhìn Môn bằng đôi mắt đùng đục.
S aztán még hozzátette, megint csak mélyen meghajolva, mintha éppen egy vásári bódé előtt lépne fel, mint csepűrágó:	Đau đó, nổi lên tiếng nhạc điệu nhảy mơnayê... Đầu khuất một nửa trong cổ áo măng-tô, Môn cảm thấy như mình là ai khác.
- Maloyau barátunk, aki most éppen a konyhában buzgólkodik, alkalmat kerít arra, hogy bemutassa uraságodnak a fenomenális Arlequint és az Ön szolgáját, a nagy Pierrot-t!	Cũng bị niềm hân hoan chung lôi cuốn, anh bắt đầu đi theo anh hề qua các hành làng lâu đài, khác nào kịch câm từ hậu trường sân khấu lan ra khắp nơi.
Szerényen meghúzom magam, mint egy olyan vendég, akinek senki sem emlék­szik már a nevére.	Anh vào một căn phòng lặng lẽ, đấy là một phòng ăn chiếu sáng bởi một ngọn đèn treo.
Különben is engem igazán nem lehet azzal vádolni, hogy betolakodtam ide.	Ở đây vẫn là hội, nhưng hội cho các em thơ bé nhất.
Ahogy kibújt a vaksötét hálófülkéből, egész jól eligazodott a szobában, melyet most meg­világítottak a zöld lampionok.	ổ nữa ngồi gần lò sưởi, chẳng làm gì, chẳng nói gì, nhưng lắng nghe tiếng hội vọng về từ xa trong lâu đài.
A világcsavargó "rakta föl" valamennyit.	Một cửa ra vào của phòng ăn này mở toang.
A fogason köpönyegek lógtak.	Môn nghểnh cổ một cách tò mò.
Egy otromba öltöző­asztalon, melynek márványa rég lecsorbult, különféle holmik hevertek.	Đấy là một kiểu phòng khách nhỏ kiêm phòng giao dịch công việc.
Mert különben hogy tudta volna magát piperkőccé varázsolni egy olyan kölyök, aki az elmúlt éjjel még egy elhagyott juhakolban aludt a szalmán?	Trên chiếc đi-văng ngay bên cạnh, sáu bảy bé gái và bé trai, ngồi ngay ngắn như trong tranh, ngoan ngoãn như thói quen của trẻ khi đã khuya, đang lắng nghe chăm chú.
A kandallón a nagy gyertyatartó mellett gyufát talált.	Tức thì, một trong số các em đã xem xong ảnh thay vào...
Rég letűnt korok fiatalemberei hordtak valaha ilyen ruhákat; magas bársonygallérú szalon­kabátok, mélyen kivágott finom mellények, végeláthatatlan hosszúságú kravátlik, a század elején divatos lakkcipők hevertek a skatulyákban.	Anh có thể mường tượng rất lâu rằng anh đang ngồi trong ngôi nhà của chính anh, một tối đẹp trời, là chồng hẳn hoi, và con người dễ thương và xa lạ đang chơi piano kia, sát bên cạnh kia, chính là vợ anh...
Dideregve, fogvacogva mosdott meg, s aztán iskoláskabátja fölé kanyarította az egyik köpenyt.	Sáng hôm sau, Môn là một trong những người sẵn sàng đầu tiên.
Nesztelenül ért le a falépcső aljára, mely a sötét udvarnak egy rejtett zugára nyílott.	Đi vài bước, anh bỗng cảm thấy bồi hồi như đang ngày xuân.
S mégis, valamennyi épületből szinte sugárzott az ünnepi hangulat.	Nhưng anh cứ dạo bước mãi, chỉ có một mình, qua sân vườn.
A rétekre, mezőkre néző ablakokban is égő lampionok himbálództak.	Tuy thế, người ta đã mở hai cánh cửa cái ra vào bằng gỗ tròn xoay ở phía trên.
Látszott, hogy a földet fölseperték s az elburjánzott gyomokat mind kiszaggatták a földből.	Trong một cửa sổ trên cao, đã nhấp nháy những chùm tia nắng đầu tiên như trong mùa hè.
A hang onnan jött az összevissza gabalyodott épületek felől, ahol az ablakok rózsaszín, zöldes és kék nyílásai előtt táncoltak az ágak a szélben.	Vết tích của một bức tường phân cách khu vườn xơ xác với những khoảng sân vừa đổ cát và san phẳng chưa bao lâu.
Itt állt Meaulnes, hatalmas köpenyébe burkolózva, mint egy vadász, félig előrehajolva s fülét hegyezve.	Cuối khu nhà phụ mà anh từng trú ngụ, là chuồng gia súc xây lộn xộn một cách tức cười.
Lábujjhegyen járt, s mintha a nadrágja aljában rugó volna, hihetetlenül szaporán rakta a lábait.	Gần bờ vẫn còn một chút băng chưa tan, mỏng manh và gợn lăn tăn như bọt.
Ahogy Meaulnes-nal találkozott, anélkül, hogy megállt volna, gépiesen köszöntötte, földig hajolva és máris elnyelte a sötét.	Anh thấy mình trong nước, như nghiêng xuống bầu trời, trong bộ trang phục sinh viên lãng mạn.
Egy pillanatig tanácstalan volt hősünk, de aztán azonnal a furcsa kis alak nyomába szegődött.	Ở gian lớn mà anh đã ăn tối qua, một chị nông dân đã thay bộ đồ ăn.
A nehéz faajtó, melynek félkör alakúra faragták a tetejét és szögekkel verték ki végig, akárcsak a parókiák kapuit, nem volt egészen betéve.	Môn vừa ngồi xuống trước một trong những chiếc chén xếp thẳng hàng trên khăn bàn, chị liền rót cà phê cho anh và bảo:
Az ifjú gavallér eltűnt mögötte.	- Thưa ông, ông là người thứ nhất.
A folyosó egy keresztfolyosóba torkollott.	- Không trước nửa giờ nữa, thưa ông.
Eltökélt szándéka, hogy mielőbb kijusson a házból, amikor a folyosó mélyén újra léptek hangzanak fel és csacsogó gyerekhangok.	Hai người dừng lại một lát ngắm phong cảnh, trong lúc Môn tự nhủ với sự kinh ngạc về sau anh mới thấy là lố bịch:
- Gyere csak velünk - mondja a nagyobbik fiú -, majd elkalauzolunk.	Nhưng mãi mãi chẳng có cô nào là cô gái cao thon.
Bizalom van bennük, barátkozási vágy, mint minden gyerekben, nagy ünnepek előestéjén; - s kézen fogják Meaulnes-t. Valószínűleg két kis parasztkölyökbe botlott.	Môn kịp nhận thấy dưới bộ tóc dày vàng hoe một bộ mặt hơi ngắn, nhưng các đường nét được vẽ ra với sự tinh tế gần nhu đau khổ.
- Te ismered már azt a lányt?	- Chắc tàu đến ngay giờ chứ ạ?...
- szólalt meg az egyik gyerek.	Và Môn đi theo liền.
- Kiről beszéltek?	- Ông là ai?
- kíváncsiskodott Meaulnes.	Ông làm gì nơi này?
Tizennegyedik fejezet	Ôi, buổi sáng tuyệt kỳ!
KÜLÖNÖS ÜNNEPSÉG	Niềm vui thú kỳ diệu!
Afféle evészet-ivászatra gyűltek itt össze, amilyeneket a falusi lakodalmak előestéjén csapnak a messziről odadöcögő rokonoknak.	Các bà các cô quấn quanh cổ những chiếc khăn bằng lông chim như những con trăn vốn là mốt lúc bấy giờ.
Meaulnes, merészen, mintha ez volna a legtermészetesebb dolog a világon, átlépett egy padon.	Anh tì cùi tay lên cây cầu, một tay giữ chiếc mũ chực bay đi theo gió lộng.
Meaulnes-nak az volt az érzése, hogy ezek az emberek nem nagyon ismerik egymást.	Tưởng như sắp cặp thuyền vào một khu vươn nông thôn nào đó.
Voltak, akik idevalósiak lehettek, a környékre, s mások meg biztosan távoli városokból jöttek.	Thiếu nữ sẽ bước lên, giương chiếc ô trắng che mình và đi dạo.
Az asztalok mellett itt-ott egy-egy öreg apóra lett figyelmes Meaulnes, akik pofaszakállat viseltek, s látott még néhány más aggastyánt is, tükörsimára borotvált állal, olyanok voltak, mint a kiszolgált tengerészek.	Cho đến chiều, sẽ nghe chim cu gáy hoài bốn bên như than thở... Nhưng đột nhiên, một cơn gió lạnh ào ạt thổi về, nhắc du khách của ngày hội kỳ lạ này rằng bây giờ đang là tháng 12.
Meaulnes valamennyi vendéggel egyformán jól érezte magát; egy sem akadt közöttük, aki bizalmatlanságot ébresztett volna fel benne.	Anh đã được ngắm nhìn khuôn mặt trông nghiêng vô cùng trong trắng của cô, bằng cả hai mắt của mình, cho đến luc nước mắt sắp trào ra.
Ilyesfajta derék emberkékből tevődött össze a vendégsereg egy része ott a teremben.	Anh cũng nhớ nhìn thấy, như một bí mật ngọt ngào, rằng cô đã gởi lại một chút phấn trên má anh.
