A nap lenyugodni készült a nyugati láthatáron kirajzolódó dombok mögött.	Mặt trời sắp lặn đằng sau những quả đồi phía tây.
Erre pedig nem kellett soká várni, néhány órán belül tetőznie kellett a dagálynak.	Nếu kéo không kịp, sóng biển sẽ tràn vào tàu và chỉ vài giờ sau là tàu sẽ đầy bụng nước.
- Lehet, hogy nem sérült meg komolyan, s nem telik meg vízzel...	Có thể đáy thuyền không hư hại gì và nước không chui vào được.
- Hát ezt hamarosan megtudjuk - felelte Carcante -, mivel a tengerszint már emelkedik. S aztán mit csinálunk, Kongre?	- Điều ấy sẽ biết ngay thôi - Carcante đáp - bởi vì nước triều đang lên; nhưng sau đó ta làm gì?
- Kijuttatjuk a Maule-t a sziklazátonyok közül, és a fok mentén a Pingvin-öbölbe kormá­nyozzuk, a barlangok elé.	- Sẽ kéo tàu ra khỏi nơi mắc cạn và dắt nó về vịnh Pingouins, ngay trước cửa các hang chứa đồ.
Ott nem fog megfenekleni még apálykor sem, hiszen csak hat láb a merülése.	Chỗ đó không sợ đáy tàu chạm đất vì nước sâu.
- S aztán?	- Rồi sau đó?
- kérdezte Carcante.	- Carcante hỏi.
- Aztán a fedélzetre hordjuk mindazt, amit az Elgor-öbölből szállítottunk ide...	- Sau đó chúng ta khuân xuống thuyền tất cả những gì ta có.
- És utána?...	- Tiếp theo?
- kérdezte Carcante.	- Carcante hỏi dồn.
- Majd meglátjuk - felelte Kongre.	- Đến đấy rồi tính tiếp - Kongre đáp.
Munkához láttak, hogy ne késsék le a következő dagályt, hisz ellenkező esetben a kétárbocos vízrebocsátása tizenkét órát késett volna.	Cả bọn bắt tay vào công việc, sao cho không bỏ lỡ đợt triều sắp tới, nếu bỏ lỡ thì lại mất thêm mười hai tiếng đồng hồ nữa.
Ott nem fenyegetné az apály, és viszonylagos biztonságban lehetne, ha az idő nem fordul rosszra.	Ở đó, thuyền sẽ nổi và tương đối an toàn nếu thời tiết như thế này.
Kongre mindenekelőtt leemelte az emberei segítségével a vasmacskát a jobb oldali daruról, majd, teljes hosszában kifeszítve a láncot, a homokpadon kívül horgonyozta le.	Trước tiên, Kongre với sự trợ giúp của đồng bọn, tìm cách kéo neo lên, sau đó kéo dài hết dây neo và buông neo ngoài bãi cát.
Ily módon, mihelyt a tőke felemelkedik a homokpadról, a hajót el lehet húzatni egészen a mélyvízig.	Bằng cách ấy, khi đuôi tàu không còn chạm cát nữa thì có thể bắt đầu lai dắt tàu đến chỗ nước sâu.
Mielőtt a dagály visszahúzódna, elég idő marad, hogy elérjék az öblöt, és a délután folyamán tüzetesen átnézzék a rakteret.	Trước khi nước triều xuống thấp là đã có thể đưa tàu vào vịnh và ngay chiều nay cả bọn sẽ kiểm tra kỹ hầm tàu.
A homokpad pillanatok alatt víz alá került.	Bãi cát sắp được nước phủ kín.
Kongre, Carcante és vagy hat társuk hajóra is szállt, míg a többiek visszatértek a sziklafal tövébe.	Và cứ thế Kongre, Carcante cùng sáu tên trong băng cướp leo lên tàu còn các tên khác thì đi về phía vách đá dựng đứng.
Mivel a hajó kis híján az állóvízben vesztegelt, előfordulhatott, hogy - ha tovább sodródik a part felé, akár csak egy fél kötélhosszal -, a tenger nem emelheti meg eléggé ahhoz, hogy kiszabaduljon fogságából.	Bởi vì gió biển thường thổi dậy lúc nước triều lên, đấy là điều đáng sợ nhất, bởi vì gió có thể đẩy con thuyền về phía bờ và làm tàu lún sâu vào cát.
Úgy tűnt azonban, hogy a körülmények kedveznek Kongre tervének.	Có vẻ như tình hình đang thuận lợi cho kế hoạch của Kongre.
Az erősödő szél a déli oldalt fújta, s ez a Maule szabadulását segítette elő.	Gió biển đã chuyển hướng một chút về phía nam, giúp cho chiếc thuyền buồm Maule mau chóng ra khỏi nơi mắc cạn.
Kongre és a többiek a hajó orrában maradtak, mert annak előbb kellett vízre kerülnie, mint a tatnak.	Kongre và những tên khác nắm chắc phía mũi tàu vì phía đó sẽ nổi lên trước phía lái.
Ha a kétárbocos el tud fordulni a hajótősarkon - ahogy joggal remélték -, akkor már csak a horgonyemelő csörlőt kellene forgatni, hogy az orrtőke a nyílt tenger felé forduljon, s ekkor, százölnyi hosszú lánca segítségével visszajuthat természetes közegébe.	Không phải không có lý do để người ta hy vọng rằng con tàu có thể xoay ngay ra, lúc đó dùng dây cáp kéo mũi nó ra khoảng một trăm sải dây, là nó sẽ nổi lên theo tư thế tự nhiên.
Eközben a tengerszint lassacskán emelkedett.	Lúc này, nước biển dâng lên chầm chậm.
Az ár nyugodt tömegben nyomult előre, egyetlen bukóhullám sem törte meg a vízfelület simaságát.	Nước biển trải ra thành những làn sóng dài và không ngọn sóng nào vỡ ra ở ngoài khơi.
Kedvezőbb körülményeket kívánni sem lehetett volna.	Thật không còn gì may mắn hơn cho cả bọn.
Ha Kongre számára biztosnak tűnt is az, hogy sikerül kiszabadítania és a Franklin-öbölben biztonságba helyeznie a kétárbocost, egy lehetőség mégis nyugtalanította.	Nhưng, nếu như Kongre lúc này tự cho là đã chắc chắn có thể đưa chiếc tàu vào nơi neo đậu an toàn trong vịnh Franklin, thì vẫn còn một điều làm hắn lo ngại.
Vajon nem tört-e be a Maule törzsének bal oldala, az, amelyik a homokpadon feküdt, s amelyiket nem tudtak szemügyre venni?	Thân tàu đè lên bãi cát ở mạn trái, cho nên cho đến bây giờ vẫn chưa thể quan sát chỗ đó xem nó có bị hư hại gì không?
Nem csoda, hogy Kongre és társai türelmetlenül figyelték a dagály emelkedését.	Do đó, ta dễ hiểu được nỗi sốt ruột mà Kongre và đồng bọn phải chịu đựng trong khi theo dõi nước triều lên!
Ha a burkolat valahol sérült, vagy ha baj lenne a tömítéssel, akkor a víz hamar betör a raktérbe, és a Maule fel sem bír egyenesedni.	Nếu vỏ tàu bị hư hại hoặc vài chỗ bị bung ra, nước sẽ tràn vào khoang thuyền ngay và chiếc Maule sẽ không còn đứng được nữa.
A vízszint egyre emelkedett a hajó két oldalán, de a víz nem hatolt a goelett belsejébe.	Nước trải dài dọc theo thân tàu mà không hề tràn vào trong.
- Nincs lék!...	- Không có lỗ rò nào!...
- kiáltott fel Carcante.	- Carcante reo to lên.
- Figyelni a kötéldobra!	- Hãy chú ý tới bàn tời đứng!
- parancsolta Kongre.	- Kongre ra lệnh.
A forgattyúk készen álltak.	Các tay quay đã sẵn sàng.
Az emberek csak a művelet megkezdését jelző parancsra vártak.	Mọi người chỉ còn đợi lệnh để thao tác phần mình.
Az orrtőke lassan megmozdult, és a hajótő eleje már nem ért feneket.	Mũi tàu từ từ nhô lên cho biết phần trước của sống tàu không chạm đáy.
De a fartőke még mindig a homokba volt fúródva, és a kormánylapát akadt.	Nhưng phía lái tàu còn chìm trong cát và bánh lái vẫn chưa động đậy được.
Körülbelül fél óra hiányozhatott ahhoz, hogy a hátsó rész is szabaddá váljék.	Cần phải nửa tiếng đồng hồ nữa đuôi tàu mới hoàn toàn nổi lên.
Kongre ekkor meg akarta gyorsítani a manővert, és a hajó orrában maradva elkiáltotta magát:	Kongre lúc này rất muốn công việc trục tàu được hoàn tất sớm nên hắn đứng ở phía mũi tàu mà hét to:
- Fordulás!	- Kéo neo lên!
A forgattyúkat oly hirtelen tekerték meg, hogy a lánc ugyan megfeszült, de az orrtőke nem fordult a nyílt tenger felé.	Các tay quay mặc dầu đã được toàn thể xúm vào quay cũng chỉ làm dây neo căng ra, mũi tàu vẫn chưa chịu quay đầu ra phía biển.
- Tarts ki!	- Giữ cho chắc!
- kiáltotta Kongre.	- Kongre hét lên.
Tartani lehetett tőle, hogy felszakad a horgony, s akkor nehéz lett volna újból leereszteni.	Chúng lo rằng neo sẽ trượt đi và sẽ rất khó khăn khi thả nó xuống.
Remélni lehetett, hogy a Maule nem sínylette meg sem a zátonyra futást, sem azt a tizenkét órát, melyet a homokpadon töltött.	Chúng có quyền hy vọng là chiếc thuyền buồm Maule đã không bị hư hại gì lúc sóng thuyền va vào cát và cả trong nửa ngày ngâm trong nước.
Ilyen körülmények között nem sokáig kell majd a Pingvin-öbölben időznie.	Với tình hình thế này thì việc neo tàu trên vịnh Pingouins sẽ không còn lâu nữa.
Különben is ki kellett használniuk az időjárást.	Tuy nhiên, phải biết lợi dụng thời tiết.
A szélirány kedvező volt, akár a Le Maire-szoroson készültek áthaladni, akár az Államok-sziget déli partja mentén az Atlanti-óceánra eljutni.	Gió sẽ thuận lợi cho chiếc thuyền buồm Maule nếu nó muốn qua eo biển Lemaire, hoặc khi nó men theo bờ nam của đảo Đa Quốc gia để ra Đại Tây dương.
Csakugyan, valamivel fél kilenc után a hátsó rész is emelkedni kezdett.	Thực vậy vào lúc hơn tám giờ rưỡi một chút, phía sau lái, tàu bắt đầu nổi lên.
A Maule a sérülés kockázata nélkül fordult meg a gerinc hátsó része körül a homokpadon, hiszen a tenger nyugodt volt.	Chiếc thuyền buồm Maule đã chạm đáy mà không một chút hư hại trên mặt biển lặng như lúc này.
A vasmacska kitartott.	Chiếc neo đã bám tốt.
Ágai biztosan kapaszkodtak meg egy sziklarésben, és inkább kitörtek volna, mintsem engedjenek a kötéldob húzóerejének.	Các cánh neo đã ăn rất chắc vào một khe đá và không hề tuột đi dưới sức kéo của bàn tời đứng.
- Rajta, fiúk!	- Nào, mạnh tay lên chúng mày!
- kiáltotta Kongre.	- Kongre hét.
S mindenki, még Carcante is, nekifeszült a forgattyúknak, miközben Kongre a tat oromzatán kihajolva figyelte a goelett hátulját.	Và tất cả mọi người cùng bắt tay vào kéo, kể cả Carcante trong khi Kongre đứng quan sát phần lái của tàu.
Néhány pillanatnyi bizonytalanság: a gerinc hátulsó fele még mindig súrolta a homokot.	Đã có những lúc mọi công việc như chững lại vì nửa sau của đáy tàu vẫn chạm vào bờ cát.
Nem csoda, hogy Kongrét és a többieket elfogta az aggodalom.	Vì vậy Kongre và đồng bọn không khỏi cảm thấy lo lắng.
Márpedig a dagály tetőzési szintje két napon keresztül csak csökkenni fog, s csak negyvennyolc óra múlva emelkedik ismét.	Và, trong hai ngày nữa, mực nước triều sẽ giảm đi vì nó chỉ lên lại mức cũ sau bốn mươi tám giờ.
Elérkezett az utolsó erőfeszítés ideje.	Đã đến lúc phải tung ra nỗ lực cuối cùng.
Itt van a lábuk alatt a vágyva vágyott hajó, amely a szabadságot és talán a büntetlenséget is jelenti számukra, és ők nem tudják leszakítani erről a homokpadról...	Có được trong tay con tàu mơ ước bấy lâu nay, con tàu có thể mang lại tự do, mang lại an toàn cho cả bọn mà lại không thể nào kéo nó ra khỏi bãi cát!...
Micsoda szitkok, milyen káromkodások röpködtek - miközben a kötéldobnál lihegtek -, s majd megvesztek félelmükben, hogy eltörik vagy felszakad a horgony!	Và rồi những tiếng chửi thề, tiếng nguyền rủa vang lên trong lúc bọn chúng thở hồng hộc bên chiếc bàn tời đứng với nỗi lo sợ dây neo bị đứt hay trượt đi!
Akkor meg kellene várniuk az esti dagályt, hogy újra kivessék ezt a horgonyt meg egy másikat is.	Rồi lại còn phải chờ đến tối mới được thả neo lần nữa.
De nem válik-e szilajabbá a tenger, nem végzi-e be a hullámverés azt, amit előző éjjel a zátonyra futás kezdett meg?	Nhưng liệu biển có trở nên dữ dội hơn, liệu sóng lừng có làm nốt công việc mà nó đã bắt đầu từ đêm trước không?
Ráadásul bármilyen gyengén fúj is ez az északkeleti szél, nem könnyíti éppen meg a hajózást a szorosban.	Rồi những làn gió đông bắc, ngay cả khi chưa đủ mạnh, cũng không hề thuận lợi cho việc đi lại trong eo biển chút nào.
Ahelyett, hogy hátszéllel suhanna, a Maule talán több napig is kénytelen lesz szorosan félszéllel járni, és a hajózásban a késedelem bármikor súlyos következményekkel járhat.	Thay vì giúp cho chiếc thuyền Maule căng buồm lên mà lướt sóng, nó sẽ làm thuyền phải ì ạch nhích từng bước trong nhiều ngày, và ai đã từng quen đi biển đều rõ rằng hậu quả của sự chậm trễ ở đây luôn luôn là nghiêm trọng.
Csak néhány szirt csúcsa meredt elő.	Toàn thể bãi cát đã ngập.
A Szent Bertalan-fokról már nem is lehetett látni a földnyelvet.	Chỉ còn lại vài mỏm đá để lộ đầu ra trên mặt nước.
Nyilvánvaló volt, hogy a tenger hamarosan elkezd visszavonulni, és a sziklák ismét láthatóvá válnak a homokpad környékén.	Rõ ràng là nước biển bắt đầu rút từ từ và xung quanh bãi cát, các mỏm đá bắt đầu lộ ra.
A halálra fáradt, kifulladt emberek már fel akarták adni a reménytelen vállalkozást.	Những con người đã làm cật lực sắp phải bỏ dở công việc không dẫn tới đâu cả.
Kongre vérben forgó szemmel, dühtől habzó szájjal rohant oda hozzájuk.	Kongre chạy đến, mắt long lanh giận dữ, bọt mép sùi ra.
Felkapott egy baltát, és azzal fenyegetőzött, hogy leüti azt, aki elhagyja a helyét; s mindenki tudta, hogy habozás nélkül megtenné.	Tay cầm búa, hắn đe dọa ai bỏ công việc sẽ bị trừng phạt tức thì và ai cũng hiểu là hắn dám làm việc đó lắm.
A kormányrúd mozgatható lett, vagyis a lapát fokozatosan kezdett kisza­badulni a homokból.	Thanh điều khiển bánh lái bắt đầu động đậy chứng tỏ nó đang thoát khỏi bãi cát.
- Hurrá!...	- Hoan hô!
Hurrá!	Hoan hô!
- kiáltottak az emberek, érezvén, hogy a Maule kiszabadult.	Đoàn người cùng reo lên khi thấy chiếc tàu xê dịch.
A hajótősarok kicsúszott a hajótest vájta mélyedésből.	Đuôi tàu vừa mới ra khỏi vết mắc cạn.
A kötéldob forgása felgyorsult, s a horgonya által vontatott kétárbocos pár másodperc alatt a homokpadon kívül ringott a vízen.	Bàn tời đứng quay nhanh hơn và chỉ trong vài phút nữa chiếc tàu được dây neo kéo, sẽ nổi hẳn lên trên mặt nước.
Kongre azonnal a kormánykerékhez rohant.	Ngay tức thì, Kongre chạy nhanh đến bánh xe lái tàu.
A lánc meglazult, a felszakadt horgonyt felcsör­lőzték.	Dây neo chùng xuống, chiếc mỏ neo được ke`o lên giá đỡ.
Már csak a zátonyok közti átjárón kellett végighajózni, hogy eljussanak a Franklin-öbölbe.	Bây giờ chỉ còn việc dắt nó đi len giữa các mô đá để đến vũng tàu trong vịnh Franklin.
Kongre ekkor felhúzatta a nagy orrvitorlát, ennél többre nem volt szükség.	Kongre cho kéo ngay cánh buồm lớn sát mũi lên, và thế là đủ.
A tenger ekkori állapotában mindenütt elég mély volt a víz.	Với tình hình biển như hiện nay, chỗ nào cũng có nước.
Fél óra múlva, miután megkerülte a partszakasz utolsó szikláit is, a kétárbocos lehorgonyzott a Pingvin-öbölben, két mérföldre a Szent Bertalan-fok csúcsától.	Nửa giờ sau, khi đã vượt qua những mỏm đá cuối cùng ven biển, chiếc thuyền buồm đã được neo đậu vững vàng trong vũng tàu Pingouins cách mũi Saint – Barthélemy hai hải lý.
Az Elgor-öbölben	TRÊN VỊNH ELGOR
A vontatási hadművelet tehát fényesen sikerült, de még korántsem oldódott meg minden.	Như vậy là công việc trục chiếc tàu mắc cạn đã thành công mỹ mãn.
Túlságosan ki volt téve itt a nyílt tengeri hullámverésnek és az északnyugati szélviharoknak.	Hiện giờ nó phơi bày quá nhiều trước những cơn sóng lừng và trước gió bão đến từ hướng tây bắc.
A napéjegyenlőség nagy dagályai idején huszonnégy órát sem horgonyozhatott volna ezen a helyen.	Vào những kỳ nước triều lớn lúc thu phân, nó không thể nào đứng vững trong vịnh quá hai mươi bốn giờ.
Kongre jól tudta ezt, ezért az volt a szándéka, hogy kifut a tengerre, s az apályt kihasználva elindul a Le Maire-szoroson fölfelé.	Vì vậy, hắn định sẽ rời vũng đậu ngay kỳ triều ngày mai để đưa tàu ngược lên phía eo biển Lemaire.
Előtte azonban elengedhetetlen volt, hogy tüzetesen átvizsgálják a hajót, s belülről is ellen­őrizzék a hajótest állapotát.	Trước đây, hắn thầy cần thiết phải kiểm tra bên trong tàu và phía vỏ tàu bên ngoài.
Bár abban biztosak lehettek, hogy nem szivárog be a víz, elképzelhető volt, hogy ha nem is a hajóváz, de a bordázat megsérülhetett a zátonyra futáskor, s hogy el kellene végezni néhány javítást a rájuk váró hosszú út előtt.	Mặc dù đã có được một kết luận ban đầu là tàu không chỗ nào rò rỉ, tuy nhiên cũng có thể phần lòng tàu hay ít nhất bộ rẽ sườn của nó đã bị hư hại vì mắc cạn; và như vậy cần phải sửa chữa lại vì trước mặt là một chuyến vượt biển khá dài.
Kongre azonnal munkába állította embereit, akik odébbrakodták a ballasztot, amely egészen a bal és jobb oldali bordapántokig betöltötte a rakteret.	Kongre ra lệnh cho mọi người bắt tay vào công việc ngay, trước tiên là phải dỡ bỏ ngay các vật dằn là đống sắt vụn chất đầy lòng tàu.
Először is a nehezéket alkotó ócskavasat a raktér elülső részéből a hátulsó felébe vitték, hogy megvizsgálhassák az egész elülső burkolatot.	Đống sắt vụn dùng làm vật dằn sẽ được chuyển từ mũi tàu ra phía lái để có thể kiểm tra bộ ván lót rẽ sườn của tàu.
Ezt az aprólékos vizsgálatot Kongre és Carcante végezte el egy Vargas nevű chilei segítsé­gével, aki egykor hajóácsként dolgozott Valparaisóban, és ismerte a szakma minden csínját-bínját.	Công việc kiểm tra này được thực hiện một cách cẩn thận bởi Kongre, Carcante và một tên thợ mộc người Chilé tên là Vargas, tên này trước đây đã làm việc trong một xưởng đóng tàu ở Valparaiso và tỏ ra rất am hiểu công việc.
Az orrtőke és az előárbocfészek között sehol sem leltek károsodást.	Trong phần nằm giữa sống mũi tàu và bệ cột buồm mũi, không có lực hại nào.
Miután visszacipelték a nehezéket a hajó elejébe, a hajótörzs hátsó fertályát is rendben találták az előárboctól a főárbocig.	Khi các vật dằn được đẩy về phía trước, thì vỏ tàu từ buồm lớn đến buồm mũi hiện ra còn nguyên vẹn.
A fedélzetoszlopok nem is hajlottak meg, nem is lazultak meg, s a középső feljáróhoz vezető létra sem mozdult el a helyéről.	Những cột chống cũng không bị cong và chiếc thang dùng để leo từ dưới hầm tàu lên boong cũng không suy suyển.
Lék ugyan nem keletkezett, de a bal oldali bordázat másfél méteres szakaszon beszakadt.	Tuy không có lỗ rò nhưng rẽ sườn trái của tàu bị một vết lõm dài hơn một mét.
Ezt a sérülést egy sziklával való összeütközés okozhatta, még mielőtt a hajó megfeneklett volna a homokpadon.	Vết lõm này có thể là hậu quả của sự va chạm giữa một mỏm đá và vỏ tàu va chạm này đã làm tàu mắc cạn trên bãi cát.
Mindenképpen ki kellett javítaniuk, mielőtt tengerre szállnak, mert a jármű így legfeljebb csak egy rövid, nyugodt időben megtett átkelésre lett volna alkalmas.	Tàu cần được sửa chữa trước khi ra khơi, trừ phi nếu là một cuộc vượt biển ngắn, vào thời gian trời yên biển lặng thì không kể.
Ez a javítás egyébként egy hétig is eltarthatott, feltéve, ha rendelkeznek a szükséges anyagokkal és szerszámokkal.	Việc sửa chữa này có thể đòi hỏi cả tuần lễ ngay trong điều kiện có đủ vật liệu và dụng cụ cần thiết.
Mikor Kongre és társai látták, mihez kell tartaniuk magukat, a körülményeket tekintve indokolt szitokáradat lépett a vízre tételt ünneplő hurrá-hangulat helyébe.	Khi Kongre và đồng bọn hiểu ra tàu cần sửa chữa những gì thì nỗi thất vọng đã thay thế những tiếng hoan hô.
Használhatatlannak bizonyul tehát a kétárbocos?...	Liệu con tàu Maule có còn sử dụng được nữa không?
Kongre szólt közbe:	Kongre bèn lên tiếng:
- Hol?	- Sửa ở đâu?
- kérdezte az egyik chilei, nem is leplezve aggodalmát.	- Một tên người Chilé hỏi với vẻ lo lắng.
- Mindenesetre nem itt - jelentette ki egyik társa.	- Dù sao cũng không sửa ở đây được - Một tên khác phụ họa theo.
- Nem - felelte Kongre határozottan.	- Không làm ở đây - Kongre nói với vẻ cương quyết – Ta sẽ đưa tàu về vịnh Elgor.
Csak a sziget partjai mentén kell haladnia, akár északi, akár déli irányban.	Chỉ việc cho tàu men dọc theo bờ biển, hoặc theo phía nam, hoặc theo phía bắc.
Abban a barlangban, ahová a roncsokról származó zsákmányt rejtették, a hajóácsnak rendelkezésére állnak a javításhoz szükséges szerszámok és a faanyag.	Trong hang chứa các kiện hàng bắt được, thợ mộc của chúng ta có đủ dụng cụ để làm công việc sửa chữa.
Az enyhe évszak végéig még két hónap van hátra, és Kongre meg társai így legalább olyan hajó fedélzetén hagynák el az Államok-szigetet, amely a károk helyre­állítása után teljes biztonságot nyújt.	Mùa đẹp trời cón kéo dài tới hai tháng nữa và khi chúng ta rời khỏi đảo Đa Quốc gia thì phải đi trên một chiếc tàu đã được sửa chữa xong mà hoàn toàn không còn lo ngại gì nữa.
Kongrénak amúgy is az volt a szándéka, hogy miután elhagyták a Szent Bertalan-fokot, töltsenek egy kis időt az Elgor-öbölben.	Vả lại Kongre luôn giữ ý định, sau khi rời mũi Saint - Barthélemy, toàn băng phải về nương náu ít lâu ở vịnh Elgor.
Újra bizakodtak hát, és megkezdték az előkészületeket, hogy már a másnapi dagállyal ki tudjanak futni.	Thế là niềm hy vọng lại trở lại, toàn thể bọn chúng tích cực chuẩn bị để có thể ra đi vào sáng mai lúc triều lên.
Kongre pár szóban vázolta terveit:	Bằng vài câu ngắn gọn, Kongre nêu lên kế hoạch của hắn về vấn đề này.
- Még a goelett érkezése előtt elhatároztam - mondta Carcanténak -, hogy visszafoglalom az Elgor-öblöt, mihelyt egyedül lesznek.	- Trước khi có trong tay chiếc thuyền này - hắn nói với Carcante - tao đã định chiếm lấy vịnh Elgor, ngay từ lúc chỉ có bọn gác đèn ở đấy thôi.
Carcante nem értette félre a mozdulatot, amellyel Kongre befejezte gondolatát.	Bằng một cử chỉ, mà qua đó Carcante hiểu ngay là Kongre muốn kết thúc kế hoạch của hắn như thế nào.
S valóban, e nyomorultnak minden esélye megvolt arra, hogy terve sikerüljön.	Trên thực tế, cơ may thành công là rất lớn cho kế hoạch của tên cướp đáng sợ này.
Hacsak csoda nem történik, hogyan menekülhetne meg végzetétől Vásquez, Moriz és Felipe?...	Ngoại trừ phép lạ xảy ra, làm sao Vasquez, Moriz và Felipe có thể thoát khỏi tình thế nguy hiểm đang đe dọa họ?
Kongre visszarakatta a nehezéket a helyére, majd az élelmiszer, fegyver és a Szent Bertalan-fokra magukkal hozott egyéb holmi berakodását irányította.	Kongre cho xếp các vật nằm vào chỗ cũ và cho chất lên tàu lương thực, vũ khí và các đồ vật khác để đến mũi Saint - Barthélemy.
Amióta eljöttek az Elgor-öbölből - idestova egy éve - Kongre és társai főként a készleteikből éltek, amelyek annyira megcsappantak, hogy a maradék kényelmesen elfért a hajó éléskamrájában.	Từ khi rời vịnh Elgor, tức là hơn một năm nay, Kongre và toàn băng chỉ sống nhờ vào lương thực dự trữ nên bây giờ chỉ còn lại rất ít để mang lên tàu.
Az ágyneműt, a ruhákat, az edényt, az arany- és ezüstneműt, a konyhában, a legénységi szálláson, a tatbástyán és a raktérben helyezték el, számolva az Elgor-öbölbeli barlangban tárolt holmikkal is.	Còn các đồ gỗ, quần áo, nồi xoong, vàng bạc... thì được mang lên chất đầy các khoang của chiếc thuyền buồm Maule; sau này tàu còn phải chở thêm những thứ giấu trong hang ở cửa vịnh nữa.
Egyszóval, munkájukat oly szorgosan végezték, hogy délután négyre minden rakomány a fedélzetre került.	Nói gọn lại thì bọn chúng đã làm nhanh tới mức chỉ mới bốn giờ chiều, thì mọi việc chuẩn bị đã xong.
A kétárbocos akár azonnal kifuthatott volna, de Kongrénak nem akaródzott éjszaka navigálnia a zátonyokkal tűzdelt parti vizeken.	Chiếc thuyền buồm đã có thể lên đường ngay lập tức, tuy nhiên Kongre còn lo ngại nếu tàu phải đi ban đêm trên một bờ biển có quá nhiều mỏm đá.
Még abban sem volt biztos, hogy a Le Maire-szoroson keresztül közelíti-e meg a San Juan-fokot.	Hắn cũng còn chưa biết có nên đi qua eo Lemaire hay không, để có thể tới mũi San Juan.
Ha dél felől fúj, akkor igen, ha viszont északról és nagyobb erősséggel, akkor nem.	Nên đi nếu gió thổi từ phương nam về nhưng nếu gió thổi từ phía bắc lại thì không nên.
Ez esetben kedvezőbbnek látszott dél felől megkerülni a szigetet, így a Maule a part menti sziklafalak védelmében haladhatna.	Trong trường hợp sau, theo hắn thì tốt hơn cả là đi qua phía nam của đảo, điều đó bảo đảm cho tàu được che chắn bởi đất liền.
Egyébként akármelyik utat választják, az utazás - beleértve az éjszakai pihenőt is - becslése szerint nem tarthat tovább harminc óránál.	Hơn nữa, dù đi theo hướng nào, theo dự tính của hắn, thời gian vượt biển cũng không được quá ba chục tiếng đồng hồ, kể cả thời gian đậu lại trong đêm.
Az est leszálltával nem következett be semmiféle légköri változás.	Đêm đã tối, thời tiết không có dấu hiệu gì thay đổi.
A lenyugvó napot nem fátyolozta köd, a víz és az ég olyan élesen elvált egymástól, hogy amikor a napkorong a láthatár mögé bukott, egy zöld sugár szelte át a levegőeget.	Phía tây không có sương mù và khi mặt trời vừa tụt xuống dưới đường chân trời thì một chùm tia sáng xanh biếc lóe lên, xuyên vào không gian.
Kongre Pailha kapitány kabinját foglalta el, mely a tiszti étkezőtől jobbra nyílott, Carcante pedig balra a másodtisztét.	Kongre chiếm cabin của thuyền trưởng còn Carcante thì ở trong cabin thuyền phó nằm phía bên trái.
Kongre már korán hajnalban csónakba szállt és a partra evezett, majd a Szent Bertalan-fok csúcsához közel egy szűk vízmosást követve a sziklafal ormára kapaszkodott.	Ngay sáng sớm, Kongre đã rời tàu bằng xuồng cứu hộ và sau khi vượt qua một con lạch hẹp ngay ở đầu mũi Saint Barthélemy, hắn leo lên mỏm vách đá dựng đứng.
Ebből a magasságból tekintete a teljes körív háromnegyedében foghatta át a tengert.	Từ độ cao này, tầm nhìn của hắn có thể bao quát cả ba mặt bể.
Csak keleten takarták el a kilátást a Szent Antal- és a Kempe-fok között emelkedő hegycsúcsok.	Riêng hướng đông là có núi che khuất suốt từ mũi Saint - Antoine đến mũi Kempe.
Déli irányban a tenger nyugodt volt, de a szoros nyíltabb vizén a megélénkülő szél erősebb hullámokat támasztott.	Mặt biển yên lắng ở phía nam, và hơi động ở gần cửa vịnh, bởi vì gió bắt đầu nổi lên từ đó.
Egyébként egy vitorla, egy füstpamacs sem tűnt fel a nyílt tengeren: valószínű volt, hogy a San Juan-fokig tartó kurta útján a Maule nem találkozik majd más hajóval.	Ngoài ra không hề có một cánh buồm nào, hay một làn khói nào ngoài khơi và chắc chắn là chiếc Maule sẽ không chạm trán với bất cứ con tàu nào khác trong chuyến đi ngắn đến mũi San Juan.
Kongre azonnal döntött.	Kongre đã nhanh chóng quyết định.
Mivel joggal tartott az egyre erősödő széltől, s nem akarta kitenni a kétárbocost a szoros erős hullámainak - melyek mindig veszélyesek, mikor a tenger visszavonulóban van -, úgy határozott, hogy a sziget déli partja mentén közelíti meg az Elgor-öblöt, megkerülve a Kempe-, Webster-, Several- és Diegos-fokot.	Vì ngại trời có gió mạnh và trước hết là để cho chiếc Maule đỡ vất vả khi phải phơi mình ra trước những cơn sóng lừng ở eo biển, hắn quyết định sẽ cho tàu men theo bờ biển phía nam của đảo và sẽ tới vịnh Elgor sau khi qua các mũi Kempe, Webster, Several và Diegos.
A távolság szempontjából egyébként mindegy volt, melyik utat választja.	Dù đi theo hướng nam hay hướng bắc, khoảng cách cũng xấp xỉ như nhau.
Kongre leereszkedett a fövenyre, bement a barlangba, és meggyőződött róla, hogy nem felejtettek-e ott valamit.	Kongre xuống phía dưới vách đá để ra bờ biển và đi về phía hang đá xem có vật gì để quên ở đó không.
Hét óra múlt pár perccel: a kezdődő apály megkönnyíti a kihajózást az öbölből.	Nước biển bắt đầu rút rất thuận tiện cho tàu ra khỏi vịnh.
Kongre állt a kormányrúdnál, míg Carcante a hajó orrában ügyelt.	Kongre đứng bẻ lái còn Carcante thì canh chừng phía mũi.
