Bovaryné	Bà Bô vary
Mert bár nagyon értett az adás-vevéshez, s örömét találta a kupeczkedésben, viszont maga a gazdálkodás, s a földmüveléssel kapcsolatos összes foglalatosságok teljességgel nem voltak inyére.	Lão chẳng vui lòng rút tay khỏi túi để làm và cũng không chịu tằn tiện ăn tiêu cho tất cả cái gì cần thiết đến cuộc sống của hắn như ăn ngon, sưởi ấm ngủ yên.
Szeretett nagyokat szopogatni az almaborból, méltányolta a jó szivart, s megbecsülte az angolosan készült ürüczombot.	Lão dùng cơm ở nhà bếp, một mình, trước ngọn lửa, món ăn dọn sẵn trên chiếc bàn con mang đến tận nơi như ở rạp hát.
A konyhában szokott lakmározni, egyedül, szemben a tüzhelylyel, egy kis asztalnál, amelyet megteritve hozatott be, a hogy a szinházban látta.	Vì vậy, khi lão nhận thấy Sáclơ đỏ mặt lúc gần con gái lão, như thế có nghĩa là một ngày nào đó hắn sẽ xin cưới con gái lão, lão nghiền ngẫm trước mọi sự việc.
Mikor észrevette, hogy Károlynak kipirul az arcza, ha Emmával beszél, amiből világos volt, hogy maholnap meg fogják kérni a leányát, előre meghányta-vetette magában a dolgot.	Lão thấy hắn quả có phần yếu đuối, và đó không phải là một chàng rể như lão hằng mong ước; nhưng người ta khen hắn đứng đắn, cần kiệm, uyên bác, và chắc chắn, hắn sẽ chẳng cò kè lắm về của hồi môn.
Egy kicsit gyatrá-nak találta Károlyt; nem ilyen vőt kivánt volna, az bizonyos.	Vả lại lão Ruôn buộc sắp phải bán đi hai mươi hai mẫu đất thuộc tài sản của lão.
De mellette szólt, hogy: rendes ember, takarékos, művelt, s látni lehetett rajta, hogy hozomány dolgában nem lesz követelő.	Lão nợ rất nhiều, nào thợ nề, nào thợ đóng yên ngựa, đồng thời lão lại phải chữa trục máy ép nho.
– Ha megkéri a leányt, hozzá adom.	Lão bèn tự nhủ.
Szent Mihály-nap táján Károly három napot töltött Bertaux-ban.	-Nếu anh chàng hỏi con bé thì ta gả.
Az utolsó nap is ugy mult el, mint az előbbiek; negyedóráról-negyedórára halogatta a mondanivalóját.	Vào dịp lễ thánh Misen, Sáclơ đến chơi ba hôm ở trang trại Béctô.
Mikor hazafelé indult, Rouault apó egy darabig elkisérte.	Ngày cuối cùng trôi qua như các ngày trước đó, từng khắc, từng khắc lùi dần.
Kiértek a mély utra; pár percz és el fognak válni: a pillanat elérkezett.	Lão Ruôn tiễn chân hắn; hai người bước trên con đường trũng, sắp từ biệt nhau; đây là lúc phải nói.
Károly még egy utolsó haladékot adott magának: amig eljutnak a kerités széléig.	Sáclơ tự hẹn mình đến góc bờ rào, và, cuối cùng, khi đã qua chỗ đó, hắn lẩm bẩm:
Elhagyták azt is, s Károly végre elszánta magát:	-Ông Ruôn ạ, tôi muốn thưa với ông một điều.
Megállapodtak.	Sáclơ im bặt.
Károly elhallgatott.	- Thì ông cứ nói!
– Hát csak hadd halljam!	Dễ thường tôi không biết cả rồi ư!
Vagy, azt hiszi, nem tudom?	Sáclơ ấp úng:
– felelt Rouault apó csendesen nevetve.	-Bố Ruôn..., Bố Ruôn.
– Rouault apó… Rouault apó… – dadogta Károly.	Lão chủ trang trại nói tiếp:
– Ami engem illet, örülök rajta – folytatta Rouault apó.	- Tôi, tôi không muốn gì hơn.
– Azt hiszem, a kicsi is ugy gondolkozik, mint én, de azért mégis meg kell kérdeznünk tőle, hányadán vagyunk.	Con bé hẳn đồng ý với tôi, tuy thế vẫn phải hỏi ý kiến nó.
Most csak menjen haza; én majd visszafordulok, s kivallatom.	Anh cứ đi đi; còn tôi về qua nhà.
Ha: igen, értsen meg jól, azért nem kell visszajönnie; tudja, az emberek mindjárt elkezdenek fecsegni, aztán meg minek felizgatni a leányt?	Nếu nó thuận, anh nghe chưa, anh chẳng cần phải trở lại vì đông người, hơn nữa, chuyện đó làm nó quá cảm động.
És visszament.	Thế là lão rời bước.
Károly egy fához kötötte a lovát és lesbe állott.	Sáclơ buộc ngựa vào một cái cây.
Elmult egy félóra, s aztán még tizenkilencz perczet számlált az óráján.	Hắn chạy vào đứng ở một ngõ hẻm, chờ đợi.
Egyszerre valami zörej hallatszott a ház felől; a zsalugáter kinyilt s a falhoz csapódott.	Nửa giờ trôi qua; hắn theo dõi đồng hồ đến mười chín phút.
Másnap, reggel kilencz órakor már a tanyán volt.	Hôm sau, mới chín giờ sáng, hắn đã ở trang trại.
Emma elpirult, amikor meglátta, de azért nevetni próbált, illedelemből.	Lúc hắn bước vào, Emma thẹn đỏ mặt, cố cười một tí để giữ vẻ.
Rouault apó megölelte jövendőbeli vejét.	Lão Ruôn ôm hôn con rể tương lai.
Vagyis a jövő tavaszig.	Mùa đông trôi qua sự đợi chờ ấy.
A tél ebben a várakozásban telt el.	Cô Ruôn chăm lo bộ đồ cưới.
Olyankor, mikor Károly is a tanyán volt, az esküvő előkészületeiről beszélgettek; megvitatták, melyik szobában kell teriteni, hány tál étel kell, s mi legyen a pecsenye előtt.	Mỗi lần Sáclơ đến thăm trang trại là mỗi lần người ta bàn chuyện sửa soạn lễ cưới, người ta hỏi tiệc cưới nên đặt ở phòng nào, người ta liên tưởng đến bữa tiệc cần có bao nhiêu món và những món nào là những món đầu tiên.
Igy hát egészen közönséges lakzit tartottak, amelyre negyvenhárom személyt hivtak meg, – amelyen tizenhat óráig ültek az asztalnál, – s amely másnap ujra kezdődött, sőt egy kissé a következő napokon is.	Rút cục, sẽ có một tiệc cưới gồm bốn mươi ba người tham dự suốt mười sáu tiếng đồng hồ, tiệc cưới còn tiếp tục vào hôm sau và phần nào vào những ngày sau nữa.
IV.	IV
Meghivták mind a két család összes rokonságát; kibékültek barátokkal, akikkel esztendőkig haragban voltak; irtak ismerősöknek, akiket régen elveszitettek szem elől.	Người ta mời bà con hai họ; người ta làm lành cả với những bạn thân đã giận nhau; người ta cũng gửi thư đến những nơi quen biết từ lâu không gặp mặt.
Minduntalan ostorpattogás hallatszott a sövény mögül; a sorompó megnyilt s egy kocsi vonult be az udvarra.	Thỉnh thoảng lại có tiếng roi ngựa quất sau hàng rào; tức khắc cửa trang trại mở, một chiếc xe ngựa tiến vào.
Minden oldalról alakok szálltak ki belőle, akik a térdeiket dörzsölgették vagy a karjaikat nyujtóztatták.	Và khách trên xe đổ xuống mọi phía, vừa xoa gối vừa vươn vai.
Az asszonyok főkötőben, városias szabásu ruhában és arany óralánczokkal jelentek meg; némelyiken csuklyás köpeny volt, melyet öv-szalag füzött össze, másokon szines, könnyü kendő, mely tűvel volt a ruhához erősitve, s szabadon hagyta hátul a nyakat.	Các bà đội mũ trùm, vận áo dài kiểu thành thị, đeo dây đồng hồ vàng, giắt chéo hai đầu chiếc áo choàng ngắn vào thắt lưng hoặc ghim tấm khăn màu nhỏ bé vào phía sau lưng ngay dưới cái cổ để hở.
Ezeken fehér ruha diszlett, az első áldozás alkalmával viselt fehér ruha, melyet erre az ünnepi alkalomra egy kicsit megtoldottak; a hajuk zsiros volt a rózsapomádétól.	Cô ta mặt đỏ bừng, ngơ ngác, tóc bóng nhẫy sáp hoa hồng, chỉ sợ bẩn tất tay.
Minthogy a tanyán nem volt elég istálló-szolga, az urak feltürték a kabátjuk ujját, s maguk fogták ki a lovakat.	Vì không có đủ người hầu ngựa để tháo hết các xe, khách xắn tay áo làm lấy.
Volt köztük: széles lebernyegü s fecskefarkszerüen lengő hosszu kabát, kidudorodó gallérral és roppant zsebekkel, vastag posztó-zeke, mely többnyire rézkeretü ellenzővel ellátott sapka kiséretében mutatkozott, és sok rövidebb kabát, melyeknek a szárnyait mintha ugyanabból a darabból hasitotta volna ki, nem a szabó, hanem fejszéjével az ács.	Còn vài người (chắc chắn là sẽ phải ngồi ăn ở cuối bàn) mặc những chiếc áo thụng dùng trong lễ tiết, tức là một loại áo cổ bẻ xuống vai, lưng xếp thành nếp nhỏ, thân bó lại bằng một chiếc nẹp khâu tay.
Az utóbbiakon hátul két óriás gomb fénylett, mint két rettentő szem.	Và những chiếc sơ mi phồng đằng trước ngực như những chiếc áo giáp!
S a sok fehér ing-mell ugy feszült, mint megannyi vért!	Mọi người đều mới cắt tóc, vành tai cách xa đầu, mặt cạo nhẵn.
Másoknak az állát meg az arczát kezdte ki a beretva.	Tòa thị chính cách trang trại nửa dặm.
A felhámlott bőrt aztán az úton kifujta a szél: a sok vigyorgó fehér arcz tele volt veres folttal.	Người ta đi bộ tới và đi bộ về sau khi đã làm lễ ở nhà thờ.
A násznép, mely előbb, mint tarka szalag huzódott tova a zöldelő vetés között kigyózó szük ösvényen, lassankint megszakadozott, s kisebb-nagyobb csoportokra oszlott, amelyek a sok beszélgetés közepett el-elmaradoztak egymástól.	Đoàn người, thoạt tiên hợp nhất như một dải lụa màu lượn khúc trên cánh đồng dọc theo con đường nhỏ hẹp ngoằn ngoèo giữa lúa mì xanh, chẳng mấy chốc vươn dài ra, phân thành những toán nhỏ khác nhau mà trò chuyện kề cà.
Elül ment a hegedüs, felpántlikázott hangszerével, aztán az ifju pár, a rokonok, a jóbarátok és ismerősök – az utóbbiak, ahogy éppen egymáshoz kerültek – végül a gyermekek, akik messzire elmaradoztak, hogy harangvirágot szedhessenek a zabvetésben, vagy hogy felügyelet nélkül játszadozhassanak.	Đi đầu là người kéo đàn rong với chiếc viôlông quấn băng, tết hoa; sau đó đến cô dâu chú rể rồi họ hàng và bè bạn; cuối cùng là trẻ con, chúng nghịch ngắt những bông hoa lúa mạch hoặc nô giỡn với nhau mà chẳng ai thấy.
Emma, akinek a ruhája tulságosan hosszu volt s meg-megakadozott, koronkint megállt, hogy kiszabaditsa slepjét; ilyenkor keztyüs kezével ügyesen letisztogatta ruhájáról a tövist és a gazt, mialatt Károly üres kézzel várta, mig elkészül s ujra karját nyujtja.	Chiếc áo phủ ngoài của Emma, quá dài, thành hơi quét đất; chốc chốc nàng phải ngừng bước để kéo lên và, ngay lúc ấy, bằng những ngón tay đeo găng, nàng nhẹ nhàng nhặt những sợi cỏ may đầy gai nhỏ, còn Sáclơ thì tay không đứng chờ nàng nhặt cho xong.
Rouault apó, akinek a fején uj selyemkalap diszlett, s akinek a körme se látszott ki a ruhájából – olyan hosszu volt a frakkjának az ujja – az idősebb Bovarynét vezette a karján.	Lão Ruôn, đầu đội một chiếc mũ hoa mới tinh, đôi tay được trùm kín bằng những đồ trang sức trên chiếc áo lễ đen, khoác tay Bà Bôvary mẹ.
A többiek ügyes-bajos dolgaikról beszéltek, vagy lopva egymás hátát csiklandozgatták, hogy jóelőre gondoskodjanak egy kis vidámságról; ekközben, ha oda figyelt az ember, folyvást hallani lehetett a hegedüst, aki pihenés nélkül czinczogott tovább.	Những người khách khác thì nói chuyện làm ăn hoặc nghịch ngợm phía sau lưng nhau, chọc tức nhau trước cho vui.
Csak akkor lélekzett egyet, mikor észrevette, hogy a násznép messze elmaradt mögötte.	Lắng tai nghe, người ta vẫn thấy tiếng ò ử của chiếc viôlông do người chơi đàn rong tiếp tục kéo trên quãng đồng.
Meggyantázta a vonóját, hogy a húrok jobban nyekeregjenek, aztán ujra megindult, hegedüjének a nyakát le s fel jártatva, hogy jól megjegyezze magának az ütemet.	Khi thấy đoàn người còn cách sau mình xa, anh ta dừng chân lại thở, lấy nhựa thông vuốt kỹ vĩ đàn để cho dây đàn kêu hơn, rồi anh ta lại tiếp bước, nâng lên hạ xuống cần đàn để tự mình bắt nhịp cho tốt.
A hangszer nyikorgása messzire elriasztotta a madarakat.	Tiếng đàn khiến những con chim nhỏ từ xa bay đi.
A lakomára a nagy kocsiszínben teritettek.	Trong gian nhà chứa xe, tiệc đã bày.
Négy marhahátszin került az asztalra, hat pörkölt tyuk, három ürüczomb és serpenyős borjupecsenye.	Trên bàn có bốn khoanh thịt lưng bò, sáu đĩa thịt gà trộn, thịt bê áp chảo, ba chiếc đùi cừu.
De a lakoma ékessége egy szép nagy malacz volt, amelyet négy hurka és sóska-főzelék köritett.	Chính giữa bàn bày một con lợn sữa quay trông thật là đẹp mắt, kèm bốn khúc dồi lợn độn rau chua.
Az asztal négy sarkán, nagy üvegekben, pálinka állott.	Ở các góc bàn, rượu mạnh được đựng trong những chiếc bình.
Nyitott üvegekben édes almabor gyöngyözött; s minden poharat előre tele töltöttek borral.	Rượu táo loại nhẹ đóng trong chai, đùn bọt quánh lên quanh nút, và các cốc cũng đầy ắp rượu vang rót sẵn.
A torták és más édességek elkészitése végett Yvetot-ból hozattak czukrászt.	Người ta đã thuê hẳn một tay thợ làm bánh ở Yvơtô để làm bánh bao có nhân và kẹo hạnh nhân.
Mivel uj ember volt a környéken, ki akart tenni magáért, s a lakoma vége felé ő maga hozott az asztalra egy remek czukor-épületet, mely olyan általános álmélkodást keltett, hogy sokan felkiáltottak meglepetésükben.	Vì mới đến làm ăn lần đầu trong vùng này, người thợ làm bánh đã chăm lo công việc một cách chu đáo; anh ta tự tay bưng lên, vào lúc ăn tráng miệng, một món bánh ngọt do mình dụng công trình bày khiến nhiều tiếng trầm trồ khen ngợi vang lên.
Ennek a remekműnek az alsó része egy kékszinü, keménypapirból készült, négyszögü alkotmány volt, mely több csarnokra osztott templomot ábrázolt, oszlopsorral, gipsz-szobrocskákkal, s fülkéiben kis aranypapir-csillagokkal; második emeletét tortasüteményből való vártorony alkotta, apró erőditményekkel: mandulával, malaga-szőlővel és narancs-szeletekkel; felső részén végre, a tetőzeten, mely parkot ábrázolt, sziklával, lekvár-tavacskákkal és mogyoróhéj-sajkákkal, egy kis Ámort lehetett látni, amint kecsesen himbálózott csokoládéból font kötél-hintáján, melynek két czölöpje legfelül két összehajló, természetes rózsabimbóban végződött.	Thoạt tiên, tầng dưới là một hình vuông bằng giấy bồi màu lam tượng trưng một ngôi đền có hành lang, hàng cột tượng nhỏ bằng hồ giả cẩm thạch được đặt khắp xung quanh, trong những khám thờ lóng lánh các vì sao cắt bằng giấy trang kim; rồi tầng thứ hai là một vọng lâu bằng bánh ngọt vùng Xavoa có thành lũy nhỏ bằng bạch chỉ, hạnh nhân, nho khô và cam múi, sau cùng nóc mái bằng là một đồng cỏ xanh có núi đá, hồ ao bằng mứt và những con thuyền bằng vỏ hạt dẻ cứng, một thần Ái Tình nho nhỏ đang vắt vẻo trên cây đu Sôcôla mà hai cột gài trên hai nụ hồng thật như hai quả cầu nhỏ.
Estig folyvást ettek.	Người ta ăn đến tận chiều tối.
Az álmosabb természetüek elaludtak és hortyogni kezdtek.	Có vài người, cuối cùng, ngủ ngay trên bàn, ngáy khò khò.
Éjjel, mikor hazafelé készültek, a zabbal jól tartott és alaposan ellustult lovak sehogyse akartak a kocsirud mellé állani; ágaskodtak, rugtak, egyik-másik istráng elszakadt, a gazdáik káromkodtak vagy nevettek; s egész éjszaka, a Bertaux-ból szétágazó utakon mindenfelé, veszettül iramló szekereket lehetett látni a hold világánál, megvadult lovakat, melyek neki rohantak az ároknak, ide-oda rángatott kocsikat, melyek iszonyuakat zökkentek a kőrakásokon vagy megrekedtek a lejtős helyeken, és ijedt asszonyokat, akik kihajoltak a kocsiból, hogy megragadhassák a gyeplőt.	Đến khuya, ngựa, nặng bụng vì lúa mạch, không chịu cho thắng vào xe để chở khách về nhà; chúng đá hậu, lồng lộn làm cho yên cương gẫy đứt, chủ xe phát bẳn hoặc cười rộ; rồi suốt đêm, dưới ánh trăng, trên khắp các nẻo đường vùng này, đã có những chiếc xe cuốn theo nước đại, đâm chồm vào các rãnh, nhảy qua những đống sỏi gạch, mắc vào các bờ dốc, với những người đàn bà hốt hoảng thò đầu ra cửa xe để nắm lấy dây cương.
Akik Bertaux-ban maradtak, egész éjjel ittak a konyhában.	Còn ai ở lại Béctô thì uống rượu ở trong bếp đến tận sáng.
A gyermekek elaludtak, ki hol volt, az asztal körül, a földön.	Trẻ con ngủ gật dưới gầm ghế.
Az uj asszony megkérte apját, hogy kiméljék meg a szokásos tréfáktól.	Cô dâu đã xin bố đề nghị khách tha cho nàng những trò đùa thường lệ.
Mindazáltal egyik rokonuk, aki tengerihalkereskedő volt – s aki egy pár sole-t hozott nászajándékul – nem akart letenni arról, hogy a kulcslyukon át vizet fuj be az uj pár szobájába.	Thế mà vẫn có một người trong họ làm nghề buôn cá biển tươi (chính anh ta đã mang một đôi cá thờn bơn đến mừng đám cưới) bắt đầu ngậm nước, phun vào lỗ khóa.
Megmagyarázta, hogy vejének komoly hivatása és társadalmi állása nem engedi meg az ilyen illetlenkedést; mindamellett a rokon csak nagynehezen engedett ezeknek a tekinteteknek.	Lão Ruôn kịp thời đi tới ngăn anh ta và giải thích cho anh ta rằng địa vị quan trọng của con rể lão không cho phép có những trò chơi bất lịch sự ấy.
Az idősebb Bovaryné egész nap ki se nyitotta a száját.	Trong thâm tâm, anh ta cho lão Ruôn là kênh kiệu.
Károly nem volt tréfálkozó természetü s a nászlakomán nem igen tett ki magáért.	Người ta chẳng hỏi gì bà về cách ăn mặc của nàng dâu cũng như về cách xếp đặt tiệc cưới; bà rút lui sớm.
Mintha neki nyilt volna ki a szeme, s nem az uj menyecskének, akinek az arczáról semmit se lehetett leolvasni.	Sáclơ bản chất không phải là người quen bông đùa, nên bị lu mờ trong bữa tiệc.
Emma éppen olyan volt, mint tegnap; a legnagyobb kópé is hiába erőltette az eszét, ő rá ugyan nem volt mit ráfogni, Károly azonban éppenséggel nem titkolódzott.	Hắn đối đáp không lấy gì làm đặc sắc trước những lời châm chọc, bỡn cợt, bóng gió, những lời tán tụng và cợt nhả mà người ta coi như là một nhiệm vụ phải nhắm vào hắn ngay từ lúc món canh bưng ra.
Két nappal az esküvő után a fiatalok hazamentek; Károly nem hagyhatta tovább magukra a betegeit.	Hôm sau, ngược lại, hắn dường như là một con người khác.
Rouault apó oda adta nekik a bricskáját, s ő maga is elkisérte őket Vassonville-ig.	Người ta coi chính hắn là cô gái đồng trinh hôm trước.
Ott még egyszer megcsókolta a leányát, leugrott a kocsiról s haza gyalogolt.	Trong khi đó thì cô dâu không để lộ mảy may cho người ta có thể đoán ra được một điều gì.
Vagy száz lépésnyire megállt és visszanézett: a bricska épp akkor tünt el egy porfelhőben.	Những tay ranh mãnh nhất cũng chẳng biết đằng nào mà lần, và họ đã nhìn kỹ nàng, khi nàng đi qua, bằng những cái nhìn chăm chú quá mức.
Rouault apó felsóhajtott.	Nhưng Sáclơ chẳng giấu giếm gì cả.
Lóháton mentek; a felesége ott kuczorgott mögötte, a nyeregben.	Cưới được hai ngày, đôi vợ chồng đưa nhau đi.
A ló nehezen baktatott a hóban, mert karácsony táján voltak, s a mezőt vastag hó-takaró fedte.	Sáclơ, vì có bệnh nhân phải chữa, không thể vắng mặt lâu hơn.
Felesége egyik kezével beléje kapaszkodott, a másikban a kosarát tartotta.	Lão Ruôn cho xe ngựa đưa các con về và thân hành tiễn các con đến tận Vátxôngvin.
Ilyenkor visszafordult egy kicsit: a főkötő aranyozott lemezével menyecskéssé varázsolt, rózsás arczocska csöndesen mosolygott ott a válla mögött.	Đi được chừng trăm bước, lão đứng lại và thở dài vì lão thấy những chiếc bánh xe quay trong đám bụi mù xa dần.
Hogy megmelegitse fázós ujjait, koronkint bedugta kezét urának a bekecse alá.	Thỉnh thoảng bà ta lại lồng ngón tay vào ngực lão để sưởi ấm.
Milyen régen volt mindez!	Ôi, những chuyện ấy đã cũ kỹ quá rồi!
És hátranézett, de semmit se látott az úton.	Thế là lão quay nhìn lại phía sau lưng, lão chẳng thấy gì trên đường cái cả.
Szomorú volt, mint egy puszta ház, amelyből elvitték az összes bútorokat; és kótyagos, a lakmározástól gőzölgő fejében a régi szép emlékek sötét gondolatokkal keveredtek össze.	Lão cảm thấy buồn như một ngôi nhà trống; và trong đầu óc còn ám hơi men tiệc cưới những kỷ niệm đằm thắm xen lẫn với những tư tưởng đen tối, lão chợt có ý muốn dạo quanh phía nhà thờ.
Egy pillanatig arra gondolt, hogy benéz a templom melletti kis temetőbe, de attól tartott, hogy ez még szomorubbá teszi, hát csak hazament, egyenesen.	Song lão lại sợ nhìn thấy nhà thờ, lão lại càng buồn hơn nữa, lão bèn đi thẳng về nhà.
Károly ur és felesége hat óra felé érkeztek meg Tostes-ba.	Vợ chồng Sáclơ tới Tôxtơ vào khoảng sáu giờ.
A szomszédok ablakaikhoz siettek; mindenki látni akarta a doktor második feleségét.	Hàng xóm láng giềng đều đổ xô ra cửa sổ để xem mặt bà vợ mới của người thầy thuốc của họ.
A vén szolgáló megjelent, üdvözölte az uj asszonyt, bocsánatot kért, hogy az ebéd még nem készült el, s arra kérte a Nagyságát, hogy előbb nézzen körül a házban.	Chị hầu gái ra mắt, chào hỏi bà chủ, xin lỗi về việc cơm nước chưa xong và, mời bà chủ trong lúc chờ đợi, hãy đi xem cho biết nhà biết cửa.
V.	V
A tégla-épület az utcza, jobban mondva az országut vonalában állott.	Mặt trước nhà bằng gạch tiếp giáp ngay với mép đường phố, hay với đường cái thì đúng hơn.
Ahogy benyitott az ember, legelsőbb is egy fogast pillantott meg, s ezen egy kurta galléru köpönyeget, egy kantárszárat meg egy fekete bőrsipkát; az egyik sarokban, a földön, egy pár kamásli hevert, amelyen még rajta volt a multkori megszáradt sár.	Sau cánh cửa ra vào, có mắc một cái áo khoác cổ nhỏ, một chiếc cương ngựa, một cái mũ cát-két bằng dạ đen và trong một góc, dưới đất, có một đôi ghệt còn lấm bùn khô.
Jobbra nyilt: a nagy terem, vagyis az a helyiség, amelyben ettek, s amely nappali szobául szolgált.	Phía bên phải là phòng, nghĩa là gian nhà mà ở đấy người ta ăn uống và người ta họp mặt.
A foszladozó, kanári-sárga szinü tapétát a magasban fakó virágfüzér ékitette; az ablakokon vörös zsinórral szegélyezett s pamutszövetből készült fehér függöny-szárnyak borultak egymásra; a kandalló szük párkányán egy Hippokrates-fejjel diszitett lábas óra állott, két ezüstözött, karos gyertyatartó között.	Nổi lên ở phía trên vì một tràng hoa màu nhạt toàn bộ một thứ giấy vàng nhợt nhạt rung rinh trên nền vải căng không phẳng; những diềm che bằng vải chúc bâu trắng, viền nẹp đỏ, bắt chéo nhau dọc cửa sổ, và trên khung lò sưởi nhỏ hẹp, chói lọi một chiếc đồng hồ quả lắc, mang đầu danh y Híppôcrát, giữa hai cây đèn nến mạ bạc dưới những quả bóng hình bầu dục.
A folyosótól balra nyilt Károlynak a fogadó szobája, egy hat lépésnyi szélességü kis helyiség, amelyben nem volt egyéb, csak egy asztal, három közönséges és egy karosszék, meg egy fenyőfából készült könyvszekrény.	Bên kia hành lang là phòng khám bệnh của Sáclơ, một căn buồng nhỏ chừng sáu bước chiều rộng có một chiếc bàn, ba chiếc ghế dựa và một chiếc ghế bành đứng trong các bàn giấy.
Ennek a könyvszekrénynek mind a hat polczát megtöltötte az Orvosi Tudományok Encziklopédiájá-nak temérdek, felvágatlan kötete, melyek rongyos czimlapjain látnivaló volt, hogy már az ötödik vagy hatodik gazdát szolgálják.	Những cuốn từ điển y học chưa rọc, nhưng đã bị xộc xệch qua nhiều lần bán đi bán lại, choán gần hết sáu ngăn tủ sách bằng gỗ tùng.
Ez már az udvarra nyilt, s ámbátor egy sütőkemencze is volt benne, inkább fáskamrául, spájzul, raktárul szolgált.	Tiếp đến là một gian nhà rộng đã hư hỏng trông thẳng ra sân mà ở đó có một cái chuồng ngựa.
A kert inkább hosszu volt, mint széles.	Trong gian nhà có cả bếp lò.
Két oldalt vályogból csinált fal keritette be, hátul pedig tüskebokrokból álló sövény választotta el a mezőtől.	Người ta đã sử dụng gian nhà này làm nơi chất củi, trữ rượu, kho chứa hàng đầy đồ sắt cũ, thùng không, nông cụ bỏ đi, cùng với lắm thứ khác bụi bậm chẳng biết dùng để làm gì.
A kert közepetáján, egy e czélra készült kőfalon, palakőből való napóra volt látható; a hasznosabb vetemények valamivel odább elterülő tábláját vadrózsabokrokkal szegélyezett négy keskeny virágágy vette körül.	Giữa vườn, có một cái nhật-quỹ bằng đá đen đặt trên một cái bệ gạch; bốn luống tường vi xơ xác, trồng một cách cân đối, bao quanh khu đất vuông hữu ích hơn, vì có cây cối và thảo mộc ăn được.
Lent, a kert végében, törpe fenyők közepett, gipszszobrocska rejtőzött: egy barát, aki a breviáriumát olvasta.	Tận cuối vườn, dưới những cây tùng nhỏ, người ta thấy bức tượng một linh mục bằng thạch cao đang đọc cuốn kinh nhật tụng.
Emma felment az emeleti szobákba.	Emma lên các buồng.
Az alacsony szekrényt kagylóhéjból készitett szelencze ékitette; a dolgozó asztalon, az ablak közelében, vizes palaczk állott, s ebben a palaczkban selyem szalaggal átkötött narancsvirág-bokréta.	Một chiếc hộp bằng vỏ sò được dùng làm đồ trang trí cho tủ ngăn; và trên bàn viết, gần cửa sổ, trong một chiếc bình, có một bó hoa cam tết bằng sa tanh trắng.
Menyasszonyi bokréta volt; a másik bokrétája!	Đó là bó hoa cưới, bó hoa của người vợ trước!
Károly észrevette ezt; fogta a bokrétát, s felvitette a padlásra.	Sáclơ biết ý cầm bó hoa bỏ vào buồng kho.
És elmerengve, azt kérdezgette magától: vajjon mit csinálnának vele, ha netalán ő is meghalna?	Trong những ngày đầu, nàng suy nghĩ về cách sửa sang lại nhà cửa.
Károly, aki tudta, hogy a felesége nagyon szeret kocsikázni, kéz alatt egy kis könnyü kocsit vásárolt, mely uj lámpásaival és elegáns, kivarrott bőrből való sárellenzőivel hintóhoz hasonlitott.	Sau đó chồng nàng, biết nàng thích dạo bằng xe đã đưa cho nàng một chiếc xe ngựa cũ, chẳng khác xe độc mã mấy tí, nếu được gắn đèn lồng mới và chắn bùn bằng da sần.
Károly sugárzott a boldogságtól; nem volt többé semmi gondja a világon.	Thế là hắn sung sướng, chẳng quan tâm đến gì ở đời.
A vacsorák kettesben, az esti séták az országuton, Emmának egy kézmozdulata, amint megigazitotta a pántlikáit, puszta látása az ablak zárjára akasztott kis szalmakalapnak, és sok más efféle, amikről azelőtt nem is gyanitotta, hogy milyen örömet lehet bennök találni, folytonossá tették a boldogságát.	Một bữa cơm tay đôi, một cuộc đi chơi buổi tối trên đường cái quan, một bàn tay nàng đặt lên mái tóc, một chiếc mũ rơm của nàng mắc vào then cửa sổ, và còn lắm cái khác nữa, mà Sáclơ trước kia chưa bao giờ ngờ thấy thích thú, thì nay nhất nhất tạo nên cho hắn một hạnh phúc triền miên.
Ilyen közelről nézve, a szeme mintha nagyobb lett volna, különösen abban a pillanatban, mikor fölébredt s egypárszor még lecsukta, majd ujra felnyitotta a szempilláit.	Buổi sáng, trong giường, vai kề vai trên gối, hắn nhìn tia nắng mặt trời chiếu vào những sợi lông tơ trên cặp má ửng hồng mà dải băng mũ trùm che khuất nửa.
A homályban feketének, a napfényen sötétkéknek tetszett, s mintha több rétege lett volna benne az egymásra következő szineknek, mintha lenn, a mélyben, sötétebb lett volna, fentebb pedig világosabb, s legfelül, a szem zománczánál, már egészen kék.	Nhìn gần, hắn thấy mắt nàng như to ra, nhất là khi nàng thoạt tỉnh giấc, chớp đôi hàng mi; mắt nàng trong tối thì đen, ra sáng thì xanh sẫm, dường như liên tiếp có những làn nước màu, càng sâu càng đậm, càng nông càng trong sáng.
Károlynak a tekintete szivesen időzött ezekben a mélységekben, s gyönyörködött benne, hogy a ragyogó tükörben kicsinyitve, igen kicsinyitve, ott látja önmagát is, a hálósipkájával, s nyitott ingének a felső részével.	Mắt hắn bị hút vào khoảng sâu thẳm ấy, ở đó hắn thấy hình ảnh mình thu nhỏ đến vai với chiếc khăn quàng trùm đầu và chiếc cổ sơ mi hé mở.
Fölkelt.	Hắn đi làm.
