Vörös és fekete	ĐỎ VÀ ĐEN (Tập 1)
- Ez a gondolat biztatta; végigszőtte minden részletében.	Ý nghĩ đó, ông lấy làm thú vị; ông đi theo nó trong tất cả mọi chi tiết.
- A büntető törvénykönyv mellettem nyilatkozik, és, bármi történjék is, congregatiónk meg barátaim meg fognak menteni.	Bộ Hình luật bênh vực ta, và, dù xảy ra thế nào thì Thánh hội của chúng ta và các bạn hữu của ta trong Đoàn hội thẩm cũng sẽ cứu ta.
Megvizsgálta vadászkését, mely jó élesre volt fenve; de a vér elképzelése félelmet keltett benne.	Ông ngắm nghía con dao đi săn của ông, dao sắc lắm; nhưng ý nghĩ đến máu làm ông sợ.
- Megverhetném és kirúghatnám ezt a szemtelen nevelőt; de mily zaj volna ez Verrières-ben, sőt az egész megyében.	Ta có thể đánh cho thằng gia sư láo xược kia một trận đòn nên thân và tống cổ nó đi; nhưng chuyện sẽ ầm ĩ ở Verrières và cả trong toàn tỉnh nữa!
Falcoz lapjának a pöre után, mikor a szerkesztő kikerült a börtönből, nekem is részem volt benne, hogy elvesztette hatszáz francos állását.	Sau khi tờ báo của Falcoz bị kết án, lúc tên chủ bút ra khỏi tù, ta đã góp phần làm cho hắn mất việc làm lương bổng sáu trăm quan.
Azt mondják, ez a firkász megint merészel mutatkozni Besançon-ban; képes, hogy dobra üsse a dolgot, még pedig oly ügyes módon, hogy a törvény elé sem idézhetem.	Nghe nói cái thằng cha viết lách lăng nhăng đó lại dám ló mặt ở Besancon, nó có thể châm chọc ta một cách khôn khéo, làm cho không thể nào đưa nó ra tòa được.
Törvény elé idézzem!...	Đưa nó ra toà!...
Az arczátlan ezerszer is erősítgetni fogja, hogy igazat mondott.	Cái thằng láo xược đó sẽ có nghìn cách nói bóng gió rằng nó đã nói đúng sự thực.
Mindezek a plebejusok gyűlölik az úri embert, a ki, mint én, tart a rangjára.	Một người có dòng dõi, giữ được địa vị xứng đáng như ta, thì tất cả bọn dân hèn chúng nó đều thù ghét.
Belekerülök azokba az alávaló párisi ujságokba; oh!	Họ sẽ nói đến ta trong những tờ báo gớm ghiếc ở Paris kia.
Istenem!	Trời ơi!
mily örvény!	Nguy hại thay!
az ősi de Rênal név a nevetség pocsolyájában... Ha valaha utazni akarnék, más nevet kellene fölvennem; mit!	Trông thấy cái tên họ de Rênal cựu tộc bị dìm xuống bùn đen của sự chê cười... Rồi ra ta có đi đây đi đó, lại phải thay tên đổi họ.
- Ha nem ölöm meg feleségemet, hanem gyalázattal elkergetem, ott van Besançon-ban a nagynénje, a ki reáruházza egész vagyonát.	Nếu ta không giết vợ ta, mà lại làm cho sỉ nhục rồi đuổi đi, thì nó có bà cô ở Besancon, bà ta sẽ đem tất cả gia tài mà sang tay cho nó.
Feleségem Juliennel együtt Párisba költöznék; Verrières-ben tudnák és megint csak rajtam nevetnének.	Vợ ta sẽ lên ở Paris với thằng Julien; ở Verrières rồi thế nào người ta cũng biết, và ta sẽ bị coi là thằng mắc lỡm.
- A lámpa fényének sáppadásán a szerencsétlen ember észrevette, hogy hajnalodik.	Bấy giờ người đàn ông khổ sở đó thấy là trời bắt đầu rạng sáng, vì ánh đèn nhạt đi.
Hogy egy kis friss levegőt szívjon, lement a kertbe.	Ông ta đi ra ngoài vườn hóng một tí gió mát.
E pillanatban csaknem el volt tökélve, hogy nem fog lármát ütni, főleg azért nem, mert ezzel a lármával igen nagy örömet szerezne verrières-i jó barátainak.	Trong giây phút đó, ông gần như quyết ý không làm chuyện om sòm, nhất là do ý nghĩ rằng một vụ om sòm sẽ làm cho các bạn tốt của ông ta ở Verrières mừng rơn.
A kerti séta kissé lecsillapította.	Cuộc đi dạo ở ngoài vườn làm cho ông ta hơi nguôi.
- Nem, - kiáltott föl, - nem fosztom meg magamat feleségemtől, ő sokkal inkább hasznomra van.	Không, ông ta kêu lên, ta sẽ không lìa vợ ta, hắn có ích cho ta nhiều quá.
Borzadva gondolta el, hogy milyen lenne a ház felesége nélkül; csak egy női rokona volt: R... marquise, egy hülye és gonosz vénasszony.	Ông ta rùng rợn hình dung cảnh nhà cửa của ông ta nếu không có bà vợ; kể bà con họ hàng, thì ông ta chỉ có mỗi bà hầu tước de R... già nua, ngu xuẩn, và độc ác.
A mi kitelt tőle, sok kiválóan okos gondolat eszébe jutott; de a kivitel sokkal több jellembeli erőt követelt, mint mennyi e szegény emberben még megmaradt.	Ông chợt nảy ra một ý kiến rất khôn ngoan, nhưng sự thực hiện đòi hỏi một sức cương nghị lớn hơn rất nhiều so với cái tí chút cương nghị của con người khốn khổ đó.
Ha megtartom a feleségemet, - így okoskodott, - ismerem magamat, egyszer majd, a mikor fölharagít, szemére vetem a hibáját.	Nếu ta giữ vợ lại, ông nghĩ bụng, thì ta còn lạ gì cái tính khí của ta, trong một lúc nào đó hắn làm ta nóng tiết lên, ta sẽ đem cái lỗi của hắn ra mà nhiếc móc.
Ő büszke teremtés, össze fogunk veszni és mindez, mielőtt még megkapta volna nagynénje örökségét.	Hắn vốn kiêu hãnh, hai vợ chồng sẽ giận nhau, và tất cả những cái đó sẽ xảy ra trước khi hắn được kế thừa của bà cô.
Hogy’ ki fognak akkor nevetni!	Bấy giờ thiên hạ sẽ chế nhạo ta đến thế nào!
Feleségem szereti gyermekeit; nekik fog jutni minden.	Vợ ta yêu lũ con, cuối cùng là bao nhiêu cũng sẽ về phần chúng nó hết.
De én, én köznevetségére leszek Verrières-nek.	Còn ta, ta sẽ làm trò cười của Verrières.
Nem volna jobb, ha csak a gyanúnál maradnék és nem keresnék bizonyságot?	Thế thì, thà cứ nghi ngờ suông thôi và đừng thẩm tra gì cả có lẽ còn hơn chăng?
Így megkötném kezeimet és később semmit se vethetnék szemére.	Như vậy là ta đành chịu bó tay, sau này không còn trách tội gì hắn được nữa.
Egy pillanattal utóbb de Rênal úr, újból a sértett hiúság hatalma alá kerülve, szorgos visszaemlékezéssel azokat az eljárásokat fontolgatta, a melyekről a verrières-i kaszinóban vagy nemesi körben a billiárdasztal mellett hallott, mikor egy-egy uracs, megszakítva a játékot, valamely megcsalt férj rovására szabad folyást engedett jókedvének.	Một lát sau, ông de Rênal lại bị lòng sĩ diện tổn thương trỗi dậy, ông chịu khó nhớ lại tất cả các phương sách được kể ra ở phòng chơi bi-a của Casino hay Quý tộc hội sảnh ở Verrières, khi một gã bẻm mép dừng cuộc chơi để vui đùa chế giễu một anh chồng mọc sừng.
Mily kegyetleneknek látszottak előtte e pillanatban ezek a tréfálkozások!	Trong lúc này, ông thấy những câu đùa cợt kia cay độc không biết chừng nào!
Istenem!	— Trời!
miért is, hogy nem halt meg a feleségem!	Giá mà vợ mình chết đi nhỉ!
akkor fedezve lennék a nevetség elől!	Như vậy mình sẽ không bị ai cười nổi.
Bár csak özvegy volnék!	Giá mà mình được góa vợ!
hat hónapot Párisban töltenék, a legjobb társaságban.	Mình sẽ lên Paris ở chơi sáu tháng trong những xã hội lịch sự nhất.
A boldogság e percze után, melybe az özvegység gondolata ringatta, képzelete visszatért a módokhoz, a melyekkel meggyőződjék a valóság felől.	Sau giây phút sung sướng do nghĩ đến chuyện góa vợ, đầu óc ông ta trở lại những phương sách tìm cho ra sự thật chắc chắn.
Egy másik történetben, a mit a kaszinóban hallott, a férj úgy győződött meg balesetéről, hogy viaszszal - mintegy reteszként - egy hajszálat ragasztott feleségének és az udvarlónak az ajtajára.	Trong một câu chuyện kể khác ở Casino, một anh chồng đã tìm biết chắc chắn chuyện bất hạnh của mình bằng cách lấy một tí sáp dính một sợi tóc như kiểu niêm phong vào cửa buồng vợ và của buồng tên đĩ bợm.
A sok fontolgatás után ez a módszer látszott neki legjobbnak a helyzet földerítésére és már a kivitelen töprengett, mikor a fasor egy fordúlójánál szembe találkozott a nővel, a kiről azt óhajtotta, bár meghalt volna.	Sau bao nhiêu giờ phân vân hồ đồ, ông cho cái phương sách soi tỏ số phận đó nhất định là hơn cả, và ông đương nghĩ đến chuyện sử dụng nó, thì ở chỗ ngoặt trên đường đi, ông bỗng gặp một người đàn bà mà ông đã mong cho chết đi.
De Rênal-né a faluból jött.	Bà từ lối xóm về.
Misét hallgatott a vergy-i templomban.	Bà đã đi nghe lễ giảng ở nhà thờ Vergy.
A hagyomány szerint, mely a higgadt bölcsész előtt ugyan nagyon kétséges volt, de a melynek ő hitelt adott, ez a kis templom egykoron Vergy gróf kastélyának a kápolnája volt.	Một truyền thuyết rất mơ hồ đối với con mắt của nhà triết lý lãnh tĩnh, nhưng bà đem lòng tin, cho rằng ngôi nhà thờ bé nhỏ ngày nay người ta đương dùng làm nơi lễ báo công cộng, vốn xưa kia là cái tiểu giáo đường trong lâu đài của vị lãnh chúa ở Vergy.
De Rênal-nét az egész idő alatt, a mit a templomban való imádkozásra szánt, ennek a gondolata nyomta.	Ý nghĩ đó ám ảnh bà de Rênal suốt thời gian bà định ở lại cầu nguyện trong nhà thờ.
Folyton az lebegett előtte, hogy férje vadászat közben, mintegy véletlenül, megöli Julien-t és este azután megeteti vele a szívét.	Luôn luôn bà hình dung thấy chồng bà giết Julien trong cuộc đi săn, như một tai nạn rủi ro, rồi đến chiều tối cho bà ăn tim của chàng .
- Sorsom - szólt magában - attól függ, hogy mit fog gondolni beszédem alatt.	Số phận của ta, bà nghĩ bụng, là tùy theo ông ấy sắp nghĩ thế nào đây khi nghe ta nói.
E végzetes negyedóra után talán nem is lesz többé alkalmam, hogy beszéljek vele.	Sau khoảng mười lăm phút đồng hồ quyết định số kiếp này, có lẽ ta sẽ không tìm được dịp nào nói chuyện với ông ấy nữa.
Éppen ezért gyönge eszemmel előreláthatom, hogy mit fog tenni, vagy mondani.	Nếu được như thế thì ta có thể nhờ ở lý trí yếu ớt của ta, dự đoán trước là ông ấy sẽ làm gì hoặc sẽ nói gì.
Ő dönt közös sorsunkról, megvan reá a hatalma.	Ông ấy sẽ định đoạt số phận chung của chúng ta, ông ấy có quyền.
E sors azonban az én ügyességemen fordul meg, azon a képességen, hogy miként irányítom e hóbortos ember gondolatait, a kit haragja vakká tesz és megakadályoz, hogy többet lásson a dolgok felénél.	Nhưng số phận ấy cũng là do sự khéo léo của ta, do cái tài của ta biết điều khiển ý nghĩ của con người đầu óc thất thường kia, cứ giận dữ lên là đâm mù quáng, cái gì cũng chỉ trông thấy có nửa phần.
Nagy Isten!	Trời đất ơi!
fortélyosságra, hidegvérre van szükségem, honnan vegyem?	Ta cần phải có tài trí, có gan dạ, biết lấy đâu ra?
A hogy belépett a kertbe és a távolból megpillantotta férjét, mintegy varázsütésre, visszanyerte nyugalmát.	Bà tìm lại được sự bình tĩnh, như nhờ phép kỳ diệu, khi bước vào khu vườn và trông thấy chồng từ xa.
De Rênal úr haja és rendetlen öltözéke elárúlták, hogy nem aludt.	Đầu tóc và áo quần xộc xệch của ông báo hiệu rằng cả đêm qua ông không ngủ.
Az asszony egy fölszakított, de összehajtogatott levelet adott át neki.	Bà đưa cho ông một bức thư đã bóc nhưng gấp lại.
Ő, a nélkül, hogy fölnyitotta volna, a tébolyodottak tekintetével nézett feleségére.	Ông ta, không mở ra xem, nhìn vợ với con mắt điên cuồng.
- Ime, - mondá de Rênal-né, - egy gyalázatos piszkolódás, a mit egy rossz ábrázatú ember, a ki azt állítja, hogy ismeri önt és lekötelezettje önnek, adott át, mikor a jegyző kertje alatt jöttem.	— Đây là một cái trò ghê tởm, bà nói với ông, mà một người đàn ông mặt mũi bất lương, nói rằng quen ông và chịu ơn của ông, hắn vừa mới đưa cho tôi lúc tôi đi qua đằng sau khu vườn nhà ông chưởng khế.
Egyet követelek, azt, hogy küldje el, még pedig haladéktalanul azt a Julien urat.	Tôi yêu cầu ông một điều, là ông phải đuổi về với gia đình hắn, và ngay lập tức, cái nhà ông Julien kia.
- De Rênal-né sietett kimondani e szót, kissé talán hamarabb is, mint kellett volna, mert szabadúlni akart a szörnyű kilátástól, hogy el kell mondania.	Bà de Rênal vội vàng thốt câu đó ra, có lẽ hơi quá sớm, để giũ bỏ cái viễn tưởng kinh khủng sẽ phải nói câu đó.
Az öröm öntötte el, látva, mily örömet okozott férjének.	Bà vui mừng khi trông thấy vẻ vui mừng mà bà gây được cho ông chồng.
Abból, a hogy’ tekintetét mereven rászögezte, megértette, hogy Julien jól sejtett.	Thấy mắt ông đăm đăm nhìn bà, bà hiểu ngay là Julien đã đoán trúng.
- A helyett, hogy ez a nagyon komoly baj elszomorította volna, mily lángész, - gondolta, - mily tökéletes érzék!	Đáng lẽ đau khổ vì cái tai họa rất là thực sự kia, bà lại nghĩ thầm: Biết bao tài trí, biết bao mẫn tiệp!
és egy oly fiatal embernél, a kinek még nincs tapasztalata?	Và ở một chàng thanh niên còn chưa có tí kinh nghiệm nào!
Fájdalom!	Than ôi!
A csodálat e kis lerovása a férfi iránt, a kit imádott, egészen magához térítette zavarából.	Ý nghĩ thán phục nho nhỏ đó đối với người bà tôn thờ làm cho bà hoàn toàn hết rối loạn.
Meg volt elégedve cselekedetével.	Bà lấy làm đắc chí về hành vi của mình.
- Nem voltam méltatlan Julienhez, - szólt magában, édes és bensőséges kéjjel.	Ta không đến nỗi không xứng đáng với Julien, bà nghĩ bụng với một niềm khoái cảm êm đềm và thầm kín.
Attól félve, hogy elszólja magát, de Rênal úr szótlanúl vizsgálta át a második névtelen levelet, mely, ha ugyan az olvasó emlékszik reá, kékes színű papirlapra fölragasztott nyomtatott szavakból volt összeállítva.	Không nói nửa lời, sợ tự ràng buộc, ông de Rênal ngắm nghía bức thư nặc danh thứ hai, nếu bạn đọc còn nhớ, ghép bằng những chữ in dán lên một tờ giấy xanh phơn phớt.
- Mindenféle módon gúnyt űznek belőlem, - mondá magában de Rênal úr, roskadozva a fáradtságtól.	Họ khinh thường ta đủ mọi cách, ông de Rênal mệt bã người, tự nhủ thầm.
- Újabb sértések, a miket ki kell puhatolnom és folyton a feleségem miatt!	Lại phải xem xét những lời thóa mạ mới, mà vẫn chỉ vì vợ ta!
- Azon a ponton volt, hogy a legdurvább szidalmakkal halmozza el; csak nagy nehezen fékezte meg a besançon-i örökség gondolata.	Suýt nữa thì ông văng ra với bà những câu lăng nhục thô bỉ nhất, cái viễn tưởng thừa kế gia tài Besancon chỉ thiếu chút nữa là không kìm hãm nổi ông.
Emésztve a szükségtől, hogy valamin kitöltse a mérgét, összegyűrte a második névtelen levelet és nagy lépésekkel elindúlt, szükségét érezte, hogy eltávolodjék a feleségétől.	Bị hết sức ngứa ngáy cứ phải trút nỗi tức giận lên một cái gì, ông vò nhàu tờ giấy của bức thư nặc danh thứ hai kia và rảo cẳng bước đi, vì ông cần phải lánh xa vợ.
Néhány pillanat múlva visszajött hozzá és már nyugodtabban.	Ít lâu sau, ông trở lại với bà, và bình tĩnh hơn.
- Nincs mit habozni, Julient el kell küldeni, - szólalt meg nyomban az asszony; - végre is csak egy mesterembernek a fia.	— Phải quyết định một bề và đuổi Julien đi, bà vội nói ngay với ông; xét cho cùng thì hắn chỉ là một đứa con nhà thợ thuyền.
Néhány tallér kárpótolni fogja, de meg különben is, tanult ember és hamarosan kap majd állást, esetleg Valenod úrnál vagy de Maugiron al-préfet-nél, a kiknek gyermekeik vannak. Vele tehát nem történik semmi méltatlanság...	Ông sẽ bồi thường cho hắn vài écu, vả lại hắn có học thức rộng và sẽ tìm công ăn việc làm dễ dàng, chẳng hạn ở nhà ông Valenod hay ông quận trưởng de Maugiron gì đó, họ có lũ con cả đấy.
- Ostoba fecsegés, a milyen csak egy buta asszonytól telik!	Như vậy là ông chẳng làm gì thiệt hại cho hắn cả…
- kiáltott föl de Rênal úr rettenetes hangon.	— Bà nói đó, thật là lời lẽ một kẻ ngu xuẩn, ông de Rênal kêu lên bằng một giọng dữ dội.
- Mi okosat is várhatna az ember egy asszonytól?	Đàn bà thì chả có thể mong gì hiểu biết lẽ phải được!
Soha nem törődnek komoly dolgokkal; hogy’ értenének valamihez?	Uể oải, biếng nhác, chỉ được cái nghề đi săn bươm bướm là nhanh lắm.
Nembánomságuk, lustaságuk csak arra jó, hogy lepkékre vadászszanak, semmi teremtések, akik szerencsétlenségünkre családunkhoz tartoznak!...	Đàn bà là những sinh vật yếu ớt mà bọn đàn ông thật là vô phúc phải có trong gia đình!...
De Rênal-né hagyta, hogy beszéljen és de Rênal úr beszélt is sokáig; haragját múlasztotta, a hogy’ arra felé mondani szokták.	Bà de Rênal cứ để ông nói, và ông nói lâu lắm; ông nói cho hả giận, như câu thành ngữ của địa phương.
- Uram, - felelt végre, - úgy beszélek, mint egy nő, a kit becsületében bántottak meg, tehát abban, a mi neki a legdrágább.	— Ông ạ, mãi sau bà mới trả lời, tôi nói đó, là lời lẽ một người đàn bà bị xúc phạm đến danh dự, nghĩa là đến cái quý báu nhất của mình.
De Rênal-né változhatatlan hidegvért tanúsított az egész kínos beszélgetés folyamán, a melytől függött a lehetőség, hogy még egy tető alatt éljen Juliennel.	Bà de Rênal giữ được một vẻ bình tĩnh không xuy chuyển trong suốt cuộc đàm thoại nặng nề, nó có tác dụng quyết định khả năng còn được sống chung dưới một mái nhà với Julien.
Kereste a gondolatokat, a melyeket legalkalmasabbaknak vélt férje vak haragjának az irányítására.	Bà tìm kiếm những ý kiến mà bà cho là có hiệu lực hơn cả để hướng dẫn sự tức giận mù quáng của chồng.
Érzéketlen volt az összes sértő megjegyzésekkel szemben, a melyeket az hozzá intézett, nem hallgatott reájuk.	Bao nhiêu lời lẽ lăng nhục mà ông nói với bà, bà đều trơ trơ không chút chạnh lòng.
- Meg lesz velem elégedve?	Anh có sẽ hài lòng về ta không?
- Lehet talán, - mondá végül férjének, - hogy ez a parasztkölyök, a kit elhalmoztunk előzékenységünkkel, sőt ajándékokkal, nem tehet róla, de azért mégis csak ő szolgáltatott alkalmat az első sértésre, a mely ér... Uram!	— Thằng bé nhà quê đó, mà chúng ta săn sóc ân cần, lại nay quà mai cáp, rất có thể hắn vô tội, cuối cùng bà nói, nhưng dù sao thì hắn cũng là đầu mối của cái việc lần đầu tiên tôi bị xúc phạm... Thưa ông!
mikor elolvastam ezt a gyalázatos iratot, megfogadtam, vagy ő megy el a háztól, vagy én.	khi tôi đọc tờ giấy ghê tởm này, tôi đã tự hứa với tôi rằng một là hắn, hai là tôi sẽ ra khỏi nhà này.
- Botrányt akar, a mi megbecstelenítsen engem is, meg magát is?	— Bà muốn làm nên chuyện ầm ĩ để bôi nhọ tôi và cả bà nữa sao?
Úgyis sokan vannak Verrières-ben, a kik agyarkodnak reánk.	Bà làm cho khối kẻ ở Verrières này được mát lòng mát dạ đấy.
- Ez igaz, általában irígylik a jólétet, a mit az ön bölcs igazgatása magának, családjának és a városnak szerzett... Nos!	— Quả vậy, thiên hạ thường vẫn ghen ghét cái cảnh thịnh vượng của ông, của gia đình ông và của thành phố, nhờ tài cai trị khôn ngoan sáng suốt của ông.
- felelt de Rênal úr eléggé nyugodtan.	— Bà đừng có làm gì cả, ông de Rênal trả lời với một vẻ khá điềm tĩnh.
- Mindenekelőtt azt akarom, hogy ne szóljon neki.	Điều mà tôi đòi hỏi trước hết, là bà không được nói năng gì với hắn.
Éreztetné a haragját és összeveszítene vele, tudja, hogy ez a fiatal úr mily rátartó.	Kẻo bà lại đem cái trò cáu giận vào, và làm cho tôi bất hoà với hắn, bà cũng biết là cái anh chàng bé con ấy đáo để lắm.
- Nincs benne semmi tapintat, - vágott vissza de Rênal-né, - lehet, hogy jártas a tudományokban, ön ezt jobban megítélheti, de alapjában igazi paraszt.	— Anh chàng trẻ tuổi ấy chẳng có ý tứ tí nào, bà de Rênal, anh ta có thể có học thức rộng, cái đó thì ông biết đánh giá đúng rồi, nhưng xét cho cùng vẫn chỉ là một anh nhà quê đặc.
A mi engem illet, sohasem voltam felőle jó véleménynyel, a mióta visszautasította Elisa kezét, holott ez biztos szerencse volt neki; és mindezt azzal az ürügygyel hogy a leány néha titokban meglátogatja Valenod urat.	Về phần tôi, tôi không bao giờ có cảm tưởng tốt về hắn từ khi hắn khước từ không lấy con Élisa, thật là một món tài sản chắc chắn; mà chỉ vì cái cớ là thỉnh thoảng con bé hay thì thọt đến nhà ông Valenod.
- Ah!	— A!
- szólt de Rênal úr mértéktelenül magasra vonva szemöldökeit, - micsoda! Julien mondta ezt?	Ông de Rênal nói, đôi lông mày dướn lên một cách quá quắt, thế nào, Julien nó nói với bà như thế à?
- Nem, nem éppen; ő mindig a szent pályára való hivatottságát emlegette előttem; de higyje meg, az ilyenfajta kis embereknek az a legfőbb hivatás, hogy kenyerük legyen.	— Không phải rành mạch là như thế; anh ta vẫn nói với tôi về thiên hướng kêu gọi anh theo thánh chức; nhưng xin nói thật, cái thiên hướng hàng đầu đối với những hạng người bé mọn đó, là có bánh ăn.
Eléggé megérttette velem, hogy tud ezekről a látogatásokról.	Anh ta có nói bóng gió cho tôi hiểu khá rõ rằng không phải là anh không biết những cuộc thì thọt đó.
- És én, én mitsem tudtam róluk!	— Thế mà tôi, tôi vẫn không biết!
- kiáltott föl de Rênal úr, visszaesve előbbi fölháborodásába és megnyomva a szavakat. - Olyan dolgok történnek házamban, a melyekről nincs tudomásom... Hogyan!	Ông de Rênal kêu lên, lại đùng đùng nổi giận, và nói dãn từng tiếng, ở nhà tôi có những chuyện xảy ra mà tôi không biết... Thế nào!
van valami Elisa és Valenod között?	Có chuyện gì giữa con Élisa với lão Valenod à?
- Oh!	— Thì!
régi történet ez, kedves barátom, - felelt de Rênal-né nevetve - és talán nem is történt semmi rossz.	Chuyện từ đời xửa đời xưa ấy mà, mình ơi, bà de Rênal vừa nói vừa cười, và có lẽ cũng chẳng có xảy ra điều gì bậy đâu.
Akkortájt kezdődött, mikor a maga Valenod barátja egyáltalán nem haragudott volna, ha Verrières-ben azt hiszik, hogy közte és köztem egy kis platonikus szerelem támadt.	Ấy là từ cái hồi mà ông bạn hiền Valenod của mình chỉ mong sao cho thiên hạ ở Verrières nghĩ rằng giữa ông ta với tôi có một mối tơ tình hoàn toàn cao thượng.
- Egyízben magam is gondoltam ezt, - kiáltott de Rênal úr, haragosan homlokára csapva, a hogy egyik fölfedezést a másik követte benne - és miért nem szólt nekem róla egy szót sem?	— Cũng đã có lần tôi có ý nghĩ đó, ông de Rênal vừa kêu lên vừa vỗ trán giận dữ và đi từ chuyện phát hiện này đến chuyện phát hiện nọ, thế mà bà chẳng nói gì với tôi cả.
- Érdemes lett volna, hogy a mi kedves igazgatónk kis hiú szeszélye miatt összeveszítsek két barátot?	— Chẳng lẽ làm cho hai người bạn thân phải bất hòa với nhau, chỉ vì một tí chút hiếu thắng của ông giám đốc quý mến của chúng ta?
Melyik az a mi társaságunkhoz tartozó asszony, a kinek nem írt néhány igen elmés, sőt egy kissé csábító levelet is?	Đối với người đàn bà nào của xã hội thượng lưu mà ông ta chả gửi vài bức thư cực kỳ dí dỏm và cũng hơi lẳng lơ đôi chút?
- Levelet merészelt írni?	— Có lẽ hắn cũng có viết cho bà chứ?
- Ő nagyon sokat ír.	— Viết nhiều lắm.
- Rögtön mutassa meg e leveleket, parancsolom; - és de Rênal úr hat lábbal magasabbra nőtt.	— Bà đưa ngay lập tức những thư từ đó cho tôi xem, tôi ra lệnh đấy; và ông de Rênal vênh váo cái mặt lên.
- Most rögtön, a mindenségét!	— Ngay lập tức; mẹ kiếp!
- kiáltott de Rênal úr, részegen a dühtől, de mégis boldogabban, mint a miként az utóbbi tizenkét óra óta érezte magát.	Ông de Rênal kêu lên, ông tức giận đến mê người, nhưng trong lòng sung sướng hơn tất cả mười hai tiếng đồng hồ vừa qua.
- Megesküszik, - szólt de Rênal-né nagy komolyan, - hogy sohasem fogja szemére lobbantani az igazgatónak e leveleket?	— Ông có cam đoan với tôi, bà de Rênal nói rất nghiêm trang, là không bao giờ sinh chuyện với ông giám đốc viện tế bần về những bức thư đó không?
- Megteszem, vagy nem teszem, a lelenczeket mindenképpen elvehetem tőle; de - folytatá dühösen - rögtön látni akarom a leveleket; hol vannak?	— Sinh chuyện hay không sinh chuyện, tôi có thể triệt của hắn cái khoản trẻ con vô thừa nhận; nhưng, ông thịnh nộ nói tiếp, hãy đưa ngay những bức thư kia đây; hiện để đâu?
- Szekrényem egyik fiókjában; a kulcsot azonban semmiesetre sem adom oda.	— Trong một ngăn kéo bàn giấy của tôi; nhưng cố nhiên, tôi không đưa chìa khóa cho ông đâu.
- Fel fogom törni, - kiáltott de Rênal úr, felesége szobája felé iramodva.	— Dễ tôi không phá vỡ được nó ra đấy, ông vừa kêu lên vừa chạy lên buồng của vợ.
És csakugyan, egy vasszeggel föl is törte a mahagoni fából faragott drága szekrényt, melyet Párisból hozatott és a melyet gyakran szokott volt a kabátja szárnyával dörzsölgetni, ha valami foltot vett rajta észre.	Quả nhiên, ông lấy một cái cọc sắt nhọn, phá vỡ cái bàn giấy quý giá bằng gỗ đào hoa tâm có vân lát xoắn, gửi mua từ Paris đem về, mà trước đây ông vẫn luôn luôn lấy vạt áo mà lau, khi ông tưởng chừng như thấy có một vết bẩn nào.
De Rênal-né száguldva rohant föl a galambos torony százhúsz lépcsőfokán; a kis ablak rácsának egyik vasvesszejére fehér zsebkendőt kötött.	Bà de Rênal đã chạy thoăn thoắt leo hết một trăm hai mươi bậc thang lên chuồng chim bồ câu; bà buộc một góc chiếc mù soa trắng vào một dóng sắt của khung cửa sổ nhỏ.
A legboldogabb nő volt a világon.	Lúc này bà là người đàn bà sung sướng nhất.
Szemébe könnyek gyűltek és úgy nézett a hegységet borító nagy erdő felé.	Nước mắt lưng tròng, bà nhìn về phía những cánh rừng lớn trên núi.
E terebélyes bükkfák valamelyike alatt - mondá magában - Julien bizonyára lesi e szerencsés jeladást.	Bà nghĩ bụng, chắc hẳn dưới một cây dẻ gai um tùm kia, Julien đương rình cái tín hiệu tốt lành này.
Sokáig hallgatódzott, azután pokolra kívánta a tücskök egyhangú czirpelését és a madarak énekét.	Bà lắng tai hồi lâu, rồi bà thầm oán tiếng ve kêu ra rả và tiếng chim hót véo von.
Ha ez az alkalmatlan zaj nem lett volna, az örömkiáltás, mely a bérczek között elhangzott, elhatolhatott volna idáig.	Không có tiếng động phiền nhiễu đó, thì có lẽ từ đây có thể nghe thấy một tiếng kêu vui mừng phát ra từ những ghềnh đá lớn kia chăng.
Tekintete sóvárogva hatolt az óriási sötétzöld és mezőhöz hasonlóan sima sátorba, a mit a fák koronája alkotott.	Con mắt hau háu của bà nhìn ngấu nghiến cái núi dốc mênh mông bát ngát màu lá cây xanh thẳm và phẳng phiu như một cánh đồng cỏ, do các ngọn cây hình thành nền.
- Miért is nincs annyi esze, - szólt magában egészen ellágyúlva, - hogy valami jeladást tudna kitalálni, a mivel megmondhatná, hogy az ő boldogsága sem kisebb, mint az enyém?	Sao chàng lại không có trí thông minh, bà tự nghĩ mà lòng chứa chan tình âu yếm, nghĩ ra một tín hiệu nào đó để bảo cho ta biết rằng chàng sung sướng cũng bằng ta nhỉ?
Addig maradt a toronyban, mígnem félnie kellett, hogy férje feljön érte.	Mãi đến lúc sợ chồng lên tìm, bà mới rời chuồng chim đi xuống.
Megragadva egy pillanatot a melyben férje kifakadásai nem tették lehetetlenné, hogy megértesse magát:	Tóm lấy một giây phút mà những tiếng kêu la của chồng còn để cho bà len được một vài câu:
- És én ismét csak azt mondom, - szólt de Rênal-né, - hogy Juliennek el kell utaznia.	— Tôi vẫn trở lại ý kiến của tôi, bà de Rênal nói, nên để cho Julien đi chơi vắng một chuyến.
