JAMES JOYCE	James Joyce
Mikor egészen biztosan meggyőződött róla, hogy a történet véget ért, teljes félpercnyi hangtalan nevetéssel adózott.	Khi khá chắc là câu chuyện đã kết thúc, anh ta cười ầm lên phải đến nửa phút.
Aztán megszólalt:	Rồi anh ta nói:
- Igen... Hát ez nagy fogás volt!	- Thật, đỉnh thật!
Hangja duzzadt az életerőtől, és hogy szavait még súlyosabbá tegye, kedélyesen hozzátette:	Giọng anh ta có vẻ hơi thiếu nồng nhiệt và để nhấn mạnh lời mình anh ta thêm vào với vẻ hài hước:
- Igen, ez páratlan, és ha szabad magam így kifejezni, recherché fogás volt!	- Đỉnh thật, và nếu tớ được phép gọi nó như thế, đây quả là chuyện đỉnh trên cả đinh!
Mikor ezt ellelkendezte, komoly hallgatásba hervadt.	Sau đó anh ta trở nên nghiêm trang và nín lặng.
Bár legtöbben szilárdan hitték, hogy Lenehan egy pióca, mégis, e hírhedtsége ellenére is, ékesszólással és ügyeskedéssel mindig visszatartotta barátait attól, hogy egységesen védekezzenek ellene.	Hầu như ai cũng coi Lenehan như một thứ đỉa bám, nhưng mặc dù bị tiếng xấu này, tài ngoại giao và hùng biện vẫn luôn cứu anh ta khỏi bị bạn bè tẩy chay.
Kóbor lovag volt, fel­fegy­verkezve történetek, faviccek és találós kérdések kimeríthetetlen tárával.	Anh ta là một đã lông bông lẻo mép, có vũ khí là một kho truyện, thơ nhại, câu đố.
Az udvariat­lan­ságok ellen rinocérosz­bőr pajzsot viselt.	Anh ta miễn dịch với tất cả các trò khiếm nhã.
Senki nem tudta, miképpen oldja meg a megélhetés szigorú feladatát, nevét azonban, kideríthetetlen okokból, a lóversenyzéssel hozták kapcsolatba.	Không ai biết anh ta giải quyết miếng cơm manh áo thế nào, nhưng tên anh ta nghe nói có dính dáng đến mấy tờ lá cải cá cược đua ngựa gì đó.
- Mondd, Corley, végeredményben hol szedted fel?	- Và cậu nhặt được cô nàng ở đâu thế, Corley?
- kérdezte.	- anh ta hỏi.
Corley nyelve tüneményes gyorsasággal futott végig felsőajkán.	Corley đưa lưỡi liếm nhanh môi trên.
El is jött velem, a csatorna környékén kódorogtunk, közben elmesélte, hogy egy Baggot utcai házban szolgál.	Rồi bọn tớ đi dạo dọc kênh (kênh Grand), và nàng nói với tớ nàng giúp việc cho một nhà trên phố Baggot.
Átfogtam a derekát, és jól meg is szorongattam akkor este.	Đêm đó tớ vòng tay quanh nàng và ôm nàng kha khá.
Öregem, a következő vasárnap már megbeszélt helyen talál­koz­tunk.	Rồi Chủ nhật sau đó, anh bạn, tớ đi chơi với nàng.
Kimentünk a Donnybrookra, van ott egy rét, tudod, hát odavittem.	Bọn tớ đi Donnybrook và tớ đưa nàng ra cánh đồng.
Minden este cigarettát hozott, és a villamost is ő fizette, oda-vissza.	Thuốc lá thì đêm nào nàng cũng mang cho tớ, và trả tiền xe điện cả đi lẫn về.
Egyik este aztán hozott két olyan marha jó szivart - tudod, azt az igazit, amit az öregem valaha szívott... Attól félek, apám, hogy felcsináltam.	Và một đêm nàng mang cho tớ hai điếu xì gà bá cháy - Ôi chính là cái loại xịn cậu biết đấy, loại những lão già hồi xưa hay hút ấy... Tớ chỉ hơi sợ, anh bạn, nhỡ đâu cô ả dính bầu.
- Lehet, hogy azt hiszi, elveszed feleségül - vélte Lenehan.	- Có khi cô nàng nghĩ cậu sẽ cưới cô nàng cũng nên - Lenehan nói.
Lenehan megint hangtalanul nevetett:	Lenehan lại cười ầm lên.
- Mindazon nyalánkságok közül, amiket eddig hallottam, ez a legédesebb.	- Trong tất cả những chuyện hay ho tớ từng nghe - Anh ta nói - đây quả là chuyện độc nhất vô nhị.
Corley méltóságteljes léptei jelezték, hogy tudomásul vette a bókot.	Corley nghiêng người đón nhận lời khen.
Mindig előre nézett, meredten, mintegy örökös díszszemlére idomítottan, és ha utána nézett valakinek, csípőből elfordította egész felsőtestét.	Anh ta luôn nhìn thẳng phía trước như đang duyệt binh, và khi muốn nhìn theo ai đó trên phố, anh ta cần phải chuyển động phần cơ thể phía trên hông.
Gyakran látták detektívek társaságában, komoly beszélgetésbe merülten.	Người ta thường thấy ah ta đi với đám cảnh sát mặc thường phục, trò chuyện sôi nổi.
Nem történhetett a városban olyan esemény, melynek ne tudta volna kulisszatitkait, és szívesen hozott ezekről fellebbezhetetlen ítéleteket.	Chuyện gì anh ta cũng biết tường tận và rất khoái được đưa ra những lời phán xét cuối cùng.
Beszéd közben mások mondanivalóját meg sem hallgatta.	Anh ta nói mà không bao giờ thèm lắng nghe những người đồng hành.
Amikor ezeket a drámai dialógusokat előadta, firenzei kiejtéssel mondta nevének első betűjét.	Khi thuật lại những hội thoại này anh ta bật hơi chữ cái đầu tiên của tên mình theo kiểu người Florence.
Lenehan cigarettával kínálta barátját.	Lenehan mời bạn một điếu thuốc.
Miközben utat vágtak maguknak a tömegben, Corley időnként csípőből elfordulva utána mosolygott egy-egy tovatűnő lányalaknak, Lenehan pedig állhatatosan a kettős glóriájú, sápadt holdra szegezte pillantását.	Trong lúc hai người đàn ông trẻ tuổi tiếp tục xuyên qua đám đông, thỉnh thoảng Corley lại quay sang mỉm cười với cô nào đó đi ngang họ, nhưng cái nhìn của Lenehan lại hướng đăm đăm về phía vầng trăng lời mờ mờ có quầng bao quanh.
Tűnődve szemlélte a félhomály szürke fátyolát, amint elvonul a roppant arc előtt.	Anh ta chăm chú quan sát bóng chiều dần dần trôi ngang mặt trăng.
- Igen... mondd csak, Corley, biztos vagy abban, hogy tető alá tudod hozni ezt a dolgot?	- Nào...nói cho tớ biết, Corley, chắc cậu sẽ thu xếp ổn thỏa, phải không?
Felelet helyett Corley sokat jelentőn behunyta egyik szemét.	Corley nháy mắt đầy ngụ ý thay cho câu trả lời.
- Az ember sohase bízzon egészen a nőben.	- Cô nàng dễ dụ không?
- Vele nincs baj - jelentette ki Corley.	- Lenehan hỏi ngờ vực - Phụ nữ khó biết lắm.
- Különben is tudom a módját, hogyan kell megpuhítani.	- Cô nàng ổn thôi - Corley nói - Tớ biết cách dụ nàng mà, anh bạn.
Belém van esve a kicsi.	Nàng chết tớ lắm.
Szolgai modorát az irónia halvány árnyalata enyhítette.	Thoáng châm biếm làm giảm bớt đi vẻ lệ thuộc của anh ta.
Szokás szerint lehetőséget adott arra, hogy a törleszkedését ugratásnak is magyarázhassák.	Để giữ thể anh ta có thói quen làm câu nịnh của mình luôn mập mờ như kiểu chế giễu.
Az ilyen finomságokhoz azonban Corleynek nem volt esze.	Nhưng Corley chẳng mảy may nghi ngờ.
- Nincs jobb egy jó szolgálónál - nyilatkozott Corley.	- Không gì bằng một cô hầu gái ngoan ngoãn - anh ta khẳng định - tớ đánh cược đấy.
- Először, tudod, én is lányokkal jártam - öntötte ki szívét Corley -, a South Circular körüli lányokkal.	- Hồi xưa tớ hay đi với các nàng thật, cậu biết đấy - Corley nói, giọng bộc bạch - Các nàng khu South Circular.
Pénzt költöttem rájuk, méghozzá sokat - tette hozzá meggyőző hangon, mintha tudná, hogy úgysem hiszik el, amit mond.	Tớ vẫn luôn chịu chi đầy đủ vì các nàng - anh ta nói thêm, giọng thuyết phục, như thể nhận ra mình không được người ta tin tưởng cho lắm.
De Lenehan mindent elhitt, és komolyan bólintott hozzá.	Nhưng Lenehan hoàn toàn tin tưởng điều đó, anh ta gật đầu trang trọng.
- Ismerem ezt a figurát, és mondhatom, link figura - felelte.	- Tớ hiểu trò đó mà - anh ta nói - Toàn là chuyện vô bổ.
- És rém kevés kárpótlást kaptam érte.	- Quỷ tha ma bắt tớ có bao giờ kiếm chác được xu nào - Corley nói.
- Dettó.	- Tớ cũng thế đấy - Lenehan nói.
- Kivéve egyszer.	- Chỉ trừ duy nhất một nàng - Corley nói.
Az emlékezés felgyújtotta szemét.	Chuyện cũ làm mắt anh ta sáng lên.
Felbámult ő is a hold sápadt korongjára, amely már csaknem egészen beburkolózott fátylaiba, és úgy tett, mintha elmélkednék.	Rồi chính anh ta cũng ngước nhìn vầng trăng mờ, giờ đây đã sắp chìm hẳn, và trông có vẻ trầm tư.
- Az a lány... micsoda falat volt - sajnálkozott.	- Cô nàng...khá được - anh ta nói một cách tiếc nuối.
- Most nagyon fut.	- Giờ cô nàng chắc cũng đi khách.
Valamelyik este láttam az Earl utcában, két pofával kocsikázott.	Đêm nọ tớ thấy cô nàng ngồi với hai gã trên xe ngựa đi dọc phố Earl.
- Ez a te műved - gyanúsította Lenehan.	- Tớ chắc chính cậu đã đẩy cô nàng đến chỗ như vậy - Lenehan nói.
- Volt már neki előttem is valakije - legyintett Corley lemondón.	- Trước tớ cô nàng còn có những gã khác mà - Corley nói thản nhiên.
Lenehan ezúttal kétkedésre hajlott.	Lần này Lenehan buộc phải không tin.
Jobbra-balra ingatta fejét és mosolygott:	Anh ta lắc lắc đầu và mỉm cười.
- Tudod, hogy engem nem lehet hintába tenni, Corley.	- Cậu biết cậu đâu có thể lừa được tớ, Corley - anh ta nói.
- Bizonyisten - erősködött Corley -, ő maga mondta nekem.	- Corley nói - chẳng phải chính cô nàng đã kể với tớ sao!
Amikor a Trinity College kerítése elé értek, Lenehan az úttest közepére szökött, és felnézett az órára.	Khi họ đi ngang qua tường rào trường Trinity College, Lenehan bước xuống lòng đường và nhìn lên đồng hồ.
- Húsz perccel múlt - közölte.	- Bảy giờ hai mươi - anh ta nói.
- Van még idő - mondta Corley. - Ott lesz.	- Còn nhiều thời gian mà - Corley nói - Cô ta sẽ vẫn đứng đó thôi.
Lenehan nyugodtan nevetett.	Lenehan cười kín đáo.
- Corley, te azután tudsz velük bánni.	Corley, cậu luôn biết cách dụ bọn họ - anh ta nói.
- Minden fogással tisztában vagyok - vallotta meg Corley.	- Tớ biết đủ loại mánh khóe - Corley thú nhận.
- Te - kérdezte megint Lenehan -, biztos, hogy meg bírod faggyúzni ezt az ügyet?	- Nhưng nói cho tớ biết - Lenehan lại nói - cậu có chắc có thể thu xếp mọi chuyện ổn thỏa không đấy?
Tudod, hogy ilyesmiben piszok kemények tudnak lenni.	cậu biết đây là chuyện tế nhị mà.
Mi?...	Hả?
Na?	Sao?
Corley idegesen meglóbálta fejét, mintha egy tolakodó legyet akarna elzavarni, és összemorcolta szemöldökét:	Corley lúc lắc đầu như thể muốn đẩy rơi ra một con côn trùng ngoan cố, và hai đầu lông mày anh ta nhíu lại.
Lenehan nem is firtatta tovább.	Lenehan không nói gì nữa.
Esze ágában sem volt barátja kedélyét felborzolni, mert még a végén elküldik azzal, hogy senki sem kíváncsi tanácsaira.	Anh ta không muốn chọc tức bạn, làm anh ta nổi khùng, để rồi bị nói là không cần khuyên bảo gì hết.
De Corley szemöldöke már elsimult.	Nhưng hai đầu lông mày Corley đã mau chóng dãn ra.
- Oltári egy bestia - mondta elismerőn -, ezt igazán rá lehet mondani.	- Nàng là một em đoan trang ngoan ngoãn - anh ta nói, giọng ngưỡng mộ - Cô nàng là như vậy.
Végigmentek a Nassau utcán, és befordultak a Kildare utcába.	Họ đi dọc phố Nassau rồi rẽ vào phố Kildare.
Nem messze a klub oszlop­csarnokától egy hárfás állt, hallgatói sovány gyűrűjében, és játszott.	Cách không xa vòm cổng một câu lạc bộ một nghệ sĩ phong cầm đangchơi nhạc giữa đường, xung quanh lưa thưa khán giả.
Közömbösen tépdeste a húrokat, gyors pillantásokat vetett minden újonnan jött arcába, és időnként ugyancsak fásultan, az égre fel.	Anh ta bật dây đàn lơ đễnh, lúc thì liếc nhanh mỗi người mới đến nghe, lúc thì, vẫn mệt mỏi như vậy, ngước nhìn trời.
Az egyik kéz, a Silent, O Moyle dallamának basszusát játszotta, a másik minden dallamegység után végig­szaladt a húrokon.	Một tay anh ta chơi bè trầm khúc Silent, O Moyle, trong khi tay kia cứ sau một đoạn lại chêm bè cao.
Dúsan, mélyen ömlöttek a dal hangjai.	Những nốt nhạc rung đến não ruột.
A két fiatalember némán ment végig az utcán, nyomukban a gyászos muzsikával.	Hai chàng trẻ tuổi bước đi trên phố không nói năng gì, tiếng nhạc não nề đuổi theo họ.
Amikor a Stephen’s Green-hez értek, átvágtak az úttesten.	Khi tới vie^.t nam Stephen's Green, họ qua đường.
Itt a villamosok lármája, a fények és a nyüzsgés feloldotta hallgatásukat.	Ở đây tiếng ồn của xe điện, ánh đèn, đám đông giải thoát họ khỏi sự im lặng.
- Na, ott van!	- Cô nàng kia kìa!
- mondta Corley.	- Corley nói.
A Hume utca sarkán egy fiatal nő ácsorgott.	Tại góc phố Hume một người phụ nữ trẻ đang đứng.
A járdaszélen állt, és napernyőt lóbált az egyik kezében.	Cô ta đứng trên vỉa hè lát đá, một tay vung vẩy ô che nắng.
Lenehan felélénkült:	Lenehan trở nên hoạt bát hẳn lên.
- Hadd nézzem csak, Corley.	- Liếc cái xem cô nàng thế nào nào, Corley - anh ta nói.
Corley oldalvást barátjára sandított, és kellemetlen grimasz jelent meg arcán.	Corley lườm bạn, và một cái nhếch mép cười không được dễ chịu lắm xuất hiện trên mặt anh ta.
- Bele akarsz köpni a levesembe?	- Cậu đang định nẫng tay trên của tớ đấy à?
- kérdezte.	- anh ta hỏi.
- A fenét!	- Đồ chết tiệt!
- válaszolta Lenehan vakmerően.	- Lenehan cộc lốc - tớ không muốn cậu giới thiệu.
- Aha... megnézni?	- Ơ...Nhìn xem cô ta thế nào à?
- mondta Corley enyhültebben.	- Corley nói giọng đã dịu hơn - Được rồi.
- Na... Mondok valamit.	- Được đấy!
- Rendben.	- Lenehan nói.
Corley már átvetette egyik lábát a láncon, amikor Lenehan utánaszólt:	Corley đã nhấc một chân chuẩn bị bước qua rào xích sắt thì Lenehan gọi theo;
- És utána?	- Rồi sau đó?
- Fél tizenegykor - válaszolt Corley, átemelve a másik lábát is.	- Mười rưỡi - Corley trả lời, nhấc nốt chân kia qua rào.
- Hol?	- Ở đâu?
- Merrion utca sarok.	- Góc phố Merrion.
Arra jövünk vissza.	Bọn tớ sẽ quay lại.
- Akkor hát jó munkát - búcsúzott Lenehan.	- Lenehan nói thay lời tạm biệt.
Corley nem válaszolt.	Corley không trả lời.
A lány még gyorsabban kezdte lóbálni az ernyőt és megfordult.	Cô ta vung vẩy chiếc ô nhanh hơn, gót giày xoay xoay.
Időnként, amikor Corley közvetlenül a füléhez hajolva beszélt, a lány lehajtotta fejét és nevetett.	Một hay hai lần khi anh ta nghiêng người ghé sát, cô ta lại cười ré lên và cúi đầu xuống.
Lenehan pár pillanatig nézte őket.	Lenehan quan sát họ mấy phút.
Egy darabig a lánc mentén sietett tovább, majd ferdén átszelte az úttestet.	Rồi anh ta rảo bước dọc theo hàng rào thêm một lúc rồi rẽ chéo sang đường.
Kék szövetszoknyáját fekete bőröv szorította a derekához.	Chiếc váy dạ xanh thắt lại ở eo bằng một chiếc thắt lưng da đen.
Az öv óriási ezüst csatja testének középpontjába fúródott, és egyben brossként is szolgált, amely fehér blúzának könnyű anyagát markolta össze.	Cái khóa bạc to tướng trên thắt lưng dường như khiến đoạn giữa người cô ta ngắn lại, thắt phần áo trắng bên trên vào như một cái kẹp.
Tüllgallérjának szárnyai gondos rendet­lenséggel nyiladoztak, és egy óriási csokor piros virág volt keblére tűzve, szárával fölfelé.	Phần trên cổ áo ren được cẩn thận xếp bồng lên và đám hoa màu đỏ cài trên ngực chổng ngược cuống.
Nyílt, durva egészség izzott zsíros, vörös képén és szégyentelen kék szemében.	Mắt Lenehan thích thú ghi nhận thân hình thấp lùn vạm vỡ của cô gái.
Tíz másodperc múlva Corley viszonozta az üdvözlést, a levegőbe.	Cánh mũi cô ta rộng, miệng trễ toe toét thỏa mãn, hai răng cửa vẩu ra.
Ezt úgy csinálta, hogy karját bizonytalan mozdulattal megemelte, és tépelődve változtatott egyet kalapjának fejéhez viszonyított szögén.	Khi đi ngang, Lenehan nhấc mũ lên, và sau đó khoảng mười giây, Corley chào lại.anh ta làm việc này bằng cách làm ra vẻ lơ đãng giơ tay lên sửa mũ.
Lenehan elment a Shelbourne hotelig, ott megállt és várakozott.	Lenehan đi đến tận khách sạn Shelbourne, rồi anh ta dừng lại và đứng chờ.
Kis idő után megpillantotta a közeledőket, és amikor azok letértek jobbra, nyomukba szegődött a Merrion tér egyik oldalán, gumicipős, halk léptekkel.	Chờ một lát thì anh ta thấy họ đang tiến lại về phía mình và khi họ rẽ sang phải, anh ta đi theo họ, chân giậm nhẹ đôi giày trắng, dọc theo vườn Merrion Square.
Lassú sétája közben, lépéseit az övékhez igazítva, Corley fejét csodálta, amely pillanatonként fordult a nő arca felé, mint egy óriási gömb, amely valami központ körül kering.	Trong lúc chậm rãi đi tiếp, cần sao cho cách họ một khoảng vừa phải, anh ta nhìn cái đầu của Corley chốc chốc lại cúi xuống khuôn mặt người phụ nữ trẻ giống như một quả bóng lớn xoay tròn quanh trục.
Szemmel tartotta a párt, amíg meg nem győződött róla, hogy felszálltak a donnybrooki villamosra; akkor megfordult, és ugyanazon az úton, amelyiken jött, visszafelé indult.	Anh ta đi theo đôi tình nhân cho đến khi nhìn thấy họ trèo lên xe điện đi Donnybrook, rồi anh ta quay gót và trở lại con đường vừa đi.
Vidámsága, úgy tűnt, elhagyta, és ahogy a Duke’s Lawn kerítése mentén haladt, kezével szórakozottan kerepelt a léceken.	Vẻ tươi vui dường như đã bỏ rơi anh ta và bởi đang đi dọc theo hàng rào vườn Duke's Lawn, anh bèn để tay chạm theo những thanh rào.
Kedvetlenül sétálta körül a Stephen’s Greent, aztán nekivágott a Grafton utcának.	Anh ta đi lơ vơ vòng quanh vườn Stephen's Green rồi đi xuống phô;' Grafton\.
Fogalma sem volt, hogy üsse agyon az időt, míg Corley visszatér.	Chuyện phải làm gì mấy tiếng đồng hồ từ bây giờ cho đến khi gặp lại Corley làm anh ta bực mình ít nhiều.
Nem jutott más az eszébe, mint hogy tovább folytassa sétáját.	Anh ta không nghĩ ra có thể làm gì ngoài việc cứ tiếp tục đi thế này.
A Ruthland Square sarkán jobbra fordult, és felszabadultabban lélegzett az elhagyott sötét utcácskában, amelynek bús külseje inkább megfelelt az ő pillanatnyi hangulatának.	Anh ta rẽ sang trái khi đến góc vườn Rutland Square, và cảm thấy dễ chịu hơn chút ít trên con phố tối vắng ngắt, vẻ buồn thảm của nó hợp với tâm trạng anh ta.
Megállt egy nyomorult külsejű üzlet előtt, amelynek homlokzatán fehér betűkkel ez állt: Büfé.	Cuối cùng anh ta dừng lại trước cửa kính một cửa hiệu trông xoàng xĩnh, phía trên có chữ Tiệm ăn nhẹ màu trắng.
A kirakatüvegen két tömör mondat hirdette: Barna gyömbérsör és Világos gyömbérsör.	Trên tấm kính là hai dòng chữ nguệch ngoạc:"Bia gừng nhẹ và bia gừng nâu".
Nagy kék tálon szeletelt sonka, mellette egy vékony szelet pudding volt közszemlére téve.	Một đùi giăm bông bày trên cái đĩa lớn màu xanh, và cạnh đó trên một cái đĩa khác có điều bánh pudding mận màu rất nhạt.
Egy darabig a tál áhítatos szemléletébe merült, majd miután óvatos pillantása mindkét irányban végigsepert az utcán, gyorsan besurrant az üzletbe.	Anh ta chăm chú nhìn đám đồ ăn một lúc, và rồi sau khi đã thận trọng nhìn hết dọc phố, vội vã bước vào hiệu ăn.
Leült az egyik terítetlen-gyalulatlan asztalhoz, szembe két munkáslánnyal és egy szerelővel.	Anh ta ngồi xuống một chiếc bàn gỗ không trải khăn đối diện hai cô công nhân và một người thợ máy.
- Mennyibe kerül egy tál borsó?	- Một đĩa đậu giá bao nhiêu?
- kérdezte tőle.	- anh ta hỏi.
- Másfél penny, kérem.	- Một xu rưỡi, thưa ông - cô gái nói.
- Hozzon egy tál borsót meg egy üveg gyömbérsört.	- Mang cho một đĩa đậu - anh ta nói - và một bia gừng nhẹ.
Hogy természetesnek tűnjön, sapkáját hátracsapta, és könyökével az asztalra dőlt.	Để trông bình thường trở lại, anh ta đội mũ lưỡi trai lên và đặt cả hai khuỷu tay lên bàn.
A szerelő és a két munkáslány először részletes szemlét tartottak fölötte, aztán újra kezdték a beszélgetést.	Người thợ máy và hai cô công nhân săm soi anh ta kỹ càng trước khi quay lại cuộc chuyện trò của họ, giọng hạ xuống.
A lány meghozta a forró zöldborsót, borssal, ecettel fűszerezve, villát és gyömbér­sört.	Cô phục vụ mang lại một đĩa đậu nóng trộn tiêu và giấm, một cái đĩa, và bia gừng.
Mohón nekiesett az ételnek, és olyan ízletesnek találta, hogy gondolatban megjegyezte az üzletet.	Anh ta ngốn ngấu chỗ thức ăn và thấy ngon đến nỗi phải nhẩm trong đầu ghi nhớ địa chỉ hiệu ăn.
Mikor végzett a borsóval, felhajtotta sörét, hátradőlt, és egy ideig Corley kalandján mélázott.	Khi đã chén sạch chỗ đậu anh ta ngồi ngâm nga cốc bia gừng một lúc và nghĩ về cuộc phiêu lưu của Corley.
Képzele­té­ben megjelent a szerelmespár képe, valahol egy sötét utcában sétálnak; hallotta Corley mély, erélyes hangját, ostoba bókjait, és látta a lány bamba száját.	Trong trí tưởng tượng anh ta thấy đôi tình nhân đang đi dạo dọc trên một con phố tối tăm nào đó, anh ta nghe thấy giọng Corley hạ thấp thì thầm tán tỉnh, và một lần nữa lại nhìn thấy vẻ toe toét miệng của người phụ nữ trẻ.
Belefáradt a csavargásba, hogy üldözze a jószeren­csét, hogy ravaszkodjon, hogy cselezzen.	Anh ta đã chán ngán cảnh lông bông, luôn bên bờ vực túng bấn, chán những mưu đồ mánh khóe này kia.
A meleg kandalló gyönyörére gondolt, és a dús ebédek örömére gondolt, ha lenne!	chẳng lẽ không bao giờ có được một căn nhà của chính mình?
Tapasztalatai a világ ellen keserítették szívét.	Ký ức lam`1 trái tuổi manh ta căm ghét cuộc sống.
Minden remény azonban mégsem hagyta el.	Nhưng hy vọng chưa hoàn toàn rời bỏ anh ta.
Most, hogy evett, jobban érezte magát, mint előbb, kevésbé élettől-nyűttnek, kevésbé tiprottnak a szellemét.	Sau khi được ăn anh ta cảm thấy khá hơn, đỡ cảm thấy buồn thảm với cuộc đời mình hơn, đỡ u ám trong tâm tưởng hơn.
Lefizette a két és fél pennyt a lompos lánynak, és kiment az üzletből, hogy újra kezdje kóborlását.	Anh ta trả hai xu rưỡi cho cô bé nhếch nhác, và đi ra khỏi cửa hiệu tiếp tục chuyến lang thang của mình.
Befordult a Capel utcába, és a City Hall felé tartott.	Anh ta đi vào phố Capel và đi dọc về phía Tòa thị chính.
Aztán a Dame utcához ért.	Rồi anh ta rẽ vào phố Dame.
A George utca sarkán két barátjával találkozott, és megállt velük beszélgetni.	Tại góc phố George, anh ta gặp hai người bạn, và dừng lại trò chuyện với họ.
Barátai Corley és a legfrissebb hírek után érdeklődtek.	Bạn anh ta hỏi dạo này có gặp Corley không, và có tin gì mới không.
Azt felelte, hogy Corleyvel töltötte a napot.	Anh ta trả lời cả ngày hôm nay anh ta đi cùng Corley\.
Tunyán megbámultak egy-két alakot a tömegből, és néhány bíráló megjegyzést hallattak.	Họi nhìn lơ đãng theo ai đó trong đám đông, thỉnh thoảng đưa ra những lời chê bôi.
Egyikük megjegyezte, hogy látta Macet a Westmoreland utcában, egy órája.	Một người nói anh ta vừa gặp Mac cách đây một tiếng trên phố Westmoreland.
Lenehan rávágta, hogy a tegnap estét együtt töltötte Mackel Egannél.	Nghe đến đó Lenehan nói đêm qua anh ta vừa đi uống với Mac ở quán nhà Egan.
Az a fiú, aki látta Macet a Westmoreland utcában, arra volt kíváncsi, vajon igaz-e, hogy Mac csinos összeget nyert egy billiárdpartin.	Người đàn ông trẻ gặp Mac ở phố Westmoreland hỏi có phải đúng là Mac vừa thắng chút đỉnh trong một trận bi a không.
Lenehan erről nem tudott: ő csak annyit tud, hogy Egannél Holohan fizette az italt.	Lenehan không biết, anh ta nói Holohan đãi cả bọn một chầu tại quán Egan.
Háromnegyed tízkor elvált barátaitól, és kiment a George utca sarkára.	Anh ta rời hai người bạn lúc mười giờ kém mười lăm và đi lên phố George.
A Várospiacnál balra fordult, és a Grafton utcán haladt tovább.	Anh ta rẽ trái chỗ khu chợ City Markets và đi tiếp vào phố Grafton.
A fiatalemberek és lányok tömege gyérült, és amint célja felé tartott, csoportokat és párokat hallott búcsúzni egymástól.	Đám đông con gái và những người đàn ông trẻ đã thưa dầ nó, và đi trên phố anh ta nghe thấy nhiều nhóm và các đôi chia tay chúc nhau ngủ ngon.
Sietősen nekieredt a Green északi oldalán, rohant már, attól félt, Corley hamarább végez.	Anh ta rảo bước dọc mặt phía bắc vườn Stephen's Green, vội vã, sợ nhỡ đâu Corley đã quay lại sớm hơn.
Amikor a Merrion utca sarkára ért, bevette magát a lámpa árnyékába, előhúzott egy cigarettát azok közül, amelyeket erre a célra tartogatott, és rágyújtott.	Khi đến góc phố Merrion anh ta đứng nấp dưới bóng một cột đèn, rút ra điếu thuốc để dành và châm lửa hút.
Neki­támaszkodott a lámpaoszlopnak, és állhatatosan abba az irányba nézett, amerről Corleyt és a lányt várta.	Anh ta dựa lưng vào cột đèn và hướng mắt nhìn chờ đợi về phía anh ta nghĩ sẽ thấy Corley và người phụ nữ trẻ quay lại.
De emlékezvén Corley megfontoltan keringő fejére, valamicskét megnyugodott; most már biztosan tudta, hogy Corley tető alá hozza az ügyet.	Nhưng nhớ lại hình ảnh cái đầu xoay xoay ung dung của Corley anh ta cảm thấy bình tâm lại một chút, anh ta chắc chắn Corley sẽ thu xếp mọi chuyện ổn thỏa.
Ebben a pillanatban irtózatos gyanú ragadta torkon: hátha Corley egy más úton kísérte haza a nőt, aztán meglépett.	Rồi đột nhiên một ý nghĩ xuất hiện trong đầu anh ta nhờ đâu Corley đã tiễn cô gái về bằng đường khác, và cho anh ta leo cây.
Szemét meresztgette minden villamosra, amely a tér távoli sarkán megállt.	anh ta châm điếu thuốc cuối cùng và bắt đầu hút một cách căng thẳng.
Most már semmi kétség, más úton mentek haza.	Chắc chắn bọn họ đã về nhà bằng đường khác.
Gyönyörben úszott, és a lámpaoszlophoz lapulva lépteikből próbálta kiolvasni, mi lehet az eredmény.	Anh ta giật mình sung sướng, và cố nép sát hơn nữa vào cột đèn, cố đoán kết quả qua bộ dạng bước đi của họ.
Sietve jöttek, a nő rövid, gyors léptekkel, mellette Corley hosszú ügetéssel.	Họ đang đi rất nhanh, người phụ nữ trẻ bước những bước ngắn, nhanh, trong khi Corley bên cạnh cô ta chân sải những bước dài.
Nemigen látszott, hogy beszélgetnek.	Họ không có vẻ là đang trò chuyện.
Mint valami hegyes tárgy, szúródott szívébe a kétség.	Điềm báo làm anh ta thót người như chạm phải vật nhọn.
Mikor lefordultak a Baggot utcán, azonnal a nyomukba eredt, átvágva a másik oldalra.	Họ rẽ xuống phố Baggot, và ngay lập tức anh ta bám theo, đi con đường mòn khác.
Mikor megálltak, ő is megállt.	Khi họ dừng anh ta cũng dừng.
Pár pillanatig beszéltek valamit, aztán a nő lement az egyik ház alagsorának lépcsőin.	Họ nói chuyện một lát, rồi người phụ nữ trẻ xuống bậc thang vào tầng hầm một ngôi nhà.
Corley megállt a járda szélén, szemben a lépcsővel.	Corley vẫn đứng bên đường, cách bậc nhà một quãng.
Pár perc telt el.	Mấy phút trôi qua.
Corley megfordult és odalépett.	Một người phụ nữ đi về phía cô ta.
Széles termete eltakarta a nőt egy pillanatra, aztán csak annyit lehetett látni, hogy a nő rohan föl a lépcsőn.	Hình dáng to lớn của anh ta che khuất người phụ nữ mấy giây và rồi cô ta lại hiện ra, chạy lên bậc nhà.
Ajtó csapódott, és Corley sietősen megindult a Stephen’s Green felé.	Cửa nhà đóng lại sau cô và Corley bắt đầu rảo bước về hướng vườn Stephen's Green.
Lenehan ugyanabba az irányba sietett.	Lenehan đi nhanh theo hướng đó.
- Halló, Corley!	Anh ta gọi to:
- kiáltott.	- Corley, chào!
