ÉMILE ZOLA	Émile Zola
A kép közönséges volt, piszkos szürke, nagy violaszín foltokkal.	Nó trông ghê tởm, với một màu xám dơ bẩn cùng những mảng lớn màu hoa cà.
Laurent világosabb színeket nem tudott használni anélkül, hogy el ne sötétítette és be ne piszkolta volna őket; akarata ellenére is túlozta modelljének fakó arcszínét és Camille képe hasonlított a vízbefúlt ember zöldes arcszínéhez; az arcfintorító rajz szinte görcsöseknek tüntette fel az egyes vonásokat, s így a szomorú hasonlatosság még szembeötlőbb volt.	Laurent không thể sử dụng những màu chói hơn mà không biến chúng trở thành lờ mờ và nhoè nhoẹt. Dù không muốn, hắn đã phóng đại màu da nhợt nhạt của người làm mẫu, và gương mặt Camille giống như bộ mặt tai tái của người chết đuối, nét cọ nhăn nhúm làm biến dạng các đường nét, vì thế khiến sự giống nhau tai hại càng ấn tượng hơn.
De Camille el volt ragadtatva; azt mondotta, hogy a képen nagyon előkelő vonásai vannak.	Nhưng Camille lại mê mẩn, gã bảo là trên tranh gã có một vẻ phong nhã.
Miután jól megbámulta a saját alakját, kijelentette, hogy hoz két üveg champagnei bort.	Khi đã chiêm ngưỡng cặn kẽ diện mạo mình, gã tuyên bố đi kiếm hai chai sâm banh.
Raquinné lement a boltba.	Bà Raquin trở xuống cửa hiệu.
A művész és Therese egyedül maradt.	Nhà nghệ sĩ còn lại một mình với Thérèse.
A fiatal nő ott kuporgott a kép előtt, határozatlanul bámulva maga elé.	Thiếu phụ ngồi thu mình mơ hồ nhìn về phía trước mặt.
Úgy látszott, hogy remegve vár valamit.	Có vẻ như nàng run rẩy chờ đợi.
Az idő gyorsan mult, Camille visszajöhet, lehet, hogy ez az alkalom többé nem fog megismétlődni.	Thời gian thúc bách, Camille có thể trở lại, cơ hội có thể không xảy đến nữa.
A festő hirtelen megfordult és szemtől-szemben állott Therese-vel.	Đột nhiên, hoạ sĩ quay lai và mặt đối mặt với Thérèse.
Néhány másodpercig egymásra néztek.	Họ lặng nhìn nhau trong vài giây.
Azután Laurent egy heves mozdulattal lehajolt és a fiatal nőt a melléhez szorította.	Rồi, bằng một cử động mạnh bạo, Laurent cúi xuống và ghì chặt Thérèse sát ngực mình.
Hátranyomta a fejét s az ajkait a maga ajkához szorította.	Hắn ngửa đầu nàng lên và nghiền sát môi nàng dưới môi hắn.
A nő egy vad, heves és ellenálló mozdulat után egyszerre elhagyta magát s a földre csúszott, a padlóra.	Nàng cử động kháng cự, man dại, hung dữ, rồi đột nhiên, nàng buông xuôi, chuồi xuống mặt đất, trên nền gạch.
Egyetlen szót sem váltottak.	Họ không trao nhau dù chỉ một lời.
Csendes és brutális volt az egész jelenet.	Hành động thì lặng lẽ và táo tợn.
VII.	Chương 7
A szerelmesek már kezdettől fogva szükségesnek, végzetszerűnek, egészen természetesnek tartották a viszonyukat.	Ngay từ lúc khởi đầu, đôi tình nhân cảm thấy mối liên hệ của họ là tất yếu, tiền định, hoàn toàn tự nhiên.
Már az első összejövetelük alkalmával tegezték egymást s csókolóztak, anélkül, hogy zavarba jöttek volna, s nem is pirultak, mintha már évek óta bizalmas viszonyban volnának egymással.	Ở lần hội kiến đầu tiên, họ đã xưng hô thân mật, họ hôn nhau mà không bối rối, không ngượng nghịu, như thể sự mật thiết của họ đã có từ nhiều năm nay.
Nagyon könnyen beleilleszkedtek az új helyzetbe, tökéletes nyugalommal és szemérmetlenséggel.	Họ sống thoải mái trong cảnh ngộ mới, với sự bình thản và trâng tráo hoàn toàn.
Megállapították találkáikat.	Họ ấn định những lần hẹn hò.
Mivel Therese nem mehetett el hazulról, abban állapodtak meg, hogy Laurent jön el hozzá.	Thérèse không thể ra khỏi nhà vậy thì Laurent phải đến.
A fiatal nő nyugodt hangon, egész nyiltan megmagyarázta neki, hogy hogyan rendezi el a dolgot.	Thiếu phụ giải thích cho hắn biện pháp nàng tìm ra với một giọng thẳng thừng và vững tin.
A házaspár szobájában jönnek majd össze.	Những cuộc gặp gỡ sẽ diễn ra trong phòng của đôi vợ chồng.
Laurent a sikátorra nyíló keskeny folyosón jön be és Therese nyitja ki neki a lépcsőről nyíló ajtót.	Người tình đi qua lối đi hướng ra ngõ, và Thérèse sẽ mở cho hắn cánh cửa cầu thang.
Ez idő alatt Camille a hivatalban lesz, Raquinné pedig lenn a boltban.	Trong thời gian đó, Camille đang ở sở làm, còn bà Raquin thì ở dưới kia, trong cửa tiệm.
Vakmerő játék volt ez, de sikerülnie kellett.	Chính ở đó những đòn táo bạo chắc hẳn sẽ thành công.
Laurent beleegyezett.	Laurent chấp nhận.
Bízott az okosságában és valami brutális vakmerőség is volt benne, mint olyan emberben, akinek hatalmas ökle van.	Hắn vẫn mang bên trong sự thận trọng một thứ liều lĩnh táo tợn, sự liều lĩnh của một gã đàn ông có nắm đấm khổng lồ.
Kedvesének komoly és nyugodt arca ingerelte őt, hogy megízlelje az oly nyíltan felkínált szenvedélyt.	Vẻ nghiêm trọng và trầm tĩnh của người tình đưa hắn đến chỗ tận hưởng một nỗi đam mê được dâng hiến bạo dạn đến thế.
Valami ürügyet keresett, két órára elkéredzkedett a főnökétől és sietett a Pont-Neuf sikátorba.	Hắn tìm một cái cớ để được sếp cho nghỉ hai giờ, và hắn phóng nhanh tới ngõ Cầu Mới.
Attól kezdve, hogy a sikátorba ért, forró vágyakat érzett.	Từ lối vào ngõ, hắn cảm thấy niềm khoái lạc nhức buốt.
A hamis ékszereket árúsító nő éppen a folyosó ajtajával szemben ült.	Bà hàng nữ trang giả ngồi đối diện ngay cổng lối vào.
Meg kellett várnia, hogy el legyen foglalva, hogy egy fiatal munkásnő bemenjen a boltjába rézgyűrűt vagy függőt vásárolni.	Hắn phải chờ lúc bà ta bận rộn, một cô thợ trẻ đến mua một chiếc nhẫn hoặc mấy chiếc khuyên tai bằng đồng.
Akkor aztán gyorsan belépett a folyosóra, felment a szűk és sötét lépcsőn, a nedvességtől szürke falakhoz hozzátámaszkodva.	Thế là hắn nhanh chân thoát vào hẻm, hắn tựa vào những bức tường nhầy nhụa ẩm thấp để leo lên cầu thang.
Lábaival szinte rúgta a kőlépcsőket, minden lépésnek a zajánál úgy érezte, hogy valami tűz fut végig a mellén.	Chân hắn chạm vào các bậc thang bằng đá, hắn cảm thấy qua mỗi tiếng động của bước chân một luồng hơi nóng xuyên qua lồng ngực.
Az ajtó kinyilt.	Một cánh cửa mở.
A küszöbön fehér fényben, ott látta Thereset, hálókabátban, alsószoknyában; szinte ragyogott az asszony, - haja erősen hátra volt csavarva.	Trên ngạch cửa, giữa một làn sáng trắng bệch, hắn thấy Thérèse trong chiếc áo ngủ, váy ngắn, hoàn toàn rực rỡ, tóc buộc chặt phía sau đầu.
Utána bezárta az ajtót és Laurent nyakába borult.	Nàng khép cửa lại, vòng tay đeo lên cổ hắn.
Valami meleg illat áradt ki belőle, a fehér ing és a frissen mosott hús illata.	Một mùi nồng ấm toát ra từ người nàng, mùi quần áo sạch và da thịt mới tắm gội.
Laurent csodálkozva látta, hogy a kedvese szép nő.	Laurent ngạc nhiên thấy người tình của mình xinh đẹp.
Sohase látta még ezt az asszonyt.	Hắn chưa bao giờ chú ý đến người đàn bà này.
Therese, a karcsú és erős nő, megölelte, a fejét hátra hajtva, s az arcán égő fény és szenvedélyes mosoly futott végig.	Thérèse mềm mại và mạnh bạo siết chặt lấy hắn, ngã đầu ra sau và trên khuôn mặt nàng lướt qua những làn ánh sáng nóng bừng, những nụ cười mê đắm.
Szinte azt mondhatná az ember, hogy az alakja belülről volt megvilágítva, hogy lángok löveltek ki a húsából.	Tưởng như khuôn mặt đó vừa bốc cháy từ bên trong, và những ngọn lửa toả ra từ da thịt.
S a vére, amely égett, az idegei, amelyek megfeszültek, meleg áramokat bocsájtottak ki, valami átható és éles illatot.	và bao quanh nàng, máu đã sôi lên những dây thần kinh căng thẳng, cứ thế hừng hực bốc hơi, một luồng hơi thấm thía và nhức nhối.
Már az első csóknál romlott nőnek bizonyult.	Từ cái hôn đầu tiên, nàng đã tỏ ra thành thạo.
Kielégítetlen testét mohón dobta bele a kéj tengerébe.	Cơ thể thèm khát cuống quít lao vào niềm khoái lạc.
Mintha valami álomból ébredne fel, - szenvedélyes szerelemre született.	Nàng bừng tỉnh như từ một giấc mơ, sống dậy từ nỗi đam mê.
Camille gyenge karjaiból Laurent erőteljes karjaiba jutott, s egy erős embernek ez a közeledése hatalmas lökés volt ránézve, mely a húsát felébresztette álmaiból.	Nàng đi từ vòng tay yếu đuối của Camille sang cánh tay lực lưỡng của Laurent, và sự gần gũi với người đàn ông cường tráng đã gây một cơn chấn động đột ngột, kéo nàng ra khỏi cơn mê ngủ của thân xác.
Az ideges asszony minden ösztöne hallatlan hevességgel nyilatkozott meg benne, anyjának vére, az afrikai vér, mely égette ereit, elkezdett forrni és dühösen vert sovány, még csaknem szűz testében.	Mọi bản năng đàn bà dễ kích động nơi nàng vỡ oà với một sự hung tợn chưa từng thấy, dòng máu của người mẹ, cái dòng máu châu Phi đó bùng cháy trong huyết quản, bắt đầu dâng trào, đập điên cuồng trong cơ thể cằn cỗi, hầu như còn trinh trắng của nàng.
Szuverén szemtelenséggel mutogatta és kínálta magát.	Nàng xoài người ra, dâng hiến với một sự trâng tráo tột cùng.
S a feje tetejétől a talpáig mindene borzongott.	Và từ đầu đến chân, những cơn rùng mình dai dẳng lay động toàn thân.
Laurent soha sem ismert még ilyen nőt.	Chưa bao giờ Laurent biết đến một người đàn bà như vậy.
Meg volt lepetve és kényelmetlenül érezte magát.	Hắn sững sờ, cảm thấy khó chịu.
A kedvesei rendesen nem szokták őt ily nagy felhevüléssel fogadni, hozzá volt szokva a hideg és közönyös csókokhoz, a fáradt és unott szerelmekhez.	Bình thường, những cô tình nhân của hắn không đón nhận hắn với một sự cuồng nhiệt đến thế, hắn đã quen với những nụ hôn lạnh lẽo, thờ ơ, những cuộc tình mệt mỏi chán chê.
Therese könnyei és idegrohamai szinte megijesztették, de mégis izgatták kéjes kíváncsiságát.	Những tiếng thổn thức, những cơn co giật của Thérèse gần như khiến hắn hoảng sợ, trong khi kích thích sự tò mò mê tơi của hắn.
Mikor elment a fiatal nőtől, támolygott, mintha részeg lett volna.	Khi rời người đàn bà ra, hắn lắc lư như một gã say rượu.
Másnap, mikor alattomos és okos nyugalma visszatért, azon töprengett, hogy visszamenjen-e ehhez a szeretőjéhez, akinek csókjai lázba ejtették.	Hôm sau, khi sự bình thản trí trá và thận trọng của hắn phục hồi, hắn tự hỏi có nên quay trở lại với cô người tình mà những nụ hôn khiến hắn phát sốt phát rét hay không.
Előbb határozottan abban állapodott meg, hogy otthon marad.	Ban đầu hắn quyết định dứt khoát là ở lại nhà.
De azután aljasabb gondolatai támadtak.	Rồi hắn nảy sinh lòng hèn nhát.
El akarta felejteni Thereset, nem akarta őt látni meztelenségében, édes és brutális kedveskedéseire nem is akart gondolni, de mégis mindig előtte állott kérlelhetetlenül, karjait feléje nyújtva.	Hắn muốn quên đi, không còn gặp lại nàng Thérèse trần truồng với những mơn trớn ngọt ngào và hung tợn nữa, và nàng vẫn luôn luôn ở đó, khôn nguôi, dang hai cánh ra.
Az a fizikai fájdalom, melyet ez a látvány okozott neki, elviselhetetlen volt.	Niềm đau thể xác mà cảnh tượng đó gợi ra đối với hắn trở nên không thể chịu đựng nổi.
Végre engedett, egy új találkára határozta el magát és visszament a Pont-Neuf sikátorba.	Và hắn chịu thua, hắn tìm một cuộc hẹn hò mới, và trở lại ngõ Cầu Mới.
E naptól kezdve az életében Therese nagy szerephez jutott.	Kể từ ngày đó, Thérèse bước vào cuộc đời hắn.
Még nem fogadta el ezt a nőt, de már elszenvedte.	Hắn chưa chấp nhận nàng, nhưng hắn chịu đựng.
Voltak órái, amikor megijedt, percei, amikor okos volt és ez a viszony végre is kellemetlenül érintette őt, de félelme és rossz kedve háttérbe szorult a vágyai előtt.	Hắn có những giờ phút hoảng sợ, những thời khắc thận trọng, và tóm lại, cuộc tình dan díu đó giày vò hắn một cách khó chịu, nhưng những nỗi sợ hãi, khó chịu phục tùng trước những dục vọng của hắn.
Találkái megismétlődtek és egyre gyakoriabbakká váltak.	Những cuộc hẹn hò nối tiếp nhau, ngày càng nhiều hơn.
Theresenek nem voltak ilyen kétségei.	Thérèse không có những nghi ngại đó.
Kíméletlenül átadta magát szerelmének s ment egyenesen arra, amerre szenvedélye űzte.	Nàng lao vào cuộc tình không e dè, đi thẳng đến nơi mà niềm đam mê của nàng thúc đẩy.
Ez az asszony, akit a körülmények letörtek s aki végre fölemelkedett, kitárta lényét egész meztelenségében, s megmagyarázta az életét.	Người đàn bà đã bị cảnh ngộ khuất phục, nay cuối cùng đứng thẳng dậy, đã bộc lộ toàn bộ con người mình khi lý giải về cuộc đời của mình.
- Ó, ha tudnád, mennyit szenvedtem!	Nếu anh biết được - nàng bảo - em đau khổ biết chừng nào!
Egy betegszoba langyos, párás levegőjében neveltek fel.	Em được nuôi dưỡng trong cái ẩm thấp hầm hập của căn phòng một người bệnh.
Camille-al háltam, éjjel messze húzódtam tőle, mert undorított az a tompa szag, amely a testéből kiáradt.	Ban đêm em ngủ với Camille, né xa gã, tởm lợm vì cái mùi nhạt nhẽo bốc ra từ cơ thể gã.
Rossz és makacs gyerek volt; azokat az orvosságokat, melyeket nem akartam vele megosztani, ő se akarta bevenni; hogy a nagynénémnek kedvében járjak, minden gyógyszerből nekem is kellett innom.	Gã hung dữ và cố chấp, gã không muốn uống những thứ thuốc mà em từ khước chia sẻ với gã, để làm vừa lòng người cô, em phải nuốt đủ loại thuốc nhảm.
Nem tudom ma se, hogyan történt, hogy nem haltam bele... Ők az okai, hogy csúnya lettem, szegény barátom, ellopták tőlem mindenemet, amim volt, és te most már nem szerethetsz úgy engem, mint ahogy én szeretlek téged.	em không biết làm sao mà mình không chết đi… Họ biến em thành xấu xí, người yêu tội nghiệp của em, họ đã tước mất những gì em có, và anh không thể yêu em như em yêu anh đâu.
Zokogott, megölelte Laurentot és siket gyűlölettel folytatta:	Nàng khóc, nàng hôn Laurent rồi tiếp tục với một nỗi căm hờn âm ỉ.
- Nem kívánok nekik semmi rosszat.	- Em không cầu mong họ gặp điều xấu.
Felneveltek, gondoztak és megvédtek a nyomorúságtól... De a vendégszeretetük helyett jobb szerettem volna, ha elhagytak volna.	Họ đã nuôi nấng em, đã bảo bọc em trước sự khốn cùng… Nhưng em thà bị bỏ rơi hơn là nhận sự cưu mang đó.
Égető szükségem volt a szabad levegőre; amikor még egészen kicsiny voltam, arról álmodoztam, hogy az országutakon csavargok, mezitláb a porban, alamizsnát kérek és úgy élek, mint egy cigányleány.	Em có những nhu cầu nhức nhối được sống với bầu trời cao, hồi còn nhỏ xíu, em đã mơ được chạy nhảy trên những con đường, đôi chân trần dẫm bụi đất, xin của bố thí, sống cuộc đời lang thang.
És nem mozdulhattam meg, mert a nagynéném megszidott, hogy zajt csinálok... Később nagy élvezetekben volt részem, a kis házban a víz partján; de akkor már egészen el voltam tompulva, alig tudtam menni, elestem, ha futni akartam.	Và em không thể động đậy, cô em la rầy nếu em gây tiếng động… Về sau, em đã hưởng những niềm vui sâu xa nơi ngôi nhà nhỏ ven bờ sông, như em đã trở nên ngây độn, chỉ hơi biết đi, và chạy thì té nhào.
Azután pedig élve eltemettek ebbe a piszok boltba.	Rồi người ta chôn sống em hẳn trong cái cửa tiệm nhớp nhúa này.
Therese nagyokat lélekzett, a szeretőjét karjaival egészen magához szorította s ezzel boszulta meg magát; keskeny, finom orrcimpáin egy kis ideges remegés látszott.	Thérèse thở thật mạnh, nàng ghì chặt người yêu trong vòng tay, nàng trả thù, và những cánh mũi mỏng và mềm mại của nàng phập phồng kích động.
- Te még nem tudod, - folytatta, - hogy mennyire elrontottak engem.	- Anh có thể không tin - nàng tiếp tục - là người ta đã biến em thành xấu xí ra sao.
Álszenteskedővé, hazuggá tettek... Nyárspolgári kedvességükkel megfojtottak, és nem értem, hogy lehet az, hogy még van vér az ereimben... Lesütöttem a szemeimet, nekem is komor és buta az arcom, mint az övék s ugyanoly holt életet élek, mint ők.	Họ biến em thành một thứ đạo đức giả, dối trá… Họ bóp nghẹt em trong sự ngọt ngào trưởng giả của họ, và em không hiểu làm thế nào máu vẫn còn trong huyết quản của mình… Em sụp mắt xuống, em cùng với họ mang một bộ mặt ủ ê và đần độn, sống một cuộc sống đã chết của họ.
Amikor legelőször láttál, úgy-e nagyon ostobának látszottam?	Khi anh gặp em, có phải em có dáng vẻ của một con vật?
Komoly, eltiport, elállatiasodott nő voltam.	Em năng nề, ngộp thở, mê muội.
Ott lenn, Vernonban, hideg szobámban a vánkosomat harapdáltam, hogy elfojtsam, jajkiáltásaimat, ütöttem, vertem magamat.	Đằng ấy, ở Vernon, trong căn phòng lạnh lẽo của em, em gặm nhấm chiếc gối để đè nén tiếng kêu la, tự vật lộn với chính mình, tự cho là mình hèn nhát.
Égett a vérem s szerettem volna széttépni a testemet.	Dòng máu sôi sục trong em và em tự cấu xé cơ thể.
Kétszer is el akartam szökni, hogy világgá menjek, ki a napfényre, de nem volt hozzá bátorságom, - szelid jóakaratukkal és utálatos gyengédségükkel tanulékony állattá változtattak.	Đã hai lần em muốn trốn đi, đi thẳng phía trước, về hướng mặt trời, nhưng lòng can đảm đã từ bỏ em, họ đã biến em thành một thứ gia súc dễ bảo với ân huệ ngọt ngào và sự ân cần lộn mửa của họ.
Hazudtam tehát, mindig csak hazudtam.	Thế là em dối trá, em luôn luôn dối trá.
Szép szeliden, csöndesen ott maradtam, miközben ábrándjaimban ütni és harapni szerettem volna.	Em đã ở lại đó hoàn toàn hiền lành, hoàn toàn câm nín, trong khi mơ tưởng được tàn phá và được cấu xé.
Az asszony megállott, nedves ajkait Laurent nyakába törölve.	Thiếu phụ ngừng lại, cà đôi môi ẩm ướt lên cổ Laurent.
S aztán egy kis szünet után hozzátette:	Nàng nói thêm sau một lúc im lặng.
- Nem tudom, miért egyeztem bele, hogy nőül megyek Camillehoz.	- Em cũng không biết tại sao mình bằng lòng lấy Camille nữa.
Nem tiltakoztam ellene, mert nem méltattam annyira se a dolgot, hogy töprengtem volna rajta.	Em không phản đối, bởi một thứ buông trôi bất cần.
Sajnáltam azt a gyereket.	Đứa trẻ có khiến em thương hại.
Mikor még játszottam vele s az ujjaim belemerültek lágy húsába, - mintha agyagot fogtam volna.	Khi chơi đùa cùng gã, em cảm thấy những ngón tay mình cắm phập vào tứ chi gã như cắm vào đất sét.
Elfogadtam, mert a nagynéném ajánlotta s arra számítottam, hogy előtte sohase fogok zavarba jönni... S a férjemben újra rátaláltam arra a kis beteg fiúra, akivel már hat éves koromban együtt aludtam.	Em lấy gã vì người cô trao gã cho em và em nghĩ rằng mình không bao giờ vướng víu vì gã… Và em, em tìm thấy ở chồng em một đứa trẻ khốn khổ mà em đã ngủ chung từ năm sáu tuổi.
Most is olyan gyenge, olyan nyafogó volt, s most is az a beteg gyerek-szaga volt, amely egykor annyira boszantott... Mindezt azért mondom el, hogy ne légy féltékeny... Valami undor csiklandozza a torkomat: eszembe jutottak azok az orvosságok, amelyeket megittam, és eltértem a beszélgetésünk tárgyától; rettenetes éjszakáim voltak... De te, te...	Gã cũng yếu ớt như thế, cũng kêu ca như thế, và gã vẫn luôn luôn có cái mùi lạt lẽo của đứa nhỏ bệnh hoạn mà em ghê tởm ngày trước… Em nói tất cả chuyện này để anh khỏi ghen tuông… Một thứ chán ngấy trào lên cổ họng, em nhớ những thứ thuốc nhảm nhí mà em đã uống, và em xa lánh, em trải qua những đêm kinh khủng… Còn anh, anh…
Therese felegyenesedett, kissé hátrahajolt, ujjait Laurent vastag kezébe tette s bámulta a széles vállát, hatalmas nyakát...	Và Thérèse đứng lên, ưỡn người ra sau, những ngón tay nắm chặt hai bàn tay mạnh mẽ của Laurent, ngắm nghía đôi vai rộng, chiếc cổ to tướng của hắn…
- Téged szeretlek, megszerettelek azon a napon, amikor Camille betessékelt a boltba... Te talán nem tisztelsz engem, mert egészen oda dobtam magam neked, egyszerre... Igazán nem is tudom, hogy történt ez a dolog.	- Anh, em yêu anh, em yêu anh ngày Camille đẩy anh vào cửa tiệm… Có thể là anh không quý mến em bởi em hiến dâng trọn vẹn, chỉ trong một lần… Sự thật, em không hiểu làm sao chuyện này lại xảy ra.
Büszke vagyok rá, el vagyok ragadtatva tőle.	Em kiêu căng, dễ kích động.
Az első napon rád akartam ütni, amikor megcsókoltál s a földre dobtál ebben a szobában... Nem tudom, hogy szerettelek meg, - inkább gyűlöltelek.	Em đã muốn chống cự lại anh, ngày đầu tiên, khi anh ôm hôn em và ném em xuống đất, trong căn phòng này..Em không biết sao em lại yêu anh, thà ghét anh thì hơn.
Óh mennyire szenvedtem!	Em đau đớn làm sao!
És kerestem ezt a szenvedést, vártam a jöttödet, jártam-keltem a széked körül, hogy a te lélegzetedben legyek, hogy a ruhámmal érintsem a tiedet.	Rồi em tìm kiếm nỗi đau đớn đó, em mong chờ anh đến, em đi quanh chiếc ghế anh ngồi, để được đi trong hơi thở của anh, kéo lê áo quần em theo áo quần anh.
Úgy éreztem, hogy a véred hőhullámokat áraszt felém, s az az égő felhő, amelybe engem borítottál, vonzott tehozzád és melletted tartott, bár siketül tiltakoztam ellene... Emlékszel rá, amikor itt festettél: valami végzetes erő ide vonzott temelléd, s kegyetlen gyönyörrel szívtam a te légkörödet.	Dường như máu của anh đã phả hơi nóng vào người em, và nó như thể phún thạch phủ kín lấy anh, nó hấp dẫn em và giữ em lại bên anh, bất chấp những phản kháng thầm lặng của mình… Anh có nhớ khi anh ngồi vẽ ở đây, một sức mạnh tiền định đã kéo em lại bên anh, em hít thở hơi hướm của anh bằng niềm vui thú nghiệt ngã.
Éreztem, hogy úgy látszott, mintha alamizsna-csókokért könyörögnék, szégyeltem rabszolgaságomat s éreztem, hogy összeesném, ha megérintenél.	Em hiểu là em có vẻ chầu chực những nụ hôn, em xấu hổ thân phận nô lệ của mình, em cảm thấy mình sẽ ngã quỵ nếu anh chạm tới.
De engedtem hitványságomnak s fogvacogva vártam, hogy a karjaidba zárj...	Nhưng em đầu hàng, sự hèn nhát của em, em lập cập vì lạnh trong khi chờ đợi anh chắc hẳn muốn ôm em vào lòng…
Therese elhallgatott; remegett s büszkének érezte magát, - mintha most meg volna boszulva.	Thế rồi Thérèse không nói nữa, người run rẩy như thể ngạo mạn và hả hê.
Laurent ittasan borult a keblére, s a csupasz és fagyos szobában a tüzes szenvedély és a komor brutalitás jelenetei játszódtak le.	Nàng giữ Laurent đang ngây ngất trong lồng ngực, và trong căn phòng trần trụi, băng giá diễn ra những cảnh tượng của đam mê nóng bỏng, của sự táo tợn tai ương.
Minden újabb találkozás egyre tüzesebb idegrohamokkal végződött.	Mỗi cuộc hẹn hò mới mang đến những cơn kích động điên cuồng hơn.
Úgy látszott, hogy a fiatal asszony tetszeleg magának vakmerőségével és szemtelenségével.	Thiếu phụ dường như thích thú với sự táo bạo và trâng tráo.
Nem habozott soha és nem is félt.	Nàng không do dự, không sợ hãi.
Bizonyos őszinte energiával vetette rá magát a házasságtörésre, s dacolt minden veszéllyel, mert nála szinte a hiúság kérdése volt ez a dac.	Nàng lao vào cuộc ngoại tình với một sự thẳng thắn quyết liệt bất chấp hiểm hoạ, một thứ gì như kiêu căng để thách đố lại nó.
Csak annyira volt óvatos, hogy amikor jött a szeretője, azt mondta a nagynénjének, hogy felmegy a szobájába lepihenni; és amikor ott volt már a szeretője, egész bátran járt-kelt, hangosan beszélt, eszébe se jutott soha, hogy a zajt kerülnie kell.	Khi người tình sắp đến, tất cả sự thận trọng của nàng là báo trước cho người cô biết mình sẽ lên trên nằm nghỉ, và khi hắn ở đấy, nàng đi lại, nói năng, hành động thẳng thừng, không hề nghĩ đến việc tránh gây tiếng động.
Laurent az első időben néha megijedt.	Đôi khi, trong những lúc bắt đầu, Laurent kinh hãi.
- Istenem - mondotta halkan Theresenek - ne csinálj ilyen nagy zajt, Raquinné még feljön.	- Trời ơi! - hắn thì thào nói với Thérèse - đừng có làm ồn lên như vậy.
- Eh - válaszolt az asszony nevetve - te mindig remegsz... Bezárkózott ott hátul az irodájába; ugyan minek jönne fel?	- Mặc kệ! - nàng cười trả lời - Anh lúc nào cũng run… Bà ấy đã bị đóng đinh sau quầy hàng, mà anh nghĩ bà ta lên đây làm gì.
Sokkal jobban fél, hogy addig valamit ellopnának tőle... És aztán jöjjön fel hát, ha akar.	Bà ta sợ phát chết bị lấy cắp… Nhưng dù sao, nếu muốn, bà ấy cứ việc lên.
El fogsz bujni... Mit törődöm én ő vele.	Em sẽ giấu anh… Em coi thường bà ta.
Szeretlek.	Em yêu anh.
Ezek a szavak éppen nem nyugtatták meg Laurentet.	Những lời lẽ đó không làm Laurent yên tâm là mấy.
A szenvedély még nem altatta el paraszti, ravasz okosságát.	Sự đam mê chưa ru ngủ tính thận trọng trí trá của nông dân nơi hắn.
De azért mégis csakhamar megszokta, anélkül, hogy most már félt volna, e vakmerő találkákat fényes nappal, Camille szobájában, két lépésnyire az öregasszonytól.	Dù vậy chẳng mấy chốc thói quen đã khiến hắn chấp nhận mà không quá sợ hãi những cuộc hẹn hò táo bạo giữa ban ngày ban mặt này, ngay trong căn phòng của Camille, cách bà hàng xén già chỉ vài bước chân.
A szeretője többször mondta neki, hogy a veszély elkerüli azokat, akik szembeszállnak vele, s igaza is volt.	Người tình của hắn cứ nhắc đi nhắc lại là sự nguy hiểm sẽ chừa những ai dám đối mặt với nó, và nàng có lý.
A szerelmesek soha sem találhattak volna biztosabb helyet, mint ez a szoba volt, ahol senki sem kereste volna őket.	Không bao giờ cặp tình nhân có thể tìm được nơi nào bảo đảm hơn cái căn phòng không ai đến tìm họ này.
Itt elégíthették ki szerelmüket, hihetetlenül nagy nyugalomban.	Họ bằng lòng với cuộc tình ở đó, trong sự yên tĩnh khó tin là có được.
Raquinné egyszer mégis felment, mert attól félt, hogy az unokahuga komolyan beteg.	Thế nhưng, có một ngày bà Raquin lại mò lên, vì sợ cô cháu bị ốm.
A fiatal nő már csaknem három óra hosszat fenn volt az emeleten.	Đã gần ba giờ thiếu phụ ở lỳ trên đó.
Vakmerőségében annyira ment, hogy be se zárta a szobának azt az ajtaját amely az ebédlőbe nyílott.	Bà đẩy mạnh đến khi chốt cửa mở ra phòng ăn không gài chặt được nữa.
Mikor Laurent hallotta az öregasszony nehéz lépteit a falépcsőn, zavarba jött s idegesen kereste a kabátját és kalapját.	Khi Laurent nghe được bước chân nặng nề của bà hàng xén già leo lên cầu thang gỗ, hắn bấn loạn, cuống cuồng tìm chiếc áo gi lê, chiếc mũ của mình.
Therese oly furcsának találta az arcát, hogy elnevette magát.	Thérèse bật cười vì vẻ mặt kỳ cục của hắn.
Erősen megfogta a karját, lenyomta az ágy lábánál egy sarokba s halk és nyugodt hangon így szólt hozzá:	Nàng giật mạnh tay hắn, đè hắn xuống chân giường, trong một góc và với một giọng nhỏ và bình tĩnh, nàng bảo:
- Maradj itt... és ne mozdulj.	- Ở yên đó… đừng động đậy.
- Néhány férfiruhadarabot dobott rá, s azután ráborította fehér alsószoknyáját, amelyet most vetett le.	Nàng ném lên người hắn quần áo đàn ông vương vãi, và trải lên trên đó chiếc váy trắng nàng vừa cởi ra.
Mindezt könnyű és szabatos mozdulatokkal végezte anélkül, hogy csak egy kissé is csökkent volna a nyugalma.	Nàng làm những việc đó với những cử động nhanh nhẹn và chính xác mà không hề mất bình tĩnh.
Aztán lefeküdt, kibontott hajjal, félig meztelen, még kipirulva és kissé reszketve.	Rồi nàng lên giường nằm, đầu bù tóc rối, người hở hang, vẫn còn thẹn thùng và run rẩy.
