A KASTÉLY	LÂU ĐÀI
Talán egyszer nyugodtan is beszélhetnénk egymással anélkül, hogy ennyi kíváncsi szem bámulna ránk.	Nhưng sự chống đối của thế giới thật ghê gớm, mục đích càng lớn thì sự chống đối càng lớn.
- Nem tudom, mit akar - mondta Frida, és hangjában ezúttal, akarata ellenére, mintha nem életének győzelmei csengtek volna, hanem számlálhatatlan csalódásai.	- Tôi không biết ông muốn gì, - Frida nói và trong giọng nói lúc này, ngoài cả ý muốn, dường như không phải những thành công mà là những thất vọng không thể kể hết của cuộc đời cô ta đã vang lên.
- Csak nem akar elvenni Klammtól?	- Ông không định dành lấy tôi khỏi tay Klamm đấy chứ?
Jóságos ég!	Trời đất!
- csapta össze a kezét.	- Cô ta vỗ tay đánh bốp.
- Belém látott - mondta K., mintegy fáradtan ennyi bizalmatlanságtól -, éppen ez volt a titkos szándékom.	- Cô đã thấu hiểu tôi, - K. nói giọng mệt mỏi như bị bao nhiêu sự ngờ vực dày vò, - chính đó là ý nghĩ sâu kín của tôi.
Hagyja ott Klammot, és legyen az én szeretőm.	Cô hãy bỏ Klamm, và làm tình nhân của tôi.
És most már mehetek is.	Bây giờ tôi có thể đi được rồi.
Olga!	Olga!
- kiáltotta.	- chàng gọi.
- Megyünk haza.	- Chúng ta đi về nhà thôi.
Olga engedelmesen lecsúszott a hordóról, de nem bírt azonnal kiszabadulni barátai gyűrű­jéből.	Olga trượt xuống khỏi chiếc thùng gỗ một cách ngoan ngoãn nhưng cô không thể thoát ngay khỏi đám đông bạn bè.
Ekkor Frida fenyegetően K.-ra pillantott, és halkan így szólt:	Frida liếc nhìn K. một cách đe dọa. và nói khẽ:
- Mikor beszélhetek magával?	- Bao giờ tôi có thể nói chuyện với ông?
- Itt tölthetem az éjszakát?	- Tôi có thể ngủ đêm ở đây không?
- kérdezte K.	- K. hỏi.
- Igen - mondta Frida.	- Được, - Frida nói.
- Most mindjárt itt maradhatok?	- Tôi có thể ở lại đây ngay bây giờ chứ?
- Menjen el Olgával, hogy kitehessem innét az embereket, aztán egy idő múlva visszajöhet.	- Ông cứ đi khỏi đây với Olga để tôi có thể đuổi người ta ra, sau đó một lúc ông có thể trở lại.
- Jó - mondta K., és türelmetlenül várta Olgát.	- Được rồi, - K. nói và nóng lòng chờ Olga.
Olga, bár először nevetve át akarta törni a kört, kibomlott hajjal most már csak támolygott egyiktől a másikig.	Olga, mặc dù lúc đầu chỉ cười muốn bứt ra khỏi vòng tròn đó, nhưng lúc này, với mái tóc xòa ra, cô ta đang nghiêng ngả, lắc lư từ người này đến người khác.
- Ilyen népséget hoznak a nyakamra - mondta Frida, és haragosan keskeny ajkába harapott.	- Họ đưa bọn này đến làm khổ tôi, - Frida nói và cắn vào môi mỏng, tức giận.
- Kik ezek?	- Đấy là những ai?
- kérdezte K.	- K. hỏi.
- Klamm cselédsége - mondta Frida.	- Bọn đầy tớ của Klamm, - Frida nói.
- Folyton magával cipeli ezt a csőcseléket; tönkretesz a jelenlétük.	- Ông ta luôn đưa theo lũ đê tiện này, sự có mặt của chúng chỉ phá hoại.
De most aztán valóban takarodjanak az istállóba, oda valók.	Nhưng bây giờ thì đúng là chúng phải cút vào chuồng, nơi ấy là của chúng.
Ha maga nem volna itt, fölrántanám az ajtót, és Klamm személyesen kergetné ki valamennyit.	Nếu ông không có ở đây thì tôi đã đập cửa, và Klamm đã trực tiếp đuổi cả bọn ra ngoài.
- Hát nem hallja őket?	- Thế ông ấy không nghe tiếng họ à?
- kérdezte K.	- K. hỏi.
- Nem - mondta Frida.	- Không, ông ấy đang ngủ, - Frida nói.
- Alszik.	- Thế nào cơ?
- Hogyan?	- K. kêu lên.
- kiáltott föl K. - Alszik?	- ông ấy ngủ à?
Mikor benéztem a szobájába, még ébren volt, és az asztalnál ült.	Khi nhìn vào phòng, tôi thấy ông ấy vẫn còn thức, ngồi cạnh bàn kia mà.
- Úgy ül most is - mondta Frida.	- Bây giờ ông ấy vẫn ngồi như thế, - Frida nói.
- Amikor látta, már akkor is aludt; másképp aligha engedtem volna, hogy benézzen.	- Khi ông nhìn thấy, lúc đó ông ta cũng đang ngủ, nếu không thì tôi chưa chắc đã để cho ông nhìn vào.
Ebben a helyzetben alszik; az urak nagyon sokat alszanak, szinte nem is érti az ember.	Ông ấy ngủ trong tình trạng như thế này đấy, các quý ông thường ngủ rất nhiều, không hiểu được họ nữa.
Különben, ha nem aludnék annyit, hogyan bírná elviselni ezt a népséget?	Vả lại, nếu ông ta không ngủ nhiều như thế thì làm sao mà chịu đựng nổi cái lũ này?
No de most magam fogom kizavarni őket.	Bây giờ thì chắc tôi sẽ đuổi bọn chúng.
Ostort vett elő a sarokból, s egyetlen magas, nem egészen biztos ugrással, olyasformán, ahogy a bárányok ugranak, a táncolóknál termett.	Cô ta lấy chiếc roi da ở trong góc, và chỉ bằng một cú nhảy duy nhất, không hoàn toàn chắc chắn, nhưng khá giống như những con cừu nhảy, cô ta đã có ở chỗ bọn người đang nhảy nhót.
Azok először feléje fordultak, mintha új táncosnő érkezett volna, s egy pillanatig valóban úgy látszott, mintha Frida ki akarná ejteni kezéből az ostort, de aztán nyomban ismét fölemelte.	Thoạt tiên họ quay lại phía cô ta, như thể có một vũ nữ mới đến vậy, và trong chốc lát tưởng như Frida muốn để rơi chiếc roi da khỏi tay, nhưng rồi cô ta lại nâng roi lên.
- Klamm nevében - kiáltotta - az istállóba!	- Nhân danh Klamm, - cô ta kêu to, - các người hãy cút ra chuồng ngựa!
Mind az istállóba!	Tất cả hãy ra chuồng ngựa!
Látták, hogy komoly a dolog; K. számára érthetetlen félelemmel kezdtek a terem végébe hátrálni: ott, ahogy az egyik nekinyomódott, kinyílt egy ajtó, friss éjszakai levegő áradt be, s mindnyájan eltűntek, Fridával együtt, aki az udvaron át nyilván az istállóba hajtotta őket.	Họ đã thấy là chuyện nghiêm chỉnh, và bắt đầu lùi về phía cuối căn phòng với nỗi sợ hãi không thể hiểu được, đối với K.. Ở đó khi một người trong bọn bị ấn vào cánh cửa, cánh cửa mở ra, không khí trong lành ban đêm ùa vào và cả bọn đã biến mất cùng với Frida, cô ta đã lùa họ qua sân, đi vào chuồng ngựa.
K. a hirtelen beálló csöndben lépteket hallott a folyosóról.	Trong sự yên tĩnh đột ngột, K. nghe tiếng những bước chân từ ngoài hàng lang.
Hogy valamiképpen biztonságban legyen, a söntés mögé ugrott, mert egyedül csak az alatt bújhatott el.	Bằng cách nào đó để được an toàn, chàng nhảy đến sau quầy rượu, vì chỉ còn nơi đó là chàng có thể nấp được mà thôi.
Igaz, nem tiltották meg neki, hogy az ivóban tartózkodjék, de mivel itt akarta tölteni az éjszakát, ügyelnie kellett, nehogy még mindig ott lássák.	Đúng là người ta không cấm chàng ở trong quán rượu, nhưng vì muốn ngủ đêm tại đây, nên chàng cần phải coi chừng để họ khỏi thấy mình vẫn còn ở đó.
Valóban lekuporodott hát a pult alá, amint az ajtó kinyílt.	Chàng ngồi co ro dưới quầy bán hàng khi cánh cửa mở.
Persze az sem lett volna egészen veszélytelen, ha ott fölfedezik, de legalább némileg hihető magyarázat lenne, hogy a megvadult parasztok elől rejtőzött el.	Tất nhiên không phải là hoàn toàn vô sự nếu họ phát hiện ra chàng ở đó nhưng ít ra thì việc đó cũng giải thích có phần tin được rằng chàng trốn bọn nông dân hung hãn.
A vendéglős volt.	Ông chủ quán đến.
- Frida!	- Frida!
- kiáltotta, és néhányszor föl-alá járt a szobában.	- ông ta gọi và đi đi lại lại vài lần trong phòng.
Szerencsére Frida csakhamar visszajött, K.-t nem említette, csak a parasztokról panaszkodott, s a pult mögé ment, K.-t keresve. K. megérintette kicsiny lábát, s attól fogva biztonságban érezte magát.	May là Frida chẳng mấy chốc đã quay lại và không nhắc tới K., cô ta chỉ phàn nàn về những người nông dân, và đi về phía sau quầy bán rượu tìm K. K. chạm vào đôi chân bé nhỏ của cô ta, từ lúc đó chàng cảm thấy an toàn.
Minthogy Frida nem tett említést K.-ról, végül is a vendéglősnek kellett szóba hoznia.	Vì Frida không nhắc đến người đạc điền, nên rốt cuộc ông chủ quán phải nói đến:
- Hát a földmérő hol van? - kérdezte.	- Thế người đạc điền đâu rồi?
- A földmérőről egészen megfeledkeztem - mondta Frida, és kicsiny lábát K. mellére tette. - Már nyilván régen elment.	- Tôi hoàn toàn đã quên mất người đạc điền, - Frida nói và đặt bàn chân bé nhỏ của mình lên ngực K.,- chắc là anh ta đã đi khỏi đây lâu rồi.
- De én nem láttam - mondta a kocsmáros -, pedig jóformán egész idő alatt a folyosón tartóz­kodtam.	Nhưng mà tôi chưa thấy, tôi đã ở ngoài hành lang suốt cả thời gian đó, - ông
- Itt nincs - mondta Frida nyugodtan.	- Anh ta không có ở đây, - Frida nói vẻ thản nhiên.
- Talán elbújt - mondta a kocsmáros. - Ahogy néztem, kitelik tőle egy s más.	- Có lẽ anh ta đã trốn, - ông chủ quán nói, - theo như tôi thấy thì anh ta có thể làm đủ mọi chuyện đấy.
- Ilyen merészségre csak nem vetemedik - mondta Frida, és lábát erősebben nyomta K. mellére.	- Anh ta không liều lĩnh thế đâu, - Frida nói và ấn mạnh hơn bàn chân vào ngực K.
- Nem, nincs itt.	- Có lẽ anh ta trốn ở dưới quầy này.
De csodálkozhatott a vendéglősön is, amint így szólt:	Chàng cũng ngạc nhiên khi ông chủ quán nói:
- Nagyon kellemetlen nekem, hogy nem tudom biztosan, valóban elment-e. Nem Klamm úrról van szó, hanem a szabályról.	- Tôi cũng rất khó chịu vì không biết chắc chắn là có thật anh ta đã đi khỏi đây chưa, không phải vì liên quan đến ngài Klamm, mà là vì quy chế.
A szabály pedig magára éppúgy vonatkozik, Frida kisasszony, mint rám.	Mà quy chế thì liên quan tới cả chị, thưa chị Frida, cả đối với tôi.
Aludjék jól.	Chúc chị ngủ ngon.
Még jóformán ki se lépett a szobából, Frida máris eloltotta a villanyt, és máris lent volt K.-nál, a pult alatt. - Kedvesem!	Ông ta chưa bước ra khỏi phòng thì Frida đã tắt đèn, ngồi xuống cạnh K., ở dưới quầy.
Aztán, hogy K. szótlanul gondolataiba mélyedt, egyszeriben fölijedt, s mint egy gyerek, ráncigálni kezdte:	Sau đó, vì K. vẫn im lặng đắm chìm trong suy nghĩ, cô ta bỗng ngồi bật dậy và bắt đầu lắc mạnh chàng
- Gyere, meg kell fulladni itt lent!	- Lại đây anh, chúng ta có thể chết ngạt ở dưới này.
S órák teltek órák után, a közös lélegzetvétel, a közös szívdobogás hosszú órái: órák, melyekben K. váltig úgy érezte, eltévedt, vagy oly messzi idegenbe került, ahol előtte még sosem járt ember, idegenbe, ahol még a levegőben sincs akár csak egyetlen paránya is a honi levegőnek, ahol az embert fojtogatja az idegenség, de esztelen varázsa ellen mégsem tehet egyebet, mint hogy megy tovább, és még jobban eltéved.	Giờ này qua giờ khác, họ cùng chung nhịp thở, và nhịp đập của trái tim. Đó là thời gian dài mà K. liên tục cảm thấy mình bị lạc, hoặc đang rơi vào một miền xa lạ chưa có con người xuất hiện trước khi chàng tới, cái xứ sở xa lạ mà trong không khí cũng không có lấy một tí nào không khí của quê hương, nơi mà sự xa lạ bóp nghẹt con người, nhưng chàng không thể làm gì để cưỡng lại sự cám dỗ mê hồn ngoài việc tiếp tục đi, và càng đi càng bị lạc sâu hơn.
Így aztán, legalábbis az első pillanatban, nem ijesztően hatott rá, hanem inkább úgy, mint valami vigasztaló ocsúdás, amikor Klamm szobájából egy mély, közönyös-parancsoló hang Fridát szólította.	Thế rồi sau đó có cái gì đấy thoạt tiên không làm chàng hoảng hốt, mà như là sự bừng tỉnh đầy an ủi, khi từ phòng Klamm một giọng trầm trầm, xa lạ và uy nghiêm gọi Frida.
- Frida - suttogta K. a lány fülébe, mintegy továbbadva a hívást.	- Frida, - K. nói thầm vào tai cô gái, như chuyển tiếp lời gọi.
Frida először belerögződött engedelmességgel föl akart ugrani, aztán ráeszmélt, hogy hol van, kinyújtózkodott, csöndesen nevetett, és azt mondta:	Frida lúc đầu với sự ngoan ngoãn cố hữu định vùng dậy, sau đó cô ta đã nhận ra mình đang ở đâu, liền duỗi tay chân, cười khẽ và nói:
- Nem megyek.	- Em không đi.
Soha nem megyek hozzá többet.	Không bao giờ em đến với ông ta nữa.
És Frida, mintha K. közeléből erőt merített volna, ökölbe szorította kezét, bedörömbölt az ajtón, és azt kiáltotta:	Còn Frida như thể đã lấy thêm sức mạnh do được gần K., nắm chặt tay đập vào cửa, kêu to:
- A földmérővel vagyok!	- Tôi đi với người đạc điền!
A földmérővel vagyok!	Tôi đi với người đạc điền
Klamm elcsöndesedett.	Klamm lập tức im lặng.
K. pedig fölemelkedett, Frida mellé térdelt, és körülnézett a híg hajnali homályban.	K. ngồi dậy, quỳ cạnh Frida và nhìn quanh trong ánh bình minh phơn phớt.
Mi történt?	Cái gì đã xảy ra?
Hová lettek reményei?	Đâu rồi những niềm hi vọng của chàng?
Mit várhat Fridától, most, hogy minden kiderült?	Bây giờ chàng có thể chờ đợi gì ở Frida, khi mà tất cả đều đã rõ?
Ahelyett, hogy óvatosan nyomult volna előre, úgy, ahogy az ellenség és a cél nagysága kívánta, egy éjszakán át itt hentergett a sör pocsolyáiban, most szédült a szaguktól.	Thay vì tiến về phía trước một cách thận trọng tùy theo tầm vóc của kẻ thù và mục đích, suốt một đêm chàng đã nằm ngả ngớn ở đây, trong những vũng nước bia mà giờ đây chàng đang chóng mặt vì mùi của chúng.
- Mit tettél?	- Em làm gì vậy?
- dünnyögte maga elé.	- Chàng nói lúng búng.
- Mind a ketten elvesztünk.	- Cả hai chúng ta đều mất hết.
- Nem - mondta Frida. - Csak én vesztem el, téged viszont megnyertelek.	- Không phải, - Frida nói, - chỉ có em là mất, nhưng em lại được anh.
Légy nyugodt.	Anh hãy yên tâm.
De nézd csak ezt a kettőt ott, hogy nevetnek.	Anh nhìn hai anh chàng kia đang cười kia kìa.
- Kik?	- Ai cơ?
- kérdezte K., és megfordult.	- K. hỏi và quay lại.
Két segéde ült a pulton, kicsit kialvatlanul, de vidáman, a hűséges kötelességteljesítés vidám­ságával.	Hai người giúp việc của chàng đang ngồi trên quầy hàng, hơi có vẻ mất ngủ, nhưng vui vẻ, cái niềm vui của sự thực thi trách nhiệm một cách trung thành.
- Mit akartok itt?	- Các anh muốn gì ở đây?
- kiáltott rájuk K., mintha mindenért ők volnának a bűnösök.	- K. quát lên như thể họ là những kẻ có tội đã gây ra mọi sự.
Körülnézett az ostor után, mely az este Fridánál volt.	Chàng nhìn quanh tìm chiếc roi da mà buổi tối Frida đã cầm.
- Utóvégre meg kellett keresnünk - mondták a segédek -, ha egyszer nem jöttél vissza hozzánk az ivóba; először Barnabásnál kerestünk, aztán végre itt megtaláltunk.	- Chúng tôi phải tìm ông, không thấy ông xuống quán trọ với chúng tôi; lúc đầu chúng tôi đã tìm ông đằng nhà Barnabás, cuối cùng thì gặp ông ở đây.
Itt ültünk egész éjszaka.	Chúng tôi đã phải ngồi ở đây suốt đêm.
- Már nappal van - mondták, és nem moccantak.	- Thì đã ban ngày rồi đấy thôi, - họ nói và không nhúc nhích.
Valóban nappal volt, az udvarra szolgáló ajtó kinyílt, betódultak a parasztok, Olgával, akit K. egészen elfelejtett.	Ban ngày cánh cửa nhìn ra sân đã mở, những người nông dân ùa vào phòng với Olga, người mà K. đã hoàn toàn quên mất.
Olga friss volt, akárcsak este, bármilyen rendetlen volt is a haja meg a ruhája, szeme már a küszöbön K.-t kereste.	Olga vẫn tươi tỉnh như tối hôm qua, dù tóc và quần áo cô không gọn gàng, từ bậc cửa cô đã đưa mắt tìm K.
- Miért nem jöttél haza velem?	- Tại sao anh không đi về nhà với em?
- kérdezte majdnem sírva.	- cô hỏi gần như khóc.
- Egy ilyen nőszemély miatt!	- Vì một người đàn bà như thế này!
- tette hozzá, és ezt többször megismételte.	- Cô ta nói thêm, và nhắc đi nhắc lại câu đó nhiều lần.
Frida eltűnt néhány percre, s most újra megjelent, kis motyóval a kezében.	Frida đã biến đi mấy phút, bây giờ lại xuất hiện, với cái bọc nhỏ trong tay.
Olga szomorúan odébblépett.	Olga đứng bên nhìn buồn bã.
- Mehetünk - mondta Frida.	- Chúng ta có thể đi, - Frida nói.
Nyilvánvaló volt, hogy A hídhoz címzett kocsmára gondol: hogy oda mennek.	Chắc chắn cô ta nghĩ đến quán trọ "Bên cầu", và họ sẽ đi tới đó.
K. Fridával s utánuk a segédek, ez volt a menet.	K. đi cùng Frida, sau họ là những người giúp việc.
Kint a hóban K. kissé fölléleg­zett.	Trong tuyết, ở ngoài trời, K. hít thở.
Boldog volt, hogy végre a szabadban lehet, nagy boldogságában ezúttal még az út fárad­sá­gát is jobban bírta; ha egyedül lett volna, még jobban bírja.	Chàng hạnh phúc vì cuối cùng được tự do trong niềm hạnh phúc lớn này, chàng chịu đựng tốt hơn sự vất vả của cuộc hành trình; và nếu đi một mình thì chàng còn chịu đựng tốt hơn nữa.
K. fáradtabb volt, semhogy újra elzavarja őket.	K. càng mệt mỏi hơn.
A kocsmárosné személyesen jött föl, hogy üdvözölje Fridát, és Frida "Anyuskának" nevezte, érthetetlenül szívélyesen üdvözölték egymást, csókokkal, hosszas ölelkezésekkel.	Bà vợ chủ quán trực tiếp lên chào Frida và Frida gọi bà ta là "Mẹ", họ ôm hôn nhau thật lâu với vẻ thân thiết đến là khó hiểu.
Nyugalom alig volt a szobában, férficsizmájukban még a szolgálók is be-bedübörögtek, hoztak valamit, elvittek valamit.	Căn phòng không được yên tĩnh, những người hầu gái cứ chạy vào, rồi lấy đi một thứ gì đó, họ đi lại ầm ĩ trong những đôi ủng đàn ông.
Ha a különféle holmikkal teletömött ágyból kellett nekik ez vagy az, kíméletlenül kirángatták K. alól.	Nếu cần lấy cái gì từ chiếc giường đã chất đống đủ loại đồ đạc, thì họ cứ việc lôi ra dưới người K. một cách không thương xót.
Fridát úgy köszöntötték, mint magukfajtát.	Họ chào Frida như là chào một người cùng một duộc với họ.
K. a folytonos jövés-menés ellenére ágyban maradt, egész nap és egész éjjel.	K. bất chấp sự ra vào liên tục của những người đó, suốt một ngày đêm chàng nằm trên giường.
Ha valamire szüksége volt, Frida gondoskodott róla.	Nếu chàng cần gì thì đã có Frida lo giúp.
Mikor másnap reggel, teljesen fölfrissülve, végre fölkelt, már negyedik napja volt a faluban.	Đến sáng hôm sau, khi đã hoàn toàn tươi tỉnh, cuối cùng K. đã dậy, lúc đó là ngày thứ tư chàng có mặt trong làng.
Negyedik fejezet	Chương IV
Szívesen beszélt volna bizalmasan Fridával, de ezt, már pusztán csak tolakodó jelenlétükkel is, megakadályozták a segédek; Frida egyébként időnként tréfálkozott és nevetgélt velük.	Chàng muốn nói chuyện một mình với Frida, nhưng những người giúp việc đã làm cản trở việc đó bằng sự có mặt trơ tráo của họ.
Igényesek egyáltalán nem voltak, az egyik sarokban rendezkedtek be, a földön, két ócska szoknyán.	Đã thế, thỉnh thoảng Frida lại cười nói, đùa cợt với họ.
K. gyakran szemlélte ágyából tökéletes közönnyel hármuk sürgölődését.	Từ trên giường, K. thường xuyên quan sát sự bắng nhắng của cả ba người với một sự thờ ơ tuyệt đối.
Ahogy most elég erősnek érezte magát ahhoz, hogy elhagyja az ágyat, mind odasiettek, hogy a szolgálatára legyenek.	Giờ đây khi chàng cảm thấy đủ sức để từ biệt chiếc giường, họ liền vội đến để phục vụ chàng.
Annyira még nem volt erős, hogy igyekvésüket elutasítsa; észrevette, hogy ezzel bizonyos függőségbe kerül tőlük, s ennek rossz következményei lehetnek, de nem tehetett ellene semmit.	Chàng vẫn chưa khỏe đến mức phải từ chối cố gắng của họ, chàng nhận thấy rằng với việc này chàng phải phụ thuộc ở họ; có thể có những hậu quả xấu, nhưng chàng không thể làm gì để chống lại.
S nem is volt kellemetlen az asztalnál finom kávét innia, melyet Frida hozott, vagy melegednie a kályhánál, ahová Frida gyújtott be, és az esetlenül buzgólkodó segédeket tízszer is le-föl hajkurásznia a lépcsőn, mosdóvízért, szappanért, fésűért, tükörért, s végül, mert K. halk célzást tett ilyesfajta kívánságára, egy pohárka rumért.	Vả lại cũng không khó chịu đối với chàng khi ngồi bên bàn uống cà phê do Frida mang tới và ngồi sưởi ấm cạnh lò sưởi mà cô ta đốt, hoặc sai những người giúp việc hăng hái một cách vụng về lên lên xuống xuống cầu thang mười lần để lấy nước rửa, xà phòng, lược, gương, và cuối cùng (vì K. có gợi ý ra điều đó) là một cốc rum.
- Most ti ketten menjetek innét, egyelőre nincs szükségem semmire, és négyszemközt akarok beszélni Frida kisasszonnyal.	- Bây giờ các anh hãy đi khỏi đây, tạm thời tôi không cần gì cả, tôi muốn nói chuyện riêng với cô Frida.
És mert semmiféle ellenkezést nem vett észre arcukon, hozzátette, mintegy kárpótlásul:	Vì không nhận thấy sự chống đối nào cả trên khuôn mặt của những người giúp việc, nên chàng nói thêm:
- Majd aztán hármasban elmegyünk az elöljáróhoz, várjatok meg lent az ivóban.	- Lát nữa cả ba chúng ta đi đến chỗ ngài trưởng thôn, các anh đợi tôi ở chỗ quầy rượu.
Csodálatosképpen engedelmeskedtek, éppen csak megjegyezték, mielőtt elmentek volna:	Họ vâng lời, chỉ nhận xét trước khi đi:
- Várni éppen itt is várhatnánk.	- Đợi thì ở đây chúng tôi cũng đợi được.
- Tudom - felelte K. - De nem akarom.	- Tôi biết, nhưng tôi không muốn thế,- K. trả lời.
Bosszantó volt viszont, de bizonyos értelemben kellemes is K. számára, amikor Frida, nyomban a segédek távozta után, az ölébe ülve, azt mondta:	Việc đó đã làm chàng bực mình, nhưng trong ý nghĩa nhất định thì nó cũng dễ chịu đối với K., khi Frida sau khi những người giúp việc đi khỏi liền ngồi vào lòng chàng, và nói:
- Mi bajod van, kedves, a segédekkel?	- Anh làm sao với những người giúp việc thế, anh thân yêu?
Előttük aztán semmi titkunk ne legyen.	Chúng ta đừng bí mật điều gì trước mặt họ.
Hűségesek.	Họ trung thành mà.
- Eh, hűségesek!	- Hừ, trung thành - K. nói.
- mondta K. - Folyton lesnek; semmi értelme, de undorító.	- Chúng liên tục nhìn trộm, một việc làm vô nghĩa nhưng thật ghê tởm.
- Azt hiszem, értelek - mondta Frida, átölelte a nyakát, és még mondani akart valamit, de nem bírt tovább beszélni; s mert a szék közvetlenül az ágy mellett állt, fölbillentek, és rázuhantak az ágyra.	- Em tin là em hiểu anh, - Frida nói rồi ôm ngang cổ chàng, cô ta còn muốn nói điều gì đó, nhưng không nói được, bởi vì cái ghế ở ngay cường nên họ lăn xuống giường.
Ott feküdtek, de nem olyan önfeledten, mint akkor éjszaka.	Họ nằm trên giường, nhưng không mê mẩn như đêm trước.
Csak mikor kifárad­tak, csöndesültek el, s ébredt bennük kölcsönös hála.	Khi đã mệt mỏi, họ nằm im, và nỗi niềm biết ơn đối với nhau trỗi dậy trong họ.
Akkor a szolgálólányok is följöttek.	Lúc đó những cô đầy tớ đi lên.
- Nézd, hogy hevernek itt ezek - mondta az egyik, és szánalmában valami terítőt vetett rájuk.	- Một cô nói, rồi vì thương hại, đắp lên người họ một cái khăn trải bàn.
Amikor később K. lelökte magáról a terítőt, és körülnézett, a segédek - ezen nem is csodál­kozott - ismét ott voltak a sarkukban, K. felé mutogatva komolyságra intették egymást és szalutáltak; ám azonfölül ott ült szorosan az ágy mellett a kocsmárosné is, harisnyát kötött, s ez az apró munka egyáltalán nem illett óriási termetéhez, mely már-már az egész szobát homályba borította.	Lúc sau K. hất chiếc khăn trải bàn khỏi người và nhìn quanh: chàng không ngạc nhiên khi thấy những người giúp việc lại có mặt ở góc phòng, họ nháy mắt cho nhau phải nghiêm chỉnh, rồi chỉ về phía K., chào theo kiểu nhà binh; ngoài họ ra còn có bà chủ quán đang ngồi đan tất dài của phụ nữ ngay sát cạnh giường. Cái công việc nhỏ nhặt ấy nói chung chẳng lấy gì làm thích hợp với tấm thân to lớn đẫy đà của bà ta đã trùm lên làm tối cả căn phòng.
- Már régóta várok - mondta és fölemelte széles, öreges ráncokkal barázdált, telt tömegében azért mégis sima, egykor talán szép arcát.	- Tôi đợi đã lâu, - bà ta nói và ngẩng khuôn mặt to bè chằng chịt nếp nhăn, do nung núc thịt nên vẫn trơn tru, có lẽ đã có một thời đẹp.
Szavai szemrehányóan hatottak, de ok nélkül, hiszen K. nem hívatta.	Bà ta nói với vẻ trách cứ, nhưng không có lý do gì, bởi vì K không hề cho gọi bà ta đến.
Ezért éppen csak bólintott arra, amit hallott, és fölült.	Vì vậy mà chàng chỉ gật đầu với cái điều vừa nghe và ngồi dậy.
Frida is fölkelt, otthagyta K.-t, és a kocsmárosné székéhez támaszkodott.	Frida cũng đã dậy, bỏ K. ở đó, cô ta đứng tựa vào chiếc ghế của bà chủ quán.
- Nem halaszthatta volna el a mondandóját, kocsmárosné asszony, míg vissza nem jövök az elöljárótól?	- Bà đợi tôi đến chỗ trưởng thôn về hãy nói, có được không?
- kérdezte K. tétován.	- K. do dự hỏi.
- Fontos megbeszélnivalóm van vele.	- Tôi có chuyện quan trọng muốn bàn với ông ta.
- Ez fontosabb, higgye meg, földmérő úr - mondta a kocsmárosné.	- Bà chủ quán nói. - À, phải rồi.
- Ott nyilván csak a munká­járól lenne szó, itt viszont egy emberről, Fridáról, az én kedves szolgálólányomról van szó.	Đó là chuyện khác, tôi không biết là tại sao các người lại không để việc đó cho hai chúng tôi tự giải quyết.
- Ja igen - mondta K. -, az más: csak azt nem tudom, miért nem bízzák ezt a dolgot kettőnkre.	- Vì tình thương và sự lo lắng, - bà vợ ông chủ quán nói và kéo đầu Frida về phía mình.
- Ha Frida annyira bízik magában - mondta K. -, én nem tehetek egyebet.	- Nếu Frida tin tưởng bà như thế thì tôi không thể làm gì khác được, - K. nói.
És mert Frida csak az imént állapította meg a segédeimről, hogy hűségesek, így hát barátok közt vagyunk.	- Vì vừa rồi, Frida đã xác nhận những người giúp việc của tôi là người trung thành, như vậy chúng ta đang ở giữa bạn bè.
Ki­jelent­hetem magának, kocsmárosné asszony, hogy a legjobbnak tartanám, ha összeházasod­nánk Fridával, mégpedig mielőbb.	Tôi có thể tuyên bố với bà, thưa bà chủ quán, tốt nhất là tôi cưới cô Frida thật nhanh.
Sajnos, ezzel aligha kárpótolhatom Fridát azért, amit miattam elveszített: az udvarházbeli állásáért és Klamm barátságáért.	Rất tiếc làm thế tôi cũng không thể đền đáp lại cho Frida cái mà vì tôi cô ấy đã đánh mất: đó là việc làm ở quán "Ông chủ" và sự bảo trợ của Klamm.
Frida fölnézett, szeme könnyben úszott, nyoma sem volt benne diadalnak.	Frida ngước nhìn lên, nước mắt lưng tròng, mắt cô ta không có dấu hiệu gì lộ vẻ thắng lợi.
- Miért engem?	- Tại sao lại là tôi?
Miért épp engem választottak ki erre?	Tại sao các người chọn tôi làm việc này?
- Hogyan?	- Cái gì?
- kérdezte egyszerre K. is, a kocsmárosné is.	- cùng một lúc K. và bà vợ ông chủ quán đều hỏi.
- Egészen megzavarodott szegényke - mondta a kocsmárosné.	- Tội nghiệp con bé, nó hoàn toàn lúng túng.
- Megzavarta ez a sok szerencse és balszerencse.	May mắn và tai họa đã làm cho nó bối rối, - bà vợ ông chủ quán nói.
S mintha csak meg akarná erősíteni e szavakat, Frida K.-hoz ugrott, vadul megcsókolta, mintha nem is lenne más kívülük a szobában, aztán sírva, s még mindig szorosan átölelve K.-t, térdre esett előtte.	Và như để làm tăng thêm sức mạnh cho những lời đó, Frida nhảy đến chỗ K. và hôn chàng một cách mãnh liệt như thể ở trong phòng không còn ai khác ngoài họ. Sau đó, vẫn ôm chặt K. khóc, cô ta khuỵu xuống trước mặt chàng.
