Tác giả : Jane Austen	Jane Austen	2.02727
Bà kết luận với nhiều lời chúc tốt đẹp cho phu nhân Lucas sớm được may mắn như bà, mặc dù, bà tin tưởng một cách hiển nhiên với niềm vui chiến thắng rằng bà bạn sẽ không có cơ may nào cả.	Elő­adá­sát az­zal fe­jez­te be, hogy tisz­ta szív­ből ha­son­ló sze­ren­csét kí­ván La­dy Lucasnak, még­pe­dig mi­nél ha­ma­rabb, no­ha di­a­dal­mas arc­ki­fe­je­zé­sén lát­szott, hogy vé­le­mé­nye sze­rint sem­mi ki­lá­tás nincs er­re.	0.214904
Elizabeth cố gắng trong vô vọng nhằm chặn bớt lời lẽ liến thoắng của bà mẹ, hoặc thuyết phục bà không nên ồn ào khi diễn tả niềm hạnh phúc của mình, vì trong nỗi xốn xang không thể diễn tả thành lời, cô có thể nhận ra anh Darcy, ngồi đối diện với họ, đã nghe lỏm phần lớn câu chuyện.	Elizabeth hi­á­ba pró­bál­ta fel­tar­tóz­tat­ni ezt a szó­ára­da­tot, s hi­á­ba kö­nyör­gött any­já­nak, hogy ke­vés­bé hall­ha­tó sut­to­gás­sal ecse­tel­je bol­dog­sá­gát; ki­mond­ha­tat­lan bosszú­sá­gá­ra ugyan­is azt kel­lett ta­pasz­tal­nia, hogy Darcy ül ve­lük szem­közt, s szin­te min­den szót hall.	0.359754
Bà mẹ chỉ mắng con là vô lý.	Mrs. Bennet rá­ri­pa­ko­dott lá­nyá­ra, hogy ne le­gyen olyan os­to­ba.	-0.1125
- Anh Darcy là cái gì đối với mẹ khiến mẹ phải sợ anh ta?	– Mondd, ki az a Darcy, hogy meg­ijed­jek tő­le?	0.204255
Mẹ biết chắc rằng mẹ không cần phải giữ phép lịch sự với anh ta đến nỗi không dám nói điều anh ta có thể không thích nghe.	Iga­zán nem le­he­tünk annyi te­kin­tet­tel rá, hogy csak olyas­mit mond­junk, ami ne­ki is tet­szik.	0.2
- Mẹ ạ, con xin mẹ hãy nói nhỏ thôi. ~~~ Xúc phạm anh Darcy thì có lợi gì?	– Az is­ten sze­rel­mé­re, ma­ma, be­szél­jen hal­kab­ban.	-0.0204545
Các bạn của anh sẽ chẳng bao giờ có cảm nghĩ tốt về mẹ nếu mẹ cứ làm như thế.	Mi hasz­na le­het ab­ból, ha meg­sér­ti Mr. Darcyt?	0.0807692
Tuy nhiên, lời nói của cô không có ảnh hưởng.	A ba­rát­já­nak sem fog ez jó­les­ni.	0.226829
Bà mẹ vẫn ngang nhiên cất tiếng nói về quan điểm của bà.	De hasz­ta­lan volt min­den fi­gyel­mez­te­tés, any­ja to­vább­ra is hall­ha­tó han­gon fej­tett ki né­ze­te­it.	0.028125
Elizabeth cứ mãi đỏ mặt vì ngượng ngùng và bứt rứt.	Elizabeth irult-pi­rult szé­gye­né­ben és bosszú­sá­gá­ban.	0.755
Cô không khỏi thỉnh thoảng liếc nhìn anh Darcy, thấy đúng như cô đã lo sợ; vì mặc dù anh ít khi nhìn bà, cô tin rằng anh vẫn chú ý lắng nghe.	Nem áll­hat­ta meg, hogy új­ra meg új­ra ne pil­lant­son Darcyra, ám­bár min­den pil­lan­tás csak fé­lel­mét iga­zol­ta.	0.255469
Vẻ mặt anh dần dần đổi từ khinh thường căm phẫn qua nghiêm nghị và điềm đạm.	Darcy nem né­zett ugyan ál­lan­dó­an Mrs. Bennetre, de Eli­za érez­te, hogy foly­ton any­ját fi­gye­li.	0.246667
Cuối cùng, bà Bennet không còn gì để nói.	A fel­há­bo­ro­dott meg­ve­tés las­san egy­ked­vű ko­moly­ság­gá me­re­ve­dett ar­cán.	-0.08
Phu nhân Lucas, đã ngáp dài do những kể lể ba hoa về niềm sướng thỏa mà bà không thấy có cơ may chia sẻ, được yên ổn để thưởng thức các món đùi lợn muối và gà.	Mrs. Bennet vég­re be­fe­jez­te mon­dó­ká­ját; La­dy Lucas már rég­óta ásí­to­zott, mert un­ta a sok bol­dog­ság fel­so­ro­lá­sát, ami­ben ne­ki nem­igen le­he­tett ré­sze, s most a hi­deg son­ká­ban és csir­ké­ben ke­re­sett vi­gasz­ta­lást.	0.150847
Elizabeth bắt đầu hoàn hồn.	Elizabeth vég­re fel­lé­leg­zett.	0.99375
Nhưng không khí yên ả không kéo dài lâu, vì khi bữa ăn chấm dứt, người ta đề nghị trình diễn ca hát, và cô cảm thấy bị hành xác khi thấy Mary, sau ít lời cổ vũ, chuẩn bị đóng góp vào cuộc vui.	De nyu­gal­ma nem tar­tott so­ká­ig, mert va­cso­ra után az ének ke­rült szó­ba, s Eli­za meg­döb­ben­ve lát­ta, hogy Mary, igen ke­vés un­szo­lás után, haj­lan­dó­nak mu­tat­ko­zik le­kö­te­lez­ni a tár­sa­sá­got.	0.369462
Cô cố gắng ngăn cản thói dễ dãi như thế bằng nhiều tia nhìn gợi ý và van nài im lặng, nhưng vô ích.	So­kat je­len­tő pil­lan­tá­sok­kal és né­ma kö­nyör­gés­sel pró­bál­ta rá­ven­ni hú­gát, hogy mond­jon le szó­ra­koz­ta­tá­suk­ról – de hi­á­ba.	0.11215
Mary không thèm hiểu; cơ hội biểu diễn như thế này là nguồn vui của cô, và cô bắt đầu bài hát.	Mary nem akar­ta el­ér­te­ni: min­dig örö­mét lel­te a nyil­vá­nos sze­rep­lés­ben, s most is éne­kel­ni kez­dett.	0.432692
Đôi mắt của Elizabeth dán vào em gái với những cảm giác khổ sở nhất; và cô bồn chồn nhìn em qua mấy đoạn nhạc không được hoan nghênh lắm khi kết thúc. ~~~ Khi đón nhận những lời cảm ơn, Mary cũng nhận ra ẩn ý muốn cô hát thêm một bài, nên cô lại bắt đầu.	Elizabeth szo­ron­gó ag­go­da­lom­mal sze­gez­te rá te­kin­te­tét, s tü­rel­met­le­nül vár­ta, hogy le­dol­goz­za az összes vers­sza­kot: de vá­ra­ko­zá­sát nem ko­szo­rúz­ta ered­mény, mert mi­dőn a tár­sa­ság meg­kö­szön­te a sze­rep­lé­sét, s va­la­ki azt a té­to­va re­mé­nyét fe­jez­te ki, hogy ta­lán újabb él­ve­zet­ben lesz ré­szük, Mary fél­perc­nyi szü­net után egy má­sik dal­ba fo­gott.	-0.0432924
Tài năng của Mary không thích hợp cho phong cách trình diễn như thế; cô có giọng yếu và tư thái quá điệu bộ.	Pe­dig a fel­adat meg­ha­lad­ta ké­pes­sé­gét; hang­ja gyön­ge volt, elő­adá­sa mes­ter­kélt.	0.271698
Elizabeth rơi vào thống khổ.	Elizabeth a kí­nok kín­ját szen­ved­te.	0.683871
Cô nhìn qua Jane xem chị mình chịu đựng như thế nào, nhưng Jane dang thản nhiên trò chuyện cùng Bingley.	Jane-re pil­lan­tott, mert tud­ni akar­ta, ho­gyan vi­se­li ő ezt el; de Jane tel­jes lel­ki nyu­ga­lom­mal be­szél­ge­tett Bing­ley­vel.	0.37134
Cô nhìn hai đứa em, thấy chúng đang ra những dấu hiệu chế nhạo lẫn nhau, Cô nhìn Darcy, thấy anh vẫn tiếp tục nghiêm nghị khép kín.	Most két hú­gá­ra né­zett, de azok gú­nyos fin­to­ro­kat vág­tak egy­más­ra, míg Darcy te­kin­te­te ki­für­kész­he­tet­le­nül ko­moly ma­radt.	0.259574
Cô nhìn qua ông bố để xin ông can thiệp, kẻo Mary sẽ hát cả đêm.	Vé­gül ap­já­ra sze­gez­te sze­mét, hogy lép­jen köz­be, kü­lön­ben Mary reg­ge­lig sem hagy­ja ab­ba.	0.33
Ông hiểu ý, và khi Mary chấm dứt bài hát thứ hai, thì nói lớn:	Mr. Bennet meg­ér­tet­te a né­ma ké­rést, s mi­kor Mary a má­so­dik dalt is be­fe­jez­te, han­go­san meg­szó­lalt:	0.2375
		0.3
- Như thế là tốt lắm rồi, con gái.	– A jó­ból is meg­árt a sok, kis­lá­nyom.	0.244737
Con đã giúp vui đủ rồi. ~~~ Hãy để những tiểu thư khác có thời giờ trình diễn.	Elég so­ká­ig szó­ra­koz­tat­tál ben­nün­ket, hagyd a töb­bi höl­gye­ket is sze­re­pel­ni.	-0.0275862
Mặc dù giả đò không nghe thấy, Mary có phần hụt hẫng.	Mary, bár úgy tett, mint­ha nem hal­la­ná, kis­sé za­var­ba jött.	0.26
Elizabeth thương hại cho Mary, thương hại cho ông bố, nhưng e rằng có lo lắng rồi vẫn không giúp ích được gì.	Elizabeth őt is saj­nál­ta, meg azt is, hogy ap­ja köz­be­szólt, s úgy érez­te, csak bajt oko­zott nyug­ta­lan­ko­dá­sá­val.	0.433333
Những người khác được cổ vũ để trổ tài. ~~~ Anh Collins nói:	Most azon­ban a tár­sa­ság töb­bi tag­ja­it kezd­ték kér­lel­ni.	-0.00882353
 ~~~ - Nếu tôi may mắn có giọng hát hay, tôi sẽ rất hân hạnh được góp vui, vì tôi xem âm nhạc là thú tiêu khiển lành mạnh và hoàn toàn tương thích với một giáo sĩ.	– Ha te­het­sé­gem vol­na az ének­hez – je­len­tet­te ki Collins –, ma­gam is a leg­na­gyobb öröm­mel ten­nék ele­get a tár­sa­ság ké­ré­sé­nek, mi­vel a ze­nét ár­tat­lan szó­ra­ko­zás­nak te­kin­tem, amely tö­ké­le­te­sen össze­egyez­tet­he­tő a lel­ké­szi hi­va­tás­sal.	-0.120349
Tuy nhiên, tôi không có ý nói rằng chúng ta có lý do chính đáng để dùng nhiều thời giờ vào âm nhạc, vì chắc chắn có những việc khác cần phải làm.	Ko­ránt­sem kí­vá­nom azon­ban azt ál­lí­ta­ni, hogy a ze­né­re túl­sá­go­san sok időt sza­bad for­dí­ta­nunk, mi­vel más dol­gok is igényt tar­ta­nak fi­gyel­münk­re.	0.246835
Mục sư cai quản một giáo xứ có nhiều việc phải làm.	Az egy­ház­köz­ség pász­to­rá­nak sok a ten­ni­va­ló­ja.	0.254237
Trước nhất, ông ta phải thu xếp với ơn trên để có thể được việc cho mình mà vẫn không xúc phạm đến người bảo trợ.	Elő­ször is az egy­há­zi adó kér­dé­sé­ben olyan meg­egye­zés­re kell jut­nia, amely hasz­nos reá ma­gá­ra néz­ve, de a kegy­úr ér­de­ke­it sem sér­ti.	0.22782
Ông ta phải tự viết bài giảng đạo, và thời giờ còn lại không thể nhiều quá khiến nhiệm vụ giáo sứ bị xem nhẹ. ~~~ Ông ta còn phải chăm sóc và cải tạo nơi ăn chốn ở mà không bị lên án là xa xỉ.	Ne­ki kell meg­ír­nia a pré­di­ká­ci­ót is; a fenn­ma­ra­dó idő alig ele­gen­dő egy­há­zi te­en­dő­i­nek el­lá­tá­sá­ra, va­la­mint haj­lé­ká­nak gon­do­zá­sá­ra és csi­no­sí­tá­sá­ra, mert vét­ké­ül ró­ha­tó fel, ha nem igye­kez­ne azt mi­nél ké­nyel­me­seb­bé ten­ni.	-0.0742925
Tôi xem phần không kém quan trọng là ông ta phải có thái độ chăm sóc và hòa giải với mọi người, nhất là những người đã cất nhắc ông ta.	S én azt sem tar­tom el­ha­nya­gol­ha­tó kö­ve­tel­mény­nek, hogy fi­gyel­mes és meg­nye­rő mo­dort gya­ko­rol­jon min­den­ki de ki­vált­képp azok irá­nyá­ban, akik­nek tiszt­sé­gét kö­szön­he­ti.	0.158
Tôi không thể miễn cho ông các nhiệm vụ này, cũng như tôi không thể nghĩ tốt về một người đã bỏ qua cơ hội bày tỏ lòng tôn trọng với bất cứ người nào quan hệ đến gia tộc.	E kö­te­les­ség alól egy lel­kész sem kap­hat fel­men­tést, s én nem táp­lál­ha­tok jó vé­le­ményt az olyan em­ber­ről, aki egy al­kal­mat is el­mu­laszt, hogy ki­fe­je­zés­re jut­tas­sa tisz­te­le­tét párt­fo­gó­já­nak bár­mi­nő ro­ko­na irá­nyá­ban.	0.160937
Anh nghiệng người đến anh Darcy khi chấm dứt bài diễn từ, được trình bày khác lớn tiếng phân nửa gian phòng đều nghe rõ.	– Collins meg­ha­jolt Darcy fe­lé, úgy fe­jez­te be szó­nok­la­tát, ame­lyet oly han­go­san adott elő, hogy a ven­dé­gek fe­le hall­hat­ta.	0.420677
Nhiều người nhìn anh chăm chăm.	So­kan rá­bá­mul­tak, so­kan mo­so­lyog­tak, de sen­ki sem mu­la­tott job­ban, mint Mr. Bennet.	-0.248571
Nhiều người mỉm cười, nhưng không ai lộ vẻ thú vị bằng ông Bennet, trong khi và vợ ông nức lòng khen ngợi anh Collins đã nói lên những lời thắm thiết, thì thầm với bà Lucas rằng anh là một người trai trẻ có đức độ và khôn ngoan một cách đặc biệt.	A fe­le­sé­ge vi­szont őszin­te el­is­me­rés­sel di­csér­get­te a tisz­te­le­tes ér­tel­mes be­szé­dét, s fé­lig sut­tog­va meg­je­gyez­te La­dy Lucasnak, hogy Mr. Collins rend­kí­vül eszes, de­rék fi­a­tal­em­ber.	0.383228
Đối với Elizabeth, dường như gia đình cô đã toa rập với nhau để tự phô bày càng nổi trội càng tốt trong dịp này; họ không thể nào thủ vai trò của họ với tinh thần cao hơn, với kết quả tốt hơn thế nữa.	Elizabeth úgy érez­te, hogy ha a csa­lád tag­jai szán­dé­ko­san akar­ták vol­na ne­vet­sé­ges­sé ten­ni ma­gu­kat az est fo­lya­mán, ak­kor sem játsz­hat­ták vol­na sze­re­pü­ket több kedv­vel és na­gyobb si­ker­rel.	0.286547
Cô nghĩ anh Bingley và chị cô thật hạnh phúc khi anh không để ý đến vài mục trình diễn, và cảm nghĩ của anh không phải là khổ sở lắm do hành động nực cười anh đã chứng kiến.	Bingley és Jane szem­pont­já­ból még sze­ren­csé­nek tar­tot­ta, hogy a fi­a­tal­em­ber nem vett min­dent ész­re, s hogy ko­moly ér­zel­me­it kü­lön­ben sem za­var­ta meg az a sok os­to­ba­ság, ami­nek ta­nú­ja volt.	0.341885
Tuy nhiên cô thấy điều tệ hại là hai chị em Bingley và anh Darcy đã có cơ hội nhạo báng những người thân của cô, và cô không rõ giữa thái độ im lặng trong ngạo mạn của anh Darcy và những nụ cười khinh khỉnh của hai chị em, việc nào dễ chịu hơn.	Elég baj az is, hogy a Bingley nő­vé­rek­nek és Darcynak ilyen al­kal­muk nyílt ki­ne­vet­ni az ő ro­ko­na­it: Eli­za nem is tud­ta el­dön­te­ni, mi volt el­vi­sel­he­tet­le­nebb: Darcy né­ma meg­ve­té­se vagy a két nő­vér ar­cát­lan mo­so­lya.	0.463225
Cô không thấy vui gì trong thời gian còn lại. ~~~ Anh Collins trêu chọc cô, tiếp tục kiên trì đeo bám cô; và mặc dù anh không thể khiêu vũ với cô lần nữa, anh tìm cách ngăn cản cô khiêu vũ với người khác.	Az est hát­ra­le­vő ré­sze sem ho­zott szá­má­ra sok örö­met: Elizabeth tor­kig volt Col­lins­szal, aki nem tá­gí­tott mel­lő­le, s bár újabb tánc­ra nem tud­ta rá­bír­ni, le­he­tet­len­né tet­te, hogy má­sok­kal tán­col­jon.	-0.0226415
Cô khẩn khoản xin anh khiêu vũ với người nào khác và đề nghị được giới thiệu anh với bất kỳ cô gái trẻ nào trong phòng, nhưng anh từ chối. ~~~ Anh nói cho cô an tâm rằng anh hoàn toàn không thích khiêu vũ, rằng mục đích chính của anh chỉ là những chăm chút tế nhị anh muốn giành cho cô, vì thế anh muốn tỏ rõ ý mình khi quấn quýt bên cô trong suốt thời gian còn lại.	Hi­á­ba kö­nyör­gött ne­ki Elizabeth, hogy kér­jen fel más­va­la­kit, hi­á­ba ajánl­ko­zott, hogy bár­me­lyik fi­a­tal hölgy­nek be­mu­tat­ja a te­rem­ben, Collins ki­je­len­tet­te, hogy a tánc tel­je­sen hi­de­gen hagy­ja: egyet­len cél­ja az, hogy gyön­géd fi­gyel­mes­sé­gé­vel meg­nyer­je társ­nő­je tet­szé­sét, s ezért egész es­te a kö­ze­lé­ben akar ma­rad­ni.	-0.00660622
Không có tranh cãi gì về việc này.	Az ilyen terv el­len mit sem hasz­nált az ér­ve­lés.	0.178378
Cô cảm thấy rất nhẹ nhõm khi thỉnh thoảng cô Lucas đến với hai người và vui vẻ tự bắt chuyện với anh Collins.	Egye­dü­li eny­hü­lést ba­rát­nő­je, Miss Lucas je­len­tett, aki gyak­ran oda­ment hoz­zá­juk, és jó­in­du­la­tú­an ma­gá­nak fog­lal­ta le a tisz­te­le­test.	0.325344
Ít nhất cô không còn phải chịu bực mình do anh Darcy chú ý thêm đến cô. ~~~ Mặc dù anh thường cách có một khoảng ngắn, có phần không vướng bận, anh không bao giờ đến gần để trò chuyện.	Elizabeth min­den­eset­re örült, hogy Darcy nem kí­noz­za töb­bé fi­gyel­mé­vel; bár gyak­ran állt kö­ze­lé­ben, tel­je­sen egye­dül, olyan kö­zel so­ha­sem jött, hogy be­szél­get­ni kezd­tek vol­na.	-0.011194
Cô nghĩ đấy có thể là vì cô đã nói bóng gió đến anh Wickham, và cô vui về việc này.	„Ez va­ló­szí­nű­leg a Mr. Wickhamre tett cél­zá­sa­im ered­mé­nye” – gon­dol­ta Eli­za, s örült, hogy így ütött ki a do­log.	0.14
Gia đình Longbourn rời buổi dạ vũ sau cùng. ~~~ Vơi sự dàn xếp của bà Bennet, họ phải chờ cỗ xe của họ trong 15 phút sau khi những người khác đã đi.	A ven­dé­gek kö­zül a long­bourn­i­ak tá­voz­tak utol­só­nak, mert Mrs. Bennet mes­ter­ke­dé­se foly­tán még egy ne­gyed­órát kel­lett vár­ni a hin­tó­ik­ra, mi­u­tán már min­den­ki el­ment.	-0.0519231
Việc này cho họ đủ thời gian để xem vài người trong gia đình chủ nhân tiễn chào họ theo cách nồng hậu như thế nào.	Ennyi idő alatt azt is ész­re­ve­het­ték, hogy a csa­lád né­hány tag­ja már a po­kol­ba kí­ván­ja őket.	0.256364
Bà Hurst và em gái của bà ít mở miệng trừ khi than mệt, rõ ràng muốn tiễn khách ra về càng nhanh càng tốt.	Mrs. Hurst és a hú­ga alig nyi­tot­ták ki a szá­ju­kat, ak­kor is csak fá­radt­ság­ról pa­nasz­kod­tak – lát­szott raj­tuk, alig vár­ják, hogy már ma­guk­ra ma­rad­ja­nak.	0.228108
Hai người không nuốn tiếp chuyện bà Bennet thêm dù bà cố khơi mào, và qua cung cách này gây tình trạng nặng nề cho mọi người.	Mrs. Bennet sze­re­tett vol­na be­szél­get­ni, de min­den kí­sér­le­tét vissza­uta­sí­tot­ták, s ez­zel bá­gyadt una­lom ter­jedt az egész tár­sa­ság­ra.	0.388308
Anh Collins không giúp gì thêm khi anh dông dài khen ngợi anh Bingley và hai chị em về tính tao nhã trong giao thiệp, cùng lòng hiếu khách và lịch sự nổi bật đối với khách mời.	Ezen Mr. Collins hosszú szó­nok­la­tai is alig se­gí­tet­tek, bár bó­kok­kal hal­moz­ta el Mr. Bingleyt és nő­vé­re­it a nagy­vi­lá­gi es­té­lyért, va­la­mint ud­va­ri­as ven­dég­sze­re­tet­ükért a meg­hí­vot­tak iránt.	0.308122
Darcy không nói năng gì.	Darcy nem szólt egy szót sem.	0.776
Ông Bennet, cũng trong im lặng, thú vị nhìn cảnh tượng quanh ông.	Mr. Bennet szin­tén hall­ga­tott, s ma­gá­ban él­vez­te a je­le­ne­tet.	0.260294
Anh Bingley và Jane đứng bên nhau, hơi cách xa mọi người, chỉ nói chuyện với nhau.	Bingley és Jane kis­sé tá­vo­labb áll­tak a töb­bi­ek­től, s csak egy­más­sal be­szél­get­tek.	0.698748
Ngay cả Lydia đã quá mệt mỏi nên không thể thốt lời nào hơn là “Trời ơi, tôi mệt quá!” kèm theo một cái ngáp dài.	Elizabeth épp­oly ma­ka­csul hall­ga­tott, mint Mrs. Hurst vagy Miss Bingley. ~~~ Még Lydia is úgy ki­me­rült, hogy csak időn­ként ki­ál­tott fel: – Is­te­nem, de fá­radt va­gyok!	0.0584559
Cuối cùng, khi họ từ giã nhau, bà Bennet với vẻ lịch sự gượng ép nhất, tỏ ý muốn đón tiếp toàn gia đình tại Longbourn, đặc biệt nói với anh Bingley rằng mọi người sẽ rất vui nếu anh có thể đến dùng bữa thân mật với gia đình bất kỳ kúc nào, thay cho thiệp mời theo nghi thức.	–, s na­gyot ásí­tott. ~~~ Ami­kor vég­re fel­áll­tak s bú­csúz­ni kezd­tek, Mrs. Bennet to­la­ko­dó ud­va­ri­as­ság­gal azt a re­mé­nyét fe­jez­te ki, hogy ha­ma­ro­san az egész csa­lá­dot vi­szont­lát­ja Long­bourn­ban; de el­ső­sor­ban Mr. Bing­ley­hez in­téz­te sza­va­it, biz­to­sít­va őt, hogy bár­mi­kor örö­mük­re szol­gál, ha ve­lük fo­gyaszt­ja el a csa­lá­di va­cso­rát, anél­kül, hogy szer­tar­tá­sos meg­hí­vó­ra vár­na.	-0.0433343
Bingley vui vẻ nhận lời, sẵn lòng lợi dụng cơ hội sớm nhất để đến thăm bà sau khi anh trở về từ London, vì anh phải đi ngày kế trong một thời gian ngắn.	Bingley há­lás öröm­mel, kész­sé­ge­sen meg­ígér­te, hogy a leg­el­ső al­ka­lom­mal tisz­te­le­tét fog­ja ná­luk ten­ni, mi­helyt vissza­ér­ke­zik Lon­don­ból, aho­vá más­nap rö­vid idő­re el kell utaz­nia.	0.30753
Bà Bennet hoàn toàn hài lòng, ra về trong niềm vui rằng, sau khi đã chuẩn bị cho việc ổn định nơi ăn chốn ở, những cỗ xe mới và những bộ áo cưới, chắc chắn bà sẽ thấy con gái bà định cư tại Netherfield, trong vòng ba đến bốn tháng.	Mrs. Bennet tö­ké­le­te­sen meg volt elé­ged­ve, s ab­ban a bol­dog meg­győ­ző­dés­ben hagy­ta el a há­zat, hogy a há­zas­sá­gi szer­ző­dé­sek, az új hin­tók és a ke­len­gye el­ké­szí­té­se há­rom-négy hó­na­pig fog tar­ta­ni, amely idő el­tel­té­vel le­á­nya két­ség­te­le­nül el­fog­lal­ja he­lyét a ne­ther­field­i kas­tély­ban.	0.227971
Nghĩ về một cô con gái khác kết hôn với anh Collins, bà cũng có niềm vui lớn dù không ngang bằng.	Ha­son­ló bi­zo­nyos­ság­gal szá­mí­tott ar­ra, hogy má­sik le­á­nyát Mr. Collins fog­ja el­ven­ni, de en­nek már nem örült annyi­ra.	0.169307
Trong số các cô gái, bà thương Elizabeth ít nhất, mặc dù chàng trai và mối lương duyên thứ hai là đủ tốt với bà, giá trị của anh Bingley và Netherfield vẫn vượt trội.	Gyer­me­kei kö­zül Elizabeth állt leg­tá­vo­labb a szí­vé­től, s bár ez a vő­le­gény és ez a há­zas­ság Eli­zá­nak elég jó volt, Mr. Bingley és Ne­ther­field mel­lett min­den más ár­nyék­ba bo­rult.	0.442697
Chương 19 ~~~  ~~~ 	19. ~~~ FEJEZET	-0.218182
		0.3
		0.3
 ~~~ Một cảnh tượng mới được mở ra ở Longbourn ngày hôm sau.	A kö­vet­ke­ző nap új je­le­net­re gör­dült fel a füg­göny Long­bourn­ban.	-0.0386364
	Collins for­ma sze­rint sze­rel­met val­lott.	-0.3
Anh Collins đã long trọng ngỏ ý. Sau khi đã quyết định để không mất thời gian vì anh chỉ có thể nghỉ phép đến ngày thứ Bảy, vì không có cảm giác nhút nhát để bị bứt rứt ngay cả vào lúc này, anh bắt đầu với cung cách rất ngăn nắp, tuân theo mọi nghi thức của sự việc.	Be­lát­ta, hogy to­vább nem kés­le­ked­he­tik, mi­vel szom­ba­ton le­jár a sza­bad­sá­ga. ~~~ A tisz­te­le­tes nem volt fé­lénk em­ber (ez szok­ta kí­nos­sá ten­ni a lány­ké­rés pil­la­na­tát), s ezért an­nak rend­je és mód­ja sze­rint fo­gott a do­log­hoz, be­tart­va az összes sza­bá­lyo­kat, ame­lye­ket ilyen eset­ben kö­te­le­ző­nek te­kin­tett.	-0.00869565
Sau bữa ăn sáng, với bà Bennet, Elizbeth và một trong các cô em cùng hiện diện, anh nói với bà mẹ:	Mi­kor Mrs. Benn­etet, Eli­zát s egyik hú­gát reg­ge­li után együtt ta­lál­ta, e sza­vak­kal for­dult az anyá­hoz:	0.246535
		0.3
- Thưa bà, vì tình thương của bà đối với cô con gái xinh đẹp Elizabeth của bà, liệu bà có thể cho phép tôi có vinh dự tiếp chuyện riêng với cô sáng nay được không?	– Sza­bad-e re­mél­nem, asszo­nyom, hogy szót emel ér­de­kem­ben szép le­á­nyá­nál, Eli­zá­nál, mi­dőn tisz­te­let­tel ar­ra ké­rem őt, hogy a dél­előtt fo­lya­mán négy­szem­közt be­szél­hes­sek ve­le?	0.210857
Trong khi Elizabeth chưa kịp có phản ứng ngoại trừ đỏ mặt, bà Bennet đã nhanh nhẩu trả lời:	Eli­zá­nak csak annyi ide­je volt, hogy meg­le­pőd­ve el­pi­rul­jon; Mrs. Bennet nyom­ban vá­la­szolt:	0.509769
		0.3
- À, vâng, chắc chắn là được, tôi chắc chắn Lizzy sẽ rất vui. ~~~ Tôi chắc chắn con nhỏ sẽ không từ chối.	– Te jó is­ten!… Ó, hogy­ne… Lizzy bi­zo­nyá­ra na­gyon bol­dog lesz… nem le­het sem­mi ki­fo­gá­sa… gye­re ve­lem, Kitty, az eme­let­re.	-0.0426724
Đến đây, Kitty, mẹ muốn con đi lên lầu. ~~~ Khi bà đang vội vã bước đi, Elizabeth gọi theo:	– Össze­szed­te ké­zi­mun­ká­ját, s már­is el akart ro­han­ni, ami­kor Elizabeth fel­ki­ál­tott:	-0.01875
		0.3
- Mẹ à, đừng đi.		-0.3
Con xin mẹ đừng đi. ~~~ Xin anh Collins thứ lỗi.	– Ne men­jen el, drá­ga ma­ma, ké­rem, ne men­jen!	-0.0125
Anh ấy không có gì để nói với con mà người khác không cần nghe. ~~~ Con cũng sắp đi đây.	Mr. Collins meg fog bo­csá­ta­ni… sem­mi olyan mon­da­ni­va­ló­ja nem le­het szá­mom­ra, amit más nem hall­hat.	-0.0387097
- Không, không, đừng vô lý, Lizzy.	In­kább én is ma­guk­kal me­gyek.	0.3
Mẹ muốn con ngồi lại ở đấy.	– Ne csa­csis­kodj, Lizzy… ott ma­radsz, ahol vagy.	0.154286
Và khi thấy Elizabeth với vẻ mặt bực bội và lúng túng dường như muốn trốn lánh, bà thêm:		-0.3
 ~~~ - Lizzy, mẹ muốn con ở lại và nghe anh Collins nói. ~~~ Elizabeth không thể cưỡng lại lời sai khiến này.	– S ami­kor lát­ta, hogy Elizabeth nyug­ta­lan és za­vart te­kin­tet­tel va­ló­ban me­ne­kül­ni ké­szül, hoz­zá­tet­te: – Lizzy, ra­gasz­ko­dom hoz­zá, hogy itt ma­radj, és meg­hall­gasd Mr. Collinst.	-0.124964
Một thoáng suy tính giúp cô nghĩ rằng cách khôn ngoan nhất là giải quyết vụ việc càng nhanh chóng và êm thấm càng tốt. ~~~ Cô ngồi xuống, cố gắng che giấu cảm xúc pha trộn giữa đau khổ và phân tâm.	En­nek a pa­rancs­nak Elizabeth már nem mert el­len­sze­gül­ni, s mi­vel pil­la­nat­nyi gon­dol­ko­dás után ar­ra is rá­jött, hogy leg­oko­sabb lesz mi­nél ha­ma­rabb és mi­nél si­máb­ban túl­es­ni az egé­szen, vissza­ült a he­lyé­re, és sza­ka­dat­lan ké­zi­mun­ká­zás­sal pró­bál­ta lep­lez­ni, hogy a hely­zet hol bosszant­ja, hol mu­lat­tat­ja.	-0.117857
Bà Bennet và Kitty bước đi, ngay sau đấy anh Collins bắt đầu.	Mi­helyt Mrs. Bennet és Kitty ki­men­tek a szo­bá­ból, Collins rá­kezd­te:	1.05724
- Cô Elizabeth thân thương, xin cô hãy tin rằng đức tính khiêm tốn của cô cho đến giờ không làm xấu gì cho cô cả, mà trái lại nó bổ sung những vẻ toàn vẹn của cô.	 ~~~ – Higgye el, drá­ga Miss Elizabeth, hogy tar­tóz­ko­dá­sa tá­vol­ról sem tün­te­ti fel előt­tem ked­ve­zőt­len fény­ben, el­len­ke­ző­leg, még job­ban ki­eme­li töb­bi eré­nyét.	-0.0198276
